ko:K19416	amao:I634_10555
ko:K00990	amao:I634_04970
ko:K01265	amao:I634_04975
ko:K02967	amao:I634_04980
ko:K02357	amao:I634_04985
ko:K09903	amao:I634_04990
ko:K02838	amao:I634_04995
ko:K00806	amao:I634_05000
ko:K02553	amao:I634_01065
ko:K03186	amao:I634_01075
ko:K02558	amao:I634_01080
ko:K03841	amao:I634_01085
ko:K09950	amao:I634_01100
ko:K07107	amao:I634_01110
ko:K04046	amao:I634_01115
ko:K03701	amao:I634_01125
ko:K02529	amao:I634_01155
ko:K00965	amao:I634_01165
ko:K00849	amao:I634_01170
ko:K00864	amao:I634_01215
ko:K02444	amao:I634_01220
ko:K00111	amao:I634_01225
ko:K03569	amao:I634_01325
ko:K03563	amao:I634_05580
ko:K01573	amao:I634_05590
ko:K03974	amao:I634_05630
ko:K03969	amao:I634_05635
ko:K03970	amao:I634_05640
ko:K00500	amao:I634_05650
ko:K03721	amao:I634_05655
ko:K16171	amao:I634_05660
ko:K05800	amao:I634_05670
ko:K00263	amao:I634_05675
ko:K00453	amao:I634_05685
ko:K00472	amao:I634_05700
ko:K03561	amao:I634_05735
ko:K03561	amao:I634_05740
ko:K03832	amao:I634_05750
ko:K06957	amao:I634_05760
ko:K03811	amao:I634_05780
ko:K03073	amao:I634_05790
ko:K02601	amao:I634_05795
ko:K03789	amao:I634_05805
ko:K06222	amao:I634_05830
ko:K07146	amao:I634_09955
ko:K01029	amao:I634_09970
ko:K01028	amao:I634_09975
ko:K13634	amao:I634_09995
ko:K01752	amao:I634_10005
ko:K01665	amao:I634_10015
ko:K01676	amao:I634_10020
ko:K09760	amao:I634_10030
ko:K00166	amao:I634_10040
ko:K00167	amao:I634_10045
ko:K09699	amao:I634_10050
ko:K07115	amao:I634_10055
ko:K10805	amao:I634_10065
ko:K09807	amao:I634_10080
ko:K03607	amao:I634_10095
ko:K03797	amao:I634_10100
ko:K03308	amao:I634_10105
ko:K03315	amao:I634_10110
ko:K01256	amao:I634_10115
ko:K15371	amao:I634_10150
ko:K12297	amao:I634_10160
ko:K15738	amao:I634_10170
ko:K03812	amao:I634_10180
ko:K01716	amao:I634_10185
ko:K01669	amao:I634_10195
ko:K07240	amao:I634_10215
ko:K00281	amao:I634_14370
ko:K02437	amao:I634_14375
ko:K00605	amao:I634_14380
ko:K01443	amao:I634_14385
ko:K03303	amao:I634_14400
ko:K03185	amao:I634_14430
ko:K09895	amao:I634_14440
ko:K01807	amao:I634_14465
ko:K06938	amao:I634_14490
ko:K00382	amao:I634_14520
ko:K00627	amao:I634_14525
ko:K00163	amao:I634_14530
ko:K03807	amao:I634_14540
ko:K03806	amao:I634_14545
ko:K06985	amao:I634_14550
ko:K00767	amao:I634_14555
ko:K08312	amao:I634_18710
ko:K03669	amao:I634_18725
ko:K03670	amao:I634_18730
ko:K06158	amao:I634_18755
ko:K07070	amao:I634_18760
ko:K03745	amao:I634_18775
ko:K04760	amao:I634_18795
ko:K06959	amao:I634_18800
ko:K02170	amao:I634_18820
ko:K07400	amao:I634_18835
ko:K01779	amao:I634_18845
ko:K03327	amao:I634_18855
ko:K07152	amao:I634_18870
ko:K02259	amao:I634_18880
ko:K02276	amao:I634_18900
ko:K02275	amao:I634_18915
ko:K01356	amao:I634_18925
ko:K00631	amao:I634_18935
ko:K01754	amao:I634_18940
ko:K01687	amao:I634_18945
ko:K07391	amao:I634_18955
ko:K15726	amao:I634_01910
ko:K03412	amao:I634_01940
ko:K03411	amao:I634_01945
ko:K03408	amao:I634_01965
ko:K03407	amao:I634_01970
ko:K03413	amao:I634_01975
ko:K03412	amao:I634_01985
ko:K03407	amao:I634_02010
ko:K03413	amao:I634_02015
ko:K00901	amao:I634_02030
ko:K03760	amao:I634_02035
ko:K08296	amao:I634_06385
ko:K03106	amao:I634_06405
ko:K02959	amao:I634_06475
ko:K02860	amao:I634_06480
ko:K00554	amao:I634_06485
ko:K02884	amao:I634_06490
ko:K01626	amao:I634_06505
ko:K14187	amao:I634_06510
ko:K14170	amao:I634_06515
ko:K03413	amao:I634_06520
ko:K03113	amao:I634_06525
ko:K07711	amao:I634_06555
ko:K07715	amao:I634_06565
ko:K01876	amao:I634_06585
ko:K08310	amao:I634_06590
ko:K01159	amao:I634_06595
ko:K03550	amao:I634_06600
ko:K03551	amao:I634_06605
ko:K07107	amao:I634_06610
ko:K03562	amao:I634_06615
ko:K03641	amao:I634_06630
ko:K03640	amao:I634_06635
ko:K03517	amao:I634_06645
ko:K03809	amao:I634_10780
ko:K10763	amao:I634_10790
ko:K09938	amao:I634_10795
ko:K01933	amao:I634_10800
ko:K11175	amao:I634_10805
ko:K15256	amao:I634_10830
ko:K15257	amao:I634_10835
ko:K15918	amao:I634_10840
ko:K07026	amao:I634_10845
ko:K00690	amao:I634_10855
ko:K01091	amao:I634_10860
ko:K03750	amao:I634_10865
ko:K03327	amao:I634_10870
ko:K07141	amao:I634_10875
ko:K09989	amao:I634_10880
ko:K01738	amao:I634_10890
ko:K07726	amao:I634_10945
ko:K00432	amao:I634_10990
ko:K01118	amao:I634_10995
ko:K01740	amao:I634_11005
ko:K09768	amao:I634_11040
ko:K07460	amao:I634_15095
ko:K07778	amao:I634_15135
ko:K07693	amao:I634_15140
ko:K07648	amao:I634_15230
ko:K00266	amao:I634_15245
ko:K02227	amao:I634_15265
ko:K01866	amao:I634_15295
ko:K09001	amao:I634_15310
ko:K02429	amao:I634_15315
ko:K07267	amao:I634_15320
ko:K10680	amao:I634_15325
ko:K15724	amao:I634_15350
ko:K03608	amao:I634_15365
ko:K00826	amao:I634_02190
ko:K01681	amao:I634_02205
ko:K02946	amao:I634_02220
ko:K02906	amao:I634_02225
ko:K02926	amao:I634_02230
ko:K02892	amao:I634_02235
ko:K02886	amao:I634_02240
ko:K02965	amao:I634_02245
ko:K02890	amao:I634_02250
ko:K02982	amao:I634_02255
ko:K02878	amao:I634_02260
ko:K02904	amao:I634_02265
ko:K02961	amao:I634_02270
ko:K02841	amao:I634_02280
ko:K02527	amao:I634_02285
ko:K01284	amao:I634_02310
ko:K01433	amao:I634_02320
ko:K01975	amao:I634_02325
ko:K03579	amao:I634_02330
ko:K05365	amao:I634_02340
ko:K09781	amao:I634_02355
ko:K04752	amao:I634_02370
ko:K03320	amao:I634_02375
ko:K07223	amao:I634_02385
ko:K01845	amao:I634_02395
ko:K00609	amao:I634_02400
ko:K07678	amao:I634_02425
ko:K02621	amao:I634_02430
ko:K06447	amao:I634_02455
ko:K00673	amao:I634_02460
ko:K00077	amao:I634_06660
ko:K00133	amao:I634_06670
ko:K12262	amao:I634_06680
ko:K07043	amao:I634_06710
ko:K16090	amao:I634_06735
ko:K06192	amao:I634_06765
ko:K03808	amao:I634_06770
ko:K01893	amao:I634_06785
ko:K07301	amao:I634_06795
ko:K00833	amao:I634_06820
ko:K01012	amao:I634_06825
ko:K02169	amao:I634_06835
ko:K01935	amao:I634_06840
ko:K05995	amao:I634_06845
ko:K06074	amao:I634_06860
ko:K01626	amao:I634_06865
ko:K09954	amao:I634_06875
ko:K03639	amao:I634_06885
ko:K03522	amao:I634_11095
ko:K03521	amao:I634_11100
ko:K00311	amao:I634_11105
ko:K03839	amao:I634_11125
ko:K00824	amao:I634_11140
ko:K07160	amao:I634_11155
ko:K00243	amao:I634_11160
ko:K07397	amao:I634_11165
ko:K14260	amao:I634_11195
ko:K01129	amao:I634_11265
ko:K17247	amao:I634_11275
ko:K09858	amao:I634_11290
ko:K03609	amao:I634_15370
ko:K03610	amao:I634_15375
ko:K08973	amao:I634_15400
ko:K14155	amao:I634_15420
ko:K06207	amao:I634_15430
ko:K01915	amao:I634_15440
ko:K07708	amao:I634_15450
ko:K07712	amao:I634_15455
ko:K00655	amao:I634_15465
ko:K09893	amao:I634_15470
ko:K01873	amao:I634_15505
ko:K02339	amao:I634_15510
ko:K01255	amao:I634_15515
ko:K07091	amao:I634_15520
ko:K11720	amao:I634_15525
ko:K03088	amao:I634_15540
ko:K05970	amao:I634_15620
ko:K08323	amao:I634_15625
ko:K01235	amao:I634_15630
ko:K01198	amao:I634_15635
ko:K01209	amao:I634_15635
ko:K07154	amao:I634_03120
ko:K01825	amao:I634_03140
ko:K08309	amao:I634_03145
ko:K07238	amao:I634_03155
ko:K02523	amao:I634_03160
ko:K02888	amao:I634_03165
ko:K02899	amao:I634_03170
ko:K03979	amao:I634_03175
ko:K06194	amao:I634_03190
ko:K00573	amao:I634_03200
ko:K06176	amao:I634_03205
ko:K01770	amao:I634_03210
ko:K00991	amao:I634_03215
ko:K05589	amao:I634_03220
ko:K13821	amao:I634_03240
ko:K07184	amao:I634_03250
ko:K03573	amao:I634_03265
ko:K08311	amao:I634_03270
ko:K08484	amao:I634_03275
ko:K01725	amao:I634_07425
ko:K03924	amao:I634_07450
ko:K03645	amao:I634_07455
ko:K00688	amao:I634_07465
ko:K05526	amao:I634_07475
ko:K09707	amao:I634_07525
ko:K06996	amao:I634_07530
ko:K00457	amao:I634_07535
ko:K00451	amao:I634_07540
ko:K03531	amao:I634_07575
ko:K07302	amao:I634_07620
ko:K07127	amao:I634_07645
ko:K16840	amao:I634_07650
ko:K07402	amao:I634_07655
ko:K13482	amao:I634_07660
ko:K13481	amao:I634_07665
ko:K06901	amao:I634_07690
ko:K08325	amao:I634_11930
ko:K14445	amao:I634_11960
ko:K01494	amao:I634_11965
ko:K01874	amao:I634_11975
ko:K08307	amao:I634_11995
ko:K01883	amao:I634_12020
ko:K03269	amao:I634_12030
ko:K00690	amao:I634_12075
ko:K03781	amao:I634_12090
ko:K06169	amao:I634_12115
ko:K00764	amao:I634_12125
ko:K03558	amao:I634_12130
ko:K03749	amao:I634_12135
ko:K11754	amao:I634_12140
ko:K01963	amao:I634_12145
ko:K06173	amao:I634_12155
ko:K00322	amao:I634_16210
ko:K00390	amao:I634_16235
ko:K00381	amao:I634_16240
ko:K03969	amao:I634_16275
ko:K05539	amao:I634_16285
ko:K01070	amao:I634_16330
ko:K16053	amao:I634_16350
ko:K03308	amao:I634_16370
ko:K03840	amao:I634_16400
ko:K00694	amao:I634_16445
ko:K01754	amao:I634_16480
ko:K00645	amao:I634_08380
ko:K02078	amao:I634_08390
ko:K09458	amao:I634_08395
ko:K07082	amao:I634_08405
ko:K00943	amao:I634_08410
ko:K02341	amao:I634_08415
ko:K03424	amao:I634_08420
ko:K01283	amao:I634_08440
ko:K09940	amao:I634_08445
ko:K07516	amao:I634_08465
ko:K05810	amao:I634_12710
ko:K06180	amao:I634_12715
ko:K05807	amao:I634_12720
ko:K03088	amao:I634_12730
ko:K07157	amao:I634_12735
ko:K09701	amao:I634_12755
ko:K00574	amao:I634_12760
ko:K02557	amao:I634_12765
ko:K02556	amao:I634_12770
ko:K03602	amao:I634_12775
ko:K00795	amao:I634_12780
ko:K01662	amao:I634_12785
ko:K01095	amao:I634_12790
ko:K00946	amao:I634_12795
ko:K03625	amao:I634_12800
ko:K00794	amao:I634_12805
ko:K14652	amao:I634_12810
ko:K00793	amao:I634_12815
ko:K11752	amao:I634_12820
ko:K07738	amao:I634_12825
ko:K00600	amao:I634_12830
ko:K02536	amao:I634_12835
ko:K04485	amao:I634_12850
ko:K01079	amao:I634_12860
ko:K03424	amao:I634_12870
ko:K00275	amao:I634_12875
ko:K03685	amao:I634_12885
ko:K03100	amao:I634_12890
ko:K03596	amao:I634_12895
ko:K03598	amao:I634_12905
ko:K03597	amao:I634_12910
ko:K03088	amao:I634_12915
ko:K00278	amao:I634_12925
ko:K09159	amao:I634_12940
ko:K06980	amao:I634_12945
ko:K03775	amao:I634_12950
ko:K04751	amao:I634_12955
ko:K08084	amao:I634_12965
ko:K03040	amao:I634_17015
ko:K02986	amao:I634_17020
ko:K02948	amao:I634_17025
ko:K02952	amao:I634_17030
ko:K02919	amao:I634_17035
ko:K03076	amao:I634_17040
ko:K02876	amao:I634_17045
ko:K02907	amao:I634_17050
ko:K02988	amao:I634_17055
ko:K02881	amao:I634_17060
ko:K02933	amao:I634_17065
ko:K02994	amao:I634_17070
ko:K02954	amao:I634_17075
ko:K02931	amao:I634_17080
ko:K02895	amao:I634_17085
ko:K02874	amao:I634_17090
ko:K03218	amao:I634_17120
ko:K12573	amao:I634_17125
ko:K03182	amao:I634_17180
ko:K05368	amao:I634_17185
ko:K00425	amao:I634_17220
ko:K00426	amao:I634_17225
ko:K05800	amao:I634_17235
ko:K03704	amao:I634_17245
ko:K03688	amao:I634_17250
ko:K03690	amao:I634_17255
ko:K03183	amao:I634_17260
ko:K01414	amao:I634_17270
ko:K02044	amao:I634_17280
ko:K00981	amao:I634_05005
ko:K03798	amao:I634_09085
ko:K00796	amao:I634_09090
ko:K03431	amao:I634_09095
ko:K01803	amao:I634_09100
ko:K03075	amao:I634_09105
ko:K00262	amao:I634_09125
ko:K03168	amao:I634_09155
ko:K00931	amao:I634_09165
ko:K00147	amao:I634_09170
ko:K00962	amao:I634_09185
ko:K09948	amao:I634_09190
ko:K01953	amao:I634_13530
ko:K01991	amao:I634_13615
ko:K03272	amao:I634_13640
ko:K07461	amao:I634_13645
ko:K00982	amao:I634_13660
ko:K02517	amao:I634_13670
ko:K00761	amao:I634_13720
ko:K04087	amao:I634_17850
ko:K04088	amao:I634_17855
ko:K03665	amao:I634_17860
ko:K03666	amao:I634_17865
ko:K00791	amao:I634_17870
ko:K03572	amao:I634_17875
ko:K01448	amao:I634_17880
ko:K06925	amao:I634_17885
ko:K01599	amao:I634_17905
ko:K03426	amao:I634_17910
ko:K07740	amao:I634_17915
ko:K09823	amao:I634_17920
ko:K03088	amao:I634_17960
ko:K02939	amao:I634_17980
ko:K02963	amao:I634_17985
ko:K02990	amao:I634_17990
ko:K09918	amao:I634_18000
ko:K02003	amao:I634_18005
ko:K16264	amao:I634_18035
ko:K03315	amao:I634_18050
ko:K05349	amao:I634_18055
ko:K02429	amao:I634_18060
ko:K02529	amao:I634_18070
ko:K00426	amao:I634_18095
ko:K00425	amao:I634_18100
ko:K01993	amao:I634_00540
ko:K13926	amao:I634_00545
ko:K16088	amao:I634_00555
ko:K06918	amao:I634_00580
ko:K08990	amao:I634_00585
ko:K04095	amao:I634_00595
ko:K03150	amao:I634_00600
ko:K03149	amao:I634_00605
ko:K03154	amao:I634_00610
ko:K14153	amao:I634_00620
ko:K03147	amao:I634_00625
ko:K02498	amao:I634_00630
ko:K02496	amao:I634_00635
ko:K01749	amao:I634_00645
ko:K06999	amao:I634_00660
ko:K00942	amao:I634_00665
ko:K03060	amao:I634_00670
ko:K00556	amao:I634_00685
ko:K03655	amao:I634_00690
ko:K15984	amao:I634_00695
ko:K02012	amao:I634_00710
ko:K02011	amao:I634_00715
ko:K07007	amao:I634_00730
ko:K16091	amao:I634_00760
ko:K15726	amao:I634_00765
ko:K00099	amao:I634_05010
ko:K11749	amao:I634_05015
ko:K07277	amao:I634_05020
ko:K06142	amao:I634_05025
ko:K02372	amao:I634_05030
ko:K00677	amao:I634_05035
ko:K00748	amao:I634_05040
ko:K03470	amao:I634_05045
ko:K02337	amao:I634_05050
ko:K01962	amao:I634_05055
ko:K04075	amao:I634_05060
ko:K11991	amao:I634_05080
ko:K01952	amao:I634_05095
ko:K12541	amao:I634_05155
ko:K12542	amao:I634_05160
ko:K09860	amao:I634_05185
ko:K02399	amao:I634_05190
ko:K02398	amao:I634_05195
ko:K02386	amao:I634_05200
ko:K03415	amao:I634_05205
ko:K02387	amao:I634_05215
ko:K02388	amao:I634_05220
ko:K02389	amao:I634_05225
ko:K02390	amao:I634_05230
ko:K02391	amao:I634_05235
ko:K02392	amao:I634_05240
ko:K02393	amao:I634_05245
ko:K02394	amao:I634_05250
ko:K03570	amao:I634_01330
ko:K03571	amao:I634_01335
ko:K06287	amao:I634_01340
ko:K08301	amao:I634_01345
ko:K03568	amao:I634_01360
ko:K09889	amao:I634_01365
ko:K03592	amao:I634_01370
ko:K07773	amao:I634_01385
ko:K00703	amao:I634_01395
ko:K03439	amao:I634_01405
ko:K03575	amao:I634_01415
ko:K10674	amao:I634_01440
ko:K06160	amao:I634_01460
ko:K01434	amao:I634_01465
ko:K07644	amao:I634_01590
ko:K02837	amao:I634_05865
ko:K01887	amao:I634_05870
ko:K01738	amao:I634_05890
ko:K02836	amao:I634_05935
ko:K04567	amao:I634_05940
ko:K00077	amao:I634_05945
ko:K01919	amao:I634_05965
ko:K07320	amao:I634_05995
ko:K01736	amao:I634_06000
ko:K05820	amao:I634_06005
ko:K09786	amao:I634_06015
ko:K07180	amao:I634_06020
ko:K04564	amao:I634_06025
ko:K07390	amao:I634_06030
ko:K03088	amao:I634_06040
ko:K02192	amao:I634_06055
ko:K03683	amao:I634_06065
ko:K01126	amao:I634_06075
ko:K03704	amao:I634_06085
ko:K10773	amao:I634_06100
ko:K01669	amao:I634_10230
ko:K01669	amao:I634_10235
ko:K01669	amao:I634_10245
ko:K06876	amao:I634_10250
ko:K00901	amao:I634_10280
ko:K03594	amao:I634_10305
ko:K03594	amao:I634_10310
ko:K00404	amao:I634_10320
ko:K00405	amao:I634_10325
ko:K00407	amao:I634_10330
ko:K00406	amao:I634_10335
ko:K09926	amao:I634_10340
ko:K09792	amao:I634_10355
ko:K14055	amao:I634_10365
ko:K14058	amao:I634_10370
ko:K07001	amao:I634_10375
ko:K12410	amao:I634_10400
ko:K11065	amao:I634_10410
ko:K07733	amao:I634_10485
ko:K02654	amao:I634_14570
ko:K00859	amao:I634_14575
ko:K09862	amao:I634_14585
ko:K03070	amao:I634_14600
ko:K02535	amao:I634_14610
ko:K03531	amao:I634_14615
ko:K03590	amao:I634_14620
ko:K03589	amao:I634_14625
ko:K01921	amao:I634_14630
ko:K01924	amao:I634_14635
ko:K02563	amao:I634_14640
ko:K03588	amao:I634_14645
ko:K01925	amao:I634_14650
ko:K01000	amao:I634_14655
ko:K01929	amao:I634_14660
ko:K01928	amao:I634_14665
ko:K03587	amao:I634_14670
ko:K03586	amao:I634_14675
ko:K03438	amao:I634_14680
ko:K03925	amao:I634_14685
ko:K01273	amao:I634_14700
ko:K16872	amao:I634_14770
ko:K09761	amao:I634_14800
ko:K01920	amao:I634_14805
ko:K07735	amao:I634_14810
ko:K07447	amao:I634_14815
ko:K02521	amao:I634_18960
ko:K00053	amao:I634_18965
ko:K07552	amao:I634_18970
ko:K07278	amao:I634_18980
ko:K09800	amao:I634_18985
ko:K03088	amao:I634_18995
ko:K07107	amao:I634_19015
ko:K00931	amao:I634_19020
ko:K09986	amao:I634_19055
ko:K00762	amao:I634_19090
ko:K00989	amao:I634_19095
ko:K07154	amao:I634_19115
ko:K07133	amao:I634_19125
ko:K07733	amao:I634_19130
ko:K07727	amao:I634_19140
ko:K01153	amao:I634_19145
ko:K13292	amao:I634_03285
ko:K08218	amao:I634_03305
ko:K03580	amao:I634_03325
ko:K07175	amao:I634_03340
ko:K02302	amao:I634_03350
ko:K05592	amao:I634_03355
ko:K08714	amao:I634_03365
ko:K12340	amao:I634_03375
ko:K09920	amao:I634_03385
ko:K03651	amao:I634_03390
ko:K07000	amao:I634_03395
ko:K02622	amao:I634_03400
ko:K02356	amao:I634_03440
ko:K04568	amao:I634_03445
ko:K01273	amao:I634_03470
ko:K05527	amao:I634_03490
ko:K09962	amao:I634_03500
ko:K03321	amao:I634_03520
ko:K00362	amao:I634_03525
ko:K00363	amao:I634_03530
ko:K00372	amao:I634_03535
ko:K16345	amao:I634_07735
ko:K02083	amao:I634_07745
ko:K01868	amao:I634_07810
ko:K02520	amao:I634_07815
ko:K02916	amao:I634_07820
ko:K02887	amao:I634_07825
ko:K00790	amao:I634_07910
ko:K00075	amao:I634_07915
ko:K16703	amao:I634_07920
ko:K01889	amao:I634_07950
ko:K01890	amao:I634_07955
ko:K04764	amao:I634_07960
ko:K00133	amao:I634_12170
ko:K03473	amao:I634_12175
ko:K15461	amao:I634_12215
ko:K05776	amao:I634_12270
