ko:K19744	psg:G655_05385
ko:K03406	psg:G655_12140
ko:K00598	psg:G655_12190
ko:K00616	psg:G655_10890
ko:K09471	psg:G655_11000
ko:K02014	psg:G655_12700
ko:K02014	psg:G655_13375
ko:K02049	psg:G655_13405
ko:K02051	psg:G655_13410
ko:K02050	psg:G655_13415
ko:K03299	psg:G655_13445
ko:K00851	psg:G655_13450
ko:K09471	psg:G655_13465
ko:K02051	psg:G655_13505
ko:K02049	psg:G655_13510
ko:K02050	psg:G655_13515
ko:K02014	psg:G655_13595
ko:K07346	psg:G655_14480
ko:K02014	psg:G655_14655
ko:K01561	psg:G655_14670
ko:K02014	psg:G655_14750
ko:K00548	psg:G655_15930
ko:K04774	psg:G655_15995
ko:K00059	psg:G655_16020
ko:K01692	psg:G655_16050
ko:K03294	psg:G655_16060
ko:K02342	psg:G655_16075
ko:K03469	psg:G655_16080
ko:K00241	psg:G655_17305
ko:K04085	psg:G655_17395
ko:K07116	psg:G655_20125
ko:K03776	psg:G655_17410
ko:K03548	psg:G655_20265
ko:K00567	psg:G655_20325
ko:K03560	psg:G655_20495
ko:K04765	psg:G655_20680
ko:K11689	psg:G655_20925
ko:K11688	psg:G655_20930
ko:K01724	psg:G655_20995
ko:K01679	psg:G655_21085
ko:K03386	psg:G655_21115
ko:K01560	psg:G655_21305
ko:K07214	psg:G655_12785
ko:K00666	psg:G655_14020
ko:K02030	psg:G655_14130
ko:K00852	psg:G655_15360
ko:K10440	psg:G655_15370
ko:K03406	psg:G655_15455
ko:K09684	psg:G655_15535
ko:K02014	psg:G655_15560
ko:K08964	psg:G655_16770
ko:K06889	psg:G655_16785
ko:K00799	psg:G655_16930
ko:K03406	psg:G655_16975
ko:K02193	psg:G655_17845
ko:K00059	psg:G655_17865
ko:K00799	psg:G655_17885
ko:K02414	psg:G655_18010
ko:K07665	psg:G655_18030
ko:K03406	psg:G655_18100
ko:K01482	psg:G655_19220
ko:K09815	psg:G655_13015
ko:K01424	psg:G655_13780
ko:K12992	psg:G655_13880
ko:K06177	psg:G655_14890
ko:K00383	psg:G655_14975
ko:K03768	psg:G655_16200
ko:K02303	psg:G655_16275
ko:K03286	psg:G655_16280
ko:K01692	psg:G655_16430
ko:K02200	psg:G655_17805
ko:K02200	psg:G655_17810
ko:K01011	psg:G655_18705
ko:K08167	psg:G655_18755
ko:K02030	psg:G655_18870
ko:K03406	psg:G655_18915
ko:K02014	psg:G655_21460
ko:K03803	psg:G655_21540
ko:K07793	psg:G655_21610
ko:K07120	psg:G655_21615
ko:K06183	psg:G655_21715
ko:K01759	psg:G655_21805
ko:K11530	psg:G655_21810
ko:K01426	psg:G655_21840
ko:K02454	psg:G655_21930
ko:K14162	psg:G655_22015
ko:K08316	psg:G655_01885
ko:K03559	psg:G655_09880
ko:K15555	psg:G655_00930
ko:K06075	psg:G655_08055
ko:K03559	psg:G655_21895
ko:K00265	psg:G655_26530
ko:K00151	psg:G655_04085
ko:K03574	psg:G655_22630
ko:K08305	psg:G655_22850
ko:K02067	psg:G655_22900
ko:K02806	psg:G655_22950
ko:K11189	psg:G655_22960
ko:K01679	psg:G655_22985
ko:K02433	psg:G655_23050
ko:K01607	psg:G655_23065
ko:K00380	psg:G655_23200
ko:K07126	psg:G655_23215
ko:K07032	psg:G655_23225
ko:K03406	psg:G655_23235
ko:K00598	psg:G655_23745
ko:K15983	psg:G655_23840
ko:K18289	psg:G655_20940
ko:K05595	psg:G655_25615
ko:K07665	psg:G655_25765
ko:K00508	psg:G655_25780
ko:K03153	psg:G655_23975
ko:K02674	psg:G655_24005
ko:K01974	psg:G655_24160
ko:K02004	psg:G655_24200
ko:K00564	psg:G655_24405
ko:K07338	psg:G655_22485
ko:K00059	psg:G655_22575
ko:K03442	psg:G655_22600
ko:K03406	psg:G655_24435
ko:K04750	psg:G655_24485
ko:K02824	psg:G655_24515
ko:K07346	psg:G655_24535
ko:K02014	psg:G655_24660
ko:K02653	psg:G655_23270
ko:K07028	psg:G655_24785
ko:K07054	psg:G655_24865
ko:K00970	psg:G655_24915
ko:K03177	psg:G655_24990
ko:K02427	psg:G655_25040
ko:K03711	psg:G655_25100
ko:K00101	psg:G655_25135
ko:K00626	psg:G655_25210
ko:K00059	psg:G655_25215
ko:K00127	psg:G655_25370
ko:K00124	psg:G655_25375
ko:K00219	psg:G655_25395
ko:K02014	psg:G655_25515
ko:K01585	psg:G655_25525
ko:K14233	psg:G655_t29344
ko:K14232	psg:G655_t29368
ko:K14231	psg:G655_t29392
ko:K15555	psg:G655_07480
ko:K03417	psg:G655_21375
ko:K02030	psg:G655_26260
ko:K02030	psg:G655_21480
ko:K11070	psg:G655_01635
ko:K11070	psg:G655_06750
ko:K03821	psg:G655_26630
ko:K03821	psg:G655_26640
ko:K03183	psg:G655_26665
ko:K03690	psg:G655_26670
ko:K03688	psg:G655_26675
ko:K03116	psg:G655_26690
ko:K03117	psg:G655_26695
ko:K03118	psg:G655_26700
ko:K03669	psg:G655_26735
ko:K03670	psg:G655_26740
ko:K07560	psg:G655_26745
ko:K10001	psg:G655_26760
ko:K00285	psg:G655_26770
ko:K01468	psg:G655_26810
ko:K01745	psg:G655_26815
ko:K02000	psg:G655_26820
ko:K02001	psg:G655_26825
ko:K02002	psg:G655_26830
ko:K01745	psg:G655_26840
ko:K01712	psg:G655_26850
ko:K02002	psg:G655_26865
ko:K09975	psg:G655_26870
ko:K05836	psg:G655_26875
ko:K03098	psg:G655_26885
ko:K01589	psg:G655_28530
ko:K01588	psg:G655_28535
ko:K01744	psg:G655_28550
ko:K07112	psg:G655_28555
ko:K00375	psg:G655_28560
ko:K03835	psg:G655_28575
ko:K01960	psg:G655_28580
ko:K00036	psg:G655_28605
ko:K08303	psg:G655_28610
ko:K03657	psg:G655_28630
ko:K12995	psg:G655_28650
ko:K01711	psg:G655_28680
ko:K07088	psg:G655_28745
ko:K03300	psg:G655_28755
ko:K02839	psg:G655_28765
ko:K03324	psg:G655_28780
ko:K18150	psg:G655_06200
ko:K14223	psg:G655_t29374
ko:K14221	psg:G655_t29294
ko:K14221	psg:G655_t29308
ko:K14221	psg:G655_t29310
ko:K14221	psg:G655_t29334
ko:K14219	psg:G655_t29272
ko:K14229	psg:G655_t29346
ko:K14229	psg:G655_t29366
ko:K01055	psg:G655_02435
ko:K01638	psg:G655_02445
ko:K05786	psg:G655_02460
ko:K02019	psg:G655_02470
ko:K05811	psg:G655_02475
ko:K07160	psg:G655_02495
ko:K01961	psg:G655_02505
ko:K01012	psg:G655_02525
ko:K02170	psg:G655_02535
ko:K02169	psg:G655_02540
ko:K01935	psg:G655_02545
ko:K15864	psg:G655_02620
ko:K02164	psg:G655_02630
ko:K02305	psg:G655_02640
ko:K04561	psg:G655_02645
ko:K02448	psg:G655_02650
ko:K00864	psg:G655_06900
ko:K07552	psg:G655_06930
ko:K00140	psg:G655_06945
ko:K01908	psg:G655_06955
ko:K03424	psg:G655_06980
ko:K03435	psg:G655_06985
ko:K02769	psg:G655_07000
ko:K02770	psg:G655_07000
ko:K00012	psg:G655_07005
ko:K12963	psg:G655_07010
ko:K12962	psg:G655_07015
ko:K07264	psg:G655_07020
ko:K13014	psg:G655_07025
ko:K10011	psg:G655_07030
ko:K10012	psg:G655_07035
ko:K07806	psg:G655_07040
ko:K16081	psg:G655_07080
ko:K09861	psg:G655_07105
ko:K00611	psg:G655_07115
ko:K12685	psg:G655_07125
ko:K07390	psg:G655_07135
ko:K03594	psg:G655_07145
ko:K02192	psg:G655_07150
ko:K06872	psg:G655_02715
ko:K03744	psg:G655_02720
ko:K03611	psg:G655_02725
ko:K00789	psg:G655_02765
ko:K00615	psg:G655_02775
ko:K03841	psg:G655_26900
ko:K12686	psg:G655_26910
ko:K06207	psg:G655_26935
ko:K03151	psg:G655_26940
ko:K01915	psg:G655_26945
ko:K07708	psg:G655_26970
ko:K07712	psg:G655_26975
ko:K03216	psg:G655_26985
ko:K03071	psg:G655_26990
ko:K15633	psg:G655_27005
ko:K03797	psg:G655_27020
ko:K09798	psg:G655_27025
ko:K02500	psg:G655_27050
ko:K01814	psg:G655_27055
ko:K02501	psg:G655_27065
ko:K01693	psg:G655_27070
ko:K07289	psg:G655_27090
ko:K03575	psg:G655_27095
ko:K02029	psg:G655_27130
ko:K02029	psg:G655_27135
ko:K03543	psg:G655_27155
ko:K03446	psg:G655_27160
ko:K11102	psg:G655_28810
ko:K11384	psg:G655_28825
ko:K11066	psg:G655_28835
ko:K03673	psg:G655_28855
ko:K03978	psg:G655_28870
ko:K02204	psg:G655_28885
ko:K09823	psg:G655_28905
ko:K09817	psg:G655_28910
ko:K09816	psg:G655_28915
ko:K02071	psg:G655_28925
ko:K02072	psg:G655_28930
ko:K02073	psg:G655_28935
ko:K01915	psg:G655_28950
ko:K10126	psg:G655_28965
ko:K10125	psg:G655_28970
ko:K00868	psg:G655_28995
ko:K01915	psg:G655_29025
ko:K01845	psg:G655_29030
ko:K03832	psg:G655_29070
ko:K06204	psg:G655_29095
ko:K01448	psg:G655_29105
ko:K01802	psg:G655_06210
ko:K03472	psg:G655_02790
ko:K00927	psg:G655_02795
ko:K01624	psg:G655_02810
ko:K07007	psg:G655_02830
ko:K07043	psg:G655_02835
ko:K03086	psg:G655_02915
ko:K09117	psg:G655_02925
ko:K02970	psg:G655_02930
ko:K08591	psg:G655_02940
ko:K01633	psg:G655_02945
ko:K00950	psg:G655_02950
ko:K09786	psg:G655_02970
ko:K07180	psg:G655_02975
ko:K02439	psg:G655_02980
ko:K03683	psg:G655_07160
ko:K06878	psg:G655_08725
ko:K02065	psg:G655_08775
ko:K02066	psg:G655_08780
ko:K06940	psg:G655_08790
ko:K09780	psg:G655_08825
ko:K06190	psg:G655_08830
ko:K07053	psg:G655_08835
ko:K05896	psg:G655_08845
ko:K06024	psg:G655_08850
ko:K00134	psg:G655_08865
ko:K01690	psg:G655_08870
ko:K07267	psg:G655_08915
ko:K00036	psg:G655_08930
ko:K01057	psg:G655_08935
ko:K01625	psg:G655_08940
ko:K06178	psg:G655_08950
ko:K03312	psg:G655_08965
ko:K06195	psg:G655_02990
ko:K02528	psg:G655_02995
ko:K00097	psg:G655_03000
ko:K03771	psg:G655_03005
ko:K04744	psg:G655_03010
ko:K07102	psg:G655_03015
ko:K05801	psg:G655_03025
ko:K02054	psg:G655_03060
ko:K02053	psg:G655_03065
ko:K01783	psg:G655_03070
ko:K01091	psg:G655_03075
ko:K01657	psg:G655_03080
ko:K00766	psg:G655_03205
ko:K01609	psg:G655_03210
ko:K07397	psg:G655_03220
ko:K01611	psg:G655_03225
ko:K06134	psg:G655_03230
ko:K02503	psg:G655_03235
ko:K07124	psg:G655_03245
ko:K00459	psg:G655_03255
ko:K08973	psg:G655_03260
ko:K00145	psg:G655_03265
ko:K11734	psg:G655_09785
ko:K00346	psg:G655_09790
ko:K00347	psg:G655_09795
ko:K00348	psg:G655_09800
ko:K00349	psg:G655_09805
ko:K00350	psg:G655_09810
ko:K00351	psg:G655_09815
ko:K03734	psg:G655_09820
ko:K05952	psg:G655_09825
ko:K00322	psg:G655_09830
ko:K01126	psg:G655_09835
ko:K09808	psg:G655_09850
ko:K09810	psg:G655_09855
ko:K09808	psg:G655_09860
ko:K09928	psg:G655_09865
ko:K03561	psg:G655_09875
ko:K00912	psg:G655_09885
ko:K09791	psg:G655_09890
ko:K00979	psg:G655_09895
ko:K00075	psg:G655_09905
ko:K08300	psg:G655_09910
ko:K01091	psg:G655_09920
ko:K04773	psg:G655_09925
ko:K07040	psg:G655_09935
ko:K02911	psg:G655_09940
ko:K03621	psg:G655_09945
ko:K00645	psg:G655_09950
ko:K02078	psg:G655_09960
ko:K09458	psg:G655_09965
ko:K07082	psg:G655_09975
ko:K00943	psg:G655_09980
ko:K02341	psg:G655_09985
ko:K02676	psg:G655_09990
ko:K03424	psg:G655_09995
ko:K09986	psg:G655_10020
ko:K00311	psg:G655_10025
ko:K03521	psg:G655_10030
ko:K03522	psg:G655_10035
ko:K00209	psg:G655_10040
ko:K15724	psg:G655_03280
ko:K09001	psg:G655_03285
ko:K01866	psg:G655_03295
ko:K03524	psg:G655_03300
ko:K03525	psg:G655_03305
ko:K02358	psg:G655_03315
ko:K03073	psg:G655_03320
ko:K02601	psg:G655_03325
ko:K02867	psg:G655_03330
ko:K02863	psg:G655_03335
ko:K02864	psg:G655_03340
ko:K02935	psg:G655_03350
ko:K03043	psg:G655_03355
ko:K03046	psg:G655_03360
ko:K02950	psg:G655_03365
ko:K02992	psg:G655_03370
ko:K02355	psg:G655_03375
ko:K02358	psg:G655_03380
ko:K02946	psg:G655_03385
ko:K02906	psg:G655_03390
ko:K02926	psg:G655_03395
ko:K02892	psg:G655_03400
ko:K02886	psg:G655_03405
ko:K02965	psg:G655_03410
ko:K02890	psg:G655_03415
ko:K02982	psg:G655_03420
ko:K02878	psg:G655_03425
ko:K02904	psg:G655_03430
ko:K02961	psg:G655_03435
ko:K02874	psg:G655_03440
ko:K02895	psg:G655_03445
ko:K02931	psg:G655_03450
ko:K02954	psg:G655_03455
ko:K02994	psg:G655_03460
ko:K02933	psg:G655_03465
ko:K02881	psg:G655_03470
ko:K02988	psg:G655_03475
ko:K02907	psg:G655_03480
ko:K02876	psg:G655_03485
ko:K03076	psg:G655_03490
ko:K02919	psg:G655_03495
ko:K02952	psg:G655_03500
ko:K02948	psg:G655_03505
ko:K02986	psg:G655_03510
ko:K03040	psg:G655_03515
ko:K02879	psg:G655_03520
ko:K03781	psg:G655_03525
ko:K05936	psg:G655_10050
ko:K02189	psg:G655_10055
ko:K02234	psg:G655_10070
ko:K02230	psg:G655_10075
ko:K01626	psg:G655_10080
ko:K13580	psg:G655_10090
ko:K10680	psg:G655_10140
ko:K10017	psg:G655_10175
ko:K10015	psg:G655_10180
ko:K10016	psg:G655_10185
ko:K02015	psg:G655_10235
ko:K02016	psg:G655_10240
ko:K02013	psg:G655_10245
ko:K05895	psg:G655_10260
ko:K02188	psg:G655_10265
ko:K02229	psg:G655_10275
ko:K06042	psg:G655_10280
ko:K03394	psg:G655_10285
ko:K13541	psg:G655_10290
ko:K03088	psg:G655_10325
ko:K03594	psg:G655_03530
ko:K03701	psg:G655_03535
ko:K04782	psg:G655_03555
ko:K12243	psg:G655_03570
ko:K16088	psg:G655_03600
ko:K13063	psg:G655_03635
ko:K01626	psg:G655_03645
ko:K00459	psg:G655_03695
ko:K01921	psg:G655_03700
ko:K01714	psg:G655_03740
ko:K08368	psg:G655_03745
ko:K07734	psg:G655_03770
ko:K01652	psg:G655_03780
ko:K07787	psg:G655_03800
ko:K07798	psg:G655_03805
ko:K13776	psg:G655_10340
ko:K13777	psg:G655_10350
ko:K13779	psg:G655_10355
ko:K11731	psg:G655_10360
ko:K13778	psg:G655_10365
ko:K13774	psg:G655_10370
ko:K01591	psg:G655_10425
ko:K03924	psg:G655_10430
ko:K03424	psg:G655_10475
ko:K15977	psg:G655_10485
ko:K01975	psg:G655_10500
ko:K04760	psg:G655_10510
ko:K02003	psg:G655_10520
ko:K10804	psg:G655_10525
ko:K02356	psg:G655_10550
ko:K07090	psg:G655_10570
ko:K09927	psg:G655_10585
ko:K01626	psg:G655_10590
ko:K05592	psg:G655_10605
ko:K01142	psg:G655_03845
ko:K05520	psg:G655_03850
ko:K16088	psg:G655_03865
ko:K06222	psg:G655_03870
ko:K02030	psg:G655_27045
ko:K02030	psg:G655_27740
ko:K00146	psg:G655_04315
ko:K17316	psg:G655_08900
ko:K07679	psg:G655_12090
ko:K00375	psg:G655_03880
ko:K02015	psg:G655_03895
ko:K02015	psg:G655_03900
ko:K02016	psg:G655_03905
ko:K02013	psg:G655_03910
ko:K07184	psg:G655_03930
ko:K00627	psg:G655_03940
ko:K12340	psg:G655_03980
ko:K13409	psg:G655_03985
ko:K13408	psg:G655_03990
ko:K01866	psg:G655_04010
ko:K07552	psg:G655_04020
ko:K00404	psg:G655_04035
ko:K00381	psg:G655_04050
ko:K02509	psg:G655_04065
ko:K03543	psg:G655_10625
ko:K03799	psg:G655_10655
ko:K14260	psg:G655_10665
ko:K00432	psg:G655_10675
ko:K06923	psg:G655_10690
ko:K03088	psg:G655_10775
ko:K07644	psg:G655_10820
ko:K06879	psg:G655_10840
ko:K07107	psg:G655_10865
ko:K04754	psg:G655_10870
ko:K00455	psg:G655_04080
ko:K05921	psg:G655_04090
ko:K05921	psg:G655_04095
ko:K02508	psg:G655_04100
ko:K06966	psg:G655_04125
ko:K08159	psg:G655_04135
ko:K07267	psg:G655_04185
ko:K09956	psg:G655_04230
ko:K01845	psg:G655_04240
ko:K07345	psg:G655_04250
ko:K07347	psg:G655_04260
ko:K07687	psg:G655_04280
ko:K00067	psg:G655_04335
ko:K07275	psg:G655_04350
ko:K09950	psg:G655_04355
ko:K08963	psg:G655_09000
