ko:K01006	lmx:LMOSLCC2372_1933
ko:K03531	lmx:LMOSLCC2372_2099
ko:K03590	lmx:LMOSLCC2372_2100
ko:K03589	lmx:LMOSLCC2372_2101
ko:K02563	lmx:LMOSLCC2372_2102
ko:K01925	lmx:LMOSLCC2372_2103
ko:K01000	lmx:LMOSLCC2372_2104
ko:K00426	lmx:LMOSLCC2372_2796
ko:K00425	lmx:LMOSLCC2372_2797
ko:K01895	lmx:LMOSLCC2372_2799
ko:K02768	lmx:LMOSLCC2372_2812
ko:K02769	lmx:LMOSLCC2372_2812
ko:K02770	lmx:LMOSLCC2372_2812
ko:K00865	lmx:LMOSLCC2372_2815
ko:K12410	lmx:LMOSLCC2372_2818
ko:K01875	lmx:LMOSLCC2372_2826
ko:K06978	lmx:LMOSLCC2372_2834
ko:K00848	lmx:LMOSLCC2372_2928
ko:K03217	lmx:LMOSLCC2372_2933
ko:K03536	lmx:LMOSLCC2372_2934
ko:K02914	lmx:LMOSLCC2372_2935
ko:K03654	lmx:LMOSLCC2372_2836
ko:K01223	lmx:LMOSLCC2372_2840
ko:K02760	lmx:LMOSLCC2372_2841
ko:K02761	lmx:LMOSLCC2372_2842
ko:K02759	lmx:LMOSLCC2372_2844
ko:K01919	lmx:LMOSLCC2372_2849
ko:K01223	lmx:LMOSLCC2372_2850
ko:K02003	lmx:LMOSLCC2372_2853
ko:K06942	lmx:LMOSLCC2372_2858
ko:K02759	lmx:LMOSLCC2372_2859
ko:K05349	lmx:LMOSLCC2372_2860
ko:K02760	lmx:LMOSLCC2372_2861
ko:K02761	lmx:LMOSLCC2372_2862
ko:K03781	lmx:LMOSLCC2372_2864
ko:K02313	lmx:LMOSLCC2372_0001
ko:K02338	lmx:LMOSLCC2372_0002
ko:K03629	lmx:LMOSLCC2372_0005
ko:K02470	lmx:LMOSLCC2372_0006
ko:K02469	lmx:LMOSLCC2372_0007
ko:K06131	lmx:LMOSLCC2372_0008
ko:K02826	lmx:LMOSLCC2372_0013
ko:K02827	lmx:LMOSLCC2372_0014
ko:K02828	lmx:LMOSLCC2372_0015
ko:K02829	lmx:LMOSLCC2372_0016
ko:K07282	lmx:LMOSLCC2372_0017
ko:K01223	lmx:LMOSLCC2372_0018
ko:K02529	lmx:LMOSLCC2372_0031
ko:K02761	lmx:LMOSLCC2372_0034
ko:K13252	lmx:LMOSLCC2372_0036
ko:K10536	lmx:LMOSLCC2372_0038
ko:K00926	lmx:LMOSLCC2372_0039
ko:K01118	lmx:LMOSLCC2372_0796
ko:K11737	lmx:LMOSLCC2372_0797
ko:K07150	lmx:LMOSLCC2372_0803
ko:K07118	lmx:LMOSLCC2372_0804
ko:K05786	lmx:LMOSLCC2372_0805
ko:K11733	lmx:LMOSLCC2372_0808
ko:K00847	lmx:LMOSLCC2372_0823
ko:K03324	lmx:LMOSLCC2372_0836
ko:K03737	lmx:LMOSLCC2372_0839
ko:K04041	lmx:LMOSLCC2372_0840
ko:K07088	lmx:LMOSLCC2372_0841
ko:K13256	lmx:LMOSLCC2372_0846
ko:K00962	lmx:LMOSLCC2372_1392
ko:K06949	lmx:LMOSLCC2372_1393
ko:K02913	lmx:LMOSLCC2372_1396
ko:K02247	lmx:LMOSLCC2372_1404
ko:K00605	lmx:LMOSLCC2372_1409
ko:K00282	lmx:LMOSLCC2372_1410
ko:K00283	lmx:LMOSLCC2372_1411
ko:K02356	lmx:LMOSLCC2372_1416
ko:K02160	lmx:LMOSLCC2372_1417
ko:K01961	lmx:LMOSLCC2372_1418
ko:K03625	lmx:LMOSLCC2372_1420
ko:K01491	lmx:LMOSLCC2372_1421
ko:K03601	lmx:LMOSLCC2372_1422
ko:K03602	lmx:LMOSLCC2372_1423
ko:K13789	lmx:LMOSLCC2372_1424
ko:K03704	lmx:LMOSLCC2372_1425
ko:K01662	lmx:LMOSLCC2372_1426
ko:K06442	lmx:LMOSLCC2372_1427
ko:K03402	lmx:LMOSLCC2372_1428
ko:K03631	lmx:LMOSLCC2372_1429
ko:K00382	lmx:LMOSLCC2372_1432
ko:K00166	lmx:LMOSLCC2372_1433
ko:K00167	lmx:LMOSLCC2372_1434
ko:K09699	lmx:LMOSLCC2372_1435
ko:K01928	lmx:LMOSLCC2372_2105
ko:K03438	lmx:LMOSLCC2372_2108
ko:K03925	lmx:LMOSLCC2372_2109
ko:K00077	lmx:LMOSLCC2372_2112
ko:K02911	lmx:LMOSLCC2372_2113
ko:K07040	lmx:LMOSLCC2372_2114
ko:K00954	lmx:LMOSLCC2372_2118
ko:K02259	lmx:LMOSLCC2372_2124
ko:K10716	lmx:LMOSLCC2372_2125
ko:K14166	lmx:LMOSLCC2372_2128
ko:K03282	lmx:LMOSLCC2372_2130
ko:K01442	lmx:LMOSLCC2372_2133
ko:K04077	lmx:LMOSLCC2372_2134
ko:K04078	lmx:LMOSLCC2372_2135
ko:K01926	lmx:LMOSLCC2372_2139
ko:K06158	lmx:LMOSLCC2372_2140
ko:K03789	lmx:LMOSLCC2372_2143
ko:K06925	lmx:LMOSLCC2372_2145
ko:K06199	lmx:LMOSLCC2372_2148
ko:K06199	lmx:LMOSLCC2372_2149
ko:K03501	lmx:LMOSLCC2372_2881
ko:K03495	lmx:LMOSLCC2372_2890
ko:K03650	lmx:LMOSLCC2372_2891
ko:K08170	lmx:LMOSLCC2372_2898
ko:K00831	lmx:LMOSLCC2372_2905
ko:K07078	lmx:LMOSLCC2372_2909
ko:K00865	lmx:LMOSLCC2372_2912
ko:K03534	lmx:LMOSLCC2372_2925
ko:K10536	lmx:LMOSLCC2372_0040
ko:K03481	lmx:LMOSLCC2372_0041
ko:K03975	lmx:LMOSLCC2372_0042
ko:K02990	lmx:LMOSLCC2372_0044
ko:K02963	lmx:LMOSLCC2372_0046
ko:K07813	lmx:LMOSLCC2372_0048
ko:K07707	lmx:LMOSLCC2372_0051
ko:K02939	lmx:LMOSLCC2372_0053
ko:K01939	lmx:LMOSLCC2372_0056
ko:K03466	lmx:LMOSLCC2372_0062
ko:K10778	lmx:LMOSLCC2372_0076
ko:K16329	lmx:LMOSLCC2372_2402
ko:K02110	lmx:LMOSLCC2372_0087
ko:K02113	lmx:LMOSLCC2372_0088
ko:K02111	lmx:LMOSLCC2372_0089
ko:K02115	lmx:LMOSLCC2372_0090
ko:K02112	lmx:LMOSLCC2372_0091
ko:K02114	lmx:LMOSLCC2372_0092
ko:K01921	lmx:LMOSLCC2372_0866
ko:K01929	lmx:LMOSLCC2372_0867
ko:K02529	lmx:LMOSLCC2372_0869
ko:K05592	lmx:LMOSLCC2372_0878
ko:K02759	lmx:LMOSLCC2372_0886
ko:K02760	lmx:LMOSLCC2372_0887
ko:K02761	lmx:LMOSLCC2372_0888
ko:K00231	lmx:LMOSLCC2372_0896
ko:K03217	lmx:LMOSLCC2372_1441
ko:K01512	lmx:LMOSLCC2372_1442
ko:K07146	lmx:LMOSLCC2372_1445
ko:K03466	lmx:LMOSLCC2372_1447
ko:K00286	lmx:LMOSLCC2372_1448
ko:K07335	lmx:LMOSLCC2372_1449
ko:K02057	lmx:LMOSLCC2372_1451
ko:K02057	lmx:LMOSLCC2372_1452
ko:K00995	lmx:LMOSLCC2372_1457
ko:K03823	lmx:LMOSLCC2372_1461
ko:K09769	lmx:LMOSLCC2372_1462
ko:K03555	lmx:LMOSLCC2372_1464
ko:K03572	lmx:LMOSLCC2372_1465
ko:K00656	lmx:LMOSLCC2372_1467
ko:K04069	lmx:LMOSLCC2372_1468
ko:K07727	lmx:LMOSLCC2372_1472
ko:K00075	lmx:LMOSLCC2372_1481
ko:K05847	lmx:LMOSLCC2372_1482
ko:K03322	lmx:LMOSLCC2372_1485
ko:K05846	lmx:LMOSLCC2372_1486
ko:K01940	lmx:LMOSLCC2372_2157
ko:K01755	lmx:LMOSLCC2372_2158
ko:K01628	lmx:LMOSLCC2372_2161
ko:K02774	lmx:LMOSLCC2372_2164
ko:K02773	lmx:LMOSLCC2372_2165
ko:K06215	lmx:LMOSLCC2372_2168
ko:K08681	lmx:LMOSLCC2372_2169
ko:K04758	lmx:LMOSLCC2372_2171
ko:K04759	lmx:LMOSLCC2372_2172
ko:K01443	lmx:LMOSLCC2372_2176
ko:K01809	lmx:LMOSLCC2372_2178
ko:K02003	lmx:LMOSLCC2372_2182
ko:K03431	lmx:LMOSLCC2372_2186
ko:K01448	lmx:LMOSLCC2372_0128
ko:K06975	lmx:LMOSLCC2372_0134
ko:K02034	lmx:LMOSLCC2372_0137
ko:K00997	lmx:LMOSLCC2372_0897
ko:K01775	lmx:LMOSLCC2372_0898
ko:K07723	lmx:LMOSLCC2372_0899
ko:K03321	lmx:LMOSLCC2372_0909
ko:K06959	lmx:LMOSLCC2372_0910
ko:K02761	lmx:LMOSLCC2372_0914
ko:K02760	lmx:LMOSLCC2372_0927
ko:K02761	lmx:LMOSLCC2372_0928
ko:K02759	lmx:LMOSLCC2372_0929
ko:K01223	lmx:LMOSLCC2372_0930
ko:K07089	lmx:LMOSLCC2372_0933
ko:K03652	lmx:LMOSLCC2372_0941
ko:K05845	lmx:LMOSLCC2372_1487
ko:K05846	lmx:LMOSLCC2372_1488
ko:K05847	lmx:LMOSLCC2372_1489
ko:K01714	lmx:LMOSLCC2372_1496
ko:K00928	lmx:LMOSLCC2372_1497
ko:K00133	lmx:LMOSLCC2372_1498
ko:K04564	lmx:LMOSLCC2372_1501
ko:K09816	lmx:LMOSLCC2372_1508
ko:K09817	lmx:LMOSLCC2372_1509
ko:K01151	lmx:LMOSLCC2372_1511
ko:K03527	lmx:LMOSLCC2372_1513
ko:K06967	lmx:LMOSLCC2372_1515
ko:K03086	lmx:LMOSLCC2372_1516
ko:K09768	lmx:LMOSLCC2372_1518
ko:K09773	lmx:LMOSLCC2372_1519
ko:K01879	lmx:LMOSLCC2372_1520
ko:K01878	lmx:LMOSLCC2372_1521
ko:K03584	lmx:LMOSLCC2372_1522
ko:K07042	lmx:LMOSLCC2372_1527
ko:K07037	lmx:LMOSLCC2372_1528
ko:K09117	lmx:LMOSLCC2372_1530
ko:K02970	lmx:LMOSLCC2372_1531
ko:K09761	lmx:LMOSLCC2372_1532
ko:K01624	lmx:LMOSLCC2372_2201
ko:K01624	lmx:LMOSLCC2372_2202
ko:K03710	lmx:LMOSLCC2372_2212
ko:K03671	lmx:LMOSLCC2372_2220
ko:K08177	lmx:LMOSLCC2372_2239
ko:K09817	lmx:LMOSLCC2372_0155
ko:K09816	lmx:LMOSLCC2372_0156
ko:K02341	lmx:LMOSLCC2372_0163
ko:K07461	lmx:LMOSLCC2372_0167
ko:K07056	lmx:LMOSLCC2372_0168
ko:K06284	lmx:LMOSLCC2372_0169
ko:K01874	lmx:LMOSLCC2372_0178
ko:K03424	lmx:LMOSLCC2372_0186
ko:K05985	lmx:LMOSLCC2372_0188
ko:K02528	lmx:LMOSLCC2372_0189
ko:K00919	lmx:LMOSLCC2372_0191
ko:K02003	lmx:LMOSLCC2372_0195
ko:K06412	lmx:LMOSLCC2372_0197
ko:K03800	lmx:LMOSLCC2372_0944
ko:K03216	lmx:LMOSLCC2372_0948
ko:K04079	lmx:LMOSLCC2372_0955
ko:K04047	lmx:LMOSLCC2372_0956
ko:K03449	lmx:LMOSLCC2372_0960
ko:K01443	lmx:LMOSLCC2372_0969
ko:K03710	lmx:LMOSLCC2372_0971
ko:K08303	lmx:LMOSLCC2372_0974
ko:K03744	lmx:LMOSLCC2372_0975
ko:K03799	lmx:LMOSLCC2372_0976
ko:K00858	lmx:LMOSLCC2372_0981
ko:K06180	lmx:LMOSLCC2372_0982
ko:K00208	lmx:LMOSLCC2372_0983
ko:K03740	lmx:LMOSLCC2372_0984
ko:K14188	lmx:LMOSLCC2372_0985
ko:K03739	lmx:LMOSLCC2372_0986
ko:K03367	lmx:LMOSLCC2372_0987
ko:K01807	lmx:LMOSLCC2372_0989
ko:K02687	lmx:LMOSLCC2372_1533
ko:K03686	lmx:LMOSLCC2372_1534
ko:K04043	lmx:LMOSLCC2372_1535
ko:K03687	lmx:LMOSLCC2372_1536
ko:K03705	lmx:LMOSLCC2372_1537
ko:K03596	lmx:LMOSLCC2372_1541
ko:K02968	lmx:LMOSLCC2372_1542
ko:K02340	lmx:LMOSLCC2372_1543
ko:K02237	lmx:LMOSLCC2372_1546
ko:K09710	lmx:LMOSLCC2372_1548
ko:K00969	lmx:LMOSLCC2372_1550
ko:K07574	lmx:LMOSLCC2372_1551
ko:K00014	lmx:LMOSLCC2372_1552
ko:K07015	lmx:LMOSLCC2372_1554
ko:K03624	lmx:LMOSLCC2372_1558
ko:K00876	lmx:LMOSLCC2372_1559
ko:K07082	lmx:LMOSLCC2372_1561
ko:K07447	lmx:LMOSLCC2372_1564
ko:K01872	lmx:LMOSLCC2372_1566
ko:K02003	lmx:LMOSLCC2372_1567
ko:K03581	lmx:LMOSLCC2372_1571
ko:K00566	lmx:LMOSLCC2372_1574
ko:K04487	lmx:LMOSLCC2372_1575
ko:K07478	lmx:LMOSLCC2372_1576
ko:K03320	lmx:LMOSLCC2372_1578
ko:K04751	lmx:LMOSLCC2372_1579
ko:K08600	lmx:LMOSLCC2372_2249
ko:K02013	lmx:LMOSLCC2372_2250
ko:K02015	lmx:LMOSLCC2372_2251
ko:K02016	lmx:LMOSLCC2372_2252
ko:K08602	lmx:LMOSLCC2372_2256
ko:K15581	lmx:LMOSLCC2372_2263
ko:K15580	lmx:LMOSLCC2372_2264
ko:K01867	lmx:LMOSLCC2372_2266
ko:K09458	lmx:LMOSLCC2372_2269
ko:K00648	lmx:LMOSLCC2372_2270
ko:K03695	lmx:LMOSLCC2372_2274
ko:K06890	lmx:LMOSLCC2372_2275
ko:K01772	lmx:LMOSLCC2372_2279
ko:K01599	lmx:LMOSLCC2372_2280
ko:K02503	lmx:LMOSLCC2372_2284
ko:K06412	lmx:LMOSLCC2372_0198
ko:K04042	lmx:LMOSLCC2372_0199
ko:K00948	lmx:LMOSLCC2372_0200
ko:K01114	lmx:LMOSLCC2372_0206
ko:K02897	lmx:LMOSLCC2372_0212
ko:K01056	lmx:LMOSLCC2372_0214
ko:K03723	lmx:LMOSLCC2372_0215
ko:K07571	lmx:LMOSLCC2372_0219
ko:K03798	lmx:LMOSLCC2372_0221
ko:K03525	lmx:LMOSLCC2372_0222
ko:K04083	lmx:LMOSLCC2372_0223
ko:K01738	lmx:LMOSLCC2372_0224
ko:K00796	lmx:LMOSLCC2372_0226
ko:K01633	lmx:LMOSLCC2372_0227
ko:K00950	lmx:LMOSLCC2372_0228
ko:K04567	lmx:LMOSLCC2372_0230
ko:K03696	lmx:LMOSLCC2372_0234
ko:K00826	lmx:LMOSLCC2372_0992
ko:K00432	lmx:LMOSLCC2372_0997
ko:K02837	lmx:LMOSLCC2372_1002
ko:K05823	lmx:LMOSLCC2372_1026
ko:K02000	lmx:LMOSLCC2372_1028
ko:K02001	lmx:LMOSLCC2372_1029
ko:K02002	lmx:LMOSLCC2372_1030
ko:K00243	lmx:LMOSLCC2372_1033
ko:K11622	lmx:LMOSLCC2372_1034
ko:K01876	lmx:LMOSLCC2372_1581
ko:K01892	lmx:LMOSLCC2372_1582
ko:K01448	lmx:LMOSLCC2372_1583
ko:K07560	lmx:LMOSLCC2372_1584
ko:K00759	lmx:LMOSLCC2372_1586
ko:K07462	lmx:LMOSLCC2372_1587
ko:K12257	lmx:LMOSLCC2372_1589
ko:K03210	lmx:LMOSLCC2372_1591
ko:K00773	lmx:LMOSLCC2372_1592
ko:K07568	lmx:LMOSLCC2372_1593
ko:K03551	lmx:LMOSLCC2372_1594
ko:K03550	lmx:LMOSLCC2372_1595
ko:K03979	lmx:LMOSLCC2372_1599
ko:K00864	lmx:LMOSLCC2372_1600
ko:K02440	lmx:LMOSLCC2372_1601
ko:K02899	lmx:LMOSLCC2372_1602
ko:K02888	lmx:LMOSLCC2372_1604
ko:K08301	lmx:LMOSLCC2372_1605
ko:K03609	lmx:LMOSLCC2372_1606
ko:K03610	lmx:LMOSLCC2372_1607
ko:K03571	lmx:LMOSLCC2372_1608
ko:K03570	lmx:LMOSLCC2372_1609
ko:K03569	lmx:LMOSLCC2372_1610
ko:K03630	lmx:LMOSLCC2372_1611
ko:K11754	lmx:LMOSLCC2372_1614
ko:K01873	lmx:LMOSLCC2372_1615
ko:K01845	lmx:LMOSLCC2372_1616
ko:K01698	lmx:LMOSLCC2372_1617
ko:K01749	lmx:LMOSLCC2372_1619
ko:K02492	lmx:LMOSLCC2372_1620
ko:K03978	lmx:LMOSLCC2372_1621
ko:K01868	lmx:LMOSLCC2372_1622
ko:K07738	lmx:LMOSLCC2372_1625
ko:K00014	lmx:LMOSLCC2372_2304
ko:K13531	lmx:LMOSLCC2372_2310
ko:K13530	lmx:LMOSLCC2372_2311
ko:K06180	lmx:LMOSLCC2372_2312
ko:K07220	lmx:LMOSLCC2372_2316
ko:K03306	lmx:LMOSLCC2372_2317
ko:K06901	lmx:LMOSLCC2372_2322
ko:K05520	lmx:LMOSLCC2372_2324
ko:K02759	lmx:LMOSLCC2372_2326
ko:K04485	lmx:LMOSLCC2372_0235
ko:K00991	lmx:LMOSLCC2372_0237
ko:K01770	lmx:LMOSLCC2372_0238
ko:K00640	lmx:LMOSLCC2372_0240
ko:K01883	lmx:LMOSLCC2372_0241
ko:K11145	lmx:LMOSLCC2372_0242
ko:K03218	lmx:LMOSLCC2372_0243
ko:K06962	lmx:LMOSLCC2372_0244
ko:K03091	lmx:LMOSLCC2372_0245
ko:K03073	lmx:LMOSLCC2372_0246
ko:K02601	lmx:LMOSLCC2372_0247
ko:K02867	lmx:LMOSLCC2372_0249
ko:K02863	lmx:LMOSLCC2372_0250
ko:K02864	lmx:LMOSLCC2372_0251
ko:K02935	lmx:LMOSLCC2372_0252
ko:K03043	lmx:LMOSLCC2372_0259
ko:K03046	lmx:LMOSLCC2372_0260
ko:K01223	lmx:LMOSLCC2372_0262
ko:K15975	lmx:LMOSLCC2372_0268
ko:K02034	lmx:LMOSLCC2372_0270
ko:K01223	lmx:LMOSLCC2372_0272
ko:K02529	lmx:LMOSLCC2372_1044
ko:K00615	lmx:LMOSLCC2372_1046
ko:K00615	lmx:LMOSLCC2372_1047
ko:K00864	lmx:LMOSLCC2372_1048
ko:K03752	lmx:LMOSLCC2372_1052
ko:K02018	lmx:LMOSLCC2372_1054
ko:K02020	lmx:LMOSLCC2372_1055
ko:K03750	lmx:LMOSLCC2372_1056
ko:K03753	lmx:LMOSLCC2372_1057
ko:K03636	lmx:LMOSLCC2372_1059
ko:K03637	lmx:LMOSLCC2372_1060
ko:K03639	lmx:LMOSLCC2372_1061
ko:K03638	lmx:LMOSLCC2372_1062
ko:K01462	lmx:LMOSLCC2372_1065
ko:K00161	lmx:LMOSLCC2372_1066
ko:K00162	lmx:LMOSLCC2372_1067
ko:K00627	lmx:LMOSLCC2372_1068
ko:K00382	lmx:LMOSLCC2372_1069
ko:K02003	lmx:LMOSLCC2372_1077
ko:K03284	lmx:LMOSLCC2372_1078
ko:K06207	lmx:LMOSLCC2372_1081
ko:K03588	lmx:LMOSLCC2372_1085
ko:K02016	lmx:LMOSLCC2372_1087
ko:K00859	lmx:LMOSLCC2372_1626
ko:K00031	lmx:LMOSLCC2372_1629
ko:K01647	lmx:LMOSLCC2372_1630
ko:K07113	lmx:LMOSLCC2372_1632
ko:K00873	lmx:LMOSLCC2372_1633
ko:K00850	lmx:LMOSLCC2372_1634
ko:K01962	lmx:LMOSLCC2372_1635
ko:K01963	lmx:LMOSLCC2372_1636
ko:K02337	lmx:LMOSLCC2372_1637
ko:K00259	lmx:LMOSLCC2372_1643
ko:K00925	lmx:LMOSLCC2372_1645
ko:K11065	lmx:LMOSLCC2372_1648
ko:K04773	lmx:LMOSLCC2372_1650
ko:K00858	lmx:LMOSLCC2372_1651
ko:K00611	lmx:LMOSLCC2372_1652
ko:K00930	lmx:LMOSLCC2372_1654
ko:K00620	lmx:LMOSLCC2372_1655
ko:K00145	lmx:LMOSLCC2372_1656
ko:K03151	lmx:LMOSLCC2372_1657
ko:K04487	lmx:LMOSLCC2372_1658
ko:K02986	lmx:LMOSLCC2372_1661
ko:K01866	lmx:LMOSLCC2372_1663
ko:K02529	lmx:LMOSLCC2372_1664
ko:K13853	lmx:LMOSLCC2372_1665
ko:K01924	lmx:LMOSLCC2372_1670
ko:K03466	lmx:LMOSLCC2372_1671
ko:K02250	lmx:LMOSLCC2372_2337
ko:K02072	lmx:LMOSLCC2372_0285
ko:K02071	lmx:LMOSLCC2372_0286
ko:K02073	lmx:LMOSLCC2372_0287
ko:K00783	lmx:LMOSLCC2372_0295
ko:K02761	lmx:LMOSLCC2372_0300
ko:K02760	lmx:LMOSLCC2372_0301
ko:K02759	lmx:LMOSLCC2372_0303
ko:K03424	lmx:LMOSLCC2372_0315
ko:K03707	lmx:LMOSLCC2372_0317
ko:K00878	lmx:LMOSLCC2372_0318
ko:K00941	lmx:LMOSLCC2372_0319
ko:K00788	lmx:LMOSLCC2372_0320
ko:K01223	lmx:LMOSLCC2372_0321
ko:K00963	lmx:LMOSLCC2372_1092
ko:K00973	lmx:LMOSLCC2372_1095
ko:K01790	lmx:LMOSLCC2372_1096
ko:K00067	lmx:LMOSLCC2372_1098
ko:K00763	lmx:LMOSLCC2372_1106
ko:K02760	lmx:LMOSLCC2372_1109
ko:K01951	lmx:LMOSLCC2372_1110
ko:K03827	lmx:LMOSLCC2372_1121
ko:K01358	lmx:LMOSLCC2372_1133
ko:K06878	lmx:LMOSLCC2372_1672
ko:K03439	lmx:LMOSLCC2372_1680
ko:K00824	lmx:LMOSLCC2372_1684
ko:K01695	lmx:LMOSLCC2372_1692
ko:K01696	lmx:LMOSLCC2372_1693
ko:K01817	lmx:LMOSLCC2372_1694
ko:K01609	lmx:LMOSLCC2372_1695
ko:K00766	lmx:LMOSLCC2372_1696
ko:K01657	lmx:LMOSLCC2372_1698
ko:K04072	lmx:LMOSLCC2372_1699
ko:K01246	lmx:LMOSLCC2372_1705
ko:K01681	lmx:LMOSLCC2372_1707
ko:K03547	lmx:LMOSLCC2372_1712
ko:K00655	lmx:LMOSLCC2372_1713
ko:K02250	lmx:LMOSLCC2372_2395
ko:K02768	lmx:LMOSLCC2372_2397
ko:K02769	lmx:LMOSLCC2372_2397
ko:K02770	lmx:LMOSLCC2372_2397
ko:K00299	lmx:LMOSLCC2372_2413
ko:K01421	lmx:LMOSLCC2372_2423
ko:K00615	lmx:LMOSLCC2372_0343
ko:K01808	lmx:LMOSLCC2372_0346
ko:K01803	lmx:LMOSLCC2372_0347
ko:K05879	lmx:LMOSLCC2372_0348
ko:K05878	lmx:LMOSLCC2372_0349
ko:K02769	lmx:LMOSLCC2372_0360
ko:K02770	lmx:LMOSLCC2372_0360
ko:K01624	lmx:LMOSLCC2372_0361
ko:K03118	lmx:LMOSLCC2372_0363
ko:K03116	lmx:LMOSLCC2372_0364
ko:K05995	lmx:LMOSLCC2372_0365
ko:K07243	lmx:LMOSLCC2372_0367
ko:K07224	lmx:LMOSLCC2372_0368
ko:K16301	lmx:LMOSLCC2372_0369
ko:K06193	lmx:LMOSLCC2372_0372
ko:K02761	lmx:LMOSLCC2372_0375
ko:K02760	lmx:LMOSLCC2372_0376
ko:K06608	lmx:LMOSLCC2372_0386
ko:K04031	lmx:LMOSLCC2372_1139
ko:K04029	lmx:LMOSLCC2372_1140
ko:K02231	lmx:LMOSLCC2372_1142
ko:K02233	lmx:LMOSLCC2372_1143
ko:K13919	lmx:LMOSLCC2372_1149
ko:K13920	lmx:LMOSLCC2372_1150
ko:K04024	lmx:LMOSLCC2372_1156
ko:K13922	lmx:LMOSLCC2372_1160
ko:K02440	lmx:LMOSLCC2372_1162
ko:K00925	lmx:LMOSLCC2372_1163
ko:K04019	lmx:LMOSLCC2372_1171
ko:K03735	lmx:LMOSLCC2372_1172
ko:K02304	lmx:LMOSLCC2372_1136
ko:K02357	lmx:LMOSLCC2372_1723
ko:K02967	lmx:LMOSLCC2372_1724
ko:K01869	lmx:LMOSLCC2372_1725
ko:K07139	lmx:LMOSLCC2372_1726
ko:K01953	lmx:LMOSLCC2372_1728
ko:K00789	lmx:LMOSLCC2372_1729
ko:K08998	lmx:LMOSLCC2372_1735
ko:K01911	lmx:LMOSLCC2372_1737
ko:K01661	lmx:LMOSLCC2372_1738
ko:K02551	lmx:LMOSLCC2372_1740
ko:K02548	lmx:LMOSLCC2372_1742
ko:K00549	lmx:LMOSLCC2372_1746
ko:K01810	lmx:LMOSLCC2372_2430
ko:K14155	lmx:LMOSLCC2372_2433
ko:K02003	lmx:LMOSLCC2372_2435
ko:K02760	lmx:LMOSLCC2372_2436
ko:K00928	lmx:LMOSLCC2372_2437
ko:K05566	lmx:LMOSLCC2372_2443
ko:K05567	lmx:LMOSLCC2372_2444
ko:K05569	lmx:LMOSLCC2372_2446
ko:K05571	lmx:LMOSLCC2372_2448
ko:K09775	lmx:LMOSLCC2372_2450
ko:K03885	lmx:LMOSLCC2372_2453
ko:K00140	lmx:LMOSLCC2372_0387
