ko:K19272	kpc:KPNIH10_26765
ko:K11719	kpc:KPNIH10_23630
ko:K09774	kpc:KPNIH10_23635
ko:K06861	kpc:KPNIH10_23640
ko:K03092	kpc:KPNIH10_23645
ko:K05808	kpc:KPNIH10_23650
ko:K02806	kpc:KPNIH10_23655
ko:K06958	kpc:KPNIH10_23660
ko:K08485	kpc:KPNIH10_23665
ko:K03814	kpc:KPNIH10_23670
ko:K07648	kpc:KPNIH10_23680
ko:K01686	kpc:KPNIH10_23685
ko:K08322	kpc:KPNIH10_23690
ko:K07139	kpc:KPNIH10_23700
ko:K00265	kpc:KPNIH10_23705
ko:K00266	kpc:KPNIH10_23710
ko:K01788	kpc:KPNIH10_23715
ko:K03600	kpc:KPNIH10_23720
ko:K03599	kpc:KPNIH10_23725
ko:K02996	kpc:KPNIH10_23730
ko:K02871	kpc:KPNIH10_23735
ko:K06916	kpc:KPNIH10_23740
ko:K09908	kpc:KPNIH10_23745
ko:K04772	kpc:KPNIH10_23750
ko:K04691	kpc:KPNIH10_23755
ko:K00024	kpc:KPNIH10_23760
ko:K03402	kpc:KPNIH10_23765
ko:K03623	kpc:KPNIH10_23780
ko:K03468	kpc:KPNIH10_23785
ko:K15548	kpc:KPNIH10_23790
ko:K03568	kpc:KPNIH10_23805
ko:K08301	kpc:KPNIH10_23815
ko:K06287	kpc:KPNIH10_23820
ko:K03571	kpc:KPNIH10_23825
ko:K03570	kpc:KPNIH10_23830
ko:K03569	kpc:KPNIH10_23835
ko:K18765	kpc:KPNIH10_23840
ko:K17247	kpc:KPNIH10_23850
ko:K03786	kpc:KPNIH10_23855
ko:K02160	kpc:KPNIH10_23860
ko:K01961	kpc:KPNIH10_23865
ko:K14392	kpc:KPNIH10_23875
ko:K02687	kpc:KPNIH10_23880
ko:K02988	kpc:KPNIH10_24160
ko:K02881	kpc:KPNIH10_24165
ko:K02933	kpc:KPNIH10_24170
ko:K02994	kpc:KPNIH10_24175
ko:K02954	kpc:KPNIH10_24180
ko:K02931	kpc:KPNIH10_24185
ko:K02895	kpc:KPNIH10_24190
ko:K02874	kpc:KPNIH10_24195
ko:K02961	kpc:KPNIH10_24200
ko:K02904	kpc:KPNIH10_24205
ko:K02878	kpc:KPNIH10_24210
ko:K02982	kpc:KPNIH10_24215
ko:K02890	kpc:KPNIH10_24220
ko:K02965	kpc:KPNIH10_24225
ko:K02886	kpc:KPNIH10_24230
ko:K02892	kpc:KPNIH10_24235
ko:K02926	kpc:KPNIH10_24240
ko:K02906	kpc:KPNIH10_24245
ko:K02946	kpc:KPNIH10_24250
ko:K02506	kpc:KPNIH10_24255
ko:K03594	kpc:KPNIH10_24260
ko:K02192	kpc:KPNIH10_24265
ko:K02358	kpc:KPNIH10_24270
ko:K02355	kpc:KPNIH10_24275
ko:K02992	kpc:KPNIH10_24280
ko:K02950	kpc:KPNIH10_24285
ko:K07237	kpc:KPNIH10_24290
ko:K07236	kpc:KPNIH10_24295
ko:K07235	kpc:KPNIH10_24300
ko:K03772	kpc:KPNIH10_24310
ko:K03745	kpc:KPNIH10_24315
ko:K03775	kpc:KPNIH10_24320
ko:K07070	kpc:KPNIH10_24325
ko:K11747	kpc:KPNIH10_24330
ko:K11748	kpc:KPNIH10_24335
ko:K06158	kpc:KPNIH10_24340
ko:K07019	kpc:KPNIH10_24345
ko:K09898	kpc:KPNIH10_24350
ko:K00855	kpc:KPNIH10_24355
ko:K07397	kpc:KPNIH10_24360
ko:K10914	kpc:KPNIH10_24365
ko:K01664	kpc:KPNIH10_24380
ko:K04095	kpc:KPNIH10_24385
ko:K03767	kpc:KPNIH10_24395
ko:K06141	kpc:KPNIH10_24400
ko:K01485	kpc:KPNIH10_24405
ko:K00362	kpc:KPNIH10_24410
ko:K00363	kpc:KPNIH10_24415
ko:K02302	kpc:KPNIH10_24420
ko:K01867	kpc:KPNIH10_24425
ko:K00681	kpc:KPNIH10_24695
ko:K01126	kpc:KPNIH10_24705
ko:K05816	kpc:KPNIH10_24710
ko:K05815	kpc:KPNIH10_24715
ko:K05814	kpc:KPNIH10_24720
ko:K05813	kpc:KPNIH10_24725
ko:K07341	kpc:KPNIH10_24730
ko:K19165	kpc:KPNIH10_24735
ko:K01996	kpc:KPNIH10_24740
ko:K01995	kpc:KPNIH10_24745
ko:K01998	kpc:KPNIH10_24750
ko:K01997	kpc:KPNIH10_24755
ko:K01999	kpc:KPNIH10_24760
ko:K01999	kpc:KPNIH10_24775
ko:K00823	kpc:KPNIH10_24785
ko:K00375	kpc:KPNIH10_24790
ko:K03089	kpc:KPNIH10_24795
ko:K09811	kpc:KPNIH10_24800
ko:K09812	kpc:KPNIH10_24805
ko:K03110	kpc:KPNIH10_24810
ko:K08316	kpc:KPNIH10_24815
ko:K08993	kpc:KPNIH10_24820
ko:K01534	kpc:KPNIH10_24835
ko:K04085	kpc:KPNIH10_24840
ko:K09125	kpc:KPNIH10_24845
ko:K12963	kpc:KPNIH10_24865
ko:K12962	kpc:KPNIH10_24870
ko:K07264	kpc:KPNIH10_24875
ko:K13014	kpc:KPNIH10_24880
ko:K10011	kpc:KPNIH10_24885
ko:K10012	kpc:KPNIH10_24890
ko:K07806	kpc:KPNIH10_24895
ko:K13727	kpc:KPNIH10_24900
ko:K15584	kpc:KPNIH10_24910
ko:K15585	kpc:KPNIH10_24915
ko:K15586	kpc:KPNIH10_24920
ko:K15587	kpc:KPNIH10_24925
ko:K10824	kpc:KPNIH10_24930
ko:K07722	kpc:KPNIH10_24935
ko:K06213	kpc:KPNIH10_24940
ko:K00116	kpc:KPNIH10_18035
ko:K03321	kpc:KPNIH10_18040
ko:K06213	kpc:KPNIH10_18045
ko:K06159	kpc:KPNIH10_18050
ko:K03919	kpc:KPNIH10_18055
ko:K10778	kpc:KPNIH10_18060
ko:K03734	kpc:KPNIH10_18065
ko:K09475	kpc:KPNIH10_18070
ko:K07676	kpc:KPNIH10_18075
ko:K07687	kpc:KPNIH10_18080
ko:K07677	kpc:KPNIH10_18085
ko:K02469	kpc:KPNIH10_18090
ko:K00568	kpc:KPNIH10_18095
ko:K11107	kpc:KPNIH10_18110
ko:K01126	kpc:KPNIH10_18115
ko:K02445	kpc:KPNIH10_18120
ko:K00111	kpc:KPNIH10_18125
ko:K00112	kpc:KPNIH10_18130
ko:K00113	kpc:KPNIH10_18135
ko:K14347	kpc:KPNIH10_18665
ko:K09954	kpc:KPNIH10_18670
ko:K01972	kpc:KPNIH10_18675
ko:K03528	kpc:KPNIH10_18680
ko:K06203	kpc:KPNIH10_18685
ko:K01738	kpc:KPNIH10_18690
ko:K02784	kpc:KPNIH10_18700
ko:K08483	kpc:KPNIH10_18705
ko:K02777	kpc:KPNIH10_18710
ko:K00868	kpc:KPNIH10_18720
ko:K12339	kpc:KPNIH10_18735
ko:K02045	kpc:KPNIH10_18740
ko:K02047	kpc:KPNIH10_18745
ko:K02046	kpc:KPNIH10_18750
ko:K02048	kpc:KPNIH10_18755
ko:K07223	kpc:KPNIH10_18760
ko:K01448	kpc:KPNIH10_18780
ko:K00228	kpc:KPNIH10_18785
ko:K04033	kpc:KPNIH10_18790
ko:K04025	kpc:KPNIH10_18795
ko:K04026	kpc:KPNIH10_18800
ko:K03736	kpc:KPNIH10_18805
ko:K03735	kpc:KPNIH10_18810
ko:K04019	kpc:KPNIH10_18815
ko:K04023	kpc:KPNIH10_18820
ko:K04022	kpc:KPNIH10_18825
ko:K04024	kpc:KPNIH10_18830
ko:K04021	kpc:KPNIH10_18835
ko:K04028	kpc:KPNIH10_18840
ko:K04027	kpc:KPNIH10_18845
ko:K04020	kpc:KPNIH10_18850
ko:K04032	kpc:KPNIH10_18855
ko:K04030	kpc:KPNIH10_18860
ko:K04029	kpc:KPNIH10_18865
ko:K04031	kpc:KPNIH10_18870
ko:K00029	kpc:KPNIH10_18875
ko:K00616	kpc:KPNIH10_18880
ko:K00615	kpc:KPNIH10_18885
ko:K12945	kpc:KPNIH10_18895
ko:K18324	kpc:KPNIH10_18905
ko:K01439	kpc:KPNIH10_18915
ko:K06999	kpc:KPNIH10_18925
ko:K05820	kpc:KPNIH10_19510
ko:K15977	kpc:KPNIH10_19535
ko:K00600	kpc:KPNIH10_19540
ko:K05916	kpc:KPNIH10_19545
ko:K04751	kpc:KPNIH10_19550
ko:K07715	kpc:KPNIH10_19555
ko:K07711	kpc:KPNIH10_19565
ko:K01952	kpc:KPNIH10_19570
ko:K18691	kpc:KPNIH10_19580
ko:K11991	kpc:KPNIH10_19585
ko:K18697	kpc:KPNIH10_19590
ko:K00997	kpc:KPNIH10_19605
ko:K03474	kpc:KPNIH10_19610
ko:K03584	kpc:KPNIH10_19615
ko:K03685	kpc:KPNIH10_19625
ko:K03100	kpc:KPNIH10_19630
ko:K03596	kpc:KPNIH10_19635
ko:K03803	kpc:KPNIH10_19640
ko:K03598	kpc:KPNIH10_19645
ko:K03597	kpc:KPNIH10_19650
ko:K03088	kpc:KPNIH10_19655
ko:K00278	kpc:KPNIH10_19660
ko:K15460	kpc:KPNIH10_19665
ko:K05590	kpc:KPNIH10_19670
ko:K03648	kpc:KPNIH10_19680
ko:K03214	kpc:KPNIH10_19685
ko:K03672	kpc:KPNIH10_19690
ko:K05812	kpc:KPNIH10_19695
ko:K00998	kpc:KPNIH10_19705
ko:K05811	kpc:KPNIH10_19710
ko:K03761	kpc:KPNIH10_19715
ko:K03695	kpc:KPNIH10_19740
ko:K05810	kpc:KPNIH10_19745
ko:K19278	kpc:KPNIH10_26420
ko:K06180	kpc:KPNIH10_19750
ko:K05807	kpc:KPNIH10_19755
ko:K05809	kpc:KPNIH10_19760
ko:K14170	kpc:KPNIH10_19765
ko:K11901	kpc:KPNIH10_11515
ko:K11900	kpc:KPNIH10_11520
ko:K11893	kpc:KPNIH10_11525
ko:K11892	kpc:KPNIH10_11530
ko:K11903	kpc:KPNIH10_11540
ko:K11907	kpc:KPNIH10_11545
ko:K11904	kpc:KPNIH10_11550
ko:K11891	kpc:KPNIH10_11600
ko:K11910	kpc:KPNIH10_11605
ko:K11910	kpc:KPNIH10_11610
ko:K11896	kpc:KPNIH10_11615
ko:K11895	kpc:KPNIH10_11620
ko:K11906	kpc:KPNIH10_11625
ko:K08969	kpc:KPNIH10_11695
ko:K02073	kpc:KPNIH10_11700
ko:K02071	kpc:KPNIH10_11705
ko:K02072	kpc:KPNIH10_11710
ko:K00832	kpc:KPNIH10_11715
ko:K11734	kpc:KPNIH10_11730
ko:K16074	kpc:KPNIH10_11755
ko:K05591	kpc:KPNIH10_11760
ko:K14058	kpc:KPNIH10_11765
ko:K14061	kpc:KPNIH10_11770
ko:K14062	kpc:KPNIH10_11785
ko:K03737	kpc:KPNIH10_11790
ko:K03668	kpc:KPNIH10_11800
ko:K03778	kpc:KPNIH10_11805
ko:K09978	kpc:KPNIH10_11825
ko:K14063	kpc:KPNIH10_11830
ko:K00077	kpc:KPNIH10_11840
ko:K00276	kpc:KPNIH10_11850
ko:K02618	kpc:KPNIH10_11855
ko:K02609	kpc:KPNIH10_11860
ko:K02610	kpc:KPNIH10_11865
ko:K02611	kpc:KPNIH10_11870
ko:K02612	kpc:KPNIH10_11875
ko:K02613	kpc:KPNIH10_11880
ko:K01692	kpc:KPNIH10_11885
ko:K15866	kpc:KPNIH10_11890
ko:K00074	kpc:KPNIH10_11895
ko:K02614	kpc:KPNIH10_11900
ko:K02615	kpc:KPNIH10_11905
ko:K01912	kpc:KPNIH10_11910
ko:K02616	kpc:KPNIH10_11915
ko:K02617	kpc:KPNIH10_11920
ko:K01118	kpc:KPNIH10_11930
ko:K03578	kpc:KPNIH10_11935
ko:K06075	kpc:KPNIH10_11960
ko:K00261	kpc:KPNIH10_11975
ko:K00840	kpc:KPNIH10_11985
ko:K00673	kpc:KPNIH10_11990
ko:K06447	kpc:KPNIH10_11995
ko:K01484	kpc:KPNIH10_12000
ko:K05526	kpc:KPNIH10_12005
ko:K07248	kpc:KPNIH10_12030
ko:K00134	kpc:KPNIH10_12035
ko:K07112	kpc:KPNIH10_12055
ko:K08987	kpc:KPNIH10_12060
ko:K16074	kpc:KPNIH10_12075
ko:K14155	kpc:KPNIH10_12080
ko:K16136	kpc:KPNIH10_12090
ko:K01809	kpc:KPNIH10_12100
ko:K01676	kpc:KPNIH10_12105
ko:K01679	kpc:KPNIH10_12110
ko:K10748	kpc:KPNIH10_12115
ko:K07639	kpc:KPNIH10_12120
ko:K07661	kpc:KPNIH10_12130
ko:K13938	kpc:KPNIH10_12140
ko:K03758	kpc:KPNIH10_12145
ko:K00324	kpc:KPNIH10_12155
ko:K00325	kpc:KPNIH10_12160
ko:K14055	kpc:KPNIH10_12170
ko:K00567	kpc:KPNIH10_12180
ko:K12942	kpc:KPNIH10_12190
ko:K12940	kpc:KPNIH10_12200
ko:K14057	kpc:KPNIH10_12205
ko:K02624	kpc:KPNIH10_12215
ko:K01031	kpc:KPNIH10_12220
ko:K01032	kpc:KPNIH10_12225
ko:K01857	kpc:KPNIH10_12235
ko:K01055	kpc:KPNIH10_12240
ko:K01607	kpc:KPNIH10_12245
ko:K01676	kpc:KPNIH10_12255
ko:K11106	kpc:KPNIH10_12260
ko:K00244	kpc:KPNIH10_12265
ko:K03734	kpc:KPNIH10_12270
ko:K07703	kpc:KPNIH10_12275
ko:K07701	kpc:KPNIH10_12280
ko:K07106	kpc:KPNIH10_12290
ko:K00116	kpc:KPNIH10_12295
ko:K13928	kpc:KPNIH10_12300
ko:K13935	kpc:KPNIH10_12305
ko:K13934	kpc:KPNIH10_12310
ko:K13936	kpc:KPNIH10_12315
ko:K13933	kpc:KPNIH10_12320
ko:K13932	kpc:KPNIH10_12325
ko:K13931	kpc:KPNIH10_12330
ko:K13930	kpc:KPNIH10_12335
ko:K13929	kpc:KPNIH10_12340
ko:K11744	kpc:KPNIH10_12345
ko:K11743	kpc:KPNIH10_12350
ko:K11742	kpc:KPNIH10_12355
ko:K04775	kpc:KPNIH10_12365
ko:K01299	kpc:KPNIH10_12385
ko:K08224	kpc:KPNIH10_12390
ko:K15545	kpc:KPNIH10_12400
ko:K01935	kpc:KPNIH10_12405
ko:K03281	kpc:KPNIH10_12410
ko:K07312	kpc:KPNIH10_12420
ko:K07307	kpc:KPNIH10_12425
ko:K07309	kpc:KPNIH10_12430
ko:K00657	kpc:KPNIH10_12445
ko:K09771	kpc:KPNIH10_12455
ko:K00040	kpc:KPNIH10_12465
ko:K11932	kpc:KPNIH10_12470
ko:K16066	kpc:KPNIH10_12480
ko:K01284	kpc:KPNIH10_12485
ko:K04080	kpc:KPNIH10_12520
ko:K07481	kpc:KPNIH10_12540
ko:K03299	kpc:KPNIH10_12555
ko:K18699	kpc:KPNIH10_12585
ko:K02532	kpc:KPNIH10_12600
ko:K01190	kpc:KPNIH10_12605
ko:K13633	kpc:KPNIH10_12625
ko:K00549	kpc:KPNIH10_12635
ko:K11959	kpc:KPNIH10_12640
ko:K11960	kpc:KPNIH10_12645
ko:K11961	kpc:KPNIH10_12650
ko:K11962	kpc:KPNIH10_12655
ko:K11963	kpc:KPNIH10_12660
ko:K15268	kpc:KPNIH10_12675
ko:K13630	kpc:KPNIH10_12680
ko:K13632	kpc:KPNIH10_12685
ko:K03712	kpc:KPNIH10_12690
ko:K05595	kpc:KPNIH10_12700
ko:K08159	kpc:KPNIH10_12705
ko:K03307	kpc:KPNIH10_12730
ko:K01714	kpc:KPNIH10_12735
ko:K00016	kpc:KPNIH10_12760
ko:K03829	kpc:KPNIH10_12765
ko:K08324	kpc:KPNIH10_12775
ko:K01425	kpc:KPNIH10_12780
ko:K00041	kpc:KPNIH10_12800
ko:K11903	kpc:KPNIH10_12830
ko:K01607	kpc:KPNIH10_12840
ko:K00598	kpc:KPNIH10_12845
ko:K00459	kpc:KPNIH10_12875
ko:K02072	kpc:KPNIH10_12880
ko:K02071	kpc:KPNIH10_12885
ko:K02073	kpc:KPNIH10_12890
ko:K16839	kpc:KPNIH10_12940
ko:K16345	kpc:KPNIH10_12945
ko:K16840	kpc:KPNIH10_12950
ko:K07127	kpc:KPNIH10_12955
ko:K15773	kpc:KPNIH10_12960
ko:K07154	kpc:KPNIH10_12965
ko:K01265	kpc:KPNIH10_13000
ko:K07017	kpc:KPNIH10_13020
ko:K01232	kpc:KPNIH10_13045
ko:K02749	kpc:KPNIH10_13050
ko:K02750	kpc:KPNIH10_13050
ko:K03482	kpc:KPNIH10_13055
ko:K07090	kpc:KPNIH10_13060
ko:K00626	kpc:KPNIH10_13100
ko:K00059	kpc:KPNIH10_13105
ko:K01026	kpc:KPNIH10_13110
ko:K01759	kpc:KPNIH10_13120
ko:K02429	kpc:KPNIH10_13125
ko:K17195	kpc:KPNIH10_13135
ko:K02430	kpc:KPNIH10_13140
ko:K01619	kpc:KPNIH10_13145
ko:K08178	kpc:KPNIH10_13430
ko:K02371	kpc:KPNIH10_13455
ko:K02083	kpc:KPNIH10_13460
ko:K02028	kpc:KPNIH10_13470
ko:K02029	kpc:KPNIH10_13480
ko:K02029	kpc:KPNIH10_13485
ko:K02030	kpc:KPNIH10_13490
ko:K00133	kpc:KPNIH10_13525
ko:K03543	kpc:KPNIH10_13535
ko:K09458	kpc:KPNIH10_13545
