ko:K10440	smk:Sinme_5390
ko:K03413	smk:Sinme_0331
ko:K03407	smk:Sinme_0332
ko:K03408	smk:Sinme_0333
ko:K03412	smk:Sinme_0335
ko:K03413	smk:Sinme_0336
ko:K03411	smk:Sinme_0337
ko:K02409	smk:Sinme_0340
ko:K17103	smk:Sinme_0918
ko:K00799	smk:Sinme_2105
ko:K03406	smk:Sinme_2130
ko:K07273	smk:Sinme_2176
ko:K01262	smk:Sinme_2137
ko:K07032	smk:Sinme_2143
ko:K13622	smk:Sinme_2174
ko:K13623	smk:Sinme_2175
ko:K07120	smk:Sinme_2076
ko:K00058	smk:Sinme_2214
ko:K02025	smk:Sinme_2219
ko:K11071	smk:Sinme_2225
ko:K08299	smk:Sinme_2233
ko:K02035	smk:Sinme_2234
ko:K02033	smk:Sinme_2235
ko:K02052	smk:Sinme_2200
ko:K02014	smk:Sinme_2203
ko:K02035	smk:Sinme_2239
ko:K02055	smk:Sinme_2244
ko:K07025	smk:Sinme_2277
ko:K00639	smk:Sinme_2362
ko:K18828	smk:Sinme_5849
ko:K10111	smk:Sinme_2490
ko:K13584	smk:Sinme_2773
ko:K03413	smk:Sinme_2774
ko:K13588	smk:Sinme_2775
ko:K06180	smk:Sinme_2780
ko:K03089	smk:Sinme_2781
ko:K03695	smk:Sinme_2662
ko:K02493	smk:Sinme_2665
ko:K02835	smk:Sinme_2666
ko:K08484	smk:Sinme_2667
ko:K00928	smk:Sinme_2668
ko:K02651	smk:Sinme_2676
ko:K00620	smk:Sinme_2680
ko:K03070	smk:Sinme_2682
ko:K01895	smk:Sinme_2686
ko:K01247	smk:Sinme_2691
ko:K01894	smk:Sinme_2692
ko:K07058	smk:Sinme_2693
ko:K06167	smk:Sinme_1498
ko:K03424	smk:Sinme_1499
ko:K01874	smk:Sinme_1500
ko:K02341	smk:Sinme_1502
ko:K00943	smk:Sinme_1503
ko:K03642	smk:Sinme_1505
ko:K01356	smk:Sinme_1511
ko:K11743	smk:Sinme_1515
ko:K11742	smk:Sinme_1516
ko:K00817	smk:Sinme_2717
ko:K02902	smk:Sinme_2724
ko:K09125	smk:Sinme_2725
ko:K09883	smk:Sinme_2727
ko:K05527	smk:Sinme_2730
ko:K01735	smk:Sinme_2732
ko:K00891	smk:Sinme_2733
ko:K01962	smk:Sinme_2738
ko:K04094	smk:Sinme_1345
ko:K03545	smk:Sinme_1349
ko:K00281	smk:Sinme_1350
ko:K02437	smk:Sinme_1351
ko:K00605	smk:Sinme_1352
ko:K07733	smk:Sinme_1355
ko:K01939	smk:Sinme_2783
ko:K00831	smk:Sinme_2786
ko:K03431	smk:Sinme_2789
ko:K03798	smk:Sinme_2790
ko:K04075	smk:Sinme_2791
ko:K03640	smk:Sinme_2793
ko:K03641	smk:Sinme_2794
ko:K03562	smk:Sinme_2797
ko:K13979	smk:Sinme_2747
ko:K02078	smk:Sinme_1392
ko:K03701	smk:Sinme_1452
ko:K02469	smk:Sinme_1455
ko:K03823	smk:Sinme_1457
ko:K10680	smk:Sinme_1459
ko:K00384	smk:Sinme_1462
ko:K12989	smk:Sinme_1467
ko:K03624	smk:Sinme_1468
ko:K01955	smk:Sinme_1471
ko:K03327	smk:Sinme_1476
ko:K00954	smk:Sinme_1480
ko:K07568	smk:Sinme_1483
ko:K00773	smk:Sinme_1484
ko:K07124	smk:Sinme_1486
ko:K00322	smk:Sinme_1633
ko:K11717	smk:Sinme_1636
ko:K09015	smk:Sinme_1637
ko:K09013	smk:Sinme_1638
ko:K09014	smk:Sinme_1639
ko:K04487	smk:Sinme_1640
ko:K07018	smk:Sinme_1641
ko:K09001	smk:Sinme_1643
ko:K01866	smk:Sinme_1644
ko:K03564	smk:Sinme_1646
ko:K07141	smk:Sinme_1652
ko:K07402	smk:Sinme_1653
ko:K01999	smk:Sinme_1658
ko:K01783	smk:Sinme_1660
ko:K01756	smk:Sinme_1663
ko:K01738	smk:Sinme_1520
ko:K00259	smk:Sinme_1525
ko:K01754	smk:Sinme_1529
ko:K03809	smk:Sinme_1537
ko:K04751	smk:Sinme_1541
ko:K01915	smk:Sinme_1542
ko:K11940	smk:Sinme_1543
ko:K01142	smk:Sinme_1552
ko:K03723	smk:Sinme_1555
ko:K09159	smk:Sinme_1556
ko:K03655	smk:Sinme_1557
ko:K03824	smk:Sinme_1559
ko:K00820	smk:Sinme_1560
ko:K04042	smk:Sinme_1561
ko:K03324	smk:Sinme_1562
ko:K03770	smk:Sinme_1563
ko:K00766	smk:Sinme_1564
ko:K01609	smk:Sinme_1565
ko:K03637	smk:Sinme_1566
ko:K03750	smk:Sinme_1567
ko:K00615	smk:Sinme_1603
ko:K00615	smk:Sinme_1604
ko:K05800	smk:Sinme_1612
ko:K09005	smk:Sinme_1621
ko:K03704	smk:Sinme_1622
ko:K00799	smk:Sinme_5548
ko:K02025	smk:Sinme_5553
ko:K12257	smk:Sinme_1341
ko:K02035	smk:Sinme_2642
ko:K02035	smk:Sinme_2644
ko:K00568	smk:Sinme_2670
ko:K03769	smk:Sinme_2681
ko:K07716	smk:Sinme_1786
ko:K00901	smk:Sinme_1787
ko:K00768	smk:Sinme_1788
ko:K02233	smk:Sinme_1789
ko:K06938	smk:Sinme_1790
ko:K06985	smk:Sinme_1791
ko:K10806	smk:Sinme_1803
ko:K09922	smk:Sinme_1805
ko:K03702	smk:Sinme_1806
ko:K03704	smk:Sinme_1810
ko:K05539	smk:Sinme_1811
ko:K03671	smk:Sinme_1814
ko:K01821	smk:Sinme_1940
ko:K03088	smk:Sinme_2007
ko:K00053	smk:Sinme_2045
ko:K13888	smk:Sinme_2047
ko:K05685	smk:Sinme_2048
ko:K03474	smk:Sinme_2063
ko:K09707	smk:Sinme_2100
ko:K09937	smk:Sinme_2101
ko:K04087	smk:Sinme_2102
ko:K04088	smk:Sinme_2103
ko:K09985	smk:Sinme_2112
ko:K03657	smk:Sinme_2122
ko:K05805	smk:Sinme_2126
ko:K03408	smk:Sinme_2129
ko:K07152	smk:Sinme_2132
ko:K02687	smk:Sinme_2133
ko:K14083	smk:Sinme_1948
ko:K02000	smk:Sinme_1938
ko:K01652	smk:Sinme_2185
ko:K03531	smk:Sinme_2027
ko:K07462	smk:Sinme_1625
ko:K00003	smk:Sinme_1626
ko:K14261	smk:Sinme_1627
ko:K03821	smk:Sinme_1629
ko:K06206	smk:Sinme_1630
ko:K01265	smk:Sinme_1631
ko:K07002	smk:Sinme_1666
ko:K10218	smk:Sinme_1669
ko:K01923	smk:Sinme_1676
ko:K01952	smk:Sinme_1677
ko:K01952	smk:Sinme_1678
ko:K01952	smk:Sinme_1683
ko:K07390	smk:Sinme_1686
ko:K03630	smk:Sinme_1632
ko:K06193	smk:Sinme_0673
ko:K06915	smk:Sinme_0674
ko:K00826	smk:Sinme_0681
ko:K04564	smk:Sinme_0683
ko:K11357	smk:Sinme_0711
ko:K05366	smk:Sinme_0721
ko:K09160	smk:Sinme_0722
ko:K02197	smk:Sinme_0731
ko:K02198	smk:Sinme_0732
ko:K00982	smk:Sinme_0737
ko:K02057	smk:Sinme_1572
ko:K02057	smk:Sinme_1573
ko:K01004	smk:Sinme_1576
ko:K03185	smk:Sinme_1577
ko:K07088	smk:Sinme_1578
ko:K02393	smk:Sinme_0360
ko:K02011	smk:Sinme_2031
ko:K02012	smk:Sinme_2032
ko:K03704	smk:Sinme_2033
ko:K02970	smk:Sinme_2035
ko:K02002	smk:Sinme_2042
ko:K02034	smk:Sinme_2236
ko:K06978	smk:Sinme_2240
ko:K09964	smk:Sinme_2241
ko:K02053	smk:Sinme_2247
ko:K00137	smk:Sinme_2248
ko:K13255	smk:Sinme_2250
ko:K02016	smk:Sinme_2251
ko:K03088	smk:Sinme_2080
ko:K01721	smk:Sinme_2084
ko:K03704	smk:Sinme_2088
ko:K01653	smk:Sinme_2091
ko:K01652	smk:Sinme_2092
ko:K06915	smk:Sinme_2093
ko:K00791	smk:Sinme_2096
ko:K01079	smk:Sinme_2097
ko:K09807	smk:Sinme_2353
ko:K03086	smk:Sinme_2360
ko:K00060	smk:Sinme_2361
ko:K03654	smk:Sinme_2363
ko:K09117	smk:Sinme_2365
ko:K01956	smk:Sinme_2366
ko:K00812	smk:Sinme_2370
ko:K03704	smk:Sinme_2375
ko:K07659	smk:Sinme_2382
ko:K07638	smk:Sinme_2383
ko:K06878	smk:Sinme_2384
ko:K00286	smk:Sinme_2385
ko:K13292	smk:Sinme_2388
ko:K05810	smk:Sinme_2390
ko:K00948	smk:Sinme_2393
ko:K12941	smk:Sinme_2585
ko:K02034	smk:Sinme_2590
ko:K10441	smk:Sinme_2594
ko:K00005	smk:Sinme_2602
ko:K01915	smk:Sinme_2193
ko:K02053	smk:Sinme_2199
ko:K00794	smk:Sinme_2201
ko:K01628	smk:Sinme_2213
ko:K05782	smk:Sinme_2398
ko:K02897	smk:Sinme_2399
ko:K01056	smk:Sinme_2400
ko:K06891	smk:Sinme_2401
ko:K06942	smk:Sinme_2402
ko:K00759	smk:Sinme_2406
ko:K14083	smk:Sinme_2253
ko:K00315	smk:Sinme_2255
ko:K01761	smk:Sinme_2258
ko:K09136	smk:Sinme_2266
ko:K02078	smk:Sinme_2286
ko:K01358	smk:Sinme_2426
ko:K03192	smk:Sinme_2429
ko:K09457	smk:Sinme_2432
ko:K13503	smk:Sinme_2434
ko:K01938	smk:Sinme_2437
ko:K02013	smk:Sinme_2478
ko:K03088	smk:Sinme_2482
ko:K10229	smk:Sinme_2491
ko:K10228	smk:Sinme_2492
ko:K10227	smk:Sinme_2493
ko:K01464	smk:Sinme_2502
ko:K02996	smk:Sinme_1040
ko:K02871	smk:Sinme_1041
ko:K06929	smk:Sinme_1045
ko:K01740	smk:Sinme_1046
ko:K06995	smk:Sinme_1047
ko:K01358	smk:Sinme_1052
ko:K03544	smk:Sinme_1053
ko:K02527	smk:Sinme_0519
ko:K01338	smk:Sinme_1054
ko:K03530	smk:Sinme_1055
ko:K01637	smk:Sinme_0415
ko:K07110	smk:Sinme_0416
ko:K11073	smk:Sinme_0417
ko:K11076	smk:Sinme_0418
ko:K11075	smk:Sinme_0419
ko:K11074	smk:Sinme_0420
ko:K07289	smk:Sinme_0421
ko:K02011	smk:Sinme_0423
ko:K00140	smk:Sinme_0429
ko:K02012	smk:Sinme_0432
ko:K13772	smk:Sinme_0433
ko:K12368	smk:Sinme_0434
ko:K12369	smk:Sinme_0435
ko:K12370	smk:Sinme_0436
ko:K12371	smk:Sinme_0437
ko:K12372	smk:Sinme_0438
ko:K00285	smk:Sinme_0447
ko:K07507	smk:Sinme_0449
ko:K07240	smk:Sinme_0460
ko:K01524	smk:Sinme_0464
ko:K01061	smk:Sinme_0471
ko:K04761	smk:Sinme_0472
ko:K03781	smk:Sinme_0473
ko:K00765	smk:Sinme_0498
ko:K04077	smk:Sinme_0501
ko:K04078	smk:Sinme_0502
ko:K11753	smk:Sinme_0505
ko:K01870	smk:Sinme_0506
ko:K01091	smk:Sinme_0520
ko:K00912	smk:Sinme_0521
ko:K03572	smk:Sinme_0523
ko:K14083	smk:Sinme_0527
ko:K03179	smk:Sinme_0571
ko:K07566	smk:Sinme_0575
ko:K00479	smk:Sinme_0577
ko:K02415	smk:Sinme_0361
ko:K02419	smk:Sinme_0362
ko:K02406	smk:Sinme_0363
ko:K02406	smk:Sinme_0364
ko:K02406	smk:Sinme_0365
ko:K02406	smk:Sinme_0366
ko:K02557	smk:Sinme_0368
ko:K10564	smk:Sinme_0369
ko:K02390	smk:Sinme_0373
ko:K02396	smk:Sinme_0374
ko:K02397	smk:Sinme_0375
ko:K06602	smk:Sinme_0376
ko:K06178	smk:Sinme_0510
ko:K07001	smk:Sinme_0512
ko:K03592	smk:Sinme_0516
ko:K06601	smk:Sinme_0377
ko:K03531	smk:Sinme_2148
ko:K03590	smk:Sinme_2149
ko:K03589	smk:Sinme_2150
ko:K01921	smk:Sinme_2151
ko:K06188	smk:Sinme_2152
ko:K00075	smk:Sinme_2154
ko:K01924	smk:Sinme_2155
ko:K02563	smk:Sinme_2156
ko:K03588	smk:Sinme_2157
ko:K01925	smk:Sinme_2158
ko:K01000	smk:Sinme_2159
ko:K01929	smk:Sinme_2160
ko:K01928	smk:Sinme_2161
ko:K03587	smk:Sinme_2162
ko:K03438	smk:Sinme_2164
ko:K03925	smk:Sinme_2165
ko:K05801	smk:Sinme_2169
ko:K00297	smk:Sinme_2179
ko:K01633	smk:Sinme_1715
ko:K00796	smk:Sinme_1716
ko:K04755	smk:Sinme_1719
ko:K00413	smk:Sinme_1722
ko:K00412	smk:Sinme_1723
ko:K00411	smk:Sinme_1724
ko:K03216	smk:Sinme_1727
ko:K13639	smk:Sinme_1729
ko:K00228	smk:Sinme_1732
ko:K02065	smk:Sinme_1738
ko:K02066	smk:Sinme_1739
ko:K05820	smk:Sinme_1741
ko:K00029	smk:Sinme_1743
ko:K09959	smk:Sinme_2395
ko:K01999	smk:Sinme_2529
ko:K01996	smk:Sinme_2531
ko:K01995	smk:Sinme_2532
ko:K01998	smk:Sinme_2533
ko:K01997	smk:Sinme_2534
ko:K06999	smk:Sinme_2539
ko:K02053	smk:Sinme_2545
ko:K01915	smk:Sinme_2556
ko:K02275	smk:Sinme_2565
ko:K02276	smk:Sinme_2567
ko:K02276	smk:Sinme_2568
ko:K06859	smk:Sinme_2605
ko:K01625	smk:Sinme_2606
ko:K10441	smk:Sinme_2616
ko:K02389	smk:Sinme_0378
ko:K02420	smk:Sinme_0379
ko:K02400	smk:Sinme_0380
ko:K02421	smk:Sinme_0381
ko:K01491	smk:Sinme_0387
ko:K02529	smk:Sinme_0388
ko:K10235	smk:Sinme_0393
ko:K01690	smk:Sinme_0395
ko:K01057	smk:Sinme_0396
ko:K00036	smk:Sinme_0397
ko:K01915	smk:Sinme_0399
ko:K15125	smk:Sinme_0408
ko:K01674	smk:Sinme_5598
ko:K04719	smk:Sinme_1747
ko:K02529	smk:Sinme_1750
ko:K01626	smk:Sinme_1758
ko:K09924	smk:Sinme_1760
ko:K01807	smk:Sinme_1761
ko:K01091	smk:Sinme_1762
ko:K07006	smk:Sinme_1765
ko:K02529	smk:Sinme_1901
ko:K03310	smk:Sinme_1904
ko:K06996	smk:Sinme_1907
ko:K02517	smk:Sinme_1908
ko:K09458	smk:Sinme_1910
ko:K09458	smk:Sinme_1911
ko:K02372	smk:Sinme_1912
ko:K02227	smk:Sinme_1914
ko:K02225	smk:Sinme_1915
ko:K02224	smk:Sinme_1916
ko:K02189	smk:Sinme_1918
ko:K07090	smk:Sinme_1919
ko:K03639	smk:Sinme_1769
ko:K03752	smk:Sinme_1771
ko:K03753	smk:Sinme_1772
ko:K02029	smk:Sinme_1775
ko:K02029	smk:Sinme_1776
ko:K01745	smk:Sinme_2758
ko:K09975	smk:Sinme_2760
ko:K00566	smk:Sinme_2768
ko:K06975	smk:Sinme_2771
ko:K09986	smk:Sinme_2410
ko:K03924	smk:Sinme_2411
ko:K04095	smk:Sinme_2418
ko:K03088	smk:Sinme_2421
ko:K02002	smk:Sinme_2446
ko:K02001	smk:Sinme_2447
ko:K02000	smk:Sinme_2448
ko:K07226	smk:Sinme_2449
ko:K00822	smk:Sinme_2452
ko:K01486	smk:Sinme_2453
ko:K00874	smk:Sinme_2455
ko:K02034	smk:Sinme_2458
ko:K01273	smk:Sinme_2461
ko:K06886	smk:Sinme_2466
ko:K03832	smk:Sinme_2472
ko:K07225	smk:Sinme_2475
ko:K02016	smk:Sinme_2476
ko:K02015	smk:Sinme_2477
ko:K01649	smk:Sinme_2425
ko:K03521	smk:Sinme_2698
ko:K03522	smk:Sinme_2699
ko:K00074	smk:Sinme_2700
ko:K01755	smk:Sinme_2702
ko:K01586	smk:Sinme_2704
ko:K00760	smk:Sinme_2708
ko:K09812	smk:Sinme_2710
ko:K09811	smk:Sinme_2711
ko:K00655	smk:Sinme_2713
ko:K03189	smk:Sinme_2511
ko:K03188	smk:Sinme_2512
ko:K03187	smk:Sinme_2513
ko:K07726	smk:Sinme_2517
ko:K01428	smk:Sinme_2519
ko:K01429	smk:Sinme_2522
ko:K09984	smk:Sinme_2523
ko:K01430	smk:Sinme_2524
ko:K03190	smk:Sinme_2525
ko:K09969	smk:Sinme_2751
ko:K05836	smk:Sinme_2753
ko:K02002	smk:Sinme_2755
ko:K02001	smk:Sinme_2756
ko:K02000	smk:Sinme_2757
ko:K02291	smk:Sinme_1343
ko:K00606	smk:Sinme_2141
ko:K01918	smk:Sinme_2142
ko:K01972	smk:Sinme_2144
ko:K03631	smk:Sinme_2145
ko:K05807	smk:Sinme_2146
ko:K07552	smk:Sinme_1688
ko:K14058	smk:Sinme_1690
ko:K01425	smk:Sinme_1691
ko:K02986	smk:Sinme_1692
ko:K06915	smk:Sinme_1693
ko:K01776	smk:Sinme_1694
ko:K00031	smk:Sinme_1697
ko:K03321	smk:Sinme_1702
ko:K01872	smk:Sinme_1703
ko:K13587	smk:Sinme_1707
ko:K06204	smk:Sinme_1709
ko:K08296	smk:Sinme_1710
ko:K06918	smk:Sinme_1711
ko:K08990	smk:Sinme_1712
ko:K00950	smk:Sinme_1714
ko:K07552	smk:Sinme_1687
ko:K02535	smk:Sinme_2147
ko:K03710	smk:Sinme_2619
ko:K00940	smk:Sinme_0961
ko:K01997	smk:Sinme_0964
ko:K03636	smk:Sinme_0966
ko:K03703	smk:Sinme_0968
ko:K07115	smk:Sinme_0974
ko:K14205	smk:Sinme_0977
ko:K11175	smk:Sinme_0979
ko:K01933	smk:Sinme_0980
ko:K00937	smk:Sinme_0983
ko:K01524	smk:Sinme_0984
ko:K03684	smk:Sinme_0987
ko:K01876	smk:Sinme_0991
ko:K01207	smk:Sinme_1327
ko:K05896	smk:Sinme_1328
ko:K06024	smk:Sinme_1329
ko:K03116	smk:Sinme_1331
ko:K03117	smk:Sinme_1332
ko:K03118	smk:Sinme_1333
ko:K01875	smk:Sinme_1334
ko:K03787	smk:Sinme_1335
ko:K00573	smk:Sinme_1336
ko:K06923	smk:Sinme_1339
ko:K03210	smk:Sinme_1340
ko:K00942	smk:Sinme_0943
ko:K02528	smk:Sinme_0946
ko:K00097	smk:Sinme_0947
ko:K03771	smk:Sinme_0948
ko:K04744	smk:Sinme_0949
ko:K11720	smk:Sinme_0950
ko:K07091	smk:Sinme_0951
ko:K01255	smk:Sinme_0952
ko:K02339	smk:Sinme_0953
ko:K06158	smk:Sinme_0956
ko:K08309	smk:Sinme_0852
ko:K01714	smk:Sinme_0853
ko:K03664	smk:Sinme_0854
ko:K03060	smk:Sinme_0858
ko:K09928	smk:Sinme_0863
ko:K00997	smk:Sinme_0864
ko:K03100	smk:Sinme_0865
ko:K03685	smk:Sinme_0866
ko:K01126	smk:Sinme_0872
ko:K00574	smk:Sinme_0873
ko:K06959	smk:Sinme_0874
ko:K11003	smk:Sinme_0895
ko:K06980	smk:Sinme_0900
ko:K01883	smk:Sinme_0907
ko:K01649	smk:Sinme_0912
ko:K05786	smk:Sinme_0913
ko:K06966	smk:Sinme_0914
ko:K01613	smk:Sinme_0917
ko:K00764	smk:Sinme_0920
ko:K03558	smk:Sinme_0921
ko:K04485	smk:Sinme_0922
ko:K01775	smk:Sinme_0923
ko:K02939	smk:Sinme_0931
ko:K02963	smk:Sinme_0933
ko:K02990	smk:Sinme_0934
ko:K00645	smk:Sinme_0937
ko:K02078	smk:Sinme_0939
ko:K09458	smk:Sinme_0940
ko:K07082	smk:Sinme_0941
ko:K00824	smk:Sinme_1264
ko:K03666	smk:Sinme_1265
ko:K03665	smk:Sinme_1266
ko:K02302	smk:Sinme_1270
ko:K00381	smk:Sinme_1272
ko:K00528	smk:Sinme_1274
ko:K09991	smk:Sinme_1317
ko:K01873	smk:Sinme_1318
ko:K06076	smk:Sinme_1319
ko:K01142	smk:Sinme_1321
ko:K06131	smk:Sinme_1322
ko:K01129	smk:Sinme_1324
ko:K01887	smk:Sinme_1325
ko:K01241	smk:Sinme_0756
ko:K09771	smk:Sinme_0757
ko:K00817	smk:Sinme_0763
ko:K09982	smk:Sinme_1108
ko:K02434	smk:Sinme_1109
ko:K00684	smk:Sinme_1113
ko:K01961	smk:Sinme_1114
ko:K02160	smk:Sinme_1115
ko:K03786	smk:Sinme_1116
ko:K08300	smk:Sinme_1120
ko:K01448	smk:Sinme_1121
ko:K05366	smk:Sinme_1122
ko:K02836	smk:Sinme_1123
ko:K00858	smk:Sinme_1125
ko:K00012	smk:Sinme_0876
ko:K03584	smk:Sinme_0882
ko:K07093	smk:Sinme_0883
ko:K06950	smk:Sinme_0885
ko:K07140	smk:Sinme_0886
ko:K03517	smk:Sinme_0888
ko:K00278	smk:Sinme_0889
ko:K00767	smk:Sinme_0890
ko:K02874	smk:Sinme_1159
ko:K02895	smk:Sinme_1160
ko:K02931	smk:Sinme_1161
ko:K02954	smk:Sinme_1162
ko:K02994	smk:Sinme_1163
ko:K02933	smk:Sinme_1164
ko:K02881	smk:Sinme_1165
ko:K02988	smk:Sinme_1166
ko:K02907	smk:Sinme_1167
ko:K02876	smk:Sinme_1168
ko:K03076	smk:Sinme_1169
ko:K02952	smk:Sinme_1171
ko:K02948	smk:Sinme_1172
ko:K03040	smk:Sinme_1173
ko:K02879	smk:Sinme_1174
ko:K07478	smk:Sinme_1178
ko:K01091	smk:Sinme_1182
ko:K06199	smk:Sinme_1184
ko:K01070	smk:Sinme_1185
ko:K09768	smk:Sinme_1187
ko:K03801	smk:Sinme_1190
ko:K07180	smk:Sinme_1191
ko:K09786	smk:Sinme_1192
ko:K07001	smk:Sinme_1218
ko:K01495	smk:Sinme_1220
ko:K08998	smk:Sinme_1222
ko:K01868	smk:Sinme_1225
ko:K03829	smk:Sinme_1232
ko:K02622	smk:Sinme_1233
ko:K01803	smk:Sinme_1238
ko:K03075	smk:Sinme_1239
ko:K01937	smk:Sinme_1240
ko:K01627	smk:Sinme_1242
ko:K01689	smk:Sinme_1243
ko:K00161	smk:Sinme_1246
ko:K00162	smk:Sinme_1247
ko:K00627	smk:Sinme_1248
ko:K00382	smk:Sinme_1251
ko:K03644	smk:Sinme_1253
ko:K12506	smk:Sinme_1257
ko:K07708	smk:Sinme_1259
ko:K07712	smk:Sinme_1260
ko:K13598	smk:Sinme_1261
ko:K13599	smk:Sinme_1262
ko:K09972	smk:Sinme_1278
ko:K09971	smk:Sinme_1279
ko:K09970	smk:Sinme_1280
ko:K09969	smk:Sinme_1281
ko:K00640	smk:Sinme_1286
ko:K06891	smk:Sinme_1289
ko:K03694	smk:Sinme_1290
ko:K02503	smk:Sinme_1293
ko:K09919	smk:Sinme_1294
ko:K02967	smk:Sinme_1298
ko:K02357	smk:Sinme_1299
ko:K09903	smk:Sinme_1300
ko:K02838	smk:Sinme_1301
ko:K00806	smk:Sinme_1302
ko:K00981	smk:Sinme_1303
ko:K11749	smk:Sinme_1304
ko:K07277	smk:Sinme_1305
ko:K02536	smk:Sinme_1306
ko:K02372	smk:Sinme_1307
ko:K00677	smk:Sinme_1308
ko:K00748	smk:Sinme_1310
ko:K01647	smk:Sinme_1311
ko:K03561	smk:Sinme_1313
ko:K00573	smk:Sinme_1315
ko:K03575	smk:Sinme_0636
ko:K03529	smk:Sinme_0640
ko:K00117	smk:Sinme_0691
ko:K01354	smk:Sinme_0694
ko:K11068	smk:Sinme_0698
ko:K05566	smk:Sinme_0702
ko:K05567	smk:Sinme_0703
ko:K05569	smk:Sinme_0705
ko:K05571	smk:Sinme_0707
ko:K02426	smk:Sinme_0709
ko:K07716	smk:Sinme_0738
ko:K01256	smk:Sinme_0739
ko:K04046	smk:Sinme_0746
ko:K00311	smk:Sinme_0747
ko:K02002	smk:Sinme_0748
ko:K02621	smk:Sinme_0996
ko:K01698	smk:Sinme_1001
ko:K00600	smk:Sinme_1005
ko:K07738	smk:Sinme_1006
ko:K11752	smk:Sinme_1007
