ko:K18929	cjs:CJS3_0074
ko:K07118	cjs:CJS3_1638
ko:K07089	cjs:CJS3_1639
ko:K00343	cjs:CJS3_1646
ko:K00342	cjs:CJS3_1647
ko:K00341	cjs:CJS3_1648
ko:K00340	cjs:CJS3_1649
ko:K00339	cjs:CJS3_1650
ko:K00338	cjs:CJS3_1651
ko:K00337	cjs:CJS3_1652
ko:K00334	cjs:CJS3_1655
ko:K00333	cjs:CJS3_1656
ko:K00332	cjs:CJS3_1657
ko:K00331	cjs:CJS3_1658
ko:K00330	cjs:CJS3_1659
ko:K02034	cjs:CJS3_1662
ko:K06159	cjs:CJS3_1667
ko:K02518	cjs:CJS3_1671
ko:K02919	cjs:CJS3_1672
ko:K02952	cjs:CJS3_1673
ko:K02948	cjs:CJS3_1674
ko:K02986	cjs:CJS3_1675
ko:K03707	cjs:CJS3_0429
ko:K02078	cjs:CJS3_0431
ko:K09458	cjs:CJS3_0432
ko:K01962	cjs:CJS3_0433
ko:K09794	cjs:CJS3_0441
ko:K02902	cjs:CJS3_0442
ko:K01783	cjs:CJS3_0443
ko:K03147	cjs:CJS3_0445
ko:K09778	cjs:CJS3_0449
ko:K06168	cjs:CJS3_0450
ko:K02600	cjs:CJS3_0452
ko:K03655	cjs:CJS3_0456
ko:K06886	cjs:CJS3_0457
ko:K02029	cjs:CJS3_0459
ko:K02358	cjs:CJS3_0462
ko:K02913	cjs:CJS3_0463
ko:K03073	cjs:CJS3_0464
ko:K02601	cjs:CJS3_0465
ko:K02867	cjs:CJS3_0466
ko:K02863	cjs:CJS3_0467
ko:K02864	cjs:CJS3_0468
ko:K02935	cjs:CJS3_0469
ko:K03043	cjs:CJS3_0470
ko:K01714	cjs:CJS3_0473
ko:K02429	cjs:CJS3_0478
ko:K03534	cjs:CJS3_0480
ko:K07248	cjs:CJS3_0481
ko:K02950	cjs:CJS3_0482
ko:K02992	cjs:CJS3_0483
ko:K02355	cjs:CJS3_0484
ko:K02108	cjs:CJS3_1246
ko:K04485	cjs:CJS3_1247
ko:K03110	cjs:CJS3_1248
ko:K07058	cjs:CJS3_1255
ko:K05810	cjs:CJS3_1260
ko:K00793	cjs:CJS3_1261
ko:K04078	cjs:CJS3_1263
ko:K04077	cjs:CJS3_1264
ko:K05516	cjs:CJS3_1272
ko:K01091	cjs:CJS3_1277
ko:K01879	cjs:CJS3_1278
ko:K01524	cjs:CJS3_1281
ko:K03474	cjs:CJS3_1282
ko:K00097	cjs:CJS3_1283
ko:K01599	cjs:CJS3_1288
ko:K03703	cjs:CJS3_1291
ko:K01951	cjs:CJS3_1294
ko:K01945	cjs:CJS3_1296
ko:K04744	cjs:CJS3_1298
ko:K00962	cjs:CJS3_1299
ko:K03319	cjs:CJS3_0051
ko:K00566	cjs:CJS3_0052
ko:K06966	cjs:CJS3_0053
ko:K02417	cjs:CJS3_0059
ko:K02416	cjs:CJS3_0060
ko:K02405	cjs:CJS3_0061
ko:K04562	cjs:CJS3_0063
ko:K02404	cjs:CJS3_0064
ko:K00950	cjs:CJS3_0065
ko:K03786	cjs:CJS3_0066
ko:K04773	cjs:CJS3_0068
ko:K00782	cjs:CJS3_0073
ko:K03303	cjs:CJS3_0076
ko:K00425	cjs:CJS3_0081
ko:K00426	cjs:CJS3_0082
ko:K01779	cjs:CJS3_0084
ko:K03648	cjs:CJS3_0085
ko:K01744	cjs:CJS3_0086
ko:K07791	cjs:CJS3_0087
ko:K09859	cjs:CJS3_0088
ko:K07337	cjs:CJS3_0090
ko:K02888	cjs:CJS3_0093
ko:K02899	cjs:CJS3_0094
ko:K03979	cjs:CJS3_0095
ko:K00931	cjs:CJS3_0096
ko:K00604	cjs:CJS3_0097
ko:K03524	cjs:CJS3_0098
ko:K02109	cjs:CJS3_0101
ko:K02109	cjs:CJS3_0102
ko:K02113	cjs:CJS3_0103
ko:K02111	cjs:CJS3_0104
ko:K02115	cjs:CJS3_0105
ko:K03841	cjs:CJS3_0884
ko:K03753	cjs:CJS3_0885
ko:K08309	cjs:CJS3_0887
ko:K02221	cjs:CJS3_0888
ko:K01613	cjs:CJS3_0891
ko:K04061	cjs:CJS3_0892
ko:K01845	cjs:CJS3_0897
ko:K01491	cjs:CJS3_0899
ko:K03100	cjs:CJS3_0900
ko:K03750	cjs:CJS3_0901
ko:K00790	cjs:CJS3_0902
ko:K03673	cjs:CJS3_0908
ko:K03611	cjs:CJS3_0909
ko:K03673	cjs:CJS3_0917
ko:K02400	cjs:CJS3_0924
ko:K02956	cjs:CJS3_0926
ko:K03466	cjs:CJS3_0927
ko:K02397	cjs:CJS3_0928
ko:K15738	cjs:CJS3_0929
ko:K02945	cjs:CJS3_0934
ko:K03527	cjs:CJS3_0935
ko:K00800	cjs:CJS3_0936
ko:K01890	cjs:CJS3_0937
ko:K01889	cjs:CJS3_0938
ko:K02503	cjs:CJS3_0939
ko:K03040	cjs:CJS3_1676
ko:K02879	cjs:CJS3_1677
ko:K00765	cjs:CJS3_1678
ko:K00013	cjs:CJS3_1679
ko:K01089	cjs:CJS3_1680
ko:K02501	cjs:CJS3_1681
ko:K01814	cjs:CJS3_1682
ko:K09805	cjs:CJS3_1683
ko:K02500	cjs:CJS3_1684
ko:K11755	cjs:CJS3_1685
ko:K12506	cjs:CJS3_1688
ko:K00958	cjs:CJS3_1690
ko:K01095	cjs:CJS3_1691
ko:K02968	cjs:CJS3_1692
ko:K02835	cjs:CJS3_1693
ko:K07226	cjs:CJS3_1694
ko:K02015	cjs:CJS3_1696
ko:K02013	cjs:CJS3_1697
ko:K02016	cjs:CJS3_1698
ko:K03575	cjs:CJS3_1701
ko:K11752	cjs:CJS3_1703
ko:K01752	cjs:CJS3_1705
ko:K03837	cjs:CJS3_1706
ko:K03561	cjs:CJS3_1709
ko:K00566	cjs:CJS3_1715
ko:K01736	cjs:CJS3_1716
ko:K03685	cjs:CJS3_1717
ko:K01928	cjs:CJS3_1723
ko:K09747	cjs:CJS3_1724
ko:K06940	cjs:CJS3_0487
ko:K01609	cjs:CJS3_0489
ko:K06917	cjs:CJS3_0491
ko:K03320	cjs:CJS3_0494
ko:K01772	cjs:CJS3_0496
ko:K01872	cjs:CJS3_0499
ko:K06287	cjs:CJS3_0500
ko:K03695	cjs:CJS3_0502
ko:K03797	cjs:CJS3_0504
ko:K01923	cjs:CJS3_0505
ko:K01952	cjs:CJS3_0506
ko:K01952	cjs:CJS3_0507
ko:K00655	cjs:CJS3_0509
ko:K06199	cjs:CJS3_0510
ko:K04079	cjs:CJS3_0511
ko:K03324	cjs:CJS3_0514
ko:K03587	cjs:CJS3_0515
ko:K02408	cjs:CJS3_0516
ko:K02388	cjs:CJS3_0517
ko:K02387	cjs:CJS3_0518
ko:K07082	cjs:CJS3_0519
ko:K00031	cjs:CJS3_0521
ko:K00024	cjs:CJS3_0522
ko:K01903	cjs:CJS3_0523
ko:K01902	cjs:CJS3_0524
ko:K00176	cjs:CJS3_0525
ko:K00174	cjs:CJS3_0526
ko:K00175	cjs:CJS3_0527
ko:K00177	cjs:CJS3_0528
ko:K02523	cjs:CJS3_0531
ko:K02492	cjs:CJS3_0532
ko:K01881	cjs:CJS3_0533
ko:K01649	cjs:CJS3_0534
ko:K01749	cjs:CJS3_0535
ko:K03182	cjs:CJS3_0536
ko:K02407	cjs:CJS3_0538
ko:K03686	cjs:CJS3_1305
ko:K06187	cjs:CJS3_1308
ko:K03620	cjs:CJS3_1310
ko:K01448	cjs:CJS3_1314
ko:K00459	cjs:CJS3_1315
ko:K01866	cjs:CJS3_1316
ko:K03060	cjs:CJS3_1318
ko:K09903	cjs:CJS3_1319
ko:K09811	cjs:CJS3_1321
ko:K09812	cjs:CJS3_1322
ko:K03439	cjs:CJS3_1323
ko:K06180	cjs:CJS3_1325
ko:K05837	cjs:CJS3_1326
ko:K02422	cjs:CJS3_0539
ko:K02356	cjs:CJS3_0541
ko:K00147	cjs:CJS3_0548
ko:K00384	cjs:CJS3_0549
ko:K14652	cjs:CJS3_0562
ko:K09117	cjs:CJS3_0563
ko:K01652	cjs:CJS3_0564
ko:K01653	cjs:CJS3_0565
ko:K02536	cjs:CJS3_0566
ko:K07568	cjs:CJS3_0567
ko:K03118	cjs:CJS3_0568
ko:K02112	cjs:CJS3_0106
ko:K02114	cjs:CJS3_0107
ko:K03832	cjs:CJS3_0110
ko:K03641	cjs:CJS3_0111
ko:K03640	cjs:CJS3_0112
ko:K03775	cjs:CJS3_0114
ko:K00645	cjs:CJS3_0115
ko:K07042	cjs:CJS3_0120
ko:K06204	cjs:CJS3_0124
ko:K00783	cjs:CJS3_0125
ko:K01963	cjs:CJS3_0126
ko:K07277	cjs:CJS3_0128
ko:K02535	cjs:CJS3_0131
ko:K00872	cjs:CJS3_0133
ko:K02519	cjs:CJS3_0135
ko:K02834	cjs:CJS3_0136
ko:K09748	cjs:CJS3_0137
ko:K09816	cjs:CJS3_0140
ko:K09817	cjs:CJS3_0141
ko:K07093	cjs:CJS3_0144
ko:K00384	cjs:CJS3_0145
ko:K03671	cjs:CJS3_0146
ko:K07460	cjs:CJS3_0147
ko:K00003	cjs:CJS3_0148
ko:K14261	cjs:CJS3_0149
ko:K03218	cjs:CJS3_0152
ko:K07056	cjs:CJS3_0153
ko:K02909	cjs:CJS3_0154
ko:K09761	cjs:CJS3_0155
ko:K01737	cjs:CJS3_0158
ko:K03152	cjs:CJS3_0940
ko:K03310	cjs:CJS3_0944
ko:K03216	cjs:CJS3_0945
ko:K01775	cjs:CJS3_0946
ko:K07152	cjs:CJS3_0952
ko:K01738	cjs:CJS3_0953
ko:K03530	cjs:CJS3_0954
ko:K10806	cjs:CJS3_0956
ko:K00948	cjs:CJS3_0960
ko:K03412	cjs:CJS3_0966
ko:K01808	cjs:CJS3_0967
ko:K00759	cjs:CJS3_0969
ko:K01255	cjs:CJS3_0971
ko:K06942	cjs:CJS3_0972
ko:K01755	cjs:CJS3_0973
ko:K01610	cjs:CJS3_0974
ko:K01960	cjs:CJS3_0975
ko:K03308	cjs:CJS3_0976
ko:K03308	cjs:CJS3_0977
ko:K02110	cjs:CJS3_0978
ko:K07088	cjs:CJS3_0979
ko:K05939	cjs:CJS3_0980
ko:K03070	cjs:CJS3_0984
ko:K03634	cjs:CJS3_0985
ko:K00795	cjs:CJS3_1726
ko:K00615	cjs:CJS3_1727
ko:K02066	cjs:CJS3_1728
ko:K02065	cjs:CJS3_1729
ko:K01265	cjs:CJS3_1733
ko:K01776	cjs:CJS3_1734
ko:K03313	cjs:CJS3_1736
ko:K03313	cjs:CJS3_1737
ko:K07243	cjs:CJS3_1740
ko:K07230	cjs:CJS3_1741
ko:K02003	cjs:CJS3_1745
ko:K01689	cjs:CJS3_1754
ko:K02420	cjs:CJS3_1757
ko:K00075	cjs:CJS3_1758
ko:K01647	cjs:CJS3_1761
ko:K01012	cjs:CJS3_1763
ko:K03168	cjs:CJS3_1764
ko:K03076	cjs:CJS3_1766
ko:K02876	cjs:CJS3_1767
ko:K02988	cjs:CJS3_1768
ko:K02881	cjs:CJS3_1769
ko:K02933	cjs:CJS3_1770
ko:K02994	cjs:CJS3_1771
ko:K02954	cjs:CJS3_1772
ko:K02931	cjs:CJS3_1773
ko:K02895	cjs:CJS3_1774
ko:K02874	cjs:CJS3_1775
ko:K08311	cjs:CJS3_0571
ko:K00928	cjs:CJS3_0572
ko:K02341	cjs:CJS3_0574
ko:K00796	cjs:CJS3_0575
ko:K01972	cjs:CJS3_0576
ko:K06442	cjs:CJS3_0578
ko:K11753	cjs:CJS3_0579
ko:K15256	cjs:CJS3_0580
ko:K01173	cjs:CJS3_0584
ko:K10773	cjs:CJS3_0585
ko:K01624	cjs:CJS3_0587
ko:K02557	cjs:CJS3_0589
ko:K03308	cjs:CJS3_0591
ko:K04084	cjs:CJS3_0593
ko:K00761	cjs:CJS3_1383
ko:K00029	cjs:CJS3_1384
ko:K01961	cjs:CJS3_1387
ko:K02160	cjs:CJS3_1388
ko:K01494	cjs:CJS3_1389
ko:K15894	cjs:CJS3_1390
ko:K00648	cjs:CJS3_1398
ko:K03117	cjs:CJS3_0569
ko:K18139	cjs:CJS3_0355
ko:K13888	cjs:CJS3_0596
ko:K05685	cjs:CJS3_0597
ko:K09795	cjs:CJS3_0600
ko:K02217	cjs:CJS3_0602
ko:K02040	cjs:CJS3_0603
ko:K02037	cjs:CJS3_0604
ko:K02038	cjs:CJS3_0605
ko:K02036	cjs:CJS3_0606
ko:K07043	cjs:CJS3_0610
ko:K04656	cjs:CJS3_0612
ko:K04653	cjs:CJS3_0614
ko:K04654	cjs:CJS3_0615
ko:K04651	cjs:CJS3_0617
ko:K02340	cjs:CJS3_0620
ko:K12573	cjs:CJS3_0621
ko:K00053	cjs:CJS3_0622
ko:K09798	cjs:CJS3_0623
ko:K04096	cjs:CJS3_0624
ko:K07447	cjs:CJS3_0625
ko:K01876	cjs:CJS3_0630
ko:K00858	cjs:CJS3_0631
ko:K03631	cjs:CJS3_0632
ko:K03424	cjs:CJS3_0634
ko:K08307	cjs:CJS3_0635
ko:K03642	cjs:CJS3_0636
ko:K03270	cjs:CJS3_0637
ko:K09774	cjs:CJS3_0639
ko:K03978	cjs:CJS3_0640
ko:K05515	cjs:CJS3_0642
ko:K03305	cjs:CJS3_0644
ko:K02500	cjs:CJS3_1414
ko:K02501	cjs:CJS3_1415
ko:K00604	cjs:CJS3_1420
ko:K02406	cjs:CJS3_1433
ko:K02406	cjs:CJS3_1434
ko:K02456	cjs:CJS3_1437
ko:K00099	cjs:CJS3_1441
ko:K00981	cjs:CJS3_1442
ko:K03752	cjs:CJS3_1445
ko:K01058	cjs:CJS3_1446
ko:K02015	cjs:CJS3_1447
ko:K02015	cjs:CJS3_1448
ko:K02013	cjs:CJS3_1449
ko:K02016	cjs:CJS3_1450
ko:K03385	cjs:CJS3_1452
ko:K15876	cjs:CJS3_1453
ko:K00937	cjs:CJS3_1454
ko:K03407	cjs:CJS3_1459
ko:K03551	cjs:CJS3_1460
ko:K03639	cjs:CJS3_0160
ko:K03179	cjs:CJS3_0163
ko:K00791	cjs:CJS3_0164
ko:K04564	cjs:CJS3_0167
ko:K02011	cjs:CJS3_0170
ko:K02012	cjs:CJS3_0171
ko:K03561	cjs:CJS3_0175
ko:K03832	cjs:CJS3_0177
ko:K06193	cjs:CJS3_0181
ko:K11175	cjs:CJS3_0183
ko:K07391	cjs:CJS3_0186
ko:K01462	cjs:CJS3_0187
ko:K01358	cjs:CJS3_0188
ko:K03545	cjs:CJS3_0189
ko:K01495	cjs:CJS3_0190
ko:K02412	cjs:CJS3_0191
ko:K00764	cjs:CJS3_0192
ko:K00215	cjs:CJS3_0193
ko:K07478	cjs:CJS3_0194
ko:K03300	cjs:CJS3_0199
ko:K06153	cjs:CJS3_0201
ko:K01868	cjs:CJS3_0202
ko:K02520	cjs:CJS3_0203
ko:K12251	cjs:CJS3_0989
ko:K00602	cjs:CJS3_0997
ko:K05801	cjs:CJS3_0998
ko:K01952	cjs:CJS3_0999
ko:K03650	cjs:CJS3_1000
ko:K03217	cjs:CJS3_1002
ko:K03536	cjs:CJS3_1004
ko:K02914	cjs:CJS3_1005
ko:K07107	cjs:CJS3_1009
ko:K15257	cjs:CJS3_1026
ko:K09861	cjs:CJS3_1035
ko:K00611	cjs:CJS3_1043
ko:K02961	cjs:CJS3_1776
ko:K02904	cjs:CJS3_1777
ko:K02878	cjs:CJS3_1778
ko:K02982	cjs:CJS3_1779
ko:K02890	cjs:CJS3_1780
ko:K02965	cjs:CJS3_1781
ko:K02886	cjs:CJS3_1782
ko:K02892	cjs:CJS3_1783
ko:K02926	cjs:CJS3_1784
ko:K02906	cjs:CJS3_1785
ko:K02946	cjs:CJS3_1786
ko:K06178	cjs:CJS3_1787
ko:K02528	cjs:CJS3_1789
ko:K06941	cjs:CJS3_1791
ko:K01704	cjs:CJS3_1795
ko:K00820	cjs:CJS3_1464
ko:K00990	cjs:CJS3_1465
ko:K01703	cjs:CJS3_1796
ko:K00052	cjs:CJS3_1797
ko:K01649	cjs:CJS3_1798
ko:K09457	cjs:CJS3_1801
ko:K00651	cjs:CJS3_1803
ko:K01740	cjs:CJS3_1804
ko:K02390	cjs:CJS3_1805
ko:K01159	cjs:CJS3_1807
ko:K03667	cjs:CJS3_0653
ko:K01419	cjs:CJS3_0654
ko:K02939	cjs:CJS3_0655
ko:K01940	cjs:CJS3_0656
ko:K06925	cjs:CJS3_0659
ko:K06861	cjs:CJS3_0660
ko:K03092	cjs:CJS3_0661
ko:K01548	cjs:CJS3_0672
ko:K03702	cjs:CJS3_0675
ko:K02456	cjs:CJS3_0678
ko:K04066	cjs:CJS3_0679
ko:K06901	cjs:CJS3_1467
ko:K04754	cjs:CJS3_1469
ko:K07323	cjs:CJS3_1470
ko:K01042	cjs:CJS3_1475
ko:K03833	cjs:CJS3_1476
ko:K03981	cjs:CJS3_1477
ko:K03839	cjs:CJS3_1479
ko:K03781	cjs:CJS3_1482
ko:K01756	cjs:CJS3_1489
ko:K04758	cjs:CJS3_1491
ko:K04759	cjs:CJS3_1493
ko:K00208	cjs:CJS3_1495
ko:K01803	cjs:CJS3_1496
ko:K00927	cjs:CJS3_1497
ko:K00134	cjs:CJS3_1498
ko:K00969	cjs:CJS3_1499
ko:K09710	cjs:CJS3_1500
ko:K15778	cjs:CJS3_1502
ko:K02415	cjs:CJS3_1503
ko:K00997	cjs:CJS3_1504
ko:K07265	cjs:CJS3_1508
ko:K07266	cjs:CJS3_1509
ko:K03271	cjs:CJS3_1517
ko:K00145	cjs:CJS3_0213
ko:K00930	cjs:CJS3_0215
ko:K00573	cjs:CJS3_0217
ko:K00763	cjs:CJS3_0219
ko:K00762	cjs:CJS3_0222
ko:K02838	cjs:CJS3_0223
ko:K03075	cjs:CJS3_0224
ko:K01673	cjs:CJS3_0226
ko:K13819	cjs:CJS3_0228
ko:K04487	cjs:CJS3_0229
ko:K02916	cjs:CJS3_0233
ko:K02887	cjs:CJS3_0234
ko:K03637	cjs:CJS3_0242
ko:K01142	cjs:CJS3_0245
ko:K03760	cjs:CJS3_0246
ko:K00901	cjs:CJS3_0247
ko:K01465	cjs:CJS3_0249
ko:K07238	cjs:CJS3_0254
ko:K00826	cjs:CJS3_0259
ko:K01821	cjs:CJS3_0260
ko:K03564	cjs:CJS3_0261
ko:K09765	cjs:CJS3_0262
ko:K02372	cjs:CJS3_0263
ko:K00677	cjs:CJS3_0264
ko:K03544	cjs:CJS3_0265
ko:K03569	cjs:CJS3_0266
ko:K03570	cjs:CJS3_0267
ko:K01955	cjs:CJS3_0268
ko:K01698	cjs:CJS3_1044
ko:K03501	cjs:CJS3_1046
ko:K03086	cjs:CJS3_1050
ko:K08296	cjs:CJS3_1051
ko:K01735	cjs:CJS3_1057
ko:K09944	cjs:CJS3_1058
ko:K00773	cjs:CJS3_1059
ko:K01996	cjs:CJS3_1063
ko:K01995	cjs:CJS3_1064
ko:K01998	cjs:CJS3_1065
ko:K01997	cjs:CJS3_1066
ko:K01999	cjs:CJS3_1067
ko:K01999	cjs:CJS3_1068
ko:K00133	cjs:CJS3_1072
ko:K09860	cjs:CJS3_1075
ko:K02469	cjs:CJS3_1076
ko:K03596	cjs:CJS3_1079
ko:K03686	cjs:CJS3_1083
ko:K03588	cjs:CJS3_1087
ko:K02563	cjs:CJS3_1088
ko:K03449	cjs:CJS3_1089
ko:K00788	cjs:CJS3_1092
ko:K03150	cjs:CJS3_1093
ko:K02393	cjs:CJS3_0738
ko:K13788	cjs:CJS3_0739
ko:K00925	cjs:CJS3_0740
ko:K03438	cjs:CJS3_0744
ko:K03770	cjs:CJS3_0745
ko:K03590	cjs:CJS3_0746
ko:K03531	cjs:CJS3_0747
ko:K02392	cjs:CJS3_0748
ko:K02392	cjs:CJS3_0749
ko:K01915	cjs:CJS3_0750
ko:K08303	cjs:CJS3_0752
ko:K01588	cjs:CJS3_0753
ko:K01878	cjs:CJS3_0755
ko:K07164	cjs:CJS3_0757
ko:K02527	cjs:CJS3_0758
ko:K06180	cjs:CJS3_0759
ko:K03106	cjs:CJS3_0760
ko:K02959	cjs:CJS3_0761
ko:K06960	cjs:CJS3_0762
ko:K02860	cjs:CJS3_0763
ko:K00554	cjs:CJS3_0764
ko:K02884	cjs:CJS3_0765
ko:K07127	cjs:CJS3_0766
ko:K01626	cjs:CJS3_0767
ko:K02337	cjs:CJS3_0769
ko:K06997	cjs:CJS3_0770
ko:K02406	cjs:CJS3_0771
ko:K02493	cjs:CJS3_0773
ko:K01711	cjs:CJS3_1519
ko:K02377	cjs:CJS3_1520
ko:K06041	cjs:CJS3_1525
ko:K10107	cjs:CJS3_1527
ko:K09689	cjs:CJS3_1528
ko:K09688	cjs:CJS3_1529
ko:K09979	cjs:CJS3_1530
ko:K04075	cjs:CJS3_1534
ko:K02836	cjs:CJS3_1536
ko:K06176	cjs:CJS3_1538
ko:K00946	cjs:CJS3_1539
ko:K02394	cjs:CJS3_1543
ko:K02396	cjs:CJS3_1547
ko:K07090	cjs:CJS3_1549
ko:K02455	cjs:CJS3_1550
ko:K01714	cjs:CJS3_1553
ko:K02453	cjs:CJS3_1554
ko:K03737	cjs:CJS3_1556
ko:K01091	cjs:CJS3_1557
ko:K02996	cjs:CJS3_1559
ko:K02871	cjs:CJS3_1560
ko:K03582	cjs:CJS3_1561
ko:K00406	cjs:CJS3_1567
ko:K00407	cjs:CJS3_1568
ko:K00405	cjs:CJS3_1569
ko:K00404	cjs:CJS3_1570
ko:K01079	cjs:CJS3_0271
ko:K03408	cjs:CJS3_0272
ko:K03407	cjs:CJS3_0273
ko:K03415	cjs:CJS3_0274
ko:K03269	cjs:CJS3_0275
ko:K03624	cjs:CJS3_0276
ko:K00748	cjs:CJS3_0277
ko:K03787	cjs:CJS3_0280
ko:K01579	cjs:CJS3_0282
ko:K01918	cjs:CJS3_0283
ko:K00606	cjs:CJS3_0284
ko:K02018	cjs:CJS3_0287
ko:K02020	cjs:CJS3_0289
ko:K02169	cjs:CJS3_0290
ko:K09789	cjs:CJS3_0291
ko:K00833	cjs:CJS3_0293
ko:K01935	cjs:CJS3_0294
ko:K02897	cjs:CJS3_0297
ko:K01056	cjs:CJS3_0298
ko:K11720	cjs:CJS3_0299
ko:K01586	cjs:CJS3_0300
ko:K14170	cjs:CJS3_0302
ko:K00817	cjs:CJS3_0303
ko:K02409	cjs:CJS3_0304
ko:K02410	cjs:CJS3_0305
ko:K02411	cjs:CJS3_0306
ko:K01662	cjs:CJS3_0307
ko:K03183	cjs:CJS3_0310
ko:K03601	cjs:CJS3_0311
ko:K00831	cjs:CJS3_0312
ko:K00648	cjs:CJS3_0314
ko:K03621	cjs:CJS3_0315
ko:K02911	cjs:CJS3_0316
ko:K00940	cjs:CJS3_0318
ko:K03149	cjs:CJS3_1094
ko:K03154	cjs:CJS3_1096
ko:K06895	cjs:CJS3_1098
ko:K12410	cjs:CJS3_1099
ko:K07456	cjs:CJS3_1101
ko:K01924	cjs:CJS3_1103
ko:K03602	cjs:CJS3_1105
ko:K01870	cjs:CJS3_1109
ko:K00995	cjs:CJS3_1114
ko:K11749	cjs:CJS3_1115
ko:K02990	cjs:CJS3_1117
ko:K02963	cjs:CJS3_1119
ko:K01338	cjs:CJS3_1120
ko:K05807	cjs:CJS3_1121
ko:K13626	cjs:CJS3_1122
ko:K00286	cjs:CJS3_1123
ko:K00788	cjs:CJS3_1128
ko:K00941	cjs:CJS3_1129
ko:K06923	cjs:CJS3_1131
ko:K03723	cjs:CJS3_1132
ko:K11754	cjs:CJS3_1135
ko:K01869	cjs:CJS3_1138
ko:K03074	cjs:CJS3_1139
ko:K03072	cjs:CJS3_1140
ko:K03210	cjs:CJS3_1141
ko:K03820	cjs:CJS3_1142
ko:K00789	cjs:CJS3_1143
ko:K07862	cjs:CJS3_1144
ko:K03831	cjs:CJS3_0776
ko:K03284	cjs:CJS3_0777
ko:K02053	cjs:CJS3_0782
ko:K03832	cjs:CJS3_0803
ko:K03705	cjs:CJS3_0805
ko:K03687	cjs:CJS3_0806
ko:K04043	cjs:CJS3_0807
ko:K00812	cjs:CJS3_0810
ko:K00640	cjs:CJS3_0811
ko:K01892	cjs:CJS3_0813
ko:K00943	cjs:CJS3_0814
ko:K00954	cjs:CJS3_0815
ko:K03186	cjs:CJS3_0816
ko:K02386	cjs:CJS3_0817
ko:K02073	cjs:CJS3_0820
ko:K02072	cjs:CJS3_0821
ko:K02071	cjs:CJS3_0822
ko:K01873	cjs:CJS3_0823
ko:K03657	cjs:CJS3_0825
ko:K11065	cjs:CJS3_0827
ko:K02567	cjs:CJS3_0828
ko:K09792	cjs:CJS3_1573
ko:K01956	cjs:CJS3_1574
ko:K09804	cjs:CJS3_1575
ko:K01939	cjs:CJS3_1578
ko:K07112	cjs:CJS3_1579
ko:K13821	cjs:CJS3_1582
ko:K01008	cjs:CJS3_1583
ko:K02379	cjs:CJS3_1587
ko:K00123	cjs:CJS3_1590
ko:K00123	cjs:CJS3_1591
ko:K13747	cjs:CJS3_1595
ko:K03636	cjs:CJS3_1597
ko:K03750	cjs:CJS3_1600
ko:K01933	cjs:CJS3_1607
ko:K00859	cjs:CJS3_1608
ko:K01778	cjs:CJS3_1609
ko:K07133	cjs:CJS3_1611
ko:K04047	cjs:CJS3_1612
ko:K01810	cjs:CJS3_1613
ko:K00963	cjs:CJS3_1614
ko:K01895	cjs:CJS3_1615
ko:K05773	cjs:CJS3_1617
ko:K05772	cjs:CJS3_1618
ko:K07160	cjs:CJS3_1619
ko:K03923	cjs:CJS3_1623
