ko:K19272	kpne:KU54_00025
ko:K13993	kpne:KU54_00115
ko:K03799	kpne:KU54_00135
ko:K05839	kpne:KU54_00175
ko:K01551	kpne:KU54_00210
ko:K03893	kpne:KU54_00215
ko:K00537	kpne:KU54_00220
ko:K03823	kpne:KU54_00225
ko:K03088	kpne:KU54_00240
ko:K11811	kpne:KU54_00245
ko:K03823	kpne:KU54_00255
ko:K07644	kpne:KU54_00295
ko:K07665	kpne:KU54_00300
ko:K07245	kpne:KU54_00305
ko:K07156	kpne:KU54_00310
ko:K07233	kpne:KU54_00315
ko:K17686	kpne:KU54_00340
ko:K07787	kpne:KU54_00350
ko:K07798	kpne:KU54_00355
ko:K07566	kpne:KU54_002225
ko:K00014	kpne:KU54_002230
ko:K18142	kpne:KU54_002275
ko:K18141	kpne:KU54_002280
ko:K18140	kpne:KU54_002285
ko:K03596	kpne:KU54_006560
ko:K03100	kpne:KU54_006565
ko:K03685	kpne:KU54_006575
ko:K03584	kpne:KU54_006585
ko:K03474	kpne:KU54_006590
ko:K00997	kpne:KU54_006595
ko:K18697	kpne:KU54_006610
ko:K11991	kpne:KU54_006615
ko:K18691	kpne:KU54_006620
ko:K01952	kpne:KU54_006630
ko:K07711	kpne:KU54_006635
ko:K07715	kpne:KU54_006645
ko:K04751	kpne:KU54_006650
ko:K05916	kpne:KU54_006655
ko:K00600	kpne:KU54_006660
ko:K15977	kpne:KU54_006665
ko:K05820	kpne:KU54_006690
ko:K01092	kpne:KU54_006715
ko:K15396	kpne:KU54_006720
ko:K13643	kpne:KU54_006725
ko:K04487	kpne:KU54_006730
ko:K04488	kpne:KU54_006735
ko:K13628	kpne:KU54_006740
ko:K04082	kpne:KU54_006745
ko:K04044	kpne:KU54_006750
ko:K04755	kpne:KU54_006755
ko:K07751	kpne:KU54_006765
ko:K01011	kpne:KU54_006780
ko:K06894	kpne:KU54_006785
ko:K05367	kpne:KU54_006790
ko:K00940	kpne:KU54_006795
ko:K06941	kpne:KU54_006800
ko:K15539	kpne:KU54_006805
ko:K03526	kpne:KU54_006810
ko:K01892	kpne:KU54_006815
ko:K17713	kpne:KU54_006825
ko:K03977	kpne:KU54_006830
ko:K02012	kpne:KU54_010995
ko:K02011	kpne:KU54_011000
ko:K02010	kpne:KU54_011005
ko:K06152	kpne:KU54_011015
ko:K06151	kpne:KU54_011020
ko:K02193	kpne:KU54_011030
ko:K02194	kpne:KU54_011035
ko:K02195	kpne:KU54_011040
ko:K02196	kpne:KU54_011045
ko:K02197	kpne:KU54_011050
ko:K02198	kpne:KU54_011055
ko:K02199	kpne:KU54_011060
ko:K02200	kpne:KU54_011065
ko:K03832	kpne:KU54_011085
ko:K18143	kpne:KU54_011100
ko:K18144	kpne:KU54_011105
ko:K18146	kpne:KU54_011120
ko:K03366	kpne:KU54_011135
ko:K01652	kpne:KU54_011140
ko:K01575	kpne:KU54_011145
ko:K00019	kpne:KU54_011155
ko:K00074	kpne:KU54_011165
ko:K00626	kpne:KU54_011170
ko:K01029	kpne:KU54_011175
ko:K01028	kpne:KU54_011180
ko:K17737	kpne:KU54_011185
ko:K02050	kpne:KU54_011215
ko:K02049	kpne:KU54_011220
ko:K02051	kpne:KU54_011225
ko:K01470	kpne:KU54_011230
ko:K01485	kpne:KU54_011240
ko:K02051	kpne:KU54_011260
ko:K16090	kpne:KU54_015445
ko:K07275	kpne:KU54_015455
ko:K06940	kpne:KU54_015460
ko:K06190	kpne:KU54_015470
ko:K10806	kpne:KU54_015480
ko:K00065	kpne:KU54_015495
ko:K07038	kpne:KU54_015500
ko:K06956	kpne:KU54_015505
ko:K15722	kpne:KU54_015510
ko:K03781	kpne:KU54_015515
ko:K03478	kpne:KU54_015520
ko:K01222	kpne:KU54_015525
ko:K03490	kpne:KU54_015530
ko:K02759	kpne:KU54_015535
ko:K02761	kpne:KU54_015540
ko:K02760	kpne:KU54_015550
ko:K04064	kpne:KU54_015555
ko:K01916	kpne:KU54_015560
ko:K05984	kpne:KU54_015565
ko:K05526	kpne:KU54_015580
ko:K01484	kpne:KU54_015585
ko:K06447	kpne:KU54_015590
ko:K00673	kpne:KU54_015595
ko:K00840	kpne:KU54_015600
ko:K01142	kpne:KU54_015605
ko:K05777	kpne:KU54_015625
ko:K05778	kpne:KU54_015630
ko:K05779	kpne:KU54_015635
ko:K08320	kpne:KU54_015650
ko:K00262	kpne:KU54_015660
ko:K03169	kpne:KU54_015670
ko:K01008	kpne:KU54_015675
ko:K09474	kpne:KU54_015680
ko:K07483	kpne:KU54_015690
ko:K04773	kpne:KU54_015700
ko:K17215	kpne:KU54_019845
ko:K17213	kpne:KU54_019850
ko:K02529	kpne:KU54_019855
ko:K00010	kpne:KU54_019860
ko:K03335	kpne:KU54_019875
ko:K04567	kpne:KU54_019885
ko:K03305	kpne:KU54_019890
ko:K03757	kpne:KU54_019900
ko:K03765	kpne:KU54_019905
ko:K02517	kpne:KU54_019915
ko:K07345	kpne:KU54_019940
ko:K01647	kpne:KU54_019955
ko:K07127	kpne:KU54_019970
ko:K03503	kpne:KU54_019980
ko:K02313	kpne:KU54_000005
ko:K02338	kpne:KU54_000010
ko:K03629	kpne:KU54_000015
ko:K02470	kpne:KU54_000020
ko:K00883	kpne:KU54_000045
ko:K01631	kpne:KU54_000050
ko:K01684	kpne:KU54_000055
ko:K08194	kpne:KU54_000060
ko:K04080	kpne:KU54_000075
ko:K04081	kpne:KU54_000080
ko:K07085	kpne:KU54_000090
ko:K03482	kpne:KU54_000095
ko:K02749	kpne:KU54_000100
ko:K02750	kpne:KU54_000100
ko:K01232	kpne:KU54_000105
ko:K00389	kpne:KU54_000110
ko:K06871	kpne:KU54_000120
ko:K01753	kpne:KU54_000125
ko:K13629	kpne:KU54_000130
ko:K01807	kpne:KU54_004350
ko:K00058	kpne:KU54_004360
ko:K01934	kpne:KU54_004365
ko:K09888	kpne:KU54_004370
ko:K09895	kpne:KU54_004375
ko:K01262	kpne:KU54_004380
ko:K03185	kpne:KU54_004385
ko:K18800	kpne:KU54_004390
ko:K00605	kpne:KU54_004395
ko:K02437	kpne:KU54_004400
ko:K00281	kpne:KU54_004405
ko:K08344	kpne:KU54_004425
ko:K01223	kpne:KU54_004435
ko:K09900	kpne:KU54_004445
ko:K11068	kpne:KU54_004450
ko:K06980	kpne:KU54_004455
ko:K09159	kpne:KU54_004460
ko:K19168	kpne:KU54_004465
ko:K03840	kpne:KU54_004470
ko:K04763	kpne:KU54_004475
ko:K03981	kpne:KU54_004480
ko:K07462	kpne:KU54_004485
ko:K02836	kpne:KU54_004490
ko:K04567	kpne:KU54_004495
ko:K01823	kpne:KU54_004500
ko:K12943	kpne:KU54_004510
ko:K08169	kpne:KU54_004520
ko:K01607	kpne:KU54_004530
ko:K09702	kpne:KU54_004555
ko:K03893	kpne:KU54_004570
ko:K00537	kpne:KU54_004575
ko:K03305	kpne:KU54_004580
ko:K15550	kpne:KU54_004590
ko:K15547	kpne:KU54_004595
ko:K15549	kpne:KU54_004600
ko:K06975	kpne:KU54_004615
ko:K07350	kpne:KU54_004625
ko:K07349	kpne:KU54_004630
ko:K02355	kpne:KU54_008760
ko:K07483	kpne:KU54_008770
ko:K01141	kpne:KU54_008775
ko:K07258	kpne:KU54_008780
ko:K07470	kpne:KU54_008790
ko:K09802	kpne:KU54_008800
ko:K02233	kpne:KU54_008805
ko:K00768	kpne:KU54_008810
ko:K01251	kpne:KU54_008815
ko:K07168	kpne:KU54_008820
ko:K03566	kpne:KU54_008870
ko:K07733	kpne:KU54_008900
ko:K03746	kpne:KU54_008925
ko:K07481	kpne:KU54_008935
ko:K01156	kpne:KU54_009010
ko:K07316	kpne:KU54_009015
ko:K15773	kpne:KU54_013225
ko:K07127	kpne:KU54_013230
ko:K16840	kpne:KU54_013235
ko:K16345	kpne:KU54_013240
ko:K16839	kpne:KU54_013245
ko:K02073	kpne:KU54_013295
ko:K02072	kpne:KU54_013305
ko:K00459	kpne:KU54_013310
ko:K00598	kpne:KU54_013340
ko:K01607	kpne:KU54_013345
ko:K11903	kpne:KU54_013355
ko:K00041	kpne:KU54_013375
ko:K01425	kpne:KU54_013395
ko:K08324	kpne:KU54_013400
ko:K03829	kpne:KU54_013410
ko:K00016	kpne:KU54_013415
ko:K01714	kpne:KU54_013440
ko:K03307	kpne:KU54_013445
ko:K08159	kpne:KU54_013470
ko:K05595	kpne:KU54_013475
ko:K03712	kpne:KU54_013485
ko:K13632	kpne:KU54_013490
ko:K13630	kpne:KU54_013495
ko:K15268	kpne:KU54_013500
ko:K08160	kpne:KU54_017865
ko:K11534	kpne:KU54_017875
ko:K07258	kpne:KU54_017880
ko:K03695	kpne:KU54_006450
ko:K03761	kpne:KU54_006480
ko:K05811	kpne:KU54_006485
ko:K05812	kpne:KU54_006500
ko:K03672	kpne:KU54_006505
ko:K03214	kpne:KU54_006510
ko:K03648	kpne:KU54_006515
ko:K05590	kpne:KU54_006525
ko:K15460	kpne:KU54_006530
ko:K00278	kpne:KU54_006535
ko:K03088	kpne:KU54_006540
ko:K03597	kpne:KU54_006545
ko:K03598	kpne:KU54_006550
ko:K03803	kpne:KU54_006555
ko:K09014	kpne:KU54_010715
ko:K09013	kpne:KU54_010720
ko:K09015	kpne:KU54_010725
ko:K11717	kpne:KU54_010730
ko:K02426	kpne:KU54_010735
ko:K19234	kpne:KU54_010740
ko:K06078	kpne:KU54_010745
ko:K00873	kpne:KU54_010750
ko:K00457	kpne:KU54_010775
ko:K08194	kpne:KU54_010780
ko:K00014	kpne:KU54_010785
ko:K02020	kpne:KU54_010790
ko:K02013	kpne:KU54_010795
ko:K02015	kpne:KU54_010800
ko:K02016	kpne:KU54_010805
ko:K05818	kpne:KU54_010810
ko:K05712	kpne:KU54_010815
ko:K05713	kpne:KU54_010820
ko:K02554	kpne:KU54_010830
ko:K04073	kpne:KU54_010835
ko:K01666	kpne:KU54_010840
ko:K05819	kpne:KU54_010845
ko:K05810	kpne:KU54_010850
ko:K04091	kpne:KU54_010870
ko:K15553	kpne:KU54_010880
ko:K02051	kpne:KU54_010885
ko:K02050	kpne:KU54_010890
ko:K02049	kpne:KU54_010895
ko:K02014	kpne:KU54_010900
ko:K02013	kpne:KU54_010905
ko:K02015	kpne:KU54_010910
ko:K02015	kpne:KU54_010915
ko:K02016	kpne:KU54_010920
ko:K02030	kpne:KU54_010935
ko:K02029	kpne:KU54_010940
ko:K02028	kpne:KU54_010945
ko:K13574	kpne:KU54_010985
ko:K03974	kpne:KU54_015165
ko:K08170	kpne:KU54_015170
ko:K19226	kpne:KU54_015195
ko:K19227	kpne:KU54_015200
ko:K19228	kpne:KU54_015205
ko:K19229	kpne:KU54_015210
ko:K19230	kpne:KU54_015215
ko:K03457	kpne:KU54_015220
ko:K09975	kpne:KU54_015225
ko:K00208	kpne:KU54_015230
ko:K01147	kpne:KU54_015245
ko:K04062	kpne:KU54_015265
ko:K03113	kpne:KU54_015270
ko:K01591	kpne:KU54_015275
ko:K01497	kpne:KU54_015295
ko:K01681	kpne:KU54_015300
ko:K13634	kpne:KU54_015315
ko:K03168	kpne:KU54_015320
ko:K04774	kpne:KU54_015335
ko:K19221	kpne:KU54_015350
ko:K06178	kpne:KU54_015355
ko:K03566	kpne:KU54_015360
ko:K07053	kpne:KU54_015375
ko:K01657	kpne:KU54_015380
ko:K13497	kpne:KU54_015385
ko:K13498	kpne:KU54_015390
ko:K01696	kpne:KU54_015395
ko:K01695	kpne:KU54_015400
ko:K07246	kpne:KU54_015410
ko:K13021	kpne:KU54_015415
ko:K16053	kpne:KU54_019575
ko:K11732	kpne:KU54_019655
ko:K02014	kpne:KU54_019660
ko:K09471	kpne:KU54_019675
ko:K06995	kpne:KU54_019680
ko:K06871	kpne:KU54_019710
ko:K01130	kpne:KU54_019715
ko:K10013	kpne:KU54_019735
ko:K02016	kpne:KU54_019770
ko:K02015	kpne:KU54_019775
ko:K02013	kpne:KU54_019780
ko:K00847	kpne:KU54_019805
ko:K16077	kpne:KU54_019810
ko:K02809	kpne:KU54_019815
ko:K02810	kpne:KU54_019815
ko:K01193	kpne:KU54_019820
ko:K03484	kpne:KU54_019825
ko:K03557	kpne:KU54_002400
ko:K05540	kpne:KU54_002405
ko:K00627	kpne:KU54_021490
ko:K00382	kpne:KU54_021495
ko:K02443	kpne:KU54_021510
ko:K00880	kpne:KU54_021515
ko:K00059	kpne:KU54_021520
ko:K00058	kpne:KU54_021525
ko:K02775	kpne:KU54_021530
ko:K09982	kpne:KU54_021545
ko:K15737	kpne:KU54_021550
ko:K15736	kpne:KU54_021555
ko:K00135	kpne:KU54_021560
ko:K07250	kpne:KU54_021565
ko:K11735	kpne:KU54_021570
ko:K15735	kpne:KU54_021575
ko:K11926	kpne:KU54_021580
ko:K11750	kpne:KU54_021585
ko:K00769	kpne:KU54_021590
ko:K01270	kpne:KU54_021595
ko:K03830	kpne:KU54_021600
ko:K02346	kpne:KU54_021605
ko:K05952	kpne:KU54_021615
ko:K00351	kpne:KU54_021620
ko:K00350	kpne:KU54_021625
ko:K00349	kpne:KU54_021630
ko:K00348	kpne:KU54_021635
ko:K00347	kpne:KU54_021640
ko:K00346	kpne:KU54_021645
ko:K03271	kpne:KU54_021665
ko:K06445	kpne:KU54_021670
ko:K11249	kpne:KU54_021680
ko:K02342	kpne:KU54_021695
ko:K03469	kpne:KU54_021700
ko:K01069	kpne:KU54_021710
ko:K08307	kpne:KU54_021715
ko:K06222	kpne:KU54_021740
ko:K01776	kpne:KU54_025700
ko:K01776	kpne:KU54_025705
ko:K16092	kpne:KU54_025710
ko:K16092	kpne:KU54_025720
ko:K16092	kpne:KU54_025725
ko:K09897	kpne:KU54_025770
ko:K07391	kpne:KU54_025775
ko:K01652	kpne:KU54_025785
ko:K11258	kpne:KU54_025790
ko:K00826	kpne:KU54_025795
ko:K01687	kpne:KU54_025800
ko:K01754	kpne:KU54_025805
ko:K02521	kpne:KU54_025810
ko:K00053	kpne:KU54_025815
ko:K03769	kpne:KU54_025820
ko:K03769	kpne:KU54_025825
ko:K03656	kpne:KU54_025830
ko:K07150	kpne:KU54_025835
ko:K07481	kpne:KU54_025840
ko:K01524	kpne:KU54_025850
ko:K03732	kpne:KU54_025855
ko:K03671	kpne:KU54_025860
ko:K03628	kpne:KU54_025865
ko:K02851	kpne:KU54_025870
ko:K05790	kpne:KU54_025875
ko:K01791	kpne:KU54_025880
ko:K02472	kpne:KU54_025885
ko:K01710	kpne:KU54_025890
ko:K00973	kpne:KU54_025895
ko:K16704	kpne:KU54_025900
ko:K02805	kpne:KU54_025905
ko:K16693	kpne:KU54_025910
ko:K12582	kpne:KU54_025915
ko:K02853	kpne:KU54_025920
ko:K02852	kpne:KU54_025925
ko:K02498	kpne:KU54_025960
ko:K02496	kpne:KU54_025965
ko:K01719	kpne:KU54_025970
ko:K01749	kpne:KU54_025975
ko:K08723	kpne:KU54_023070
ko:K03789	kpne:KU54_023075
ko:K02344	kpne:KU54_023080
ko:K00564	kpne:KU54_023085
ko:K13255	kpne:KU54_023120
ko:K02761	kpne:KU54_023125
ko:K18954	kpne:KU54_023145
ko:K00481	kpne:KU54_023150
ko:K02317	kpne:KU54_023170
ko:K01002	kpne:KU54_023185
ko:K00041	kpne:KU54_023230
ko:K01631	kpne:KU54_023265
ko:K00883	kpne:KU54_023270
ko:K03307	kpne:KU54_023275
ko:K05921	kpne:KU54_023325
ko:K05921	kpne:KU54_023330
ko:K00151	kpne:KU54_023335
ko:K07810	kpne:KU54_00360
ko:K07796	kpne:KU54_00365
ko:K07665	kpne:KU54_00370
ko:K07644	kpne:KU54_00375
ko:K07480	kpne:KU54_00390
ko:K07483	kpne:KU54_00395
ko:K07480	kpne:KU54_00410
ko:K03496	kpne:KU54_00440
ko:K03497	kpne:KU54_00445
ko:K03502	kpne:KU54_00465
ko:K03503	kpne:KU54_00470
ko:K02345	kpne:KU54_00490
ko:K03111	kpne:KU54_00535
ko:K18921	kpne:KU54_00575
ko:K18831	kpne:KU54_00615
ko:K02687	kpne:KU54_002410
ko:K14392	kpne:KU54_002415
ko:K01961	kpne:KU54_002425
ko:K02160	kpne:KU54_002430
ko:K03786	kpne:KU54_002435
ko:K17247	kpne:KU54_002440
ko:K18765	kpne:KU54_002455
ko:K03569	kpne:KU54_002460
ko:K03570	kpne:KU54_002465
ko:K03571	kpne:KU54_002470
ko:K06287	kpne:KU54_002475
ko:K08301	kpne:KU54_002480
ko:K03568	kpne:KU54_002490
ko:K15548	kpne:KU54_002505
ko:K03468	kpne:KU54_002510
ko:K03623	kpne:KU54_002515
ko:K03402	kpne:KU54_002530
ko:K00024	kpne:KU54_002535
ko:K04691	kpne:KU54_002540
ko:K09908	kpne:KU54_002550
ko:K06916	kpne:KU54_002555
ko:K02871	kpne:KU54_002560
ko:K02996	kpne:KU54_002565
ko:K03599	kpne:KU54_002570
ko:K03600	kpne:KU54_002575
ko:K01788	kpne:KU54_002580
ko:K00266	kpne:KU54_002585
ko:K00265	kpne:KU54_002590
ko:K07139	kpne:KU54_002595
ko:K08322	kpne:KU54_002605
ko:K01686	kpne:KU54_002615
ko:K07648	kpne:KU54_002620
ko:K03814	kpne:KU54_002630
ko:K08485	kpne:KU54_002635
ko:K06958	kpne:KU54_002640
ko:K02806	kpne:KU54_002645
ko:K05808	kpne:KU54_002650
ko:K03092	kpne:KU54_002655
ko:K03601	kpne:KU54_006845
ko:K00088	kpne:KU54_006850
ko:K01951	kpne:KU54_006855
ko:K06871	kpne:KU54_006865
ko:K01524	kpne:KU54_006890
ko:K00937	kpne:KU54_006895
ko:K11175	kpne:KU54_006900
ko:K01933	kpne:KU54_006905
ko:K18673	kpne:KU54_006910
ko:K01223	kpne:KU54_006915
ko:K00761	kpne:KU54_006920
ko:K02824	kpne:KU54_006925
ko:K10763	kpne:KU54_006930
ko:K00537	kpne:KU54_006940
ko:K03548	kpne:KU54_006955
ko:K03564	kpne:KU54_006960
ko:K03567	kpne:KU54_006965
ko:K01714	kpne:KU54_006970
ko:K07287	kpne:KU54_006975
ko:K01923	kpne:KU54_006980
ko:K07054	kpne:KU54_006985
ko:K06999	kpne:KU54_006995
ko:K01439	kpne:KU54_007005
ko:K18324	kpne:KU54_007015
ko:K12945	kpne:KU54_007025
ko:K00615	kpne:KU54_007035
ko:K00616	kpne:KU54_007040
ko:K00029	kpne:KU54_007045
ko:K04031	kpne:KU54_007050
ko:K04029	kpne:KU54_007055
ko:K04030	kpne:KU54_007060
ko:K04032	kpne:KU54_007065
ko:K04020	kpne:KU54_007070
ko:K04027	kpne:KU54_007075
ko:K04028	kpne:KU54_007080
ko:K04021	kpne:KU54_007085
ko:K04024	kpne:KU54_007090
ko:K04022	kpne:KU54_007095
ko:K04023	kpne:KU54_007100
ko:K04019	kpne:KU54_007105
ko:K03735	kpne:KU54_007110
ko:K03736	kpne:KU54_007115
ko:K02034	kpne:KU54_011310
ko:K02033	kpne:KU54_011315
ko:K02035	kpne:KU54_011320
ko:K01759	kpne:KU54_011330
ko:K01673	kpne:KU54_011345
ko:K06966	kpne:KU54_011415
ko:K03327	kpne:KU54_011425
ko:K00793	kpne:KU54_011430
ko:K00574	kpne:KU54_011435
ko:K03604	kpne:KU54_011450
ko:K04564	kpne:KU54_011465
ko:K13631	kpne:KU54_011470
ko:K07390	kpne:KU54_011480
ko:K03683	kpne:KU54_011485
ko:K01759	kpne:KU54_011490
ko:K10680	kpne:KU54_011495
ko:K16137	kpne:KU54_011500
ko:K06938	kpne:KU54_011505
ko:K04565	kpne:KU54_011515
ko:K06075	kpne:KU54_011535
ko:K06077	kpne:KU54_011545
ko:K09001	kpne:KU54_011550
ko:K01424	kpne:KU54_015705
ko:K08281	kpne:KU54_015710
ko:K08369	kpne:KU54_015715
ko:K18471	kpne:KU54_015725
ko:K08369	kpne:KU54_015745
ko:K01183	kpne:KU54_015755
ko:K09916	kpne:KU54_015765
ko:K07305	kpne:KU54_015770
ko:K00134	kpne:KU54_015775
ko:K01792	kpne:KU54_015780
ko:K07180	kpne:KU54_015795
ko:K09786	kpne:KU54_015800
ko:K00432	kpne:KU54_015810
ko:K03502	kpne:KU54_015845
ko:K03503	kpne:KU54_015850
ko:K19055	kpne:KU54_015870
ko:K03449	kpne:KU54_015885
ko:K09712	kpne:KU54_015905
ko:K13069	kpne:KU54_015910
ko:K11250	kpne:KU54_015930
ko:K12974	kpne:KU54_015935
ko:K01424	kpne:KU54_015950
ko:K13636	kpne:KU54_000140
ko:K08154	kpne:KU54_000145
ko:K19148	kpne:KU54_000160
ko:K01652	kpne:KU54_000165
ko:K01653	kpne:KU54_000170
ko:K07675	kpne:KU54_000180
ko:K07783	kpne:KU54_000185
ko:K07784	kpne:KU54_000190
ko:K07726	kpne:KU54_000200
ko:K05306	kpne:KU54_000215
ko:K03430	kpne:KU54_000220
ko:K11081	kpne:KU54_000230
ko:K11084	kpne:KU54_000235
ko:K11083	kpne:KU54_000240
ko:K02024	kpne:KU54_000250
ko:K02759	kpne:KU54_000255
ko:K02761	kpne:KU54_000260
ko:K02760	kpne:KU54_000265
ko:K04099	kpne:KU54_000280
ko:K16516	kpne:KU54_000285
ko:K16515	kpne:KU54_000290
ko:K10218	kpne:KU54_000295
ko:K16514	kpne:KU54_000300
ko:K11191	kpne:KU54_000320
ko:K11192	kpne:KU54_000320
ko:K07106	kpne:KU54_000325
ko:K07552	kpne:KU54_000330
ko:K18139	kpne:KU54_000335
ko:K18138	kpne:KU54_000340
ko:K03585	kpne:KU54_000345
ko:K07006	kpne:KU54_000390
ko:K09958	kpne:KU54_000395
ko:K18991	kpne:KU54_000405
ko:K02073	kpne:KU54_000410
ko:K07348	kpne:KU54_004635
ko:K07347	kpne:KU54_004640
ko:K07346	kpne:KU54_004645
ko:K07351	kpne:KU54_004650
ko:K07345	kpne:KU54_004655
ko:K07358	kpne:KU54_004665
ko:K07357	kpne:KU54_004670
ko:K15269	kpne:KU54_004690
ko:K07345	kpne:KU54_004700
ko:K07347	kpne:KU54_004710
ko:K00626	kpne:KU54_004765
ko:K01730	kpne:KU54_004775
ko:K00065	kpne:KU54_004785
ko:K02100	kpne:KU54_004790
ko:K02532	kpne:KU54_004805
ko:K01193	kpne:KU54_004810
ko:K10195	kpne:KU54_004825
ko:K10194	kpne:KU54_004830
ko:K10193	kpne:KU54_004835
ko:K01586	kpne:KU54_004855
ko:K02761	kpne:KU54_004865
ko:K05350	kpne:KU54_004870
ko:K13637	kpne:KU54_004875
ko:K02529	kpne:KU54_004885
ko:K05939	kpne:KU54_004895
ko:K08227	kpne:KU54_004900
ko:K01241	kpne:KU54_009050
ko:K19238	kpne:KU54_009055
ko:K16137	kpne:KU54_009075
ko:K03316	kpne:KU54_009080
ko:K13635	kpne:KU54_009095
ko:K16291	kpne:KU54_009100
ko:K09933	kpne:KU54_009125
ko:K06950	kpne:KU54_009145
ko:K07458	kpne:KU54_009155
