ko:K03741	fpq:IB65_07935
ko:K01934	fpq:IB65_01000
ko:K06987	fpq:IB65_01005
ko:K03703	fpq:IB65_01010
ko:K07001	fpq:IB65_01015
ko:K03294	fpq:IB65_01020
ko:K03521	fpq:IB65_01550
ko:K00162	fpq:IB65_01555
ko:K01507	fpq:IB65_01565
ko:K02337	fpq:IB65_01575
ko:K02959	fpq:IB65_01590
ko:K02860	fpq:IB65_01595
ko:K15460	fpq:IB65_01600
ko:K00252	fpq:IB65_01605
ko:K00942	fpq:IB65_01610
ko:K08999	fpq:IB65_01540
ko:K03522	fpq:IB65_01545
ko:K01760	fpq:IB65_01640
ko:K07658	fpq:IB65_01660
ko:K07636	fpq:IB65_01665
ko:K02040	fpq:IB65_01675
ko:K02037	fpq:IB65_01680
ko:K02038	fpq:IB65_01685
ko:K02036	fpq:IB65_01690
ko:K02039	fpq:IB65_01695
ko:K03439	fpq:IB65_01710
ko:K07443	fpq:IB65_01720
ko:K00184	fpq:IB65_01735
ko:K00185	fpq:IB65_01740
ko:K02275	fpq:IB65_01760
ko:K02274	fpq:IB65_01765
ko:K14236	fpq:IB65_04250
ko:K14237	fpq:IB65_02620
ko:K14237	fpq:IB65_04975
ko:K14219	fpq:IB65_03800
ko:K14232	fpq:IB65_03795
ko:K14232	fpq:IB65_05180
ko:K14233	fpq:IB65_03790
ko:K01977	fpq:IB65_02255
ko:K21029	fpq:IB65_02055
ko:K08151	fpq:IB65_10780
ko:K03111	fpq:IB65_00345
ko:K03646	fpq:IB65_01390
ko:K01156	fpq:IB65_10920
ko:K01945	fpq:IB65_12500
ko:K01912	fpq:IB65_12505
ko:K03606	fpq:IB65_12515
ko:K00067	fpq:IB65_12525
ko:K01790	fpq:IB65_12530
ko:K03116	fpq:IB65_12560
ko:K06959	fpq:IB65_12565
ko:K16264	fpq:IB65_12575
ko:K01808	fpq:IB65_12585
ko:K12573	fpq:IB65_12590
ko:K01633	fpq:IB65_12610
ko:K01886	fpq:IB65_12615
ko:K01885	fpq:IB65_12640
ko:K03495	fpq:IB65_12655
ko:K06142	fpq:IB65_12665
ko:K02341	fpq:IB65_12700
ko:K03665	fpq:IB65_12200
ko:K02004	fpq:IB65_12205
ko:K00602	fpq:IB65_12210
ko:K03569	fpq:IB65_12215
ko:K03570	fpq:IB65_12220
ko:K05515	fpq:IB65_12230
ko:K05837	fpq:IB65_12235
ko:K01173	fpq:IB65_12240
ko:K01880	fpq:IB65_12275
ko:K03770	fpq:IB65_12280
ko:K03525	fpq:IB65_12300
ko:K04096	fpq:IB65_12315
ko:K00973	fpq:IB65_12375
ko:K02014	fpq:IB65_12410
ko:K02115	fpq:IB65_12415
ko:K02111	fpq:IB65_12420
ko:K02113	fpq:IB65_12425
ko:K02109	fpq:IB65_12430
ko:K02110	fpq:IB65_12435
ko:K02108	fpq:IB65_12440
ko:K02613	fpq:IB65_12470
ko:K00761	fpq:IB65_12485
ko:K02666	fpq:IB65_11605
ko:K02652	fpq:IB65_11610
ko:K02655	fpq:IB65_11620
ko:K06142	fpq:IB65_11625
ko:K02653	fpq:IB65_11700
ko:K00128	fpq:IB65_11745
ko:K00946	fpq:IB65_11750
ko:K00833	fpq:IB65_11760
ko:K01935	fpq:IB65_11765
ko:K00748	fpq:IB65_11770
ko:K03787	fpq:IB65_11780
ko:K03797	fpq:IB65_11785
ko:K02238	fpq:IB65_11790
ko:K03305	fpq:IB65_11805
ko:K03305	fpq:IB65_11810
ko:K01278	fpq:IB65_11815
ko:K00054	fpq:IB65_11825
ko:K03797	fpq:IB65_11850
ko:K01759	fpq:IB65_11855
ko:K03814	fpq:IB65_11860
ko:K00684	fpq:IB65_11885
ko:K01246	fpq:IB65_11895
ko:K03177	fpq:IB65_11910
ko:K06153	fpq:IB65_11915
ko:K09811	fpq:IB65_11925
ko:K01869	fpq:IB65_11945
ko:K06973	fpq:IB65_11950
ko:K03624	fpq:IB65_11960
ko:K02503	fpq:IB65_11965
ko:K01372	fpq:IB65_11975
ko:K02014	fpq:IB65_11980
ko:K03269	fpq:IB65_11985
ko:K03718	fpq:IB65_11990
ko:K01610	fpq:IB65_12005
ko:K03536	fpq:IB65_12010
ko:K01961	fpq:IB65_12015
ko:K02160	fpq:IB65_12020
ko:K00648	fpq:IB65_12025
ko:K02911	fpq:IB65_12030
ko:K00097	fpq:IB65_12040
ko:K00793	fpq:IB65_12045
ko:K02426	fpq:IB65_12065
ko:K11717	fpq:IB65_12075
ko:K09015	fpq:IB65_12085
ko:K09013	fpq:IB65_12090
ko:K09014	fpq:IB65_12095
ko:K13628	fpq:IB65_12100
ko:K04755	fpq:IB65_12125
ko:K13789	fpq:IB65_12155
ko:K00164	fpq:IB65_12170
ko:K00658	fpq:IB65_12175
ko:K02371	fpq:IB65_08770
ko:K03695	fpq:IB65_08785
ko:K00949	fpq:IB65_08795
ko:K06970	fpq:IB65_08800
ko:K00014	fpq:IB65_08805
ko:K03281	fpq:IB65_08825
ko:K03313	fpq:IB65_08830
ko:K00566	fpq:IB65_08835
ko:K03284	fpq:IB65_08855
ko:K01468	fpq:IB65_08860
ko:K02217	fpq:IB65_08870
ko:K01809	fpq:IB65_08905
ko:K03564	fpq:IB65_08910
ko:K01737	fpq:IB65_08915
ko:K01823	fpq:IB65_08920
ko:K02945	fpq:IB65_08925
ko:K00609	fpq:IB65_08935
ko:K02825	fpq:IB65_08940
ko:K06199	fpq:IB65_08950
ko:K00639	fpq:IB65_08975
ko:K01756	fpq:IB65_08980
ko:K12410	fpq:IB65_08985
ko:K00556	fpq:IB65_08990
ko:K03671	fpq:IB65_09015
ko:K07090	fpq:IB65_09035
ko:K05592	fpq:IB65_09045
ko:K02428	fpq:IB65_09050
ko:K09808	fpq:IB65_11065
ko:K06940	fpq:IB65_11075
ko:K02040	fpq:IB65_11115
ko:K03832	fpq:IB65_11120
ko:K03561	fpq:IB65_11135
ko:K06915	fpq:IB65_11140
ko:K00486	fpq:IB65_11145
ko:K01434	fpq:IB65_11150
ko:K01480	fpq:IB65_11155
ko:K01556	fpq:IB65_11160
ko:K02899	fpq:IB65_11175
ko:K02888	fpq:IB65_11180
ko:K00343	fpq:IB65_11190
ko:K00342	fpq:IB65_11195
ko:K00341	fpq:IB65_11200
ko:K00340	fpq:IB65_11205
ko:K00339	fpq:IB65_11210
ko:K00338	fpq:IB65_11215
ko:K00337	fpq:IB65_11220
ko:K00334	fpq:IB65_11240
ko:K00333	fpq:IB65_11245
ko:K00332	fpq:IB65_11250
ko:K00331	fpq:IB65_11255
ko:K00330	fpq:IB65_11260
ko:K06894	fpq:IB65_11270
ko:K05367	fpq:IB65_11275
ko:K00452	fpq:IB65_11280
ko:K11942	fpq:IB65_09710
ko:K01872	fpq:IB65_09715
ko:K03744	fpq:IB65_09730
ko:K06872	fpq:IB65_09740
ko:K06147	fpq:IB65_09765
ko:K00500	fpq:IB65_09790
ko:K01712	fpq:IB65_09805
ko:K03977	fpq:IB65_09830
ko:K06158	fpq:IB65_09860
ko:K03168	fpq:IB65_09920
ko:K06168	fpq:IB65_09940
ko:K03075	fpq:IB65_09960
ko:K04078	fpq:IB65_09965
ko:K04077	fpq:IB65_09975
ko:K02914	fpq:IB65_09985
ko:K01955	fpq:IB65_09990
ko:K08715	fpq:IB65_09995
ko:K09760	fpq:IB65_10010
ko:K06181	fpq:IB65_10015
ko:K03590	fpq:IB65_10340
ko:K03589	fpq:IB65_10345
ko:K01924	fpq:IB65_10350
ko:K02563	fpq:IB65_10355
ko:K03588	fpq:IB65_10360
ko:K01925	fpq:IB65_10365
ko:K01000	fpq:IB65_10370
ko:K01928	fpq:IB65_10375
ko:K03587	fpq:IB65_10380
ko:K03438	fpq:IB65_10390
ko:K03925	fpq:IB65_10395
ko:K03978	fpq:IB65_10405
ko:K01916	fpq:IB65_10420
ko:K03088	fpq:IB65_10455
ko:K02523	fpq:IB65_10460
ko:K06941	fpq:IB65_10470
ko:K03116	fpq:IB65_10485
ko:K03544	fpq:IB65_10490
ko:K01358	fpq:IB65_10495
ko:K03545	fpq:IB65_10500
ko:K08972	fpq:IB65_10505
ko:K01990	fpq:IB65_10520
ko:K03474	fpq:IB65_10525
ko:K00858	fpq:IB65_10535
ko:K00806	fpq:IB65_10545
ko:K07277	fpq:IB65_10550
ko:K06142	fpq:IB65_10560
ko:K01776	fpq:IB65_10565
ko:K06888	fpq:IB65_10590
ko:K02276	fpq:IB65_10610
ko:K02276	fpq:IB65_10615
ko:K00088	fpq:IB65_09055
ko:K01640	fpq:IB65_09075
ko:K00254	fpq:IB65_09080
ko:K07636	fpq:IB65_09120
ko:K00859	fpq:IB65_09125
ko:K01081	fpq:IB65_09155
ko:K01714	fpq:IB65_09170
ko:K05807	fpq:IB65_09175
ko:K13038	fpq:IB65_09185
ko:K03631	fpq:IB65_09195
ko:K00209	fpq:IB65_09200
ko:K01972	fpq:IB65_09220
ko:K02939	fpq:IB65_09230
ko:K02963	fpq:IB65_09235
ko:K02990	fpq:IB65_09240
ko:K04066	fpq:IB65_09250
ko:K07058	fpq:IB65_09260
ko:K00767	fpq:IB65_09265
ko:K05916	fpq:IB65_09270
ko:K13771	fpq:IB65_09275
ko:K00783	fpq:IB65_09285
ko:K00951	fpq:IB65_09315
ko:K03437	fpq:IB65_09320
ko:K00031	fpq:IB65_09350
ko:K02884	fpq:IB65_09360
ko:K00554	fpq:IB65_09365
ko:K03596	fpq:IB65_11315
ko:K03565	fpq:IB65_11320
ko:K00655	fpq:IB65_11335
ko:K01867	fpq:IB65_11340
ko:K01737	fpq:IB65_11345
ko:K03092	fpq:IB65_11350
ko:K01893	fpq:IB65_11355
ko:K07003	fpq:IB65_11360
ko:K01912	fpq:IB65_11370
ko:K02372	fpq:IB65_11400
ko:K02078	fpq:IB65_11440
ko:K00647	fpq:IB65_11450
ko:K01479	fpq:IB65_08455
ko:K11927	fpq:IB65_08460
ko:K03744	fpq:IB65_08465
ko:K00275	fpq:IB65_08475
ko:K00784	fpq:IB65_08480
ko:K00318	fpq:IB65_08485
ko:K01735	fpq:IB65_08490
ko:K01585	fpq:IB65_08500
ko:K00809	fpq:IB65_08505
ko:K11537	fpq:IB65_08515
ko:K00945	fpq:IB65_08520
ko:K01338	fpq:IB65_08530
ko:K06902	fpq:IB65_08535
ko:K07305	fpq:IB65_08550
ko:K07305	fpq:IB65_08555
ko:K01897	fpq:IB65_08560
ko:K00681	fpq:IB65_08565
ko:K07516	fpq:IB65_08575
ko:K03386	fpq:IB65_08605
ko:K03782	fpq:IB65_08610
ko:K01761	fpq:IB65_08625
ko:K03719	fpq:IB65_08630
ko:K00382	fpq:IB65_08635
ko:K04761	fpq:IB65_08650
ko:K00826	fpq:IB65_08665
ko:K03424	fpq:IB65_08690
ko:K09164	fpq:IB65_08695
ko:K07447	fpq:IB65_08715
ko:K00116	fpq:IB65_08720
ko:K01462	fpq:IB65_08725
ko:K02428	fpq:IB65_08735
ko:K07017	fpq:IB65_08740
ko:K03216	fpq:IB65_10020
ko:K02013	fpq:IB65_10025
ko:K00075	fpq:IB65_10030
ko:K01953	fpq:IB65_10035
ko:K03629	fpq:IB65_10055
ko:K00794	fpq:IB65_10065
ko:K00826	fpq:IB65_10080
ko:K07735	fpq:IB65_10085
ko:K03530	fpq:IB65_10090
ko:K00604	fpq:IB65_10095
ko:K03654	fpq:IB65_10100
ko:K09158	fpq:IB65_10110
ko:K00790	fpq:IB65_10120
ko:K03786	fpq:IB65_10145
ko:K04763	fpq:IB65_10155
ko:K01892	fpq:IB65_10160
ko:K02004	fpq:IB65_10165
ko:K02493	fpq:IB65_10170
ko:K03828	fpq:IB65_10175
ko:K11752	fpq:IB65_10180
ko:K03975	fpq:IB65_10195
ko:K01673	fpq:IB65_10200
ko:K06876	fpq:IB65_10265
ko:K01669	fpq:IB65_10270
ko:K02956	fpq:IB65_10280
ko:K00962	fpq:IB65_10290
ko:K03086	fpq:IB65_10300
ko:K01783	fpq:IB65_10305
ko:K09933	fpq:IB65_10310
ko:K09117	fpq:IB65_10320
ko:K03531	fpq:IB65_10335
ko:K07107	fpq:IB65_11455
ko:K01992	fpq:IB65_11460
ko:K00648	fpq:IB65_11500
ko:K02078	fpq:IB65_11520
ko:K00647	fpq:IB65_11525
ko:K00059	fpq:IB65_11530
ko:K01745	fpq:IB65_11540
ko:K03424	fpq:IB65_11550
ko:K01424	fpq:IB65_11560
ko:K07152	fpq:IB65_10630
ko:K08976	fpq:IB65_10635
ko:K12340	fpq:IB65_10650
ko:K02005	fpq:IB65_10655
ko:K01619	fpq:IB65_10665
ko:K02437	fpq:IB65_10675
ko:K03550	fpq:IB65_10690
ko:K00029	fpq:IB65_10695
ko:K03551	fpq:IB65_10705
ko:K03294	fpq:IB65_10710
ko:K05995	fpq:IB65_10735
ko:K15633	fpq:IB65_10760
ko:K00773	fpq:IB65_02985
ko:K11720	fpq:IB65_02990
ko:K01962	fpq:IB65_03000
ko:K00384	fpq:IB65_03010
ko:K03549	fpq:IB65_03035
ko:K03088	fpq:IB65_03055
ko:K03650	fpq:IB65_03065
ko:K09810	fpq:IB65_03075
ko:K07304	fpq:IB65_03080
ko:K01495	fpq:IB65_03085
ko:K00058	fpq:IB65_03110
ko:K00831	fpq:IB65_03115
ko:K06942	fpq:IB65_03135
ko:K02014	fpq:IB65_03140
ko:K02622	fpq:IB65_03145
ko:K02621	fpq:IB65_03160
ko:K06180	fpq:IB65_03175
ko:K01921	fpq:IB65_03185
ko:K00954	fpq:IB65_03190
ko:K02361	fpq:IB65_03215
ko:K00762	fpq:IB65_03240
ko:K01992	fpq:IB65_03265
ko:K01990	fpq:IB65_03270
ko:K03686	fpq:IB65_03275
ko:K03687	fpq:IB65_03280
ko:K00819	fpq:IB65_03630
ko:K06169	fpq:IB65_03645
ko:K07054	fpq:IB65_03655
ko:K05844	fpq:IB65_03665
ko:K03696	fpq:IB65_03670
ko:K02469	fpq:IB65_03675
ko:K09022	fpq:IB65_03685
ko:K01448	fpq:IB65_03695
ko:K02067	fpq:IB65_03700
ko:K01736	fpq:IB65_03760
ko:K00626	fpq:IB65_03785
ko:K01745	fpq:IB65_03810
ko:K13653	fpq:IB65_03815
ko:K03718	fpq:IB65_03840
ko:K06966	fpq:IB65_03850
ko:K03701	fpq:IB65_03870
ko:K02014	fpq:IB65_03880
ko:K01840	fpq:IB65_03895
ko:K02517	fpq:IB65_03930
ko:K09807	fpq:IB65_03940
ko:K04043	fpq:IB65_03950
ko:K03657	fpq:IB65_03975
ko:K01354	fpq:IB65_03985
ko:K01697	fpq:IB65_03990
ko:K02836	fpq:IB65_04000
ko:K01620	fpq:IB65_04005
ko:K09747	fpq:IB65_04010
ko:K07462	fpq:IB65_04015
ko:K15726	fpq:IB65_04035
ko:K15727	fpq:IB65_04040
ko:K01752	fpq:IB65_04055
ko:K00606	fpq:IB65_04065
ko:K06180	fpq:IB65_04075
ko:K00128	fpq:IB65_04080
ko:K02887	fpq:IB65_04100
ko:K02916	fpq:IB65_04105
ko:K02520	fpq:IB65_04110
ko:K03702	fpq:IB65_04135
ko:K01903	fpq:IB65_04160
ko:K03386	fpq:IB65_04190
ko:K00405	fpq:IB65_04215
ko:K00404	fpq:IB65_04220
ko:K09810	fpq:IB65_04225
ko:K09808	fpq:IB65_04230
ko:K09946	fpq:IB65_01790
ko:K03555	fpq:IB65_01850
ko:K04773	fpq:IB65_01870
ko:K01448	fpq:IB65_01885
ko:K02527	fpq:IB65_01895
ko:K01784	fpq:IB65_01905
ko:K00645	fpq:IB65_01915
ko:K08289	fpq:IB65_01930
ko:K00812	fpq:IB65_01935
ko:K00508	fpq:IB65_01940
ko:K03501	fpq:IB65_01945
ko:K00294	fpq:IB65_01950
ko:K06195	fpq:IB65_01965
ko:K01265	fpq:IB65_01980
ko:K01534	fpq:IB65_02015
ko:K03154	fpq:IB65_02020
ko:K03147	fpq:IB65_02025
ko:K00788	fpq:IB65_02030
ko:K00941	fpq:IB65_02035
ko:K00788	fpq:IB65_02040
ko:K03149	fpq:IB65_02045
ko:K03150	fpq:IB65_02050
ko:K09903	fpq:IB65_02060
ko:K02838	fpq:IB65_02065
ko:K01627	fpq:IB65_02425
ko:K03543	fpq:IB65_02435
ko:K01695	fpq:IB65_02455
ko:K01696	fpq:IB65_02460
ko:K01817	fpq:IB65_02465
ko:K01609	fpq:IB65_02470
ko:K00766	fpq:IB65_02475
ko:K01658	fpq:IB65_02480
ko:K01657	fpq:IB65_02485
ko:K03088	fpq:IB65_02665
ko:K07114	fpq:IB65_02675
ko:K07000	fpq:IB65_02690
ko:K06158	fpq:IB65_02720
ko:K03327	fpq:IB65_02780
ko:K07588	fpq:IB65_02795
ko:K08223	fpq:IB65_02800
ko:K00104	fpq:IB65_02805
ko:K00428	fpq:IB65_02830
ko:K03070	fpq:IB65_02840
ko:K02003	fpq:IB65_02855
ko:K15738	fpq:IB65_02875
ko:K00658	fpq:IB65_02890
ko:K01495	fpq:IB65_02920
ko:K01883	fpq:IB65_02925
ko:K08998	fpq:IB65_02930
ko:K03524	fpq:IB65_02940
ko:K09710	fpq:IB65_02945
ko:K03798	fpq:IB65_02950
ko:K00981	fpq:IB65_02960
ko:K01613	fpq:IB65_02965
ko:K07071	fpq:IB65_03285
ko:K09940	fpq:IB65_03295
ko:K10947	fpq:IB65_03300
ko:K01555	fpq:IB65_03325
ko:K00600	fpq:IB65_03330
ko:K00615	fpq:IB65_03335
ko:K00615	fpq:IB65_03340
ko:K01933	fpq:IB65_03350
ko:K01952	fpq:IB65_03405
ko:K03500	fpq:IB65_03415
ko:K00382	fpq:IB65_03460
ko:K04487	fpq:IB65_03470
ko:K07095	fpq:IB65_03475
ko:K07504	fpq:IB65_03495
ko:K03628	fpq:IB65_03520
ko:K09861	fpq:IB65_03525
ko:K07106	fpq:IB65_03560
ko:K07444	fpq:IB65_03580
ko:K03215	fpq:IB65_03605
ko:K00384	fpq:IB65_08295
ko:K02551	fpq:IB65_08325
ko:K03823	fpq:IB65_08330
ko:K02687	fpq:IB65_08340
ko:K06891	fpq:IB65_08345
ko:K07112	fpq:IB65_08365
ko:K07112	fpq:IB65_08370
ko:K07646	fpq:IB65_08390
ko:K01548	fpq:IB65_08400
ko:K01547	fpq:IB65_08405
ko:K01546	fpq:IB65_08410
ko:K00812	fpq:IB65_08430
ko:K01754	fpq:IB65_02110
ko:K00053	fpq:IB65_02115
ko:K01653	fpq:IB65_02120
ko:K01652	fpq:IB65_02125
ko:K01687	fpq:IB65_02130
ko:K00826	fpq:IB65_02135
ko:K02357	fpq:IB65_02155
ko:K02967	fpq:IB65_02160
ko:K02996	fpq:IB65_02165
ko:K02871	fpq:IB65_02170
ko:K05595	fpq:IB65_02190
ko:K03797	fpq:IB65_02205
ko:K09748	fpq:IB65_02230
ko:K02600	fpq:IB65_02235
ko:K02519	fpq:IB65_02240
ko:K06207	fpq:IB65_02280
ko:K00243	fpq:IB65_02285
ko:K01661	fpq:IB65_02290
ko:K02548	fpq:IB65_02295
ko:K09812	fpq:IB65_02515
ko:K02014	fpq:IB65_02530
ko:K00133	fpq:IB65_02540
ko:K01953	fpq:IB65_02550
ko:K02470	fpq:IB65_02555
ko:K00024	fpq:IB65_02560
ko:K12257	fpq:IB65_02565
ko:K06878	fpq:IB65_02570
ko:K00263	fpq:IB65_02585
ko:K03625	fpq:IB65_02590
ko:K03210	fpq:IB65_02600
ko:K01591	fpq:IB65_02605
ko:K11754	fpq:IB65_02630
ko:K03561	fpq:IB65_02635
ko:K03559	fpq:IB65_02640
ko:K05794	fpq:IB65_02645
ko:K01915	fpq:IB65_02650
ko:K00605	fpq:IB65_07650
ko:K03655	fpq:IB65_07710
ko:K03657	fpq:IB65_07745
ko:K07107	fpq:IB65_07830
ko:K00606	fpq:IB65_07835
ko:K00077	fpq:IB65_07845
ko:K00626	fpq:IB65_07865
ko:K14652	fpq:IB65_07885
ko:K07091	fpq:IB65_07890
ko:K03466	fpq:IB65_07900
ko:K00901	fpq:IB65_07905
ko:K11065	fpq:IB65_07910
ko:K02536	fpq:IB65_07940
ko:K01911	fpq:IB65_07945
ko:K07052	fpq:IB65_07950
ko:K00537	fpq:IB65_07955
ko:K01679	fpq:IB65_07970
ko:K02429	fpq:IB65_07980
ko:K05786	fpq:IB65_07985
ko:K07391	fpq:IB65_07990
ko:K00134	fpq:IB65_08005
ko:K00850	fpq:IB65_08010
ko:K01409	fpq:IB65_08020
ko:K09761	fpq:IB65_08025
ko:K08641	fpq:IB65_08055
ko:K01665	fpq:IB65_08065
ko:K04075	fpq:IB65_08070
ko:K04084	fpq:IB65_08075
ko:K00674	fpq:IB65_08080
ko:K01711	fpq:IB65_08145
ko:K07566	fpq:IB65_08160
ko:K02259	fpq:IB65_08170
ko:K03575	fpq:IB65_08270
ko:K03530	fpq:IB65_08275
ko:K08301	fpq:IB65_08280
ko:K03593	fpq:IB65_08285
ko:K03585	fpq:IB65_04275
ko:K01895	fpq:IB65_04330
ko:K02342	fpq:IB65_04335
ko:K07182	fpq:IB65_04340
ko:K16053	fpq:IB65_04365
ko:K03574	fpq:IB65_04375
ko:K11755	fpq:IB65_04385
ko:K02500	fpq:IB65_04390
ko:K01814	fpq:IB65_04395
ko:K02501	fpq:IB65_04400
ko:K01089	fpq:IB65_04405
ko:K00817	fpq:IB65_04410
ko:K00013	fpq:IB65_04415
ko:K00765	fpq:IB65_04420
ko:K00059	fpq:IB65_04440
ko:K02343	fpq:IB65_04445
ko:K01524	fpq:IB65_04460
ko:K00937	fpq:IB65_04465
ko:K01902	fpq:IB65_04475
ko:K02536	fpq:IB65_04485
ko:K02356	fpq:IB65_04490
ko:K00677	fpq:IB65_04495
ko:K16363	fpq:IB65_04500
ko:K02536	fpq:IB65_04505
ko:K06885	fpq:IB65_04510
ko:K00979	fpq:IB65_04520
ko:K02864	fpq:IB65_05510
ko:K02863	fpq:IB65_05515
ko:K02867	fpq:IB65_05520
ko:K02601	fpq:IB65_05525
ko:K03073	fpq:IB65_05530
ko:K02358	fpq:IB65_05540
ko:K05808	fpq:IB65_05560
ko:K03733	fpq:IB65_05565
ko:K02970	fpq:IB65_05570
ko:K02342	fpq:IB65_05600
ko:K01697	fpq:IB65_05605
ko:K03470	fpq:IB65_05625
ko:K03801	fpq:IB65_05630
ko:K04567	fpq:IB65_05635
ko:K01845	fpq:IB65_05645
ko:K07107	fpq:IB65_05660
ko:K02313	fpq:IB65_05665
ko:K01104	fpq:IB65_05670
ko:K07056	fpq:IB65_05675
ko:K07082	fpq:IB65_05690
ko:K00657	fpq:IB65_05695
ko:K01778	fpq:IB65_05700
ko:K00134	fpq:IB65_05715
ko:K07164	fpq:IB65_05730
ko:K06182	fpq:IB65_05740
ko:K10716	fpq:IB65_05745
ko:K03442	fpq:IB65_05770
ko:K07137	fpq:IB65_05775
ko:K03654	fpq:IB65_05795
ko:K06041	fpq:IB65_05800
ko:K00012	fpq:IB65_06110
ko:K02474	fpq:IB65_06115
ko:K02473	fpq:IB65_06120
ko:K01991	fpq:IB65_06130
