ko:K18929	her:C695_00680
ko:K07316	her:C695_07905
ko:K07491	her:C695_07975
ko:K15898	her:C695_00885
ko:K00245	her:C695_00950
ko:K00244	her:C695_00955
ko:K03593	her:C695_01035
ko:K07126	her:C695_01060
ko:K01439	her:C695_01065
ko:K06910	her:C695_01100
ko:K01424	her:C695_03725
ko:K15848	her:C695_03735
ko:K00769	her:C695_03780
ko:K07491	her:C695_02220
ko:K03455	her:C695_02415
ko:K02017	her:C695_02435
ko:K01885	her:C695_02440
ko:K06603	her:C695_03870
ko:K07491	her:C695_05105
ko:K07126	her:C695_05765
ko:K08077	her:C695_02605
ko:K07126	her:C695_02670
ko:K03743	her:C695_04905
ko:K06179	her:C695_04925
ko:K03442	her:C695_05075
ko:K14048	her:C695_00355
ko:K03406	her:C695_00400
ko:K03406	her:C695_00485
ko:K03406	her:C695_00505
ko:K01119	her:C695_00510
ko:K03386	her:C695_08115
ko:K01409	her:C695_08220
ko:K07126	her:C695_01185
ko:K06196	her:C695_01335
ko:K01719	her:C695_06330
ko:K04093	her:C695_01465
ko:K03342	her:C695_01475
ko:K01916	her:C695_01665
ko:K07316	her:C695_01310
ko:K03205	her:C695_05200
ko:K18682	her:C695_03915
ko:K03496	her:C695_05165
ko:K03168	her:C695_02235
ko:K01154	her:C695_02365
ko:K03427	her:C695_02375
ko:K01153	her:C695_02380
ko:K08602	her:C695_02410
ko:K02020	her:C695_02425
ko:K02018	her:C695_02430
ko:K06207	her:C695_02460
ko:K03781	her:C695_02495
ko:K02078	her:C695_02890
ko:K02970	her:C695_02900
ko:K01778	her:C695_02925
ko:K06942	her:C695_02940
ko:K01255	her:C695_02945
ko:K00759	her:C695_02955
ko:K01808	her:C695_02965
ko:K03100	her:C695_02975
ko:K01972	her:C695_03185
ko:K03415	her:C695_03190
ko:K01876	her:C695_03195
ko:K07270	her:C695_03210
ko:K07456	her:C695_03220
ko:K01924	her:C695_03230
ko:K03923	her:C695_03265
ko:K03620	her:C695_03280
ko:K06920	her:C695_03310
ko:K02221	her:C695_03335
ko:K08309	her:C695_03340
ko:K00963	her:C695_03345
ko:K00790	her:C695_03355
ko:K01744	her:C695_03360
ko:K01491	her:C695_02980
ko:K01465	her:C695_03000
ko:K02417	her:C695_03015
ko:K10773	her:C695_03020
ko:K07082	her:C695_03035
ko:K00176	her:C695_03040
ko:K00174	her:C695_03045
ko:K00175	her:C695_03050
ko:K00177	her:C695_03055
ko:K03611	her:C695_03075
ko:K02406	her:C695_03115
ko:K01599	her:C695_03130
ko:K03831	her:C695_04100
ko:K03636	her:C695_04110
ko:K14652	her:C695_04125
ko:K07270	her:C695_04130
ko:K07043	her:C695_04135
ko:K16091	her:C695_04140
ko:K00997	her:C695_04145
ko:K02415	her:C695_04150
ko:K02556	her:C695_04180
ko:K02557	her:C695_04185
ko:K05847	her:C695_04205
ko:K03703	her:C695_04215
ko:K00003	her:C695_04220
ko:K07460	her:C695_04225
ko:K03671	her:C695_04230
ko:K00384	her:C695_04235
ko:K07270	her:C695_04240
ko:K02108	her:C695_04255
ko:K00859	her:C695_04270
ko:K00797	her:C695_04275
ko:K03977	her:C695_04285
ko:K03530	her:C695_04290
ko:K09860	her:C695_04300
ko:K15894	her:C695_04315
ko:K13038	her:C695_04320
ko:K00788	her:C695_04330
ko:K00941	her:C695_04335
ko:K00878	her:C695_04340
ko:K01153	her:C695_04345
ko:K01154	her:C695_04355
ko:K03427	her:C695_04365
ko:K00937	her:C695_05235
ko:K01714	her:C695_05250
ko:K00995	her:C695_05265
ko:K12506	her:C695_05280
ko:K05516	her:C695_05305
ko:K07478	her:C695_05315
ko:K02417	her:C695_05335
ko:K02416	her:C695_05340
ko:K02405	her:C695_05345
ko:K04562	her:C695_05355
ko:K02404	her:C695_05360
ko:K00950	her:C695_05365
ko:K03786	her:C695_05375
ko:K02956	her:C695_05385
ko:K02400	her:C695_05390
ko:K01895	her:C695_05410
ko:K09748	her:C695_05415
ko:K02834	her:C695_05420
ko:K02519	her:C695_05425
ko:K00872	her:C695_05435
ko:K09805	her:C695_04375
ko:K00364	her:C695_04385
ko:K03271	her:C695_04400
ko:K03272	her:C695_04405
ko:K03274	her:C695_04410
ko:K03273	her:C695_04415
ko:K09792	her:C695_04420
ko:K03525	her:C695_04425
ko:K03624	her:C695_04445
ko:K00748	her:C695_04450
ko:K04651	her:C695_04460
ko:K02390	her:C695_04465
ko:K01521	her:C695_04470
ko:K06193	her:C695_04475
ko:K03781	her:C695_04490
ko:K01159	her:C695_04500
ko:K03550	her:C695_04535
ko:K03980	her:C695_04545
ko:K01883	her:C695_04550
ko:K02013	her:C695_04565
ko:K02015	her:C695_04570
ko:K02535	her:C695_05445
ko:K03610	her:C695_05450
ko:K00606	her:C695_05475
ko:K03551	her:C695_05480
ko:K03117	her:C695_05485
ko:K03118	her:C695_05490
ko:K07568	her:C695_05495
ko:K03501	her:C695_05500
ko:K06950	her:C695_05505
ko:K03413	her:C695_05520
ko:K02687	her:C695_05525
ko:K03798	her:C695_05530
ko:K07241	her:C695_05570
ko:K00609	her:C695_05605
ko:K06442	her:C695_05615
ko:K11753	her:C695_05620
ko:K00615	her:C695_05625
ko:K03466	her:C695_05635
ko:K02392	her:C695_05645
ko:K01625	her:C695_05675
ko:K01690	her:C695_05680
ko:K00036	her:C695_05685
ko:K01057	her:C695_05690
ko:K13979	her:C695_05700
ko:K00286	her:C695_05985
ko:K04095	her:C695_05990
ko:K07042	her:C695_05995
ko:K03839	her:C695_06000
ko:K00384	her:C695_06015
ko:K01810	her:C695_06025
ko:K06200	her:C695_06040
ko:K02029	her:C695_06045
ko:K02029	her:C695_06050
ko:K02429	her:C695_06070
ko:K06901	her:C695_06075
ko:K01839	her:C695_06100
ko:K08159	her:C695_06135
ko:K00133	her:C695_06160
ko:K01892	her:C695_06165
ko:K02355	her:C695_06185
ko:K02992	her:C695_06190
ko:K02950	her:C695_06195
ko:K02935	her:C695_06215
ko:K02864	her:C695_06220
ko:K02863	her:C695_06225
ko:K02867	her:C695_06230
ko:K02601	her:C695_06235
ko:K03073	her:C695_06240
ko:K02913	her:C695_06245
ko:K09804	her:C695_06390
ko:K01956	her:C695_06395
ko:K06287	her:C695_06405
ko:K01872	her:C695_06410
ko:K09794	her:C695_06415
ko:K15847	her:C695_06430
ko:K02963	her:C695_06440
ko:K02990	her:C695_06450
ko:K02340	her:C695_06455
ko:K12573	her:C695_06460
ko:K00014	her:C695_06465
ko:K13894	her:C695_06475
ko:K13893	her:C695_06480
ko:K01867	her:C695_06485
ko:K02169	her:C695_06490
ko:K03075	her:C695_06495
ko:K02838	her:C695_06500
ko:K00762	her:C695_06505
ko:K12410	her:C695_06520
ko:K00330	her:C695_06525
ko:K00331	her:C695_06530
ko:K00332	her:C695_06535
ko:K00333	her:C695_06540
ko:K00334	her:C695_06545
ko:K00337	her:C695_06560
ko:K00338	her:C695_06565
ko:K00339	her:C695_06570
ko:K00340	her:C695_06575
ko:K00341	her:C695_06580
ko:K00342	her:C695_06585
ko:K00343	her:C695_06590
ko:K15778	her:C695_06600
ko:K01695	her:C695_06610
ko:K01696	her:C695_06615
ko:K13498	her:C695_06620
ko:K00766	her:C695_06625
ko:K01657	her:C695_06635
ko:K03561	her:C695_06920
ko:K03832	her:C695_06930
ko:K03284	her:C695_06945
ko:K00927	her:C695_06950
ko:K00134	her:C695_06955
ko:K03648	her:C695_06960
ko:K00655	her:C695_06965
ko:K03797	her:C695_06975
ko:K00767	her:C695_07005
ko:K03517	her:C695_07010
ko:K01613	her:C695_07015
ko:K03179	her:C695_07030
ko:K03570	her:C695_07090
ko:K03569	her:C695_07095
ko:K03544	her:C695_07100
ko:K00677	her:C695_07105
ko:K02372	her:C695_07110
ko:K13626	her:C695_07115
ko:K05807	her:C695_07125
ko:K01338	her:C695_07130
ko:K01173	her:C695_07145
ko:K01154	her:C695_07150
ko:K03841	her:C695_07160
ko:K01783	her:C695_07165
ko:K00794	her:C695_00010
ko:K01627	her:C695_00015
ko:K01673	her:C695_00020
ko:K01591	her:C695_00025
ko:K01918	her:C695_00030
ko:K04077	her:C695_00045
ko:K04078	her:C695_00050
ko:K00566	her:C695_00060
ko:K09859	her:C695_00085
ko:K03415	her:C695_00090
ko:K13747	her:C695_00095
ko:K03760	her:C695_00105
ko:K01647	her:C695_00120
ko:K00031	her:C695_00125
ko:K01935	her:C695_00135
ko:K06891	her:C695_00150
ko:K03694	her:C695_00155
ko:K01579	her:C695_00160
ko:K09747	her:C695_00165
ko:K01711	her:C695_00200
ko:K02377	her:C695_00205
ko:K04656	her:C695_00220
ko:K03707	her:C695_06660
ko:K03811	her:C695_06675
ko:K02879	her:C695_06685
ko:K03040	her:C695_06690
ko:K02986	her:C695_06695
ko:K02948	her:C695_06700
ko:K02952	her:C695_06705
ko:K02919	her:C695_06710
ko:K02518	her:C695_06715
ko:K01265	her:C695_06720
ko:K03076	her:C695_06725
ko:K02876	her:C695_06730
ko:K02988	her:C695_06735
ko:K02881	her:C695_06740
ko:K02933	her:C695_06745
ko:K02994	her:C695_06750
ko:K02954	her:C695_06755
ko:K02931	her:C695_06760
ko:K02895	her:C695_06765
ko:K02874	her:C695_06770
ko:K02961	her:C695_06775
ko:K02904	her:C695_06780
ko:K02878	her:C695_06785
ko:K02982	her:C695_06790
ko:K02890	her:C695_06795
ko:K02965	her:C695_06800
ko:K02886	her:C695_06805
ko:K02892	her:C695_06810
ko:K02926	her:C695_06815
ko:K02906	her:C695_06820
ko:K02946	her:C695_06825
ko:K07133	her:C695_06830
ko:K03470	her:C695_06840
ko:K07787	her:C695_06870
ko:K03686	her:C695_06885
ko:K00566	her:C695_06900
ko:K00969	her:C695_06910
ko:K07722	her:C695_06915
ko:K03631	her:C695_07205
ko:K00858	her:C695_07210
ko:K00259	her:C695_07235
ko:K01476	her:C695_07240
ko:K16091	her:C695_07245
ko:K07043	her:C695_07250
ko:K01153	her:C695_07255
ko:K03427	her:C695_07260
ko:K01154	her:C695_07265
ko:K01012	her:C695_07280
ko:K07058	her:C695_07285
ko:K09457	her:C695_07315
ko:K09710	her:C695_07320
ko:K00791	her:C695_07325
ko:K00075	her:C695_07345
ko:K02420	her:C695_07350
ko:K02412	her:C695_07355
ko:K01870	her:C695_07365
ko:K06941	her:C695_07395
ko:K06041	her:C695_07400
ko:K02528	her:C695_07410
ko:K01433	her:C695_07435
ko:K04773	her:C695_07440
ko:K03563	her:C695_07480
ko:K00919	her:C695_07485
ko:K03664	her:C695_07490
ko:K03561	her:C695_07495
ko:K02914	her:C695_07510
ko:K03536	her:C695_07515
ko:K03217	her:C695_07525
ko:K03650	her:C695_07535
ko:K07337	her:C695_07565
ko:K06178	her:C695_07575
ko:K02337	her:C695_07580
ko:K00428	her:C695_07585
ko:K02065	her:C695_07605
ko:K02066	her:C695_07610
ko:K00826	her:C695_07620
ko:K00943	her:C695_07650
ko:K00954	her:C695_07655
ko:K03186	her:C695_07660
ko:K02386	her:C695_07670
ko:K03657	her:C695_07675
ko:K01875	her:C695_07685
ko:K03602	her:C695_07695
ko:K03183	her:C695_07700
ko:K08973	her:C695_07705
ko:K01993	her:C695_07725
ko:K03306	her:C695_07745
ko:K01928	her:C695_07760
ko:K02897	her:C695_07770
ko:K01056	her:C695_07775
ko:K11720	her:C695_07780
ko:K09943	her:C695_07800
ko:K11752	her:C695_07815
ko:K03312	her:C695_07820
ko:K08591	her:C695_07835
ko:K01633	her:C695_07840
ko:K01042	her:C695_07860
ko:K02600	her:C695_07865
ko:K03655	her:C695_07910
ko:K01142	her:C695_07925
ko:K02313	her:C695_07940
ko:K00820	her:C695_07955
ko:K00413	her:C695_07990
ko:K00412	her:C695_07995
ko:K00411	her:C695_08000
ko:K03723	her:C695_08005
ko:K11754	her:C695_08025
ko:K13821	her:C695_00265
ko:K03190	her:C695_00320
ko:K03189	her:C695_00325
ko:K03188	her:C695_00330
ko:K03187	her:C695_00335
ko:K01428	her:C695_00350
ko:K03101	her:C695_00360
ko:K03431	her:C695_00365
ko:K02968	her:C695_00370
ko:K02835	her:C695_00375
ko:K02996	her:C695_00405
ko:K02871	her:C695_00410
ko:K00116	her:C695_00420
ko:K03086	her:C695_00430
ko:K00645	her:C695_00440
ko:K01733	her:C695_00480
ko:K09765	her:C695_00490
ko:K07173	her:C695_00515
ko:K04043	her:C695_00535
ko:K03687	her:C695_00540
ko:K01869	her:C695_08035
ko:K03074	her:C695_08045
ko:K03072	her:C695_08050
ko:K03210	her:C695_08055
ko:K03313	her:C695_08060
ko:K02967	her:C695_08070
ko:K02357	her:C695_08075
ko:K03587	her:C695_08080
ko:K02408	her:C695_08085
ko:K02388	her:C695_08090
ko:K02387	her:C695_08095
ko:K03588	her:C695_08100
ko:K02016	her:C695_08105
ko:K02016	her:C695_08110
ko:K02073	her:C695_08120
ko:K05515	her:C695_08125
ko:K03978	her:C695_08135
ko:K09774	her:C695_08140
ko:K03270	her:C695_08150
ko:K03642	her:C695_08155
ko:K08307	her:C695_08160
ko:K03424	her:C695_08165
ko:K00793	her:C695_08170
ko:K04061	her:C695_08175
ko:K02071	her:C695_08180
ko:K02072	her:C695_08185
ko:K03474	her:C695_08210
ko:K00097	her:C695_08215
ko:K02392	her:C695_08225
ko:K03705	her:C695_00545
ko:K01628	her:C695_00550
ko:K02406	her:C695_00565
ko:K03168	her:C695_00570
ko:K01868	her:C695_00605
ko:K02520	her:C695_00610
ko:K02916	her:C695_00615
ko:K02887	her:C695_00620
ko:K01752	her:C695_00650
ko:K03837	her:C695_00655
ko:K01626	her:C695_00660
ko:K03564	her:C695_00670
ko:K00782	her:C695_00675
ko:K03303	her:C695_00690
ko:K03303	her:C695_00695
ko:K03575	her:C695_00700
ko:K00404	her:C695_00715
ko:K00405	her:C695_00720
ko:K00407	her:C695_00725
ko:K00406	her:C695_00730
ko:K01689	her:C695_00770
ko:K00891	her:C695_00785
ko:K01698	her:C695_00810
ko:K01079	her:C695_03375
ko:K02217	her:C695_03380
ko:K07277	her:C695_03390
ko:K02434	her:C695_03410
ko:K03685	her:C695_03430
ko:K01736	her:C695_03435
ko:K11473	her:C695_03450
ko:K00812	her:C695_03480
ko:K07090	her:C695_03500
ko:K04042	her:C695_03525
ko:K02419	her:C695_03535
ko:K16091	her:C695_03540
ko:K04759	her:C695_03545
ko:K07501	her:C695_03550
ko:K01028	her:C695_03560
ko:K01029	her:C695_03565
ko:K02106	her:C695_03570
ko:K10856	her:C695_03605
ko:K00901	her:C695_03615
ko:K02469	her:C695_03620
ko:K03701	her:C695_03635
ko:K03438	her:C695_03645
ko:K07023	her:C695_03665
ko:K03092	her:C695_03680
ko:K04654	her:C695_04615
ko:K04653	her:C695_04620
ko:K00925	her:C695_04645
ko:K13788	her:C695_04665
ko:K02389	her:C695_04675
ko:K02390	her:C695_04680
ko:K03657	her:C695_04695
ko:K15843	her:C695_04700
ko:K15844	her:C695_04705
ko:K01955	her:C695_04735
ko:K00134	her:C695_04745
ko:K01821	her:C695_04760
ko:K06187	her:C695_04765
ko:K06176	her:C695_04770
ko:K03799	her:C695_04775
ko:K01495	her:C695_04780
ko:K00795	her:C695_04785
ko:K03787	her:C695_04790
ko:K01737	her:C695_04800
ko:K10009	her:C695_04835
ko:K01775	her:C695_04845
ko:K03310	her:C695_04850
ko:K00285	her:C695_04855
ko:K08303	her:C695_00835
ko:K02836	her:C695_00845
ko:K03750	her:C695_00850
ko:K02421	her:C695_00855
ko:K01624	her:C695_00875
ko:K02356	her:C695_00880
ko:K03820	her:C695_00895
ko:K03558	her:C695_00900
ko:K04567	her:C695_00905
ko:K00600	her:C695_00910
ko:K00246	her:C695_00960
ko:K01803	her:C695_00965
ko:K00208	her:C695_00970
ko:K02536	her:C695_00975
ko:K00789	her:C695_00980
ko:K00940	her:C695_00985
ko:K02911	her:C695_00995
ko:K03621	her:C695_01000
ko:K00648	her:C695_01005
ko:K04079	her:C695_01055
ko:K03495	her:C695_01070
ko:K14445	her:C695_01075
ko:K00981	her:C695_01085
ko:K00099	her:C695_01090
ko:K04487	her:C695_01110
ko:K06861	her:C695_03685
ko:K06925	her:C695_03690
ko:K02343	her:C695_03695
ko:K06895	her:C695_03700
ko:K07791	her:C695_03730
ko:K04075	her:C695_03750
ko:K01095	her:C695_03790
ko:K01921	her:C695_03795
ko:K01929	her:C695_03805
ko:K00948	her:C695_03820
ko:K05837	her:C695_03825
ko:K06180	her:C695_03840
ko:K03439	her:C695_03850
ko:K09812	her:C695_03855
ko:K09811	her:C695_03860
ko:K02407	her:C695_03875
ko:K02422	her:C695_03880
ko:K12251	her:C695_03900
ko:K07084	her:C695_03905
ko:K03110	her:C695_03930
ko:K06940	her:C695_03935
ko:K03639	her:C695_03950
ko:K03752	her:C695_03955
ko:K02401	her:C695_03960
ko:K01448	her:C695_03970
ko:K00459	her:C695_03975
ko:K00783	her:C695_04890
ko:K01963	her:C695_04895
ko:K13292	her:C695_04920
ko:K02527	her:C695_04930
ko:K07164	her:C695_04935
ko:K01878	her:C695_04945
ko:K00057	her:C695_04950
ko:K02078	her:C695_04955
ko:K15726	her:C695_04990
ko:K01879	her:C695_05005
ko:K15633	her:C695_05015
ko:K02435	her:C695_05020
ko:K00833	her:C695_05030
ko:K03770	her:C695_05035
ko:K03590	her:C695_05040
ko:K03531	her:C695_05045
ko:K00172	her:C695_05720
ko:K00171	her:C695_05725
ko:K00169	her:C695_05730
ko:K00170	her:C695_05735
ko:K01756	her:C695_05740
ko:K03702	her:C695_05750
ko:K02396	her:C695_05780
ko:K03775	her:C695_05805
ko:K03640	her:C695_05815
ko:K03641	her:C695_05820
ko:K02114	her:C695_05840
ko:K02112	her:C695_05845
ko:K02115	her:C695_05850
ko:K02111	her:C695_05855
ko:K02113	her:C695_05860
ko:K02109	her:C695_05865
ko:K02109	her:C695_05870
ko:K03524	her:C695_05885
ko:K00604	her:C695_05890
ko:K02884	her:C695_05930
ko:K00554	her:C695_05935
ko:K02860	her:C695_05940
ko:K06960	her:C695_05945
ko:K02959	her:C695_05950
ko:K03106	her:C695_05955
ko:K01873	her:C695_05960
ko:K02563	her:C695_05970
ko:K10716	her:C695_02520
ko:K02902	her:C695_02525
ko:K15846	her:C695_02530
ko:K01000	her:C695_02535
ko:K01925	her:C695_02540
ko:K07107	her:C695_02550
ko:K03308	her:C695_02555
ko:K03308	her:C695_02560
ko:K01058	her:C695_02565
ko:K02338	her:C695_02570
ko:K02470	her:C695_02575
ko:K00215	her:C695_02620
ko:K01915	her:C695_02630
ko:K02939	her:C695_02645
ko:K01419	her:C695_02650
ko:K03667	her:C695_02655
ko:K12086	her:C695_02675
ko:K12088	her:C695_02690
ko:K12090	her:C695_02700
ko:K12091	her:C695_02710
ko:K12107	her:C695_02800
ko:K12108	her:C695_02805
ko:K12109	her:C695_02810
ko:K12110	her:C695_02815
ko:K15842	her:C695_02825
ko:K01776	her:C695_02840
ko:K03628	her:C695_02845
ko:K02909	her:C695_02850
ko:K07056	her:C695_02855
ko:K03218	her:C695_02860
ko:K01962	her:C695_02875
ko:K09458	her:C695_02880
ko:K13819	her:C695_01115
ko:K04485	her:C695_01125
ko:K12267	her:C695_01130
ko:K07090	her:C695_01140
ko:K03321	her:C695_01150
ko:K00979	her:C695_01160
ko:K03981	her:C695_01165
ko:K01749	her:C695_01195
ko:K01881	her:C695_01200
ko:K02492	her:C695_01205
ko:K02523	her:C695_01210
ko:K04047	her:C695_01225
ko:K07710	her:C695_01230
ko:K02394	her:C695_01240
ko:K05592	her:C695_01245
ko:K13896	her:C695_01260
ko:K13895	her:C695_01265
ko:K01939	her:C695_01285
ko:K11749	her:C695_01300
ko:K03601	her:C695_01305
ko:K03695	her:C695_01330
ko:K01465	her:C695_01340
ko:K06168	her:C695_01355
ko:K09778	her:C695_01360
ko:K06940	her:C695_01380
ko:K01609	her:C695_01390
ko:K02358	her:C695_06250
ko:K00640	her:C695_06275
ko:K02110	her:C695_06280
ko:K00962	her:C695_06285
ko:K04744	her:C695_06295
ko:K01945	her:C695_06305
ko:K00806	her:C695_06315
ko:K06199	her:C695_06335
ko:K08311	her:C695_06350
ko:K00928	her:C695_06355
ko:K02341	her:C695_06365
ko:K00796	her:C695_06370
ko:K12092	her:C695_02720
ko:K12093	her:C695_02725
ko:K12094	her:C695_02730
ko:K12095	her:C695_02735
ko:K12096	her:C695_02740
ko:K12097	her:C695_02745
ko:K12098	her:C695_02755
ko:K12101	her:C695_02770
ko:K12102	her:C695_02775
ko:K12103	her:C695_02780
ko:K12104	her:C695_02785
ko:K12105	her:C695_02790
ko:K01524	her:C695_01400
ko:K02841	her:C695_01405
ko:K02517	her:C695_01410
ko:K00773	her:C695_01415
ko:K09944	her:C695_01420
ko:K01735	her:C695_01425
ko:K01586	her:C695_01460
ko:K01163	her:C695_01470
ko:K02397	her:C695_01485
ko:K02888	her:C695_01490
ko:K02899	her:C695_01495
ko:K12368	her:C695_01500
ko:K12370	her:C695_01510
ko:K12372	her:C695_01520
ko:K03979	her:C695_01525
ko:K01845	her:C695_01540
ko:K07226	her:C695_01610
ko:K01887	her:C695_01615
ko:K03116	her:C695_01620
ko:K00942	her:C695_01625
ko:K02393	her:C695_01645
ko:K00912	her:C695_01660
ko:K01866	her:C695_03980
ko:K03060	her:C695_03990
ko:K09903	her:C695_03995
ko:K03196	her:C695_07360
ko:K01682	her:C695_04005
ko:K03634	her:C695_04030
ko:K00053	her:C695_01670
ko:K03609	her:C695_01675
ko:K03608	her:C695_01680
ko:K04096	her:C695_01685
ko:K07447	her:C695_01690
ko:K06180	her:C695_01760
ko:K07462	her:C695_01765
ko:K01937	her:C695_01770
ko:K02409	her:C695_01780
ko:K02410	her:C695_01785
ko:K02411	her:C695_01790
ko:K01662	her:C695_01795
ko:K03596	her:C695_01800
ko:K06173	her:C695_01830
ko:K07091	her:C695_01835
ko:K00573	her:C695_01840
ko:K01961	her:C695_01880
ko:K02160	her:C695_01885
ko:K01494	her:C695_01890
ko:K09761	her:C695_01900
ko:K01772	her:C695_01910
ko:K00262	her:C695_01930
ko:K02493	her:C695_01935
ko:K04066	her:C695_01965
ko:K03070	her:C695_04035
ko:K01154	her:C695_04055
ko:K01534	her:C695_04060
ko:K07391	her:C695_04065
ko:K01462	her:C695_04070
ko:K01358	her:C695_04075
ko:K03545	her:C695_04080
ko:K15846	her:C695_04090
ko:K03637	her:C695_04095
ko:K15256	her:C695_01970
ko:K04564	her:C695_01975
ko:K11065	her:C695_01980
ko:K03408	her:C695_01985
ko:K03407	her:C695_01990
ko:K03415	her:C695_01995
ko:K03269	her:C695_02000
ko:K06997	her:C695_02005
ko:K03182	her:C695_02010
ko:K02945	her:C695_02025
ko:K03527	her:C695_02030
ko:K00800	her:C695_02035
ko:K01890	her:C695_02040
ko:K01889	her:C695_02045
ko:K02503	her:C695_02055
ko:K01951	her:C695_02085
ko:K15846	her:C695_02095
ko:K16052	her:C695_02115
ko:K00574	her:C695_02120
ko:K01874	her:C695_02125
ko:K01772	her:C695_02130
ko:K15257	her:C695_02135
ko:K13788	her:C695_04650
ko:K14228	her:C695_t08335
ko:K14228	her:C695_t08333
ko:K14228	her:C695_t08311
ko:K14228	her:C695_t08291
ko:K14234	her:C695_t08331
ko:K14236	her:C695_t08329
ko:K14230	her:C695_t08321
ko:K14230	her:C695_t08305
ko:K14225	her:C695_t08327
ko:K14235	her:C695_t08323
ko:K14219	her:C695_t08285
ko:K14232	her:C695_t08293
ko:K14227	her:C695_t08289
ko:K14220	her:C695_t08281
ko:K12369	her:C695_01505
ko:K14221	her:C695_t08269
ko:K01426	her:C695_01480
ko:K12371	her:C695_01515
ko:K14224	her:C695_t08267
ko:K14224	her:C695_t08273
ko:K14237	her:C695_t08271
ko:K14237	her:C695_t08277
ko:K14229	her:C695_t08275
ko:K01985	her:C695_r08339
ko:K01985	her:C695_r08341
ko:K14231	her:C695_t08337
ko:K14225	her:C695_t08309
ko:K14233	her:C695_t08279
ko:K14233	her:C695_t08319
ko:K14233	her:C695_t08315
ko:K14218	her:C695_t08287
ko:K14223	her:C695_t08307
ko:K14219	her:C695_t08303
ko:K14219	her:C695_t08299
ko:K14232	her:C695_t08317
ko:K01155	her:C695_00445
ko:K02424	her:C695_04840
ko:K02030	her:C695_06060
ko:K07318	her:C695_06265
ko:K03559	her:C695_06925
ko:K09477	her:C695_00710
ko:K03559	her:C695_05830
ko:K12049	her:C695_00185
ko:K13689	her:C695_01095
ko:K12977	her:C695_00100
ko:K02003	her:C695_00890
ko:K12048	her:C695_00190
ko:K12052	her:C695_00175
ko:K12050	her:C695_00180
ko:K03191	her:C695_00340
ko:K13797	her:C695_06200
ko:K15845	her:C695_00040
ko:K15895	her:C695_01855
ko:K15896	her:C695_01655
ko:K14218	her:C695_t08283
ko:K14226	her:C695_t08295
ko:K14219	her:C695_t08297
ko:K01980	her:C695_r08347
ko:K01980	her:C695_r08349
ko:K14230	her:C695_t08301
ko:K14222	her:C695_t08313
ko:K01977	her:C695_r08343
ko:K01977	her:C695_r08345
ko:K11782	her:C695_04000
ko:K01738	her:C695_00525
ko:K01760	her:C695_00520
ko:K14234	her:C695_t08325
ko:K07316	her:C695_07900
ko:K02028	her:C695_06055
ko:K01990	her:C695_06310
ko:K17103	her:C695_05540
ko:K02484	her:C695_07050
ko:K02484	her:C695_00815
ko:K03559	her:C695_07505
ko:K00681	her:C695_05775
ko:K02847	her:C695_05380
ko:K01992	her:C695_07720
ko:K12087	her:C695_02680
ko:K12053	her:C695_00080
ko:K12053	her:C695_02345
ko:K17686	her:C695_07805
ko:K17686	her:C695_05545
ko:K01155	her:C695_01320
ko:K00971	her:C695_00195
