ko:K01006	pach:PAGK_1960
ko:K00930	pach:PAGK_0833
ko:K01755	pach:PAGK_0835
ko:K07735	pach:PAGK_0844
ko:K03070	pach:PAGK_0850
ko:K15371	pach:PAGK_0853
ko:K07053	pach:PAGK_0854
ko:K01867	pach:PAGK_0855
ko:K11738	pach:PAGK_0856
ko:K03657	pach:PAGK_0863
ko:K03426	pach:PAGK_0864
ko:K03581	pach:PAGK_0865
ko:K03582	pach:PAGK_0866
ko:K03583	pach:PAGK_0867
ko:K03657	pach:PAGK_0868
ko:K07043	pach:PAGK_0870
ko:K02034	pach:PAGK_0879
ko:K06949	pach:PAGK_0885
ko:K00800	pach:PAGK_0886
ko:K03088	pach:PAGK_0888
ko:K00164	pach:PAGK_0894
ko:K01586	pach:PAGK_0896
ko:K00003	pach:PAGK_0897
ko:K01733	pach:PAGK_0898
ko:K00872	pach:PAGK_0899
ko:K03628	pach:PAGK_0900
ko:K02909	pach:PAGK_0901
ko:K02835	pach:PAGK_0902
ko:K02493	pach:PAGK_0903
ko:K02108	pach:PAGK_0908
ko:K02110	pach:PAGK_0909
ko:K02109	pach:PAGK_0910
ko:K02113	pach:PAGK_0911
ko:K02111	pach:PAGK_0912
ko:K02115	pach:PAGK_0913
ko:K02112	pach:PAGK_0914
ko:K02114	pach:PAGK_0915
ko:K15034	pach:PAGK_0922
ko:K16264	pach:PAGK_0926
ko:K00382	pach:PAGK_0927
ko:K00790	pach:PAGK_0928
ko:K01126	pach:PAGK_0929
ko:K03820	pach:PAGK_0932
ko:K02429	pach:PAGK_0939
ko:K03977	pach:PAGK_0942
ko:K00945	pach:PAGK_0943
ko:K03432	pach:PAGK_0945
ko:K03433	pach:PAGK_0946
ko:K01421	pach:PAGK_0949
ko:K01783	pach:PAGK_0953
ko:K03500	pach:PAGK_0956
ko:K00604	pach:PAGK_0957
ko:K04066	pach:PAGK_0958
ko:K00789	pach:PAGK_0959
ko:K13038	pach:PAGK_0960
ko:K03060	pach:PAGK_0961
ko:K00942	pach:PAGK_0962
ko:K03723	pach:PAGK_0561
ko:K01689	pach:PAGK_0565
ko:K01524	pach:PAGK_0568
ko:K01207	pach:PAGK_0574
ko:K11737	pach:PAGK_0576
ko:K13288	pach:PAGK_0577
ko:K07107	pach:PAGK_0588
ko:K01972	pach:PAGK_0593
ko:K01808	pach:PAGK_0595
ko:K04567	pach:PAGK_0598
ko:K14347	pach:PAGK_0652
ko:K01462	pach:PAGK_0654
ko:K03733	pach:PAGK_0656
ko:K02967	pach:PAGK_0657
ko:K02357	pach:PAGK_0658
ko:K09903	pach:PAGK_0659
ko:K02838	pach:PAGK_0660
ko:K00981	pach:PAGK_0661
ko:K06941	pach:PAGK_0664
ko:K00262	pach:PAGK_0665
ko:K00099	pach:PAGK_0668
ko:K01881	pach:PAGK_0679
ko:K07090	pach:PAGK_0681
ko:K09748	pach:PAGK_0683
ko:K02600	pach:PAGK_0684
ko:K02519	pach:PAGK_0685
ko:K02834	pach:PAGK_0689
ko:K02781	pach:PAGK_0692
ko:K02000	pach:PAGK_0701
ko:K02001	pach:PAGK_0702
ko:K02002	pach:PAGK_0703
ko:K11753	pach:PAGK_0704
ko:K02956	pach:PAGK_0705
ko:K00962	pach:PAGK_0706
ko:K00215	pach:PAGK_0707
ko:K00156	pach:PAGK_0709
ko:K03655	pach:PAGK_0711
ko:K00954	pach:PAGK_0714
ko:K02034	pach:PAGK_0719
ko:K07040	pach:PAGK_0728
ko:K02911	pach:PAGK_0729
ko:K03685	pach:PAGK_0730
ko:K03110	pach:PAGK_0737
ko:K03106	pach:PAGK_0739
ko:K02959	pach:PAGK_0741
ko:K06960	pach:PAGK_0742
ko:K02860	pach:PAGK_0743
ko:K00554	pach:PAGK_0744
ko:K00239	pach:PAGK_0746
ko:K00240	pach:PAGK_0747
ko:K02884	pach:PAGK_0748
ko:K03100	pach:PAGK_0749
ko:K03470	pach:PAGK_0750
ko:K07460	pach:PAGK_0752
ko:K07391	pach:PAGK_0753
ko:K04096	pach:PAGK_0754
ko:K01647	pach:PAGK_0759
ko:K03811	pach:PAGK_0763
ko:K00765	pach:PAGK_0765
ko:K02520	pach:PAGK_0768
ko:K02916	pach:PAGK_0769
ko:K02887	pach:PAGK_0770
ko:K03437	pach:PAGK_0771
ko:K01889	pach:PAGK_0772
ko:K01890	pach:PAGK_0773
ko:K01012	pach:PAGK_0774
ko:K03402	pach:PAGK_0776
ko:K01866	pach:PAGK_0777
ko:K03523	pach:PAGK_0781
ko:K06442	pach:PAGK_0785
ko:K00858	pach:PAGK_0786
ko:K03631	pach:PAGK_0787
ko:K01937	pach:PAGK_0791
ko:K06178	pach:PAGK_0796
ko:K03116	pach:PAGK_0802
ko:K03118	pach:PAGK_0803
ko:K02500	pach:PAGK_0805
ko:K02503	pach:PAGK_0806
ko:K01653	pach:PAGK_0808
ko:K00053	pach:PAGK_0809
ko:K03545	pach:PAGK_0606
ko:K01358	pach:PAGK_0608
ko:K01358	pach:PAGK_0609
ko:K03544	pach:PAGK_0610
ko:K01873	pach:PAGK_0614
ko:K01057	pach:PAGK_0617
ko:K00036	pach:PAGK_0619
ko:K02259	pach:PAGK_0622
ko:K15987	pach:PAGK_0625
ko:K15772	pach:PAGK_0627
ko:K15771	pach:PAGK_0628
ko:K09014	pach:PAGK_0631
ko:K09015	pach:PAGK_0632
ko:K09013	pach:PAGK_0634
ko:K11717	pach:PAGK_0635
ko:K00563	pach:PAGK_0643
ko:K00208	pach:PAGK_0647
ko:K02013	pach:PAGK_0649
ko:K07106	pach:PAGK_1013
ko:K00266	pach:PAGK_1018
ko:K01223	pach:PAGK_1008
ko:K01695	pach:PAGK_1021
ko:K01696	pach:PAGK_1022
ko:K01609	pach:PAGK_1023
ko:K02434	pach:PAGK_1029
ko:K02435	pach:PAGK_1031
ko:K00566	pach:PAGK_1036
ko:K04487	pach:PAGK_1037
ko:K16147	pach:PAGK_1039
ko:K05343	pach:PAGK_1040
ko:K05838	pach:PAGK_1047
ko:K05606	pach:PAGK_1049
ko:K00895	pach:PAGK_1063
ko:K07058	pach:PAGK_1065
ko:K08999	pach:PAGK_1067
ko:K02437	pach:PAGK_1070
ko:K00995	pach:PAGK_1075
ko:K01868	pach:PAGK_1077
ko:K13979	pach:PAGK_1080
ko:K01667	pach:PAGK_1083
ko:K03684	pach:PAGK_1088
ko:K01662	pach:PAGK_1089
ko:K01681	pach:PAGK_1090
ko:K03686	pach:PAGK_1950
ko:K03687	pach:PAGK_1951
ko:K04043	pach:PAGK_1952
ko:K03306	pach:PAGK_1954
ko:K09773	pach:PAGK_1961
ko:K01079	pach:PAGK_1963
ko:K01792	pach:PAGK_1964
ko:K00627	pach:PAGK_1985
ko:K00162	pach:PAGK_1986
ko:K00161	pach:PAGK_1987
ko:K00231	pach:PAGK_1988
ko:K09780	pach:PAGK_2011
ko:K00886	pach:PAGK_2018
ko:K02919	pach:PAGK_2020
ko:K01887	pach:PAGK_2026
ko:K01810	pach:PAGK_2030
ko:K01625	pach:PAGK_2032
ko:K04047	pach:PAGK_2033
ko:K07089	pach:PAGK_2044
ko:K03980	pach:PAGK_2046
ko:K00928	pach:PAGK_2047
ko:K05520	pach:PAGK_2050
ko:K02469	pach:PAGK_1106
ko:K07791	pach:PAGK_1108
ko:K02470	pach:PAGK_1109
ko:K02356	pach:PAGK_0965
ko:K07282	pach:PAGK_0968
ko:K01735	pach:PAGK_0969
ko:K00891	pach:PAGK_0970
ko:K01736	pach:PAGK_0971
ko:K00014	pach:PAGK_0972
ko:K07082	pach:PAGK_0973
ko:K07447	pach:PAGK_0974
ko:K01872	pach:PAGK_0975
ko:K07478	pach:PAGK_0977
ko:K03625	pach:PAGK_0964
ko:K01876	pach:PAGK_0978
ko:K01892	pach:PAGK_0984
ko:K10716	pach:PAGK_0988
ko:K00759	pach:PAGK_0989
ko:K03074	pach:PAGK_0990
ko:K03072	pach:PAGK_0991
ko:K03210	pach:PAGK_0992
ko:K03551	pach:PAGK_0993
ko:K03550	pach:PAGK_0994
ko:K01159	pach:PAGK_0995
ko:K02501	pach:PAGK_0998
ko:K01693	pach:PAGK_0999
ko:K00817	pach:PAGK_1000
ko:K00013	pach:PAGK_1001
ko:K02337	pach:PAGK_1003
ko:K02759	pach:PAGK_1005
ko:K02761	pach:PAGK_1006
ko:K02760	pach:PAGK_1007
ko:K00975	pach:PAGK_1489
ko:K03762	pach:PAGK_1495
ko:K00613	pach:PAGK_1497
ko:K00325	pach:PAGK_1503
ko:K00324	pach:PAGK_1504
ko:K03823	pach:PAGK_1505
ko:K07101	pach:PAGK_1506
ko:K13821	pach:PAGK_1509
ko:K02003	pach:PAGK_1517
ko:K01818	pach:PAGK_1519
ko:K01818	pach:PAGK_1520
ko:K02029	pach:PAGK_1527
ko:K14645	pach:PAGK_1530
ko:K11733	pach:PAGK_1539
ko:K11065	pach:PAGK_1540
ko:K03402	pach:PAGK_1544
ko:K00926	pach:PAGK_1545
ko:K00611	pach:PAGK_1546
ko:K03758	pach:PAGK_1548
ko:K06942	pach:PAGK_1555
ko:K09760	pach:PAGK_1557
ko:K03527	pach:PAGK_1558
ko:K03601	pach:PAGK_1561
ko:K03602	pach:PAGK_1562
ko:K07175	pach:PAGK_1564
ko:K11068	pach:PAGK_1565
ko:K06888	pach:PAGK_1567
ko:K03624	pach:PAGK_1569
ko:K03648	pach:PAGK_1572
ko:K03308	pach:PAGK_1573
ko:K14161	pach:PAGK_1581
ko:K03564	pach:PAGK_1589
ko:K02346	pach:PAGK_1599
ko:K00989	pach:PAGK_1603
ko:K01776	pach:PAGK_1604
ko:K04758	pach:PAGK_1605
ko:K04759	pach:PAGK_1606
ko:K00763	pach:PAGK_1609
ko:K03530	pach:PAGK_1610
ko:K00705	pach:PAGK_1611
ko:K03786	pach:PAGK_1614
ko:K09791	pach:PAGK_1617
ko:K01588	pach:PAGK_1630
ko:K01589	pach:PAGK_1631
ko:K03524	pach:PAGK_1634
ko:K06287	pach:PAGK_1638
ko:K00868	pach:PAGK_1642
ko:K03284	pach:PAGK_1645
ko:K00382	pach:PAGK_1650
ko:K00876	pach:PAGK_1654
ko:K02358	pach:PAGK_1792
ko:K02355	pach:PAGK_1794
ko:K02992	pach:PAGK_1795
ko:K02950	pach:PAGK_1796
ko:K03046	pach:PAGK_1800
ko:K03043	pach:PAGK_1801
ko:K02935	pach:PAGK_1802
ko:K02864	pach:PAGK_1803
ko:K02863	pach:PAGK_1804
ko:K02867	pach:PAGK_1805
ko:K02601	pach:PAGK_1806
ko:K00075	pach:PAGK_1809
ko:K02913	pach:PAGK_1812
ko:K01142	pach:PAGK_1813
