ko:K02495	sene:IA1_19455
ko:K02867	sene:IA1_20180
ko:K02863	sene:IA1_20185
ko:K02864	sene:IA1_20190
ko:K02935	sene:IA1_20195
ko:K03043	sene:IA1_20200
ko:K03046	sene:IA1_20205
ko:K08316	sene:IA1_17325
ko:K05539	sene:IA1_20655
ko:K01775	sene:IA1_20675
ko:K00832	sene:IA1_20680
ko:K03788	sene:IA1_20685
ko:K03701	sene:IA1_20710
ko:K01483	sene:IA1_02725
ko:K10973	sene:IA1_02730
ko:K01608	sene:IA1_02735
ko:K10975	sene:IA1_02755
ko:K01466	sene:IA1_02760
ko:K00865	sene:IA1_02770
ko:K14977	sene:IA1_02775
ko:K02083	sene:IA1_02780
ko:K16053	sene:IA1_03025
ko:K12686	sene:IA1_03030
ko:K10679	sene:IA1_03035
ko:K06048	sene:IA1_03060
ko:K02362	sene:IA1_03065
ko:K07214	sene:IA1_03075
ko:K02364	sene:IA1_03085
ko:K02013	sene:IA1_03095
ko:K02015	sene:IA1_03100
ko:K02015	sene:IA1_03105
ko:K08225	sene:IA1_03110
ko:K02016	sene:IA1_03115
ko:K02361	sene:IA1_03120
ko:K02363	sene:IA1_03125
ko:K01252	sene:IA1_03130
ko:K00216	sene:IA1_03135
ko:K06200	sene:IA1_03145
ko:K08317	sene:IA1_03155
ko:K14287	sene:IA1_03160
ko:K03805	sene:IA1_03180
ko:K03386	sene:IA1_03185
ko:K03387	sene:IA1_03190
ko:K11932	sene:IA1_03215
ko:K06140	sene:IA1_03225
ko:K01169	sene:IA1_03230
ko:K09477	sene:IA1_03240
ko:K05966	sene:IA1_03245
ko:K05964	sene:IA1_03250
ko:K01643	sene:IA1_03255
ko:K01644	sene:IA1_03260
ko:K01646	sene:IA1_03265
ko:K01910	sene:IA1_03270
ko:K07700	sene:IA1_03275
ko:K07702	sene:IA1_03280
ko:K03326	sene:IA1_03285
ko:K12973	sene:IA1_03290
ko:K03704	sene:IA1_03295
ko:K06199	sene:IA1_03300
ko:K03618	sene:IA1_07585
ko:K03619	sene:IA1_07590
ko:K04653	sene:IA1_07595
ko:K03620	sene:IA1_07605
ko:K06281	sene:IA1_07610
ko:K06282	sene:IA1_07615
ko:K02529	sene:IA1_07695
ko:K03315	sene:IA1_07700
ko:K14155	sene:IA1_07705
ko:K06044	sene:IA1_07715
ko:K04063	sene:IA1_07735
ko:K02972	sene:IA1_07745
ko:K00027	sene:IA1_07750
ko:K13953	sene:IA1_07755
ko:K08350	sene:IA1_07760
ko:K08349	sene:IA1_07765
ko:K16076	sene:IA1_07785
ko:K08167	sene:IA1_07795
ko:K02575	sene:IA1_07805
ko:K00370	sene:IA1_07810
ko:K00371	sene:IA1_07815
ko:K00373	sene:IA1_07820
ko:K00374	sene:IA1_07825
ko:K00675	sene:IA1_07835
ko:K11738	sene:IA1_07845
ko:K01885	sene:IA1_12055
ko:K11537	sene:IA1_12090
ko:K03815	sene:IA1_12095
ko:K14347	sene:IA1_12110
ko:K09954	sene:IA1_12115
ko:K01972	sene:IA1_12120
ko:K03528	sene:IA1_12125
ko:K06203	sene:IA1_12130
ko:K01738	sene:IA1_12135
ko:K02784	sene:IA1_12145
ko:K08483	sene:IA1_12150
ko:K00868	sene:IA1_12165
ko:K01951	sene:IA1_12175
ko:K12339	sene:IA1_12190
ko:K02045	sene:IA1_12195
ko:K02047	sene:IA1_12200
ko:K02046	sene:IA1_12205
ko:K02048	sene:IA1_12210
ko:K07223	sene:IA1_12220
ko:K01448	sene:IA1_12240
ko:K00228	sene:IA1_12245
ko:K04033	sene:IA1_12255
ko:K04025	sene:IA1_12260
ko:K04026	sene:IA1_12265
ko:K03736	sene:IA1_12270
ko:K03735	sene:IA1_12275
ko:K04019	sene:IA1_12280
ko:K04023	sene:IA1_12285
ko:K04022	sene:IA1_12290
ko:K04024	sene:IA1_12295
ko:K04021	sene:IA1_12300
ko:K04027	sene:IA1_12310
ko:K04020	sene:IA1_12315
ko:K04032	sene:IA1_12320
ko:K04030	sene:IA1_12325
ko:K03499	sene:IA1_16535
ko:K03282	sene:IA1_16540
ko:K02879	sene:IA1_16555
ko:K03040	sene:IA1_16560
ko:K02986	sene:IA1_16565
ko:K02948	sene:IA1_16570
ko:K02952	sene:IA1_16575
ko:K03076	sene:IA1_16580
ko:K02876	sene:IA1_16585
ko:K02907	sene:IA1_16590
ko:K02988	sene:IA1_16595
ko:K02881	sene:IA1_16600
ko:K02933	sene:IA1_16605
ko:K02994	sene:IA1_16610
ko:K02954	sene:IA1_16615
ko:K02931	sene:IA1_16620
ko:K02895	sene:IA1_16625
ko:K02874	sene:IA1_16630
ko:K02961	sene:IA1_16635
ko:K02904	sene:IA1_16640
ko:K03425	sene:IA1_03310
ko:K03644	sene:IA1_03315
ko:K03801	sene:IA1_03325
ko:K09158	sene:IA1_03330
ko:K07258	sene:IA1_03335
ko:K03642	sene:IA1_03340
ko:K05837	sene:IA1_03345
ko:K05515	sene:IA1_03350
ko:K00783	sene:IA1_03355
ko:K09710	sene:IA1_03360
ko:K04720	sene:IA1_03375
ko:K00969	sene:IA1_03380
ko:K02340	sene:IA1_03385
ko:K03643	sene:IA1_03390
ko:K01869	sene:IA1_03395
ko:K16849	sene:IA1_03400
ko:K16850	sene:IA1_03405
ko:K07126	sene:IA1_03425
ko:K04045	sene:IA1_03450
ko:K01250	sene:IA1_03460
ko:K10004	sene:IA1_03465
ko:K10002	sene:IA1_03470
ko:K10003	sene:IA1_03475
ko:K10001	sene:IA1_03480
ko:K03820	sene:IA1_03485
ko:K06189	sene:IA1_03490
ko:K07042	sene:IA1_03495
ko:K06168	sene:IA1_03505
ko:K03184	sene:IA1_03510
ko:K01953	sene:IA1_03530
ko:K02566	sene:IA1_03535
ko:K02565	sene:IA1_03540
ko:K01443	sene:IA1_03545
ko:K02564	sene:IA1_03550
ko:K02802	sene:IA1_03555
ko:K02803	sene:IA1_03555
ko:K02804	sene:IA1_03555
ko:K01886	sene:IA1_03560
ko:K03288	sene:IA1_03575
ko:K13795	sene:IA1_03580
ko:K02014	sene:IA1_07860
ko:K03823	sene:IA1_07875
ko:K09936	sene:IA1_07880
ko:K00137	sene:IA1_07915
ko:K08641	sene:IA1_07925
ko:K08303	sene:IA1_07945
ko:K05782	sene:IA1_07955
ko:K16868	sene:IA1_07965
ko:K03304	sene:IA1_07970
ko:K03817	sene:IA1_07980
ko:K02774	sene:IA1_07990
ko:K02775	sene:IA1_07995
ko:K06971	sene:IA1_08000
ko:K02773	sene:IA1_08005
ko:K14587	sene:IA1_08010
ko:K03929	sene:IA1_08040
ko:K05876	sene:IA1_08055
ko:K00121	sene:IA1_08060
ko:K02030	sene:IA1_08090
ko:K02029	sene:IA1_08095
ko:K02028	sene:IA1_08100
ko:K02029	sene:IA1_08105
ko:K12262	sene:IA1_08125
ko:K03578	sene:IA1_08135
ko:K01118	sene:IA1_08140
ko:K04029	sene:IA1_12330
ko:K04031	sene:IA1_12335
ko:K00029	sene:IA1_12340
ko:K00616	sene:IA1_12345
ko:K00615	sene:IA1_12350
ko:K12945	sene:IA1_12365
ko:K07674	sene:IA1_12385
ko:K01439	sene:IA1_12400
ko:K06957	sene:IA1_12410
ko:K07054	sene:IA1_12415
ko:K01923	sene:IA1_12420
ko:K07287	sene:IA1_12425
ko:K01714	sene:IA1_12430
ko:K03567	sene:IA1_12435
ko:K03564	sene:IA1_12440
ko:K00865	sene:IA1_12445
ko:K03299	sene:IA1_12450
ko:K02647	sene:IA1_12455
ko:K03548	sene:IA1_12460
ko:K10763	sene:IA1_12475
ko:K02824	sene:IA1_12480
ko:K00761	sene:IA1_12485
ko:K01933	sene:IA1_12490
ko:K11175	sene:IA1_12495
ko:K00937	sene:IA1_12500
ko:K01524	sene:IA1_12505
ko:K01951	sene:IA1_12535
ko:K00088	sene:IA1_12540
ko:K03601	sene:IA1_12545
ko:K13735	sene:IA1_12575
ko:K03977	sene:IA1_12585
ko:K17713	sene:IA1_12590
ko:K01892	sene:IA1_12600
ko:K15539	sene:IA1_12610
ko:K10914	sene:IA1_16810
ko:K01664	sene:IA1_16825
ko:K04095	sene:IA1_16830
ko:K06141	sene:IA1_16845
ko:K00362	sene:IA1_16850
ko:K00363	sene:IA1_16855
ko:K02598	sene:IA1_16860
ko:K02302	sene:IA1_16865
ko:K12516	sene:IA1_16870
ko:K01867	sene:IA1_16880
ko:K01091	sene:IA1_16885
ko:K01783	sene:IA1_16890
ko:K03112	sene:IA1_16900
ko:K01735	sene:IA1_16905
ko:K00891	sene:IA1_16910
ko:K02507	sene:IA1_16915
ko:K12291	sene:IA1_16920
ko:K12290	sene:IA1_16925
ko:K12289	sene:IA1_16930
ko:K12288	sene:IA1_16935
ko:K05366	sene:IA1_16940
ko:K08312	sene:IA1_16945
ko:K04762	sene:IA1_16960
ko:K04083	sene:IA1_16965
ko:K01610	sene:IA1_16975
ko:K07638	sene:IA1_16980
ko:K07659	sene:IA1_16985
ko:K04760	sene:IA1_16990
ko:K06959	sene:IA1_16995
ko:K04758	sene:IA1_17000
ko:K04759	sene:IA1_17005
ko:K07490	sene:IA1_17010
ko:K02170	sene:IA1_17020
ko:K06155	sene:IA1_17035
ko:K00705	sene:IA1_17040
ko:K00688	sene:IA1_17045
ko:K03556	sene:IA1_17050
ko:K01974	sene:IA1_17060
ko:K14415	sene:IA1_17065
ko:K14414	sene:IA1_17075
ko:K02444	sene:IA1_17080
ko:K02441	sene:IA1_17085
ko:K12573	sene:IA1_21290
ko:K03218	sene:IA1_21295
ko:K09980	sene:IA1_21300
ko:K10716	sene:IA1_21310
ko:K08989	sene:IA1_21320
ko:K09456	sene:IA1_21335
ko:K06889	sene:IA1_21350
ko:K03477	sene:IA1_21355
ko:K03476	sene:IA1_21360
ko:K03475	sene:IA1_21365
ko:K02822	sene:IA1_21370
ko:K02821	sene:IA1_21375
ko:K03078	sene:IA1_21380
ko:K03079	sene:IA1_21385
ko:K03077	sene:IA1_21390
ko:K02990	sene:IA1_21400
ko:K02686	sene:IA1_21405
ko:K02963	sene:IA1_21410
ko:K02939	sene:IA1_21415
ko:K07269	sene:IA1_21425
ko:K03773	sene:IA1_21430
ko:K11737	sene:IA1_21435
ko:K07322	sene:IA1_21440
ko:K01119	sene:IA1_21460
ko:K01082	sene:IA1_21465
ko:K07109	sene:IA1_21470
ko:K07304	sene:IA1_21485
ko:K07278	sene:IA1_21490
ko:K09800	sene:IA1_21495
ko:K01507	sene:IA1_21515
ko:K03841	sene:IA1_21520
ko:K02558	sene:IA1_21525
ko:K03337	sene:IA1_21555
ko:K00140	sene:IA1_21560
ko:K03335	sene:IA1_21570
ko:K07400	sene:IA1_17030
ko:K08682	sene:IA1_02160
ko:K07568	sene:IA1_02165
ko:K00773	sene:IA1_02170
ko:K03210	sene:IA1_02175
ko:K03072	sene:IA1_02180
ko:K03074	sene:IA1_02185
ko:K06996	sene:IA1_02190
ko:K05517	sene:IA1_02210
ko:K07738	sene:IA1_02220
ko:K11752	sene:IA1_02225
ko:K00794	sene:IA1_02230
ko:K03625	sene:IA1_02235
ko:K00946	sene:IA1_02240
ko:K01095	sene:IA1_02245
ko:K01662	sene:IA1_02255
ko:K00795	sene:IA1_02260
ko:K03602	sene:IA1_02265
ko:K03151	sene:IA1_02270
ko:K11082	sene:IA1_02275
ko:K11083	sene:IA1_02280
ko:K11084	sene:IA1_02285
ko:K11081	sene:IA1_02290
ko:K03430	sene:IA1_02305
ko:K05306	sene:IA1_02310
ko:K03152	sene:IA1_02315
ko:K00077	sene:IA1_02320
ko:K09767	sene:IA1_02325
ko:K02300	sene:IA1_02350
ko:K02299	sene:IA1_02355
ko:K02298	sene:IA1_02360
ko:K02297	sene:IA1_02365
ko:K08218	sene:IA1_02370
ko:K07286	sene:IA1_02375
ko:K05527	sene:IA1_02380
ko:K03545	sene:IA1_02385
ko:K01358	sene:IA1_02390
ko:K03544	sene:IA1_02395
ko:K01338	sene:IA1_02400
ko:K03530	sene:IA1_02405
ko:K03770	sene:IA1_02410
ko:K02237	sene:IA1_02415
ko:K12500	sene:IA1_02420
ko:K06920	sene:IA1_02425
ko:K06956	sene:IA1_06745
ko:K05997	sene:IA1_06750
ko:K09014	sene:IA1_06755
ko:K09013	sene:IA1_06760
ko:K09015	sene:IA1_06765
ko:K11717	sene:IA1_06770
ko:K02426	sene:IA1_06775
ko:K06078	sene:IA1_06790
ko:K00873	sene:IA1_06795
ko:K01259	sene:IA1_06805
ko:K08357	sene:IA1_06820
ko:K08359	sene:IA1_06825
ko:K08358	sene:IA1_06830
ko:K13040	sene:IA1_06835
ko:K13041	sene:IA1_06840
ko:K14979	sene:IA1_06860
ko:K14978	sene:IA1_06865
ko:K03219	sene:IA1_06875
ko:K03220	sene:IA1_06880
ko:K15344	sene:IA1_06895
ko:K15368	sene:IA1_06900
ko:K15345	sene:IA1_06905
ko:K15346	sene:IA1_06910
ko:K15350	sene:IA1_06925
ko:K03221	sene:IA1_06935
ko:K03222	sene:IA1_06950
ko:K03230	sene:IA1_06975
ko:K03224	sene:IA1_06980
ko:K03225	sene:IA1_06995
ko:K03226	sene:IA1_07000
ko:K03227	sene:IA1_07005
ko:K03228	sene:IA1_07010
ko:K02567	sene:IA1_11255
ko:K02570	sene:IA1_11260
ko:K02572	sene:IA1_11265
ko:K08276	sene:IA1_11270
ko:K06159	sene:IA1_11275
ko:K03919	sene:IA1_11280
ko:K10778	sene:IA1_11285
ko:K03734	sene:IA1_11290
ko:K09475	sene:IA1_11295
ko:K07676	sene:IA1_11300
ko:K07687	sene:IA1_11305
ko:K07677	sene:IA1_11310
ko:K02469	sene:IA1_11315
ko:K00568	sene:IA1_11335
ko:K11107	sene:IA1_11350
ko:K01126	sene:IA1_11365
ko:K02445	sene:IA1_11370
ko:K00111	sene:IA1_11375
ko:K00112	sene:IA1_11380
ko:K00113	sene:IA1_11385
ko:K12660	sene:IA1_11400
ko:K12661	sene:IA1_11410
ko:K12944	sene:IA1_11430
ko:K07806	sene:IA1_11440
ko:K10012	sene:IA1_11445
ko:K10011	sene:IA1_11450
ko:K13014	sene:IA1_11455
ko:K07264	sene:IA1_11460
ko:K12962	sene:IA1_11465
ko:K12963	sene:IA1_11470
ko:K01911	sene:IA1_11480
ko:K02549	sene:IA1_11485
ko:K01661	sene:IA1_11490
ko:K08680	sene:IA1_11495
ko:K03149	sene:IA1_20230
ko:K03154	sene:IA1_20235
ko:K03148	sene:IA1_20240
ko:K00788	sene:IA1_20245
ko:K03147	sene:IA1_20250
ko:K07740	sene:IA1_20255
ko:K03426	sene:IA1_20260
ko:K01599	sene:IA1_20265
ko:K05982	sene:IA1_20270
ko:K09891	sene:IA1_20275
ko:K05787	sene:IA1_20280
ko:K07803	sene:IA1_20290
ko:K03150	sene:IA1_20225
ko:K07709	sene:IA1_20295
ko:K01945	sene:IA1_20305
ko:K00602	sene:IA1_20310
ko:K03827	sene:IA1_20335
ko:K00651	sene:IA1_20340
ko:K01638	sene:IA1_20345
ko:K01637	sene:IA1_20350
ko:K00906	sene:IA1_20355
ko:K13641	sene:IA1_20365
ko:K00548	sene:IA1_20370
ko:K03324	sene:IA1_20375
ko:K05995	sene:IA1_20380
ko:K09912	sene:IA1_20385
ko:K06182	sene:IA1_20390
ko:K03453	sene:IA1_20400
ko:K11938	sene:IA1_02435
ko:K01738	sene:IA1_02440
ko:K05800	sene:IA1_02445
ko:K04752	sene:IA1_02460
ko:K03320	sene:IA1_02465
ko:K10805	sene:IA1_02470
ko:K09914	sene:IA1_02475
ko:K07443	sene:IA1_02480
ko:K02909	sene:IA1_02490
ko:K02919	sene:IA1_02495
ko:K03577	sene:IA1_02530
ko:K05802	sene:IA1_02535
ko:K04067	sene:IA1_02550
ko:K09790	sene:IA1_02555
ko:K00759	sene:IA1_02560
ko:K02343	sene:IA1_02565
ko:K09747	sene:IA1_02570
ko:K06187	sene:IA1_02575
ko:K04079	sene:IA1_02580
ko:K00939	sene:IA1_02585
ko:K01772	sene:IA1_02590
ko:K00892	sene:IA1_02600
ko:K03455	sene:IA1_02605
ko:K08223	sene:IA1_02615
ko:K11751	sene:IA1_02620
ko:K09973	sene:IA1_02630
ko:K17686	sene:IA1_02640
ko:K07340	sene:IA1_02650
ko:K02068	sene:IA1_02660
ko:K02069	sene:IA1_02665
ko:K05838	sene:IA1_02670
ko:K10804	sene:IA1_02680
ko:K02003	sene:IA1_02685
ko:K02004	sene:IA1_02690
ko:K02073	sene:IA1_02700
ko:K02071	sene:IA1_02705
ko:K02072	sene:IA1_02710
ko:K06917	sene:IA1_02715
ko:K10972	sene:IA1_02720
ko:K03229	sene:IA1_07015
ko:K03327	sene:IA1_07030
ko:K00793	sene:IA1_07035
ko:K00574	sene:IA1_07040
ko:K03604	sene:IA1_07055
ko:K04564	sene:IA1_07065
ko:K07390	sene:IA1_07075
ko:K03683	sene:IA1_07080
ko:K01759	sene:IA1_07085
ko:K10680	sene:IA1_07090
ko:K16137	sene:IA1_07095
ko:K06075	sene:IA1_07125
ko:K06077	sene:IA1_07130
ko:K09001	sene:IA1_07135
ko:K00275	sene:IA1_07145
ko:K01866	sene:IA1_07150
ko:K00868	sene:IA1_07155
ko:K00799	sene:IA1_07160
ko:K03305	sene:IA1_07165
ko:K10773	sene:IA1_07170
ko:K03613	sene:IA1_07175
ko:K03612	sene:IA1_07180
ko:K03614	sene:IA1_07185
ko:K03616	sene:IA1_07195
ko:K03617	sene:IA1_07200
ko:K01488	sene:IA1_07225
ko:K14155	sene:IA1_07230
ko:K16136	sene:IA1_07240
ko:K01809	sene:IA1_07250
ko:K01676	sene:IA1_07255
ko:K01679	sene:IA1_07260
ko:K07639	sene:IA1_07270
ko:K14062	sene:IA1_07280
ko:K07661	sene:IA1_07290
ko:K02348	sene:IA1_11515
ko:K00784	sene:IA1_11520
ko:K03415	sene:IA1_11525
ko:K07114	sene:IA1_11530
ko:K00343	sene:IA1_11540
ko:K00342	sene:IA1_11545
ko:K00341	sene:IA1_11550
ko:K00340	sene:IA1_11555
ko:K00339	sene:IA1_11560
ko:K00338	sene:IA1_11565
ko:K00337	sene:IA1_11570
ko:K13378	sene:IA1_11590
ko:K00331	sene:IA1_11595
ko:K00330	sene:IA1_11600
ko:K14260	sene:IA1_11615
ko:K09161	sene:IA1_11635
ko:K09899	sene:IA1_11640
ko:K00334	sene:IA1_11585
ko:K00925	sene:IA1_11645
ko:K13788	sene:IA1_11650
ko:K00615	sene:IA1_11660
ko:K00615	sene:IA1_11665
ko:K03475	sene:IA1_11670
ko:K02822	sene:IA1_11675
ko:K02821	sene:IA1_11680
ko:K07095	sene:IA1_11700
ko:K07071	sene:IA1_11715
ko:K10017	sene:IA1_11720
ko:K10015	sene:IA1_11725
ko:K10016	sene:IA1_11730
ko:K10013	sene:IA1_11740
ko:K03186	sene:IA1_11750
ko:K01586	sene:IA1_11770
ko:K06714	sene:IA1_11775
ko:K07259	sene:IA1_15975
ko:K03979	sene:IA1_15980
ko:K02899	sene:IA1_15990
ko:K02888	sene:IA1_15995
ko:K02523	sene:IA1_16000
ko:K00790	sene:IA1_16010
ko:K07122	sene:IA1_16020
ko:K07323	sene:IA1_16025
ko:K02067	sene:IA1_16030
ko:K02066	sene:IA1_16035
ko:K02065	sene:IA1_16040
ko:K07301	sene:IA1_16045
ko:K06041	sene:IA1_16050
ko:K03270	sene:IA1_16055
ko:K11719	sene:IA1_16060
ko:K09774	sene:IA1_16065
ko:K06861	sene:IA1_16070
ko:K03092	sene:IA1_16075
ko:K05808	sene:IA1_16080
ko:K02806	sene:IA1_16085
ko:K06958	sene:IA1_16090
ko:K03814	sene:IA1_16105
ko:K07648	sene:IA1_16115
ko:K07139	sene:IA1_16120
ko:K00265	sene:IA1_16130
ko:K00266	sene:IA1_16135
ko:K10974	sene:IA1_16145
ko:K00885	sene:IA1_16160
ko:K01788	sene:IA1_16165
ko:K03290	sene:IA1_16170
ko:K01639	sene:IA1_16175
ko:K03600	sene:IA1_16185
ko:K03599	sene:IA1_16190
ko:K02996	sene:IA1_16200
ko:K02871	sene:IA1_16205
ko:K06916	sene:IA1_16210
ko:K09908	sene:IA1_16215
ko:K04691	sene:IA1_16225
ko:K01572	sene:IA1_16235
ko:K01571	sene:IA1_16240
ko:K01573	sene:IA1_16245
ko:K00928	sene:IA1_20540
ko:K01810	sene:IA1_20545
ko:K13256	sene:IA1_20570
ko:K10110	sene:IA1_20575
ko:K10109	sene:IA1_20580
ko:K10108	sene:IA1_20585
ko:K10111	sene:IA1_20590
ko:K02024	sene:IA1_20595
ko:K05775	sene:IA1_20600
ko:K03181	sene:IA1_20605
ko:K03179	sene:IA1_20610
ko:K00631	sene:IA1_20615
ko:K00901	sene:IA1_20620
ko:K01356	sene:IA1_20625
ko:K03327	sene:IA1_20630
ko:K09823	sene:IA1_20645
ko:K00073	sene:IA1_02785
ko:K02381	sene:IA1_02790
ko:K00926	sene:IA1_02805
ko:K01589	sene:IA1_02810
ko:K01588	sene:IA1_02815
ko:K03269	sene:IA1_02820
ko:K03768	sene:IA1_02825
ko:K01883	sene:IA1_02830
ko:K07038	sene:IA1_02845
ko:K14761	sene:IA1_02850
ko:K01491	sene:IA1_02855
ko:K07345	sene:IA1_02860
ko:K07351	sene:IA1_02865
ko:K07346	sene:IA1_02870
ko:K07347	sene:IA1_02875
ko:K07350	sene:IA1_02880
ko:K07348	sene:IA1_02885
ko:K07688	sene:IA1_02890
ko:K08088	sene:IA1_02895
ko:K07644	sene:IA1_02985
ko:K11732	sene:IA1_03020
ko:K03758	sene:IA1_07300
ko:K00324	sene:IA1_07310
ko:K00325	sene:IA1_07315
ko:K11744	sene:IA1_07320
ko:K11743	sene:IA1_07330
ko:K11742	sene:IA1_07335
ko:K04775	sene:IA1_07340
ko:K08224	sene:IA1_07350
ko:K15545	sene:IA1_07360
ko:K01935	sene:IA1_07365
ko:K03281	sene:IA1_07370
ko:K05847	sene:IA1_07375
ko:K05846	sene:IA1_07380
ko:K05845	sene:IA1_07385
ko:K05846	sene:IA1_07390
ko:K07312	sene:IA1_07400
ko:K07307	sene:IA1_07405
ko:K07310	sene:IA1_07410
ko:K07309	sene:IA1_07415
ko:K00657	sene:IA1_07430
ko:K09771	sene:IA1_07440
ko:K08323	sene:IA1_07445
ko:K08322	sene:IA1_07450
ko:K00040	sene:IA1_07460
ko:K16066	sene:IA1_07475
ko:K01284	sene:IA1_07480
ko:K15268	sene:IA1_07510
ko:K13630	sene:IA1_07515
ko:K13632	sene:IA1_07520
ko:K03712	sene:IA1_07525
ko:K05595	sene:IA1_07530
ko:K08159	sene:IA1_07535
ko:K08324	sene:IA1_07545
ko:K01425	sene:IA1_07550
ko:K04651	sene:IA1_07575
ko:K00764	sene:IA1_11780
ko:K03558	sene:IA1_11785
ko:K03749	sene:IA1_11795
ko:K11754	sene:IA1_11800
ko:K01963	sene:IA1_11805
ko:K03975	sene:IA1_11810
ko:K06173	sene:IA1_11815
ko:K03473	sene:IA1_11825
ko:K00647	sene:IA1_11865
ko:K15461	sene:IA1_11870
ko:K09906	sene:IA1_11880
ko:K07090	sene:IA1_11885
ko:K07261	sene:IA1_11890
ko:K01736	sene:IA1_11895
ko:K07320	sene:IA1_11900
ko:K08296	sene:IA1_11910
ko:K01782	sene:IA1_11915
ko:K06076	sene:IA1_11930
ko:K04754	sene:IA1_11935
ko:K08477	sene:IA1_11950
ko:K08476	sene:IA1_11955
ko:K08475	sene:IA1_11960
ko:K08478	sene:IA1_11965
ko:K11382	sene:IA1_11970
ko:K12974	sene:IA1_11985
ko:K14261	sene:IA1_11990
ko:K00845	sene:IA1_11995
ko:K03322	sene:IA1_12020
ko:K11535	sene:IA1_12025
ko:K03780	sene:IA1_16250
ko:K03779	sene:IA1_16255
ko:K00024	sene:IA1_16275
