ko:K19079	sauq:SAI4T8_1005110
ko:K07084	sauq:SAI4T8_1006600
ko:K05569	sauq:SAI4T8_1006620
ko:K05568	sauq:SAI4T8_1006630
ko:K05565	sauq:SAI4T8_1006640
ko:K03768	sauq:SAI4T8_1006660
ko:K00819	sauq:SAI4T8_1006680
ko:K00260	sauq:SAI4T8_1006690
ko:K01126	sauq:SAI4T8_1006700
ko:K01755	sauq:SAI4T8_1006710
ko:K01940	sauq:SAI4T8_1006720
ko:K01810	sauq:SAI4T8_1006730
ko:K03100	sauq:SAI4T8_1006750
ko:K03100	sauq:SAI4T8_1006760
ko:K16899	sauq:SAI4T8_1006770
ko:K16898	sauq:SAI4T8_1006780
ko:K08255	sauq:SAI4T8_1006800
ko:K00796	sauq:SAI4T8_1003820
ko:K04567	sauq:SAI4T8_1003830
ko:K00375	sauq:SAI4T8_1003950
ko:K06215	sauq:SAI4T8_1003960
ko:K08681	sauq:SAI4T8_1003970
ko:K11535	sauq:SAI4T8_1003980
ko:K03708	sauq:SAI4T8_1003990
ko:K03696	sauq:SAI4T8_1004020
ko:K04485	sauq:SAI4T8_1004030
ko:K09698	sauq:SAI4T8_1004050
ko:K00640	sauq:SAI4T8_1004060
ko:K01883	sauq:SAI4T8_1004070
ko:K03218	sauq:SAI4T8_1004080
ko:K06962	sauq:SAI4T8_1004090
ko:K03091	sauq:SAI4T8_1004100
ko:K02601	sauq:SAI4T8_1004110
ko:K02863	sauq:SAI4T8_1004120
ko:K02864	sauq:SAI4T8_1004130
ko:K03043	sauq:SAI4T8_1004150
ko:K03046	sauq:SAI4T8_1004160
ko:K02992	sauq:SAI4T8_1004170
ko:K02355	sauq:SAI4T8_1004180
ko:K02358	sauq:SAI4T8_1004190
ko:K00639	sauq:SAI4T8_1004210
ko:K05523	sauq:SAI4T8_1004220
ko:K00853	sauq:SAI4T8_1004230
ko:K00826	sauq:SAI4T8_1004250
ko:K01091	sauq:SAI4T8_1004260
ko:K12553	sauq:SAI4T8_1011260
ko:K04564	sauq:SAI4T8_1011270
ko:K09816	sauq:SAI4T8_1011280
ko:K09817	sauq:SAI4T8_1011290
ko:K01151	sauq:SAI4T8_1011300
ko:K06967	sauq:SAI4T8_1011330
ko:K03086	sauq:SAI4T8_1011340
ko:K09773	sauq:SAI4T8_1011360
ko:K01880	sauq:SAI4T8_1011380
ko:K03584	sauq:SAI4T8_1011390
ko:K09761	sauq:SAI4T8_1011460
ko:K02687	sauq:SAI4T8_1011470
ko:K03686	sauq:SAI4T8_1011480
ko:K04043	sauq:SAI4T8_1011490
ko:K03687	sauq:SAI4T8_1011500
ko:K03705	sauq:SAI4T8_1011510
ko:K03596	sauq:SAI4T8_1011530
ko:K02340	sauq:SAI4T8_1011540
ko:K02238	sauq:SAI4T8_1011550
ko:K02237	sauq:SAI4T8_1011570
ko:K00969	sauq:SAI4T8_1011600
ko:K00014	sauq:SAI4T8_1011610
ko:K06948	sauq:SAI4T8_1011620
ko:K07015	sauq:SAI4T8_1011630
ko:K01243	sauq:SAI4T8_1011640
ko:K07160	sauq:SAI4T8_1011670
ko:K01961	sauq:SAI4T8_1011680
ko:K03624	sauq:SAI4T8_1011710
ko:K00876	sauq:SAI4T8_1011720
ko:K00567	sauq:SAI4T8_1018970
ko:K04086	sauq:SAI4T8_1018980
ko:K04759	sauq:SAI4T8_1018990
ko:K06994	sauq:SAI4T8_1019000
ko:K00294	sauq:SAI4T8_1019020
ko:K17686	sauq:SAI4T8_1019040
ko:K03778	sauq:SAI4T8_1019050
ko:K10209	sauq:SAI4T8_1019070
ko:K10208	sauq:SAI4T8_1019080
ko:K10211	sauq:SAI4T8_1019090
ko:K10210	sauq:SAI4T8_1019100
ko:K10212	sauq:SAI4T8_1019110
ko:K07035	sauq:SAI4T8_1019160
ko:K07045	sauq:SAI4T8_1019220
ko:K00226	sauq:SAI4T8_1019280
ko:K09765	sauq:SAI4T8_1019290
ko:K06978	sauq:SAI4T8_1019310
ko:K04763	sauq:SAI4T8_1019380
ko:K01918	sauq:SAI4T8_1019400
ko:K00606	sauq:SAI4T8_1019410
ko:K00077	sauq:SAI4T8_1019420
ko:K01575	sauq:SAI4T8_1019430
ko:K00016	sauq:SAI4T8_1019440
ko:K03294	sauq:SAI4T8_1019450
ko:K03695	sauq:SAI4T8_1006830
ko:K06910	sauq:SAI4T8_1006880
ko:K00648	sauq:SAI4T8_1006890
ko:K09458	sauq:SAI4T8_1006900
ko:K15581	sauq:SAI4T8_1006910
ko:K15582	sauq:SAI4T8_1006920
ko:K15583	sauq:SAI4T8_1006930
ko:K10823	sauq:SAI4T8_1006940
ko:K15580	sauq:SAI4T8_1006950
ko:K02035	sauq:SAI4T8_1006960
ko:K02033	sauq:SAI4T8_1006990
ko:K02034	sauq:SAI4T8_1007000
ko:K01867	sauq:SAI4T8_1007010
ko:K16511	sauq:SAI4T8_1007020
ko:K06198	sauq:SAI4T8_1007030
ko:K08602	sauq:SAI4T8_1007040
ko:K07816	sauq:SAI4T8_1007070
ko:K00858	sauq:SAI4T8_1007080
ko:K06180	sauq:SAI4T8_1007090
ko:K06213	sauq:SAI4T8_1007100
ko:K03455	sauq:SAI4T8_1007120
ko:K00208	sauq:SAI4T8_1007130
ko:K03310	sauq:SAI4T8_1007150
ko:K05362	sauq:SAI4T8_1007200
ko:K02837	sauq:SAI4T8_1007210
ko:K02250	sauq:SAI4T8_1007280
ko:K03800	sauq:SAI4T8_1007290
ko:K07052	sauq:SAI4T8_1007300
ko:K15519	sauq:SAI4T8_1004270
ko:K15518	sauq:SAI4T8_1004280
ko:K14194	sauq:SAI4T8_1004310
ko:K14194	sauq:SAI4T8_1004320
ko:K14194	sauq:SAI4T8_1004330
ko:K00712	sauq:SAI4T8_1004340
ko:K00712	sauq:SAI4T8_1004350
ko:K09007	sauq:SAI4T8_1004370
ko:K02564	sauq:SAI4T8_1004390
ko:K08093	sauq:SAI4T8_1004400
ko:K08094	sauq:SAI4T8_1004410
ko:K03762	sauq:SAI4T8_1004430
ko:K00626	sauq:SAI4T8_1004450
ko:K00868	sauq:SAI4T8_1004460
ko:K03648	sauq:SAI4T8_1004480
ko:K00625	sauq:SAI4T8_1004520
ko:K16869	sauq:SAI4T8_1004530
ko:K00869	sauq:SAI4T8_1004540
ko:K01597	sauq:SAI4T8_1004550
ko:K00938	sauq:SAI4T8_1004560
ko:K06885	sauq:SAI4T8_1004650
ko:K13953	sauq:SAI4T8_1004670
ko:K01887	sauq:SAI4T8_1004680
ko:K07457	sauq:SAI4T8_1004690
ko:K02016	sauq:SAI4T8_1004700
ko:K02015	sauq:SAI4T8_1004710
ko:K07025	sauq:SAI4T8_1004720
ko:K09936	sauq:SAI4T8_1004770
ko:K05565	sauq:SAI4T8_1004790
ko:K08303	sauq:SAI4T8_1011730
ko:K01872	sauq:SAI4T8_1011760
ko:K03581	sauq:SAI4T8_1011770
ko:K00566	sauq:SAI4T8_1011790
ko:K04487	sauq:SAI4T8_1011800
ko:K07478	sauq:SAI4T8_1011820
ko:K01876	sauq:SAI4T8_1011840
ko:K01892	sauq:SAI4T8_1011850
ko:K01448	sauq:SAI4T8_1011860
ko:K00951	sauq:SAI4T8_1011870
ko:K00759	sauq:SAI4T8_1011880
ko:K07462	sauq:SAI4T8_1011890
ko:K12257	sauq:SAI4T8_1011900
ko:K00773	sauq:SAI4T8_1011910
ko:K07568	sauq:SAI4T8_1011920
ko:K03551	sauq:SAI4T8_1011930
ko:K03550	sauq:SAI4T8_1011940
ko:K03979	sauq:SAI4T8_1011950
ko:K03571	sauq:SAI4T8_1011960
ko:K03570	sauq:SAI4T8_1011970
ko:K04763	sauq:SAI4T8_1012030
ko:K03630	sauq:SAI4T8_1012040
ko:K02236	sauq:SAI4T8_1012050
ko:K11754	sauq:SAI4T8_1012060
ko:K01873	sauq:SAI4T8_1012070
ko:K01246	sauq:SAI4T8_1012080
ko:K07120	sauq:SAI4T8_1012090
ko:K01845	sauq:SAI4T8_1012110
ko:K01698	sauq:SAI4T8_1012120
ko:K01719	sauq:SAI4T8_1012130
ko:K01749	sauq:SAI4T8_1012140
ko:K02497	sauq:SAI4T8_1012150
ko:K02492	sauq:SAI4T8_1012160
ko:K03978	sauq:SAI4T8_1012170
ko:K03544	sauq:SAI4T8_1012180
ko:K03545	sauq:SAI4T8_1012190
ko:K02313	sauq:SAI4T8_1000010
ko:K02338	sauq:SAI4T8_1000020
ko:K03629	sauq:SAI4T8_1000030
ko:K02470	sauq:SAI4T8_1000040
ko:K02469	sauq:SAI4T8_1000050
ko:K01745	sauq:SAI4T8_1000070
ko:K01875	sauq:SAI4T8_1000080
ko:K00641	sauq:SAI4T8_1000100
ko:K01939	sauq:SAI4T8_1000140
ko:K02003	sauq:SAI4T8_1007320
ko:K02016	sauq:SAI4T8_1007330
ko:K02548	sauq:SAI4T8_1007350
ko:K02552	sauq:SAI4T8_1007360
ko:K02551	sauq:SAI4T8_1007370
ko:K08680	sauq:SAI4T8_1007380
ko:K01661	sauq:SAI4T8_1007390
ko:K13715	sauq:SAI4T8_1007400
ko:K00841	sauq:SAI4T8_1007420
ko:K02828	sauq:SAI4T8_1007490
ko:K02827	sauq:SAI4T8_1007500
ko:K02826	sauq:SAI4T8_1007510
ko:K01491	sauq:SAI4T8_1007520
ko:K01588	sauq:SAI4T8_1007530
ko:K01589	sauq:SAI4T8_1007540
ko:K01923	sauq:SAI4T8_1007550
ko:K01952	sauq:SAI4T8_1007560
ko:K01952	sauq:SAI4T8_1007570
ko:K00764	sauq:SAI4T8_1007580
ko:K01933	sauq:SAI4T8_1007590
ko:K11175	sauq:SAI4T8_1007600
ko:K00602	sauq:SAI4T8_1007610
ko:K01945	sauq:SAI4T8_1007620
ko:K16785	sauq:SAI4T8_1007630
ko:K16786	sauq:SAI4T8_1007640
ko:K16787	sauq:SAI4T8_1007640
ko:K16925	sauq:SAI4T8_1007650
ko:K06969	sauq:SAI4T8_1007670
ko:K08483	sauq:SAI4T8_1007690
ko:K00425	sauq:SAI4T8_1007700
ko:K00426	sauq:SAI4T8_1007710
ko:K03499	sauq:SAI4T8_1007720
ko:K12574	sauq:SAI4T8_1007730
ko:K01462	sauq:SAI4T8_1007740
ko:K00161	sauq:SAI4T8_1007760
ko:K00162	sauq:SAI4T8_1007770
ko:K00627	sauq:SAI4T8_1007780
ko:K00382	sauq:SAI4T8_1007790
ko:K05568	sauq:SAI4T8_1004800
ko:K05569	sauq:SAI4T8_1004810
ko:K05571	sauq:SAI4T8_1004820
ko:K03316	sauq:SAI4T8_1004830
ko:K03709	sauq:SAI4T8_1004880
ko:K05946	sauq:SAI4T8_1004900
ko:K09693	sauq:SAI4T8_1004910
ko:K07258	sauq:SAI4T8_1004950
ko:K18104	sauq:SAI4T8_1004960
ko:K16323	sauq:SAI4T8_1004970
ko:K02013	sauq:SAI4T8_1004990
ko:K02015	sauq:SAI4T8_1005000
ko:K02015	sauq:SAI4T8_1005010
ko:K05878	sauq:SAI4T8_1005020
ko:K05879	sauq:SAI4T8_1005030
ko:K07220	sauq:SAI4T8_1005130
ko:K03306	sauq:SAI4T8_1005140
ko:K06890	sauq:SAI4T8_1005160
ko:K09705	sauq:SAI4T8_1005190
ko:K09793	sauq:SAI4T8_1005230
ko:K06966	sauq:SAI4T8_1005260
ko:K09768	sauq:SAI4T8_1005270
ko:K06153	sauq:SAI4T8_1005290
ko:K16013	sauq:SAI4T8_1005300
ko:K16012	sauq:SAI4T8_1005310
ko:K02520	sauq:SAI4T8_1012220
ko:K11733	sauq:SAI4T8_1012230
ko:K01868	sauq:SAI4T8_1012240
ko:K11144	sauq:SAI4T8_1012250
ko:K03346	sauq:SAI4T8_1012260
ko:K07738	sauq:SAI4T8_1012270
ko:K00134	sauq:SAI4T8_1012280
ko:K00859	sauq:SAI4T8_1012290
ko:K10563	sauq:SAI4T8_1012300
ko:K07636	sauq:SAI4T8_1012330
ko:K07658	sauq:SAI4T8_1012340
ko:K00031	sauq:SAI4T8_1012350
ko:K01647	sauq:SAI4T8_1012360
ko:K11737	sauq:SAI4T8_1012370
ko:K00873	sauq:SAI4T8_1012380
ko:K00850	sauq:SAI4T8_1012390
ko:K01962	sauq:SAI4T8_1012400
ko:K01963	sauq:SAI4T8_1012410
ko:K00027	sauq:SAI4T8_1012420
ko:K02337	sauq:SAI4T8_1012430
ko:K00259	sauq:SAI4T8_1012480
ko:K00925	sauq:SAI4T8_1012500
ko:K11065	sauq:SAI4T8_1012520
ko:K07090	sauq:SAI4T8_1012530
ko:K03151	sauq:SAI4T8_1012540
ko:K04487	sauq:SAI4T8_1012550
ko:K06286	sauq:SAI4T8_1012560
ko:K02986	sauq:SAI4T8_1012570
ko:K01126	sauq:SAI4T8_1012590
ko:K00058	sauq:SAI4T8_1012620
ko:K02803	sauq:SAI4T8_1012640
ko:K02804	sauq:SAI4T8_1012640
ko:K00655	sauq:SAI4T8_1012650
ko:K07668	sauq:SAI4T8_1000170
ko:K07652	sauq:SAI4T8_1000180
ko:K00783	sauq:SAI4T8_1000240
ko:K01126	sauq:SAI4T8_1000260
ko:K02545	sauq:SAI4T8_1000270
ko:K07090	sauq:SAI4T8_1000380
ko:K00712	sauq:SAI4T8_1000400
ko:K01929	sauq:SAI4T8_1000420
ko:K07090	sauq:SAI4T8_1000440
ko:K17218	sauq:SAI4T8_1000470
ko:K01771	sauq:SAI4T8_1000520
ko:K08170	sauq:SAI4T8_1000600
ko:K03324	sauq:SAI4T8_1000610
ko:K10254	sauq:SAI4T8_1000620
ko:K03303	sauq:SAI4T8_1000660
ko:K14196	sauq:SAI4T8_1000670
ko:K02015	sauq:SAI4T8_1000690
ko:K11072	sauq:SAI4T8_1007810
ko:K11071	sauq:SAI4T8_1007820
ko:K11070	sauq:SAI4T8_1007830
ko:K11069	sauq:SAI4T8_1007840
ko:K03322	sauq:SAI4T8_1007860
ko:K01092	sauq:SAI4T8_1007880
ko:K06207	sauq:SAI4T8_1007890
ko:K03588	sauq:SAI4T8_1007910
ko:K01958	sauq:SAI4T8_1007920
ko:K02259	sauq:SAI4T8_1007930
ko:K01126	sauq:SAI4T8_1007960
ko:K00954	sauq:SAI4T8_1007980
ko:K07040	sauq:SAI4T8_1008000
ko:K14193	sauq:SAI4T8_1008020
ko:K02016	sauq:SAI4T8_1008050
ko:K02015	sauq:SAI4T8_1008060
ko:K08600	sauq:SAI4T8_1008070
ko:K03437	sauq:SAI4T8_1008080
ko:K01889	sauq:SAI4T8_1008090
ko:K01890	sauq:SAI4T8_1008100
ko:K03471	sauq:SAI4T8_1008110
ko:K02347	sauq:SAI4T8_1008130
ko:K07456	sauq:SAI4T8_1008140
ko:K03703	sauq:SAI4T8_1008150
ko:K00241	sauq:SAI4T8_1008160
ko:K00239	sauq:SAI4T8_1008170
ko:K00240	sauq:SAI4T8_1008180
ko:K01776	sauq:SAI4T8_1008190
ko:K02428	sauq:SAI4T8_1008200
ko:K07095	sauq:SAI4T8_1008210
ko:K14200	sauq:SAI4T8_1008230
ko:K11032	sauq:SAI4T8_1008250
ko:K00611	sauq:SAI4T8_1008290
ko:K02015	sauq:SAI4T8_1000700
ko:K02016	sauq:SAI4T8_1000710
ko:K01586	sauq:SAI4T8_1000790
ko:K03366	sauq:SAI4T8_1000820
ko:K01784	sauq:SAI4T8_1000830
ko:K04564	sauq:SAI4T8_1000880
ko:K03784	sauq:SAI4T8_1000910
ko:K01619	sauq:SAI4T8_1000930
ko:K01839	sauq:SAI4T8_1000940
ko:K02042	sauq:SAI4T8_1000950
ko:K02042	sauq:SAI4T8_1000960
ko:K02041	sauq:SAI4T8_1000970
ko:K02044	sauq:SAI4T8_1000980
ko:K04072	sauq:SAI4T8_1001030
ko:K01104	sauq:SAI4T8_1001060
ko:K17716	sauq:SAI4T8_1001080
ko:K01791	sauq:SAI4T8_1001100
ko:K13012	sauq:SAI4T8_1001160
ko:K01784	sauq:SAI4T8_1001170
ko:K02472	sauq:SAI4T8_1001180
ko:K01791	sauq:SAI4T8_1001190
ko:K00926	sauq:SAI4T8_1008300
ko:K11041	sauq:SAI4T8_1008320
ko:K07025	sauq:SAI4T8_1008340
ko:K03438	sauq:SAI4T8_1008360
ko:K12552	sauq:SAI4T8_1008370
ko:K01000	sauq:SAI4T8_1008380
ko:K01925	sauq:SAI4T8_1008390
ko:K03589	sauq:SAI4T8_1008400
ko:K03590	sauq:SAI4T8_1008410
ko:K03531	sauq:SAI4T8_1008420
ko:K05810	sauq:SAI4T8_1008430
ko:K06997	sauq:SAI4T8_1008440
ko:K09772	sauq:SAI4T8_1008450
ko:K04074	sauq:SAI4T8_1008470
ko:K01870	sauq:SAI4T8_1008480
ko:K03101	sauq:SAI4T8_1008490
ko:K06180	sauq:SAI4T8_1008500
ko:K02825	sauq:SAI4T8_1008510
ko:K02824	sauq:SAI4T8_1008520
ko:K00609	sauq:SAI4T8_1008530
ko:K01465	sauq:SAI4T8_1008540
ko:K01956	sauq:SAI4T8_1008550
ko:K01955	sauq:SAI4T8_1008560
ko:K01591	sauq:SAI4T8_1008570
ko:K00762	sauq:SAI4T8_1008580
ko:K00942	sauq:SAI4T8_1008600
ko:K13038	sauq:SAI4T8_1008610
ko:K04066	sauq:SAI4T8_1008620
ko:K01462	sauq:SAI4T8_1008640
ko:K00604	sauq:SAI4T8_1008650
ko:K03500	sauq:SAI4T8_1008660
ko:K06941	sauq:SAI4T8_1008670
ko:K06949	sauq:SAI4T8_1008700
ko:K01783	sauq:SAI4T8_1008710
ko:K07030	sauq:SAI4T8_1008730
ko:K03655	sauq:SAI4T8_1008740
ko:K03621	sauq:SAI4T8_1008760
ko:K00645	sauq:SAI4T8_1008770
ko:K00059	sauq:SAI4T8_1008780
ko:K03685	sauq:SAI4T8_1008790
ko:K03529	sauq:SAI4T8_1008800
ko:K00128	sauq:SAI4T8_1001200
ko:K16264	sauq:SAI4T8_1001210
ko:K02049	sauq:SAI4T8_1001230
ko:K02051	sauq:SAI4T8_1001240
ko:K02050	sauq:SAI4T8_1001250
ko:K00122	sauq:SAI4T8_1001270
ko:K08996	sauq:SAI4T8_1001310
ko:K00930	sauq:SAI4T8_1001320
ko:K00620	sauq:SAI4T8_1001330
ko:K00145	sauq:SAI4T8_1001340
ko:K00819	sauq:SAI4T8_1001350
ko:K03311	sauq:SAI4T8_1001360
ko:K09963	sauq:SAI4T8_1001400
ko:K07106	sauq:SAI4T8_1001410
ko:K02809	sauq:SAI4T8_1001420
ko:K02810	sauq:SAI4T8_1001420
ko:K01153	sauq:SAI4T8_1001440
ko:K02005	sauq:SAI4T8_1001460
ko:K02003	sauq:SAI4T8_1001470
ko:K02004	sauq:SAI4T8_1001480
ko:K01990	sauq:SAI4T8_1001510
ko:K02031	sauq:SAI4T8_1001520
ko:K02032	sauq:SAI4T8_1001520
ko:K02033	sauq:SAI4T8_1001530
ko:K02034	sauq:SAI4T8_1001540
ko:K02035	sauq:SAI4T8_1001550
ko:K01118	sauq:SAI4T8_1001580
ko:K10112	sauq:SAI4T8_1001600
ko:K15770	sauq:SAI4T8_1001610
ko:K15771	sauq:SAI4T8_1001620
ko:K15772	sauq:SAI4T8_1001630
ko:K07784	sauq:SAI4T8_1001680
ko:K07720	sauq:SAI4T8_1001690
ko:K03110	sauq:SAI4T8_1008810
ko:K03106	sauq:SAI4T8_1008820
ko:K00823	sauq:SAI4T8_1019460
ko:K01623	sauq:SAI4T8_1019470
ko:K00116	sauq:SAI4T8_1019480
ko:K01895	sauq:SAI4T8_1019490
ko:K03451	sauq:SAI4T8_1019540
ko:K03300	sauq:SAI4T8_1019570
ko:K02304	sauq:SAI4T8_1019580
ko:K00380	sauq:SAI4T8_1019590
ko:K00432	sauq:SAI4T8_1019600
ko:K01077	sauq:SAI4T8_1019650
ko:K14192	sauq:SAI4T8_1019680
ko:K00926	sauq:SAI4T8_1019700
ko:K03758	sauq:SAI4T8_1019710
ko:K00611	sauq:SAI4T8_1019720
ko:K01478	sauq:SAI4T8_1019730
ko:K01401	sauq:SAI4T8_1019750
ko:K02768	sauq:SAI4T8_1019790
ko:K02769	sauq:SAI4T8_1019790
ko:K02770	sauq:SAI4T8_1019790
ko:K01809	sauq:SAI4T8_1019800
ko:K01421	sauq:SAI4T8_1019810
ko:K03070	sauq:SAI4T8_1019870
ko:K12270	sauq:SAI4T8_1019880
ko:K12269	sauq:SAI4T8_1019890
ko:K12268	sauq:SAI4T8_1019900
ko:K03076	sauq:SAI4T8_1019910
ko:K02860	sauq:SAI4T8_1008830
ko:K00554	sauq:SAI4T8_1008840
ko:K14540	sauq:SAI4T8_1008860
ko:K03470	sauq:SAI4T8_1008870
ko:K01903	sauq:SAI4T8_1008880
ko:K01902	sauq:SAI4T8_1008890
ko:K04096	sauq:SAI4T8_1008920
ko:K03168	sauq:SAI4T8_1008930
ko:K04094	sauq:SAI4T8_1008940
ko:K03733	sauq:SAI4T8_1008950
ko:K01419	sauq:SAI4T8_1008960
ko:K03667	sauq:SAI4T8_1008970
ko:K03706	sauq:SAI4T8_1008980
ko:K02967	sauq:SAI4T8_1008990
ko:K02357	sauq:SAI4T8_1009000
ko:K09903	sauq:SAI4T8_1009010
ko:K02838	sauq:SAI4T8_1009020
ko:K00806	sauq:SAI4T8_1009030
ko:K00981	sauq:SAI4T8_1009040
ko:K11749	sauq:SAI4T8_1009050
ko:K01881	sauq:SAI4T8_1009060
ko:K03763	sauq:SAI4T8_1009070
ko:K09748	sauq:SAI4T8_1009080
ko:K02600	sauq:SAI4T8_1009090
ko:K02519	sauq:SAI4T8_1009110
ko:K03177	sauq:SAI4T8_1009120
ko:K11753	sauq:SAI4T8_1009130
ko:K00962	sauq:SAI4T8_1009140
ko:K12574	sauq:SAI4T8_1009150
ko:K03466	sauq:SAI4T8_1009160
ko:K00059	sauq:SAI4T8_1009200
ko:K00995	sauq:SAI4T8_1009220
ko:K09769	sauq:SAI4T8_1009260
ko:K00174	sauq:SAI4T8_1009270
ko:K00175	sauq:SAI4T8_1009280
ko:K06168	sauq:SAI4T8_1009290
ko:K02012	sauq:SAI4T8_1001710
ko:K00656	sauq:SAI4T8_1001720
ko:K04069	sauq:SAI4T8_1001730
ko:K01126	sauq:SAI4T8_1001740
ko:K07516	sauq:SAI4T8_1001770
ko:K00252	sauq:SAI4T8_1001780
ko:K01897	sauq:SAI4T8_1001790
ko:K02035	sauq:SAI4T8_1001820
ko:K05916	sauq:SAI4T8_1001830
ko:K00016	sauq:SAI4T8_1001840
ko:K02773	sauq:SAI4T8_1001880
ko:K02775	sauq:SAI4T8_1001890
ko:K00008	sauq:SAI4T8_1001900
ko:K00008	sauq:SAI4T8_1001910
ko:K05352	sauq:SAI4T8_1001930
ko:K07322	sauq:SAI4T8_1002000
ko:K07704	sauq:SAI4T8_1002010
ko:K05339	sauq:SAI4T8_1002030
ko:K03489	sauq:SAI4T8_1002040
ko:K01223	sauq:SAI4T8_1002060
ko:K00852	sauq:SAI4T8_1002080
ko:K06726	sauq:SAI4T8_1002090
ko:K06216	sauq:SAI4T8_1002100
ko:K02529	sauq:SAI4T8_1002110
ko:K01442	sauq:SAI4T8_1002130
ko:K01990	sauq:SAI4T8_1002150
ko:K01992	sauq:SAI4T8_1002160
ko:K01992	sauq:SAI4T8_1002170
ko:K03555	sauq:SAI4T8_1009310
ko:K03572	sauq:SAI4T8_1009320
ko:K02443	sauq:SAI4T8_1009330
ko:K02440	sauq:SAI4T8_1009340
ko:K00864	sauq:SAI4T8_1009350
ko:K00111	sauq:SAI4T8_1009360
ko:K00791	sauq:SAI4T8_1009380
ko:K00432	sauq:SAI4T8_1009390
ko:K03665	sauq:SAI4T8_1009400
ko:K01915	sauq:SAI4T8_1009430
ko:K01620	sauq:SAI4T8_1009440
ko:K06131	sauq:SAI4T8_1009450
ko:K01990	sauq:SAI4T8_1009460
ko:K01992	sauq:SAI4T8_1009470
ko:K07778	sauq:SAI4T8_1009480
ko:K00928	sauq:SAI4T8_1009530
ko:K00003	sauq:SAI4T8_1009540
ko:K01733	sauq:SAI4T8_1009550
ko:K00872	sauq:SAI4T8_1009560
ko:K03781	sauq:SAI4T8_1009590
ko:K00364	sauq:SAI4T8_1009600
ko:K01356	sauq:SAI4T8_1009620
ko:K00615	sauq:SAI4T8_1009630
ko:K03547	sauq:SAI4T8_1009650
ko:K05020	sauq:SAI4T8_1009680
ko:K01681	sauq:SAI4T8_1009690
ko:K07107	sauq:SAI4T8_1009700
ko:K08591	sauq:SAI4T8_1009710
ko:K02622	sauq:SAI4T8_1009720
ko:K02621	sauq:SAI4T8_1009730
ko:K03310	sauq:SAI4T8_1009740
ko:K03480	sauq:SAI4T8_1009750
ko:K14205	sauq:SAI4T8_1009770
ko:K07304	sauq:SAI4T8_1009780
ko:K04517	sauq:SAI4T8_1009810
ko:K01669	sauq:SAI4T8_1005350
ko:K03436	sauq:SAI4T8_1005380
ko:K00882	sauq:SAI4T8_1005390
ko:K02768	sauq:SAI4T8_1005400
ko:K02769	sauq:SAI4T8_1005400
ko:K02770	sauq:SAI4T8_1005400
ko:K01443	sauq:SAI4T8_1005410
ko:K10681	sauq:SAI4T8_1005450
ko:K10682	sauq:SAI4T8_1005460
ko:K16937	sauq:SAI4T8_1005470
ko:K10026	sauq:SAI4T8_1005490
ko:K06920	sauq:SAI4T8_1005500
ko:K01664	sauq:SAI4T8_1005510
