ko:K18929	heo:C694_00680
ko:K03040	heo:C694_06680
ko:K02986	heo:C694_06685
ko:K02948	heo:C694_06690
ko:K02952	heo:C694_06695
ko:K02919	heo:C694_06700
ko:K02518	heo:C694_06705
ko:K01265	heo:C694_06710
ko:K03076	heo:C694_06715
ko:K02876	heo:C694_06720
ko:K02988	heo:C694_06725
ko:K02881	heo:C694_06730
ko:K02933	heo:C694_06735
ko:K02994	heo:C694_06740
ko:K02954	heo:C694_06745
ko:K02931	heo:C694_06750
ko:K02895	heo:C694_06755
ko:K02874	heo:C694_06760
ko:K02961	heo:C694_06765
ko:K02904	heo:C694_06770
ko:K02878	heo:C694_06775
ko:K02982	heo:C694_06780
ko:K02890	heo:C694_06785
ko:K02965	heo:C694_06790
ko:K02886	heo:C694_06795
ko:K02892	heo:C694_06800
ko:K02926	heo:C694_06805
ko:K02906	heo:C694_06810
ko:K02946	heo:C694_06815
ko:K07133	heo:C694_06820
ko:K03470	heo:C694_06830
ko:K07787	heo:C694_06860
ko:K03686	heo:C694_06875
ko:K00566	heo:C694_06890
ko:K00969	heo:C694_06900
ko:K07722	heo:C694_06905
ko:K03561	heo:C694_06910
ko:K03832	heo:C694_06920
ko:K03284	heo:C694_06935
ko:K00927	heo:C694_06940
ko:K00134	heo:C694_06945
ko:K03648	heo:C694_06950
ko:K00655	heo:C694_06955
ko:K03797	heo:C694_06965
ko:K00215	heo:C694_02620
ko:K01915	heo:C694_02630
ko:K02939	heo:C694_02645
ko:K01419	heo:C694_02650
ko:K03667	heo:C694_02655
ko:K00767	heo:C694_06995
ko:K03517	heo:C694_07000
ko:K01613	heo:C694_07005
ko:K03179	heo:C694_07020
ko:K03570	heo:C694_07080
ko:K03569	heo:C694_07085
ko:K03544	heo:C694_07090
ko:K00677	heo:C694_07095
ko:K02372	heo:C694_07100
ko:K13626	heo:C694_07105
ko:K05807	heo:C694_07115
ko:K01338	heo:C694_07120
ko:K01173	heo:C694_07135
ko:K01154	heo:C694_07140
ko:K03841	heo:C694_07150
ko:K01783	heo:C694_07155
ko:K03631	heo:C694_07195
ko:K00858	heo:C694_07200
ko:K00259	heo:C694_07225
ko:K01476	heo:C694_07230
ko:K16091	heo:C694_07235
ko:K01776	heo:C694_02840
ko:K03628	heo:C694_02845
ko:K02909	heo:C694_02850
ko:K07056	heo:C694_02855
ko:K03218	heo:C694_02860
ko:K01962	heo:C694_02875
ko:K09458	heo:C694_02880
ko:K02078	heo:C694_02890
ko:K02970	heo:C694_02900
ko:K01778	heo:C694_02920
ko:K06942	heo:C694_02935
ko:K01255	heo:C694_02940
ko:K00759	heo:C694_02950
ko:K01808	heo:C694_02960
ko:K03100	heo:C694_02970
ko:K01491	heo:C694_02975
ko:K01465	heo:C694_02995
ko:K02417	heo:C694_03010
ko:K10773	heo:C694_03015
ko:K07082	heo:C694_03030
ko:K00176	heo:C694_03035
ko:K00174	heo:C694_03040
ko:K00175	heo:C694_03045
ko:K00177	heo:C694_03050
ko:K03611	heo:C694_03070
ko:K07043	heo:C694_07240
ko:K01153	heo:C694_07245
ko:K03427	heo:C694_07250
ko:K01154	heo:C694_07255
ko:K01012	heo:C694_07270
ko:K07058	heo:C694_07275
ko:K09457	heo:C694_07305
ko:K09710	heo:C694_07310
ko:K00791	heo:C694_07315
ko:K03625	heo:C694_00005
ko:K00794	heo:C694_00010
ko:K00075	heo:C694_07335
ko:K02420	heo:C694_07340
ko:K02412	heo:C694_07345
ko:K01870	heo:C694_07355
ko:K06941	heo:C694_07385
ko:K06041	heo:C694_07390
ko:K02528	heo:C694_07400
ko:K01433	heo:C694_07425
ko:K04773	heo:C694_07430
ko:K03563	heo:C694_07470
ko:K00919	heo:C694_07475
ko:K03664	heo:C694_07480
ko:K03561	heo:C694_07485
ko:K02914	heo:C694_07495
ko:K03536	heo:C694_07500
ko:K03217	heo:C694_07510
ko:K03650	heo:C694_07520
ko:K02406	heo:C694_03110
ko:K01599	heo:C694_03125
ko:K01972	heo:C694_03180
ko:K03415	heo:C694_03185
ko:K01876	heo:C694_03190
ko:K07270	heo:C694_03205
ko:K07456	heo:C694_03215
ko:K01924	heo:C694_03225
ko:K03923	heo:C694_03260
ko:K03620	heo:C694_03275
ko:K06920	heo:C694_03305
ko:K02221	heo:C694_03330
ko:K08309	heo:C694_03335
ko:K00963	heo:C694_03340
ko:K00790	heo:C694_03350
ko:K01744	heo:C694_03355
ko:K07337	heo:C694_07545
ko:K06178	heo:C694_07555
ko:K02337	heo:C694_07560
ko:K00428	heo:C694_07565
ko:K02065	heo:C694_07585
ko:K02066	heo:C694_07590
ko:K00826	heo:C694_07600
ko:K00943	heo:C694_07630
ko:K00954	heo:C694_07635
ko:K03186	heo:C694_07640
ko:K02386	heo:C694_07650
ko:K03657	heo:C694_07655
ko:K01875	heo:C694_07665
ko:K03602	heo:C694_07675
ko:K03183	heo:C694_07680
ko:K08973	heo:C694_07685
ko:K01993	heo:C694_07705
ko:K03306	heo:C694_07725
ko:K01928	heo:C694_07740
ko:K02897	heo:C694_07750
ko:K01056	heo:C694_07755
ko:K11720	heo:C694_07760
ko:K09943	heo:C694_07780
ko:K11752	heo:C694_07795
ko:K02217	heo:C694_03375
ko:K07277	heo:C694_03385
ko:K02434	heo:C694_03405
ko:K03685	heo:C694_03425
ko:K01736	heo:C694_03430
ko:K11473	heo:C694_03445
ko:K00812	heo:C694_03475
ko:K07090	heo:C694_03495
ko:K04042	heo:C694_03520
ko:K02419	heo:C694_03535
ko:K16091	heo:C694_03540
ko:K04759	heo:C694_03545
ko:K07501	heo:C694_03550
ko:K01028	heo:C694_03560
ko:K01029	heo:C694_03565
ko:K02106	heo:C694_03570
ko:K10856	heo:C694_03600
ko:K00901	heo:C694_03610
ko:K02469	heo:C694_03615
ko:K03701	heo:C694_03630
ko:K03438	heo:C694_03640
ko:K07023	heo:C694_03660
ko:K03092	heo:C694_03675
ko:K01079	heo:C694_03370
ko:K03312	heo:C694_07800
ko:K08591	heo:C694_07815
ko:K01633	heo:C694_07820
ko:K01042	heo:C694_07840
ko:K02600	heo:C694_07845
ko:K03655	heo:C694_07890
ko:K01142	heo:C694_07905
ko:K01627	heo:C694_00015
ko:K01673	heo:C694_00020
ko:K01591	heo:C694_00025
ko:K04077	heo:C694_00045
ko:K01918	heo:C694_00030
ko:K04078	heo:C694_00050
ko:K00566	heo:C694_00060
ko:K03415	heo:C694_00090
ko:K09859	heo:C694_00085
ko:K09747	heo:C694_00165
ko:K01711	heo:C694_00200
ko:K06891	heo:C694_00150
ko:K01579	heo:C694_00160
ko:K03760	heo:C694_00105
ko:K01935	heo:C694_00135
ko:K03694	heo:C694_00155
ko:K13747	heo:C694_00095
ko:K01647	heo:C694_00120
ko:K00031	heo:C694_00125
ko:K02377	heo:C694_00205
ko:K04656	heo:C694_00220
ko:K13821	heo:C694_00265
ko:K03190	heo:C694_00320
ko:K03189	heo:C694_00325
ko:K03188	heo:C694_00330
ko:K03187	heo:C694_00335
ko:K01428	heo:C694_00350
ko:K03101	heo:C694_00360
ko:K03431	heo:C694_00365
ko:K02968	heo:C694_00370
ko:K02835	heo:C694_00375
ko:K03168	heo:C694_00575
ko:K01868	heo:C694_00610
ko:K02520	heo:C694_00615
ko:K02916	heo:C694_00620
ko:K02887	heo:C694_00625
ko:K01752	heo:C694_00650
ko:K03837	heo:C694_00655
ko:K01626	heo:C694_00660
ko:K03564	heo:C694_00670
ko:K00782	heo:C694_00675
ko:K03303	heo:C694_00690
ko:K03303	heo:C694_00695
ko:K03575	heo:C694_00700
ko:K00404	heo:C694_00715
ko:K00405	heo:C694_00720
ko:K00407	heo:C694_00725
ko:K00406	heo:C694_00730
ko:K01689	heo:C694_00770
ko:K00891	heo:C694_00785
ko:K01698	heo:C694_00810
ko:K08303	heo:C694_00835
ko:K02836	heo:C694_00845
ko:K02406	heo:C694_00570
ko:K03750	heo:C694_00850
ko:K02421	heo:C694_00855
ko:K01624	heo:C694_00875
ko:K02356	heo:C694_00880
ko:K03820	heo:C694_00895
ko:K03558	heo:C694_00900
ko:K04567	heo:C694_00905
ko:K00600	heo:C694_00910
ko:K02996	heo:C694_00405
ko:K02871	heo:C694_00410
ko:K00116	heo:C694_00420
ko:K03086	heo:C694_00430
ko:K02313	heo:C694_07920
ko:K00820	heo:C694_07935
ko:K00413	heo:C694_07970
ko:K00412	heo:C694_07975
ko:K00411	heo:C694_07980
ko:K03723	heo:C694_07985
ko:K11754	heo:C694_08005
ko:K01869	heo:C694_08015
ko:K03074	heo:C694_08025
ko:K03072	heo:C694_08030
ko:K03210	heo:C694_08035
ko:K03313	heo:C694_08040
ko:K02967	heo:C694_08050
ko:K02357	heo:C694_08055
ko:K03587	heo:C694_08060
ko:K02408	heo:C694_08070
ko:K06861	heo:C694_03680
ko:K06925	heo:C694_03685
ko:K02343	heo:C694_03690
ko:K06895	heo:C694_03695
ko:K07791	heo:C694_03725
ko:K04075	heo:C694_03745
ko:K01095	heo:C694_03785
ko:K01921	heo:C694_03790
ko:K01929	heo:C694_03800
ko:K00948	heo:C694_03815
ko:K05837	heo:C694_03820
ko:K06180	heo:C694_03835
ko:K03439	heo:C694_03845
ko:K09812	heo:C694_03850
ko:K09811	heo:C694_03855
ko:K02407	heo:C694_03870
ko:K02422	heo:C694_03875
ko:K12251	heo:C694_03895
ko:K07084	heo:C694_03900
ko:K03110	heo:C694_03925
ko:K06940	heo:C694_03930
ko:K03639	heo:C694_03945
ko:K03752	heo:C694_03950
ko:K02401	heo:C694_03955
ko:K01448	heo:C694_03965
ko:K00459	heo:C694_03970
ko:K02388	heo:C694_08075
ko:K02387	heo:C694_08080
ko:K03588	heo:C694_08085
ko:K02016	heo:C694_08090
ko:K02016	heo:C694_08095
ko:K02073	heo:C694_08105
ko:K05515	heo:C694_08110
ko:K03978	heo:C694_08120
ko:K09774	heo:C694_08125
ko:K03270	heo:C694_08135
ko:K03642	heo:C694_08140
ko:K08307	heo:C694_08145
ko:K03424	heo:C694_08150
ko:K00793	heo:C694_08155
ko:K04061	heo:C694_08160
ko:K02071	heo:C694_08165
ko:K02072	heo:C694_08170
ko:K03474	heo:C694_08195
ko:K00097	heo:C694_08200
ko:K02392	heo:C694_08210
ko:K01866	heo:C694_03975
ko:K03060	heo:C694_03985
ko:K09903	heo:C694_03990
ko:K01682	heo:C694_04000
ko:K03634	heo:C694_04025
ko:K03070	heo:C694_04030
ko:K01154	heo:C694_04050
ko:K01534	heo:C694_04055
ko:K07391	heo:C694_04060
ko:K01462	heo:C694_04065
ko:K01358	heo:C694_04070
ko:K03545	heo:C694_04075
ko:K15846	heo:C694_04085
ko:K03637	heo:C694_04090
ko:K03831	heo:C694_04095
ko:K03636	heo:C694_04105
ko:K14652	heo:C694_04120
ko:K07270	heo:C694_04125
ko:K07043	heo:C694_04130
ko:K16091	heo:C694_04135
ko:K00997	heo:C694_04140
ko:K02415	heo:C694_04145
ko:K02556	heo:C694_04175
ko:K02557	heo:C694_04180
ko:K03703	heo:C694_04205
ko:K00003	heo:C694_04210
ko:K07460	heo:C694_04215
ko:K03671	heo:C694_04220
ko:K00384	heo:C694_04225
ko:K07270	heo:C694_04230
ko:K00645	heo:C694_00440
ko:K01733	heo:C694_00480
ko:K09765	heo:C694_00490
ko:K07173	heo:C694_00520
ko:K04043	heo:C694_00540
ko:K03687	heo:C694_00545
ko:K03705	heo:C694_00550
ko:K01628	heo:C694_00555
ko:K03168	heo:C694_02235
ko:K01154	heo:C694_02365
ko:K03427	heo:C694_02375
ko:K01153	heo:C694_02380
ko:K01845	heo:C694_01545
ko:K07226	heo:C694_01610
ko:K01887	heo:C694_01615
ko:K03116	heo:C694_01620
ko:K00942	heo:C694_01625
ko:K02393	heo:C694_01645
ko:K00912	heo:C694_01660
ko:K00053	heo:C694_01670
ko:K03609	heo:C694_01675
ko:K03608	heo:C694_01680
ko:K04096	heo:C694_01685
ko:K07447	heo:C694_01690
ko:K06180	heo:C694_01760
ko:K07462	heo:C694_01765
ko:K01937	heo:C694_01770
ko:K04079	heo:C694_01055
ko:K03495	heo:C694_01070
ko:K14445	heo:C694_01075
ko:K00981	heo:C694_01085
ko:K00099	heo:C694_01090
ko:K04487	heo:C694_01110
ko:K13819	heo:C694_01115
ko:K04485	heo:C694_01125
ko:K12267	heo:C694_01130
ko:K07090	heo:C694_01140
ko:K03321	heo:C694_01150
ko:K00979	heo:C694_01160
ko:K03981	heo:C694_01165
ko:K01749	heo:C694_01195
ko:K01881	heo:C694_01200
ko:K02492	heo:C694_01210
ko:K02523	heo:C694_01215
ko:K04047	heo:C694_01230
ko:K07710	heo:C694_01235
ko:K02394	heo:C694_01245
ko:K05592	heo:C694_01250
ko:K13896	heo:C694_01265
ko:K13895	heo:C694_01270
ko:K01939	heo:C694_01290
ko:K11749	heo:C694_01305
ko:K03601	heo:C694_01310
ko:K03695	heo:C694_01335
ko:K01465	heo:C694_01345
ko:K06168	heo:C694_01360
ko:K09778	heo:C694_01365
ko:K06940	heo:C694_01385
ko:K01609	heo:C694_01395
ko:K01524	heo:C694_01405
ko:K02841	heo:C694_01410
ko:K02517	heo:C694_01415
ko:K00773	heo:C694_01420
ko:K09944	heo:C694_01425
ko:K01735	heo:C694_01430
ko:K03407	heo:C694_01990
ko:K03415	heo:C694_01995
ko:K03269	heo:C694_02000
ko:K06997	heo:C694_02005
ko:K03182	heo:C694_02010
ko:K02945	heo:C694_02025
ko:K03527	heo:C694_02030
ko:K03408	heo:C694_01985
ko:K00800	heo:C694_02035
ko:K01890	heo:C694_02040
ko:K01889	heo:C694_02045
ko:K02503	heo:C694_02055
ko:K01951	heo:C694_02085
ko:K15846	heo:C694_02095
ko:K16052	heo:C694_02115
ko:K00574	heo:C694_02120
ko:K01874	heo:C694_02125
ko:K01772	heo:C694_02130
ko:K15257	heo:C694_02135
ko:K08602	heo:C694_02410
ko:K02020	heo:C694_02425
ko:K02018	heo:C694_02430
ko:K06207	heo:C694_02460
ko:K03781	heo:C694_02495
ko:K10716	heo:C694_02520
ko:K02902	heo:C694_02525
ko:K15846	heo:C694_02530
ko:K01000	heo:C694_02535
ko:K01925	heo:C694_02540
ko:K07107	heo:C694_02550
ko:K00246	heo:C694_00960
ko:K01803	heo:C694_00965
ko:K00208	heo:C694_00970
ko:K02536	heo:C694_00975
ko:K00789	heo:C694_00980
ko:K00940	heo:C694_00985
ko:K02911	heo:C694_00995
ko:K03621	heo:C694_01000
ko:K00648	heo:C694_01005
ko:K01586	heo:C694_01465
ko:K01163	heo:C694_01475
ko:K02397	heo:C694_01490
ko:K02888	heo:C694_01495
ko:K02899	heo:C694_01500
ko:K12368	heo:C694_01505
ko:K12370	heo:C694_01515
ko:K12372	heo:C694_01525
ko:K03979	heo:C694_01530
ko:K02410	heo:C694_01785
ko:K02411	heo:C694_01790
ko:K01662	heo:C694_01795
ko:K03596	heo:C694_01800
ko:K06173	heo:C694_01830
ko:K07091	heo:C694_01835
ko:K00573	heo:C694_01840
ko:K01961	heo:C694_01880
ko:K02160	heo:C694_01885
ko:K01494	heo:C694_01890
ko:K09761	heo:C694_01900
ko:K01772	heo:C694_01910
ko:K00262	heo:C694_01930
ko:K02493	heo:C694_01935
ko:K04066	heo:C694_01965
ko:K15256	heo:C694_01970
ko:K04564	heo:C694_01975
ko:K11065	heo:C694_01980
ko:K02409	heo:C694_01780
ko:K03308	heo:C694_02555
ko:K03308	heo:C694_02560
ko:K02470	heo:C694_02575
ko:K01058	heo:C694_02565
ko:K02338	heo:C694_02570
ko:K08077	heo:C694_02605
ko:K07126	heo:C694_02670
ko:K07126	heo:C694_05760
ko:K03784	heo:C694_06090
ko:K03317	heo:C694_06100
ko:K01674	heo:C694_06140
ko:K02843	heo:C694_06165
ko:K06910	heo:C694_01100
ko:K07126	heo:C694_01185
ko:K06196	heo:C694_01340
ko:K02004	heo:C694_04035
ko:K03635	heo:C694_04100
ko:K05845	heo:C694_04190
ko:K05846	heo:C694_04190
ko:K00088	heo:C694_04250
ko:K02433	heo:C694_04255
ko:K07491	heo:C694_05100
ko:K07491	heo:C694_05150
ko:K07491	heo:C694_05210
ko:K00076	heo:C694_05250
ko:K13640	heo:C694_05305
ko:K03711	heo:C694_05315
ko:K01262	heo:C694_05365
ko:K01679	heo:C694_06840
ko:K02014	heo:C694_07830
ko:K01156	heo:C694_07875
ko:K07316	heo:C694_07885
ko:K07491	heo:C694_07955
ko:K00059	heo:C694_02895
ko:K01156	heo:C694_03055
ko:K07316	heo:C694_03060
ko:K00652	heo:C694_03090
ko:K04093	heo:C694_01470
ko:K03342	heo:C694_01480
ko:K02014	heo:C694_04485
ko:K01719	heo:C694_06320
ko:K01455	heo:C694_06390
ko:K04655	heo:C694_00215
ko:K14048	heo:C694_00355
ko:K03406	heo:C694_00400
ko:K03406	heo:C694_00485
ko:K03406	heo:C694_00505
ko:K01119	heo:C694_00515
ko:K07457	heo:C694_03115
ko:K01992	heo:C694_03160
ko:K01992	heo:C694_03165
ko:K00939	heo:C694_03195
ko:K01507	heo:C694_03210
ko:K00674	heo:C694_03240
ko:K07126	heo:C694_03245
ko:K00970	heo:C694_03310
ko:K01885	heo:C694_03325
ko:K14228	heo:C694_t08325
ko:K14228	heo:C694_t08323
ko:K14228	heo:C694_t08301
ko:K14228	heo:C694_t08281
ko:K14234	heo:C694_t08321
ko:K14236	heo:C694_t08319
ko:K14230	heo:C694_t08311
ko:K14230	heo:C694_t08295
ko:K14225	heo:C694_t08317
ko:K14235	heo:C694_t08313
ko:K14219	heo:C694_t08275
ko:K14232	heo:C694_t08283
ko:K14227	heo:C694_t08279
ko:K14220	heo:C694_t08271
ko:K01916	heo:C694_01665
ko:K01784	heo:C694_01825
ko:K04652	heo:C694_04620
ko:K02014	heo:C694_04710
ko:K02014	heo:C694_04715
ko:K03279	heo:C694_07320
ko:K03768	heo:C694_07465
ko:K06346	heo:C694_07515
ko:K03279	heo:C694_00795
ko:K07126	heo:C694_00800
ko:K03469	heo:C694_03420
ko:K04763	heo:C694_03485
ko:K00567	heo:C694_03490
ko:K13016	heo:C694_03500
ko:K00626	heo:C694_03555
ko:K07098	heo:C694_05400
ko:K02238	heo:C694_07025
ko:K04517	heo:C694_07125
ko:K02342	heo:C694_07160
ko:K03386	heo:C694_08100
ko:K01409	heo:C694_08205
ko:K07491	heo:C694_02220
ko:K03455	heo:C694_02415
ko:K02017	heo:C694_02435
ko:K01885	heo:C694_02440
ko:K11085	heo:C694_05590
ko:K07491	heo:C694_05655
ko:K07126	heo:C694_05665
ko:K00845	heo:C694_05690
ko:K06013	heo:C694_01940
ko:K00058	heo:C694_02015
ko:K07491	heo:C694_02110
ko:K01585	heo:C694_02150
ko:K03743	heo:C694_04905
ko:K06179	heo:C694_04925
ko:K03442	heo:C694_05070
ko:K00949	heo:C694_06670
ko:K02067	heo:C694_07580
ko:K02242	heo:C694_07625
ko:K00616	heo:C694_07745
ko:K12369	heo:C694_01510
ko:K15898	heo:C694_00885
ko:K00245	heo:C694_00950
ko:K00244	heo:C694_00955
ko:K03593	heo:C694_01035
ko:K07126	heo:C694_01060
ko:K01439	heo:C694_01065
ko:K01424	heo:C694_03720
ko:K00769	heo:C694_03775
ko:K06603	heo:C694_03865
ko:K14221	heo:C694_t08259
ko:K01426	heo:C694_01485
ko:K12371	heo:C694_01520
ko:K14224	heo:C694_t08257
ko:K14224	heo:C694_t08263
ko:K14237	heo:C694_t08261
ko:K14237	heo:C694_t08267
ko:K14229	heo:C694_t08265
ko:K01985	heo:C694_r08329
ko:K01985	heo:C694_r08331
