ko:K03293	sagn:W903_1493
ko:K03424	sagn:W903_1772
ko:K03740	sagn:W903_1778
ko:K14188	sagn:W903_1779
ko:K03739	sagn:W903_1780
ko:K03367	sagn:W903_1781
ko:K02914	sagn:W903_1784
ko:K02001	sagn:W903_1786
ko:K02002	sagn:W903_1786
ko:K02000	sagn:W903_1787
ko:K03476	sagn:W903_1790
ko:K16785	sagn:W903_2052
ko:K16787	sagn:W903_2053
ko:K16786	sagn:W903_2054
ko:K00995	sagn:W903_2055
ko:K03629	sagn:W903_2059
ko:K05340	sagn:W903_2060
ko:K00088	sagn:W903_2062
ko:K03402	sagn:W903_2063
ko:K01478	sagn:W903_2066
ko:K00611	sagn:W903_2068
ko:K03758	sagn:W903_2069
ko:K00926	sagn:W903_2070
ko:K01867	sagn:W903_2071
ko:K00783	sagn:W903_2079
ko:K02027	sagn:W903_0069
ko:K02025	sagn:W903_0070
ko:K02026	sagn:W903_0071
ko:K01639	sagn:W903_0074
ko:K01060	sagn:W903_0076
ko:K01945	sagn:W903_0078
ko:K01588	sagn:W903_0079
ko:K01589	sagn:W903_0080
ko:K01756	sagn:W903_0083
ko:K03551	sagn:W903_0085
ko:K01104	sagn:W903_0086
ko:K04072	sagn:W903_0089
ko:K13953	sagn:W903_0090
ko:K01733	sagn:W903_0091
ko:K02946	sagn:W903_0093
ko:K02906	sagn:W903_0094
ko:K02926	sagn:W903_0095
ko:K02892	sagn:W903_0096
ko:K02886	sagn:W903_0097
ko:K02965	sagn:W903_0098
ko:K02890	sagn:W903_0099
ko:K02982	sagn:W903_0100
ko:K02878	sagn:W903_0101
ko:K02904	sagn:W903_0102
ko:K02961	sagn:W903_0103
ko:K02874	sagn:W903_0104
ko:K02895	sagn:W903_0105
ko:K02931	sagn:W903_0106
ko:K02954	sagn:W903_0107
ko:K02994	sagn:W903_0108
ko:K02933	sagn:W903_0109
ko:K02881	sagn:W903_0110
ko:K02988	sagn:W903_0111
ko:K02907	sagn:W903_0112
ko:K02876	sagn:W903_0113
ko:K03076	sagn:W903_0114
ko:K00939	sagn:W903_0115
ko:K02518	sagn:W903_0116
ko:K02919	sagn:W903_0117
ko:K02952	sagn:W903_0118
ko:K02948	sagn:W903_0119
ko:K03040	sagn:W903_0120
ko:K02879	sagn:W903_0121
ko:K00954	sagn:W903_0577
ko:K07177	sagn:W903_0578
ko:K06941	sagn:W903_0581
ko:K01658	sagn:W903_0585
ko:K03523	sagn:W903_0586
ko:K01012	sagn:W903_0587
ko:K00626	sagn:W903_0589
ko:K10773	sagn:W903_0591
ko:K02236	sagn:W903_0592
ko:K00845	sagn:W903_0594
ko:K06207	sagn:W903_0596
ko:K01925	sagn:W903_0598
ko:K02563	sagn:W903_0599
ko:K03589	sagn:W903_0600
ko:K03590	sagn:W903_0601
ko:K03531	sagn:W903_0602
ko:K06997	sagn:W903_0603
ko:K09772	sagn:W903_0604
ko:K04074	sagn:W903_0606
ko:K01870	sagn:W903_0607
ko:K03574	sagn:W903_0609
ko:K03697	sagn:W903_0610
ko:K02029	sagn:W903_0612
ko:K02028	sagn:W903_0613
ko:K01491	sagn:W903_0615
ko:K03601	sagn:W903_0617
ko:K03602	sagn:W903_0618
ko:K13789	sagn:W903_0619
ko:K06442	sagn:W903_0620
ko:K03402	sagn:W903_0621
ko:K03631	sagn:W903_0622
ko:K03530	sagn:W903_0626
ko:K00564	sagn:W903_1019
ko:K01489	sagn:W903_1020
ko:K07335	sagn:W903_1021
ko:K02056	sagn:W903_1022
ko:K02057	sagn:W903_1023
ko:K02057	sagn:W903_1024
ko:K00016	sagn:W903_1026
ko:K02469	sagn:W903_1027
ko:K07284	sagn:W903_1028
ko:K08234	sagn:W903_1029
ko:K01951	sagn:W903_1039
ko:K03710	sagn:W903_1040
ko:K04094	sagn:W903_1041
ko:K02073	sagn:W903_1043
ko:K02003	sagn:W903_1046
ko:K02004	sagn:W903_1047
ko:K15580	sagn:W903_1051
ko:K03106	sagn:W903_1054
ko:K09787	sagn:W903_1055
ko:K14982	sagn:W903_1056
ko:K14983	sagn:W903_1057
ko:K01256	sagn:W903_1058
ko:K02039	sagn:W903_1059
ko:K02036	sagn:W903_1060
ko:K02036	sagn:W903_1061
ko:K02038	sagn:W903_1062
ko:K02037	sagn:W903_1063
ko:K02040	sagn:W903_1064
ko:K01092	sagn:W903_1066
ko:K16509	sagn:W903_1068
ko:K11753	sagn:W903_1069
ko:K03177	sagn:W903_1070
ko:K09153	sagn:W903_1436
ko:K12997	sagn:W903_1438
ko:K12996	sagn:W903_1439
ko:K00067	sagn:W903_1440
ko:K03086	sagn:W903_1442
ko:K03282	sagn:W903_1444
ko:K02970	sagn:W903_1445
ko:K06940	sagn:W903_1446
ko:K02030	sagn:W903_1447
ko:K03320	sagn:W903_1448
ko:K07146	sagn:W903_1450
ko:K02445	sagn:W903_1452
ko:K00688	sagn:W903_1453
ko:K00705	sagn:W903_1454
ko:K02529	sagn:W903_1455
ko:K15770	sagn:W903_1456
ko:K15771	sagn:W903_1457
ko:K15772	sagn:W903_1458
ko:K03305	sagn:W903_1459
ko:K03574	sagn:W903_1460
ko:K03070	sagn:W903_1464
ko:K12270	sagn:W903_1465
ko:K12269	sagn:W903_1466
ko:K12268	sagn:W903_1467
ko:K03076	sagn:W903_1468
ko:K03702	sagn:W903_1477
ko:K07052	sagn:W903_1478
ko:K02029	sagn:W903_1479
ko:K02030	sagn:W903_1479
ko:K02028	sagn:W903_1480
ko:K03979	sagn:W903_1483
ko:K03493	sagn:W903_1791
ko:K00880	sagn:W903_1793
ko:K07045	sagn:W903_1794
ko:K02775	sagn:W903_1795
ko:K00616	sagn:W903_1799
ko:K02821	sagn:W903_1803
ko:K02822	sagn:W903_1804
ko:K03475	sagn:W903_1805
ko:K01939	sagn:W903_1808
