ko:K19744	paes:SCV20265_1135
ko:K00954	paes:SCV20265_0378
ko:K00154	paes:SCV20265_0381
ko:K07019	paes:SCV20265_0384
ko:K08316	paes:SCV20265_0386
ko:K07263	paes:SCV20265_0387
ko:K07263	paes:SCV20265_0388
ko:K03110	paes:SCV20265_0389
ko:K09812	paes:SCV20265_0390
ko:K09811	paes:SCV20265_0391
ko:K03089	paes:SCV20265_0392
ko:K03814	paes:SCV20265_0394
ko:K03154	paes:SCV20265_0396
ko:K03149	paes:SCV20265_0397
ko:K03439	paes:SCV20265_0398
ko:K02428	paes:SCV20265_0403
ko:K03566	paes:SCV20265_1152
ko:K06970	paes:SCV20265_1158
ko:K05833	paes:SCV20265_1160
ko:K05832	paes:SCV20265_1161
ko:K01989	paes:SCV20265_1162
ko:K01873	paes:SCV20265_1164
ko:K02339	paes:SCV20265_1166
ko:K01255	paes:SCV20265_1167
ko:K06889	paes:SCV20265_1169
ko:K07091	paes:SCV20265_1170
ko:K11720	paes:SCV20265_1171
ko:K07568	paes:SCV20265_1175
ko:K00773	paes:SCV20265_1176
ko:K03210	paes:SCV20265_1177
ko:K03072	paes:SCV20265_1178
ko:K03074	paes:SCV20265_1179
ko:K01092	paes:SCV20265_1181
ko:K15396	paes:SCV20265_1182
ko:K00640	paes:SCV20265_1183
ko:K13643	paes:SCV20265_1184
ko:K04487	paes:SCV20265_1185
ko:K04488	paes:SCV20265_1186
ko:K13628	paes:SCV20265_1187
ko:K04082	paes:SCV20265_1188
ko:K04044	paes:SCV20265_1189
ko:K04755	paes:SCV20265_1190
ko:K00940	paes:SCV20265_1192
ko:K06941	paes:SCV20265_1193
ko:K02656	paes:SCV20265_1194
ko:K15539	paes:SCV20265_1195
ko:K01892	paes:SCV20265_1197
ko:K01817	paes:SCV20265_1935
ko:K01963	paes:SCV20265_1936
ko:K11754	paes:SCV20265_1937
ko:K03749	paes:SCV20265_1938
ko:K03558	paes:SCV20265_1939
ko:K00764	paes:SCV20265_1940
ko:K10764	paes:SCV20265_1941
ko:K02453	paes:SCV20265_1943
ko:K02452	paes:SCV20265_1944
ko:K02454	paes:SCV20265_1945
ko:K02455	paes:SCV20265_1946
ko:K02456	paes:SCV20265_1947
ko:K02457	paes:SCV20265_1948
ko:K02458	paes:SCV20265_1949
ko:K02459	paes:SCV20265_1950
ko:K02460	paes:SCV20265_1951
ko:K02461	paes:SCV20265_1952
ko:K02462	paes:SCV20265_1953
ko:K00219	paes:SCV20265_1956
ko:K09977	paes:SCV20265_1959
ko:K00858	paes:SCV20265_1960
ko:K02441	paes:SCV20265_1962
ko:K09916	paes:SCV20265_1963
ko:K01256	paes:SCV20265_1965
ko:K07114	paes:SCV20265_1974
ko:K07114	paes:SCV20265_1975
ko:K03924	paes:SCV20265_1978
ko:K15371	paes:SCV20265_1980
ko:K03310	paes:SCV20265_2774
ko:K11065	paes:SCV20265_2775
ko:K00817	paes:SCV20265_2776
ko:K07799	paes:SCV20265_2780
ko:K07788	paes:SCV20265_2781
ko:K07789	paes:SCV20265_2782
ko:K07644	paes:SCV20265_2785
ko:K07665	paes:SCV20265_2786
ko:K15725	paes:SCV20265_2787
ko:K15727	paes:SCV20265_2788
ko:K00404	paes:SCV20265_3543
ko:K07168	paes:SCV20265_3545
ko:K09984	paes:SCV20265_3551
ko:K07400	paes:SCV20265_3553
ko:K00548	paes:SCV20265_3557
ko:K06941	paes:SCV20265_3561
ko:K00381	paes:SCV20265_3565
ko:K04774	paes:SCV20265_3571
ko:K00059	paes:SCV20265_3576
ko:K07090	paes:SCV20265_3579
ko:K03426	paes:SCV20265_3580
ko:K01692	paes:SCV20265_3582
ko:K03314	paes:SCV20265_3583
ko:K03294	paes:SCV20265_3584
ko:K01584	paes:SCV20265_3585
ko:K02342	paes:SCV20265_3587
ko:K03469	paes:SCV20265_3588
ko:K01069	paes:SCV20265_3590
ko:K08307	paes:SCV20265_3591
ko:K13893	paes:SCV20265_3592
ko:K13893	paes:SCV20265_3593
ko:K02409	paes:SCV20265_4326
ko:K02408	paes:SCV20265_4327
ko:K10943	paes:SCV20265_4328
ko:K10942	paes:SCV20265_4329
ko:K03752	paes:SCV20265_2016
ko:K03638	paes:SCV20265_2017
ko:K03750	paes:SCV20265_2018
ko:K00803	paes:SCV20265_2020
ko:K00111	paes:SCV20265_2021
ko:K07140	paes:SCV20265_2024
ko:K08309	paes:SCV20265_2026
ko:K15738	paes:SCV20265_2028
ko:K06149	paes:SCV20265_2030
ko:K15726	paes:SCV20265_2789
ko:K05549	paes:SCV20265_2791
ko:K05550	paes:SCV20265_2792
ko:K05784	paes:SCV20265_2793
ko:K05783	paes:SCV20265_2794
ko:K03464	paes:SCV20265_2802
ko:K03381	paes:SCV20265_2803
ko:K03449	paes:SCV20265_2810
ko:K04084	paes:SCV20265_2832
ko:K03805	paes:SCV20265_2834
ko:K13894	paes:SCV20265_3594
ko:K13895	paes:SCV20265_3595
ko:K13896	paes:SCV20265_3596
ko:K00208	paes:SCV20265_3597
ko:K03770	paes:SCV20265_3598
ko:K03530	paes:SCV20265_3599
ko:K01338	paes:SCV20265_3600
ko:K03544	paes:SCV20265_3601
ko:K01358	paes:SCV20265_3602
ko:K03545	paes:SCV20265_3603
ko:K01491	paes:SCV20265_3610
ko:K01883	paes:SCV20265_3611
ko:K01886	paes:SCV20265_3612
ko:K03768	paes:SCV20265_3613
ko:K03269	paes:SCV20265_3614
ko:K06169	paes:SCV20265_3616
ko:K06938	paes:SCV20265_3618
ko:K01682	paes:SCV20265_3620
ko:K02575	paes:SCV20265_3625
ko:K00362	paes:SCV20265_3627
ko:K00363	paes:SCV20265_3628
ko:K00372	paes:SCV20265_3629
ko:K02303	paes:SCV20265_3630
ko:K03286	paes:SCV20265_3631
ko:K03088	paes:SCV20265_3632
ko:K16074	paes:SCV20265_3635
ko:K02553	paes:SCV20265_3636
ko:K01738	paes:SCV20265_4374
ko:K05564	paes:SCV20265_4376
ko:K05563	paes:SCV20265_4377
ko:K05562	paes:SCV20265_4378
ko:K05561	paes:SCV20265_4379
ko:K05560	paes:SCV20265_4380
ko:K05559	paes:SCV20265_4381
ko:K06077	paes:SCV20265_4383
ko:K00865	paes:SCV20265_4385
ko:K03299	paes:SCV20265_4386
ko:K02647	paes:SCV20265_4387
ko:K00275	paes:SCV20265_4388
ko:K08993	paes:SCV20265_4395
ko:K09858	paes:SCV20265_4398
ko:K07116	paes:SCV20265_4406
ko:K09760	paes:SCV20265_4407
ko:K00128	paes:SCV20265_4411
ko:K00459	paes:SCV20265_4415
ko:K08196	paes:SCV20265_4421
ko:K01607	paes:SCV20265_5113
ko:K06894	paes:SCV20265_5116
ko:K09934	paes:SCV20265_5117
ko:K15012	paes:SCV20265_5120
ko:K15011	paes:SCV20265_5121
ko:K12368	paes:SCV20265_5123
ko:K12368	paes:SCV20265_5127
ko:K12368	paes:SCV20265_5130
ko:K12369	paes:SCV20265_5131
ko:K12370	paes:SCV20265_5132
ko:K12371	paes:SCV20265_5133
ko:K12372	paes:SCV20265_5134
ko:K07160	paes:SCV20265_5139
ko:K00380	paes:SCV20265_5141
ko:K16090	paes:SCV20265_5142
ko:K07126	paes:SCV20265_5144
ko:K07032	paes:SCV20265_5146
ko:K01581	paes:SCV20265_5147
ko:K03406	paes:SCV20265_5149
ko:K03807	paes:SCV20265_5150
ko:K03806	paes:SCV20265_5151
ko:K00767	paes:SCV20265_5153
ko:K02652	paes:SCV20265_5154
ko:K02653	paes:SCV20265_5155
ko:K02654	paes:SCV20265_5156
ko:K00859	paes:SCV20265_5157
ko:K09862	paes:SCV20265_5158
ko:K01478	paes:SCV20265_5889
ko:K00611	paes:SCV20265_5890
ko:K00926	paes:SCV20265_5891
ko:K01082	paes:SCV20265_5893
ko:K08312	paes:SCV20265_5894
ko:K02379	paes:SCV20265_5898
ko:K04093	paes:SCV20265_5903
ko:K07107	paes:SCV20265_5904
ko:K01610	paes:SCV20265_5911
ko:K04083	paes:SCV20265_5913
ko:K04762	paes:SCV20265_5915
ko:K05844	paes:SCV20265_5917
ko:K01297	paes:SCV20265_5918
ko:K07638	paes:SCV20265_5919
ko:K07659	paes:SCV20265_5920
ko:K06959	paes:SCV20265_5921
ko:K01919	paes:SCV20265_5923
ko:K14682	paes:SCV20265_5924
ko:K05595	paes:SCV20265_5925
ko:K01438	paes:SCV20265_5926
ko:K03306	paes:SCV20265_5927
ko:K07220	paes:SCV20265_5928
ko:K02454	paes:SCV20265_5930
ko:K07340	paes:SCV20265_5931
ko:K00281	paes:SCV20265_5933
ko:K02437	paes:SCV20265_5934
ko:K00605	paes:SCV20265_5935
ko:K10974	paes:SCV20265_0457
ko:K17723	paes:SCV20265_0459
ko:K01464	paes:SCV20265_0461
ko:K03457	paes:SCV20265_0464
ko:K06016	paes:SCV20265_0465
ko:K00252	paes:SCV20265_0467
ko:K03306	paes:SCV20265_0470
ko:K07403	paes:SCV20265_0471
ko:K02030	paes:SCV20265_0473
ko:K05591	paes:SCV20265_0476
ko:K03704	paes:SCV20265_0477
ko:K03696	paes:SCV20265_0482
ko:K07663	paes:SCV20265_0486
ko:K07641	paes:SCV20265_0487
ko:K06143	paes:SCV20265_0488
ko:K02014	paes:SCV20265_0494
ko:K03088	paes:SCV20265_0496
ko:K03457	paes:SCV20265_0500
ko:K01055	paes:SCV20265_0504
ko:K01638	paes:SCV20265_0506
ko:K00820	paes:SCV20265_1247
ko:K01443	paes:SCV20265_1248
ko:K03710	paes:SCV20265_1249
ko:K06938	paes:SCV20265_1254
ko:K08289	paes:SCV20265_1255
ko:K03106	paes:SCV20265_1262
ko:K02959	paes:SCV20265_1263
ko:K02860	paes:SCV20265_1264
ko:K00554	paes:SCV20265_1265
ko:K02884	paes:SCV20265_1266
ko:K04763	paes:SCV20265_1270
ko:K03981	paes:SCV20265_1271
ko:K00003	paes:SCV20265_1272
ko:K01733	paes:SCV20265_1273
ko:K09980	paes:SCV20265_1277
ko:K07462	paes:SCV20265_1284
ko:K07687	paes:SCV20265_1295
ko:K00316	paes:SCV20265_1296
ko:K01825	paes:SCV20265_2034
ko:K03168	paes:SCV20265_2037
ko:K01356	paes:SCV20265_2041
ko:K01207	paes:SCV20265_2043
ko:K03723	paes:SCV20265_2046
ko:K00134	paes:SCV20265_2047
ko:K11734	paes:SCV20265_2048
ko:K00346	paes:SCV20265_2049
ko:K00347	paes:SCV20265_2050
ko:K00348	paes:SCV20265_2051
ko:K00349	paes:SCV20265_2052
ko:K00350	paes:SCV20265_2053
ko:K00351	paes:SCV20265_2054
ko:K03734	paes:SCV20265_2055
ko:K05952	paes:SCV20265_2056
ko:K00322	paes:SCV20265_2057
ko:K01126	paes:SCV20265_2058
ko:K09808	paes:SCV20265_2061
ko:K09810	paes:SCV20265_2062
ko:K09808	paes:SCV20265_2063
ko:K09928	paes:SCV20265_2064
ko:K02238	paes:SCV20265_2065
ko:K03561	paes:SCV20265_2066
ko:K03559	paes:SCV20265_2067
ko:K00912	paes:SCV20265_2068
ko:K09791	paes:SCV20265_2069
ko:K00979	paes:SCV20265_2070
ko:K01104	paes:SCV20265_2071
ko:K00075	paes:SCV20265_2072
ko:K08300	paes:SCV20265_2073
ko:K06179	paes:SCV20265_2075
ko:K01091	paes:SCV20265_2076
ko:K04773	paes:SCV20265_2077
ko:K07040	paes:SCV20265_2079
ko:K02911	paes:SCV20265_2080
ko:K03621	paes:SCV20265_2081
ko:K08195	paes:SCV20265_2838
ko:K16165	paes:SCV20265_2839
ko:K00450	paes:SCV20265_2840
ko:K03088	paes:SCV20265_2842
ko:K02014	paes:SCV20265_2844
ko:K15125	paes:SCV20265_2848
ko:K07214	paes:SCV20265_2854
ko:K02437	paes:SCV20265_2859
ko:K00281	paes:SCV20265_2860
ko:K00600	paes:SCV20265_2862
ko:K01752	paes:SCV20265_2863
ko:K00605	paes:SCV20265_2864
ko:K04087	paes:SCV20265_2868
ko:K03088	paes:SCV20265_2881
ko:K09773	paes:SCV20265_3640
ko:K03556	paes:SCV20265_3650
ko:K03556	paes:SCV20265_3651
ko:K01665	paes:SCV20265_3652
ko:K02203	paes:SCV20265_3653
ko:K00390	paes:SCV20265_3654
ko:K13634	paes:SCV20265_3656
ko:K00077	paes:SCV20265_3658
ko:K01626	paes:SCV20265_3660
ko:K06975	paes:SCV20265_3661
ko:K01692	paes:SCV20265_3662
ko:K01782	paes:SCV20265_3673
ko:K00626	paes:SCV20265_3674
ko:K07088	paes:SCV20265_3675
ko:K07395	paes:SCV20265_3677
ko:K05349	paes:SCV20265_3684
ko:K03223	paes:SCV20265_3685
ko:K03222	paes:SCV20265_3687
ko:K01923	paes:SCV20265_4429
ko:K07287	paes:SCV20265_4431
ko:K01714	paes:SCV20265_4432
ko:K03567	paes:SCV20265_4433
ko:K03564	paes:SCV20265_4434
ko:K03548	paes:SCV20265_4435
ko:K03517	paes:SCV20265_4438
ko:K01658	paes:SCV20265_4440
ko:K01657	paes:SCV20265_4441
ko:K00567	paes:SCV20265_4447
ko:K07347	paes:SCV20265_4448
ko:K12055	paes:SCV20265_4452
ko:K06899	paes:SCV20265_4466
ko:K03885	paes:SCV20265_5166
ko:K06916	paes:SCV20265_5167
ko:K03695	paes:SCV20265_5170
ko:K05810	paes:SCV20265_5171
ko:K06180	paes:SCV20265_5172
ko:K05807	paes:SCV20265_5173
ko:K06950	paes:SCV20265_5174
ko:K02668	paes:SCV20265_5175
ko:K02667	paes:SCV20265_5176
ko:K03153	paes:SCV20265_5177
ko:K08084	paes:SCV20265_5178
ko:K02672	paes:SCV20265_5180
ko:K02673	paes:SCV20265_5181
ko:K02674	paes:SCV20265_5182
ko:K02655	paes:SCV20265_5184
ko:K03527	paes:SCV20265_5185
ko:K03774	paes:SCV20265_5186
ko:K03101	paes:SCV20265_5187
ko:K01870	paes:SCV20265_5188
ko:K11753	paes:SCV20265_5189
ko:K03980	paes:SCV20265_5190
ko:K02968	paes:SCV20265_5191
ko:K05805	paes:SCV20265_5192
ko:K00931	paes:SCV20265_5193
ko:K03979	paes:SCV20265_5194
ko:K02899	paes:SCV20265_5195
ko:K02888	paes:SCV20265_5196
ko:K02523	paes:SCV20265_5197
ko:K03773	paes:SCV20265_5200
ko:K02011	paes:SCV20265_5936
ko:K02012	paes:SCV20265_5937
ko:K03185	paes:SCV20265_5943
ko:K09895	paes:SCV20265_5946
ko:K09888	paes:SCV20265_5948
ko:K01934	paes:SCV20265_5949
ko:K13926	paes:SCV20265_5953
ko:K01993	paes:SCV20265_5954
ko:K02415	paes:SCV20265_5955
ko:K02445	paes:SCV20265_5957
ko:K03182	paes:SCV20265_5959
ko:K03628	paes:SCV20265_5961
ko:K03671	paes:SCV20265_5963
ko:K01524	paes:SCV20265_5964
ko:K00937	paes:SCV20265_5965
ko:K01698	paes:SCV20265_5966
ko:K09768	paes:SCV20265_5970
ko:K07243	paes:SCV20265_5971
ko:K05834	paes:SCV20265_5972
ko:K06158	paes:SCV20265_5975
ko:K03773	paes:SCV20265_5978
ko:K07740	paes:SCV20265_5979
ko:K03611	paes:SCV20265_5980
ko:K02498	paes:SCV20265_5981
ko:K02496	paes:SCV20265_5982
ko:K01719	paes:SCV20265_5983
ko:K01749	paes:SCV20265_5984
ko:K08083	paes:SCV20265_5985
ko:K10941	paes:SCV20265_4330
ko:K02422	paes:SCV20265_4332
ko:K02422	paes:SCV20265_4333
ko:K02407	paes:SCV20265_4334
ko:K06603	paes:SCV20265_4335
ko:K02406	paes:SCV20265_4337
ko:K00648	paes:SCV20265_4344
ko:K02397	paes:SCV20265_4347
ko:K02396	paes:SCV20265_4348
ko:K02395	paes:SCV20265_4349
ko:K02394	paes:SCV20265_4350
ko:K02393	paes:SCV20265_4351
ko:K02392	paes:SCV20265_4352
ko:K02391	paes:SCV20265_4353
ko:K02390	paes:SCV20265_4354
ko:K02389	paes:SCV20265_4355
ko:K02388	paes:SCV20265_4356
ko:K02387	paes:SCV20265_4357
ko:K01999	paes:SCV20265_4361
ko:K01997	paes:SCV20265_4362
ko:K01998	paes:SCV20265_4363
ko:K01995	paes:SCV20265_4364
ko:K01996	paes:SCV20265_4365
ko:K04079	paes:SCV20265_4367
ko:K08985	paes:SCV20265_4371
ko:K00955	paes:SCV20265_5068
ko:K00957	paes:SCV20265_5069
ko:K08305	paes:SCV20265_5070
ko:K04691	paes:SCV20265_5072
ko:K00817	paes:SCV20265_5073
ko:K00013	paes:SCV20265_5074
ko:K00765	paes:SCV20265_5076
ko:K00790	paes:SCV20265_5077
ko:K07122	paes:SCV20265_5079
ko:K07323	paes:SCV20265_5080
ko:K02067	paes:SCV20265_5081
ko:K02066	paes:SCV20265_5082
ko:K02065	paes:SCV20265_5083
ko:K06041	paes:SCV20265_5084
ko:K03270	paes:SCV20265_5085
ko:K11719	paes:SCV20265_5086
ko:K09774	paes:SCV20265_5087
ko:K06861	paes:SCV20265_5088
ko:K03092	paes:SCV20265_5089
ko:K05808	paes:SCV20265_5090
ko:K02806	paes:SCV20265_5091
ko:K06958	paes:SCV20265_5092
ko:K11189	paes:SCV20265_5093
ko:K07238	paes:SCV20265_5094
ko:K04564	paes:SCV20265_5095
ko:K01679	paes:SCV20265_5097
ko:K03592	paes:SCV20265_5099
ko:K09889	paes:SCV20265_5100
ko:K03568	paes:SCV20265_5101
ko:K08301	paes:SCV20265_5104
ko:K06287	paes:SCV20265_5105
ko:K03571	paes:SCV20265_5106
ko:K03570	paes:SCV20265_5107
ko:K03569	paes:SCV20265_5108
ko:K02435	paes:SCV20265_5109
ko:K02433	paes:SCV20265_5110
ko:K02434	paes:SCV20265_5111
ko:K03642	paes:SCV20265_5112
ko:K03446	paes:SCV20265_5836
ko:K00067	paes:SCV20265_5880
ko:K00973	paes:SCV20265_5881
ko:K01790	paes:SCV20265_5882
ko:K10125	paes:SCV20265_5883
ko:K10126	paes:SCV20265_5884
ko:K11688	paes:SCV20265_5885
ko:K11689	paes:SCV20265_5886
ko:K03758	paes:SCV20265_5888
ko:K00641	paes:SCV20265_0406
ko:K09131	paes:SCV20265_0408
ko:K02221	paes:SCV20265_0409
ko:K00286	paes:SCV20265_0410
ko:K06997	paes:SCV20265_0411
ko:K02669	paes:SCV20265_0412
ko:K02670	paes:SCV20265_0413
ko:K16264	paes:SCV20265_0414
ko:K01697	paes:SCV20265_0416
ko:K01465	paes:SCV20265_0418
ko:K00609	paes:SCV20265_0419
ko:K02825	paes:SCV20265_0420
ko:K07447	paes:SCV20265_0421
ko:K07735	paes:SCV20265_0422
ko:K03832	paes:SCV20265_0423
ko:K01920	paes:SCV20265_0424
ko:K02657	paes:SCV20265_0425
ko:K02658	paes:SCV20265_0426
ko:K02659	paes:SCV20265_0427
ko:K02660	paes:SCV20265_0428
ko:K02487	paes:SCV20265_0430
ko:K06596	paes:SCV20265_0430
ko:K06597	paes:SCV20265_0431
ko:K06598	paes:SCV20265_0432
ko:K09761	paes:SCV20265_0436
ko:K00833	paes:SCV20265_0437
ko:K00274	paes:SCV20265_0439
ko:K03585	paes:SCV20265_0443
ko:K11927	paes:SCV20265_0446
ko:K00297	paes:SCV20265_0448
ko:K01251	paes:SCV20265_0450
ko:K02014	paes:SCV20265_0453
ko:K17713	paes:SCV20265_1199
ko:K03977	paes:SCV20265_1200
ko:K14287	paes:SCV20265_1201
ko:K01649	paes:SCV20265_1207
ko:K02014	paes:SCV20265_1210
ko:K08641	paes:SCV20265_1219
ko:K03601	paes:SCV20265_1225
ko:K07090	paes:SCV20265_1227
ko:K00088	paes:SCV20265_1232
ko:K01951	paes:SCV20265_1233
ko:K09965	paes:SCV20265_1239
ko:K01952	paes:SCV20265_1242
ko:K02803	paes:SCV20265_1245
ko:K02804	paes:SCV20265_1245
ko:K11189	paes:SCV20265_1246
ko:K00254	paes:SCV20265_1995
ko:K12297	paes:SCV20265_1997
ko:K07259	paes:SCV20265_1998
ko:K09923	paes:SCV20265_1999
ko:K07690	paes:SCV20265_2000
ko:K01129	paes:SCV20265_2002
ko:K03320	paes:SCV20265_2007
ko:K07006	paes:SCV20265_2010
ko:K00799	paes:SCV20265_2011
ko:K19746	paes:SCV20265_1134
ko:K02410	paes:SCV20265_4325
ko:K01867	paes:SCV20265_5014
ko:K07018	paes:SCV20265_5015
ko:K09908	paes:SCV20265_5016
ko:K03824	paes:SCV20265_5053
ko:K06207	paes:SCV20265_5789
ko:K03151	paes:SCV20265_5790
ko:K01915	paes:SCV20265_5792
ko:K07708	paes:SCV20265_5797
ko:K07712	paes:SCV20265_5798
ko:K03216	paes:SCV20265_5800
ko:K03071	paes:SCV20265_5801
ko:K15633	paes:SCV20265_5804
ko:K07052	paes:SCV20265_5805
ko:K03797	paes:SCV20265_5808
ko:K09798	paes:SCV20265_5809
ko:K02030	paes:SCV20265_5813
ko:K02500	paes:SCV20265_5814
ko:K01814	paes:SCV20265_5815
ko:K02501	paes:SCV20265_5817
ko:K01693	paes:SCV20265_5818
ko:K07289	paes:SCV20265_5822
ko:K03575	paes:SCV20265_5823
ko:K02028	paes:SCV20265_5828
ko:K02030	paes:SCV20265_5829
ko:K02029	paes:SCV20265_5830
ko:K02029	paes:SCV20265_5831
ko:K03543	paes:SCV20265_5835
ko:K05365	paes:SCV20265_5352
ko:K07028	paes:SCV20265_5354
ko:K02013	paes:SCV20265_5359
ko:K02015	paes:SCV20265_5360
ko:K02016	paes:SCV20265_5361
ko:K07225	paes:SCV20265_5362
ko:K16087	paes:SCV20265_5363
ko:K14261	paes:SCV20265_5368
ko:K07054	paes:SCV20265_5370
ko:K06901	paes:SCV20265_5372
ko:K06206	paes:SCV20265_5374
ko:K06204	paes:SCV20265_5376
ko:K01894	paes:SCV20265_5377
ko:K00970	paes:SCV20265_5381
ko:K00950	paes:SCV20265_5382
ko:K00606	paes:SCV20265_5383
ko:K01918	paes:SCV20265_5384
ko:K01579	paes:SCV20265_5385
ko:K01810	paes:SCV20265_5386
ko:K01895	paes:SCV20265_5387
ko:K00962	paes:SCV20265_5394
ko:K02956	paes:SCV20265_5396
ko:K03177	paes:SCV20265_5397
ko:K02834	paes:SCV20265_5398
ko:K02519	paes:SCV20265_5399
ko:K02600	paes:SCV20265_5400
ko:K09748	paes:SCV20265_5401
ko:K03522	paes:SCV20265_6130
ko:K03521	paes:SCV20265_6131
ko:K07727	paes:SCV20265_6133
ko:K00479	paes:SCV20265_6140
ko:K01620	paes:SCV20265_6143
ko:K00600	paes:SCV20265_6145
ko:K00303	paes:SCV20265_6146
ko:K00305	paes:SCV20265_6149
ko:K01433	paes:SCV20265_6150
ko:K01792	paes:SCV20265_6152
ko:K09950	paes:SCV20265_6153
ko:K01589	paes:SCV20265_6155
ko:K01588	paes:SCV20265_6156
ko:K13953	paes:SCV20265_6158
ko:K01744	paes:SCV20265_6160
ko:K07112	paes:SCV20265_6161
ko:K00375	paes:SCV20265_6162
ko:K03835	paes:SCV20265_6165
ko:K01960	paes:SCV20265_6166
ko:K01959	paes:SCV20265_6167
ko:K00036	paes:SCV20265_6171
ko:K08303	paes:SCV20265_6172
ko:K03657	paes:SCV20265_6176
ko:K08978	paes:SCV20265_6177
ko:K00449	paes:SCV20265_0157
ko:K00448	paes:SCV20265_0158
ko:K02624	paes:SCV20265_0160
ko:K16345	paes:SCV20265_0171
ko:K03412	paes:SCV20265_0178
ko:K03411	paes:SCV20265_0179
ko:K00575	paes:SCV20265_0180
ko:K03406	paes:SCV20265_0181
ko:K03408	paes:SCV20265_0182
ko:K03407	paes:SCV20265_0183
ko:K03413	paes:SCV20265_0184
ko:K03406	paes:SCV20265_0185
ko:K00059	paes:SCV20265_0187
ko:K01130	paes:SCV20265_0188
ko:K15555	paes:SCV20265_0189
ko:K15553	paes:SCV20265_0191
ko:K07088	paes:SCV20265_0193
ko:K15554	paes:SCV20265_0190
ko:K02014	paes:SCV20265_0198
ko:K00324	paes:SCV20265_0201
ko:K00324	paes:SCV20265_0202
ko:K00325	paes:SCV20265_0203
ko:K03832	paes:SCV20265_0204
ko:K03561	paes:SCV20265_0205
ko:K02558	paes:SCV20265_0955
ko:K03186	paes:SCV20265_0956
ko:K07157	paes:SCV20265_0964
ko:K03652	paes:SCV20265_0966
ko:K00147	paes:SCV20265_0969
ko:K00969	paes:SCV20265_0970
ko:K09710	paes:SCV20265_0971
ko:K00783	paes:SCV20265_0972
ko:K05515	paes:SCV20265_0973
ko:K05837	paes:SCV20265_0974
ko:K08305	paes:SCV20265_0975
ko:K03642	paes:SCV20265_0976
ko:K07258	paes:SCV20265_0977
ko:K09158	paes:SCV20265_0978
ko:K03801	paes:SCV20265_0979
ko:K03644	paes:SCV20265_0980
ko:K09890	paes:SCV20265_0985
ko:K02340	paes:SCV20265_0986
ko:K03643	paes:SCV20265_0987
ko:K01869	paes:SCV20265_0988
ko:K03820	paes:SCV20265_0992
ko:K06189	paes:SCV20265_0993
ko:K07042	paes:SCV20265_0994
ko:K06168	paes:SCV20265_0996
ko:K07126	paes:SCV20265_0998
ko:K01845	paes:SCV20265_0999
ko:K00788	paes:SCV20265_1000
ko:K03580	paes:SCV20265_1742
ko:K01897	paes:SCV20265_1753
ko:K01897	paes:SCV20265_1754
ko:K03578	paes:SCV20265_1756
ko:K01077	paes:SCV20265_1757
ko:K02503	paes:SCV20265_1758
ko:K16872	paes:SCV20265_1765
ko:K03088	paes:SCV20265_1766
ko:K09930	paes:SCV20265_1770
ko:K09929	paes:SCV20265_1771
