ko:K01699	lmoe:BN418_1353
ko:K02759	lmoe:BN418_2052
ko:K02760	lmoe:BN418_2053
ko:K03664	lmoe:BN418_2897
ko:K12573	lmoe:BN418_2898
ko:K03928	lmoe:BN418_2901
ko:K03075	lmoe:BN418_2902
ko:K15633	lmoe:BN418_2907
ko:K01803	lmoe:BN418_2908
ko:K00927	lmoe:BN418_2909
ko:K00134	lmoe:BN418_2910
ko:K05311	lmoe:BN418_2911
ko:K03092	lmoe:BN418_2912
ko:K01273	lmoe:BN418_2914
ko:K01358	lmoe:BN418_2921
ko:K06958	lmoe:BN418_2930
ko:K00384	lmoe:BN418_2935
ko:K06019	lmoe:BN418_2938
ko:K13292	lmoe:BN418_2939
ko:K08972	lmoe:BN418_2941
ko:K03701	lmoe:BN418_2945
ko:K03702	lmoe:BN418_2946
ko:K07023	lmoe:BN418_2948
ko:K01114	lmoe:BN418_0216
ko:K02897	lmoe:BN418_0222
ko:K01056	lmoe:BN418_0224
ko:K03723	lmoe:BN418_0225
ko:K07571	lmoe:BN418_0230
ko:K03798	lmoe:BN418_0232
ko:K03525	lmoe:BN418_0233
ko:K04083	lmoe:BN418_0234
ko:K01738	lmoe:BN418_0235
ko:K00796	lmoe:BN418_0236
ko:K01633	lmoe:BN418_0237
ko:K00950	lmoe:BN418_0238
ko:K04567	lmoe:BN418_0240
ko:K03696	lmoe:BN418_0259
ko:K04485	lmoe:BN418_0260
ko:K00991	lmoe:BN418_0262
ko:K01770	lmoe:BN418_0263
ko:K00640	lmoe:BN418_0266
ko:K01883	lmoe:BN418_0268
ko:K11145	lmoe:BN418_0269
ko:K03218	lmoe:BN418_0270
ko:K03091	lmoe:BN418_0271
ko:K00858	lmoe:BN418_1174
ko:K06180	lmoe:BN418_1175
ko:K00208	lmoe:BN418_1176
ko:K03740	lmoe:BN418_1177
ko:K14188	lmoe:BN418_1178
ko:K03739	lmoe:BN418_1179
ko:K03367	lmoe:BN418_1181
ko:K01807	lmoe:BN418_1183
ko:K00826	lmoe:BN418_1187
ko:K00432	lmoe:BN418_1192
ko:K11050	lmoe:BN418_1195
ko:K02837	lmoe:BN418_1198
ko:K05823	lmoe:BN418_1223
ko:K02000	lmoe:BN418_1225
ko:K02001	lmoe:BN418_1226
ko:K05349	lmoe:BN418_2066
ko:K00266	lmoe:BN418_2074
ko:K02029	lmoe:BN418_2091
ko:K01486	lmoe:BN418_2093
ko:K02003	lmoe:BN418_2098
ko:K00891	lmoe:BN418_2100
ko:K03215	lmoe:BN418_2102
ko:K02434	lmoe:BN418_2105
ko:K02435	lmoe:BN418_2108
ko:K01972	lmoe:BN418_2110
ko:K02039	lmoe:BN418_2951
ko:K02036	lmoe:BN418_2952
ko:K02038	lmoe:BN418_2956
ko:K02037	lmoe:BN418_2957
ko:K02040	lmoe:BN418_2958
ko:K07636	lmoe:BN418_2959
ko:K06131	lmoe:BN418_2962
ko:K09811	lmoe:BN418_2965
ko:K09812	lmoe:BN418_2966
ko:K02836	lmoe:BN418_2969
ko:K03070	lmoe:BN418_2970
ko:K05946	lmoe:BN418_2981
ko:K02372	lmoe:BN418_2985
ko:K03569	lmoe:BN418_2986
ko:K00790	lmoe:BN418_2987
ko:K02114	lmoe:BN418_2989
ko:K02112	lmoe:BN418_2990
ko:K02115	lmoe:BN418_2993
ko:K02111	lmoe:BN418_2996
ko:K02113	lmoe:BN418_2997
ko:K02109	lmoe:BN418_2999
ko:K02110	lmoe:BN418_3000
ko:K02108	lmoe:BN418_3001
ko:K01783	lmoe:BN418_0577
ko:K02774	lmoe:BN418_0580
ko:K00948	lmoe:BN418_0582
ko:K07282	lmoe:BN418_0590
ko:K08987	lmoe:BN418_0592
ko:K07166	lmoe:BN418_0610
ko:K09157	lmoe:BN418_0611
ko:K02016	lmoe:BN418_0619
ko:K02781	lmoe:BN418_0620
ko:K03667	lmoe:BN418_1514
ko:K03706	lmoe:BN418_1515
ko:K07107	lmoe:BN418_1516
ko:K08591	lmoe:BN418_1519
ko:K02622	lmoe:BN418_1521
ko:K02621	lmoe:BN418_1523
ko:K07173	lmoe:BN418_1524
ko:K01126	lmoe:BN418_1528
ko:K00111	lmoe:BN418_1529
ko:K00791	lmoe:BN418_1530
ko:K03666	lmoe:BN418_1531
ko:K03665	lmoe:BN418_1532
ko:K01915	lmoe:BN418_1535
ko:K03893	lmoe:BN418_1536
ko:K01356	lmoe:BN418_1538
ko:K00615	lmoe:BN418_1541
ko:K09903	lmoe:BN418_1549
ko:K02838	lmoe:BN418_1550
ko:K00806	lmoe:BN418_1551
ko:K00981	lmoe:BN418_1552
ko:K00099	lmoe:BN418_1554
ko:K11749	lmoe:BN418_1555
ko:K01881	lmoe:BN418_1556
ko:K03763	lmoe:BN418_1557
ko:K09748	lmoe:BN418_1558
ko:K02600	lmoe:BN418_1560
ko:K07742	lmoe:BN418_1561
ko:K02519	lmoe:BN418_1563
ko:K02834	lmoe:BN418_1565
ko:K11753	lmoe:BN418_1567
ko:K02956	lmoe:BN418_1568
ko:K00962	lmoe:BN418_1569
ko:K01653	lmoe:BN418_2381
ko:K00053	lmoe:BN418_2382
ko:K01649	lmoe:BN418_2383
ko:K00052	lmoe:BN418_2384
ko:K01703	lmoe:BN418_2385
ko:K01704	lmoe:BN418_2386
ko:K01754	lmoe:BN418_2387
ko:K01575	lmoe:BN418_2390
ko:K00756	lmoe:BN418_2391
ko:K02529	lmoe:BN418_2394
ko:K05346	lmoe:BN418_2397
ko:K01652	lmoe:BN418_2408
ko:K07718	lmoe:BN418_2413
ko:K03704	lmoe:BN418_2424
ko:K01778	lmoe:BN418_2426
ko:K01870	lmoe:BN418_2428
ko:K04074	lmoe:BN418_2432
ko:K01919	lmoe:BN418_3285
ko:K01223	lmoe:BN418_3286
ko:K06942	lmoe:BN418_3293
ko:K02759	lmoe:BN418_3295
ko:K05349	lmoe:BN418_3297
ko:K02760	lmoe:BN418_3298
ko:K02761	lmoe:BN418_3299
ko:K03781	lmoe:BN418_3301
ko:K03501	lmoe:BN418_3321
ko:K03495	lmoe:BN418_3327
ko:K03650	lmoe:BN418_3328
ko:K08170	lmoe:BN418_3339
ko:K03073	lmoe:BN418_0272
ko:K02601	lmoe:BN418_0273
ko:K02863	lmoe:BN418_0276
ko:K02864	lmoe:BN418_0277
ko:K02935	lmoe:BN418_0278
ko:K03043	lmoe:BN418_0290
ko:K03046	lmoe:BN418_0291
ko:K01223	lmoe:BN418_0294
ko:K15975	lmoe:BN418_0300
ko:K02034	lmoe:BN418_0304
ko:K01223	lmoe:BN418_0305
ko:K02072	lmoe:BN418_0321
ko:K02073	lmoe:BN418_0323
ko:K02002	lmoe:BN418_1228
ko:K00243	lmoe:BN418_1232
ko:K08325	lmoe:BN418_0634
ko:K03305	lmoe:BN418_0636
ko:K00262	lmoe:BN418_0642
ko:K02500	lmoe:BN418_0645
ko:K01814	lmoe:BN418_0647
ko:K02501	lmoe:BN418_0649
ko:K01693	lmoe:BN418_0651
ko:K00013	lmoe:BN418_0652
ko:K00765	lmoe:BN418_0654
ko:K02502	lmoe:BN418_0655
ko:K04486	lmoe:BN418_0656
ko:K07443	lmoe:BN418_0657
ko:K06901	lmoe:BN418_0660
ko:K06999	lmoe:BN418_0670
ko:K06969	lmoe:BN418_0671
ko:K03070	lmoe:BN418_0674
ko:K01669	lmoe:BN418_0686
ko:K06949	lmoe:BN418_1571
ko:K02913	lmoe:BN418_1574
ko:K11622	lmoe:BN418_1233
ko:K02529	lmoe:BN418_1243
ko:K00615	lmoe:BN418_1245
ko:K00615	lmoe:BN418_1246
ko:K00864	lmoe:BN418_1247
ko:K03752	lmoe:BN418_1252
ko:K02018	lmoe:BN418_1254
ko:K02018	lmoe:BN418_1255
ko:K02020	lmoe:BN418_1256
ko:K03750	lmoe:BN418_1257
ko:K03753	lmoe:BN418_1258
ko:K03636	lmoe:BN418_1261
ko:K03637	lmoe:BN418_1262
ko:K03639	lmoe:BN418_1263
ko:K03638	lmoe:BN418_1265
ko:K01462	lmoe:BN418_1268
ko:K00161	lmoe:BN418_1269
ko:K00162	lmoe:BN418_1270
ko:K00627	lmoe:BN418_1272
ko:K00382	lmoe:BN418_1273
ko:K03657	lmoe:BN418_2112
ko:K03308	lmoe:BN418_2115
ko:K01945	lmoe:BN418_2118
ko:K00602	lmoe:BN418_2119
ko:K11175	lmoe:BN418_2120
ko:K01933	lmoe:BN418_2122
ko:K00764	lmoe:BN418_2124
ko:K01952	lmoe:BN418_2125
ko:K01952	lmoe:BN418_2126
ko:K01952	lmoe:BN418_2127
ko:K01923	lmoe:BN418_2128
ko:K01756	lmoe:BN418_2129
ko:K01589	lmoe:BN418_2130
ko:K01588	lmoe:BN418_2131
ko:K06950	lmoe:BN418_2136
ko:K02013	lmoe:BN418_2137
ko:K01142	lmoe:BN418_2141
ko:K02887	lmoe:BN418_2143
ko:K02916	lmoe:BN418_2144
ko:K02520	lmoe:BN418_2145
ko:K00554	lmoe:BN418_2153
ko:K02860	lmoe:BN418_2154
ko:K07010	lmoe:BN418_2157
ko:K06960	lmoe:BN418_2158
ko:K02959	lmoe:BN418_2159
ko:K03106	lmoe:BN418_2165
ko:K00761	lmoe:BN418_3003
ko:K00600	lmoe:BN418_3004
ko:K07566	lmoe:BN418_3007
ko:K02493	lmoe:BN418_3008
ko:K02835	lmoe:BN418_3009
ko:K01733	lmoe:BN418_3013
ko:K00003	lmoe:BN418_3014
ko:K02909	lmoe:BN418_3015
ko:K03628	lmoe:BN418_3018
ko:K00790	lmoe:BN418_3019
ko:K13678	lmoe:BN418_3021
ko:K01937	lmoe:BN418_3027
ko:K01887	lmoe:BN418_3029
ko:K01821	lmoe:BN418_3032
ko:K06885	lmoe:BN418_3033
ko:K08281	lmoe:BN418_3040
ko:K02003	lmoe:BN418_3050
ko:K02379	lmoe:BN418_3055
ko:K00123	lmoe:BN418_3057
ko:K02247	lmoe:BN418_1582
ko:K00605	lmoe:BN418_1587
ko:K00282	lmoe:BN418_1588
ko:K00283	lmoe:BN418_1589
ko:K02356	lmoe:BN418_1594
ko:K02160	lmoe:BN418_1595
ko:K01961	lmoe:BN418_1596
ko:K03625	lmoe:BN418_1598
ko:K01491	lmoe:BN418_1599
ko:K03601	lmoe:BN418_1600
ko:K03602	lmoe:BN418_1601
ko:K13789	lmoe:BN418_1602
ko:K03704	lmoe:BN418_1603
ko:K01662	lmoe:BN418_1604
ko:K06442	lmoe:BN418_1605
ko:K03402	lmoe:BN418_1606
ko:K03631	lmoe:BN418_1607
ko:K00382	lmoe:BN418_1610
ko:K09699	lmoe:BN418_1616
ko:K03217	lmoe:BN418_1623
ko:K01512	lmoe:BN418_1625
ko:K04487	lmoe:BN418_2435
ko:K00278	lmoe:BN418_2437
ko:K00767	lmoe:BN418_2438
ko:K03517	lmoe:BN418_2441
ko:K02221	lmoe:BN418_2443
ko:K09772	lmoe:BN418_2444
ko:K06997	lmoe:BN418_2445
ko:K03531	lmoe:BN418_2446
ko:K03590	lmoe:BN418_2447
ko:K03589	lmoe:BN418_2448
ko:K02563	lmoe:BN418_2449
ko:K01925	lmoe:BN418_2450
ko:K01000	lmoe:BN418_2451
ko:K01928	lmoe:BN418_2452
ko:K03438	lmoe:BN418_2455
ko:K03925	lmoe:BN418_2456
ko:K02911	lmoe:BN418_2461
ko:K07040	lmoe:BN418_2462
ko:K00954	lmoe:BN418_2468
ko:K02259	lmoe:BN418_2476
ko:K10716	lmoe:BN418_2477
ko:K14166	lmoe:BN418_2480
ko:K03282	lmoe:BN418_2482
ko:K04077	lmoe:BN418_2486
ko:K04078	lmoe:BN418_2487
ko:K00831	lmoe:BN418_3349
ko:K07078	lmoe:BN418_3354
ko:K00865	lmoe:BN418_3357
ko:K03534	lmoe:BN418_3375
ko:K00848	lmoe:BN418_3378
ko:K03217	lmoe:BN418_3384
ko:K03536	lmoe:BN418_3385
ko:K02914	lmoe:BN418_3386
ko:K00783	lmoe:BN418_0334
ko:K02761	lmoe:BN418_0339
ko:K02760	lmoe:BN418_0340
ko:K02759	lmoe:BN418_0343
ko:K03707	lmoe:BN418_0346
ko:K03707	lmoe:BN418_0347
ko:K00878	lmoe:BN418_0349
ko:K01808	lmoe:BN418_0386
ko:K01803	lmoe:BN418_0387
ko:K05879	lmoe:BN418_0388
ko:K05878	lmoe:BN418_0389
ko:K02003	lmoe:BN418_1281
ko:K03284	lmoe:BN418_1282
ko:K06207	lmoe:BN418_1285
ko:K03588	lmoe:BN418_1289
ko:K02016	lmoe:BN418_1291
ko:K00963	lmoe:BN418_1296
ko:K00973	lmoe:BN418_1299
ko:K01790	lmoe:BN418_1300
ko:K00067	lmoe:BN418_1302
ko:K00763	lmoe:BN418_1312
ko:K01951	lmoe:BN418_1317
ko:K03827	lmoe:BN418_1325
ko:K01358	lmoe:BN418_1338
ko:K03110	lmoe:BN418_2167
ko:K03529	lmoe:BN418_2169
ko:K03685	lmoe:BN418_2170
ko:K02078	lmoe:BN418_2171
ko:K00645	lmoe:BN418_2174
ko:K03621	lmoe:BN418_2176
ko:K03655	lmoe:BN418_2180
ko:K01752	lmoe:BN418_2181
ko:K01752	lmoe:BN418_2182
ko:K02902	lmoe:BN418_2185
ko:K01783	lmoe:BN418_2187
ko:K06949	lmoe:BN418_2188
ko:K03500	lmoe:BN418_2191
ko:K00604	lmoe:BN418_2193
ko:K04066	lmoe:BN418_2194
ko:K13038	lmoe:BN418_2196
ko:K03060	lmoe:BN418_2198
ko:K00942	lmoe:BN418_2199
ko:K00762	lmoe:BN418_2203
ko:K01591	lmoe:BN418_2204
ko:K01955	lmoe:BN418_2207
ko:K01956	lmoe:BN418_2208
ko:K01465	lmoe:BN418_2209
ko:K00609	lmoe:BN418_2211
ko:K02825	lmoe:BN418_2214
ko:K06180	lmoe:BN418_2217
ko:K03101	lmoe:BN418_2218
ko:K06901	lmoe:BN418_2219
ko:K02996	lmoe:BN418_3076
ko:K02871	lmoe:BN418_3077
ko:K06173	lmoe:BN418_3078
ko:K07507	lmoe:BN418_3083
ko:K02879	lmoe:BN418_3086
ko:K03040	lmoe:BN418_3087
ko:K02948	lmoe:BN418_3088
ko:K02952	lmoe:BN418_3089
ko:K02919	lmoe:BN418_3090
ko:K02518	lmoe:BN418_3091
ko:K03076	lmoe:BN418_3093
ko:K02876	lmoe:BN418_3094
ko:K02907	lmoe:BN418_3095
ko:K02988	lmoe:BN418_3096
ko:K02881	lmoe:BN418_3097
ko:K02933	lmoe:BN418_3098
ko:K02994	lmoe:BN418_3099
ko:K02954	lmoe:BN418_3100
ko:K02931	lmoe:BN418_3101
ko:K02895	lmoe:BN418_3102
ko:K02874	lmoe:BN418_3103
ko:K02961	lmoe:BN418_3104
ko:K02904	lmoe:BN418_3105
ko:K02878	lmoe:BN418_3106
ko:K00641	lmoe:BN418_0692
ko:K01740	lmoe:BN418_0693
ko:K03523	lmoe:BN418_0696
ko:K01118	lmoe:BN418_0710
ko:K01126	lmoe:BN418_0715
ko:K11203	lmoe:BN418_0731
ko:K11202	lmoe:BN418_0732
ko:K01534	lmoe:BN418_0742
ko:K07146	lmoe:BN418_1629
ko:K03466	lmoe:BN418_1631
ko:K00286	lmoe:BN418_1632
ko:K07335	lmoe:BN418_1633
ko:K02057	lmoe:BN418_1635
ko:K02057	lmoe:BN418_1636
ko:K00995	lmoe:BN418_1641
ko:K03823	lmoe:BN418_1646
ko:K09769	lmoe:BN418_1647
ko:K03555	lmoe:BN418_1649
ko:K03572	lmoe:BN418_1650
ko:K00656	lmoe:BN418_1652
ko:K04069	lmoe:BN418_1653
ko:K07727	lmoe:BN418_1657
ko:K00075	lmoe:BN418_1666
ko:K05847	lmoe:BN418_1668
ko:K03322	lmoe:BN418_1671
ko:K05846	lmoe:BN418_1672
ko:K05845	lmoe:BN418_1673
ko:K05846	lmoe:BN418_1674
