ko:K02495	ecoi:ECOPMV1_04229
ko:K02574	ecoi:ECOPMV1_02364
ko:K00626	ecoi:ECOPMV1_02386
ko:K00568	ecoi:ECOPMV1_02393
ko:K01823	ecoi:ECOPMV1_03161
ko:K04763	ecoi:ECOPMV1_03166
ko:K01262	ecoi:ECOPMV1_03179
ko:K01934	ecoi:ECOPMV1_03183
ko:K00058	ecoi:ECOPMV1_03185
ko:K03442	ecoi:ECOPMV1_03193
ko:K06934	ecoi:ECOPMV1_03197
ko:K16923	ecoi:ECOPMV1_03198
ko:K16786	ecoi:ECOPMV1_03200
ko:K16787	ecoi:ECOPMV1_03201
ko:K02173	ecoi:ECOPMV1_03202
ko:K00101	ecoi:ECOPMV1_03941
ko:K00639	ecoi:ECOPMV1_03953
ko:K02843	ecoi:ECOPMV1_03955
ko:K02849	ecoi:ECOPMV1_03965
ko:K10563	ecoi:ECOPMV1_03969
ko:K07263	ecoi:ECOPMV1_01627
ko:K10000	ecoi:ECOPMV1_00867
ko:K00657	ecoi:ECOPMV1_01679
ko:K07312	ecoi:ECOPMV1_01685
ko:K01679	ecoi:ECOPMV1_01706
ko:K00076	ecoi:ECOPMV1_01714
ko:K01488	ecoi:ECOPMV1_01718
ko:K03617	ecoi:ECOPMV1_01722
ko:K03616	ecoi:ECOPMV1_01723
ko:K03615	ecoi:ECOPMV1_01724
ko:K00647	ecoi:ECOPMV1_02482
ko:K01782	ecoi:ECOPMV1_02499
ko:K02454	ecoi:ECOPMV1_03265
ko:K00666	ecoi:ECOPMV1_03280
ko:K00652	ecoi:ECOPMV1_03283
ko:K11209	ecoi:ECOPMV1_03294
ko:K06281	ecoi:ECOPMV1_03299
ko:K07214	ecoi:ECOPMV1_04056
ko:K02755	ecoi:ECOPMV1_04059
ko:K02756	ecoi:ECOPMV1_04059
ko:K02757	ecoi:ECOPMV1_04059
ko:K03488	ecoi:ECOPMV1_04060
ko:K02116	ecoi:ECOPMV1_04077
ko:K03718	ecoi:ECOPMV1_04081
ko:K02566	ecoi:ECOPMV1_00681
ko:K02564	ecoi:ECOPMV1_00684
ko:K03711	ecoi:ECOPMV1_00699
ko:K01835	ecoi:ECOPMV1_00704
ko:K03756	ecoi:ECOPMV1_00705
ko:K03972	ecoi:ECOPMV1_01504
ko:K02025	ecoi:ECOPMV1_01507
ko:K04844	ecoi:ECOPMV1_01512
ko:K10112	ecoi:ECOPMV1_01514
ko:K06889	ecoi:ECOPMV1_01524
ko:K03830	ecoi:ECOPMV1_00264
ko:K01270	ecoi:ECOPMV1_00267
ko:K00769	ecoi:ECOPMV1_00268
ko:K06889	ecoi:ECOPMV1_00293
ko:K06221	ecoi:ECOPMV1_00297
ko:K07346	ecoi:ECOPMV1_01071
ko:K07017	ecoi:ECOPMV1_01079
ko:K07126	ecoi:ECOPMV1_01093
ko:K04477	ecoi:ECOPMV1_01113
ko:K07305	ecoi:ECOPMV1_01875
ko:K02793	ecoi:ECOPMV1_01909
ko:K02794	ecoi:ECOPMV1_01909
ko:K02795	ecoi:ECOPMV1_01910
ko:K00616	ecoi:ECOPMV1_02655
ko:K01439	ecoi:ECOPMV1_02663
ko:K07054	ecoi:ECOPMV1_02667
ko:K03548	ecoi:ECOPMV1_02674
ko:K02824	ecoi:ECOPMV1_02678
ko:K00088	ecoi:ECOPMV1_02690
ko:K12961	ecoi:ECOPMV1_03456
ko:K03177	ecoi:ECOPMV1_03474
ko:K02427	ecoi:ECOPMV1_03488
ko:K00127	ecoi:ECOPMV1_04254
ko:K00124	ecoi:ECOPMV1_04255
ko:K01629	ecoi:ECOPMV1_04262
ko:K01813	ecoi:ECOPMV1_04263
ko:K02855	ecoi:ECOPMV1_04265
ko:K07640	ecoi:ECOPMV1_04271
ko:K19416	ecoi:ECOPMV1_01000
ko:K04067	ecoi:ECOPMV1_00454
ko:K00939	ecoi:ECOPMV1_00461
ko:K07729	ecoi:ECOPMV1_01233
ko:K16076	ecoi:ECOPMV1_01244
ko:K16076	ecoi:ECOPMV1_02022
ko:K06910	ecoi:ECOPMV1_02024
ko:K02414	ecoi:ECOPMV1_02032
ko:K09476	ecoi:ECOPMV1_02054
ko:K06147	ecoi:ECOPMV1_02068
ko:K06147	ecoi:ECOPMV1_02069
ko:K00867	ecoi:ECOPMV1_02815
ko:K03747	ecoi:ECOPMV1_03595
ko:K03499	ecoi:ECOPMV1_03600
ko:K02450	ecoi:ECOPMV1_03634
ko:K02454	ecoi:ECOPMV1_03637
ko:K13641	ecoi:ECOPMV1_04389
ko:K00548	ecoi:ECOPMV1_04390
ko:K00068	ecoi:ECOPMV1_04400
ko:K07665	ecoi:ECOPMV1_00587
ko:K07214	ecoi:ECOPMV1_00602
ko:K08225	ecoi:ECOPMV1_00609
ko:K15582	ecoi:ECOPMV1_01378
ko:K15583	ecoi:ECOPMV1_01379
ko:K10823	ecoi:ECOPMV1_01380
ko:K00033	ecoi:ECOPMV1_02184
ko:K12997	ecoi:ECOPMV1_02188
ko:K03606	ecoi:ECOPMV1_02202
ko:K01104	ecoi:ECOPMV1_02216
ko:K02782	ecoi:ECOPMV1_02959
ko:K02783	ecoi:ECOPMV1_02959
ko:K00068	ecoi:ECOPMV1_02961
ko:K02466	ecoi:ECOPMV1_02962
ko:K04652	ecoi:ECOPMV1_02984
ko:K04655	ecoi:ECOPMV1_02987
ko:K03299	ecoi:ECOPMV1_02998
ko:K03593	ecoi:ECOPMV1_02273
ko:K01489	ecoi:ECOPMV1_02304
ko:K03748	ecoi:ECOPMV1_02305
ko:K10541	ecoi:ECOPMV1_02309
ko:K10540	ecoi:ECOPMV1_02311
ko:K00058	ecoi:ECOPMV1_03098
ko:K03488	ecoi:ECOPMV1_03103
ko:K01580	ecoi:ECOPMV1_03849
ko:K01619	ecoi:ECOPMV1_04841
ko:K00758	ecoi:ECOPMV1_04842
ko:K03784	ecoi:ECOPMV1_04844
ko:K07186	ecoi:ECOPMV1_04847
ko:K02533	ecoi:ECOPMV1_04864
ko:K08161	ecoi:ECOPMV1_01131
ko:K03810	ecoi:ECOPMV1_01147
ko:K06179	ecoi:ECOPMV1_01165
ko:K11392	ecoi:ECOPMV1_01926
ko:K09815	ecoi:ECOPMV1_01950
ko:K06201	ecoi:ECOPMV1_01967
ko:K01011	ecoi:ECOPMV1_02706
ko:K13628	ecoi:ECOPMV1_02713
ko:K04488	ecoi:ECOPMV1_02714
ko:K01092	ecoi:ECOPMV1_02719
ko:K06889	ecoi:ECOPMV1_02720
ko:K02056	ecoi:ECOPMV1_02727
ko:K03803	ecoi:ECOPMV1_02752
ko:K02067	ecoi:ECOPMV1_03504
ko:K02806	ecoi:ECOPMV1_03515
ko:K01788	ecoi:ECOPMV1_03528
ko:K01639	ecoi:ECOPMV1_03530
ko:K13283	ecoi:ECOPMV1_04313
ko:K02446	ecoi:ECOPMV1_04324
ko:K05499	ecoi:ECOPMV1_04333
ko:K03087	ecoi:ECOPMV1_03001
ko:K00700	ecoi:ECOPMV1_03748
ko:K00851	ecoi:ECOPMV1_03752
ko:K03825	ecoi:ECOPMV1_03757
ko:K06887	ecoi:ECOPMV1_03758
ko:K05816	ecoi:ECOPMV1_03764
ko:K05815	ecoi:ECOPMV1_03765
ko:K05814	ecoi:ECOPMV1_03766
ko:K17464	ecoi:ECOPMV1_03775
ko:K00058	ecoi:ECOPMV1_03779
ko:K04085	ecoi:ECOPMV1_03790
ko:K04750	ecoi:ECOPMV1_04567
ko:K07792	ecoi:ECOPMV1_04582
ko:K06889	ecoi:ECOPMV1_04654
ko:K03476	ecoi:ECOPMV1_04656
ko:K03475	ecoi:ECOPMV1_04657
ko:K02822	ecoi:ECOPMV1_04658
ko:K02821	ecoi:ECOPMV1_04659
ko:K03079	ecoi:ECOPMV1_04661
ko:K03077	ecoi:ECOPMV1_04662
ko:K01119	ecoi:ECOPMV1_04685
ko:K01082	ecoi:ECOPMV1_04686
ko:K00046	ecoi:ECOPMV1_04734
ko:K00851	ecoi:ECOPMV1_04736
ko:K07346	ecoi:ECOPMV1_04762
ko:K13637	ecoi:ECOPMV1_04770
ko:K03451	ecoi:ECOPMV1_04779
ko:K03325	ecoi:ECOPMV1_p00049
ko:K01990	ecoi:ECOPMV1_00133
ko:K01992	ecoi:ECOPMV1_00134
ko:K00970	ecoi:ECOPMV1_00149
ko:K02014	ecoi:ECOPMV1_00156
ko:K16012	ecoi:ECOPMV1_00925
ko:K16013	ecoi:ECOPMV1_00926
ko:K07307	ecoi:ECOPMV1_00935
ko:K07308	ecoi:ECOPMV1_00936
ko:K06212	ecoi:ECOPMV1_00941
ko:K02238	ecoi:ECOPMV1_00950
ko:K11085	ecoi:ECOPMV1_00951
ko:K00813	ecoi:ECOPMV1_00965
ko:K09476	ecoi:ECOPMV1_00966
ko:K03614	ecoi:ECOPMV1_01725
ko:K03612	ecoi:ECOPMV1_01726
ko:K03613	ecoi:ECOPMV1_01727
ko:K00799	ecoi:ECOPMV1_01730
ko:K01759	ecoi:ECOPMV1_01746
ko:K06078	ecoi:ECOPMV1_01774
ko:K06282	ecoi:ECOPMV1_03302
ko:K01760	ecoi:ECOPMV1_03310
ko:K06221	ecoi:ECOPMV1_03314
ko:K02035	ecoi:ECOPMV1_03328
ko:K06887	ecoi:ECOPMV1_03335
ko:K02014	ecoi:ECOPMV1_03343
ko:K01515	ecoi:ECOPMV1_03348
ko:K10440	ecoi:ECOPMV1_04088
ko:K10439	ecoi:ECOPMV1_04089
ko:K00852	ecoi:ECOPMV1_04090
ko:K03769	ecoi:ECOPMV1_04111
ko:K02851	ecoi:ECOPMV1_04117
ko:K02852	ecoi:ECOPMV1_04128
ko:K07666	ecoi:ECOPMV1_03331
ko:K03455	ecoi:ECOPMV1_00465
ko:K11751	ecoi:ECOPMV1_00467
ko:K02004	ecoi:ECOPMV1_00490
ko:K01466	ecoi:ECOPMV1_00499
ko:K00073	ecoi:ECOPMV1_00505
ko:K02381	ecoi:ECOPMV1_00506
ko:K03768	ecoi:ECOPMV1_00514
ko:K11607	ecoi:ECOPMV1_01279
ko:K11604	ecoi:ECOPMV1_01280
ko:K11105	ecoi:ECOPMV1_01315
ko:K01297	ecoi:ECOPMV1_01316
ko:K02014	ecoi:ECOPMV1_01320
ko:K01426	ecoi:ECOPMV1_02098
ko:K07019	ecoi:ECOPMV1_03665
ko:K09898	ecoi:ECOPMV1_03666
ko:K10914	ecoi:ECOPMV1_03669
ko:K01664	ecoi:ECOPMV1_03672
ko:K07048	ecoi:ECOPMV1_03685
ko:K05522	ecoi:ECOPMV1_00720
ko:K07120	ecoi:ECOPMV1_00721
ko:K00241	ecoi:ECOPMV1_00725
ko:K03560	ecoi:ECOPMV1_00741
ko:K08279	ecoi:ECOPMV1_00036
ko:K08299	ecoi:ECOPMV1_00037
ko:K03855	ecoi:ECOPMV1_00045
ko:K01525	ecoi:ECOPMV1_00052
ko:K06177	ecoi:ECOPMV1_00059
ko:K07757	ecoi:ECOPMV1_00824
ko:K07258	ecoi:ECOPMV1_00841
ko:K05844	ecoi:ECOPMV1_00855
ko:K09998	ecoi:ECOPMV1_00864
ko:K07346	ecoi:ECOPMV1_01639
ko:K00598	ecoi:ECOPMV1_01645
ko:K05595	ecoi:ECOPMV1_01655
ko:K12944	ecoi:ECOPMV1_02412
ko:K02056	ecoi:ECOPMV1_00329
ko:K00121	ecoi:ECOPMV1_00350
ko:K10831	ecoi:ECOPMV1_00357
ko:K01834	ecoi:ECOPMV1_00758
ko:K01785	ecoi:ECOPMV1_00759
ko:K01784	ecoi:ECOPMV1_00762
ko:K02017	ecoi:ECOPMV1_00768
ko:K07404	ecoi:ECOPMV1_00770
ko:K00567	ecoi:ECOPMV1_01531
ko:K14061	ecoi:ECOPMV1_01544
ko:K14062	ecoi:ECOPMV1_01545
ko:K16328	ecoi:ECOPMV1_02321
ko:K16329	ecoi:ECOPMV1_02325
ko:K16328	ecoi:ECOPMV1_02326
ko:K00882	ecoi:ECOPMV1_02328
ko:K06183	ecoi:ECOPMV1_02344
ko:K02200	ecoi:ECOPMV1_02354
ko:K02193	ecoi:ECOPMV1_02361
ko:K02569	ecoi:ECOPMV1_02362
ko:K02100	ecoi:ECOPMV1_03131
ko:K00065	ecoi:ECOPMV1_03132
ko:K00626	ecoi:ECOPMV1_03134
ko:K12943	ecoi:ECOPMV1_03137
ko:K13479	ecoi:ECOPMV1_03139
ko:K00090	ecoi:ECOPMV1_03891
ko:K00854	ecoi:ECOPMV1_03902
ko:K03796	ecoi:ECOPMV1_03908
ko:K01176	ecoi:ECOPMV1_03909
ko:K02798	ecoi:ECOPMV1_03931
ko:K02799	ecoi:ECOPMV1_03931
ko:K02800	ecoi:ECOPMV1_03931
ko:K03469	ecoi:ECOPMV1_00222
ko:K02342	ecoi:ECOPMV1_00223
ko:K06887	ecoi:ECOPMV1_00226
ko:K06445	ecoi:ECOPMV1_00253
ko:K07491	ecoi:ECOPMV1_00258
ko:K09020	ecoi:ECOPMV1_01033
ko:K01077	ecoi:ECOPMV1_00370
ko:K07657	ecoi:ECOPMV1_00385
ko:K00059	ecoi:ECOPMV1_01172
ko:K02619	ecoi:ECOPMV1_01175
ko:K02778	ecoi:ECOPMV1_01180
ko:K02779	ecoi:ECOPMV1_01180
ko:K11069	ecoi:ECOPMV1_01202
ko:K11071	ecoi:ECOPMV1_01204
ko:K11072	ecoi:ECOPMV1_01205
ko:K01258	ecoi:ECOPMV1_01206
ko:K07660	ecoi:ECOPMV1_01209
ko:K00575	ecoi:ECOPMV1_01976
ko:K01176	ecoi:ECOPMV1_02017
ko:K15460	ecoi:ECOPMV1_02757
ko:K05812	ecoi:ECOPMV1_02765
ko:K07709	ecoi:ECOPMV1_02784
ko:K03148	ecoi:ECOPMV1_02797
ko:K10440	ecoi:ECOPMV1_03561
ko:K10439	ecoi:ECOPMV1_03563
ko:K08314	ecoi:ECOPMV1_04350
ko:K03386	ecoi:ECOPMV1_00624
ko:K05966	ecoi:ECOPMV1_00632
ko:K03326	ecoi:ECOPMV1_00640
ko:K07258	ecoi:ECOPMV1_00649
ko:K04774	ecoi:ECOPMV1_01467
ko:K08992	ecoi:ECOPMV1_01477
ko:K02436	ecoi:ECOPMV1_02248
ko:K00094	ecoi:ECOPMV1_02249
ko:K02775	ecoi:ECOPMV1_02250
ko:K07273	ecoi:ECOPMV1_02260
ko:K00380	ecoi:ECOPMV1_03017
ko:K04765	ecoi:ECOPMV1_03037
ko:K03535	ecoi:ECOPMV1_03045
ko:K02775	ecoi:ECOPMV1_03807
ko:K11189	ecoi:ECOPMV1_03809
ko:K06149	ecoi:ECOPMV1_03818
ko:K00383	ecoi:ECOPMV1_03823
ko:K07227	ecoi:ECOPMV1_03833
ko:K07304	ecoi:ECOPMV1_04691
ko:K01507	ecoi:ECOPMV1_04695
ko:K02056	ecoi:ECOPMV1_04697
ko:K01226	ecoi:ECOPMV1_04708
ko:K09022	ecoi:ECOPMV1_04713
ko:K01478	ecoi:ECOPMV1_04720
ko:K03316	ecoi:ECOPMV1_04813
ko:K01002	ecoi:ECOPMV1_04816
ko:K00564	ecoi:ECOPMV1_04830
ko:K02549	ecoi:ECOPMV1_02423
ko:K08680	ecoi:ECOPMV1_02425
ko:K02552	ecoi:ECOPMV1_02427
ko:K02348	ecoi:ECOPMV1_02429
ko:K00784	ecoi:ECOPMV1_02430
ko:K07114	ecoi:ECOPMV1_02431
ko:K02799	ecoi:ECOPMV1_03206
ko:K02800	ecoi:ECOPMV1_03206
ko:K02798	ecoi:ECOPMV1_03207
ko:K01480	ecoi:ECOPMV1_03211
ko:K01585	ecoi:ECOPMV1_03213
ko:K02428	ecoi:ECOPMV1_03227
ko:K01424	ecoi:ECOPMV1_03230
ko:K03289	ecoi:ECOPMV1_03237
ko:K07784	ecoi:ECOPMV1_04010
ko:K00389	ecoi:ECOPMV1_04019
ko:K03307	ecoi:ECOPMV1_04022
ko:K06858	ecoi:ECOPMV1_00164
ko:K01243	ecoi:ECOPMV1_00165
ko:K00674	ecoi:ECOPMV1_00170
ko:K08234	ecoi:ECOPMV1_00193
ko:K04091	ecoi:ECOPMV1_00972
ko:K03286	ecoi:ECOPMV1_00987
ko:K07343	ecoi:ECOPMV1_00989
ko:K09909	ecoi:ECOPMV1_00994
ko:K11179	ecoi:ECOPMV1_00999
ko:K06282	ecoi:ECOPMV1_01002
ko:K06281	ecoi:ECOPMV1_01003
ko:K07772	ecoi:ECOPMV1_01017
ko:K08997	ecoi:ECOPMV1_01805
ko:K07283	ecoi:ECOPMV1_01821
ko:K16370	ecoi:ECOPMV1_01822
ko:K13636	ecoi:ECOPMV1_02568
ko:K01577	ecoi:ECOPMV1_02577
ko:K00845	ecoi:ECOPMV1_02592
ko:K01916	ecoi:ECOPMV1_01838
ko:K03478	ecoi:ECOPMV1_01831
ko:K01424	ecoi:ECOPMV1_01864
ko:K02784	ecoi:ECOPMV1_02618
ko:K08483	ecoi:ECOPMV1_02619
ko:K07393	ecoi:ECOPMV1_03419
ko:K00932	ecoi:ECOPMV1_03429
ko:K01630	ecoi:ECOPMV1_03436
ko:K01708	ecoi:ECOPMV1_03439
ko:K02745	ecoi:ECOPMV1_03442
ko:K02744	ecoi:ECOPMV1_03445
ko:K07793	ecoi:ECOPMV1_04186
ko:K03498	ecoi:ECOPMV1_04207
ko:K00230	ecoi:ECOPMV1_04208
ko:K01222	ecoi:ECOPMV1_01832
ko:K07491	ecoi:ECOPMV1_00034
ko:K01250	ecoi:ECOPMV1_00661
ko:K14221	ecoi:ECOPMV1_00214
ko:K14221	ecoi:ECOPMV1_04099
ko:K14221	ecoi:ECOPMV1_00224
ko:K01985	ecoi:ECOPMV1_00213
ko:K01985	ecoi:ECOPMV1_02818
ko:K01985	ecoi:ECOPMV1_02776
ko:K01985	ecoi:ECOPMV1_03585
ko:K01985	ecoi:ECOPMV1_04382
ko:K01985	ecoi:ECOPMV1_04214
ko:K01985	ecoi:ECOPMV1_04098
ko:K01985	ecoi:ECOPMV1_03583
ko:K14219	ecoi:ECOPMV1_01085
ko:K14230	ecoi:ECOPMV1_01412
ko:K11070	ecoi:ECOPMV1_01203
ko:K14237	ecoi:ECOPMV1_00749
ko:K14237	ecoi:ECOPMV1_02604
ko:K14237	ecoi:ECOPMV1_02605
ko:K14237	ecoi:ECOPMV1_02603
ko:K14237	ecoi:ECOPMV1_00747
ko:K14231	ecoi:ECOPMV1_03240
ko:K14231	ecoi:ECOPMV1_04594
ko:K14230	ecoi:ECOPMV1_03387
ko:K01977	ecoi:ECOPMV1_04094
ko:K01977	ecoi:ECOPMV1_03589
ko:K01977	ecoi:ECOPMV1_04209
ko:K01977	ecoi:ECOPMV1_02780
ko:K01977	ecoi:ECOPMV1_04377
ko:K01977	ecoi:ECOPMV1_00208
ko:K01977	ecoi:ECOPMV1_02822
ko:K14232	ecoi:ECOPMV1_03883
ko:K14238	ecoi:ECOPMV1_04000
ko:K14235	ecoi:ECOPMV1_04100
ko:K14219	ecoi:ECOPMV1_04130
ko:K14226	ecoi:ECOPMV1_04131
ko:K14232	ecoi:ECOPMV1_04133
ko:K14228	ecoi:ECOPMV1_03483
ko:K15841	ecoi:ECOPMV1_02737
ko:K03472	ecoi:ECOPMV1_03196
ko:K16785	ecoi:ECOPMV1_03199
ko:K14348	ecoi:ECOPMV1_03940
ko:K03216	ecoi:ECOPMV1_03942
ko:K00640	ecoi:ECOPMV1_03943
ko:K00057	ecoi:ECOPMV1_03944
ko:K03071	ecoi:ECOPMV1_03945
ko:K15633	ecoi:ECOPMV1_03948
ko:K09798	ecoi:ECOPMV1_03950
ko:K00060	ecoi:ECOPMV1_03952
ko:K03274	ecoi:ECOPMV1_03954
ko:K02841	ecoi:ECOPMV1_03956
ko:K02847	ecoi:ECOPMV1_03957
ko:K12983	ecoi:ECOPMV1_03958
ko:K02850	ecoi:ECOPMV1_03960
ko:K02848	ecoi:ECOPMV1_03963
ko:K02844	ecoi:ECOPMV1_03964
ko:K02527	ecoi:ECOPMV1_03967
ko:K00954	ecoi:ECOPMV1_03968
ko:K02913	ecoi:ECOPMV1_03970
ko:K02902	ecoi:ECOPMV1_03971
ko:K03630	ecoi:ECOPMV1_03972
ko:K13038	ecoi:ECOPMV1_03973
ko:K05501	ecoi:ECOPMV1_03975
ko:K00762	ecoi:ECOPMV1_03976
ko:K00989	ecoi:ECOPMV1_03977
ko:K01972	ecoi:ECOPMV1_03981
ko:K00942	ecoi:ECOPMV1_03982
ko:K03060	ecoi:ECOPMV1_03983
ko:K00556	ecoi:ECOPMV1_03985
ko:K03655	ecoi:ECOPMV1_03986
ko:K01940	ecoi:ECOPMV1_03481
ko:K03075	ecoi:ECOPMV1_03484
ko:K03431	ecoi:ECOPMV1_03485
ko:K00796	ecoi:ECOPMV1_03486
ko:K03798	ecoi:ECOPMV1_03487
ko:K07574	ecoi:ECOPMV1_03489
ko:K03624	ecoi:ECOPMV1_03490
ko:K07259	ecoi:ECOPMV1_03493
ko:K03979	ecoi:ECOPMV1_03494
ko:K02899	ecoi:ECOPMV1_03496
ko:K02888	ecoi:ECOPMV1_03497
ko:K08318	ecoi:ECOPMV1_04237
ko:K07058	ecoi:ECOPMV1_04244
