ko:K19405	ctll:L1440_00714
ko:K00895	ctll:L1440_00210
ko:K02527	ctll:L1440_00213
ko:K01869	ctll:L1440_00214
ko:K01845	ctll:L1440_00215
ko:K02455	ctll:L1440_00601
ko:K02453	ctll:L1440_00603
ko:K03572	ctll:L1440_00606
ko:K01868	ctll:L1440_00612
ko:K01867	ctll:L1440_00616
ko:K03702	ctll:L1440_00617
ko:K01689	ctll:L1440_00618
ko:K00240	ctll:L1440_00622
ko:K00239	ctll:L1440_00623
ko:K03424	ctll:L1440_00626
ko:K03562	ctll:L1440_00628
ko:K03641	ctll:L1440_00631
ko:K03640	ctll:L1440_00632
ko:K03648	ctll:L1440_00641
ko:K03657	ctll:L1440_00642
ko:K03092	ctll:L1440_00643
ko:K06137	ctll:L1440_00644
ko:K13941	ctll:L1440_00647
ko:K01633	ctll:L1440_00648
ko:K03086	ctll:L1440_00649
ko:K02968	ctll:L1440_00651
ko:K07735	ctll:L1440_00216
ko:K08999	ctll:L1440_00217
ko:K01807	ctll:L1440_00218
ko:K03787	ctll:L1440_00223
ko:K03179	ctll:L1440_00224
ko:K03186	ctll:L1440_00225
ko:K03308	ctll:L1440_00238
ko:K02078	ctll:L1440_00243
ko:K00645	ctll:L1440_00245
ko:K00648	ctll:L1440_00246
ko:K06187	ctll:L1440_00247
ko:K07277	ctll:L1440_00248
ko:K06142	ctll:L1440_00249
ko:K02536	ctll:L1440_00250
ko:K00161	ctll:L1440_00252
ko:K00162	ctll:L1440_00253
ko:K00627	ctll:L1440_00254
ko:K00688	ctll:L1440_00255
ko:K02313	ctll:L1440_00257
ko:K03217	ctll:L1440_00258
ko:K04487	ctll:L1440_00265
ko:K07083	ctll:L1440_00269
ko:K03980	ctll:L1440_00658
ko:K01151	ctll:L1440_00659
ko:K02986	ctll:L1440_00660
ko:K07146	ctll:L1440_00661
ko:K13789	ctll:L1440_00662
ko:K01698	ctll:L1440_00668
ko:K00346	ctll:L1440_00669
ko:K03582	ctll:L1440_00675
ko:K03583	ctll:L1440_00676
ko:K03168	ctll:L1440_00679
ko:K02221	ctll:L1440_00681
ko:K03581	ctll:L1440_00688
ko:K06861	ctll:L1440_00690
ko:K01627	ctll:L1440_00692
ko:K06180	ctll:L1440_00696
ko:K06960	ctll:L1440_00697
ko:K02469	ctll:L1440_00698
ko:K02470	ctll:L1440_00699
ko:K02492	ctll:L1440_00700
ko:K03224	ctll:L1440_00707
ko:K01962	ctll:L1440_00272
ko:K01448	ctll:L1440_00275
ko:K01928	ctll:L1440_00276
ko:K03587	ctll:L1440_00277
ko:K03438	ctll:L1440_00279
ko:K02313	ctll:L1440_00282
ko:K00347	ctll:L1440_00285
ko:K00348	ctll:L1440_00286
ko:K00349	ctll:L1440_00287
ko:K00350	ctll:L1440_00288
ko:K02437	ctll:L1440_00289
ko:K03800	ctll:L1440_00292
ko:K03696	ctll:L1440_00293
ko:K00566	ctll:L1440_00294
ko:K01963	ctll:L1440_00300
ko:K04564	ctll:L1440_00301
ko:K03685	ctll:L1440_00304
ko:K04485	ctll:L1440_00305
ko:K01749	ctll:L1440_00306
ko:K01873	ctll:L1440_00309
ko:K03046	ctll:L1440_00321
ko:K03043	ctll:L1440_00322
ko:K02935	ctll:L1440_00323
ko:K02417	ctll:L1440_00710
ko:K03219	ctll:L1440_00712
ko:K02838	ctll:L1440_00718
ko:K09903	ctll:L1440_00719
ko:K02357	ctll:L1440_00720
ko:K02967	ctll:L1440_00721
ko:K03162	ctll:L1440_00724
ko:K09013	ctll:L1440_00728
ko:K09015	ctll:L1440_00729
ko:K11717	ctll:L1440_00730
ko:K07220	ctll:L1440_00734
ko:K03306	ctll:L1440_00735
ko:K00927	ctll:L1440_00736
ko:K10773	ctll:L1440_00740
ko:K03650	ctll:L1440_00741
ko:K00215	ctll:L1440_00380
ko:K00800	ctll:L1440_00382
ko:K00891	ctll:L1440_00383
ko:K01736	ctll:L1440_00384
ko:K01735	ctll:L1440_00385
ko:K13832	ctll:L1440_00386
ko:K03758	ctll:L1440_00390
ko:K00024	ctll:L1440_00392
ko:K01810	ctll:L1440_00394
ko:K03665	ctll:L1440_00395
ko:K06167	ctll:L1440_00396
ko:K09996	ctll:L1440_00397
ko:K06966	ctll:L1440_00404
ko:K09131	ctll:L1440_00405
ko:K10206	ctll:L1440_00407
ko:K01881	ctll:L1440_00410
ko:K03705	ctll:L1440_00411
ko:K03687	ctll:L1440_00412
ko:K04043	ctll:L1440_00413
ko:K12573	ctll:L1440_00414
ko:K07164	ctll:L1440_00415
ko:K06041	ctll:L1440_00416
ko:K00658	ctll:L1440_00417
ko:K00912	ctll:L1440_00419
ko:K03437	ctll:L1440_00420
ko:K06969	ctll:L1440_00421
ko:K01613	ctll:L1440_00742
ko:K03070	ctll:L1440_00744
ko:K03977	ctll:L1440_00746
ko:K03544	ctll:L1440_00748
ko:K01358	ctll:L1440_00749
ko:K03545	ctll:L1440_00750
ko:K03569	ctll:L1440_00753
ko:K00057	ctll:L1440_00758
ko:K02412	ctll:L1440_00761
ko:K02411	ctll:L1440_00762
ko:K02409	ctll:L1440_00763
ko:K03301	ctll:L1440_00068
ko:K00099	ctll:L1440_00074
ko:K03629	ctll:L1440_00077
ko:K03106	ctll:L1440_00027
ko:K02959	ctll:L1440_00028
ko:K00554	ctll:L1440_00029
ko:K02884	ctll:L1440_00030
ko:K03470	ctll:L1440_00031
ko:K00942	ctll:L1440_00032
ko:K01874	ctll:L1440_00034
ko:K03581	ctll:L1440_00035
ko:K01494	ctll:L1440_00041
ko:K03551	ctll:L1440_00042
ko:K01255	ctll:L1440_00047
ko:K02340	ctll:L1440_00049
ko:K07056	ctll:L1440_00050
ko:K00164	ctll:L1440_00056
ko:K00658	ctll:L1440_00057
ko:K05810	ctll:L1440_00058
ko:K03526	ctll:L1440_00059
ko:K02400	ctll:L1440_00063
ko:K02405	ctll:L1440_00064
ko:K01866	ctll:L1440_00065
ko:K03596	ctll:L1440_00067
ko:K02338	ctll:L1440_00078
ko:K11753	ctll:L1440_00094
ko:K02834	ctll:L1440_00096
ko:K02519	ctll:L1440_00097
ko:K02600	ctll:L1440_00098
ko:K02945	ctll:L1440_00099
ko:K00384	ctll:L1440_00100
ko:K00997	ctll:L1440_00101
ko:K00425	ctll:L1440_00014
ko:K00426	ctll:L1440_00015
ko:K07175	ctll:L1440_00016
ko:K01870	ctll:L1440_00021
ko:K03100	ctll:L1440_00022
ko:K02909	ctll:L1440_00024
ko:K02835	ctll:L1440_00025
ko:K02493	ctll:L1440_00026
ko:K03664	ctll:L1440_00079
ko:K03734	ctll:L1440_00080
ko:K01491	ctll:L1440_00081
ko:K02902	ctll:L1440_00087
ko:K00705	ctll:L1440_00088
ko:K04058	ctll:L1440_00090
ko:K03230	ctll:L1440_00091
ko:K03229	ctll:L1440_00092
ko:K06942	ctll:L1440_00093
ko:K00793	ctll:L1440_00422
ko:K07738	ctll:L1440_00423
ko:K06204	ctll:L1440_00424
ko:K03101	ctll:L1440_00425
ko:K03310	ctll:L1440_00426
ko:K00748	ctll:L1440_00428
ko:K03834	ctll:L1440_00874
ko:K06890	ctll:L1440_00875
ko:K03110	ctll:L1440_00876
ko:K01903	ctll:L1440_00877
ko:K01902	ctll:L1440_00878
ko:K09760	ctll:L1440_00881
ko:K00075	ctll:L1440_00887
ko:K02520	ctll:L1440_00889
ko:K02916	ctll:L1440_00890
ko:K02887	ctll:L1440_00891
ko:K01889	ctll:L1440_00892
ko:K11720	ctll:L1440_00895
ko:K07091	ctll:L1440_00896
ko:K04075	ctll:L1440_00897
ko:K03798	ctll:L1440_00898
ko:K00962	ctll:L1440_00899
ko:K02956	ctll:L1440_00900
ko:K01265	ctll:L1440_00909
ko:K03321	ctll:L1440_00915
ko:K03527	ctll:L1440_00918
ko:K00208	ctll:L1440_00105
ko:K02864	ctll:L1440_00324
ko:K02863	ctll:L1440_00325
ko:K02867	ctll:L1440_00326
ko:K02601	ctll:L1440_00327
ko:K03073	ctll:L1440_00328
ko:K02358	ctll:L1440_00330
ko:K02518	ctll:L1440_00332
ko:K01803	ctll:L1440_00340
ko:K03601	ctll:L1440_00341
ko:K03602	ctll:L1440_00342
ko:K01662	ctll:L1440_00344
ko:K00873	ctll:L1440_00345
ko:K03701	ctll:L1440_00346
ko:K02343	ctll:L1440_00347
ko:K09747	ctll:L1440_00348
ko:K11381	ctll:L1440_00354
ko:K03686	ctll:L1440_00355
ko:K02970	ctll:L1440_00356
ko:K01338	ctll:L1440_00358
ko:K03733	ctll:L1440_00361
ko:K06287	ctll:L1440_00363
ko:K03075	ctll:L1440_00366
ko:K01462	ctll:L1440_00367
ko:K02528	ctll:L1440_00368
ko:K06888	ctll:L1440_00370
ko:K03523	ctll:L1440_00374
ko:K01714	ctll:L1440_00377
ko:K00928	ctll:L1440_00378
ko:K00133	ctll:L1440_00379
ko:K13819	ctll:L1440_00764
ko:K04487	ctll:L1440_00765
ko:K06178	ctll:L1440_00767
ko:K03524	ctll:L1440_00769
ko:K05837	ctll:L1440_00770
ko:K01875	ctll:L1440_00773
ko:K11752	ctll:L1440_00774
ko:K14652	ctll:L1440_00775
ko:K00794	ctll:L1440_00776
ko:K03310	ctll:L1440_00779
ko:K03466	ctll:L1440_00783
ko:K00351	ctll:L1440_00788
ko:K03210	ctll:L1440_00789
ko:K00231	ctll:L1440_00793
ko:K01599	ctll:L1440_00795
ko:K03723	ctll:L1440_00796
ko:K01872	ctll:L1440_00797
ko:K00615	ctll:L1440_00801
ko:K01241	ctll:L1440_00802
ko:K02356	ctll:L1440_00803
ko:K01929	ctll:L1440_00808
ko:K01000	ctll:L1440_00809
ko:K01925	ctll:L1440_00810
ko:K03588	ctll:L1440_00812
ko:K02563	ctll:L1440_00813
ko:K06960	ctll:L1440_00815
ko:K09817	ctll:L1440_00434
ko:K09816	ctll:L1440_00435
ko:K03979	ctll:L1440_00436
ko:K02899	ctll:L1440_00437
ko:K02888	ctll:L1440_00438
ko:K07042	ctll:L1440_00443
ko:K03183	ctll:L1440_00450
ko:K01778	ctll:L1440_00452
ko:K01358	ctll:L1440_00453
ko:K00600	ctll:L1440_00454
ko:K01770	ctll:L1440_00456
ko:K02946	ctll:L1440_00458
ko:K02355	ctll:L1440_00459
ko:K02992	ctll:L1440_00460
ko:K02950	ctll:L1440_00461
ko:K03797	ctll:L1440_00463
ko:K07462	ctll:L1440_00470
ko:K12257	ctll:L1440_00471
ko:K00806	ctll:L1440_00473
ko:K00981	ctll:L1440_00474
ko:K00945	ctll:L1440_00475
ko:K00655	ctll:L1440_00476
ko:K01887	ctll:L1440_00477
ko:K00790	ctll:L1440_00478
ko:K02836	ctll:L1440_00482
ko:K00991	ctll:L1440_00485
ko:K06173	ctll:L1440_00486
ko:K00791	ctll:L1440_00818
ko:K09710	ctll:L1440_00821
ko:K09458	ctll:L1440_00822
ko:K00263	ctll:L1440_00825
ko:K00655	ctll:L1440_00827
ko:K04066	ctll:L1440_00830
ko:K04567	ctll:L1440_00833
ko:K01883	ctll:L1440_00834
ko:K03536	ctll:L1440_00836
ko:K02919	ctll:L1440_00837
ko:K02954	ctll:L1440_00838
ko:K03703	ctll:L1440_00842
ko:K03555	ctll:L1440_00843
ko:K14164	ctll:L1440_00847
ko:K00995	ctll:L1440_00848
ko:K00703	ctll:L1440_00849
ko:K02897	ctll:L1440_00851
ko:K01056	ctll:L1440_00852
ko:K02990	ctll:L1440_00853
ko:K02963	ctll:L1440_00854
ko:K02939	ctll:L1440_00855
ko:K00919	ctll:L1440_00856
ko:K00630	ctll:L1440_00860
ko:K08301	ctll:L1440_00861
ko:K02911	ctll:L1440_00864
ko:K03621	ctll:L1440_00865
ko:K03431	ctll:L1440_00870
ko:K00820	ctll:L1440_00871
ko:K03834	ctll:L1440_00872
ko:K07710	ctll:L1440_00491
ko:K07714	ctll:L1440_00492
ko:K03584	ctll:L1440_00495
ko:K08998	ctll:L1440_00499
ko:K01890	ctll:L1440_00501
ko:K02034	ctll:L1440_00504
ko:K01772	ctll:L1440_00513
ko:K07099	ctll:L1440_00516
ko:K00975	ctll:L1440_00517
ko:K03628	ctll:L1440_00519
ko:K00859	ctll:L1440_00520
ko:K03301	ctll:L1440_00523
ko:K00995	ctll:L1440_00524
ko:K03495	ctll:L1440_00527
ko:K03800	ctll:L1440_00528
ko:K00940	ctll:L1440_00529
ko:K03550	ctll:L1440_00530
ko:K01159	ctll:L1440_00531
ko:K00134	ctll:L1440_00535
ko:K02879	ctll:L1440_00536
ko:K03040	ctll:L1440_00537
ko:K02948	ctll:L1440_00538
ko:K02952	ctll:L1440_00539
ko:K03076	ctll:L1440_00540
ko:K02876	ctll:L1440_00541
ko:K02988	ctll:L1440_00542
ko:K03471	ctll:L1440_00009
ko:K02517	ctll:L1440_00011
ko:K09779	ctll:L1440_00002
ko:K02435	ctll:L1440_00003
ko:K02433	ctll:L1440_00004
ko:K02434	ctll:L1440_00005
ko:K02028	ctll:L1440_00132
ko:K15035	ctll:L1440_00020
ko:K14222	ctll:L1440_00807
ko:K14220	ctll:L1440_00039
ko:K01985	ctll:L1440_00787
ko:K01985	ctll:L1440_00800
ko:K01980	ctll:L1440_00786
ko:K01980	ctll:L1440_00799
ko:K17103	ctll:L1440_00882
ko:K02035	ctll:L1440_00176
ko:K02049	ctll:L1440_00181
ko:K01409	ctll:L1440_00200
ko:K15582	ctll:L1440_00203
ko:K10823	ctll:L1440_00204
ko:K15583	ctll:L1440_00205
ko:K06889	ctll:L1440_00209
ko:K02454	ctll:L1440_00602
ko:K01262	ctll:L1440_00605
ko:K07315	ctll:L1440_00619
ko:K00241	ctll:L1440_00624
ko:K03386	ctll:L1440_00635
ko:K02428	ctll:L1440_00639
ko:K00059	ctll:L1440_00244
ko:K07052	ctll:L1440_00261
ko:K02342	ctll:L1440_00268
ko:K00813	ctll:L1440_00673
ko:K01934	ctll:L1440_00685
ko:K02806	ctll:L1440_00297
ko:K02806	ctll:L1440_00298
ko:K02124	ctll:L1440_00311
ko:K02123	ctll:L1440_00312
ko:K02120	ctll:L1440_00313
ko:K02118	ctll:L1440_00314
ko:K02117	ctll:L1440_00315
ko:K02121	ctll:L1440_00317
ko:K00616	ctll:L1440_00320
ko:K00970	ctll:L1440_00747
ko:K01596	ctll:L1440_00754
ko:K00972	ctll:L1440_00759
ko:K14228	ctll:L1440_00489
ko:K14233	ctll:L1440_00525
ko:K14219	ctll:L1440_00636
ko:K03856	ctll:L1440_00398
ko:K00970	ctll:L1440_00427
ko:K09815	ctll:L1440_00433
ko:K01679	ctll:L1440_00914
ko:K04763	ctll:L1440_00925
ko:K00700	ctll:L1440_00927
ko:K04084	ctll:L1440_00627
ko:K08483	ctll:L1440_00349
ko:K11189	ctll:L1440_00350
ko:K00784	ctll:L1440_00360
ko:K01834	ctll:L1440_00766
ko:K06910	ctll:L1440_00780
ko:K07117	ctll:L1440_00781
ko:K01719	ctll:L1440_00455
ko:K00380	ctll:L1440_00457
ko:K01885	ctll:L1440_00468
ko:K07098	ctll:L1440_00484
ko:K01507	ctll:L1440_00824
ko:K01082	ctll:L1440_00826
ko:K01909	ctll:L1440_00828
ko:K00652	ctll:L1440_00829
ko:K01408	ctll:L1440_00859
ko:K00567	ctll:L1440_00503
ko:K02033	ctll:L1440_00505
ko:K02035	ctll:L1440_00506
ko:K02030	ctll:L1440_00514
ko:K00939	ctll:L1440_00130
ko:K02035	ctll:L1440_00141
ko:K06889	ctll:L1440_00153
ko:K02342	ctll:L1440_00566
ko:K07258	ctll:L1440_00582
ko:K03227	ctll:L1440_00594
ko:K14227	ctll:L1440_00182
ko:K14218	ctll:L1440_00672
ko:K14230	ctll:L1440_00211
ko:K14230	ctll:L1440_00338
ko:K14235	ctll:L1440_00329
ko:K14233	ctll:L1440_00371
ko:K14231	ctll:L1440_00439
ko:K14221	ctll:L1440_00227
ko:K14233	ctll:L1440_00432
ko:K14228	ctll:L1440_00533
ko:K14228	ctll:L1440_00569
ko:K14219	ctll:L1440_00493
ko:K14219	ctll:L1440_00693
ko:K14232	ctll:L1440_00666
ko:K14229	ctll:L1440_00716
ko:K14224	ctll:L1440_00717
ko:K14226	ctll:L1440_00784
ko:K14223	ctll:L1440_00850
ko:K14218	ctll:L1440_00183
ko:K14234	ctll:L1440_00713
ko:K14225	ctll:L1440_00722
ko:K14228	ctll:L1440_00497
ko:K14228	ctll:L1440_00923
ko:K14232	ctll:L1440_00062
ko:K14237	ctll:L1440_00228
ko:K14230	ctll:L1440_00212
ko:K01977	ctll:L1440_00785
ko:K01977	ctll:L1440_00798
ko:K14234	ctll:L1440_00144
ko:K14234	ctll:L1440_00331
ko:K14236	ctll:L1440_00145
ko:K14225	ctll:L1440_00751
ko:K14237	ctll:L1440_00885
ko:K01840	ctll:L1440_00302
ko:K06972	ctll:L1440_00880
ko:K08274	ctll:L1440_00393
ko:K07081	ctll:L1440_00449
ko:K03625	ctll:L1440_00888
ko:K01679	ctll:L1440_00913
ko:K07125	ctll:L1440_00334
ko:K01802	ctll:L1440_00572
ko:K08275	ctll:L1440_00082
ko:K08719	ctll:L1440_00757
ko:K01829	ctll:L1440_00832
ko:K01829	ctll:L1440_00835
ko:K03309	ctll:L1440_00418
ko:K07033	ctll:L1440_00727
ko:K03111	ctll:L1440_00046
ko:K03825	ctll:L1440_00481
ko:K03496	ctll:L1440_00613
ko:K03497	ctll:L1440_00731
ko:K02626	ctll:L1440_00389
ko:K11991	ctll:L1440_00901
ko:K04771	ctll:L1440_00879
ko:K19411	ctll:L1440_00715
ko:K02031	ctll:L1440_00733
ko:K22100	ctll:L1440_00339
ko:K12132	ctll:L1440_00308
ko:K20265	ctll:L1440_00221
ko:K20074	ctll:L1440_00266
ko:K11749	ctll:L1440_00075
ko:K22099	ctll:L1440_00645
ko:K00526	ctll:L1440_00884
ko:K02314	ctll:L1440_00526
ko:K00287	ctll:L1440_00646
ko:K03553	ctll:L1440_00686
ko:K01520	ctll:L1440_00299
ko:K02316	ctll:L1440_00844
ko:K02335	ctll:L1440_00521
ko:K02032	ctll:L1440_00732
ko:K00525	ctll:L1440_00883
ko:K02050	ctll:L1440_00912
ko:K02051	ctll:L1440_00912
ko:K01534	ctll:L1440_00771
ko:K16239	ctll:L1440_00086
