ko:K00001	bll:BLJ_0603
ko:K01507	bll:BLJ_0263
ko:K00651	bll:BLJ_0268
ko:K02108	bll:BLJ_0269
ko:K02110	bll:BLJ_0270
ko:K02109	bll:BLJ_0271
ko:K02113	bll:BLJ_0272
ko:K02111	bll:BLJ_0273
ko:K02115	bll:BLJ_0274
ko:K02112	bll:BLJ_0275
ko:K02114	bll:BLJ_0276
ko:K07503	bll:BLJ_0277
ko:K05838	bll:BLJ_0281
ko:K00057	bll:BLJ_0286
ko:K01921	bll:BLJ_0287
ko:K01744	bll:BLJ_0294
ko:K00567	bll:BLJ_0297
ko:K06902	bll:BLJ_0314
ko:K02902	bll:BLJ_0316
ko:K03655	bll:BLJ_0317
ko:K02431	bll:BLJ_0325
ko:K01206	bll:BLJ_0326
ko:K00554	bll:BLJ_0330
ko:K08303	bll:BLJ_0329
ko:K01304	bll:BLJ_0333
ko:K01372	bll:BLJ_0335
ko:K01626	bll:BLJ_0336
ko:K01626	bll:BLJ_0337
ko:K01243	bll:BLJ_0341
ko:K07776	bll:BLJ_0344
ko:K02040	bll:BLJ_0345
ko:K02037	bll:BLJ_0346
ko:K02038	bll:BLJ_0347
ko:K02036	bll:BLJ_0348
ko:K03744	bll:BLJ_0349
ko:K02860	bll:BLJ_0357
ko:K06960	bll:BLJ_0358
ko:K03101	bll:BLJ_1342
ko:K02221	bll:BLJ_1344
ko:K02003	bll:BLJ_0408
ko:K02026	bll:BLJ_0416
ko:K12308	bll:BLJ_0417
ko:K01224	bll:BLJ_0419
ko:K07133	bll:BLJ_0422
ko:K03322	bll:BLJ_0423
ko:K04096	bll:BLJ_0434
ko:K03426	bll:BLJ_0442
ko:K02437	bll:BLJ_0443
ko:K01354	bll:BLJ_0445
ko:K00052	bll:BLJ_0446
ko:K03800	bll:BLJ_0447
ko:K00226	bll:BLJ_0451
ko:K00849	bll:BLJ_0454
ko:K02529	bll:BLJ_0459
ko:K07166	bll:BLJ_0461
ko:K09157	bll:BLJ_0462
ko:K03216	bll:BLJ_0463
ko:K03575	bll:BLJ_0464
ko:K03043	bll:BLJ_0466
ko:K03046	bll:BLJ_0467
ko:K09772	bll:BLJ_1345
ko:K03531	bll:BLJ_1346
ko:K01880	bll:BLJ_1348
ko:K00878	bll:BLJ_1350
ko:K03147	bll:BLJ_1351
ko:K08369	bll:BLJ_1355
ko:K02532	bll:BLJ_1362
ko:K01193	bll:BLJ_1363
ko:K00806	bll:BLJ_1368
ko:K03584	bll:BLJ_1369
ko:K00099	bll:BLJ_1372
ko:K07177	bll:BLJ_1376
ko:K02034	bll:BLJ_0529
ko:K02032	bll:BLJ_0531
ko:K01697	bll:BLJ_0532
ko:K03654	bll:BLJ_0535
ko:K07173	bll:BLJ_0536
ko:K03294	bll:BLJ_0538
ko:K01775	bll:BLJ_0539
ko:K01129	bll:BLJ_0540
ko:K02316	bll:BLJ_0541
ko:K06215	bll:BLJ_0542
ko:K08681	bll:BLJ_0543
ko:K03710	bll:BLJ_0544
ko:K13051	bll:BLJ_0545
ko:K01662	bll:BLJ_0557
ko:K01588	bll:BLJ_0559
ko:K01589	bll:BLJ_0560
ko:K03711	bll:BLJ_0561
ko:K01945	bll:BLJ_0566
ko:K01933	bll:BLJ_0567
ko:K00764	bll:BLJ_0568
ko:K03502	bll:BLJ_0571
ko:K03315	bll:BLJ_0574
ko:K01952	bll:BLJ_0583
ko:K01923	bll:BLJ_0584
ko:K08289	bll:BLJ_0586
ko:K03696	bll:BLJ_1465
ko:K03704	bll:BLJ_1472
ko:K04077	bll:BLJ_1477
ko:K03704	bll:BLJ_1479
ko:K03648	bll:BLJ_1481
ko:K03924	bll:BLJ_1482
ko:K07114	bll:BLJ_1486
ko:K01756	bll:BLJ_1491
ko:K03530	bll:BLJ_1493
ko:K13571	bll:BLJ_1494
ko:K13570	bll:BLJ_1495
ko:K01092	bll:BLJ_1496
ko:K13527	bll:BLJ_1498
ko:K04066	bll:BLJ_1501
ko:K07025	bll:BLJ_1502
ko:K00604	bll:BLJ_1503
ko:K01687	bll:BLJ_1504
ko:K03060	bll:BLJ_1505
ko:K00789	bll:BLJ_1506
ko:K01153	bll:BLJ_1507
ko:K01154	bll:BLJ_1508
ko:K03427	bll:BLJ_1509
ko:K01870	bll:BLJ_1511
ko:K02529	bll:BLJ_1515
ko:K01156	bll:BLJ_0935
ko:K02887	bll:BLJ_1233
ko:K02916	bll:BLJ_1234
ko:K02520	bll:BLJ_1235
ko:K00134	bll:BLJ_1238
ko:K03527	bll:BLJ_1254
ko:K03088	bll:BLJ_1258
ko:K01928	bll:BLJ_1259
ko:K03529	bll:BLJ_1261
ko:K01262	bll:BLJ_1264
ko:K02034	bll:BLJ_1267
ko:K02033	bll:BLJ_1268
ko:K02035	bll:BLJ_1269
ko:K01443	bll:BLJ_1270
ko:K02564	bll:BLJ_1271
ko:K00847	bll:BLJ_1275
ko:K09704	bll:BLJ_1276
ko:K05349	bll:BLJ_1280
ko:K02026	bll:BLJ_1282
ko:K02025	bll:BLJ_1283
ko:K07560	bll:BLJ_1287
ko:K03657	bll:BLJ_1378
ko:K07053	bll:BLJ_1381
ko:K01778	bll:BLJ_1383
ko:K01776	bll:BLJ_1384
ko:K01999	bll:BLJ_1394
ko:K01599	bll:BLJ_1395
ko:K00286	bll:BLJ_1396
ko:K02342	bll:BLJ_1402
ko:K02003	bll:BLJ_0770
ko:K02073	bll:BLJ_0773
ko:K02071	bll:BLJ_0774
ko:K02072	bll:BLJ_0775
ko:K01950	bll:BLJ_0777
ko:K00656	bll:BLJ_0779
ko:K04069	bll:BLJ_0780
ko:K03684	bll:BLJ_0782
ko:K03545	bll:BLJ_0783
ko:K01358	bll:BLJ_0786
ko:K01358	bll:BLJ_0787
ko:K03544	bll:BLJ_0788
ko:K03313	bll:BLJ_0790
ko:K06966	bll:BLJ_0791
ko:K00240	bll:BLJ_0793
ko:K00239	bll:BLJ_0794
ko:K07391	bll:BLJ_0796
ko:K07460	bll:BLJ_0797
ko:K00868	bll:BLJ_0798
ko:K01740	bll:BLJ_0799
ko:K02003	bll:BLJ_0800
ko:K00286	bll:BLJ_0805
ko:K06942	bll:BLJ_0806
ko:K01875	bll:BLJ_1698
ko:K03488	bll:BLJ_1700
ko:K02755	bll:BLJ_1701
ko:K02756	bll:BLJ_1701
ko:K02757	bll:BLJ_1701
ko:K03469	bll:BLJ_1708
ko:K01807	bll:BLJ_1709
ko:K04485	bll:BLJ_1711
ko:K11753	bll:BLJ_1712
ko:K03177	bll:BLJ_1713
ko:K02834	bll:BLJ_1714
ko:K02519	bll:BLJ_1715
ko:K02600	bll:BLJ_1716
ko:K06173	bll:BLJ_1724
ko:K02879	bll:BLJ_1725
ko:K03040	bll:BLJ_1726
ko:K02948	bll:BLJ_1727
ko:K02952	bll:BLJ_1728
ko:K02919	bll:BLJ_1729
ko:K02518	bll:BLJ_1730
ko:K00939	bll:BLJ_1731
ko:K03076	bll:BLJ_1732
ko:K02876	bll:BLJ_1733
ko:K02907	bll:BLJ_1734
ko:K02988	bll:BLJ_1735
ko:K02881	bll:BLJ_1736
ko:K02933	bll:BLJ_1737
ko:K02994	bll:BLJ_1738
ko:K02954	bll:BLJ_1739
ko:K02931	bll:BLJ_1740
ko:K02895	bll:BLJ_1741
ko:K02874	bll:BLJ_1742
ko:K02961	bll:BLJ_1743
ko:K00766	bll:BLJ_1180
ko:K03070	bll:BLJ_1182
ko:K03565	bll:BLJ_1184
ko:K03553	bll:BLJ_1185
ko:K03743	bll:BLJ_1188
ko:K00995	bll:BLJ_1189
ko:K03466	bll:BLJ_1191
ko:K04095	bll:BLJ_1190
ko:K00791	bll:BLJ_1192
ko:K06168	bll:BLJ_1193
ko:K06890	bll:BLJ_1196
ko:K01681	bll:BLJ_1203
ko:K01142	bll:BLJ_1209
ko:K03733	bll:BLJ_1214
ko:K06207	bll:BLJ_1219
ko:K02003	bll:BLJ_1221
ko:K08369	bll:BLJ_1223
ko:K04487	bll:BLJ_1224
ko:K00767	bll:BLJ_1225
ko:K00278	bll:BLJ_1226
ko:K03517	bll:BLJ_1227
ko:K06024	bll:BLJ_1229
ko:K05896	bll:BLJ_1230
ko:K03496	bll:BLJ_1231
ko:K04763	bll:BLJ_1232
ko:K00989	bll:BLJ_0385
ko:K12554	bll:BLJ_0388
ko:K01810	bll:BLJ_0394
ko:K02049	bll:BLJ_0395
ko:K02050	bll:BLJ_0396
ko:K02884	bll:BLJ_0397
ko:K03100	bll:BLJ_0398
ko:K03470	bll:BLJ_0399
ko:K01804	bll:BLJ_0403
ko:K07010	bll:BLJ_0405
ko:K03589	bll:BLJ_1293
ko:K01924	bll:BLJ_1294
ko:K02563	bll:BLJ_1295
ko:K03588	bll:BLJ_1296
ko:K01925	bll:BLJ_1297
ko:K01000	bll:BLJ_1298
ko:K01929	bll:BLJ_1299
ko:K03587	bll:BLJ_1301
ko:K03438	bll:BLJ_1303
ko:K03925	bll:BLJ_1304
ko:K00058	bll:BLJ_1306
ko:K07738	bll:BLJ_1307
ko:K01356	bll:BLJ_1309
ko:K00016	bll:BLJ_1311
ko:K03665	bll:BLJ_1312
ko:K03578	bll:BLJ_1314
ko:K01811	bll:BLJ_1317
ko:K02026	bll:BLJ_1318
ko:K02025	bll:BLJ_1319
ko:K01915	bll:BLJ_1324
ko:K02501	bll:BLJ_1326
ko:K01693	bll:BLJ_1328
ko:K00817	bll:BLJ_1329
ko:K00013	bll:BLJ_1330
ko:K00854	bll:BLJ_1331
ko:K10254	bll:BLJ_1337
ko:K02337	bll:BLJ_1339
ko:K07058	bll:BLJ_1340
ko:K06180	bll:BLJ_1341
ko:K03306	bll:BLJ_0833
ko:K07220	bll:BLJ_0834
ko:K05995	bll:BLJ_0847
ko:K07727	bll:BLJ_0853
ko:K03458	bll:BLJ_0854
ko:K03816	bll:BLJ_0855
ko:K03657	bll:BLJ_0856
ko:K02003	bll:BLJ_0859
ko:K02986	bll:BLJ_0860
ko:K07010	bll:BLJ_0861
ko:K01489	bll:BLJ_0862
ko:K01872	bll:BLJ_0870
ko:K07447	bll:BLJ_0871
ko:K07082	bll:BLJ_0872
ko:K02654	bll:BLJ_0873
ko:K01736	bll:BLJ_0874
ko:K03786	bll:BLJ_0876
ko:K01937	bll:BLJ_0877
ko:K09014	bll:BLJ_0878
ko:K09015	bll:BLJ_0879
ko:K09013	bll:BLJ_0880
ko:K11717	bll:BLJ_0881
ko:K04488	bll:BLJ_0882
ko:K00975	bll:BLJ_0884
ko:K09761	bll:BLJ_0887
ko:K02904	bll:BLJ_1744
ko:K02878	bll:BLJ_1745
ko:K02982	bll:BLJ_1746
ko:K01409	bll:BLJ_1129
ko:K03789	bll:BLJ_1130
ko:K06925	bll:BLJ_1132
ko:K02340	bll:BLJ_1133
ko:K02237	bll:BLJ_1135
ko:K01869	bll:BLJ_1136
ko:K03284	bll:BLJ_1138
ko:K01834	bll:BLJ_1139
ko:K07006	bll:BLJ_1141
ko:K07729	bll:BLJ_1160
ko:K01520	bll:BLJ_1164
ko:K02469	bll:BLJ_1168
ko:K03724	bll:BLJ_1170
ko:K00852	bll:BLJ_1171
ko:K02470	bll:BLJ_1173
ko:K03086	bll:BLJ_1174
ko:K08884	bll:BLJ_1177
ko:K02528	bll:BLJ_2030
ko:K00919	bll:BLJ_2031
ko:K00384	bll:BLJ_2037
ko:K03497	bll:BLJ_2038
ko:K03496	bll:BLJ_2039
ko:K03501	bll:BLJ_2040
ko:K06346	bll:BLJ_2041
ko:K03217	bll:BLJ_2042
ko:K03536	bll:BLJ_2044
ko:K02914	bll:BLJ_2043
ko:K01151	bll:BLJ_1010
ko:K01696	bll:BLJ_1013
ko:K01695	bll:BLJ_1014
ko:K01783	bll:BLJ_1016
ko:K01523	bll:BLJ_1017
ko:K00765	bll:BLJ_1018
ko:K01091	bll:BLJ_1027
ko:K03727	bll:BLJ_1029
ko:K00963	bll:BLJ_1032
ko:K03977	bll:BLJ_1034
ko:K06178	bll:BLJ_1035
ko:K00602	bll:BLJ_1037
ko:K01902	bll:BLJ_1039
ko:K01903	bll:BLJ_1040
ko:K00759	bll:BLJ_1041
ko:K03210	bll:BLJ_1042
ko:K03551	bll:BLJ_1043
ko:K03550	bll:BLJ_1044
ko:K01159	bll:BLJ_1045
ko:K01868	bll:BLJ_1048
ko:K06153	bll:BLJ_1055
ko:K03686	bll:BLJ_1057
ko:K03705	bll:BLJ_1058
ko:K00615	bll:BLJ_1059
ko:K00616	bll:BLJ_1060
ko:K03311	bll:BLJ_1061
ko:K12308	bll:BLJ_1934
ko:K07133	bll:BLJ_1935
ko:K02035	bll:BLJ_1937
ko:K02034	bll:BLJ_1939
ko:K02033	bll:BLJ_1940
ko:K01372	bll:BLJ_1941
ko:K01874	bll:BLJ_1944
ko:K07056	bll:BLJ_1947
ko:K03734	bll:BLJ_1949
ko:K03655	bll:BLJ_1956
ko:K02025	bll:BLJ_1963
ko:K02003	bll:BLJ_1968
ko:K00016	bll:BLJ_1065
ko:K03075	bll:BLJ_1066
ko:K01803	bll:BLJ_1067
ko:K00927	bll:BLJ_1068
ko:K09762	bll:BLJ_1069
ko:K06958	bll:BLJ_1070
ko:K00014	bll:BLJ_1071
ko:K03703	bll:BLJ_1072
ko:K03701	bll:BLJ_1073
ko:K02003	bll:BLJ_1080
ko:K01304	bll:BLJ_1093
ko:K01657	bll:BLJ_1094
ko:K01496	bll:BLJ_1095
ko:K02500	bll:BLJ_1096
ko:K05520	bll:BLJ_1097
ko:K06941	bll:BLJ_1098
ko:K00981	bll:BLJ_1099
ko:K02838	bll:BLJ_1100
ko:K09903	bll:BLJ_1101
ko:K02357	bll:BLJ_1102
ko:K02967	bll:BLJ_1103
ko:K01462	bll:BLJ_1104
ko:K00088	bll:BLJ_1108
ko:K00031	bll:BLJ_1107
ko:K01421	bll:BLJ_1981
ko:K01421	bll:BLJ_1982
ko:K12410	bll:BLJ_1987
ko:K01754	bll:BLJ_1988
ko:K06999	bll:BLJ_2006
ko:K01494	bll:BLJ_2008
ko:K07133	bll:BLJ_2012
ko:K03218	bll:BLJ_2014
ko:K00526	bll:BLJ_2018
ko:K00525	bll:BLJ_2019
ko:K03647	bll:BLJ_2020
ko:K06191	bll:BLJ_2021
ko:K02890	bll:BLJ_1747
ko:K02965	bll:BLJ_1748
ko:K02886	bll:BLJ_1749
ko:K02892	bll:BLJ_1750
ko:K02926	bll:BLJ_1751
ko:K02906	bll:BLJ_1752
ko:K02946	bll:BLJ_1753
ko:K01575	bll:BLJ_1754
ko:K04072	bll:BLJ_1756
ko:K02996	bll:BLJ_1759
ko:K02871	bll:BLJ_1760
ko:K00705	bll:BLJ_1761
ko:K07282	bll:BLJ_1765
ko:K02346	bll:BLJ_1769
ko:K03294	bll:BLJ_1772
ko:K00075	bll:BLJ_1773
ko:K02913	bll:BLJ_1774
ko:K04078	bll:BLJ_1780
ko:K03790	bll:BLJ_1782
ko:K02935	bll:BLJ_1789
ko:K02864	bll:BLJ_1790
ko:K06901	bll:BLJ_1792
ko:K00962	bll:BLJ_1793
ko:K02956	bll:BLJ_1794
ko:K06217	bll:BLJ_0889
ko:K07042	bll:BLJ_0890
ko:K03595	bll:BLJ_0892
ko:K00324	bll:BLJ_0894
ko:K00324	bll:BLJ_0895
ko:K00325	bll:BLJ_0896
ko:K06889	bll:BLJ_0897
ko:K02897	bll:BLJ_0898
ko:K00826	bll:BLJ_0899
ko:K02968	bll:BLJ_0903
ko:K03596	bll:BLJ_0904
ko:K02529	bll:BLJ_0906
ko:K00865	bll:BLJ_0907
ko:K00265	bll:BLJ_0916
ko:K00266	bll:BLJ_0918
ko:K02035	bll:BLJ_0919
ko:K02013	bll:BLJ_0923
ko:K07316	bll:BLJ_0936
ko:K05786	bll:BLJ_0941
ko:K07442	bll:BLJ_0944
ko:K08296	bll:BLJ_0945
ko:K11533	bll:BLJ_1807
ko:K03523	bll:BLJ_1810
ko:K03524	bll:BLJ_1811
ko:K02863	bll:BLJ_1819
ko:K02867	bll:BLJ_1820
ko:K02601	bll:BLJ_1821
ko:K03073	bll:BLJ_1822
ko:K00931	bll:BLJ_1825
ko:K03979	bll:BLJ_1826
ko:K02899	bll:BLJ_1827
ko:K02888	bll:BLJ_1828
ko:K01439	bll:BLJ_1831
ko:K07088	bll:BLJ_1830
ko:K02429	bll:BLJ_1834
ko:K02003	bll:BLJ_1839
ko:K06287	bll:BLJ_1840
ko:K00872	bll:BLJ_1841
ko:K00003	bll:BLJ_1842
ko:K01586	bll:BLJ_1843
ko:K01887	bll:BLJ_1845
ko:K00790	bll:BLJ_1847
ko:K01704	bll:BLJ_1850
ko:K01703	bll:BLJ_1851
ko:K00937	bll:BLJ_1855
ko:K13525	bll:BLJ_1352
ko:K00549	bll:BLJ_0946
ko:K00763	bll:BLJ_0383
ko:K06950	bll:BLJ_0648
ko:K01866	bll:BLJ_0650
ko:K06442	bll:BLJ_0654
ko:K03499	bll:BLJ_0656
ko:K00858	bll:BLJ_0658
ko:K03631	bll:BLJ_0659
ko:K03655	bll:BLJ_0667
ko:K01733	bll:BLJ_0670
ko:K00600	bll:BLJ_0671
ko:K00147	bll:BLJ_0672
ko:K00969	bll:BLJ_0674
ko:K01207	bll:BLJ_0675
ko:K09118	bll:BLJ_0676
ko:K03823	bll:BLJ_0677
ko:K01056	bll:BLJ_0681
ko:K03723	bll:BLJ_0682
ko:K01689	bll:BLJ_0684
ko:K09009	bll:BLJ_0686
ko:K01752	bll:BLJ_0690
ko:K03624	bll:BLJ_0692
ko:K11068	bll:BLJ_0693
ko:K03466	bll:BLJ_0698
ko:K04069	bll:BLJ_1573
ko:K06990	bll:BLJ_1574
ko:K13288	bll:BLJ_1576
ko:K00088	bll:BLJ_1577
ko:K02493	bll:BLJ_1581
ko:K02835	bll:BLJ_1582
ko:K02909	bll:BLJ_1583
ko:K00854	bll:BLJ_1586
ko:K10547	bll:BLJ_1590
ko:K10548	bll:BLJ_1591
ko:K10546	bll:BLJ_1592
ko:K00661	bll:BLJ_1595
ko:K05970	bll:BLJ_1600
ko:K01442	bll:BLJ_0948
ko:K00982	bll:BLJ_0949
ko:K00609	bll:BLJ_0950
ko:K00610	bll:BLJ_0951
ko:K01465	bll:BLJ_0952
ko:K01591	bll:BLJ_0953
ko:K02823	bll:BLJ_0954
ko:K00762	bll:BLJ_0956
ko:K11358	bll:BLJ_0962
ko:K03100	bll:BLJ_0972
ko:K07473	bll:BLJ_0990
