ko:K04042	spv:SPH_1089
ko:K01776	spv:SPH_1997
ko:K01226	spv:SPH_1999
ko:K00690	spv:SPH_2011
ko:K00940	spv:SPH_2100
ko:K00790	spv:SPH_2108
ko:K01914	spv:SPH_2113
ko:K00949	spv:SPH_2123
ko:K01783	spv:SPH_2124
ko:K00767	spv:SPH_2171
ko:K00615	spv:SPH_2183
ko:K00925	spv:SPH_2197
ko:K01443	spv:SPH_2211
ko:K00773	spv:SPH_2213
ko:K01733	spv:SPH_2222
ko:K01810	spv:SPH_2257
ko:K01887	spv:SPH_2266
ko:K00057	spv:SPH_2278
ko:K00963	spv:SPH_2279
ko:K01934	spv:SPH_2283
ko:K01866	spv:SPH_2288
ko:K00688	spv:SPH_2295
ko:K00705	spv:SPH_2296
ko:K01876	spv:SPH_2303
ko:K01687	spv:SPH_2318
ko:K01478	spv:SPH_2340
ko:K00611	spv:SPH_2341
ko:K00926	spv:SPH_2342
ko:K01818	spv:SPH_2352
ko:K00848	spv:SPH_2361
ko:K03367	spv:SPH_2372
ko:K00105	spv:SPH_2380
ko:K00864	spv:SPH_2381
ko:K01738	spv:SPH_2408
ko:K00995	spv:SPH_2417
ko:K00088	spv:SPH_2423
ko:K01867	spv:SPH_2424
ko:K00847	spv:SPH_1829
ko:K01193	spv:SPH_1832
ko:K00054	spv:SPH_1835
ko:K01641	spv:SPH_1836
ko:K00604	spv:SPH_1844
ko:K00942	spv:SPH_1847
ko:K00969	spv:SPH_1856
ko:K01598	spv:SPH_1346
ko:K00036	spv:SPH_1358
ko:K00364	spv:SPH_1365
ko:K00052	spv:SPH_1373
ko:K01649	spv:SPH_1374
ko:K00561	spv:SPH_1420
ko:K04517	spv:SPH_1505
ko:K01186	spv:SPH_1468
ko:K01788	spv:SPH_1472
ko:K00003	spv:SPH_1493
ko:K00891	spv:SPH_1502
ko:K00800	spv:SPH_1503
ko:K01736	spv:SPH_1506
ko:K01735	spv:SPH_1507
ko:K00014	spv:SPH_1508
ko:K01176	spv:SPH_1513
ko:K01872	spv:SPH_1514
ko:K00075	spv:SPH_1520
ko:K01575	spv:SPH_1523
ko:K01916	spv:SPH_1550
ko:K00763	spv:SPH_1551
ko:K01951	spv:SPH_1562
ko:K01462	spv:SPH_1572
ko:K00384	spv:SPH_1574
ko:K01924	spv:SPH_1633
ko:K01739	spv:SPH_1637
ko:K01893	spv:SPH_1656
ko:K01462	spv:SPH_1665
ko:K01537	spv:SPH_1667
ko:K00215	spv:SPH_1671
ko:K03431	spv:SPH_1674
ko:K00287	spv:SPH_1685
ko:K01803	spv:SPH_1688
ko:K00651	spv:SPH_1690
ko:K00759	spv:SPH_1691
ko:K01271	spv:SPH_1703
ko:K00945	spv:SPH_1716
ko:K01784	spv:SPH_1720
ko:K00615	spv:SPH_1729
ko:K01868	spv:SPH_1742
ko:K01834	spv:SPH_1765
ko:K01870	spv:SPH_1767
ko:K01921	spv:SPH_1779
ko:K01775	spv:SPH_1802
ko:K00997	spv:SPH_1803
ko:K01626	spv:SPH_1804
ko:K03648	spv:SPH_1283
ko:K03575	spv:SPH_1342
ko:K01220	spv:SPH_1304
ko:K01635	spv:SPH_1308
ko:K00917	spv:SPH_1309
ko:K01819	spv:SPH_1310
ko:K01819	spv:SPH_1311
ko:K00876	spv:SPH_1326
ko:K00016	spv:SPH_1335
ko:K01938	spv:SPH_1344
ko:K02907	spv:SPH_0341
ko:K02876	spv:SPH_0342
ko:K03076	spv:SPH_0343
ko:K02518	spv:SPH_0345
ko:K02919	spv:SPH_0346
ko:K02948	spv:SPH_0348
ko:K03040	spv:SPH_0349
ko:K02879	spv:SPH_0350
ko:K03043	spv:SPH_2102
ko:K03046	spv:SPH_2101
ko:K02990	spv:SPH_1655
ko:K02963	spv:SPH_1653
ko:K03701	spv:SPH_0305
ko:K02356	spv:SPH_0541
ko:K03625	spv:SPH_0539
ko:K00558	spv:SPH_0083
ko:K03602	spv:SPH_1324
ko:K02946	spv:SPH_0322
ko:K02906	spv:SPH_0323
ko:K02926	spv:SPH_0324
ko:K02892	spv:SPH_0325
ko:K02886	spv:SPH_0326
ko:K02965	spv:SPH_0327
ko:K02890	spv:SPH_0328
ko:K02982	spv:SPH_0329
ko:K02878	spv:SPH_0330
ko:K02904	spv:SPH_0331
ko:K02961	spv:SPH_0332
ko:K02931	spv:SPH_0335
ko:K02874	spv:SPH_0333
ko:K02994	spv:SPH_0337
ko:K02933	spv:SPH_0338
ko:K02867	spv:SPH_0723
ko:K03601	spv:SPH_1325
ko:K02863	spv:SPH_0724
ko:K09458	spv:SPH_0531
ko:K02888	spv:SPH_1197
ko:K02899	spv:SPH_1199
ko:K02864	spv:SPH_1486
ko:K02935	spv:SPH_1485
ko:K02988	spv:SPH_0340
ko:K03106	spv:SPH_1428
ko:K06942	spv:SPH_0004
ko:K01056	spv:SPH_0005
ko:K01588	spv:SPH_0160
ko:K01589	spv:SPH_0161
ko:K02082	spv:SPH_0171
ko:K01785	spv:SPH_0172
ko:K07104	spv:SPH_0173
ko:K10682	spv:SPH_0185
ko:K07146	spv:SPH_0194
ko:K01091	spv:SPH_0204
ko:K02003	spv:SPH_0213
ko:K06148	spv:SPH_0250
ko:K07052	spv:SPH_0255
ko:K02030	spv:SPH_0260
ko:K02073	spv:SPH_0261
ko:K01439	spv:SPH_0262
ko:K02071	spv:SPH_0263
ko:K07720	spv:SPH_0268
ko:K03647	spv:SPH_0271
ko:K03572	spv:SPH_0277
ko:K00793	spv:SPH_0280
ko:K07052	spv:SPH_0284
ko:K03284	spv:SPH_0288
ko:K01262	spv:SPH_0306
ko:K06131	spv:SPH_0315
ko:K02954	spv:SPH_0336
ko:K07166	spv:SPH_0351
ko:K09157	spv:SPH_0352
ko:K02010	spv:SPH_0356
ko:K02761	spv:SPH_0368
ko:K09962	spv:SPH_0377
ko:K07473	spv:SPH_0391
ko:K06183	spv:SPH_0396
ko:K03700	spv:SPH_0477
ko:K07444	spv:SPH_0480
ko:K02799	spv:SPH_0504
ko:K02800	spv:SPH_0504
ko:K03483	spv:SPH_0505
ko:K02798	spv:SPH_0506
ko:K03471	spv:SPH_0512
ko:K03310	spv:SPH_0516
ko:K02078	spv:SPH_0526
ko:K02371	spv:SPH_0527
ko:K02434	spv:SPH_0542
ko:K02433	spv:SPH_0543
ko:K02435	spv:SPH_0544
ko:K07030	spv:SPH_0550
ko:K02346	spv:SPH_0567
ko:K02786	spv:SPH_0588
ko:K02787	spv:SPH_0590
ko:K02788	spv:SPH_0590
ko:K03498	spv:SPH_0591
ko:K03499	spv:SPH_0592
ko:K03216	spv:SPH_0598
ko:K04086	spv:SPH_0449
ko:K03550	spv:SPH_0282
ko:K02109	spv:SPH_1623
ko:K02340	spv:SPH_0864
ko:K06178	spv:SPH_1990
ko:K02793	spv:SPH_0400
ko:K02794	spv:SPH_0400
ko:K08303	spv:SPH_1558
ko:K02871	spv:SPH_0411
ko:K02040	spv:SPH_1531
ko:K06442	spv:SPH_1322
ko:K03449	spv:SPH_0200
ko:K03110	spv:SPH_1359
ko:K06223	spv:SPH_1966
ko:K03523	spv:SPH_0882
ko:K02005	spv:SPH_0884
ko:K02004	spv:SPH_0886
ko:K00059	spv:SPH_0895
ko:K03424	spv:SPH_2133
ko:K07461	spv:SPH_1649
ko:K03722	spv:SPH_0904
ko:K03574	spv:SPH_1282
ko:K03168	spv:SPH_1378
ko:K00525	spv:SPH_1300
ko:K02469	spv:SPH_1334
ko:K02837	spv:SPH_0545
ko:K07089	spv:SPH_1012
ko:K00648	spv:SPH_0525
ko:K03500	spv:SPH_1843
ko:K01962	spv:SPH_0536
ko:K00526	spv:SPH_1301
ko:K09812	spv:SPH_0857
ko:K09811	spv:SPH_0858
ko:K02160	spv:SPH_0532
ko:K06180	spv:SPH_1190
ko:K03501	spv:SPH_1401
ko:K03470	spv:SPH_1274
ko:K01929	spv:SPH_1778
ko:K10773	spv:SPH_1395
ko:K01956	spv:SPH_1392
ko:K00867	spv:SPH_0937
ko:K06967	spv:SPH_1724
ko:K01997	spv:SPH_0851
ko:K02952	spv:SPH_0347
ko:K02821	spv:SPH_2189
ko:K03707	spv:SPH_0809
ko:K02313	spv:SPH_0001
ko:K02338	spv:SPH_0002
ko:K03629	spv:SPH_2422
ko:K03495	spv:SPH_0236
ko:K03584	spv:SPH_0136
ko:K02939	spv:SPH_2402
ko:K02314	spv:SPH_2401
ko:K03621	spv:SPH_0137
ko:K02078	spv:SPH_0138
ko:K02794	spv:SPH_0167
ko:K02795	spv:SPH_0168
ko:K02796	spv:SPH_0169
ko:K02793	spv:SPH_0170
ko:K04069	spv:SPH_0363
ko:K03551	spv:SPH_0376
ko:K02895	spv:SPH_0334
ko:K02124	spv:SPH_1463
ko:K02121	spv:SPH_1462
ko:K01154	spv:SPH_0616
ko:K02357	spv:SPH_2409
ko:K02967	spv:SPH_2410
ko:K02601	spv:SPH_2164
ko:K03073	spv:SPH_2165
ko:K01998	spv:SPH_0852
ko:K04068	spv:SPH_0320
ko:K02911	spv:SPH_2326
ko:K02913	spv:SPH_2327
ko:K02986	spv:SPH_0187
ko:K03798	spv:SPH_0013
ko:K02881	spv:SPH_0339
ko:K00005	spv:SPH_0371
ko:K01220	spv:SPH_0589
ko:K01937	spv:SPH_0605
ko:K00927	spv:SPH_0608
ko:K01915	spv:SPH_0611
ko:K03439	spv:SPH_0648
ko:K01873	spv:SPH_0666
ko:K00549	spv:SPH_0684
ko:K00297	spv:SPH_0685
ko:K00962	spv:SPH_0686
ko:K00640	spv:SPH_0687
ko:K01274	spv:SPH_0715
ko:K00845	spv:SPH_0763
ko:K00560	spv:SPH_0764
ko:K00791	spv:SPH_0766
ko:K00784	spv:SPH_0769
ko:K01925	spv:SPH_0782
ko:K01591	spv:SPH_0785
ko:K00762	spv:SPH_0786
ko:K00878	spv:SPH_0804
ko:K00788	spv:SPH_0805
ko:K00788	spv:SPH_0812
ko:K01809	spv:SPH_0837
ko:K00761	spv:SPH_0847
ko:K01358	spv:SPH_0848
ko:K00789	spv:SPH_0862
ko:K01972	spv:SPH_1210
ko:K01200	spv:SPH_1211
ko:K00131	spv:SPH_1213
ko:K00700	spv:SPH_1214
ko:K00975	spv:SPH_1215
ko:K00975	spv:SPH_1216
ko:K00703	spv:SPH_1217
ko:K00865	spv:SPH_1221
ko:K01689	spv:SPH_1222
ko:K01817	spv:SPH_1269
ko:K01881	spv:SPH_0381
ko:K00820	spv:SPH_0383
ko:K01372	spv:SPH_0397
ko:K00796	spv:SPH_0406
ko:K01495	spv:SPH_0408
ko:K00046	spv:SPH_0431
ko:K01465	spv:SPH_1281
ko:K00226	spv:SPH_0863
ko:K00554	spv:SPH_0877
ko:K00383	spv:SPH_0883
ko:K01839	spv:SPH_0927
ko:K01869	spv:SPH_0372
ko:K00756	spv:SPH_0941
ko:K01619	spv:SPH_0942
ko:K01489	spv:SPH_0943
ko:K00826	spv:SPH_0955
ko:K01304	spv:SPH_0959
ko:K01281	spv:SPH_1001
ko:K00850	spv:SPH_1003
ko:K00873	spv:SPH_1004
ko:K00797	spv:SPH_1027
ko:K00290	spv:SPH_1028
ko:K10536	spv:SPH_1030
ko:K03101	spv:SPH_1037
ko:K00931	spv:SPH_1040
ko:K00147	spv:SPH_1041
ko:K00286	spv:SPH_1042
ko:K00943	spv:SPH_1043
ko:K09903	spv:SPH_1048
ko:K00806	spv:SPH_0378
ko:K00981	spv:SPH_0379
ko:K00859	spv:SPH_1072
ko:K01515	spv:SPH_1090
ko:K01772	spv:SPH_1111
ko:K00133	spv:SPH_1117
ko:K01714	spv:SPH_1118
ko:K01821	spv:SPH_1120
ko:K00857	spv:SPH_1121
ko:K00600	spv:SPH_1127
ko:K01595	spv:SPH_1155
ko:K00790	spv:SPH_1173
ko:K01265	spv:SPH_1176
ko:K04487	spv:SPH_1185
ko:K00948	spv:SPH_1186
ko:K00858	spv:SPH_1189
ko:K00625	spv:SPH_1191
ko:K01000	spv:SPH_0447
ko:K07173	spv:SPH_0450
ko:K01104	spv:SPH_0456
ko:K01791	spv:SPH_0465
ko:K00973	spv:SPH_0466
ko:K01710	spv:SPH_0468
ko:K00067	spv:SPH_0469
ko:K00033	spv:SPH_0482
ko:K00869	spv:SPH_0488
ko:K01597	spv:SPH_0489
ko:K00938	spv:SPH_0490
ko:K01823	spv:SPH_0491
ko:K00009	spv:SPH_0507
ko:K03100	spv:SPH_0511
ko:K01875	spv:SPH_0519
ko:K00645	spv:SPH_0528
ko:K00059	spv:SPH_0529
ko:K00053	spv:SPH_0553
ko:K01754	spv:SPH_0556
ko:K06153	spv:SPH_0565
ko:K00656	spv:SPH_0569
ko:K00794	spv:SPH_0278
ko:K06147	spv:SPH_1488
ko:K06148	spv:SPH_1489
ko:K04518	spv:SPH_1501
ko:K06969	spv:SPH_1510
ko:K01992	spv:SPH_1511
ko:K01990	spv:SPH_1512
ko:K02036	spv:SPH_1527
ko:K02036	spv:SPH_1528
ko:K02038	spv:SPH_1529
ko:K02037	spv:SPH_1530
ko:K01092	spv:SPH_1534
ko:K01101	spv:SPH_1538
ko:K01071	spv:SPH_1539
ko:K09710	spv:SPH_1853
ko:K07574	spv:SPH_1857
ko:K06948	spv:SPH_1858
ko:K07015	spv:SPH_1859
ko:K03070	spv:SPH_1870
ko:K03076	spv:SPH_1874
ko:K09761	spv:SPH_1898
ko:K02687	spv:SPH_1899
ko:K07478	spv:SPH_1907
ko:K01193	spv:SPH_1909
ko:K02529	spv:SPH_1913
ko:K07090	spv:SPH_1922
ko:K02761	spv:SPH_1925
ko:K02759	spv:SPH_1926
ko:K02760	spv:SPH_1927
ko:K02761	spv:SPH_1929
ko:K01995	spv:SPH_0853
ko:K11189	spv:SPH_1298
ko:K02823	spv:SPH_1064
ko:K06941	spv:SPH_0867
ko:K01996	spv:SPH_0854
ko:K04485	spv:SPH_0124
ko:K00558	spv:SPH_1233
ko:K03686	spv:SPH_0625
ko:K07742	spv:SPH_0651
ko:K09155	spv:SPH_0660
ko:K03488	spv:SPH_0674
ko:K01223	spv:SPH_0677
ko:K01889	spv:SPH_0678
ko:K01883	spv:SPH_0689
ko:K02004	spv:SPH_0694
ko:K02003	spv:SPH_0695
ko:K02004	spv:SPH_0696
ko:K10819	spv:SPH_0698
ko:K10040	spv:SPH_0702
ko:K10039	spv:SPH_0703
ko:K10041	spv:SPH_0704
ko:K03930	spv:SPH_0707
ko:K02030	spv:SPH_0713
ko:K03311	spv:SPH_0719
ko:K04075	spv:SPH_0011
ko:K07741	spv:SPH_0075
ko:K00558	spv:SPH_0084
ko:K02335	spv:SPH_0131
ko:K06929	spv:SPH_0132
ko:K00841	spv:SPH_0135
ko:K03436	spv:SPH_0979
ko:K04487	spv:SPH_0985
ko:K03402	spv:SPH_1000
ko:K06959	spv:SPH_1014
ko:K03095	spv:SPH_1015
ko:K02003	spv:SPH_1019
ko:K02004	spv:SPH_1020
ko:K07052	spv:SPH_1034
ko:K07056	spv:SPH_1046
ko:K04094	spv:SPH_1047
ko:K00243	spv:SPH_1050
ko:K06217	spv:SPH_1052
ko:K02237	spv:SPH_1054
ko:K02238	spv:SPH_1055
ko:K01759	spv:SPH_1063
ko:K01227	spv:SPH_1067
ko:K07042	spv:SPH_1068
ko:K02913	spv:SPH_1074
ko:K06198	spv:SPH_1079
ko:K08602	spv:SPH_1080
ko:K07533	spv:SPH_1082
ko:K03976	spv:SPH_1086
ko:K08974	spv:SPH_1087
ko:K07273	spv:SPH_1088
ko:K02342	spv:SPH_1094
ko:K01126	spv:SPH_1095
ko:K06196	spv:SPH_1100
ko:K03294	spv:SPH_1102
ko:K09815	spv:SPH_1103
ko:K01258	spv:SPH_1110
ko:K03282	spv:SPH_1112
ko:K03650	spv:SPH_1119
ko:K00657	spv:SPH_1122
ko:K07566	spv:SPH_1125
ko:K02530	spv:SPH_1302
ko:K02531	spv:SPH_1307
ko:K07313	spv:SPH_1319
ko:K10947	spv:SPH_0890
ko:K01963	spv:SPH_0535
ko:K00954	spv:SPH_2111
ko:K00609	spv:SPH_1393
ko:K01657	spv:SPH_1939
ko:K00158	spv:SPH_0817
ko:K02027	spv:SPH_0828
ko:K01223	spv:SPH_0836
ko:K03308	spv:SPH_0838
ko:K07007	spv:SPH_0843
ko:K01493	spv:SPH_0846
ko:K01999	spv:SPH_0850
ko:K04767	spv:SPH_0855
ko:K04564	spv:SPH_0865
ko:K06960	spv:SPH_0874
ko:K10563	spv:SPH_1071
ko:K08483	spv:SPH_1297
ko:K07652	spv:SPH_1340
ko:K02529	spv:SPH_1970
ko:K01142	spv:SPH_2227
ko:K03698	spv:SPH_2121
ko:K02747	spv:SPH_0436
ko:K07284	spv:SPH_1333
ko:K07668	spv:SPH_1341
ko:K07105	spv:SPH_1350
ko:K03529	spv:SPH_1362
ko:K09790	spv:SPH_1377
ko:K04096	spv:SPH_1382
ko:K07271	spv:SPH_1389
ko:K06207	spv:SPH_0776
ko:K01874	spv:SPH_0887
ko:K03217	spv:SPH_2194
ko:K01890	spv:SPH_0680
ko:K11145	spv:SPH_0690
ko:K06904	spv:SPH_0051
ko:K09698	spv:SPH_2256
ko:K10681	spv:SPH_0186
ko:K07636	spv:SPH_2270
ko:K12308	spv:SPH_0166
ko:K01256	spv:SPH_0899
ko:K09705	spv:SPH_2268
ko:K02117	spv:SPH_1459
ko:K03536	spv:SPH_2195
ko:K06188	spv:SPH_1894
ko:K04043	spv:SPH_0624
ko:K03545	spv:SPH_0509
ko:K03977	spv:SPH_1817
ko:K05540	spv:SPH_2384
ko:K03708	spv:SPH_2394
ko:K05808	spv:SPH_2404
ko:K02242	spv:SPH_2405
ko:K02240	spv:SPH_2406
ko:K03571	spv:SPH_2412
ko:K09817	spv:SPH_2366
ko:K03588	spv:SPH_1154
ko:K03702	spv:SPH_1353
ko:K06180	spv:SPH_1038
ko:K06193	spv:SPH_1715
ko:K02825	spv:SPH_1394
ko:K02493	spv:SPH_1124
ko:K02860	spv:SPH_0876
ko:K03785	spv:SPH_1509
ko:K06199	spv:SPH_1436
ko:K06199	spv:SPH_1437
ko:K06024	spv:SPH_1991
ko:K12251	spv:SPH_1031
ko:K11753	spv:SPH_1202
ko:K11752	spv:SPH_0281
ko:K12292	spv:SPH_0148
ko:K12267	spv:SPH_1490
ko:K01955	spv:SPH_1391
ko:K03205	spv:SPH_1242
ko:K11041	spv:SPH_0518
ko:K01658	spv:SPH_1938
ko:K11209	spv:SPH_1666
ko:K11031	spv:SPH_2065
ko:K11065	spv:SPH_1760
ko:K00872	spv:SPH_1492
ko:K02120	spv:SPH_1457
ko:K06901	spv:SPH_0403
ko:K07052	spv:SPH_0404
ko:K02996	spv:SPH_0412
ko:K07133	spv:SPH_0421
ko:K00432	spv:SPH_0425
ko:K01727	spv:SPH_0426
ko:K00874	spv:SPH_0429
ko:K02744	spv:SPH_0432
ko:K02745	spv:SPH_0434
ko:K03210	spv:SPH_0437
ko:K01215	spv:SPH_0452
ko:K01790	spv:SPH_0467
ko:K11175	spv:SPH_0155
ko:K04066	spv:SPH_1845
ko:K02746	spv:SPH_0435
ko:K02614	spv:SPH_1967
ko:K01447	spv:SPH_0067
ko:K07484	spv:SPH_0913
ko:K03697	spv:SPH_0920
ko:K00564	spv:SPH_0940
ko:K07335	spv:SPH_0944
ko:K02056	spv:SPH_0945
ko:K02057	spv:SPH_0946
ko:K02057	spv:SPH_0947
ko:K08591	spv:SPH_0951
ko:K09013	spv:SPH_0970
ko:K07258	spv:SPH_0976
ko:K01879	spv:SPH_1590
ko:K01892	spv:SPH_2312
ko:K07568	spv:SPH_1547
ko:K02115	spv:SPH_1620
ko:K02113	spv:SPH_1622
ko:K02108	spv:SPH_1624
ko:K02564	spv:SPH_1546
ko:K05896	spv:SPH_1992
ko:K02796	spv:SPH_0398
ko:K02795	spv:SPH_0399
ko:K02950	spv:SPH_0387
ko:K06997	spv:SPH_1773
ko:K01639	spv:SPH_1784
ko:K02026	spv:SPH_1788
ko:K02025	spv:SPH_1789
ko:K02027	spv:SPH_1790
ko:K01788	spv:SPH_1791
ko:K02026	spv:SPH_1793
ko:K02025	spv:SPH_1794
ko:K02027	spv:SPH_1795
ko:K01186	spv:SPH_1797
ko:K01060	spv:SPH_1800
ko:K01626	spv:SPH_1805
ko:K03346	spv:SPH_1820
ko:K07738	spv:SPH_1821
ko:K02236	spv:SPH_1933
ko:K07507	spv:SPH_1943
ko:K02011	spv:SPH_1944
ko:K06183	spv:SPH_0775
ko:K02358	spv:SPH_1601
ko:K02916	spv:SPH_1061
ko:K02887	spv:SPH_1062
ko:K02621	spv:SPH_0954
ko:K02970	spv:SPH_1545
ko:K03499	spv:SPH_0180
ko:K02959	spv:SPH_0873
ko:K02337	spv:SPH_1002
ko:K02884	spv:SPH_1435
ko:K03783	spv:SPH_0929
ko:K02010	spv:SPH_1945
ko:K02012	spv:SPH_1946
ko:K03811	spv:SPH_1975
ko:K05847	spv:SPH_1978
ko:K02015	spv:SPH_1985
ko:K02015	spv:SPH_1986
ko:K02013	spv:SPH_1987
ko:K02016	spv:SPH_1988
ko:K08998	spv:SPH_1989
ko:K07095	spv:SPH_1995
ko:K09976	spv:SPH_1998
ko:K02817	spv:SPH_2000
ko:K02818	spv:SPH_2000
ko:K02819	spv:SPH_2000
ko:K03486	spv:SPH_2001
ko:K10119	spv:SPH_2012
ko:K10118	spv:SPH_2013
ko:K10117	spv:SPH_2014
ko:K07407	spv:SPH_2015
ko:K07586	spv:SPH_2045
ko:K03111	spv:SPH_2052
ko:K06878	spv:SPH_2054
ko:K07507	spv:SPH_2075
ko:K03553	spv:SPH_2089
ko:K06925	spv:SPH_2093
ko:K02003	spv:SPH_2098
ko:K07177	spv:SPH_2110
ko:K02822	spv:SPH_2190
ko:K00571	spv:SPH_2198
ko:K02248	spv:SPH_2202
ko:K02246	spv:SPH_2204
ko:K02245	spv:SPH_2205
ko:K02244	spv:SPH_2206
ko:K02243	spv:SPH_2207
ko:K07010	spv:SPH_2259
ko:K02040	spv:SPH_2271
ko:K02037	spv:SPH_2272
ko:K02038	spv:SPH_2273
ko:K02036	spv:SPH_2274
ko:K02039	spv:SPH_2275
ko:K00928	spv:SPH_0521
ko:K02355	spv:SPH_0389
ko:K07456	spv:SPH_0515
ko:K02956	spv:SPH_1739
ko:K03705	spv:SPH_0622
ko:K03687	spv:SPH_0623
ko:K11144	spv:SPH_1819
ko:K07040	spv:SPH_1396
ko:K03799	spv:SPH_1399
ko:K03744	spv:SPH_1400
ko:K07467	spv:SPH_1422
ko:K02824	spv:SPH_1427
ko:K09787	spv:SPH_1429
ko:K06885	spv:SPH_1431
ko:K04516	spv:SPH_1438
ko:K00262	spv:SPH_1446
ko:K02122	spv:SPH_1460
ko:K02119	spv:SPH_1461
ko:K03307	spv:SPH_1470
ko:K01639	spv:SPH_1471
ko:K02003	spv:SPH_1478
ko:K06148	spv:SPH_1479
ko:K07082	spv:SPH_1630
ko:K03111	spv:SPH_1654
ko:K00974	spv:SPH_1670
ko:K09762	spv:SPH_1678
ko:K06958	spv:SPH_1680
ko:K03978	spv:SPH_1682
ko:K04074	spv:SPH_1769
