ko:K08744	mtuu:HKBT2_1919
ko:K01783	mtuu:HKBT2_1505
ko:K11752	mtuu:HKBT2_1506
ko:K14954	mtuu:HKBT2_1508
ko:K00793	mtuu:HKBT2_1509
ko:K14652	mtuu:HKBT2_1512
ko:K00794	mtuu:HKBT2_1513
ko:K03703	mtuu:HKBT2_1517
ko:K06958	mtuu:HKBT2_1518
ko:K09762	mtuu:HKBT2_1520
ko:K01430	mtuu:HKBT2_1945
ko:K01429	mtuu:HKBT2_1946
ko:K01428	mtuu:HKBT2_1947
ko:K03188	mtuu:HKBT2_1948
ko:K03189	mtuu:HKBT2_1949
ko:K03190	mtuu:HKBT2_1950
ko:K03885	mtuu:HKBT2_1951
ko:K02020	mtuu:HKBT2_1954
ko:K02018	mtuu:HKBT2_1955
ko:K02017	mtuu:HKBT2_1956
ko:K13953	mtuu:HKBT2_1959
ko:K07052	mtuu:HKBT2_1960
ko:K00626	mtuu:HKBT2_1964
ko:K00101	mtuu:HKBT2_1969
ko:K01892	mtuu:HKBT2_2725
ko:K03768	mtuu:HKBT2_2727
ko:K00951	mtuu:HKBT2_2728
ko:K00759	mtuu:HKBT2_2729
ko:K02035	mtuu:HKBT2_2730
ko:K03074	mtuu:HKBT2_2731
ko:K03072	mtuu:HKBT2_2732
ko:K03210	mtuu:HKBT2_2733
ko:K07250	mtuu:HKBT2_2734
ko:K12421	mtuu:HKBT2_2735
ko:K03551	mtuu:HKBT2_2737
ko:K03550	mtuu:HKBT2_2738
ko:K01159	mtuu:HKBT2_2739
ko:K00797	mtuu:HKBT2_2746
ko:K08681	mtuu:HKBT2_2750
ko:K10805	mtuu:HKBT2_2751
ko:K06215	mtuu:HKBT2_2752
ko:K00275	mtuu:HKBT2_2753
ko:K08256	mtuu:HKBT2_2756
ko:K00995	mtuu:HKBT2_2758
ko:K01868	mtuu:HKBT2_2760
ko:K00574	mtuu:HKBT2_3589
ko:K14161	mtuu:HKBT2_3591
ko:K01951	mtuu:HKBT2_3594
ko:K02291	mtuu:HKBT2_3595
ko:K13787	mtuu:HKBT2_3596
ko:K03333	mtuu:HKBT2_3607
ko:K00088	mtuu:HKBT2_3608
ko:K00088	mtuu:HKBT2_3609
ko:K03088	mtuu:HKBT2_3612
ko:K04077	mtuu:HKBT2_3615
ko:K04078	mtuu:HKBT2_3616
ko:K01409	mtuu:HKBT2_3617
ko:K03789	mtuu:HKBT2_3618
ko:K06925	mtuu:HKBT2_3620
ko:K01775	mtuu:HKBT2_3621
ko:K01126	mtuu:HKBT2_0334
ko:K07238	mtuu:HKBT2_0335
ko:K01304	mtuu:HKBT2_0336
ko:K01494	mtuu:HKBT2_0338
ko:K00012	mtuu:HKBT2_0339
ko:K17218	mtuu:HKBT2_0347
ko:K00973	mtuu:HKBT2_0350
ko:K14260	mtuu:HKBT2_0353
ko:K03088	mtuu:HKBT2_0772
ko:K00140	mtuu:HKBT2_0792
ko:K02484	mtuu:HKBT2_0798
ko:K01720	mtuu:HKBT2_1203
ko:K01647	mtuu:HKBT2_1204
ko:K00549	mtuu:HKBT2_1206
ko:K00626	mtuu:HKBT2_1213
ko:K16168	mtuu:HKBT2_1217
ko:K07052	mtuu:HKBT2_1218
ko:K01692	mtuu:HKBT2_1219
ko:K01692	mtuu:HKBT2_1221
ko:K01796	mtuu:HKBT2_1220
ko:K06994	mtuu:HKBT2_1224
ko:K07304	mtuu:HKBT2_0148
ko:K03281	mtuu:HKBT2_0154
ko:K00128	mtuu:HKBT2_0158
ko:K01104	mtuu:HKBT2_0166
ko:K02549	mtuu:HKBT2_0577
ko:K02551	mtuu:HKBT2_0579
ko:K12583	mtuu:HKBT2_0581
ko:K03183	mtuu:HKBT2_0582
ko:K00805	mtuu:HKBT2_0586
ko:K03799	mtuu:HKBT2_0587
ko:K00057	mtuu:HKBT2_0588
ko:K09767	mtuu:HKBT2_0590
ko:K00763	mtuu:HKBT2_0599
ko:K07282	mtuu:HKBT2_0600
ko:K06996	mtuu:HKBT2_0603
ko:K01903	mtuu:HKBT2_1002
ko:K12956	mtuu:HKBT2_1024
ko:K01692	mtuu:HKBT2_1026
ko:K01965	mtuu:HKBT2_1028
ko:K02911	mtuu:HKBT2_1034
ko:K07669	mtuu:HKBT2_1036
ko:K07653	mtuu:HKBT2_1037
ko:K18481	mtuu:HKBT2_1455
ko:K18481	mtuu:HKBT2_1456
ko:K09136	mtuu:HKBT2_1471
ko:K14743	mtuu:HKBT2_1893
ko:K01870	mtuu:HKBT2_1644
ko:K02346	mtuu:HKBT2_1645
ko:K01424	mtuu:HKBT2_1646
ko:K03101	mtuu:HKBT2_1647
ko:K06180	mtuu:HKBT2_1648
ko:K06886	mtuu:HKBT2_1650
ko:K07124	mtuu:HKBT2_1652
ko:K02337	mtuu:HKBT2_1655
ko:K00631	mtuu:HKBT2_1659
ko:K00631	mtuu:HKBT2_1660
ko:K00244	mtuu:HKBT2_1662
ko:K00245	mtuu:HKBT2_1663
ko:K16370	mtuu:HKBT2_2143
ko:K07001	mtuu:HKBT2_2152
ko:K10112	mtuu:HKBT2_2153
ko:K02026	mtuu:HKBT2_2154
ko:K02025	mtuu:HKBT2_2155
ko:K02027	mtuu:HKBT2_2156
ko:K08281	mtuu:HKBT2_2158
ko:K08281	mtuu:HKBT2_2159
ko:K03929	mtuu:HKBT2_2161
ko:K03820	mtuu:HKBT2_2167
ko:K07113	mtuu:HKBT2_2169
ko:K01061	mtuu:HKBT2_2170
ko:K02963	mtuu:HKBT2_2171
ko:K02954	mtuu:HKBT2_2172
ko:K02913	mtuu:HKBT2_2173
ko:K02902	mtuu:HKBT2_2174
ko:K02077	mtuu:HKBT2_2175
ko:K07006	mtuu:HKBT2_2176
ko:K02230	mtuu:HKBT2_2177
ko:K01881	mtuu:HKBT2_2993
ko:K02302	mtuu:HKBT2_2995
ko:K02224	mtuu:HKBT2_2996
ko:K03404	mtuu:HKBT2_2998
ko:K02348	mtuu:HKBT2_2999
ko:K00116	mtuu:HKBT2_3000
ko:K17883	mtuu:HKBT2_3003
ko:K07241	mtuu:HKBT2_3004
ko:K04652	mtuu:HKBT2_3005
ko:K04652	mtuu:HKBT2_3006
ko:K07010	mtuu:HKBT2_3009
ko:K01915	mtuu:HKBT2_3010
ko:K01265	mtuu:HKBT2_3011
ko:K06976	mtuu:HKBT2_3017
ko:K00099	mtuu:HKBT2_3020
ko:K06941	mtuu:HKBT2_3030
ko:K00981	mtuu:HKBT2_3031
ko:K02838	mtuu:HKBT2_3032
ko:K09903	mtuu:HKBT2_3033
ko:K01426	mtuu:HKBT2_3038
ko:K02357	mtuu:HKBT2_3039
ko:K02967	mtuu:HKBT2_3040
ko:K03733	mtuu:HKBT2_3044
ko:K06877	mtuu:HKBT2_3859
ko:K12510	mtuu:HKBT2_3869
ko:K02283	mtuu:HKBT2_3870
ko:K02031	mtuu:HKBT2_3875
ko:K02032	mtuu:HKBT2_3875
ko:K15582	mtuu:HKBT2_3876
ko:K15581	mtuu:HKBT2_3877
ko:K15580	mtuu:HKBT2_3878
ko:K01895	mtuu:HKBT2_3879
ko:K10773	mtuu:HKBT2_3886
ko:K01738	mtuu:HKBT2_3898
ko:K09117	mtuu:HKBT2_3903
ko:K03924	mtuu:HKBT2_3906
ko:K00864	mtuu:HKBT2_3910
ko:K00864	mtuu:HKBT2_3911
ko:K02313	mtuu:HKBT2_0001
ko:K02338	mtuu:HKBT2_0004
ko:K03629	mtuu:HKBT2_0005
ko:K02470	mtuu:HKBT2_0007
ko:K02469	mtuu:HKBT2_0008
ko:K03767	mtuu:HKBT2_0013
ko:K01664	mtuu:HKBT2_0018
ko:K03574	mtuu:HKBT2_0429
ko:K01142	mtuu:HKBT2_0444
ko:K01462	mtuu:HKBT2_0446
ko:K06048	mtuu:HKBT2_0450
ko:K07157	mtuu:HKBT2_0451
ko:K13525	mtuu:HKBT2_0452
ko:K17103	mtuu:HKBT2_0453
ko:K01613	mtuu:HKBT2_0454
ko:K03750	mtuu:HKBT2_0455
ko:K04077	mtuu:HKBT2_0457
ko:K03088	mtuu:HKBT2_0462
ko:K00574	mtuu:HKBT2_0464
ko:K09701	mtuu:HKBT2_0465
ko:K08641	mtuu:HKBT2_0881
ko:K01259	mtuu:HKBT2_0883
ko:K00161	mtuu:HKBT2_0886
ko:K07684	mtuu:HKBT2_0887
ko:K02480	mtuu:HKBT2_0888
ko:K01738	mtuu:HKBT2_0892
ko:K01796	mtuu:HKBT2_0899
ko:K14267	mtuu:HKBT2_0902
ko:K02027	mtuu:HKBT2_1319
ko:K02025	mtuu:HKBT2_1320
ko:K02026	mtuu:HKBT2_1321
ko:K10112	mtuu:HKBT2_1322
ko:K03284	mtuu:HKBT2_1323
ko:K00024	mtuu:HKBT2_1324
ko:K01616	mtuu:HKBT2_1332
ko:K05592	mtuu:HKBT2_1337
ko:K01889	mtuu:HKBT2_1746
ko:K01890	mtuu:HKBT2_1747
ko:K00145	mtuu:HKBT2_1749
ko:K00620	mtuu:HKBT2_1750
ko:K00930	mtuu:HKBT2_1751
ko:K00611	mtuu:HKBT2_1753
ko:K03402	mtuu:HKBT2_1754
ko:K01940	mtuu:HKBT2_1755
ko:K01755	mtuu:HKBT2_1756
ko:K16167	mtuu:HKBT2_1757
ko:K12434	mtuu:HKBT2_1758
ko:K16167	mtuu:HKBT2_1762
ko:K01915	mtuu:HKBT2_2343
ko:K00982	mtuu:HKBT2_2344
ko:K01915	mtuu:HKBT2_2345
ko:K00606	mtuu:HKBT2_2349
ko:K09990	mtuu:HKBT2_2351
ko:K07164	mtuu:HKBT2_2353
ko:K00817	mtuu:HKBT2_2355
ko:K01104	mtuu:HKBT2_2359
ko:K02227	mtuu:HKBT2_2361
ko:K03386	mtuu:HKBT2_2364
ko:K00163	mtuu:HKBT2_2366
ko:K00645	mtuu:HKBT2_2369
ko:K02078	mtuu:HKBT2_2370
ko:K11609	mtuu:HKBT2_2371
ko:K11609	mtuu:HKBT2_2372
ko:K18472	mtuu:HKBT2_2373
ko:K00111	mtuu:HKBT2_2375
ko:K00803	mtuu:HKBT2_2377
ko:K00153	mtuu:HKBT2_2385
ko:K03820	mtuu:HKBT2_2387
ko:K13979	mtuu:HKBT2_3205
ko:K03647	mtuu:HKBT2_3212
ko:K02346	mtuu:HKBT2_3216
ko:K06200	mtuu:HKBT2_3223
ko:K15977	mtuu:HKBT2_3224
ko:K01835	mtuu:HKBT2_3228
ko:K06199	mtuu:HKBT2_3229
ko:K06199	mtuu:HKBT2_3230
ko:K07507	mtuu:HKBT2_1908
ko:K03885	mtuu:HKBT2_1909
ko:K07107	mtuu:HKBT2_2617
ko:K15371	mtuu:HKBT2_2618
ko:K00631	mtuu:HKBT2_2622
ko:K15781	mtuu:HKBT2_2623
ko:K01692	mtuu:HKBT2_2627
ko:K06966	mtuu:HKBT2_2633
ko:K00627	mtuu:HKBT2_2637
ko:K00162	mtuu:HKBT2_2638
ko:K00161	mtuu:HKBT2_2639
ko:K01644	mtuu:HKBT2_2641
ko:K11263	mtuu:HKBT2_2644
ko:K01969	mtuu:HKBT2_2645
ko:K01029	mtuu:HKBT2_2646
ko:K01028	mtuu:HKBT2_2647
ko:K00666	mtuu:HKBT2_2648
ko:K06902	mtuu:HKBT2_2651
ko:K07124	mtuu:HKBT2_2652
ko:K06915	mtuu:HKBT2_2653
ko:K13288	mtuu:HKBT2_2654
ko:K00128	mtuu:HKBT2_3478
ko:K03724	mtuu:HKBT2_3481
ko:K05522	mtuu:HKBT2_3482
ko:K03932	mtuu:HKBT2_3483
ko:K01130	mtuu:HKBT2_3484
ko:K06177	mtuu:HKBT2_3485
ko:K02039	mtuu:HKBT2_3486
ko:K00111	mtuu:HKBT2_3487
ko:K00382	mtuu:HKBT2_3488
ko:K03783	mtuu:HKBT2_3492
ko:K01840	mtuu:HKBT2_3493
ko:K00761	mtuu:HKBT2_3494
ko:K01488	mtuu:HKBT2_3500
ko:K00758	mtuu:HKBT2_3501
ko:K01489	mtuu:HKBT2_3502
ko:K00241	mtuu:HKBT2_3503
ko:K00242	mtuu:HKBT2_3504
ko:K00239	mtuu:HKBT2_3505
ko:K00240	mtuu:HKBT2_3506
ko:K03637	mtuu:HKBT2_3511
ko:K01724	mtuu:HKBT2_3512
ko:K03639	mtuu:HKBT2_3513
ko:K03088	mtuu:HKBT2_3521
ko:K07258	mtuu:HKBT2_3523
ko:K01443	mtuu:HKBT2_3525
ko:K07058	mtuu:HKBT2_3528
ko:K01867	mtuu:HKBT2_3529
ko:K01644	mtuu:HKBT2_3235
ko:K13419	mtuu:HKBT2_3240
ko:K00121	mtuu:HKBT2_3246
ko:K09781	mtuu:HKBT2_3253
ko:K12437	mtuu:HKBT2_4022
ko:K12428	mtuu:HKBT2_4023
ko:K13687	mtuu:HKBT2_4027
ko:K14136	mtuu:HKBT2_4028
ko:K16650	mtuu:HKBT2_4030
ko:K01854	mtuu:HKBT2_4031
ko:K14952	mtuu:HKBT2_4041
ko:K06994	mtuu:HKBT2_4046
ko:K12425	mtuu:HKBT2_4049
ko:K01875	mtuu:HKBT2_4056
ko:K04518	mtuu:HKBT2_4060
ko:K01126	mtuu:HKBT2_4064
ko:K04564	mtuu:HKBT2_4071
ko:K01719	mtuu:HKBT2_0277
ko:K02575	mtuu:HKBT2_0278
ko:K02016	mtuu:HKBT2_0282
ko:K01469	mtuu:HKBT2_0283
ko:K02575	mtuu:HKBT2_0284
ko:K00666	mtuu:HKBT2_0287
ko:K02950	mtuu:HKBT2_0718
ko:K02992	mtuu:HKBT2_0719
ko:K02355	mtuu:HKBT2_0720
ko:K02358	mtuu:HKBT2_0721
ko:K00101	mtuu:HKBT2_0731
ko:K02946	mtuu:HKBT2_0737
ko:K02906	mtuu:HKBT2_0738
ko:K02926	mtuu:HKBT2_0739
ko:K02892	mtuu:HKBT2_0740
ko:K02886	mtuu:HKBT2_0741
ko:K02965	mtuu:HKBT2_0742
ko:K02890	mtuu:HKBT2_0743
ko:K03624	mtuu:HKBT2_1146
ko:K18455	mtuu:HKBT2_1148
ko:K06888	mtuu:HKBT2_1150
ko:K11068	mtuu:HKBT2_1152
ko:K12503	mtuu:HKBT2_1153
ko:K00867	mtuu:HKBT2_1163
ko:K00600	mtuu:HKBT2_1164
ko:K03922	mtuu:HKBT2_1165
ko:K07175	mtuu:HKBT2_1166
ko:K01679	mtuu:HKBT2_1169
ko:K02446	mtuu:HKBT2_1171
ko:K03924	mtuu:HKBT2_1583
ko:K07114	mtuu:HKBT2_1585
ko:K11610	mtuu:HKBT2_1587
ko:K01772	mtuu:HKBT2_1589
ko:K01847	mtuu:HKBT2_1597
ko:K01847	mtuu:HKBT2_1598
ko:K07588	mtuu:HKBT2_1601
ko:K09165	mtuu:HKBT2_1604
ko:K01692	mtuu:HKBT2_2030
ko:K14652	mtuu:HKBT2_2035
ko:K02066	mtuu:HKBT2_2060
ko:K02066	mtuu:HKBT2_2061
ko:K02067	mtuu:HKBT2_2062
ko:K02067	mtuu:HKBT2_2063
ko:K02067	mtuu:HKBT2_2064
ko:K02067	mtuu:HKBT2_2065
ko:K02067	mtuu:HKBT2_2066
ko:K02067	mtuu:HKBT2_2067
ko:K10533	mtuu:HKBT2_2887
ko:K00995	mtuu:HKBT2_2893
ko:K00619	mtuu:HKBT2_2894
ko:K03466	mtuu:HKBT2_2896
ko:K12574	mtuu:HKBT2_2899
ko:K01714	mtuu:HKBT2_2900
ko:K01154	mtuu:HKBT2_2902
ko:K03427	mtuu:HKBT2_2903
ko:K09927	mtuu:HKBT2_2909
ko:K01061	mtuu:HKBT2_2913
ko:K00215	mtuu:HKBT2_2921
ko:K07044	mtuu:HKBT2_2925
ko:K00259	mtuu:HKBT2_2928
ko:K00259	mtuu:HKBT2_2929
ko:K00459	mtuu:HKBT2_2930
ko:K00962	mtuu:HKBT2_2932
ko:K02956	mtuu:HKBT2_2934
ko:K11753	mtuu:HKBT2_2935
ko:K15981	mtuu:HKBT2_3755
ko:K00626	mtuu:HKBT2_3756
ko:K01692	mtuu:HKBT2_3760
ko:K00626	mtuu:HKBT2_3766
ko:K00059	mtuu:HKBT2_3769
ko:K00622	mtuu:HKBT2_3776
ko:K16049	mtuu:HKBT2_3779
ko:K16050	mtuu:HKBT2_3780
ko:K16047	mtuu:HKBT2_3781
ko:K15983	mtuu:HKBT2_3782
ko:K03893	mtuu:HKBT2_3789
ko:K03218	mtuu:HKBT2_3790
ko:K01883	mtuu:HKBT2_3791
ko:K01770	mtuu:HKBT2_3792
ko:K00991	mtuu:HKBT2_3793
ko:K07736	mtuu:HKBT2_3794
ko:K04485	mtuu:HKBT2_3796
ko:K07067	mtuu:HKBT2_3797
ko:K01673	mtuu:HKBT2_3800
ko:K03575	mtuu:HKBT2_3799
ko:K12140	mtuu:HKBT2_0091
ko:K12141	mtuu:HKBT2_0092
ko:K01243	mtuu:HKBT2_0097
ko:K12949	mtuu:HKBT2_0098
ko:K12422	mtuu:HKBT2_0105
ko:K02351	mtuu:HKBT2_0108
ko:K07245	mtuu:HKBT2_0108
ko:K12949	mtuu:HKBT2_0109
ko:K01784	mtuu:HKBT2_0523
ko:K00574	mtuu:HKBT2_0525
ko:K06994	mtuu:HKBT2_0529
ko:K02492	mtuu:HKBT2_0531
ko:K01749	mtuu:HKBT2_0532
ko:K13542	mtuu:HKBT2_0533
ko:K01698	mtuu:HKBT2_0534
ko:K11735	mtuu:HKBT2_0544
ko:K01845	mtuu:HKBT2_0546
ko:K06196	mtuu:HKBT2_0549
ko:K07399	mtuu:HKBT2_0550
ko:K06996	mtuu:HKBT2_0959
ko:K11159	mtuu:HKBT2_0962
ko:K00626	mtuu:HKBT2_0963
ko:K02168	mtuu:HKBT2_0966
ko:K03322	mtuu:HKBT2_0973
ko:K00076	mtuu:HKBT2_0976
ko:K02040	mtuu:HKBT2_0977
ko:K02037	mtuu:HKBT2_0978
ko:K02038	mtuu:HKBT2_0979
ko:K02040	mtuu:HKBT2_0981
ko:K02036	mtuu:HKBT2_0982
ko:K02040	mtuu:HKBT2_0983
ko:K02108	mtuu:HKBT2_1391
ko:K02110	mtuu:HKBT2_1392
ko:K02109	mtuu:HKBT2_1393
ko:K02111	mtuu:HKBT2_1395
ko:K02115	mtuu:HKBT2_1396
ko:K02112	mtuu:HKBT2_1397
ko:K02114	mtuu:HKBT2_1398
ko:K00790	mtuu:HKBT2_1402
ko:K00567	mtuu:HKBT2_1404
ko:K13529	mtuu:HKBT2_1405
ko:K07503	mtuu:HKBT2_1410
ko:K00626	mtuu:HKBT2_1413
ko:K05838	mtuu:HKBT2_1414
ko:K02575	mtuu:HKBT2_1840
ko:K01823	mtuu:HKBT2_1848
ko:K00666	mtuu:HKBT2_1853
ko:K03705	mtuu:HKBT2_2507
ko:K04793	mtuu:HKBT2_2511
ko:K04792	mtuu:HKBT2_2512
ko:K04789	mtuu:HKBT2_2513
ko:K04791	mtuu:HKBT2_2514
ko:K04790	mtuu:HKBT2_2515
ko:K04788	mtuu:HKBT2_2516
ko:K04787	mtuu:HKBT2_2517
ko:K04781	mtuu:HKBT2_2519
ko:K07086	mtuu:HKBT2_2521
ko:K18481	mtuu:HKBT2_2524
ko:K00392	mtuu:HKBT2_2525
ko:K00390	mtuu:HKBT2_2526
ko:K02045	mtuu:HKBT2_2532
ko:K02047	mtuu:HKBT2_2533
ko:K02046	mtuu:HKBT2_2534
ko:K02048	mtuu:HKBT2_2535
ko:K03596	mtuu:HKBT2_2540
ko:K00784	mtuu:HKBT2_2543
ko:K02968	mtuu:HKBT2_2549
ko:K02340	mtuu:HKBT2_2550
ko:K02238	mtuu:HKBT2_2551
ko:K02237	mtuu:HKBT2_2552
ko:K09710	mtuu:HKBT2_2558
ko:K00969	mtuu:HKBT2_2559
ko:K03657	mtuu:HKBT2_3376
ko:K03426	mtuu:HKBT2_3378
ko:K10716	mtuu:HKBT2_3379
ko:K03657	mtuu:HKBT2_3380
ko:K02361	mtuu:HKBT2_3396
ko:K03088	mtuu:HKBT2_3405
ko:K00800	mtuu:HKBT2_3411
ko:K06949	mtuu:HKBT2_3412
ko:K00508	mtuu:HKBT2_3413
ko:K03455	mtuu:HKBT2_3419
ko:K07228	mtuu:HKBT2_3420
ko:K03070	mtuu:HKBT2_3423
ko:K06860	mtuu:HKBT2_0223
ko:K03439	mtuu:HKBT2_0224
ko:K01596	mtuu:HKBT2_0227
ko:K01692	mtuu:HKBT2_0238
ko:K00128	mtuu:HKBT2_0239
ko:K07048	mtuu:HKBT2_0246
ko:K03583	mtuu:HKBT2_0662
ko:K01692	mtuu:HKBT2_0663
ko:K02913	mtuu:HKBT2_0667
ko:K03073	mtuu:HKBT2_0671
ko:K02601	mtuu:HKBT2_0672
ko:K02867	mtuu:HKBT2_0673
ko:K02863	mtuu:HKBT2_0674
ko:K00574	mtuu:HKBT2_0675
ko:K00574	mtuu:HKBT2_0676
ko:K00574	mtuu:HKBT2_0677
ko:K00574	mtuu:HKBT2_0678
ko:K00645	mtuu:HKBT2_0682
ko:K00845	mtuu:HKBT2_0683
ko:K02864	mtuu:HKBT2_0684
ko:K02935	mtuu:HKBT2_0685
ko:K11159	mtuu:HKBT2_0687
ko:K01689	mtuu:HKBT2_1080
