ko:K07462	rri:A1G_03945
ko:K00962	rri:A1G_03770
ko:K02956	rri:A1G_03775
ko:K03177	rri:A1G_03780
ko:K07058	rri:A1G_03800
ko:K01915	rri:A1G_03805
ko:K05810	rri:A1G_03810
ko:K01462	rri:A1G_03815
ko:K01006	rri:A1G_03840
ko:K03523	rri:A1G_03860
ko:K04564	rri:A1G_03870
ko:K06202	rri:A1G_02505
ko:K09765	rri:A1G_07230
ko:K01872	rri:A1G_07260
ko:K03086	rri:A1G_07270
ko:K09747	rri:A1G_07310
ko:K06985	rri:A1G_07330
ko:K06167	rri:A1G_07365
ko:K07091	rri:A1G_07385
ko:K02339	rri:A1G_07390
ko:K01439	rri:A1G_07400
ko:K03313	rri:A1G_07435
ko:K00812	rri:A1G_00710
ko:K02198	rri:A1G_05985
ko:K04764	rri:A1G_06050
ko:K03564	rri:A1G_06060
ko:K02517	rri:A1G_06065
ko:K00912	rri:A1G_06070
ko:K07115	rri:A1G_06080
ko:K01972	rri:A1G_06085
ko:K00773	rri:A1G_06095
ko:K02067	rri:A1G_06135
ko:K09985	rri:A1G_06150
ko:K09949	rri:A1G_06155
ko:K00859	rri:A1G_06160
ko:K00948	rri:A1G_00735
ko:K01775	rri:A1G_00750
ko:K02066	rri:A1G_00755
ko:K02065	rri:A1G_00760
ko:K01929	rri:A1G_05030
ko:K01928	rri:A1G_05035
ko:K03723	rri:A1G_05040
ko:K09773	rri:A1G_00005
ko:K03671	rri:A1G_00010
ko:K01937	rri:A1G_02970
ko:K00979	rri:A1G_02975
ko:K01495	rri:A1G_02990
ko:K01881	rri:A1G_02995
ko:K03550	rri:A1G_03010
ko:K08218	rri:A1G_03035
ko:K07258	rri:A1G_03040
ko:K03642	rri:A1G_03045
ko:K06190	rri:A1G_03060
ko:K07243	rri:A1G_03065
ko:K03644	rri:A1G_06300
ko:K00600	rri:A1G_06305
ko:K06999	rri:A1G_06310
ko:K07390	rri:A1G_06315
ko:K07056	rri:A1G_06370
ko:K03116	rri:A1G_06380
ko:K01095	rri:A1G_06385
ko:K02888	rri:A1G_06390
ko:K02899	rri:A1G_06395
ko:K00928	rri:A1G_06400
ko:K03650	rri:A1G_06465
ko:K02078	rri:A1G_06505
ko:K03106	rri:A1G_01215
ko:K03926	rri:A1G_01280
ko:K01737	rri:A1G_01285
ko:K00164	rri:A1G_01300
ko:K01299	rri:A1G_01305
ko:K03631	rri:A1G_01310
ko:K05807	rri:A1G_01315
ko:K02340	rri:A1G_01360
ko:K06134	rri:A1G_01365
ko:K02276	rri:A1G_01375
ko:K03424	rri:A1G_05805
ko:K00943	rri:A1G_05815
ko:K03179	rri:A1G_05825
ko:K01873	rri:A1G_05850
ko:K09760	rri:A1G_05870
ko:K03544	rri:A1G_05925
ko:K06920	rri:A1G_05935
ko:K07552	rri:A1G_05960
ko:K09808	rri:A1G_05965
ko:K02902	rri:A1G_00790
ko:K02909	rri:A1G_00795
ko:K03978	rri:A1G_00800
ko:K00930	rri:A1G_00805
ko:K03199	rri:A1G_00815
ko:K00343	rri:A1G_04480
ko:K01698	rri:A1G_04490
ko:K02314	rri:A1G_04525
ko:K06178	rri:A1G_04550
ko:K04485	rri:A1G_04565
ko:K03584	rri:A1G_04575
ko:K02519	rri:A1G_04595
ko:K09748	rri:A1G_04605
ko:K06442	rri:A1G_04625
ko:K01866	rri:A1G_04630
ko:K03185	rri:A1G_04705
ko:K05570	rri:A1G_04710
ko:K00133	rri:A1G_02440
ko:K07082	rri:A1G_02500
ko:K03203	rri:A1G_02210
ko:K02520	rri:A1G_03930
ko:K00627	rri:A1G_03935
ko:K02835	rri:A1G_03940
ko:K03628	rri:A1G_03955
ko:K04773	rri:A1G_03960
ko:K09861	rri:A1G_03985
ko:K01867	rri:A1G_04020
ko:K00655	rri:A1G_04025
ko:K07018	rri:A1G_04040
ko:K08218	rri:A1G_04070
ko:K09710	rri:A1G_06875
ko:K02518	rri:A1G_06945
ko:K06287	rri:A1G_06950
ko:K06204	rri:A1G_06955
ko:K03182	rri:A1G_06980
ko:K01265	rri:A1G_07020
ko:K03630	rri:A1G_07030
ko:K02195	rri:A1G_07060
ko:K06910	rri:A1G_07080
ko:K09817	rri:A1G_07085
ko:K03701	rri:A1G_07115
ko:K03111	rri:A1G_07120
ko:K09131	rri:A1G_07140
ko:K04079	rri:A1G_07145
ko:K00643	rri:A1G_07150
ko:K03545	rri:A1G_07160
ko:K01647	rri:A1G_07170
ko:K02197	rri:A1G_04950
ko:K01507	rri:A1G_04955
ko:K03980	rri:A1G_04960
ko:K03655	rri:A1G_04975
ko:K01028	rri:A1G_04995
ko:K01029	rri:A1G_05000
ko:K01000	rri:A1G_05025
ko:K03801	rri:A1G_07450
ko:K02959	rri:A1G_07460
ko:K02913	rri:A1G_07465
ko:K03572	rri:A1G_07470
ko:K08973	rri:A1G_07510
ko:K01772	rri:A1G_07515
ko:K01599	rri:A1G_07520
ko:K09691	rri:A1G_00015
ko:K09690	rri:A1G_00020
ko:K00677	rri:A1G_00035
ko:K02536	rri:A1G_00045
ko:K06925	rri:A1G_00095
ko:K09815	rri:A1G_00100
ko:K07736	rri:A1G_00190
ko:K00287	rri:A1G_00215
ko:K07152	rri:A1G_00265
ko:K07735	rri:A1G_00270
ko:K18923	rri:A1G_07355
ko:K00239	rri:A1G_00980
ko:K08998	rri:A1G_02730
ko:K00333	rri:A1G_02740
ko:K00331	rri:A1G_02750
ko:K05832	rri:A1G_02825
ko:K05833	rri:A1G_02830
ko:K07088	rri:A1G_02870
ko:K01494	rri:A1G_00610
ko:K03071	rri:A1G_00615
ko:K09987	rri:A1G_00630
ko:K07275	rri:A1G_00640
ko:K02967	rri:A1G_00680
ko:K02357	rri:A1G_00685
ko:K02527	rri:A1G_00700
ko:K09778	rri:A1G_00705
ko:K02968	rri:A1G_05425
ko:K02879	rri:A1G_05430
ko:K02948	rri:A1G_05440
ko:K02952	rri:A1G_05445
ko:K00939	rri:A1G_05450
ko:K02876	rri:A1G_05460
ko:K02907	rri:A1G_05465
ko:K02988	rri:A1G_05470
ko:K02881	rri:A1G_05475
ko:K02933	rri:A1G_05480
ko:K02994	rri:A1G_05485
ko:K02954	rri:A1G_05490
ko:K02931	rri:A1G_05495
ko:K02895	rri:A1G_05500
ko:K02874	rri:A1G_05505
ko:K02961	rri:A1G_05510
ko:K02904	rri:A1G_05515
ko:K02878	rri:A1G_05520
ko:K02982	rri:A1G_05525
ko:K02890	rri:A1G_05530
ko:K02965	rri:A1G_05535
ko:K02886	rri:A1G_05540
ko:K02892	rri:A1G_05545
ko:K02926	rri:A1G_05550
ko:K02906	rri:A1G_05555
ko:K02946	rri:A1G_05560
ko:K02358	rri:A1G_05565
ko:K03218	rri:A1G_05570
ko:K03531	rri:A1G_05600
ko:K01778	rri:A1G_03270
ko:K01869	rri:A1G_03300
ko:K03684	rri:A1G_03310
ko:K00981	rri:A1G_03320
ko:K00806	rri:A1G_03325
ko:K07638	rri:A1G_03330
ko:K00826	rri:A1G_03340
ko:K01714	rri:A1G_03345
ko:K03664	rri:A1G_03350
ko:K02911	rri:A1G_06575
ko:K03110	rri:A1G_06585
ko:K00789	rri:A1G_06605
ko:K00012	rri:A1G_06645
ko:K03118	rri:A1G_06660
ko:K01875	rri:A1G_06665
ko:K03199	rri:A1G_06670
ko:K00339	rri:A1G_06705
ko:K00340	rri:A1G_06710
ko:K00341	rri:A1G_06715
ko:K02193	rri:A1G_06725
ko:K00336	rri:A1G_06740
ko:K00382	rri:A1G_06780
ko:K03455	rri:A1G_06870
ko:K02600	rri:A1G_04600
ko:K03629	rri:A1G_00205
ko:K11085	rri:A1G_03030
ko:K02275	rri:A1G_03140
ko:K00162	rri:A1G_01990
ko:K09458	rri:A1G_06510
ko:K01902	rri:A1G_03360
ko:K03040	rri:A1G_05435
ko:K01883	rri:A1G_00675
ko:K01903	rri:A1G_03365
ko:K02341	rri:A1G_01210
ko:K02335	rri:A1G_06590
ko:K01447	rri:A1G_02815
ko:K02834	rri:A1G_03415
ko:K06187	rri:A1G_03430
ko:K00858	rri:A1G_03460
ko:K00057	rri:A1G_03470
ko:K07088	rri:A1G_03475
ko:K00384	rri:A1G_03485
ko:K00135	rri:A1G_03490
ko:K03657	rri:A1G_03510
ko:K01754	rri:A1G_03535
ko:K00384	rri:A1G_03605
ko:K00791	rri:A1G_03725
ko:K06861	rri:A1G_03745
ko:K02871	rri:A1G_01795
ko:K02996	rri:A1G_01800
ko:K08311	rri:A1G_01830
ko:K01613	rri:A1G_01860
ko:K03543	rri:A1G_01870
ko:K01924	rri:A1G_01900
ko:K00075	rri:A1G_01905
ko:K01921	rri:A1G_01910
ko:K03589	rri:A1G_01915
ko:K03590	rri:A1G_01920
ko:K08738	rri:A1G_01930
ko:K02535	rri:A1G_01940
ko:K02259	rri:A1G_01955
ko:K06179	rri:A1G_01960
ko:K01142	rri:A1G_01980
ko:K06207	rri:A1G_01995
ko:K05571	rri:A1G_02025
ko:K05566	rri:A1G_02030
ko:K02194	rri:A1G_02035
ko:K00411	rri:A1G_02045
ko:K00412	rri:A1G_02050
ko:K00413	rri:A1G_02060
ko:K02836	rri:A1G_02095
ko:K03596	rri:A1G_02100
ko:K05527	rri:A1G_01890
ko:K07716	rri:A1G_01775
ko:K02622	rri:A1G_01765
ko:K04047	rri:A1G_06785
ko:K00338	rri:A1G_06730
ko:K01874	rri:A1G_05810
ko:K12340	rri:A1G_01745
ko:K02112	rri:A1G_06760
ko:K02372	rri:A1G_00040
ko:K03820	rri:A1G_02805
ko:K04043	rri:A1G_01335
ko:K03501	rri:A1G_00535
ko:K03186	rri:A1G_04515
ko:K08300	rri:A1G_01950
ko:K03733	rri:A1G_06960
ko:K03686	rri:A1G_01330
ko:K00970	rri:A1G_00105
ko:K02316	rri:A1G_07275
ko:K04566	rri:A1G_02865
ko:K02111	rri:A1G_06770
ko:K01679	rri:A1G_05585
ko:K01808	rri:A1G_02295
ko:K04066	rri:A1G_04510
ko:K00334	rri:A1G_02735
ko:K00658	rri:A1G_01290
ko:K00324	rri:A1G_07290
ko:K01879	rri:A1G_07210
ko:K00324	rri:A1G_07295
ko:K03070	rri:A1G_04855
ko:K03205	rri:A1G_02240
ko:K03198	rri:A1G_00810
ko:K01892	rri:A1G_02350
ko:K01159	rri:A1G_00915
ko:K03551	rri:A1G_03025
ko:K07568	rri:A1G_01620
ko:K01890	rri:A1G_03285
ko:K02356	rri:A1G_01845
ko:K03075	rri:A1G_00665
ko:K02563	rri:A1G_03170
ko:K02108	rri:A1G_00175
ko:K02109	rri:A1G_00165
ko:K05794	rri:A1G_06680
ko:K04077	rri:A1G_05320
ko:K00337	rri:A1G_06735
ko:K01338	rri:A1G_03540
ko:K00425	rri:A1G_01650
ko:K02114	rri:A1G_06755
ko:K02110	rri:A1G_00170
ko:K02109	rri:A1G_00160
ko:K02115	rri:A1G_06765
ko:K02113	rri:A1G_06775
ko:K01681	rri:A1G_06750
ko:K03569	rri:A1G_06550
ko:K06173	rri:A1G_07265
ko:K00332	rri:A1G_02745
ko:K03076	rri:A1G_05455
ko:K04763	rri:A1G_02785
ko:K01056	rri:A1G_05130
ko:K11066	rri:A1G_07455
ko:K00228	rri:A1G_07495
ko:K13292	rri:A1G_00460
ko:K01297	rri:A1G_03110
ko:K11720	rri:A1G_06555
ko:K00031	rri:A1G_02020
ko:K00059	rri:A1G_06495
ko:K01491	rri:A1G_03600
ko:K11528	rri:A1G_04405
ko:K00748	rri:A1G_02490
ko:K01358	rri:A1G_04200
ko:K07659	rri:A1G_03335
ko:K03524	rri:A1G_03895
ko:K02029	rri:A1G_00985
ko:K04487	rri:A1G_04130
ko:K04487	rri:A1G_04125
ko:K06168	rri:A1G_06820
ko:K11749	rri:A1G_01155
ko:K03386	rri:A1G_02555
ko:K00024	rri:A1G_02950
ko:K00568	rri:A1G_05300
ko:K11719	rri:A1G_03755
ko:K01092	rri:A1G_01850
ko:K07473	rri:A1G_07375
ko:K00029	rri:A1G_02875
ko:K13941	rri:A1G_00225
ko:K08309	rri:A1G_03100
ko:K03769	rri:A1G_04860
ko:K00215	rri:A1G_01080
ko:K07133	rri:A1G_06530
ko:K01322	rri:A1G_01220
ko:K06223	rri:A1G_04355
ko:K06197	rri:A1G_01325
ko:K00558	rri:A1G_00430
ko:K01989	rri:A1G_02820
ko:K05524	rri:A1G_07055
ko:K08316	rri:A1G_04560
ko:K03296	rri:A1G_01200
ko:K03294	rri:A1G_02345
ko:K03294	rri:A1G_04110
ko:K06879	rri:A1G_00625
ko:K06895	rri:A1G_04060
ko:K03979	rri:A1G_07165
ko:K03496	rri:A1G_01055
ko:K13643	rri:A1G_04135
ko:K07726	rri:A1G_06700
ko:K07276	rri:A1G_00935
ko:K01791	rri:A1G_02600
ko:K11754	rri:A1G_03865
ko:K13584	rri:A1G_00620
ko:K13599	rri:A1G_04715
ko:K14222	rri:A1G_t07543
ko:K14228	rri:A1G_t07579
ko:K14219	rri:A1G_t07589
ko:K03762	rri:A1G_00650
ko:K03762	rri:A1G_07490
ko:K14219	rri:A1G_t07553
ko:K14221	rri:A1G_t07549
ko:K14230	rri:A1G_t07539
ko:K14224	rri:A1G_t07529
ko:K14225	rri:A1G_t07571
ko:K14237	rri:A1G_t07573
ko:K12262	rri:A1G_03385
ko:K06137	rri:A1G_00210
ko:K03933	rri:A1G_03660
ko:K06197	rri:A1G_01320
ko:K08641	rri:A1G_01805
ko:K01724	rri:A1G_01815
ko:K01154	rri:A1G_07405
ko:K14220	rri:A1G_t07541
ko:K13628	rri:A1G_04115
ko:K14225	rri:A1G_t07575
ko:K14232	rri:A1G_t07587
ko:K01965	rri:A1G_05265
ko:K13771	rri:A1G_04620
ko:K13598	rri:A1G_05210
ko:K05939	rri:A1G_05280
ko:K01966	rri:A1G_05270
ko:K14233	rri:A1G_t07551
ko:K01934	rri:A1G_04335
ko:K14230	rri:A1G_t07533
ko:K14233	rri:A1G_t07563
ko:K09888	rri:A1G_06445
ko:K14230	rri:A1G_t07585
ko:K14233	rri:A1G_t07583
ko:K14231	rri:A1G_t07527
ko:K14236	rri:A1G_t07577
ko:K14237	rri:A1G_t07561
ko:K08276	rri:A1G_05610
ko:K00971	rri:A1G_05745
ko:K02028	rri:A1G_07360
ko:K03201	rri:A1G_00820
ko:K03201	rri:A1G_00830
ko:K03201	rri:A1G_00840
ko:K03790	rri:A1G_05930
ko:K01977	rri:A1G_r07597
ko:K14235	rri:A1G_t07535
ko:K14234	rri:A1G_t07537
ko:K14219	rri:A1G_t07565
ko:K09810	rri:A1G_05970
ko:K01524	rri:A1G_02245
ko:K03716	rri:A1G_02660
ko:K14234	rri:A1G_t07593
ko:K14218	rri:A1G_t07559
ko:K14218	rri:A1G_t07567
ko:K14229	rri:A1G_t07545
ko:K14234	rri:A1G_t07531
ko:K12262	rri:A1G_03390
ko:K02116	rri:A1G_00180
ko:K03427	rri:A1G_07415
ko:K14227	rri:A1G_t07547
ko:K14226	rri:A1G_t07581
ko:K01985	rri:A1G_r07595
ko:K14223	rri:A1G_t07555
ko:K14223	rri:A1G_t07557
ko:K14228	rri:A1G_t07569
ko:K00674	rri:A1G_01390
ko:K07001	rri:A1G_00060
ko:K05349	rri:A1G_06040
ko:K01840	rri:A1G_03735
ko:K06147	rri:A1G_05950
ko:K03201	rri:A1G_00825
ko:K03201	rri:A1G_00835
ko:K02022	rri:A1G_02430
ko:K00799	rri:A1G_03845
ko:K06900	rri:A1G_05085
ko:K02030	rri:A1G_01090
ko:K06867	rri:A1G_01760
ko:K06148	rri:A1G_02435
ko:K00330	rri:A1G_02755
ko:K03296	rri:A1G_03215
ko:K07076	rri:A1G_05110
ko:K07343	rri:A1G_05285
ko:K03560	rri:A1G_02405
ko:K15383	rri:A1G_05675
ko:K15371	rri:A1G_06460
ko:K15738	rri:A1G_06515
ko:K01082	rri:A1G_02285
ko:K15270	rri:A1G_00645
ko:K03301	rri:A1G_03785
ko:K03301	rri:A1G_06265
ko:K16053	rri:A1G_00470
ko:K07323	rri:A1G_00730
ko:K17717	rri:A1G_06970
ko:K17716	rri:A1G_02595
ko:K14998	rri:A1G_06170
ko:K17103	rri:A1G_01865
ko:K12574	rri:A1G_03465
ko:K03446	rri:A1G_01130
ko:K18588	rri:A1G_01180
ko:K18587	rri:A1G_05225
ko:K18707	rri:A1G_03275
ko:K06147	rri:A1G_01640
ko:K07171	rri:A1G_00030
ko:K16898	rri:A1G_06175
ko:K16899	rri:A1G_03115
ko:K19157	rri:A1G_07380
ko:K07062	rri:A1G_07220
ko:K04771	rri:A1G_00955
ko:K09796	rri:A1G_04785
ko:K06889	rri:A1G_02630
ko:K10026	rri:A1G_05140
ko:K21929	rri:A1G_07180
ko:K11991	rri:A1G_07065
ko:K02257	rri:A1G_02655
