ko:K15581	see:SNSL254_A1873
ko:K07109	see:SNSL254_A4769
ko:K09800	see:SNSL254_A4775
ko:K03088	see:SNSL254_A2850
ko:K00278	see:SNSL254_A2852
ko:K05590	see:SNSL254_A2855
ko:K03648	see:SNSL254_A2859
ko:K03214	see:SNSL254_A2860
ko:K03672	see:SNSL254_A2861
ko:K09181	see:SNSL254_A2863
ko:K01999	see:SNSL254_A3833
ko:K01999	see:SNSL254_A3836
ko:K03089	see:SNSL254_A3837
ko:K09811	see:SNSL254_A3838
ko:K03572	see:SNSL254_A4720
ko:K00791	see:SNSL254_A4721
ko:K00998	see:SNSL254_A2864
ko:K05811	see:SNSL254_A2865
ko:K03761	see:SNSL254_A2866
ko:K03695	see:SNSL254_A2875
ko:K05810	see:SNSL254_A2876
ko:K06180	see:SNSL254_A2877
ko:K05807	see:SNSL254_A2878
ko:K02990	see:SNSL254_A4751
ko:K05809	see:SNSL254_A2879
ko:K01626	see:SNSL254_A2883
ko:K02884	see:SNSL254_A2887
ko:K00554	see:SNSL254_A2888
ko:K02860	see:SNSL254_A2889
ko:K02959	see:SNSL254_A2890
ko:K03106	see:SNSL254_A2891
ko:K03687	see:SNSL254_A2895
ko:K00858	see:SNSL254_A2896
ko:K03631	see:SNSL254_A2897
ko:K06186	see:SNSL254_A2898
ko:K09801	see:SNSL254_A2899
ko:K03664	see:SNSL254_A2901
ko:K09812	see:SNSL254_A3839
ko:K08316	see:SNSL254_A3841
ko:K08993	see:SNSL254_A3842
ko:K09125	see:SNSL254_A3848
ko:K07722	see:SNSL254_A3853
ko:K01993	see:SNSL254_A3856
ko:K07007	see:SNSL254_A3858
ko:K06144	see:SNSL254_A3860
ko:K02562	see:SNSL254_A3965
ko:K00427	see:SNSL254_A3971
ko:K00101	see:SNSL254_A3973
ko:K03216	see:SNSL254_A3974
ko:K06145	see:SNSL254_A3976
ko:K00640	see:SNSL254_A3979
ko:K00057	see:SNSL254_A3980
ko:K03071	see:SNSL254_A3981
ko:K03676	see:SNSL254_A3982
ko:K09798	see:SNSL254_A3986
ko:K00639	see:SNSL254_A3989
ko:K03274	see:SNSL254_A3990
ko:K02843	see:SNSL254_A3991
ko:K02841	see:SNSL254_A3992
ko:K03305	see:SNSL254_A3862
ko:K01414	see:SNSL254_A3864
ko:K07115	see:SNSL254_A3867
ko:K00383	see:SNSL254_A3869
ko:K03710	see:SNSL254_A3874
ko:K01194	see:SNSL254_A3875
ko:K07058	see:SNSL254_A3880
ko:K07290	see:SNSL254_A3882
ko:K11103	see:SNSL254_A3886
ko:K01507	see:SNSL254_A4779
ko:K02558	see:SNSL254_A4781
ko:K09889	see:SNSL254_A4782
ko:K03592	see:SNSL254_A4783
ko:K01465	see:SNSL254_A4791
ko:K06890	see:SNSL254_A4144
ko:K02114	see:SNSL254_A4145
ko:K02112	see:SNSL254_A4146
ko:K04022	see:SNSL254_A2654
ko:K03587	see:SNSL254_A1976
ko:K03577	see:SNSL254_A0527
ko:K04067	see:SNSL254_A0531
ko:K09790	see:SNSL254_A0532
ko:K00759	see:SNSL254_A0533
ko:K02343	see:SNSL254_A0534
ko:K02769	see:SNSL254_A4139
ko:K02770	see:SNSL254_A4139
ko:K00857	see:SNSL254_A1877
ko:K03746	see:SNSL254_A1878
ko:K00963	see:SNSL254_A1879
ko:K07001	see:SNSL254_A1881
ko:K09858	see:SNSL254_A1882
ko:K01433	see:SNSL254_A1883
ko:K00374	see:SNSL254_A1892
ko:K00373	see:SNSL254_A1893
ko:K00371	see:SNSL254_A1894
ko:K00370	see:SNSL254_A1895
ko:K02575	see:SNSL254_A1896
ko:K07673	see:SNSL254_A1897
ko:K06039	see:SNSL254_A1900
ko:K06197	see:SNSL254_A1901
ko:K07300	see:SNSL254_A1902
ko:K01627	see:SNSL254_A1903
ko:K02493	see:SNSL254_A1906
ko:K02835	see:SNSL254_A1907
ko:K02492	see:SNSL254_A1908
ko:K02494	see:SNSL254_A1910
ko:K00919	see:SNSL254_A1911
ko:K00948	see:SNSL254_A1913
ko:K01056	see:SNSL254_A1916
ko:K06942	see:SNSL254_A1917
ko:K06282	see:SNSL254_A1924
ko:K06281	see:SNSL254_A1925
ko:K03620	see:SNSL254_A1926
ko:K03619	see:SNSL254_A1928
ko:K03618	see:SNSL254_A1929
ko:K00425	see:SNSL254_A1930
ko:K00426	see:SNSL254_A1931
ko:K00261	see:SNSL254_A1932
ko:K01194	see:SNSL254_A1934
ko:K11105	see:SNSL254_A1939
ko:K01775	see:SNSL254_A1940
ko:K00285	see:SNSL254_A1941
ko:K03603	see:SNSL254_A1943
ko:K03314	see:SNSL254_A1944
ko:K03611	see:SNSL254_A1945
ko:K09160	see:SNSL254_A1950
ko:K09902	see:SNSL254_A1953
ko:K03684	see:SNSL254_A1956
ko:K07285	see:SNSL254_A1959
ko:K09917	see:SNSL254_A1963
ko:K01665	see:SNSL254_A1964
ko:K01752	see:SNSL254_A1966
ko:K02793	see:SNSL254_A1969
ko:K01951	see:SNSL254_A2703
ko:K00088	see:SNSL254_A2704
ko:K03601	see:SNSL254_A2705
ko:K03977	see:SNSL254_A2713
ko:K01892	see:SNSL254_A2716
ko:K06941	see:SNSL254_A2720
ko:K00940	see:SNSL254_A2721
ko:K07308	see:SNSL254_A2723
ko:K00700	see:SNSL254_A3805
ko:K00133	see:SNSL254_A3806
ko:K00851	see:SNSL254_A3809
ko:K06145	see:SNSL254_A3810
ko:K06911	see:SNSL254_A3811
ko:K03825	see:SNSL254_A3814
ko:K09936	see:SNSL254_A3818
ko:K07048	see:SNSL254_A3819
ko:K00681	see:SNSL254_A3820
ko:K01126	see:SNSL254_A3822
ko:K05816	see:SNSL254_A3823
ko:K05815	see:SNSL254_A3824
ko:K05814	see:SNSL254_A3825
ko:K05813	see:SNSL254_A3826
ko:K07341	see:SNSL254_A3827
ko:K01996	see:SNSL254_A3829
ko:K01995	see:SNSL254_A3830
ko:K01998	see:SNSL254_A3831
ko:K01997	see:SNSL254_A3832
ko:K06193	see:SNSL254_A4635
ko:K07643	see:SNSL254_A4637
ko:K01584	see:SNSL254_A4642
ko:K07406	see:SNSL254_A4644
ko:K01676	see:SNSL254_A4646
ko:K03581	see:SNSL254_A3219
ko:K03582	see:SNSL254_A3220
ko:K01407	see:SNSL254_A3221
ko:K03583	see:SNSL254_A3222
ko:K03736	see:SNSL254_A2650
ko:K03735	see:SNSL254_A2651
ko:K04019	see:SNSL254_A2652
ko:K04023	see:SNSL254_A2653
ko:K04024	see:SNSL254_A2655
ko:K04032	see:SNSL254_A2660
ko:K04029	see:SNSL254_A2662
ko:K04031	see:SNSL254_A2663
ko:K00616	see:SNSL254_A2666
ko:K00615	see:SNSL254_A2667
ko:K07674	see:SNSL254_A2673
ko:K09908	see:SNSL254_A3610
ko:K01572	see:SNSL254_A3614
ko:K01573	see:SNSL254_A3616
ko:K03402	see:SNSL254_A3623
ko:K03623	see:SNSL254_A3626
ko:K03568	see:SNSL254_A3631
ko:K00560	see:SNSL254_A3228
ko:K08484	see:SNSL254_A3231
ko:K08311	see:SNSL254_A3232
ko:K03803	see:SNSL254_A2847
ko:K03598	see:SNSL254_A2848
ko:K03597	see:SNSL254_A2849
ko:K06158	see:SNSL254_A3729
ko:K07019	see:SNSL254_A3733
ko:K00855	see:SNSL254_A3735
ko:K10914	see:SNSL254_A3737
ko:K07306	see:SNSL254_A2725
ko:K06894	see:SNSL254_A2727
ko:K00796	see:SNSL254_A3554
ko:K03798	see:SNSL254_A3555
ko:K02427	see:SNSL254_A3556
ko:K07574	see:SNSL254_A3557
ko:K01972	see:SNSL254_A2620
ko:K03528	see:SNSL254_A2621
ko:K01738	see:SNSL254_A2623
ko:K08483	see:SNSL254_A2626
ko:K02777	see:SNSL254_A2627
ko:K01951	see:SNSL254_A2631
ko:K02045	see:SNSL254_A2635
ko:K02047	see:SNSL254_A2636
ko:K02046	see:SNSL254_A2637
ko:K02048	see:SNSL254_A2638
ko:K07223	see:SNSL254_A2640
ko:K01448	see:SNSL254_A2644
ko:K04033	see:SNSL254_A2647
ko:K04026	see:SNSL254_A2649
ko:K08301	see:SNSL254_A3633
ko:K06287	see:SNSL254_A3634
ko:K03571	see:SNSL254_A3635
ko:K03570	see:SNSL254_A3636
ko:K11183	see:SNSL254_A2398
ko:K02768	see:SNSL254_A2398
ko:K07147	see:SNSL254_A3640
ko:K02687	see:SNSL254_A3646
ko:K00014	see:SNSL254_A3670
ko:K06908	see:SNSL254_A4553
ko:K04068	see:SNSL254_A4797
ko:K02848	see:SNSL254_A4001
ko:K02844	see:SNSL254_A4002
ko:K02849	see:SNSL254_A4003
ko:K06907	see:SNSL254_A4554
ko:K00928	see:SNSL254_A4562
ko:K01810	see:SNSL254_A4563
ko:K10110	see:SNSL254_A4569
ko:K10109	see:SNSL254_A4571
ko:K10108	see:SNSL254_A4572
ko:K10111	see:SNSL254_A4573
ko:K05775	see:SNSL254_A4575
ko:K03181	see:SNSL254_A4576
ko:K03179	see:SNSL254_A4577
ko:K00901	see:SNSL254_A4579
ko:K01356	see:SNSL254_A4580
ko:K03327	see:SNSL254_A4581
ko:K09823	see:SNSL254_A4584
ko:K05539	see:SNSL254_A4586
ko:K00880	see:SNSL254_A3952
ko:K01867	see:SNSL254_A4862
ko:K01305	see:SNSL254_A4867
ko:K00135	see:SNSL254_A4876
ko:K03427	see:SNSL254_A4881
ko:K01153	see:SNSL254_A4882
ko:K02794	see:SNSL254_A1969
ko:K02795	see:SNSL254_A1970
ko:K02796	see:SNSL254_A1971
ko:K00563	see:SNSL254_A1975
ko:K03704	see:SNSL254_A1977
ko:K03799	see:SNSL254_A1983
ko:K03797	see:SNSL254_A1984
ko:K03607	see:SNSL254_A1985
ko:K03808	see:SNSL254_A1987
ko:K07313	see:SNSL254_A1992
ko:K07156	see:SNSL254_A2034
ko:K02345	see:SNSL254_A2035
ko:K10857	see:SNSL254_A2037
ko:K01354	see:SNSL254_A2038
ko:K09918	see:SNSL254_A2041
ko:K08289	see:SNSL254_A2042
ko:K01690	see:SNSL254_A2044
ko:K00036	see:SNSL254_A2045
ko:K00873	see:SNSL254_A2047
ko:K02560	see:SNSL254_A2048
ko:K09815	see:SNSL254_A2050
ko:K09817	see:SNSL254_A2051
ko:K09816	see:SNSL254_A2052
ko:K03551	see:SNSL254_A2053
ko:K03550	see:SNSL254_A2054
ko:K01159	see:SNSL254_A2057
ko:K08310	see:SNSL254_A2059
ko:K01876	see:SNSL254_A2060
ko:K07136	see:SNSL254_A2063
ko:K06201	see:SNSL254_A2066
ko:K09907	see:SNSL254_A2067
ko:K01887	see:SNSL254_A2069
ko:K03516	see:SNSL254_A2072
ko:K02400	see:SNSL254_A2073
ko:K03414	see:SNSL254_A2075
ko:K03413	see:SNSL254_A2076
ko:K03412	see:SNSL254_A2077
ko:K03408	see:SNSL254_A2081
ko:K03407	see:SNSL254_A2082
ko:K02557	see:SNSL254_A2083
ko:K02556	see:SNSL254_A2084
ko:K02402	see:SNSL254_A2085
ko:K02403	see:SNSL254_A2086
ko:K08641	see:SNSL254_A1714
ko:K08303	see:SNSL254_A1718
ko:K05782	see:SNSL254_A1720
ko:K03304	see:SNSL254_A1723
ko:K02774	see:SNSL254_A1727
ko:K02775	see:SNSL254_A1728
ko:K06971	see:SNSL254_A1729
ko:K02773	see:SNSL254_A1730
ko:K03578	see:SNSL254_A1758
ko:K01118	see:SNSL254_A1759
ko:K09978	see:SNSL254_A1761
ko:K03778	see:SNSL254_A1764
ko:K03737	see:SNSL254_A1768
ko:K05591	see:SNSL254_A1775
ko:K11065	see:SNSL254_A1806
ko:K03721	see:SNSL254_A1807
ko:K08990	see:SNSL254_A1808
ko:K06918	see:SNSL254_A1809
ko:K03969	see:SNSL254_A1814
ko:K03974	see:SNSL254_A1815
ko:K00208	see:SNSL254_A1823
ko:K04062	see:SNSL254_A1829
ko:K03113	see:SNSL254_A1830
ko:K01591	see:SNSL254_A1831
ko:K01681	see:SNSL254_A1836
ko:K03168	see:SNSL254_A1841
ko:K06178	see:SNSL254_A1846
ko:K07053	see:SNSL254_A1848
ko:K01657	see:SNSL254_A1850
ko:K01696	see:SNSL254_A1853
ko:K01695	see:SNSL254_A1854
ko:K07217	see:SNSL254_A1858
ko:K07275	see:SNSL254_A1859
ko:K06940	see:SNSL254_A1860
ko:K06190	see:SNSL254_A1862
ko:K10806	see:SNSL254_A1863
ko:K03832	see:SNSL254_A1864
ko:K09780	see:SNSL254_A1865
ko:K06131	see:SNSL254_A1867
ko:K08350	see:SNSL254_A1682
ko:K02575	see:SNSL254_A1691
ko:K07345	see:SNSL254_A0596
ko:K07347	see:SNSL254_A0599
ko:K01425	see:SNSL254_A1638
ko:K03430	see:SNSL254_A0478
ko:K05306	see:SNSL254_A0479
ko:K03152	see:SNSL254_A0480
ko:K00077	see:SNSL254_A0481
ko:K09767	see:SNSL254_A0482
ko:K01816	see:SNSL254_A0572
ko:K03502	see:SNSL254_A2162
ko:K03503	see:SNSL254_A2163
ko:K09933	see:SNSL254_A2166
ko:K03593	see:SNSL254_A2343
ko:K05846	see:SNSL254_A2351
ko:K05846	see:SNSL254_A2353
ko:K03777	see:SNSL254_A2356
ko:K07262	see:SNSL254_A2357
ko:K03667	see:SNSL254_A4421
ko:K01419	see:SNSL254_A4422
ko:K03591	see:SNSL254_A4423
ko:K04066	see:SNSL254_A4425
ko:K02909	see:SNSL254_A4426
ko:K03764	see:SNSL254_A4430
ko:K00005	see:SNSL254_A4440
ko:K00656	see:SNSL254_A4445
ko:K04069	see:SNSL254_A4446
ko:K01595	see:SNSL254_A4450
ko:K01438	see:SNSL254_A4451
ko:K00145	see:SNSL254_A4452
ko:K00930	see:SNSL254_A4453
ko:K01755	see:SNSL254_A4454
ko:K04761	see:SNSL254_A4456
ko:K00322	see:SNSL254_A4457
ko:K01776	see:SNSL254_A4463
ko:K00075	see:SNSL254_A4470
ko:K00867	see:SNSL254_A4472
ko:K03073	see:SNSL254_A4479
ko:K01439	see:SNSL254_A2676
ko:K07054	see:SNSL254_A2679
ko:K01923	see:SNSL254_A2680
ko:K07287	see:SNSL254_A2681
ko:K03567	see:SNSL254_A2683
ko:K03564	see:SNSL254_A2684
ko:K00865	see:SNSL254_A2685
ko:K02647	see:SNSL254_A2687
ko:K03548	see:SNSL254_A2688
ko:K10763	see:SNSL254_A2691
ko:K00761	see:SNSL254_A2693
ko:K01933	see:SNSL254_A2695
ko:K11175	see:SNSL254_A2696
ko:K00937	see:SNSL254_A2697
ko:K03826	see:SNSL254_A3922
ko:K03704	see:SNSL254_A3929
ko:K01879	see:SNSL254_A3931
ko:K01878	see:SNSL254_A3932
ko:K01805	see:SNSL254_A3939
ko:K03796	see:SNSL254_A3941
ko:K03665	see:SNSL254_A4723
ko:K02783	see:SNSL254_A3034
ko:K02782	see:SNSL254_A3035
ko:K02783	see:SNSL254_A3035
ko:K02781	see:SNSL254_A3036
ko:K00068	see:SNSL254_A3037
ko:K02466	see:SNSL254_A3038
ko:K02467	see:SNSL254_A3040
ko:K04656	see:SNSL254_A3044
ko:K05796	see:SNSL254_A3045
ko:K00865	see:SNSL254_A0578
ko:K00926	see:SNSL254_A0585
ko:K01589	see:SNSL254_A0586
ko:K01588	see:SNSL254_A0587
ko:K03269	see:SNSL254_A0588
ko:K01883	see:SNSL254_A0590
ko:K09771	see:SNSL254_A1615
ko:K08323	see:SNSL254_A1616
ko:K01284	see:SNSL254_A1624
ko:K08159	see:SNSL254_A1635
ko:K01256	see:SNSL254_A1098
ko:K07140	see:SNSL254_A1101
ko:K03808	see:SNSL254_A1104
ko:K06192	see:SNSL254_A1105
ko:K09857	see:SNSL254_A1106
ko:K01716	see:SNSL254_A1108
ko:K04770	see:SNSL254_A1109
ko:K09911	see:SNSL254_A1110
ko:K03658	see:SNSL254_A1116
ko:K01734	see:SNSL254_A1117
ko:K09909	see:SNSL254_A1118
ko:K03758	see:SNSL254_A1586
ko:K00324	see:SNSL254_A1588
ko:K00325	see:SNSL254_A1589
ko:K09747	see:SNSL254_A0536
ko:K06187	see:SNSL254_A0537
ko:K04079	see:SNSL254_A0538
ko:K00939	see:SNSL254_A0539
ko:K01772	see:SNSL254_A0541
ko:K00892	see:SNSL254_A0543
ko:K03455	see:SNSL254_A0544
ko:K08223	see:SNSL254_A0546
ko:K09973	see:SNSL254_A0550
ko:K07340	see:SNSL254_A0554
ko:K05838	see:SNSL254_A0558
ko:K01223	see:SNSL254_A3286
ko:K02761	see:SNSL254_A1427
ko:K02759	see:SNSL254_A1428
ko:K08476	see:SNSL254_A2585
ko:K01222	see:SNSL254_A1430
ko:K06221	see:SNSL254_A3420
ko:K08298	see:SNSL254_A0076
ko:K05366	see:SNSL254_A3765
ko:K05367	see:SNSL254_A2726
ko:K08178	see:SNSL254_A0396
ko:K07316	see:SNSL254_A0397
ko:K00425	see:SNSL254_A0400
ko:K00426	see:SNSL254_A0401
ko:K02014	see:SNSL254_A0404
ko:K01929	see:SNSL254_A0136
ko:K01000	see:SNSL254_A0137
ko:K01925	see:SNSL254_A0138
ko:K03588	see:SNSL254_A0139
ko:K02563	see:SNSL254_A0140
ko:K01924	see:SNSL254_A0141
ko:K01921	see:SNSL254_A0142
ko:K03589	see:SNSL254_A0143
ko:K03590	see:SNSL254_A0144
ko:K03531	see:SNSL254_A0145
ko:K02535	see:SNSL254_A0146
ko:K03070	see:SNSL254_A0148
ko:K09862	see:SNSL254_A0151
ko:K00859	see:SNSL254_A0153
ko:K00364	see:SNSL254_A0154
ko:K00767	see:SNSL254_A0158
ko:K03806	see:SNSL254_A0159
ko:K03807	see:SNSL254_A0160
ko:K00163	see:SNSL254_A0165
ko:K00627	see:SNSL254_A0166
ko:K00382	see:SNSL254_A0167
ko:K01682	see:SNSL254_A0172
ko:K09910	see:SNSL254_A0175
ko:K02526	see:SNSL254_A0177
ko:K02015	see:SNSL254_A0834
ko:K02013	see:SNSL254_A0835
ko:K02035	see:SNSL254_A1361
ko:K02033	see:SNSL254_A1362
ko:K02034	see:SNSL254_A1363
ko:K02031	see:SNSL254_A1364
ko:K02032	see:SNSL254_A1365
ko:K07283	see:SNSL254_A1441
ko:K01868	see:SNSL254_A1444
ko:K02520	see:SNSL254_A1445
ko:K02916	see:SNSL254_A1446
ko:K02887	see:SNSL254_A1447
ko:K01889	see:SNSL254_A1448
ko:K04764	see:SNSL254_A1450
ko:K06073	see:SNSL254_A1451
ko:K00432	see:SNSL254_A1452
ko:K06074	see:SNSL254_A1453
ko:K01626	see:SNSL254_A1458
ko:K09773	see:SNSL254_A1459
ko:K01007	see:SNSL254_A1461
ko:K00313	see:SNSL254_A1464
ko:K03785	see:SNSL254_A1470
ko:K01756	see:SNSL254_A1333
ko:K07153	see:SNSL254_A1334
ko:K00566	see:SNSL254_A1335
ko:K09808	see:SNSL254_A1317
ko:K09808	see:SNSL254_A1319
ko:K11069	see:SNSL254_A1322
ko:K11070	see:SNSL254_A1323
ko:K11071	see:SNSL254_A1326
ko:K01258	see:SNSL254_A1328
ko:K00760	see:SNSL254_A0186
ko:K01579	see:SNSL254_A0197
ko:K01918	see:SNSL254_A0198
ko:K00606	see:SNSL254_A0199
ko:K00950	see:SNSL254_A0200
ko:K06204	see:SNSL254_A0203
ko:K06206	see:SNSL254_A0204
ko:K01975	see:SNSL254_A0205
ko:K03579	see:SNSL254_A0206
ko:K02014	see:SNSL254_A0209
ko:K02013	see:SNSL254_A0210
ko:K02016	see:SNSL254_A0211
ko:K02015	see:SNSL254_A0212
ko:K07347	see:SNSL254_A0378
ko:K00768	see:SNSL254_A2192
ko:K02233	see:SNSL254_A2193
ko:K02231	see:SNSL254_A2194
ko:K02232	see:SNSL254_A2195
ko:K02006	see:SNSL254_A2196
ko:K02008	see:SNSL254_A2197
ko:K02007	see:SNSL254_A2199
ko:K02190	see:SNSL254_A2201
ko:K05895	see:SNSL254_A2202
ko:K02189	see:SNSL254_A2204
ko:K05936	see:SNSL254_A2205
ko:K03399	see:SNSL254_A2207
ko:K02188	see:SNSL254_A2208
ko:K06042	see:SNSL254_A2209
ko:K02227	see:SNSL254_A2210
ko:K01151	see:SNSL254_A2395
ko:K02769	see:SNSL254_A2396
ko:K02770	see:SNSL254_A2396
ko:K00882	see:SNSL254_A2397
ko:K03291	see:SNSL254_A2401
ko:K06940	see:SNSL254_A2404
ko:K02356	see:SNSL254_A2405
ko:K07685	see:SNSL254_A2430
ko:K02200	see:SNSL254_A2431
ko:K02199	see:SNSL254_A2432
ko:K02198	see:SNSL254_A2433
ko:K02197	see:SNSL254_A2434
ko:K02196	see:SNSL254_A2435
ko:K02195	see:SNSL254_A2436
ko:K02194	see:SNSL254_A2437
ko:K02193	see:SNSL254_A2438
ko:K02569	see:SNSL254_A2439
ko:K02568	see:SNSL254_A2440
ko:K02573	see:SNSL254_A2442
ko:K02567	see:SNSL254_A2443
ko:K02572	see:SNSL254_A2445
ko:K07552	see:SNSL254_A2415
ko:K02897	see:SNSL254_A2418
ko:K06899	see:SNSL254_A2420
ko:K09904	see:SNSL254_A2421
ko:K07014	see:SNSL254_A2422
ko:K07347	see:SNSL254_A0338
ko:K03271	see:SNSL254_A0349
ko:K02346	see:SNSL254_A0352
ko:K02839	see:SNSL254_A0354
ko:K00769	see:SNSL254_A0356
ko:K07085	see:SNSL254_A0943
ko:K03674	see:SNSL254_A0945
ko:K10678	see:SNSL254_A0947
ko:K05844	see:SNSL254_A0948
ko:K03809	see:SNSL254_A1214
ko:K02372	see:SNSL254_A0249
ko:K00677	see:SNSL254_A0250
ko:K03470	see:SNSL254_A0252
ko:K02337	see:SNSL254_A0253
ko:K04075	see:SNSL254_A0258
ko:K01881	see:SNSL254_A0264
ko:K06080	see:SNSL254_A0266
ko:K02073	see:SNSL254_A0267
ko:K02072	see:SNSL254_A0268
ko:K02071	see:SNSL254_A0269
ko:K07258	see:SNSL254_A0935
ko:K08160	see:SNSL254_A0938
ko:K00673	see:SNSL254_A1416
ko:K06447	see:SNSL254_A1417
ko:K01484	see:SNSL254_A1418
ko:K05526	see:SNSL254_A1419
ko:K04064	see:SNSL254_A1425
ko:K03781	see:SNSL254_A1432
ko:K08307	see:SNSL254_A0285
ko:K03469	see:SNSL254_A0288
ko:K02342	see:SNSL254_A0289
