ko:K01212	bamc:U471_39230
ko:K00052	bamc:U471_26300
ko:K01649	bamc:U471_26310
ko:K00053	bamc:U471_26320
ko:K01653	bamc:U471_26330
ko:K01652	bamc:U471_26340
ko:K07095	bamc:U471_26390
ko:K02428	bamc:U471_26400
ko:K00989	bamc:U471_26410
ko:K06298	bamc:U471_26420
ko:K01776	bamc:U471_26430
ko:K01994	bamc:U471_26450
ko:K07107	bamc:U471_26460
ko:K00240	bamc:U471_26470
ko:K00239	bamc:U471_26480
ko:K00241	bamc:U471_26490
ko:K00928	bamc:U471_26510
ko:K03703	bamc:U471_26520
ko:K03671	bamc:U471_26530
ko:K01209	bamc:U471_26550
ko:K03522	bamc:U471_26560
ko:K03521	bamc:U471_26570
ko:K13767	bamc:U471_26580
ko:K13770	bamc:U471_26590
ko:K01897	bamc:U471_26600
ko:K08989	bamc:U471_26620
ko:K07456	bamc:U471_26630
ko:K02347	bamc:U471_26640
ko:K09888	bamc:U471_26660
ko:K03471	bamc:U471_26670
ko:K01890	bamc:U471_26680
ko:K01889	bamc:U471_26690
ko:K03437	bamc:U471_26710
ko:K06426	bamc:U471_26720
ko:K02647	bamc:U471_26730
ko:K11473	bamc:U471_26750
ko:K06200	bamc:U471_26770
ko:K01209	bamc:U471_26780
ko:K17236	bamc:U471_26790
ko:K17235	bamc:U471_26800
ko:K17234	bamc:U471_26810
ko:K04767	bamc:U471_27940
ko:K04768	bamc:U471_27950
ko:K02557	bamc:U471_27960
ko:K02556	bamc:U471_27970
ko:K02529	bamc:U471_27980
ko:K13853	bamc:U471_27990
ko:K01924	bamc:U471_28030
ko:K03466	bamc:U471_28050
ko:K06878	bamc:U471_28060
ko:K00027	bamc:U471_28120
ko:K03439	bamc:U471_28140
ko:K01975	bamc:U471_28190
ko:K01738	bamc:U471_28200
ko:K01439	bamc:U471_28210
ko:K06901	bamc:U471_28220
ko:K01992	bamc:U471_28230
ko:K01990	bamc:U471_28240
ko:K06183	bamc:U471_28260
ko:K07007	bamc:U471_28290
ko:K05020	bamc:U471_28310
ko:K02529	bamc:U471_28340
ko:K10117	bamc:U471_28350
ko:K10118	bamc:U471_28370
ko:K10119	bamc:U471_28380
ko:K07406	bamc:U471_28390
ko:K01869	bamc:U471_28420
ko:K11632	bamc:U471_28490
ko:K11631	bamc:U471_28500
ko:K16789	bamc:U471_29070
ko:K07192	bamc:U471_29080
ko:K11440	bamc:U471_29120
ko:K03499	bamc:U471_29170
ko:K05916	bamc:U471_29190
ko:K06153	bamc:U471_29220
ko:K05520	bamc:U471_29250
ko:K03406	bamc:U471_29260
ko:K03406	bamc:U471_29270
ko:K03406	bamc:U471_29280
ko:K03406	bamc:U471_29290
ko:K00686	bamc:U471_29300
ko:K00459	bamc:U471_29320
ko:K06973	bamc:U471_29360
ko:K10716	bamc:U471_29390
ko:K00259	bamc:U471_30040
ko:K04780	bamc:U471_30070
ko:K01252	bamc:U471_30080
ko:K02363	bamc:U471_30090
ko:K02361	bamc:U471_30100
ko:K00216	bamc:U471_30110
ko:K07017	bamc:U471_30120
ko:K03523	bamc:U471_30150
ko:K07084	bamc:U471_30160
ko:K01255	bamc:U471_30170
ko:K09775	bamc:U471_30180
ko:K03885	bamc:U471_30220
ko:K00364	bamc:U471_30260
ko:K01990	bamc:U471_30290
ko:K01992	bamc:U471_30300
ko:K03790	bamc:U471_30330
ko:K14189	bamc:U471_30340
ko:K13628	bamc:U471_30350
ko:K01778	bamc:U471_30360
ko:K03317	bamc:U471_30370
ko:K03885	bamc:U471_30390
ko:K00872	bamc:U471_30430
ko:K01733	bamc:U471_30440
ko:K00003	bamc:U471_30450
ko:K03644	bamc:U471_30520
ko:K01574	bamc:U471_31140
ko:K00077	bamc:U471_31150
ko:K02013	bamc:U471_31170
ko:K04047	bamc:U471_31210
ko:K07770	bamc:U471_31240
ko:K07650	bamc:U471_31250
ko:K01679	bamc:U471_31280
ko:K06290	bamc:U471_31320
ko:K11618	bamc:U471_31330
ko:K11617	bamc:U471_31340
ko:K11622	bamc:U471_31350
ko:K11621	bamc:U471_31360
ko:K11619	bamc:U471_31380
ko:K02013	bamc:U471_31410
ko:K02015	bamc:U471_31420
ko:K03457	bamc:U471_35030
ko:K03320	bamc:U471_35070
ko:K04751	bamc:U471_35080
ko:K03588	bamc:U471_35090
ko:K06386	bamc:U471_35120
ko:K03823	bamc:U471_35130
ko:K06131	bamc:U471_35170
ko:K01428	bamc:U471_35200
ko:K01429	bamc:U471_35210
ko:K01430	bamc:U471_35220
ko:K03639	bamc:U471_35260
ko:K02379	bamc:U471_35270
ko:K07114	bamc:U471_35290
ko:K07114	bamc:U471_35320
ko:K06381	bamc:U471_35330
ko:K00790	bamc:U471_35350
ko:K02114	bamc:U471_35390
ko:K02112	bamc:U471_35400
ko:K02115	bamc:U471_35410
ko:K02111	bamc:U471_35420
ko:K02113	bamc:U471_35430
ko:K02109	bamc:U471_35440
ko:K02110	bamc:U471_35450
ko:K02108	bamc:U471_35460
ko:K07552	bamc:U471_36400
ko:K02205	bamc:U471_36410
ko:K00294	bamc:U471_36430
ko:K00260	bamc:U471_36450
ko:K02016	bamc:U471_31430
ko:K01569	bamc:U471_31530
ko:K02013	bamc:U471_31550
ko:K02015	bamc:U471_31560
ko:K02015	bamc:U471_31570
ko:K02016	bamc:U471_31580
ko:K03758	bamc:U471_31590
ko:K06427	bamc:U471_31600
ko:K07038	bamc:U471_31610
ko:K07219	bamc:U471_31640
ko:K02020	bamc:U471_31650
ko:K02018	bamc:U471_31660
ko:K00965	bamc:U471_36900
ko:K00849	bamc:U471_36910
ko:K16301	bamc:U471_36980
ko:K00788	bamc:U471_37000
ko:K00878	bamc:U471_37010
ko:K06969	bamc:U471_37080
ko:K01759	bamc:U471_37090
ko:K02761	bamc:U471_37100
ko:K02548	bamc:U471_37160
ko:K03367	bamc:U471_37180
ko:K03739	bamc:U471_37190
ko:K14188	bamc:U471_37200
ko:K03740	bamc:U471_37210
ko:K00826	bamc:U471_37220
ko:K01222	bamc:U471_37230
ko:K02759	bamc:U471_37240
ko:K02761	bamc:U471_37250
ko:K02760	bamc:U471_37260
ko:K03491	bamc:U471_37270
ko:K03652	bamc:U471_37290
ko:K02015	bamc:U471_37300
ko:K02015	bamc:U471_37320
ko:K02016	bamc:U471_37330
ko:K03893	bamc:U471_37350
ko:K02760	bamc:U471_37360
ko:K02759	bamc:U471_37370
ko:K02761	bamc:U471_37380
ko:K01223	bamc:U471_37390
ko:K00847	bamc:U471_37400
ko:K01809	bamc:U471_37410
ko:K01218	bamc:U471_37420
ko:K03781	bamc:U471_37430
ko:K01442	bamc:U471_37440
ko:K03704	bamc:U471_05060
ko:K07736	bamc:U471_05070
ko:K07090	bamc:U471_05140
ko:K01779	bamc:U471_05150
ko:K07032	bamc:U471_05260
ko:K16264	bamc:U471_05270
ko:K01714	bamc:U471_05330
ko:K00941	bamc:U471_05400
ko:K13979	bamc:U471_05450
ko:K00375	bamc:U471_05490
ko:K07734	bamc:U471_05500
ko:K00375	bamc:U471_05600
ko:K06439	bamc:U471_05610
ko:K00121	bamc:U471_05630
ko:K04757	bamc:U471_04810
ko:K07284	bamc:U471_09280
ko:K14224	bamc:U471_t00070
ko:K14224	bamc:U471_t00290
ko:K14224	bamc:U471_t00220
ko:K14224	bamc:U471_t00850
ko:K14224	bamc:U471_t00400
ko:K14224	bamc:U471_t00600
ko:K14237	bamc:U471_t00550
ko:K04564	bamc:U471_19670
ko:K03308	bamc:U471_19680
ko:K03453	bamc:U471_19690
ko:K00658	bamc:U471_19710
ko:K00164	bamc:U471_19720
ko:K03327	bamc:U471_19810
ko:K05786	bamc:U471_19860
ko:K06999	bamc:U471_19930
ko:K15975	bamc:U471_19940
ko:K03307	bamc:U471_19960
ko:K01201	bamc:U471_19970
ko:K01223	bamc:U471_19980
ko:K03489	bamc:U471_19990
ko:K03797	bamc:U471_20000
ko:K03784	bamc:U471_20040
ko:K01438	bamc:U471_20170
ko:K01569	bamc:U471_21320
ko:K03888	bamc:U471_21350
ko:K03887	bamc:U471_21360
ko:K03886	bamc:U471_21370
ko:K00800	bamc:U471_21420
ko:K04517	bamc:U471_21430
ko:K00817	bamc:U471_21440
ko:K01695	bamc:U471_21450
ko:K01696	bamc:U471_21460
ko:K01817	bamc:U471_21470
ko:K01609	bamc:U471_21480
ko:K00766	bamc:U471_21490
ko:K01657	bamc:U471_21500
ko:K06208	bamc:U471_21510
ko:K01735	bamc:U471_21520
ko:K01736	bamc:U471_21530
ko:K00575	bamc:U471_21540
ko:K00940	bamc:U471_21550
ko:K00805	bamc:U471_21560
ko:K03183	bamc:U471_21570
ko:K00805	bamc:U471_21580
ko:K06285	bamc:U471_21590
ko:K01495	bamc:U471_21600
ko:K03530	bamc:U471_21610
ko:K06398	bamc:U471_21630
ko:K00057	bamc:U471_21670
ko:K03977	bamc:U471_21680
ko:K01823	bamc:U471_21710
ko:K02945	bamc:U471_21720
ko:K00945	bamc:U471_21730
ko:K06313	bamc:U471_21770
ko:K01449	bamc:U471_21780
ko:K00384	bamc:U471_21800
ko:K00260	bamc:U471_21810
ko:K16511	bamc:U471_21820
ko:K00027	bamc:U471_22400
ko:K03315	bamc:U471_22410
ko:K01744	bamc:U471_22420
ko:K01424	bamc:U471_22430
ko:K01515	bamc:U471_22460
ko:K06889	bamc:U471_22500
ko:K02346	bamc:U471_22560
ko:K00867	bamc:U471_22620
ko:K01753	bamc:U471_22630
ko:K07124	bamc:U471_22640
ko:K00286	bamc:U471_22660
ko:K15313	bamc:U471_22670
ko:K15311	bamc:U471_22680
ko:K00059	bamc:U471_22770
ko:K15329	bamc:U471_22810
ko:K02601	bamc:U471_22820
ko:K02913	bamc:U471_22890
ko:K00784	bamc:U471_22900
ko:K00036	bamc:U471_22910
ko:K00033	bamc:U471_22920
ko:K02346	bamc:U471_22930
ko:K03217	bamc:U471_22950
ko:K03457	bamc:U471_37460
ko:K16012	bamc:U471_37480
ko:K16013	bamc:U471_37490
ko:K00426	bamc:U471_37500
ko:K00425	bamc:U471_37510
ko:K10112	bamc:U471_37560
ko:K01784	bamc:U471_37620
ko:K01258	bamc:U471_37630
ko:K00563	bamc:U471_37700
ko:K16323	bamc:U471_37720
ko:K03781	bamc:U471_37760
ko:K03300	bamc:U471_37770
ko:K03488	bamc:U471_37790
ko:K06902	bamc:U471_37800
ko:K01223	bamc:U471_37940
ko:K02755	bamc:U471_37950
ko:K02756	bamc:U471_37950
ko:K02757	bamc:U471_37950
ko:K03574	bamc:U471_37970
ko:K06113	bamc:U471_37980
ko:K09683	bamc:U471_37990
ko:K01745	bamc:U471_38000
ko:K01712	bamc:U471_38010
ko:K01468	bamc:U471_38020
ko:K14233	bamc:U471_t00280
ko:K14233	bamc:U471_t00610
ko:K06393	bamc:U471_23520
ko:K06392	bamc:U471_23530
ko:K06391	bamc:U471_23540
ko:K06390	bamc:U471_23550
ko:K02356	bamc:U471_23570
ko:K01262	bamc:U471_23580
ko:K07001	bamc:U471_23620
ko:K03800	bamc:U471_23640
ko:K00283	bamc:U471_23660
ko:K00282	bamc:U471_23670
ko:K00605	bamc:U471_23680
ko:K13280	bamc:U471_23740
ko:K02249	bamc:U471_23800
ko:K02246	bamc:U471_23830
ko:K02245	bamc:U471_23840
ko:K02244	bamc:U471_23850
ko:K02243	bamc:U471_23860
ko:K16509	bamc:U471_23900
ko:K01308	bamc:U471_23960
ko:K00845	bamc:U471_23970
ko:K03315	bamc:U471_24000
ko:K01934	bamc:U471_24030
ko:K02036	bamc:U471_24070
ko:K02036	bamc:U471_24080
ko:K06385	bamc:U471_24650
ko:K06012	bamc:U471_24660
ko:K02968	bamc:U471_24670
ko:K02340	bamc:U471_24680
ko:K02238	bamc:U471_24700
ko:K02237	bamc:U471_24720
ko:K02239	bamc:U471_24730
ko:K09710	bamc:U471_24750
ko:K00969	bamc:U471_24770
ko:K07574	bamc:U471_24780
ko:K00014	bamc:U471_24790
ko:K06948	bamc:U471_24800
ko:K07015	bamc:U471_24810
ko:K06371	bamc:U471_24820
ko:K03091	bamc:U471_24900
ko:K13256	bamc:U471_24930
ko:K07148	bamc:U471_24970
ko:K01809	bamc:U471_25080
ko:K02768	bamc:U471_25090
ko:K02769	bamc:U471_25090
ko:K02770	bamc:U471_25090
ko:K03976	bamc:U471_25120
ko:K08224	bamc:U471_25140
ko:K14338	bamc:U471_25150
ko:K03210	bamc:U471_25760
ko:K00773	bamc:U471_25770
ko:K07568	bamc:U471_25780
ko:K03551	bamc:U471_25800
ko:K03550	bamc:U471_25810
ko:K06318	bamc:U471_25820
ko:K06370	bamc:U471_25850
ko:K03517	bamc:U471_25860
ko:K00767	bamc:U471_25870
ko:K00278	bamc:U471_25880
ko:K04487	bamc:U471_25890
ko:K07105	bamc:U471_25900
ko:K04518	bamc:U471_25910
ko:K06209	bamc:U471_25920
ko:K03979	bamc:U471_25930
ko:K06375	bamc:U471_25940
ko:K07584	bamc:U471_25950
ko:K02888	bamc:U471_25960
ko:K06402	bamc:U471_25970
ko:K06401	bamc:U471_25980
ko:K03609	bamc:U471_25990
ko:K03610	bamc:U471_26000
ko:K03571	bamc:U471_26010
ko:K03570	bamc:U471_26020
ko:K03569	bamc:U471_26030
ko:K03630	bamc:U471_26040
ko:K06287	bamc:U471_26050
ko:K02236	bamc:U471_26070
ko:K11754	bamc:U471_26080
ko:K01873	bamc:U471_26090
ko:K06417	bamc:U471_26130
ko:K01845	bamc:U471_26140
ko:K01698	bamc:U471_26150
ko:K01719	bamc:U471_26160
ko:K01749	bamc:U471_26170
ko:K02497	bamc:U471_26180
ko:K02492	bamc:U471_26190
ko:K03978	bamc:U471_26210
ko:K01338	bamc:U471_26220
ko:K04076	bamc:U471_26230
ko:K03544	bamc:U471_26240
ko:K03545	bamc:U471_26250
ko:K01704	bamc:U471_26280
ko:K00096	bamc:U471_26820
ko:K00853	bamc:U471_26850
ko:K01804	bamc:U471_26860
ko:K06113	bamc:U471_26870
ko:K02887	bamc:U471_26920
ko:K02520	bamc:U471_26930
ko:K05339	bamc:U471_26940
ko:K05338	bamc:U471_26950
ko:K07704	bamc:U471_26980
ko:K07025	bamc:U471_26990
ko:K01868	bamc:U471_27000
ko:K11144	bamc:U471_27030
ko:K03346	bamc:U471_27040
ko:K07738	bamc:U471_27050
ko:K01611	bamc:U471_27070
ko:K00134	bamc:U471_27080
ko:K00859	bamc:U471_27130
ko:K10563	bamc:U471_27150
ko:K07636	bamc:U471_27180
ko:K07658	bamc:U471_27190
ko:K00024	bamc:U471_27200
ko:K00031	bamc:U471_27210
ko:K01647	bamc:U471_27220
ko:K07113	bamc:U471_27260
ko:K00873	bamc:U471_27270
ko:K00850	bamc:U471_27280
ko:K01962	bamc:U471_27290
ko:K01963	bamc:U471_27300
ko:K00027	bamc:U471_27320
ko:K02337	bamc:U471_27330
ko:K01479	bamc:U471_38030
ko:K00059	bamc:U471_27410
ko:K01755	bamc:U471_27430
ko:K01940	bamc:U471_27440
ko:K03638	bamc:U471_27450
ko:K00925	bamc:U471_27460
ko:K11065	bamc:U471_27480
ko:K04773	bamc:U471_27520
ko:K00858	bamc:U471_27530
ko:K01895	bamc:U471_27550
ko:K03151	bamc:U471_27570
ko:K04487	bamc:U471_27580
ko:K03311	bamc:U471_27590
ko:K06286	bamc:U471_27600
ko:K04486	bamc:U471_27610
ko:K02986	bamc:U471_27670
ko:K03088	bamc:U471_27740
ko:K05916	bamc:U471_27800
ko:K05520	bamc:U471_27820
ko:K01866	bamc:U471_27900
ko:K01895	bamc:U471_27920
ko:K04766	bamc:U471_27930
ko:K11629	bamc:U471_28510
ko:K11630	bamc:U471_28520
ko:K16918	bamc:U471_28530
ko:K16920	bamc:U471_28540
ko:K16919	bamc:U471_28550
ko:K16919	bamc:U471_28560
ko:K16919	bamc:U471_28570
ko:K07139	bamc:U471_28690
ko:K01126	bamc:U471_28720
ko:K16188	bamc:U471_28730
ko:K01048	bamc:U471_28740
ko:K01953	bamc:U471_28770
ko:K00789	bamc:U471_28780
ko:K01610	bamc:U471_28790
ko:K02051	bamc:U471_28820
ko:K02049	bamc:U471_28830
ko:K02050	bamc:U471_28840
ko:K04047	bamc:U471_28870
ko:K07173	bamc:U471_28900
ko:K08998	bamc:U471_28910
ko:K01673	bamc:U471_28920
ko:K02909	bamc:U471_28930
ko:K00425	bamc:U471_28940
ko:K00426	bamc:U471_28950
ko:K02549	bamc:U471_28980
ko:K01911	bamc:U471_28990
ko:K01661	bamc:U471_29000
ko:K08680	bamc:U471_29010
ko:K02551	bamc:U471_29020
ko:K02552	bamc:U471_29030
ko:K01810	bamc:U471_29420
ko:K09779	bamc:U471_29480
ko:K07570	bamc:U471_29490
ko:K10907	bamc:U471_29500
ko:K14155	bamc:U471_29540
ko:K07697	bamc:U471_29550
ko:K06347	bamc:U471_29560
ko:K06348	bamc:U471_29570
ko:K11614	bamc:U471_29620
ko:K07335	bamc:U471_29650
ko:K02056	bamc:U471_29670
ko:K02057	bamc:U471_29680
ko:K02057	bamc:U471_29690
ko:K05565	bamc:U471_29710
ko:K05566	bamc:U471_29720
ko:K05567	bamc:U471_29730
ko:K05568	bamc:U471_29740
ko:K05569	bamc:U471_29750
ko:K05570	bamc:U471_29760
ko:K05571	bamc:U471_29770
ko:K07691	bamc:U471_29790
ko:K07680	bamc:U471_29800
ko:K02251	bamc:U471_29820
ko:K00763	bamc:U471_29870
ko:K06950	bamc:U471_29940
ko:K16216	bamc:U471_29950
ko:K03466	bamc:U471_29980
ko:K07090	bamc:U471_30560
ko:K01466	bamc:U471_30590
ko:K09684	bamc:U471_30600
ko:K08153	bamc:U471_30640
ko:K02083	bamc:U471_30660
ko:K10112	bamc:U471_30680
ko:K10711	bamc:U471_30690
ko:K10710	bamc:U471_30700
ko:K10119	bamc:U471_30710
ko:K10118	bamc:U471_30720
ko:K10117	bamc:U471_30730
ko:K10708	bamc:U471_30740
ko:K00285	bamc:U471_30790
ko:K09014	bamc:U471_30830
ko:K04488	bamc:U471_30840
ko:K11717	bamc:U471_30850
ko:K09015	bamc:U471_30860
ko:K09013	bamc:U471_30870
ko:K02073	bamc:U471_30900
ko:K02072	bamc:U471_30910
ko:K02071	bamc:U471_30930
ko:K07476	bamc:U471_30960
ko:K02437	bamc:U471_30980
ko:K07516	bamc:U471_31020
ko:K00318	bamc:U471_31040
ko:K00059	bamc:U471_31100
ko:K01992	bamc:U471_31700
ko:K03316	bamc:U471_31740
ko:K00381	bamc:U471_31750
ko:K00380	bamc:U471_31760
ko:K03657	bamc:U471_31770
ko:K03611	bamc:U471_31800
ko:K01534	bamc:U471_31820
ko:K17686	bamc:U471_31830
ko:K07213	bamc:U471_31840
ko:K01118	bamc:U471_31870
ko:K01607	bamc:U471_31900
ko:K16959	bamc:U471_31960
ko:K16958	bamc:U471_31970
ko:K16957	bamc:U471_31980
ko:K00059	bamc:U471_32020
ko:K03623	bamc:U471_32030
ko:K03664	bamc:U471_32040
ko:K12573	bamc:U471_32050
ko:K03928	bamc:U471_32060
ko:K03075	bamc:U471_32070
ko:K05846	bamc:U471_32170
ko:K05845	bamc:U471_32180
ko:K05846	bamc:U471_32190
ko:K05847	bamc:U471_32200
ko:K05846	bamc:U471_32220
ko:K05845	bamc:U471_32230
ko:K05846	bamc:U471_32240
ko:K05847	bamc:U471_32250
ko:K05595	bamc:U471_32270
ko:K14228	bamc:U471_t00320
ko:K14228	bamc:U471_t00110
ko:K01784	bamc:U471_32390
ko:K13015	bamc:U471_32410
ko:K01689	bamc:U471_32430
ko:K15633	bamc:U471_32440
ko:K01803	bamc:U471_32450
ko:K00927	bamc:U471_32460
ko:K00134	bamc:U471_32480
ko:K05311	bamc:U471_32490
ko:K02103	bamc:U471_32520
ko:K00851	bamc:U471_32630
ko:K03299	bamc:U471_32640
ko:K00782	bamc:U471_32650
ko:K05825	bamc:U471_32680
ko:K03303	bamc:U471_32700
ko:K03092	bamc:U471_32710
ko:K03929	bamc:U471_32890
ko:K13727	bamc:U471_32930
ko:K01193	bamc:U471_33030
ko:K02532	bamc:U471_33040
ko:K03484	bamc:U471_33050
ko:K01358	bamc:U471_33070
ko:K06966	bamc:U471_33120
ko:K03321	bamc:U471_33140
ko:K01673	bamc:U471_33150
ko:K00090	bamc:U471_33170
ko:K00675	bamc:U471_33190
ko:K11184	bamc:U471_33200
ko:K09762	bamc:U471_33210
ko:K06958	bamc:U471_33230
ko:K03574	bamc:U471_33240
ko:K00384	bamc:U471_33260
ko:K11755	bamc:U471_33330
ko:K02500	bamc:U471_33340
