ko:K00090	bpr:GBP346_A2224
ko:K00332	bpr:GBP346_A1316
ko:K00333	bpr:GBP346_A1317
ko:K00763	bpr:GBP346_A2994
ko:K05805	bpr:GBP346_A2999
ko:K03327	bpr:GBP346_A3005
ko:K03592	bpr:GBP346_A3024
ko:K09889	bpr:GBP346_A3026
ko:K03831	bpr:GBP346_A3027
ko:K06949	bpr:GBP346_A3030
ko:K02227	bpr:GBP346_A3032
ko:K02884	bpr:GBP346_A3036
ko:K00554	bpr:GBP346_A3037
ko:K02860	bpr:GBP346_A3038
ko:K02959	bpr:GBP346_A3039
ko:K00285	bpr:GBP346_A3044
ko:K01031	bpr:GBP346_A0982
ko:K01032	bpr:GBP346_A0983
ko:K08195	bpr:GBP346_A0993
ko:K01996	bpr:GBP346_A0996
ko:K00381	bpr:GBP346_A1000
ko:K00390	bpr:GBP346_A1002
ko:K00957	bpr:GBP346_A1003
ko:K11720	bpr:GBP346_A1007
ko:K07091	bpr:GBP346_A1008
ko:K01255	bpr:GBP346_A1009
ko:K02339	bpr:GBP346_A1010
ko:K01892	bpr:GBP346_A2297
ko:K06941	bpr:GBP346_A2300
ko:K00940	bpr:GBP346_A2301
ko:K03215	bpr:GBP346_A2303
ko:K07501	bpr:GBP346_A2305
ko:K06194	bpr:GBP346_A2307
ko:K00573	bpr:GBP346_A2308
ko:K03787	bpr:GBP346_A2309
ko:K06187	bpr:GBP346_A2312
ko:K09747	bpr:GBP346_A2313
ko:K02343	bpr:GBP346_A2314
ko:K03671	bpr:GBP346_A2317
ko:K03628	bpr:GBP346_A2319
ko:K09933	bpr:GBP346_A2322
ko:K02909	bpr:GBP346_A2323
ko:K03327	bpr:GBP346_A2325
ko:K03695	bpr:GBP346_A2331
ko:K06886	bpr:GBP346_A2334
ko:K03636	bpr:GBP346_A2336
ko:K03750	bpr:GBP346_A2337
ko:K01733	bpr:GBP346_A2339
ko:K00003	bpr:GBP346_A2340
ko:K00604	bpr:GBP346_A2347
ko:K03564	bpr:GBP346_A2350
ko:K02221	bpr:GBP346_A3219
ko:K06199	bpr:GBP346_A3221
ko:K03439	bpr:GBP346_A3236
ko:K06153	bpr:GBP346_A3237
ko:K06940	bpr:GBP346_A3239
ko:K00573	bpr:GBP346_A3243
ko:K00822	bpr:GBP346_A3245
ko:K00075	bpr:GBP346_A0843
ko:K02968	bpr:GBP346_A0846
ko:K03980	bpr:GBP346_A0847
ko:K00979	bpr:GBP346_A0851
ko:K09791	bpr:GBP346_A0852
ko:K00912	bpr:GBP346_A0853
ko:K03601	bpr:GBP346_A0855
ko:K04564	bpr:GBP346_A0856
ko:K07240	bpr:GBP346_A0859
ko:K00077	bpr:GBP346_A0862
ko:K01647	bpr:GBP346_A0868
ko:K03710	bpr:GBP346_A0873
ko:K02355	bpr:GBP346_A0880
ko:K09005	bpr:GBP346_A0882
ko:K06181	bpr:GBP346_A0883
ko:K00031	bpr:GBP346_A0885
ko:K03704	bpr:GBP346_A0887
ko:K06891	bpr:GBP346_A0888
ko:K03694	bpr:GBP346_A0889
ko:K03734	bpr:GBP346_A2183
ko:K00376	bpr:GBP346_A2185
ko:K07218	bpr:GBP346_A2186
ko:K09780	bpr:GBP346_A2204
ko:K03284	bpr:GBP346_A2205
ko:K00874	bpr:GBP346_A2226
ko:K03281	bpr:GBP346_A2232
ko:K03611	bpr:GBP346_A3112
ko:K07402	bpr:GBP346_A3114
ko:K06901	bpr:GBP346_A3116
ko:K01256	bpr:GBP346_A3123
ko:K00549	bpr:GBP346_A3125
ko:K03576	bpr:GBP346_A3127
ko:K03841	bpr:GBP346_A3128
ko:K03704	bpr:GBP346_A3145
ko:K04760	bpr:GBP346_A3148
ko:K03060	bpr:GBP346_A3152
ko:K00942	bpr:GBP346_A3153
ko:K00989	bpr:GBP346_A3155
ko:K00372	bpr:GBP346_A0483
ko:K00363	bpr:GBP346_A0484
ko:K00362	bpr:GBP346_A0485
ko:K03110	bpr:GBP346_A0488
ko:K00954	bpr:GBP346_A0491
ko:K00817	bpr:GBP346_A0493
ko:K01056	bpr:GBP346_A0494
ko:K02897	bpr:GBP346_A0495
ko:K00948	bpr:GBP346_A0496
ko:K00919	bpr:GBP346_A0498
ko:K02494	bpr:GBP346_A0499
ko:K03575	bpr:GBP346_A0502
ko:K07157	bpr:GBP346_A0503
ko:K06958	bpr:GBP346_A0504
ko:K05808	bpr:GBP346_A0507
ko:K03092	bpr:GBP346_A0508
ko:K06861	bpr:GBP346_A0509
ko:K09774	bpr:GBP346_A0510
ko:K11719	bpr:GBP346_A0511
ko:K03270	bpr:GBP346_A0512
ko:K06041	bpr:GBP346_A0513
ko:K00759	bpr:GBP346_A0515
ko:K01433	bpr:GBP346_A0518
ko:K03701	bpr:GBP346_A0520
ko:K03666	bpr:GBP346_A1819
ko:K01114	bpr:GBP346_A1832
ko:K03218	bpr:GBP346_A1839
ko:K11066	bpr:GBP346_A1841
ko:K01807	bpr:GBP346_A1842
ko:K00684	bpr:GBP346_A1850
ko:K05539	bpr:GBP346_A1866
ko:K07089	bpr:GBP346_A1874
ko:K09694	bpr:GBP346_A1876
ko:K09808	bpr:GBP346_A2764
ko:K07462	bpr:GBP346_A2768
ko:K02836	bpr:GBP346_A2769
ko:K04567	bpr:GBP346_A2770
ko:K04755	bpr:GBP346_A2774
ko:K04044	bpr:GBP346_A2775
ko:K04082	bpr:GBP346_A2776
ko:K04487	bpr:GBP346_A2779
ko:K07262	bpr:GBP346_A2786
ko:K00382	bpr:GBP346_A2790
ko:K00627	bpr:GBP346_A2791
ko:K00163	bpr:GBP346_A2792
ko:K01414	bpr:GBP346_A2798
ko:K02346	bpr:GBP346_A2799
ko:K02575	bpr:GBP346_A2802
ko:K02575	bpr:GBP346_A2803
ko:K00370	bpr:GBP346_A2805
ko:K00371	bpr:GBP346_A2806
ko:K00373	bpr:GBP346_A2807
ko:K07673	bpr:GBP346_A2809
ko:K01142	bpr:GBP346_A2811
ko:K07712	bpr:GBP346_A2812
ko:K07708	bpr:GBP346_A2813
ko:K01915	bpr:GBP346_A2814
ko:K04042	bpr:GBP346_A0244
ko:K01633	bpr:GBP346_A0247
ko:K00847	bpr:GBP346_A0253
ko:K01640	bpr:GBP346_A0272
ko:K06991	bpr:GBP346_A0274
ko:K07002	bpr:GBP346_A0276
ko:K01114	bpr:GBP346_A0278
ko:K01714	bpr:GBP346_A0289
ko:K02048	bpr:GBP346_A0297
ko:K04090	bpr:GBP346_A0303
ko:K08301	bpr:GBP346_A1250
ko:K06287	bpr:GBP346_A1251
ko:K00783	bpr:GBP346_A1252
ko:K09710	bpr:GBP346_A1253
ko:K00969	bpr:GBP346_A1254
ko:K00228	bpr:GBP346_A1255
ko:K01945	bpr:GBP346_A1256
ko:K00761	bpr:GBP346_A1259
ko:K01734	bpr:GBP346_A1261
ko:K01546	bpr:GBP346_A1265
ko:K01547	bpr:GBP346_A1266
ko:K01548	bpr:GBP346_A1267
ko:K07646	bpr:GBP346_A1269
ko:K07667	bpr:GBP346_A1270
ko:K09712	bpr:GBP346_A1272
ko:K06886	bpr:GBP346_A1277
ko:K06966	bpr:GBP346_A1287
ko:K00901	bpr:GBP346_A1289
ko:K03088	bpr:GBP346_A1295
ko:K01652	bpr:GBP346_A1297
ko:K01653	bpr:GBP346_A1298
ko:K00053	bpr:GBP346_A1299
ko:K01613	bpr:GBP346_A1300
ko:K01649	bpr:GBP346_A1302
ko:K01673	bpr:GBP346_A1304
ko:K01999	bpr:GBP346_A1307
ko:K12251	bpr:GBP346_A0045
ko:K04096	bpr:GBP346_A0059
ko:K01462	bpr:GBP346_A0061
ko:K00604	bpr:GBP346_A0062
ko:K03799	bpr:GBP346_A0065
ko:K01687	bpr:GBP346_A1014
ko:K09888	bpr:GBP346_A1022
ko:K02015	bpr:GBP346_A1027
ko:K02013	bpr:GBP346_A1028
ko:K00768	bpr:GBP346_A1029
ko:K02233	bpr:GBP346_A1030
ko:K02016	bpr:GBP346_A1034
ko:K02225	bpr:GBP346_A1035
ko:K02227	bpr:GBP346_A1036
ko:K02231	bpr:GBP346_A1037
ko:K02232	bpr:GBP346_A1038
ko:K01579	bpr:GBP346_A1041
ko:K01918	bpr:GBP346_A1042
ko:K05896	bpr:GBP346_A1044
ko:K09800	bpr:GBP346_A1047
ko:K01874	bpr:GBP346_A1051
ko:K01494	bpr:GBP346_A1055
ko:K01584	bpr:GBP346_A1056
ko:K01755	bpr:GBP346_A1059
ko:K07347	bpr:GBP346_A1060
ko:K01595	bpr:GBP346_A1067
ko:K01749	bpr:GBP346_A1069
ko:K07734	bpr:GBP346_A1452
ko:K00375	bpr:GBP346_A1453
ko:K00820	bpr:GBP346_A1456
ko:K07175	bpr:GBP346_A2352
ko:K03306	bpr:GBP346_A2356
ko:K07220	bpr:GBP346_A2357
ko:K02939	bpr:GBP346_A2360
ko:K02963	bpr:GBP346_A2361
ko:K02686	bpr:GBP346_A2362
ko:K02990	bpr:GBP346_A2363
ko:K03088	bpr:GBP346_A2365
ko:K02275	bpr:GBP346_A2368
ko:K01608	bpr:GBP346_A2370
ko:K03424	bpr:GBP346_A2387
ko:K03823	bpr:GBP346_A2388
ko:K02341	bpr:GBP346_A2389
ko:K00943	bpr:GBP346_A2390
ko:K07082	bpr:GBP346_A2391
ko:K06980	bpr:GBP346_A2392
ko:K06190	bpr:GBP346_A2408
ko:K05527	bpr:GBP346_A2409
ko:K00067	bpr:GBP346_A3281
ko:K01790	bpr:GBP346_A3282
ko:K00973	bpr:GBP346_A3283
ko:K00655	bpr:GBP346_A3287
ko:K01465	bpr:GBP346_A3288
ko:K00609	bpr:GBP346_A3289
ko:K02825	bpr:GBP346_A3290
ko:K07447	bpr:GBP346_A3291
ko:K07735	bpr:GBP346_A3292
ko:K04077	bpr:GBP346_A3296
ko:K04078	bpr:GBP346_A3297
ko:K07275	bpr:GBP346_A3310
ko:K01126	bpr:GBP346_A3319
ko:K07090	bpr:GBP346_A3322
ko:K02015	bpr:GBP346_A3332
ko:K03820	bpr:GBP346_A0631
ko:K06189	bpr:GBP346_A0632
ko:K07042	bpr:GBP346_A0634
ko:K06168	bpr:GBP346_A0638
ko:K01953	bpr:GBP346_A0649
ko:K00800	bpr:GBP346_A0650
ko:K00800	bpr:GBP346_A0651
ko:K02440	bpr:GBP346_A0654
ko:K00864	bpr:GBP346_A0655
ko:K00111	bpr:GBP346_A0656
ko:K07347	bpr:GBP346_A1937
ko:K07345	bpr:GBP346_A1939
ko:K10441	bpr:GBP346_A1948
ko:K03088	bpr:GBP346_A1956
ko:K02013	bpr:GBP346_A1959
ko:K02015	bpr:GBP346_A1960
ko:K02016	bpr:GBP346_A1962
ko:K06160	bpr:GBP346_A1964
ko:K02189	bpr:GBP346_A1973
ko:K07241	bpr:GBP346_A1976
ko:K02234	bpr:GBP346_A1977
ko:K02230	bpr:GBP346_A1978
ko:K06999	bpr:GBP346_A1983
ko:K06042	bpr:GBP346_A1990
ko:K02229	bpr:GBP346_A1991
ko:K02188	bpr:GBP346_A1995
ko:K05895	bpr:GBP346_A1996
ko:K07234	bpr:GBP346_A2881
ko:K09014	bpr:GBP346_A2882
ko:K09013	bpr:GBP346_A2883
ko:K09015	bpr:GBP346_A2884
ko:K11717	bpr:GBP346_A2885
ko:K02297	bpr:GBP346_A2894
ko:K02298	bpr:GBP346_A2895
ko:K02299	bpr:GBP346_A2896
ko:K02300	bpr:GBP346_A2897
ko:K10255	bpr:GBP346_A2898
ko:K05526	bpr:GBP346_A2902
ko:K01484	bpr:GBP346_A2903
ko:K06447	bpr:GBP346_A2904
ko:K00673	bpr:GBP346_A2905
ko:K00673	bpr:GBP346_A2906
ko:K10017	bpr:GBP346_A2910
ko:K10015	bpr:GBP346_A2911
ko:K10016	bpr:GBP346_A2912
ko:K00720	bpr:GBP346_A2918
ko:K00868	bpr:GBP346_A2922
ko:K01114	bpr:GBP346_A2924
ko:K01999	bpr:GBP346_A2926
ko:K08983	bpr:GBP346_A2928
ko:K03101	bpr:GBP346_A0895
ko:K01870	bpr:GBP346_A0896
ko:K11753	bpr:GBP346_A0897
ko:K11175	bpr:GBP346_A0898
ko:K03500	bpr:GBP346_A0899
ko:K03517	bpr:GBP346_A0903
ko:K00767	bpr:GBP346_A0904
ko:K02956	bpr:GBP346_A1308
ko:K03322	bpr:GBP346_A1647
ko:K07347	bpr:GBP346_A1663
ko:K03543	bpr:GBP346_A1670
ko:K00428	bpr:GBP346_A1674
ko:K01207	bpr:GBP346_A1677
ko:K01886	bpr:GBP346_A1681
ko:K04062	bpr:GBP346_A1682
ko:K01872	bpr:GBP346_A1684
ko:K07107	bpr:GBP346_A1693
ko:K01997	bpr:GBP346_A1694
ko:K01995	bpr:GBP346_A1695
ko:K01998	bpr:GBP346_A1695
ko:K01996	bpr:GBP346_A1696
ko:K03337	bpr:GBP346_A1697
ko:K03335	bpr:GBP346_A1698
ko:K03336	bpr:GBP346_A1699
ko:K09977	bpr:GBP346_A2587
ko:K03789	bpr:GBP346_A2589
ko:K01637	bpr:GBP346_A2594
ko:K01638	bpr:GBP346_A2599
ko:K02553	bpr:GBP346_A2601
ko:K07001	bpr:GBP346_A2610
ko:K00208	bpr:GBP346_A2617
ko:K00528	bpr:GBP346_A2622
ko:K03639	bpr:GBP346_A2623
ko:K01265	bpr:GBP346_A2626
ko:K01755	bpr:GBP346_A2629
ko:K00831	bpr:GBP346_A2634
ko:K00615	bpr:GBP346_A2637
ko:K00615	bpr:GBP346_A2638
ko:K03119	bpr:GBP346_A2642
ko:K04761	bpr:GBP346_A3500
ko:K03655	bpr:GBP346_A3501
ko:K07568	bpr:GBP346_A3502
ko:K00773	bpr:GBP346_A3503
ko:K03210	bpr:GBP346_A3505
ko:K03072	bpr:GBP346_A3506
ko:K03074	bpr:GBP346_A3507
ko:K03808	bpr:GBP346_A3513
ko:K03808	bpr:GBP346_A3514
ko:K06192	bpr:GBP346_A3515
ko:K09857	bpr:GBP346_A3516
ko:K07444	bpr:GBP346_A3520
ko:K06996	bpr:GBP346_A3523
ko:K00325	bpr:GBP346_A3526
ko:K00324	bpr:GBP346_A3527
ko:K00324	bpr:GBP346_A3528
