ko:K02495	senc:SEET0819_03850
ko:K18324	senc:SEET0819_19855
ko:K01439	senc:SEET0819_19865
ko:K06957	senc:SEET0819_19875
ko:K07054	senc:SEET0819_19880
ko:K01923	senc:SEET0819_19885
ko:K07287	senc:SEET0819_19890
ko:K01714	senc:SEET0819_19895
ko:K03567	senc:SEET0819_19900
ko:K03564	senc:SEET0819_19905
ko:K00865	senc:SEET0819_19910
ko:K03299	senc:SEET0819_19915
ko:K02647	senc:SEET0819_19920
ko:K03548	senc:SEET0819_19925
ko:K00537	senc:SEET0819_19935
ko:K10763	senc:SEET0819_19940
ko:K02824	senc:SEET0819_19945
ko:K00761	senc:SEET0819_19950
ko:K01933	senc:SEET0819_19955
ko:K11175	senc:SEET0819_19960
ko:K00937	senc:SEET0819_19965
ko:K01524	senc:SEET0819_19970
ko:K01223	senc:SEET0819_02695
ko:K07726	senc:SEET0819_02710
ko:K11189	senc:SEET0819_02715
ko:K02775	senc:SEET0819_02730
ko:K02774	senc:SEET0819_02735
ko:K02773	senc:SEET0819_02740
ko:K07784	senc:SEET0819_02760
ko:K07783	senc:SEET0819_02765
ko:K07675	senc:SEET0819_02770
ko:K02429	senc:SEET0819_02785
ko:K00852	senc:SEET0819_02790
ko:K11534	senc:SEET0819_02795
ko:K01653	senc:SEET0819_02800
ko:K01652	senc:SEET0819_02805
ko:K08154	senc:SEET0819_02820
ko:K13636	senc:SEET0819_02830
ko:K13629	senc:SEET0819_02835
ko:K01753	senc:SEET0819_02840
ko:K06871	senc:SEET0819_02845
ko:K00389	senc:SEET0819_02855
ko:K07085	senc:SEET0819_02870
ko:K04081	senc:SEET0819_02875
ko:K04080	senc:SEET0819_02880
ko:K02200	senc:SEET0819_02900
ko:K02199	senc:SEET0819_02905
ko:K02198	senc:SEET0819_02910
ko:K02197	senc:SEET0819_02915
ko:K02196	senc:SEET0819_02920
ko:K02195	senc:SEET0819_02925
ko:K02194	senc:SEET0819_02930
ko:K02193	senc:SEET0819_02935
ko:K00428	senc:SEET0819_02940
ko:K03533	senc:SEET0819_02945
ko:K07811	senc:SEET0819_02950
ko:K06871	senc:SEET0819_07075
ko:K03313	senc:SEET0819_07095
ko:K03717	senc:SEET0819_07100
ko:K01811	senc:SEET0819_07105
ko:K02968	senc:SEET0819_07115
ko:K11753	senc:SEET0819_07120
ko:K01870	senc:SEET0819_07125
ko:K03101	senc:SEET0819_07130
ko:K03774	senc:SEET0819_07135
ko:K03527	senc:SEET0819_07140
ko:K12700	senc:SEET0819_07150
ko:K07702	senc:SEET0819_07155
ko:K07700	senc:SEET0819_07160
ko:K01572	senc:SEET0819_07165
ko:K01571	senc:SEET0819_07170
ko:K01910	senc:SEET0819_07185
ko:K01646	senc:SEET0819_07190
ko:K01644	senc:SEET0819_07195
ko:K01643	senc:SEET0819_07200
ko:K05964	senc:SEET0819_07205
ko:K05966	senc:SEET0819_07210
ko:K00215	senc:SEET0819_07215
ko:K01956	senc:SEET0819_07220
ko:K01955	senc:SEET0819_07225
ko:K08277	senc:SEET0819_07230
ko:K08279	senc:SEET0819_07235
ko:K08299	senc:SEET0819_07240
ko:K02182	senc:SEET0819_07245
ko:K08298	senc:SEET0819_07250
ko:K08297	senc:SEET0819_07255
ko:K05245	senc:SEET0819_07260
ko:K03521	senc:SEET0819_07265
ko:K03522	senc:SEET0819_07270
ko:K00313	senc:SEET0819_07275
ko:K03855	senc:SEET0819_07280
ko:K08368	senc:SEET0819_07285
ko:K11746	senc:SEET0819_07310
ko:K01525	senc:SEET0819_07325
ko:K07085	senc:SEET0819_11475
ko:K03674	senc:SEET0819_11485
ko:K05844	senc:SEET0819_11500
ko:K11073	senc:SEET0819_11510
ko:K11076	senc:SEET0819_11515
ko:K11075	senc:SEET0819_11520
ko:K11074	senc:SEET0819_11525
ko:K03212	senc:SEET0819_11535
ko:K03475	senc:SEET0819_11540
ko:K02822	senc:SEET0819_11545
ko:K09996	senc:SEET0819_11555
ko:K09998	senc:SEET0819_11560
ko:K09999	senc:SEET0819_11565
ko:K09997	senc:SEET0819_11570
ko:K10000	senc:SEET0819_11575
ko:K11066	senc:SEET0819_11590
ko:K01620	senc:SEET0819_11605
ko:K06282	senc:SEET0819_15680
ko:K06281	senc:SEET0819_15685
ko:K03620	senc:SEET0819_15690
ko:K03605	senc:SEET0819_15695
ko:K03619	senc:SEET0819_15700
ko:K03618	senc:SEET0819_15705
ko:K00425	senc:SEET0819_15710
ko:K00426	senc:SEET0819_15715
ko:K00261	senc:SEET0819_15725
ko:K01194	senc:SEET0819_15730
ko:K08308	senc:SEET0819_15745
ko:K01297	senc:SEET0819_15750
ko:K11105	senc:SEET0819_15755
ko:K01775	senc:SEET0819_15760
ko:K00285	senc:SEET0819_15765
ko:K03603	senc:SEET0819_15775
ko:K03314	senc:SEET0819_15780
ko:K03611	senc:SEET0819_15785
ko:K09160	senc:SEET0819_15805
ko:K09902	senc:SEET0819_15815
ko:K03610	senc:SEET0819_15820
ko:K03609	senc:SEET0819_15825
ko:K03608	senc:SEET0819_15830
ko:K03684	senc:SEET0819_15835
ko:K01897	senc:SEET0819_15840
ko:K07285	senc:SEET0819_15845
ko:K14742	senc:SEET0819_15850
ko:K09917	senc:SEET0819_15865
ko:K01665	senc:SEET0819_15870
ko:K01752	senc:SEET0819_15880
ko:K02793	senc:SEET0819_15895
ko:K02794	senc:SEET0819_15895
ko:K02795	senc:SEET0819_15900
ko:K00563	senc:SEET0819_15920
ko:K03587	senc:SEET0819_15925
ko:K03704	senc:SEET0819_15930
ko:K01951	senc:SEET0819_19995
ko:K00088	senc:SEET0819_20000
ko:K03601	senc:SEET0819_20005
ko:K13735	senc:SEET0819_20030
ko:K03977	senc:SEET0819_20040
ko:K17713	senc:SEET0819_20045
ko:K01892	senc:SEET0819_20055
ko:K03526	senc:SEET0819_20060
ko:K15539	senc:SEET0819_20065
ko:K06941	senc:SEET0819_20070
ko:K00940	senc:SEET0819_20080
ko:K07308	senc:SEET0819_20090
ko:K07307	senc:SEET0819_20095
ko:K07306	senc:SEET0819_20100
ko:K05367	senc:SEET0819_20105
ko:K06894	senc:SEET0819_20110
ko:K01011	senc:SEET0819_20115
ko:K07751	senc:SEET0819_20135
ko:K04755	senc:SEET0819_20145
ko:K04044	senc:SEET0819_20150
ko:K04082	senc:SEET0819_20155
ko:K13628	senc:SEET0819_20160
ko:K04488	senc:SEET0819_20165
ko:K04487	senc:SEET0819_20170
ko:K13643	senc:SEET0819_20175
ko:K15396	senc:SEET0819_20180
ko:K01092	senc:SEET0819_20185
ko:K06889	senc:SEET0819_20190
ko:K16950	senc:SEET0819_20195
ko:K16951	senc:SEET0819_20200
ko:K00385	senc:SEET0819_20205
ko:K05820	senc:SEET0819_20225
ko:K00600	senc:SEET0819_20230
ko:K05916	senc:SEET0819_20235
ko:K03765	senc:SEET0819_20240
ko:K01825	senc:SEET0819_03750
ko:K03498	senc:SEET0819_03765
ko:K00230	senc:SEET0819_03770
ko:K03753	senc:SEET0819_03800
ko:K03752	senc:SEET0819_03805
ko:K09896	senc:SEET0819_03810
ko:K03673	senc:SEET0819_03820
ko:K03978	senc:SEET0819_03835
ko:K09894	senc:SEET0819_03845
ko:K07712	senc:SEET0819_03855
ko:K07708	senc:SEET0819_03860
ko:K01915	senc:SEET0819_03865
ko:K06207	senc:SEET0819_03870
ko:K03292	senc:SEET0819_03910
ko:K03292	senc:SEET0819_03915
ko:K15922	senc:SEET0819_03920
ko:K18479	senc:SEET0819_03930
ko:K01671	senc:SEET0819_03935
ko:K12369	senc:SEET0819_01875
ko:K12368	senc:SEET0819_01880
ko:K12975	senc:SEET0819_01905
ko:K07347	senc:SEET0819_01920
ko:K01246	senc:SEET0819_01940
ko:K03826	senc:SEET0819_01945
ko:K08351	senc:SEET0819_01950
ko:K00090	senc:SEET0819_01960
ko:K07726	senc:SEET0819_01970
ko:K03704	senc:SEET0819_01975
ko:K01689	senc:SEET0819_01995
ko:K01921	senc:SEET0819_02010
ko:K00873	senc:SEET0819_02020
ko:K01879	senc:SEET0819_02030
ko:K01878	senc:SEET0819_02035
ko:K00854	senc:SEET0819_02055
ko:K01805	senc:SEET0819_02060
ko:K02529	senc:SEET0819_02065
ko:K03796	senc:SEET0819_02070
ko:K01176	senc:SEET0819_02080
ko:K00835	senc:SEET0819_02085
ko:K08092	senc:SEET0819_02100
ko:K00880	senc:SEET0819_02130
ko:K03828	senc:SEET0819_06235
ko:K01873	senc:SEET0819_06245
ko:K02339	senc:SEET0819_06250
ko:K01255	senc:SEET0819_06255
ko:K07091	senc:SEET0819_06260
ko:K11720	senc:SEET0819_06265
ko:K06146	senc:SEET0819_06270
ko:K06157	senc:SEET0819_06275
ko:K00046	senc:SEET0819_06280
ko:K00098	senc:SEET0819_06285
ko:K00851	senc:SEET0819_06290
ko:K12957	senc:SEET0819_06295
ko:K19164	senc:SEET0819_06320
ko:K19163	senc:SEET0819_06325
ko:K03580	senc:SEET0819_06350
ko:K01737	senc:SEET0819_06395
ko:K07454	senc:SEET0819_06405
ko:K09982	senc:SEET0819_06420
ko:K13637	senc:SEET0819_06450
ko:K01867	senc:SEET0819_06455
ko:K06887	senc:SEET0819_06460
ko:K01779	senc:SEET0819_06465
ko:K01305	senc:SEET0819_06475
ko:K01669	senc:SEET0819_10525
ko:K03305	senc:SEET0819_10530
ko:K07160	senc:SEET0819_10550
ko:K05522	senc:SEET0819_10555
ko:K07120	senc:SEET0819_10560
ko:K01647	senc:SEET0819_10565
ko:K00241	senc:SEET0819_10570
ko:K00242	senc:SEET0819_10575
ko:K00239	senc:SEET0819_10580
ko:K00240	senc:SEET0819_10585
ko:K00164	senc:SEET0819_10590
ko:K00658	senc:SEET0819_10595
ko:K01903	senc:SEET0819_10600
ko:K01902	senc:SEET0819_10605
ko:K00425	senc:SEET0819_10635
ko:K00426	senc:SEET0819_10640
ko:K07107	senc:SEET0819_10660
ko:K03562	senc:SEET0819_10665
ko:K03560	senc:SEET0819_10670
ko:K03646	senc:SEET0819_10675
ko:K03641	senc:SEET0819_10680
ko:K03640	senc:SEET0819_10685
ko:K03517	senc:SEET0819_10720
ko:K03811	senc:SEET0819_10725
ko:K16264	senc:SEET0819_10730
ko:K01626	senc:SEET0819_10740
ko:K01678	senc:SEET0819_10745
ko:K01677	senc:SEET0819_10750
ko:K01573	senc:SEET0819_10770
ko:K01571	senc:SEET0819_10775
ko:K01572	senc:SEET0819_10780
ko:K02015	senc:SEET0819_10790
ko:K02013	senc:SEET0819_10795
ko:K01834	senc:SEET0819_10800
ko:K02030	senc:SEET0819_14860
ko:K02029	senc:SEET0819_14865
ko:K02028	senc:SEET0819_14870
ko:K02029	senc:SEET0819_14875
ko:K12262	senc:SEET0819_14895
ko:K03578	senc:SEET0819_14905
ko:K01118	senc:SEET0819_14910
ko:K09978	senc:SEET0819_14920
ko:K03778	senc:SEET0819_14935
ko:K03668	senc:SEET0819_14940
ko:K03737	senc:SEET0819_14950
ko:K14061	senc:SEET0819_14955
ko:K03297	senc:SEET0819_14960
ko:K14058	senc:SEET0819_14970
ko:K05591	senc:SEET0819_14975
ko:K16074	senc:SEET0819_14980
ko:K00567	senc:SEET0819_14995
ko:K14055	senc:SEET0819_15005
ko:K16052	senc:SEET0819_15015
ko:K01760	senc:SEET0819_15095
ko:K03566	senc:SEET0819_15115
ko:K07729	senc:SEET0819_19285
ko:K08477	senc:SEET0819_19415
ko:K08476	senc:SEET0819_19420
ko:K08475	senc:SEET0819_19425
ko:K08478	senc:SEET0819_19430
ko:K11382	senc:SEET0819_19435
ko:K08318	senc:SEET0819_03940
ko:K18478	senc:SEET0819_03945
ko:K07058	senc:SEET0819_03960
ko:K07560	senc:SEET0819_03965
ko:K18831	senc:SEET0819_03975
ko:K19166	senc:SEET0819_03980
ko:K02380	senc:SEET0819_04000
ko:K00127	senc:SEET0819_04005
ko:K00124	senc:SEET0819_04010
ko:K00123	senc:SEET0819_04015
ko:K01962	senc:SEET0819_08090
ko:K08234	senc:SEET0819_08105
ko:K04075	senc:SEET0819_08110
ko:K19000	senc:SEET0819_08115
ko:K15034	senc:SEET0819_08130
ko:K06079	senc:SEET0819_08135
ko:K01881	senc:SEET0819_08140
ko:K06080	senc:SEET0819_08150
ko:K02073	senc:SEET0819_08155
ko:K02072	senc:SEET0819_08160
ko:K02071	senc:SEET0819_08165
ko:K03273	senc:SEET0819_08170
ko:K06222	senc:SEET0819_08205
ko:K08307	senc:SEET0819_08230
ko:K01069	senc:SEET0819_08235
ko:K03469	senc:SEET0819_08245
ko:K02342	senc:SEET0819_08250
ko:K11902	senc:SEET0819_08265
ko:K11895	senc:SEET0819_08270
ko:K11896	senc:SEET0819_08275
ko:K11897	senc:SEET0819_08280
ko:K11898	senc:SEET0819_08285
ko:K11907	senc:SEET0819_08295
ko:K11901	senc:SEET0819_08300
ko:K11900	senc:SEET0819_08305
ko:K11903	senc:SEET0819_08310
ko:K11903	senc:SEET0819_08325
ko:K11906	senc:SEET0819_08330
ko:K11893	senc:SEET0819_08335
ko:K11892	senc:SEET0819_08340
ko:K11891	senc:SEET0819_08355
ko:K11890	senc:SEET0819_08360
ko:K02846	senc:SEET0819_12445
ko:K12148	senc:SEET0819_12450
ko:K12149	senc:SEET0819_12455
ko:K01465	senc:SEET0819_12460
ko:K03675	senc:SEET0819_12470
ko:K08162	senc:SEET0819_12475
ko:K03790	senc:SEET0819_12480
ko:K09915	senc:SEET0819_12485
ko:K03810	senc:SEET0819_12490
ko:K03980	senc:SEET0819_12495
ko:K02399	senc:SEET0819_12500
ko:K02398	senc:SEET0819_12505
ko:K02386	senc:SEET0819_12510
ko:K02387	senc:SEET0819_12515
ko:K02388	senc:SEET0819_12520
ko:K02389	senc:SEET0819_12525
ko:K02390	senc:SEET0819_12530
ko:K02391	senc:SEET0819_12535
ko:K02392	senc:SEET0819_12540
ko:K02393	senc:SEET0819_12545
ko:K02394	senc:SEET0819_12550
ko:K02395	senc:SEET0819_12555
ko:K02396	senc:SEET0819_12560
ko:K02397	senc:SEET0819_12565
ko:K08300	senc:SEET0819_12570
ko:K06179	senc:SEET0819_12575
ko:K07040	senc:SEET0819_12595
ko:K02911	senc:SEET0819_12600
ko:K03621	senc:SEET0819_12605
ko:K00648	senc:SEET0819_12610
ko:K00645	senc:SEET0819_12615
ko:K00059	senc:SEET0819_12620
ko:K02078	senc:SEET0819_12625
ko:K09458	senc:SEET0819_12630
ko:K02619	senc:SEET0819_12635
ko:K07082	senc:SEET0819_12640
ko:K00943	senc:SEET0819_12645
ko:K02341	senc:SEET0819_12650
ko:K03424	senc:SEET0819_12655
ko:K02778	senc:SEET0819_12660
ko:K02779	senc:SEET0819_12660
ko:K16088	senc:SEET0819_12665
ko:K02503	senc:SEET0819_12670
ko:K07337	senc:SEET0819_12680
ko:K07251	senc:SEET0819_12685
ko:K01207	senc:SEET0819_12690
ko:K07000	senc:SEET0819_12695
ko:K03885	senc:SEET0819_12700
ko:K10010	senc:SEET0819_16765
ko:K10009	senc:SEET0819_16770
ko:K05396	senc:SEET0819_16775
ko:K02424	senc:SEET0819_16780
ko:K02425	senc:SEET0819_16785
ko:K02405	senc:SEET0819_16790
ko:K18475	senc:SEET0819_16795
ko:K02406	senc:SEET0819_16800
ko:K02407	senc:SEET0819_16810
ko:K02422	senc:SEET0819_16815
ko:K02423	senc:SEET0819_16820
ko:K01176	senc:SEET0819_16825
ko:K07112	senc:SEET0819_16835
ko:K02408	senc:SEET0819_16850
ko:K02409	senc:SEET0819_16855
ko:K02410	senc:SEET0819_16860
ko:K02411	senc:SEET0819_16865
ko:K02412	senc:SEET0819_16870
ko:K02413	senc:SEET0819_16875
ko:K02414	senc:SEET0819_16880
ko:K02415	senc:SEET0819_16885
ko:K02416	senc:SEET0819_16890
ko:K02417	senc:SEET0819_16895
ko:K02418	senc:SEET0819_16900
ko:K02419	senc:SEET0819_16905
ko:K02420	senc:SEET0819_16910
ko:K02421	senc:SEET0819_16915
ko:K07781	senc:SEET0819_16920
ko:K07026	senc:SEET0819_16935
ko:K09781	senc:SEET0819_16950
ko:K07458	senc:SEET0819_16960
ko:K06950	senc:SEET0819_16970
ko:K03704	senc:SEET0819_16985
ko:K03502	senc:SEET0819_16990
ko:K03503	senc:SEET0819_16995
ko:K09933	senc:SEET0819_17015
ko:K08315	senc:SEET0819_21045
ko:K15834	senc:SEET0819_21050
ko:K15832	senc:SEET0819_21055
ko:K15831	senc:SEET0819_21060
ko:K15830	senc:SEET0819_21065
ko:K15829	senc:SEET0819_21070
ko:K15828	senc:SEET0819_21075
ko:K15827	senc:SEET0819_21080
ko:K15833	senc:SEET0819_21085
ko:K04651	senc:SEET0819_21090
ko:K04652	senc:SEET0819_21095
