ko:K19405	ctrl:L2BLST_00710
ko:K03043	ctrl:L2BLST_00320
ko:K02935	ctrl:L2BLST_00321
ko:K02864	ctrl:L2BLST_00322
ko:K02863	ctrl:L2BLST_00323
ko:K02867	ctrl:L2BLST_00324
ko:K02601	ctrl:L2BLST_00325
ko:K03073	ctrl:L2BLST_00326
ko:K02358	ctrl:L2BLST_00328
ko:K02518	ctrl:L2BLST_00330
ko:K01803	ctrl:L2BLST_00337
ko:K03601	ctrl:L2BLST_00338
ko:K03602	ctrl:L2BLST_00339
ko:K01662	ctrl:L2BLST_00341
ko:K00873	ctrl:L2BLST_00342
ko:K03701	ctrl:L2BLST_00343
ko:K02343	ctrl:L2BLST_00344
ko:K09747	ctrl:L2BLST_00345
ko:K11381	ctrl:L2BLST_00351
ko:K03686	ctrl:L2BLST_00352
ko:K02970	ctrl:L2BLST_00353
ko:K01338	ctrl:L2BLST_00355
ko:K03733	ctrl:L2BLST_00358
ko:K06287	ctrl:L2BLST_00360
ko:K03075	ctrl:L2BLST_00363
ko:K01462	ctrl:L2BLST_00364
ko:K02528	ctrl:L2BLST_00365
ko:K06888	ctrl:L2BLST_00367
ko:K03523	ctrl:L2BLST_00371
ko:K01714	ctrl:L2BLST_00374
ko:K00928	ctrl:L2BLST_00375
ko:K00133	ctrl:L2BLST_00376
ko:K00215	ctrl:L2BLST_00377
ko:K00800	ctrl:L2BLST_00379
ko:K00891	ctrl:L2BLST_00380
ko:K01736	ctrl:L2BLST_00381
ko:K01735	ctrl:L2BLST_00382
ko:K13832	ctrl:L2BLST_00383
ko:K03758	ctrl:L2BLST_00387
ko:K00024	ctrl:L2BLST_00389
ko:K01810	ctrl:L2BLST_00391
ko:K03665	ctrl:L2BLST_00392
ko:K06167	ctrl:L2BLST_00393
ko:K09996	ctrl:L2BLST_00394
ko:K09013	ctrl:L2BLST_00724
ko:K09015	ctrl:L2BLST_00725
ko:K11717	ctrl:L2BLST_00726
ko:K07220	ctrl:L2BLST_00730
ko:K03306	ctrl:L2BLST_00731
ko:K00927	ctrl:L2BLST_00732
ko:K10773	ctrl:L2BLST_00736
ko:K03650	ctrl:L2BLST_00737
ko:K01613	ctrl:L2BLST_00738
ko:K03070	ctrl:L2BLST_00740
ko:K03977	ctrl:L2BLST_00742
ko:K03544	ctrl:L2BLST_00744
ko:K01358	ctrl:L2BLST_00745
ko:K03545	ctrl:L2BLST_00746
ko:K03569	ctrl:L2BLST_00749
ko:K00057	ctrl:L2BLST_00754
ko:K02412	ctrl:L2BLST_00757
ko:K02411	ctrl:L2BLST_00758
ko:K02409	ctrl:L2BLST_00759
ko:K13819	ctrl:L2BLST_00760
ko:K04487	ctrl:L2BLST_00761
ko:K06178	ctrl:L2BLST_00763
ko:K03524	ctrl:L2BLST_00765
ko:K05837	ctrl:L2BLST_00766
ko:K01875	ctrl:L2BLST_00769
ko:K11752	ctrl:L2BLST_00770
ko:K14652	ctrl:L2BLST_00771
ko:K00794	ctrl:L2BLST_00772
ko:K03310	ctrl:L2BLST_00775
ko:K03466	ctrl:L2BLST_00779
ko:K00351	ctrl:L2BLST_00784
ko:K03210	ctrl:L2BLST_00785
ko:K00231	ctrl:L2BLST_00789
ko:K01599	ctrl:L2BLST_00791
ko:K03723	ctrl:L2BLST_00792
ko:K01872	ctrl:L2BLST_00793
ko:K00615	ctrl:L2BLST_00797
ko:K01241	ctrl:L2BLST_00798
ko:K02356	ctrl:L2BLST_00799
ko:K01929	ctrl:L2BLST_00804
ko:K01000	ctrl:L2BLST_00805
ko:K01925	ctrl:L2BLST_00806
ko:K03588	ctrl:L2BLST_00808
ko:K02563	ctrl:L2BLST_00809
ko:K06960	ctrl:L2BLST_00811
ko:K00791	ctrl:L2BLST_00814
ko:K09710	ctrl:L2BLST_00817
ko:K09458	ctrl:L2BLST_00818
ko:K00263	ctrl:L2BLST_00821
ko:K00655	ctrl:L2BLST_00823
ko:K04066	ctrl:L2BLST_00826
ko:K06966	ctrl:L2BLST_00401
ko:K09131	ctrl:L2BLST_00402
ko:K10206	ctrl:L2BLST_00404
ko:K01881	ctrl:L2BLST_00407
ko:K03705	ctrl:L2BLST_00408
ko:K03687	ctrl:L2BLST_00409
ko:K04043	ctrl:L2BLST_00410
ko:K12573	ctrl:L2BLST_00411
ko:K07164	ctrl:L2BLST_00412
ko:K06041	ctrl:L2BLST_00413
ko:K00658	ctrl:L2BLST_00414
ko:K00912	ctrl:L2BLST_00416
ko:K03437	ctrl:L2BLST_00417
ko:K06969	ctrl:L2BLST_00418
ko:K00793	ctrl:L2BLST_00419
ko:K07738	ctrl:L2BLST_00420
ko:K06204	ctrl:L2BLST_00421
ko:K03101	ctrl:L2BLST_00422
ko:K03310	ctrl:L2BLST_00423
ko:K00748	ctrl:L2BLST_00425
ko:K09817	ctrl:L2BLST_00431
ko:K09816	ctrl:L2BLST_00432
ko:K03979	ctrl:L2BLST_00433
ko:K02899	ctrl:L2BLST_00434
ko:K02888	ctrl:L2BLST_00435
ko:K07042	ctrl:L2BLST_00440
ko:K03183	ctrl:L2BLST_00446
ko:K01778	ctrl:L2BLST_00448
ko:K01358	ctrl:L2BLST_00449
ko:K00600	ctrl:L2BLST_00450
ko:K01770	ctrl:L2BLST_00452
ko:K09779	ctrl:L2BLST_00002
ko:K02435	ctrl:L2BLST_00003
ko:K02434	ctrl:L2BLST_00005
ko:K02517	ctrl:L2BLST_00011
ko:K00425	ctrl:L2BLST_00014
ko:K00426	ctrl:L2BLST_00015
ko:K07175	ctrl:L2BLST_00016
ko:K04567	ctrl:L2BLST_00830
ko:K01883	ctrl:L2BLST_00831
ko:K03536	ctrl:L2BLST_00833
ko:K02919	ctrl:L2BLST_00834
ko:K02954	ctrl:L2BLST_00835
ko:K03703	ctrl:L2BLST_00839
ko:K03555	ctrl:L2BLST_00840
ko:K14164	ctrl:L2BLST_00844
ko:K00995	ctrl:L2BLST_00845
ko:K00703	ctrl:L2BLST_00846
ko:K02897	ctrl:L2BLST_00848
ko:K01056	ctrl:L2BLST_00849
ko:K02990	ctrl:L2BLST_00850
ko:K02963	ctrl:L2BLST_00851
ko:K02939	ctrl:L2BLST_00852
ko:K00919	ctrl:L2BLST_00853
ko:K00630	ctrl:L2BLST_00857
ko:K08301	ctrl:L2BLST_00858
ko:K02911	ctrl:L2BLST_00861
ko:K03621	ctrl:L2BLST_00862
ko:K03431	ctrl:L2BLST_00867
ko:K00820	ctrl:L2BLST_00868
ko:K03834	ctrl:L2BLST_00869
ko:K03834	ctrl:L2BLST_00871
ko:K06890	ctrl:L2BLST_00872
ko:K03110	ctrl:L2BLST_00873
ko:K01903	ctrl:L2BLST_00874
ko:K01902	ctrl:L2BLST_00875
ko:K09760	ctrl:L2BLST_00878
ko:K02946	ctrl:L2BLST_00454
ko:K02355	ctrl:L2BLST_00455
ko:K02992	ctrl:L2BLST_00456
ko:K02950	ctrl:L2BLST_00457
ko:K03797	ctrl:L2BLST_00459
ko:K07462	ctrl:L2BLST_00466
ko:K12257	ctrl:L2BLST_00467
ko:K00806	ctrl:L2BLST_00469
ko:K00981	ctrl:L2BLST_00470
ko:K00945	ctrl:L2BLST_00471
ko:K00655	ctrl:L2BLST_00472
ko:K01887	ctrl:L2BLST_00473
ko:K00790	ctrl:L2BLST_00474
ko:K02836	ctrl:L2BLST_00478
ko:K00991	ctrl:L2BLST_00481
ko:K06173	ctrl:L2BLST_00482
ko:K07710	ctrl:L2BLST_00487
ko:K07714	ctrl:L2BLST_00488
ko:K03584	ctrl:L2BLST_00491
ko:K08998	ctrl:L2BLST_00495
ko:K01890	ctrl:L2BLST_00497
ko:K02034	ctrl:L2BLST_00500
ko:K01772	ctrl:L2BLST_00509
ko:K07099	ctrl:L2BLST_00512
ko:K00975	ctrl:L2BLST_00513
ko:K03628	ctrl:L2BLST_00515
ko:K00859	ctrl:L2BLST_00516
ko:K03301	ctrl:L2BLST_00519
ko:K00995	ctrl:L2BLST_00520
ko:K03495	ctrl:L2BLST_00523
ko:K03800	ctrl:L2BLST_00524
ko:K00940	ctrl:L2BLST_00525
ko:K03550	ctrl:L2BLST_00526
ko:K01159	ctrl:L2BLST_00527
ko:K00134	ctrl:L2BLST_00531
ko:K02879	ctrl:L2BLST_00532
ko:K03040	ctrl:L2BLST_00533
ko:K02948	ctrl:L2BLST_00534
ko:K02952	ctrl:L2BLST_00535
ko:K03076	ctrl:L2BLST_00536
ko:K02876	ctrl:L2BLST_00537
ko:K02988	ctrl:L2BLST_00538
ko:K02881	ctrl:L2BLST_00539
ko:K02933	ctrl:L2BLST_00540
ko:K02994	ctrl:L2BLST_00541
ko:K02931	ctrl:L2BLST_00542
ko:K02895	ctrl:L2BLST_00543
ko:K02874	ctrl:L2BLST_00544
ko:K02961	ctrl:L2BLST_00545
ko:K02904	ctrl:L2BLST_00546
ko:K02878	ctrl:L2BLST_00547
ko:K02982	ctrl:L2BLST_00548
ko:K02890	ctrl:L2BLST_00549
ko:K02965	ctrl:L2BLST_00550
ko:K02886	ctrl:L2BLST_00551
ko:K02892	ctrl:L2BLST_00552
ko:K02926	ctrl:L2BLST_00553
ko:K02906	ctrl:L2BLST_00554
ko:K00604	ctrl:L2BLST_00556
ko:K00677	ctrl:L2BLST_00557
ko:K02372	ctrl:L2BLST_00558
ko:K02535	ctrl:L2BLST_00559
ko:K01870	ctrl:L2BLST_00021
ko:K03100	ctrl:L2BLST_00022
ko:K02909	ctrl:L2BLST_00024
ko:K02835	ctrl:L2BLST_00025
ko:K02493	ctrl:L2BLST_00026
ko:K03106	ctrl:L2BLST_00027
ko:K02959	ctrl:L2BLST_00028
ko:K00554	ctrl:L2BLST_00029
ko:K02884	ctrl:L2BLST_00030
ko:K03470	ctrl:L2BLST_00031
ko:K00942	ctrl:L2BLST_00032
ko:K01874	ctrl:L2BLST_00034
ko:K03581	ctrl:L2BLST_00035
ko:K01494	ctrl:L2BLST_00041
ko:K03551	ctrl:L2BLST_00042
ko:K01255	ctrl:L2BLST_00047
ko:K02340	ctrl:L2BLST_00049
ko:K07056	ctrl:L2BLST_00050
ko:K00164	ctrl:L2BLST_00056
ko:K00658	ctrl:L2BLST_00057
ko:K05810	ctrl:L2BLST_00058
ko:K03526	ctrl:L2BLST_00059
ko:K02400	ctrl:L2BLST_00063
ko:K02405	ctrl:L2BLST_00064
ko:K01866	ctrl:L2BLST_00065
ko:K03596	ctrl:L2BLST_00067
ko:K03301	ctrl:L2BLST_00068
ko:K00099	ctrl:L2BLST_00074
ko:K00075	ctrl:L2BLST_00884
ko:K02520	ctrl:L2BLST_00886
ko:K02916	ctrl:L2BLST_00887
ko:K02887	ctrl:L2BLST_00888
ko:K01889	ctrl:L2BLST_00889
ko:K11720	ctrl:L2BLST_00892
ko:K07091	ctrl:L2BLST_00893
ko:K04075	ctrl:L2BLST_00894
ko:K03798	ctrl:L2BLST_00895
ko:K00962	ctrl:L2BLST_00896
ko:K02956	ctrl:L2BLST_00897
ko:K01265	ctrl:L2BLST_00906
ko:K03321	ctrl:L2BLST_00913
ko:K03527	ctrl:L2BLST_00916
ko:K03629	ctrl:L2BLST_00077
ko:K02338	ctrl:L2BLST_00078
ko:K03664	ctrl:L2BLST_00079
ko:K03734	ctrl:L2BLST_00080
ko:K01491	ctrl:L2BLST_00081
ko:K02902	ctrl:L2BLST_00087
ko:K00705	ctrl:L2BLST_00088
ko:K04058	ctrl:L2BLST_00090
ko:K03230	ctrl:L2BLST_00091
ko:K03229	ctrl:L2BLST_00092
ko:K06942	ctrl:L2BLST_00093
ko:K11753	ctrl:L2BLST_00094
ko:K02834	ctrl:L2BLST_00096
ko:K02519	ctrl:L2BLST_00097
ko:K02600	ctrl:L2BLST_00098
ko:K02945	ctrl:L2BLST_00099
ko:K00384	ctrl:L2BLST_00100
ko:K00997	ctrl:L2BLST_00101
ko:K03820	ctrl:L2BLST_00560
ko:K06925	ctrl:L2BLST_00563
ko:K03671	ctrl:L2BLST_00566
ko:K03216	ctrl:L2BLST_00567
ko:K01876	ctrl:L2BLST_00569
ko:K01892	ctrl:L2BLST_00570
ko:K07783	ctrl:L2BLST_00571
ko:K02337	ctrl:L2BLST_00572
ko:K03311	ctrl:L2BLST_00581
ko:K00382	ctrl:L2BLST_00584
ko:K03644	ctrl:L2BLST_00585
ko:K03222	ctrl:L2BLST_00586
ko:K03223	ctrl:L2BLST_00588
ko:K03226	ctrl:L2BLST_00589
ko:K03228	ctrl:L2BLST_00591
ko:K02455	ctrl:L2BLST_00597
ko:K02453	ctrl:L2BLST_00599
ko:K03572	ctrl:L2BLST_00602
ko:K01868	ctrl:L2BLST_00608
ko:K01867	ctrl:L2BLST_00612
ko:K03702	ctrl:L2BLST_00613
ko:K01689	ctrl:L2BLST_00614
ko:K00208	ctrl:L2BLST_00105
ko:K03575	ctrl:L2BLST_00108
ko:K04077	ctrl:L2BLST_00111
ko:K04078	ctrl:L2BLST_00112
ko:K08602	ctrl:L2BLST_00114
ko:K03695	ctrl:L2BLST_00115
ko:K01783	ctrl:L2BLST_00123
ko:K02356	ctrl:L2BLST_00124
ko:K02160	ctrl:L2BLST_00125
ko:K01961	ctrl:L2BLST_00126
ko:K02871	ctrl:L2BLST_00127
ko:K02996	ctrl:L2BLST_00128
ko:K02029	ctrl:L2BLST_00131
ko:K07058	ctrl:L2BLST_00134
ko:K06999	ctrl:L2BLST_00138
ko:K07566	ctrl:L2BLST_00139
ko:K09125	ctrl:L2BLST_00142
ko:K07039	ctrl:L2BLST_00143
ko:K01972	ctrl:L2BLST_00150
ko:K02913	ctrl:L2BLST_00154
ko:K09808	ctrl:L2BLST_00155
ko:K09810	ctrl:L2BLST_00156
ko:K03720	ctrl:L2BLST_00169
ko:K01696	ctrl:L2BLST_00170
ko:K01695	ctrl:L2BLST_00171
ko:K03611	ctrl:L2BLST_00175
ko:K00979	ctrl:L2BLST_00183
ko:K01937	ctrl:L2BLST_00184
ko:K07447	ctrl:L2BLST_00185
ko:K00240	ctrl:L2BLST_00618
ko:K00239	ctrl:L2BLST_00619
ko:K03424	ctrl:L2BLST_00622
ko:K03562	ctrl:L2BLST_00624
ko:K03641	ctrl:L2BLST_00627
ko:K03640	ctrl:L2BLST_00628
ko:K03648	ctrl:L2BLST_00637
ko:K03657	ctrl:L2BLST_00638
ko:K03092	ctrl:L2BLST_00639
ko:K06137	ctrl:L2BLST_00640
ko:K13941	ctrl:L2BLST_00643
ko:K01633	ctrl:L2BLST_00644
ko:K03086	ctrl:L2BLST_00645
ko:K02968	ctrl:L2BLST_00647
ko:K03980	ctrl:L2BLST_00654
ko:K01151	ctrl:L2BLST_00655
ko:K02986	ctrl:L2BLST_00656
ko:K07146	ctrl:L2BLST_00657
ko:K13789	ctrl:L2BLST_00658
ko:K01698	ctrl:L2BLST_00664
ko:K00346	ctrl:L2BLST_00665
ko:K02028	ctrl:L2BLST_00132
ko:K14220	ctrl:L2BLST_00039
ko:K15035	ctrl:L2BLST_00020
ko:K14222	ctrl:L2BLST_00803
ko:K01977	ctrl:L2BLST_00781
ko:K01977	ctrl:L2BLST_00794
ko:K01985	ctrl:L2BLST_00783
ko:K01985	ctrl:L2BLST_00796
ko:K01980	ctrl:L2BLST_00782
ko:K01980	ctrl:L2BLST_00795
ko:K17103	ctrl:L2BLST_00879
ko:K06910	ctrl:L2BLST_00776
ko:K07117	ctrl:L2BLST_00777
ko:K14228	ctrl:L2BLST_00485
ko:K14233	ctrl:L2BLST_00521
ko:K14219	ctrl:L2BLST_00632
ko:K01507	ctrl:L2BLST_00820
ko:K01082	ctrl:L2BLST_00822
ko:K01909	ctrl:L2BLST_00824
ko:K00652	ctrl:L2BLST_00825
ko:K01408	ctrl:L2BLST_00856
ko:K11708	ctrl:L2BLST_00072
ko:K11709	ctrl:L2BLST_00073
ko:K01679	ctrl:L2BLST_00912
ko:K04763	ctrl:L2BLST_00923
ko:K03177	ctrl:L2BLST_00095
ko:K06179	ctrl:L2BLST_00107
ko:K00939	ctrl:L2BLST_00130
ko:K02035	ctrl:L2BLST_00141
ko:K00700	ctrl:L2BLST_00925
ko:K04084	ctrl:L2BLST_00623
ko:K06889	ctrl:L2BLST_00153
ko:K02035	ctrl:L2BLST_00174
ko:K02049	ctrl:L2BLST_00179
ko:K01409	ctrl:L2BLST_00198
ko:K15582	ctrl:L2BLST_00201
ko:K10823	ctrl:L2BLST_00202
ko:K15583	ctrl:L2BLST_00203
ko:K06889	ctrl:L2BLST_00207
ko:K00059	ctrl:L2BLST_00242
ko:K07052	ctrl:L2BLST_00259
ko:K02342	ctrl:L2BLST_00266
ko:K02806	ctrl:L2BLST_00295
ko:K02806	ctrl:L2BLST_00296
ko:K02124	ctrl:L2BLST_00309
ko:K02123	ctrl:L2BLST_00310
ko:K02120	ctrl:L2BLST_00311
ko:K02118	ctrl:L2BLST_00312
ko:K02117	ctrl:L2BLST_00313
ko:K02121	ctrl:L2BLST_00315
ko:K00616	ctrl:L2BLST_00318
ko:K08483	ctrl:L2BLST_00346
ko:K11189	ctrl:L2BLST_00347
ko:K00784	ctrl:L2BLST_00357
ko:K03856	ctrl:L2BLST_00395
ko:K00970	ctrl:L2BLST_00424
ko:K09815	ctrl:L2BLST_00430
ko:K01719	ctrl:L2BLST_00451
ko:K00380	ctrl:L2BLST_00453
ko:K01885	ctrl:L2BLST_00464
ko:K07098	ctrl:L2BLST_00480
ko:K00567	ctrl:L2BLST_00499
ko:K02033	ctrl:L2BLST_00501
ko:K02035	ctrl:L2BLST_00502
ko:K02030	ctrl:L2BLST_00510
ko:K02342	ctrl:L2BLST_00562
ko:K07258	ctrl:L2BLST_00578
ko:K03227	ctrl:L2BLST_00590
ko:K02454	ctrl:L2BLST_00598
ko:K01262	ctrl:L2BLST_00601
ko:K07315	ctrl:L2BLST_00615
ko:K00241	ctrl:L2BLST_00620
ko:K00241	ctrl:L2BLST_00621
ko:K03386	ctrl:L2BLST_00631
ko:K02428	ctrl:L2BLST_00635
ko:K00813	ctrl:L2BLST_00669
ko:K01934	ctrl:L2BLST_00681
ko:K00970	ctrl:L2BLST_00743
ko:K01596	ctrl:L2BLST_00750
ko:K00972	ctrl:L2BLST_00755
ko:K01834	ctrl:L2BLST_00762
ko:K14236	ctrl:L2BLST_00145
ko:K14227	ctrl:L2BLST_00180
ko:K14218	ctrl:L2BLST_00668
ko:K14230	ctrl:L2BLST_00209
ko:K14230	ctrl:L2BLST_00335
ko:K14235	ctrl:L2BLST_00327
ko:K14233	ctrl:L2BLST_00368
ko:K14231	ctrl:L2BLST_00436
ko:K14221	ctrl:L2BLST_00225
ko:K14233	ctrl:L2BLST_00429
ko:K14228	ctrl:L2BLST_00529
ko:K14228	ctrl:L2BLST_00565
ko:K14219	ctrl:L2BLST_00489
ko:K14219	ctrl:L2BLST_00689
ko:K14232	ctrl:L2BLST_00662
ko:K14229	ctrl:L2BLST_00712
ko:K14224	ctrl:L2BLST_00713
ko:K14226	ctrl:L2BLST_00780
ko:K14223	ctrl:L2BLST_00847
ko:K14218	ctrl:L2BLST_00181
ko:K14234	ctrl:L2BLST_00709
ko:K14225	ctrl:L2BLST_00718
ko:K14228	ctrl:L2BLST_00493
ko:K14228	ctrl:L2BLST_00921
ko:K14232	ctrl:L2BLST_00062
ko:K14237	ctrl:L2BLST_00226
ko:K14230	ctrl:L2BLST_00210
ko:K14234	ctrl:L2BLST_00144
ko:K14234	ctrl:L2BLST_00329
ko:K14225	ctrl:L2BLST_00747
ko:K14237	ctrl:L2BLST_00882
ko:K01840	ctrl:L2BLST_00300
ko:K06972	ctrl:L2BLST_00877
ko:K01921	ctrl:L2BLST_00810
ko:K03625	ctrl:L2BLST_00885
ko:K01679	ctrl:L2BLST_00910
ko:K07081	ctrl:L2BLST_00445
ko:K07125	ctrl:L2BLST_00332
ko:K01924	ctrl:L2BLST_00810
ko:K01802	ctrl:L2BLST_00568
ko:K08275	ctrl:L2BLST_00082
ko:K08719	ctrl:L2BLST_00753
ko:K08274	ctrl:L2BLST_00390
ko:K01829	ctrl:L2BLST_00828
ko:K01829	ctrl:L2BLST_00832
ko:K03309	ctrl:L2BLST_00415
ko:K07033	ctrl:L2BLST_00723
ko:K03825	ctrl:L2BLST_00477
ko:K03111	ctrl:L2BLST_00046
ko:K03496	ctrl:L2bLST_p_7
ko:K03496	ctrl:L2BLST_00609
ko:K03497	ctrl:L2BLST_00727
ko:K02626	ctrl:L2BLST_00386
ko:K11991	ctrl:L2BLST_00898
ko:K04771	ctrl:L2BLST_00876
ko:K19411	ctrl:L2BLST_00711
ko:K02031	ctrl:L2BLST_00729
ko:K22100	ctrl:L2BLST_00336
ko:K12132	ctrl:L2BLST_00306
ko:K20265	ctrl:L2BLST_00219
ko:K20074	ctrl:L2BLST_00264
ko:K11749	ctrl:L2BLST_00075
ko:K22099	ctrl:L2BLST_00641
ko:K00526	ctrl:L2BLST_00881
ko:K02335	ctrl:L2BLST_00517
ko:K02316	ctrl:L2BLST_00841
ko:K02314	ctrl:L2bLST_p_3
ko:K01520	ctrl:L2BLST_00297
ko:K02314	ctrl:L2BLST_00522
ko:K00287	ctrl:L2BLST_00642
ko:K03553	ctrl:L2BLST_00682
ko:K02032	ctrl:L2BLST_00728
ko:K00525	ctrl:L2BLST_00880
ko:K02050	ctrl:L2BLST_00909
ko:K02051	ctrl:L2BLST_00909
ko:K01534	ctrl:L2BLST_00767
ko:K16239	ctrl:L2BLST_00086
