ko:K01212	bya:BANAU_3943
ko:K02015	bya:BANAU_0341
ko:K02015	bya:BANAU_0342
ko:K02013	bya:BANAU_0343
ko:K02016	bya:BANAU_0344
ko:K00375	bya:BANAU_0350
ko:K14166	bya:BANAU_0356
ko:K00009	bya:BANAU_0361
ko:K07160	bya:BANAU_0365
ko:K06350	bya:BANAU_0369
ko:K02503	bya:BANAU_1136
ko:K01224	bya:BANAU_1144
ko:K00965	bya:BANAU_1145
ko:K00849	bya:BANAU_1147
ko:K02787	bya:BANAU_1148
ko:K02788	bya:BANAU_1148
ko:K06433	bya:BANAU_1904
ko:K06432	bya:BANAU_1905
ko:K01681	bya:BANAU_1906
ko:K06431	bya:BANAU_1909
ko:K06434	bya:BANAU_1910
ko:K07107	bya:BANAU_1911
ko:K08591	bya:BANAU_1914
ko:K02622	bya:BANAU_1916
ko:K02621	bya:BANAU_1917
ko:K03310	bya:BANAU_1920
ko:K00874	bya:BANAU_1921
ko:K08322	bya:BANAU_1922
ko:K01625	bya:BANAU_1923
ko:K01686	bya:BANAU_1924
ko:K00645	bya:BANAU_1944
ko:K00019	bya:BANAU_1945
ko:K01029	bya:BANAU_1946
ko:K01028	bya:BANAU_1947
ko:K01012	bya:BANAU_1950
ko:K01935	bya:BANAU_1951
ko:K00566	bya:BANAU_2670
ko:K04487	bya:BANAU_2671
ko:K07478	bya:BANAU_2673
ko:K01876	bya:BANAU_2675
ko:K01892	bya:BANAU_2676
ko:K01448	bya:BANAU_2678
ko:K07560	bya:BANAU_2679
ko:K00759	bya:BANAU_2681
ko:K07462	bya:BANAU_2682
ko:K07228	bya:BANAU_2684
ko:K12257	bya:BANAU_2685
ko:K06409	bya:BANAU_2687
ko:K03210	bya:BANAU_2690
ko:K00773	bya:BANAU_2691
ko:K07568	bya:BANAU_2692
ko:K03551	bya:BANAU_2694
ko:K03550	bya:BANAU_2695
ko:K06318	bya:BANAU_2696
ko:K06370	bya:BANAU_2699
ko:K03517	bya:BANAU_2700
ko:K00767	bya:BANAU_2701
ko:K00278	bya:BANAU_2702
ko:K02034	bya:BANAU_0810
ko:K03781	bya:BANAU_0813
ko:K15553	bya:BANAU_0816
ko:K15554	bya:BANAU_0817
ko:K02954	bya:BANAU_0819
ko:K03216	bya:BANAU_0826
ko:K07180	bya:BANAU_0830
ko:K09786	bya:BANAU_0831
ko:K02388	bya:BANAU_1572
ko:K02408	bya:BANAU_1573
ko:K02409	bya:BANAU_1574
ko:K02410	bya:BANAU_1575
ko:K02411	bya:BANAU_1576
ko:K02412	bya:BANAU_1577
ko:K02413	bya:BANAU_1578
ko:K02389	bya:BANAU_1581
ko:K02390	bya:BANAU_1582
ko:K02385	bya:BANAU_1583
ko:K02415	bya:BANAU_1584
ko:K02416	bya:BANAU_1585
ko:K02417	bya:BANAU_1586
ko:K03413	bya:BANAU_1587
ko:K02418	bya:BANAU_1588
ko:K02419	bya:BANAU_1589
ko:K02420	bya:BANAU_1590
ko:K02421	bya:BANAU_1591
ko:K02401	bya:BANAU_1592
ko:K02400	bya:BANAU_1593
ko:K02404	bya:BANAU_1594
ko:K04562	bya:BANAU_1595
ko:K03412	bya:BANAU_1596
ko:K03407	bya:BANAU_1597
ko:K03408	bya:BANAU_1598
ko:K03410	bya:BANAU_1599
ko:K03411	bya:BANAU_1600
ko:K02405	bya:BANAU_1601
ko:K02967	bya:BANAU_1603
ko:K02357	bya:BANAU_1604
ko:K09903	bya:BANAU_1605
ko:K02838	bya:BANAU_1606
ko:K00806	bya:BANAU_1607
ko:K00981	bya:BANAU_1608
ko:K00099	bya:BANAU_1609
ko:K11749	bya:BANAU_1610
ko:K01881	bya:BANAU_1611
ko:K03763	bya:BANAU_1612
ko:K09748	bya:BANAU_1613
ko:K02600	bya:BANAU_1614
ko:K07742	bya:BANAU_1615
ko:K02519	bya:BANAU_1617
ko:K02834	bya:BANAU_1619
ko:K11753	bya:BANAU_1621
ko:K02956	bya:BANAU_1622
ko:K00962	bya:BANAU_1623
ko:K02601	bya:BANAU_2361
ko:K02913	bya:BANAU_2367
ko:K00036	bya:BANAU_2369
ko:K02346	bya:BANAU_2371
ko:K03217	bya:BANAU_2373
ko:K05606	bya:BANAU_2375
ko:K09699	bya:BANAU_2383
ko:K00167	bya:BANAU_2384
ko:K00166	bya:BANAU_2385
ko:K00382	bya:BANAU_2386
ko:K00263	bya:BANAU_2388
ko:K01720	bya:BANAU_2393
ko:K01647	bya:BANAU_2394
ko:K00074	bya:BANAU_2396
ko:K01126	bya:BANAU_2398
ko:K01448	bya:BANAU_2399
ko:K01775	bya:BANAU_2407
ko:K07699	bya:BANAU_2408
ko:K06399	bya:BANAU_2409
ko:K03631	bya:BANAU_2410
ko:K03402	bya:BANAU_2411
ko:K03885	bya:BANAU_3104
ko:K00364	bya:BANAU_3107
ko:K03790	bya:BANAU_3114
ko:K14189	bya:BANAU_3115
ko:K01778	bya:BANAU_3117
ko:K03885	bya:BANAU_3120
ko:K00872	bya:BANAU_3124
ko:K01733	bya:BANAU_3125
ko:K00003	bya:BANAU_3126
ko:K03644	bya:BANAU_3132
ko:K07090	bya:BANAU_3136
ko:K08153	bya:BANAU_3143
ko:K02083	bya:BANAU_3145
ko:K10711	bya:BANAU_3148
ko:K03335	bya:BANAU_3858
ko:K03336	bya:BANAU_3859
ko:K03338	bya:BANAU_3860
ko:K03337	bya:BANAU_3861
ko:K00140	bya:BANAU_3862
ko:K06608	bya:BANAU_3863
ko:K04079	bya:BANAU_3866
ko:K07693	bya:BANAU_3868
ko:K07778	bya:BANAU_3869
ko:K10255	bya:BANAU_3870
ko:K03387	bya:BANAU_3880
ko:K04041	bya:BANAU_3883
ko:K07141	bya:BANAU_3887
ko:K00783	bya:BANAU_3895
ko:K01476	bya:BANAU_3902
ko:K02205	bya:BANAU_3903
ko:K06714	bya:BANAU_3905
ko:K14219	bya:BANAU_t061
ko:K14237	bya:BANAU_t060
ko:K14227	bya:BANAU_t001
ko:K14227	bya:BANAU_t068
ko:K14227	bya:BANAU_t004
ko:K14218	bya:BANAU_t002
ko:K14218	bya:BANAU_t016
ko:K14218	bya:BANAU_t005
ko:K14218	bya:BANAU_t077
ko:K14230	bya:BANAU_t006
ko:K14230	bya:BANAU_t076
ko:K14224	bya:BANAU_t007
ko:K14224	bya:BANAU_t034
ko:K14224	bya:BANAU_t065
ko:K14224	bya:BANAU_t045
ko:K14224	bya:BANAU_t027
ko:K14224	bya:BANAU_t090
ko:K14237	bya:BANAU_t008
ko:K04487	bya:BANAU_2703
ko:K06209	bya:BANAU_2706
ko:K03979	bya:BANAU_2707
ko:K06375	bya:BANAU_2708
ko:K02899	bya:BANAU_2709
ko:K02888	bya:BANAU_2711
ko:K06401	bya:BANAU_2713
ko:K03609	bya:BANAU_2714
ko:K03610	bya:BANAU_2715
ko:K03571	bya:BANAU_2716
ko:K03570	bya:BANAU_2717
ko:K03569	bya:BANAU_2718
ko:K03630	bya:BANAU_2719
ko:K01443	bya:BANAU_3402
ko:K03710	bya:BANAU_3404
ko:K08972	bya:BANAU_3407
ko:K03701	bya:BANAU_3412
ko:K03702	bya:BANAU_3413
ko:K03797	bya:BANAU_3427
ko:K09811	bya:BANAU_3429
ko:K09812	bya:BANAU_3430
ko:K02836	bya:BANAU_3433
ko:K03070	bya:BANAU_3434
ko:K02423	bya:BANAU_3437
ko:K02422	bya:BANAU_3438
ko:K02407	bya:BANAU_3439
ko:K02406	bya:BANAU_3440
ko:K03563	bya:BANAU_3441
ko:K13626	bya:BANAU_3442
ko:K02397	bya:BANAU_3444
ko:K02396	bya:BANAU_3445
ko:K02398	bya:BANAU_3447
ko:K14237	bya:BANAU_t028
ko:K14237	bya:BANAU_t085
ko:K14237	bya:BANAU_t046
ko:K14229	bya:BANAU_t010
ko:K14229	bya:BANAU_t083
ko:K14229	bya:BANAU_t091
ko:K14234	bya:BANAU_t018
ko:K14234	bya:BANAU_t023
ko:K03817	bya:BANAU_0380
ko:K14235	bya:BANAU_t052
ko:K14229	bya:BANAU_t036
ko:K14225	bya:BANAU_t012
ko:K14225	bya:BANAU_t081
ko:K14225	bya:BANAU_t055
ko:K14225	bya:BANAU_t024
ko:K14225	bya:BANAU_t019
ko:K14228	bya:BANAU_t013
ko:K14228	bya:BANAU_t080
ko:K14228	bya:BANAU_t057
ko:K14219	bya:BANAU_t014
ko:K14219	bya:BANAU_t039
ko:K14219	bya:BANAU_t025
ko:K14219	bya:BANAU_t020
ko:K14219	bya:BANAU_t079
ko:K14231	bya:BANAU_t049
ko:K14231	bya:BANAU_t071
ko:K03322	bya:BANAU_0397
ko:K07217	bya:BANAU_0407
ko:K11692	bya:BANAU_0410
ko:K11103	bya:BANAU_0411
ko:K01921	bya:BANAU_0420
ko:K01929	bya:BANAU_0421
ko:K05592	bya:BANAU_0422
ko:K00997	bya:BANAU_0426
ko:K01775	bya:BANAU_0428
ko:K07723	bya:BANAU_0429
ko:K07507	bya:BANAU_1155
ko:K00123	bya:BANAU_1159
ko:K02069	bya:BANAU_1166
ko:K03885	bya:BANAU_1171
ko:K01812	bya:BANAU_1172
ko:K02529	bya:BANAU_1174
ko:K00041	bya:BANAU_1175
ko:K01685	bya:BANAU_1176
ko:K07090	bya:BANAU_1177
ko:K03088	bya:BANAU_1192
ko:K03306	bya:BANAU_1204
ko:K07220	bya:BANAU_1205
ko:K00963	bya:BANAU_1956
ko:K01640	bya:BANAU_1960
ko:K02160	bya:BANAU_1961
ko:K01961	bya:BANAU_1962
ko:K07259	bya:BANAU_1973
ko:K01868	bya:BANAU_1982
ko:K00266	bya:BANAU_1986
ko:K00931	bya:BANAU_1989
ko:K00286	bya:BANAU_1990
ko:K11216	bya:BANAU_1996
ko:K06287	bya:BANAU_2720
ko:K11754	bya:BANAU_2723
ko:K01873	bya:BANAU_2724
ko:K06417	bya:BANAU_2727
ko:K01845	bya:BANAU_2728
ko:K01698	bya:BANAU_2729
ko:K01749	bya:BANAU_2731
ko:K02497	bya:BANAU_2732
ko:K02492	bya:BANAU_2733
ko:K03978	bya:BANAU_2735
ko:K01338	bya:BANAU_2736
ko:K03544	bya:BANAU_2738
ko:K03545	bya:BANAU_2739
ko:K01704	bya:BANAU_2741
ko:K01703	bya:BANAU_2742
ko:K00052	bya:BANAU_2743
ko:K01649	bya:BANAU_2744
ko:K00053	bya:BANAU_2745
ko:K01653	bya:BANAU_2746
ko:K01652	bya:BANAU_2747
ko:K01154	bya:BANAU_2752
ko:K03427	bya:BANAU_2753
ko:K01153	bya:BANAU_2754
ko:K07095	bya:BANAU_2756
ko:K00989	bya:BANAU_2758
ko:K01776	bya:BANAU_2760
ko:K01994	bya:BANAU_2762
ko:K07107	bya:BANAU_2763
ko:K00240	bya:BANAU_2764
ko:K00239	bya:BANAU_2765
ko:K07777	bya:BANAU_3454
ko:K00012	bya:BANAU_3462
ko:K01448	bya:BANAU_3466
ko:K00963	bya:BANAU_3471
ko:K05946	bya:BANAU_3477
ko:K01809	bya:BANAU_3480
ko:K07282	bya:BANAU_3491
ko:K06295	bya:BANAU_3494
ko:K02529	bya:BANAU_3497
ko:K06726	bya:BANAU_3499
ko:K10441	bya:BANAU_3500
ko:K16052	bya:BANAU_0891
ko:K14230	bya:BANAU_t075
ko:K14231	bya:BANAU_t088
ko:K14226	bya:BANAU_t053
ko:K14226	bya:BANAU_t070
ko:K14222	bya:BANAU_t056
ko:K14228	bya:BANAU_t082
ko:K14218	bya:BANAU_t086
ko:K06959	bya:BANAU_0439
ko:K03762	bya:BANAU_0444
ko:K07118	bya:BANAU_0448
ko:K10255	bya:BANAU_0451
ko:K03704	bya:BANAU_0453
ko:K07736	bya:BANAU_0454
ko:K07090	bya:BANAU_0461
ko:K01779	bya:BANAU_0462
ko:K01751	bya:BANAU_0467
ko:K03837	bya:BANAU_0470
ko:K15975	bya:BANAU_1207
ko:K01433	bya:BANAU_1228
ko:K00931	bya:BANAU_1229
ko:K00147	bya:BANAU_1230
ko:K05820	bya:BANAU_1238
ko:K00549	bya:BANAU_1240
ko:K13275	bya:BANAU_1241
ko:K06213	bya:BANAU_1248
ko:K10979	bya:BANAU_1255
ko:K06878	bya:BANAU_2005
ko:K08976	bya:BANAU_2012
ko:K03654	bya:BANAU_2018
ko:K01118	bya:BANAU_2019
ko:K13993	bya:BANAU_2023
ko:K04564	bya:BANAU_2031
ko:K03308	bya:BANAU_2032
ko:K03453	bya:BANAU_2033
ko:K00658	bya:BANAU_2035
ko:K00164	bya:BANAU_2036
ko:K03327	bya:BANAU_2043
ko:K05786	bya:BANAU_2048
ko:K00928	bya:BANAU_2768
ko:K03703	bya:BANAU_2770
ko:K03671	bya:BANAU_2771
ko:K03522	bya:BANAU_2773
ko:K03521	bya:BANAU_2774
ko:K13767	bya:BANAU_2775
ko:K13770	bya:BANAU_2776
ko:K08989	bya:BANAU_2779
ko:K07456	bya:BANAU_2780
ko:K02347	bya:BANAU_2781
ko:K09888	bya:BANAU_2783
ko:K01890	bya:BANAU_2785
ko:K01889	bya:BANAU_2786
ko:K03437	bya:BANAU_2787
ko:K06426	bya:BANAU_2788
ko:K02647	bya:BANAU_2789
ko:K11473	bya:BANAU_2791
ko:K06200	bya:BANAU_2792
ko:K01804	bya:BANAU_2801
ko:K02887	bya:BANAU_2806
ko:K02916	bya:BANAU_2807
ko:K02520	bya:BANAU_2808
ko:K05339	bya:BANAU_2809
ko:K05338	bya:BANAU_2810
ko:K07704	bya:BANAU_2812
ko:K01868	bya:BANAU_2814
ko:K01575	bya:BANAU_3505
ko:K01652	bya:BANAU_3506
ko:K03893	bya:BANAU_3508
ko:K06330	bya:BANAU_3511
ko:K07240	bya:BANAU_3516
ko:K07240	bya:BANAU_3517
ko:K05982	bya:BANAU_3521
ko:K00012	bya:BANAU_3532
ko:K03282	bya:BANAU_3544
ko:K02372	bya:BANAU_3545
ko:K02392	bya:BANAU_3547
ko:K02392	bya:BANAU_3548
ko:K03569	bya:BANAU_3549
ko:K06283	bya:BANAU_3550
ko:K03696	bya:BANAU_0085
ko:K04485	bya:BANAU_0086
ko:K00991	bya:BANAU_0089
ko:K01770	bya:BANAU_0090
ko:K00640	bya:BANAU_0092
ko:K01883	bya:BANAU_0093
ko:K11145	bya:BANAU_0094
ko:K03218	bya:BANAU_0095
ko:K06962	bya:BANAU_0096
ko:K03091	bya:BANAU_0097
ko:K02913	bya:BANAU_0098
ko:K03073	bya:BANAU_0099
ko:K02601	bya:BANAU_0100
ko:K02867	bya:BANAU_0101
ko:K02863	bya:BANAU_0102
ko:K02864	bya:BANAU_0103
ko:K02935	bya:BANAU_0104
ko:K03043	bya:BANAU_0106
ko:K03046	bya:BANAU_0107
ko:K07590	bya:BANAU_0108
ko:K02950	bya:BANAU_0109
ko:K02992	bya:BANAU_0110
ko:K02355	bya:BANAU_0111
ko:K02358	bya:BANAU_0112
ko:K02946	bya:BANAU_0114
ko:K02906	bya:BANAU_0115
ko:K02926	bya:BANAU_0116
ko:K02892	bya:BANAU_0117
ko:K02886	bya:BANAU_0118
ko:K02965	bya:BANAU_0119
ko:K02890	bya:BANAU_0120
ko:K02982	bya:BANAU_0121
ko:K02878	bya:BANAU_0122
ko:K02904	bya:BANAU_0123
ko:K02961	bya:BANAU_0124
ko:K02874	bya:BANAU_0125
ko:K02895	bya:BANAU_0126
ko:K02931	bya:BANAU_0127
ko:K02954	bya:BANAU_0128
ko:K02994	bya:BANAU_0129
ko:K02933	bya:BANAU_0130
ko:K03809	bya:BANAU_0835
ko:K03704	bya:BANAU_0842
ko:K02073	bya:BANAU_0843
ko:K06956	bya:BANAU_0845
ko:K06180	bya:BANAU_0852
ko:K02440	bya:BANAU_0859
ko:K00864	bya:BANAU_0860
ko:K00111	bya:BANAU_0861
ko:K18682	bya:BANAU_1651
ko:K13771	bya:BANAU_0869
ko:K01647	bya:BANAU_0875
ko:K03308	bya:BANAU_0878
ko:K03088	bya:BANAU_0881
ko:K00655	bya:BANAU_0882
ko:K11358	bya:BANAU_0885
ko:K00646	bya:BANAU_0886
ko:K06410	bya:BANAU_1627
ko:K06411	bya:BANAU_1628
ko:K00133	bya:BANAU_1629
ko:K00928	bya:BANAU_1630
ko:K01714	bya:BANAU_1631
ko:K03466	bya:BANAU_1636
ko:K03710	bya:BANAU_1637
ko:K08221	bya:BANAU_1638
ko:K00995	bya:BANAU_1647
ko:K09769	bya:BANAU_1652
ko:K06416	bya:BANAU_1653
ko:K00060	bya:BANAU_1654
ko:K06168	bya:BANAU_1656
ko:K06328	bya:BANAU_1658
ko:K03555	bya:BANAU_1659
ko:K03572	bya:BANAU_1660
ko:K15311	bya:BANAU_1671
ko:K06442	bya:BANAU_2412
ko:K01662	bya:BANAU_2413
ko:K13789	bya:BANAU_2414
ko:K03602	bya:BANAU_2415
ko:K03601	bya:BANAU_2416
ko:K01491	bya:BANAU_2417
ko:K03625	bya:BANAU_2418
ko:K01961	bya:BANAU_2420
ko:K02160	bya:BANAU_2421
ko:K06397	bya:BANAU_2422
ko:K06396	bya:BANAU_2423
ko:K06395	bya:BANAU_2424
ko:K06394	bya:BANAU_2425
ko:K06393	bya:BANAU_2426
ko:K06392	bya:BANAU_2427
ko:K06391	bya:BANAU_2428
ko:K06390	bya:BANAU_2429
ko:K02356	bya:BANAU_2431
ko:K07001	bya:BANAU_2436
ko:K03800	bya:BANAU_2438
ko:K00283	bya:BANAU_2440
ko:K00282	bya:BANAU_2441
ko:K00605	bya:BANAU_2442
ko:K02247	bya:BANAU_2454
ko:K00285	bya:BANAU_3160
ko:K09014	bya:BANAU_3165
ko:K11717	bya:BANAU_3167
ko:K09015	bya:BANAU_3168
ko:K09013	bya:BANAU_3169
ko:K02073	bya:BANAU_3172
ko:K02072	bya:BANAU_3173
ko:K02071	bya:BANAU_3174
ko:K07476	bya:BANAU_3177
ko:K02437	bya:BANAU_3179
ko:K07516	bya:BANAU_3183
ko:K00318	bya:BANAU_3185
ko:K01574	bya:BANAU_3191
ko:K00077	bya:BANAU_3192
ko:K02013	bya:BANAU_3194
ko:K04047	bya:BANAU_3198
ko:K07650	bya:BANAU_3202
ko:K01939	bya:BANAU_3921
ko:K02939	bya:BANAU_3935
ko:K00692	bya:BANAU_3942
ko:K08987	bya:BANAU_3948
ko:K00941	bya:BANAU_0490
ko:K13979	bya:BANAU_0493
ko:K00375	bya:BANAU_0496
ko:K07734	bya:BANAU_0497
ko:K00375	bya:BANAU_0502
ko:K07010	bya:BANAU_0515
ko:K00005	bya:BANAU_0519
ko:K07552	bya:BANAU_0520
ko:K09458	bya:BANAU_0521
ko:K07090	bya:BANAU_0523
ko:K07246	bya:BANAU_0529
ko:K03093	bya:BANAU_1258
ko:K03799	bya:BANAU_1262
ko:K08963	bya:BANAU_1269
ko:K00899	bya:BANAU_1270
ko:K08965	bya:BANAU_1273
ko:K08966	bya:BANAU_1274
ko:K08967	bya:BANAU_1276
ko:K15973	bya:BANAU_1279
ko:K02557	bya:BANAU_1280
ko:K02556	bya:BANAU_1281
ko:K06920	bya:BANAU_1285
ko:K01737	bya:BANAU_1286
ko:K10026	bya:BANAU_1287
ko:K09457	bya:BANAU_1288
ko:K01449	bya:BANAU_1295
ko:K01534	bya:BANAU_1298
ko:K03480	bya:BANAU_1301
ko:K03716	bya:BANAU_1306
ko:K06999	bya:BANAU_2055
ko:K15975	bya:BANAU_2056
ko:K01201	bya:BANAU_2059
ko:K01223	bya:BANAU_2060
ko:K03489	bya:BANAU_2061
ko:K03797	bya:BANAU_2062
ko:K01438	bya:BANAU_2078
ko:K01034	bya:BANAU_2080
ko:K01083	bya:BANAU_2089
ko:K07152	bya:BANAU_2096
ko:K01754	bya:BANAU_2098
ko:K11068	bya:BANAU_2100
ko:K00655	bya:BANAU_2101
ko:K07738	bya:BANAU_2819
ko:K01611	bya:BANAU_2820
ko:K00134	bya:BANAU_2821
ko:K00859	bya:BANAU_2825
ko:K07636	bya:BANAU_2829
ko:K00024	bya:BANAU_2831
ko:K00031	bya:BANAU_2832
ko:K01647	bya:BANAU_2833
ko:K07113	bya:BANAU_2839
ko:K00873	bya:BANAU_2840
ko:K00850	bya:BANAU_2841
ko:K01962	bya:BANAU_2842
ko:K01963	bya:BANAU_2843
ko:K02337	bya:BANAU_2845
ko:K01755	bya:BANAU_2855
ko:K01940	bya:BANAU_2856
ko:K03638	bya:BANAU_2857
ko:K00925	bya:BANAU_2858
ko:K11065	bya:BANAU_2860
ko:K04773	bya:BANAU_2864
ko:K00858	bya:BANAU_2865
ko:K03320	bya:BANAU_3556
ko:K04751	bya:BANAU_3557
ko:K03588	bya:BANAU_3558
ko:K06386	bya:BANAU_3561
ko:K03823	bya:BANAU_3562
ko:K06131	bya:BANAU_3565
ko:K01428	bya:BANAU_3570
ko:K01429	bya:BANAU_3571
ko:K01430	bya:BANAU_3572
ko:K03639	bya:BANAU_3576
ko:K02379	bya:BANAU_3577
ko:K06381	bya:BANAU_3580
ko:K00790	bya:BANAU_3581
ko:K02114	bya:BANAU_3585
ko:K02112	bya:BANAU_3586
ko:K02115	bya:BANAU_3587
ko:K02111	bya:BANAU_3588
ko:K02113	bya:BANAU_3589
ko:K02109	bya:BANAU_3590
ko:K02110	bya:BANAU_3591
ko:K02108	bya:BANAU_3592
ko:K00761	bya:BANAU_3594
ko:K00600	bya:BANAU_3595
ko:K01808	bya:BANAU_3597
ko:K07566	bya:BANAU_3600
ko:K06387	bya:BANAU_3602
ko:K07137	bya:BANAU_3957
ko:K06888	bya:BANAU_3964
ko:K08369	bya:BANAU_3966
ko:K13531	bya:BANAU_3971
ko:K13530	bya:BANAU_3972
ko:K02963	bya:BANAU_3973
ko:K02990	bya:BANAU_3975
ko:K06942	bya:BANAU_3976
ko:K03501	bya:BANAU_3985
ko:K03495	bya:BANAU_3986
ko:K03650	bya:BANAU_3987
ko:K03217	bya:BANAU_3989
ko:K03536	bya:BANAU_3990
ko:K02914	bya:BANAU_3991
ko:K03449	bya:BANAU_0539
ko:K07217	bya:BANAU_0544
ko:K00946	bya:BANAU_0548
ko:K06925	bya:BANAU_0549
ko:K03789	bya:BANAU_0551
ko:K06158	bya:BANAU_0553
ko:K03637	bya:BANAU_0554
ko:K01926	bya:BANAU_0555
ko:K03116	bya:BANAU_0556
ko:K03118	bya:BANAU_0557
ko:K04078	bya:BANAU_0560
ko:K04077	bya:BANAU_0561
ko:K00847	bya:BANAU_0567
ko:K03969	bya:BANAU_0569
ko:K06872	bya:BANAU_0571
ko:K03088	bya:BANAU_0575
ko:K03415	bya:BANAU_1315
ko:K09776	bya:BANAU_1324
ko:K03839	bya:BANAU_1328
ko:K03839	bya:BANAU_1330
ko:K05823	bya:BANAU_1332
ko:K03752	bya:BANAU_1338
ko:K03750	bya:BANAU_1340
ko:K03753	bya:BANAU_1341
ko:K03636	bya:BANAU_1343
ko:K02003	bya:BANAU_1346
ko:K02768	bya:BANAU_1350
ko:K02769	bya:BANAU_1350
ko:K02770	bya:BANAU_1350
ko:K03100	bya:BANAU_1351
ko:K00077	bya:BANAU_1354
ko:K03569	bya:BANAU_1357
ko:K01687	bya:BANAU_2107
ko:K06950	bya:BANAU_2109
ko:K00432	bya:BANAU_2110
ko:K00651	bya:BANAU_2111
ko:K03704	bya:BANAU_2113
ko:K09125	bya:BANAU_2118
ko:K07443	bya:BANAU_2128
ko:K01895	bya:BANAU_2867
ko:K03151	bya:BANAU_2869
ko:K02881	bya:BANAU_0131
ko:K04487	bya:BANAU_2870
ko:K03311	bya:BANAU_2871
ko:K04486	bya:BANAU_2873
ko:K02986	bya:BANAU_2877
ko:K05916	bya:BANAU_2886
ko:K05520	bya:BANAU_2887
ko:K01866	bya:BANAU_2893
ko:K01895	bya:BANAU_2894
ko:K04766	bya:BANAU_2895
ko:K04768	bya:BANAU_2897
ko:K02557	bya:BANAU_2898
ko:K02556	bya:BANAU_2899
ko:K02529	bya:BANAU_2900
ko:K13853	bya:BANAU_2901
ko:K01924	bya:BANAU_2905
ko:K03466	bya:BANAU_2906
ko:K06878	bya:BANAU_2907
ko:K03439	bya:BANAU_2917
ko:K02493	bya:BANAU_3605
ko:K02835	bya:BANAU_3606
ko:K11686	bya:BANAU_3608
ko:K07088	bya:BANAU_3609
ko:K02909	bya:BANAU_3612
ko:K03628	bya:BANAU_3613
ko:K00790	bya:BANAU_3615
ko:K01624	bya:BANAU_3617
ko:K02490	bya:BANAU_3618
ko:K01937	bya:BANAU_3620
ko:K06131	bya:BANAU_3623
ko:K06131	bya:BANAU_3627
ko:K00373	bya:BANAU_3630
ko:K00371	bya:BANAU_3631
ko:K00370	bya:BANAU_3632
ko:K02575	bya:BANAU_3636
