ko:K08744	mtuh:I917_12955
ko:K03110	mtuh:I917_20385
ko:K03529	mtuh:I917_20390
ko:K01512	mtuh:I917_20395
ko:K03685	mtuh:I917_20415
ko:K07040	mtuh:I917_20420
ko:K04564	mtuh:I917_27030
ko:K02553	mtuh:I917_27060
ko:K01207	mtuh:I917_01730
ko:K02066	mtuh:I917_01245
ko:K02313	mtuh:I917_00005
ko:K02338	mtuh:I917_00010
ko:K03629	mtuh:I917_00015
ko:K02470	mtuh:I917_00025
ko:K02469	mtuh:I917_00035
ko:K07735	mtuh:I917_00245
ko:K01869	mtuh:I917_00260
ko:K01858	mtuh:I917_00295
ko:K02990	mtuh:I917_00340
ko:K03273	mtuh:I917_00870
ko:K02355	mtuh:I917_00915
ko:K05343	mtuh:I917_00960
ko:K03281	mtuh:I917_01085
ko:K09958	mtuh:I917_01160
ko:K00325	mtuh:I917_01185
ko:K07107	mtuh:I917_01220
ko:K02066	mtuh:I917_01240
ko:K02036	mtuh:I917_05800
ko:K02039	mtuh:I917_05805
ko:K03921	mtuh:I917_05820
ko:K08641	mtuh:I917_05905
ko:K00161	mtuh:I917_05930
ko:K14267	mtuh:I917_06040
ko:K03704	mtuh:I917_06115
ko:K07507	mtuh:I917_12875
ko:K03070	mtuh:I917_12950
ko:K02437	mtuh:I917_12975
ko:K06978	mtuh:I917_13040
ko:K01638	mtuh:I917_13060
ko:K01430	mtuh:I917_13125
ko:K01429	mtuh:I917_13130
ko:K03188	mtuh:I917_13145
ko:K03190	mtuh:I917_13155
ko:K03885	mtuh:I917_13160
ko:K03565	mtuh:I917_19185
ko:K00995	mtuh:I917_19260
ko:K01714	mtuh:I917_19305
ko:K03427	mtuh:I917_19320
ko:K09927	mtuh:I917_19360
ko:K01061	mtuh:I917_19380
ko:K00215	mtuh:I917_19435
ko:K07044	mtuh:I917_19460
ko:K00259	mtuh:I917_19475
ko:K00459	mtuh:I917_19480
ko:K00962	mtuh:I917_19490
ko:K02341	mtuh:I917_25525
ko:K03704	mtuh:I917_25555
ko:K12510	mtuh:I917_25610
ko:K02283	mtuh:I917_25615
ko:K15580	mtuh:I917_25665
ko:K01895	mtuh:I917_25675
ko:K10773	mtuh:I917_25730
ko:K01738	mtuh:I917_25805
ko:K09117	mtuh:I917_25835
ko:K03924	mtuh:I917_25875
ko:K00864	mtuh:I917_25915
ko:K00864	mtuh:I917_25920
ko:K02963	mtuh:I917_00350
ko:K00031	mtuh:I917_00440
ko:K01752	mtuh:I917_00455
ko:K02003	mtuh:I917_00505
ko:K14155	mtuh:I917_00530
ko:K12140	mtuh:I917_00590
ko:K12141	mtuh:I917_00600
ko:K02902	mtuh:I917_00790
ko:K06911	mtuh:I917_01315
ko:K03088	mtuh:I917_01320
ko:K05349	mtuh:I917_01335
ko:K03439	mtuh:I917_01495
ko:K00831	mtuh:I917_06200
ko:K01647	mtuh:I917_06320
ko:K00266	mtuh:I917_27095
ko:K00240	mtuh:I917_01780
ko:K00239	mtuh:I917_01785
ko:K00362	mtuh:I917_01805
ko:K00363	mtuh:I917_01810
ko:K02575	mtuh:I917_01865
ko:K02016	mtuh:I917_01885
ko:K02575	mtuh:I917_01910
ko:K00318	mtuh:I917_08445
ko:K06966	mtuh:I917_08575
ko:K00796	mtuh:I917_08600
ko:K01246	mtuh:I917_08620
ko:K00975	mtuh:I917_08640
ko:K06978	mtuh:I917_08660
ko:K03088	mtuh:I917_08695
ko:K03117	mtuh:I917_08710
ko:K01928	mtuh:I917_15180
ko:K03587	mtuh:I917_15205
ko:K03925	mtuh:I917_15225
ko:K01626	mtuh:I917_15290
ko:K00655	mtuh:I917_15320
ko:K00766	mtuh:I917_15390
ko:K02276	mtuh:I917_15400
ko:K02275	mtuh:I917_15445
ko:K00768	mtuh:I917_15495
ko:K02233	mtuh:I917_15500
ko:K06200	mtuh:I917_21510
ko:K15977	mtuh:I917_21520
ko:K06199	mtuh:I917_21545
ko:K06199	mtuh:I917_21550
ko:K01644	mtuh:I917_21600
ko:K03664	mtuh:I917_21775
ko:K09812	mtuh:I917_21790
ko:K02836	mtuh:I917_21805
ko:K03636	mtuh:I917_21840
ko:K02037	mtuh:I917_06545
ko:K02038	mtuh:I917_06550
ko:K02040	mtuh:I917_06565
ko:K02036	mtuh:I917_06570
ko:K02037	mtuh:I917_06585
ko:K02038	mtuh:I917_06590
ko:K01810	mtuh:I917_06665
ko:K01903	mtuh:I917_06705
ko:K02020	mtuh:I917_13175
ko:K02018	mtuh:I917_13180
ko:K03594	mtuh:I917_13315
ko:K07560	mtuh:I917_13450
ko:K08972	mtuh:I917_13485
ko:K03782	mtuh:I917_13515
ko:K01637	mtuh:I917_13565
ko:K01637	mtuh:I917_13570
ko:K02956	mtuh:I917_19500
ko:K11753	mtuh:I917_19505
ko:K06978	mtuh:I917_19595
ko:K15342	mtuh:I917_19700
ko:K02834	mtuh:I917_19835
ko:K07742	mtuh:I917_19850
ko:K09748	mtuh:I917_19865
ko:K01881	mtuh:I917_19875
ko:K07008	mtuh:I917_25960
ko:K00928	mtuh:I917_26005
ko:K01649	mtuh:I917_26010
ko:K06187	mtuh:I917_26060
ko:K09747	mtuh:I917_26065
ko:K02343	mtuh:I917_26100
ko:K09129	mtuh:I917_26230
ko:K11991	mtuh:I917_26335
ko:K09957	mtuh:I917_26350
ko:K05846	mtuh:I917_26365
ko:K07001	mtuh:I917_07540
ko:K03624	mtuh:I917_07665
ko:K00600	mtuh:I917_07770
ko:K07175	mtuh:I917_07780
ko:K03602	mtuh:I917_07860
ko:K03601	mtuh:I917_07865
ko:K03527	mtuh:I917_07875
ko:K06942	mtuh:I917_07885
ko:K08281	mtuh:I917_14400
ko:K01061	mtuh:I917_14485
ko:K02963	mtuh:I917_14490
ko:K02954	mtuh:I917_14495
ko:K02913	mtuh:I917_14500
ko:K02230	mtuh:I917_14515
ko:K02229	mtuh:I917_14550
ko:K06042	mtuh:I917_14555
ko:K03088	mtuh:I917_14580
ko:K05936	mtuh:I917_14595
ko:K07089	mtuh:I917_20800
ko:K01433	mtuh:I917_20810
ko:K00954	mtuh:I917_20815
ko:K02902	mtuh:I917_20900
ko:K00946	mtuh:I917_20905
ko:K01921	mtuh:I917_20930
ko:K00057	mtuh:I917_20935
ko:K03530	mtuh:I917_20965
ko:K01704	mtuh:I917_20970
ko:K01703	mtuh:I917_20975
ko:K00052	mtuh:I917_21025
ko:K15977	mtuh:I917_21115
ko:K03088	mtuh:I917_27520
ko:K03671	mtuh:I917_27540
ko:K03501	mtuh:I917_27570
ko:K08998	mtuh:I917_27585
ko:K03536	mtuh:I917_27590
ko:K02914	mtuh:I917_27595
ko:K01126	mtuh:I917_02280
ko:K01494	mtuh:I917_02305
ko:K17218	mtuh:I917_02355
ko:K00024	mtuh:I917_08815
ko:K08296	mtuh:I917_09050
ko:K02034	mtuh:I917_09095
ko:K01673	mtuh:I917_09110
ko:K00957	mtuh:I917_09115
ko:K01586	mtuh:I917_09195
ko:K00872	mtuh:I917_09220
ko:K03628	mtuh:I917_09225
ko:K00826	mtuh:I917_15515
ko:K00605	mtuh:I917_15530
ko:K01255	mtuh:I917_15545
ko:K00658	mtuh:I917_15575
ko:K07071	mtuh:I917_15580
ko:K03801	mtuh:I917_15585
ko:K03644	mtuh:I917_15590
ko:K01915	mtuh:I917_15625
ko:K09990	mtuh:I917_15675
ko:K07164	mtuh:I917_15685
ko:K00817	mtuh:I917_15705
ko:K02227	mtuh:I917_15750
ko:K00163	mtuh:I917_15785
ko:K02078	mtuh:I917_15805
ko:K04069	mtuh:I917_22040
ko:K00330	mtuh:I917_22090
ko:K00331	mtuh:I917_22095
ko:K00332	mtuh:I917_22100
ko:K00333	mtuh:I917_22105
ko:K00334	mtuh:I917_22110
ko:K00338	mtuh:I917_22150
ko:K00339	mtuh:I917_22155
ko:K00340	mtuh:I917_22160
ko:K00342	mtuh:I917_22180
ko:K00343	mtuh:I917_22185
ko:K03924	mtuh:I917_22235
ko:K00252	mtuh:I917_02845
ko:K13788	mtuh:I917_02905
ko:K00788	mtuh:I917_02965
ko:K03154	mtuh:I917_02980
ko:K03149	mtuh:I917_02985
ko:K07020	mtuh:I917_03030
ko:K00941	mtuh:I917_03035
ko:K01142	mtuh:I917_03085
ko:K06048	mtuh:I917_03115
ko:K07157	mtuh:I917_03125
ko:K13525	mtuh:I917_03135
ko:K17103	mtuh:I917_03145
ko:K01613	mtuh:I917_03150
ko:K03750	mtuh:I917_03155
ko:K04077	mtuh:I917_03165
ko:K09701	mtuh:I917_03220
ko:K02825	mtuh:I917_09770
ko:K01465	mtuh:I917_09800
ko:K01956	mtuh:I917_09810
ko:K01591	mtuh:I917_09830
ko:K00942	mtuh:I917_09860
ko:K03060	mtuh:I917_09865
ko:K13038	mtuh:I917_09870
ko:K00789	mtuh:I917_09875
ko:K01783	mtuh:I917_10005
ko:K00793	mtuh:I917_10030
ko:K01738	mtuh:I917_16405
ko:K00640	mtuh:I917_16410
ko:K01129	mtuh:I917_16465
ko:K01114	mtuh:I917_16505
ko:K03584	mtuh:I917_16610
ko:K07042	mtuh:I917_16640
ko:K09761	mtuh:I917_16670
ko:K01251	mtuh:I917_22815
ko:K00067	mtuh:I917_22940
ko:K01588	mtuh:I917_23020
ko:K03524	mtuh:I917_23045
ko:K06287	mtuh:I917_23070
ko:K02426	mtuh:I917_23080
ko:K00036	mtuh:I917_07920
ko:K01720	mtuh:I917_07995
ko:K00549	mtuh:I917_08020
ko:K00373	mtuh:I917_08265
ko:K03118	mtuh:I917_14740
ko:K03116	mtuh:I917_14745
ko:K03432	mtuh:I917_14830
ko:K03433	mtuh:I917_14835
ko:K00765	mtuh:I917_14900
ko:K11738	mtuh:I917_14945
ko:K06153	mtuh:I917_15010
ko:K02221	mtuh:I917_15080
ko:K09772	mtuh:I917_15085
ko:K06997	mtuh:I917_15090
ko:K05810	mtuh:I917_15095
ko:K02563	mtuh:I917_15145
ko:K01000	mtuh:I917_15175
ko:K02435	mtuh:I917_21160
ko:K01972	mtuh:I917_21170
ko:K00566	mtuh:I917_21230
ko:K04487	mtuh:I917_21235
ko:K03522	mtuh:I917_21255
ko:K03521	mtuh:I917_21260
ko:K02013	mtuh:I917_21345
ko:K13979	mtuh:I917_21375
ko:K02346	mtuh:I917_21450
ko:K00973	mtuh:I917_02370
ko:K03686	mtuh:I917_02500
ko:K03686	mtuh:I917_02505
ko:K01939	mtuh:I917_02545
ko:K06213	mtuh:I917_02585
ko:K01624	mtuh:I917_02590
ko:K03975	mtuh:I917_02595
ko:K07141	mtuh:I917_02630
ko:K07402	mtuh:I917_02670
ko:K00762	mtuh:I917_02700
ko:K10764	mtuh:I917_02790
ko:K03885	mtuh:I917_02795
ko:K02909	mtuh:I917_09240
ko:K02493	mtuh:I917_09260
ko:K02108	mtuh:I917_09285
ko:K02110	mtuh:I917_09290
ko:K02109	mtuh:I917_09295
ko:K02115	mtuh:I917_09315
ko:K02114	mtuh:I917_09330
ko:K00790	mtuh:I917_09350
ko:K05838	mtuh:I917_09420
ko:K16147	mtuh:I917_09435
ko:K00688	mtuh:I917_09440
ko:K00763	mtuh:I917_09460
ko:K06891	mtuh:I917_09465
ko:K01776	mtuh:I917_09505
ko:K00989	mtuh:I917_09515
ko:K02078	mtuh:I917_09535
ko:K01521	mtuh:I917_16115
ko:K14155	mtuh:I917_16140
ko:K09925	mtuh:I917_16145
ko:K16785	mtuh:I917_16330
ko:K16786	mtuh:I917_16335
ko:K16787	mtuh:I917_16335
ko:K02575	mtuh:I917_16360
ko:K03426	mtuh:I917_22455
ko:K10716	mtuh:I917_22460
ko:K02361	mtuh:I917_22565
ko:K03088	mtuh:I917_22610
ko:K06949	mtuh:I917_22655
ko:K09959	mtuh:I917_03300
ko:K00382	mtuh:I917_03315
ko:K00074	mtuh:I917_03355
ko:K00075	mtuh:I917_03455
ko:K01524	mtuh:I917_03570
ko:K00286	mtuh:I917_03600
ko:K01749	mtuh:I917_03680
ko:K13542	mtuh:I917_03685
ko:K01698	mtuh:I917_03690
ko:K00794	mtuh:I917_10060
ko:K06958	mtuh:I917_10095
ko:K00927	mtuh:I917_10215
ko:K01803	mtuh:I917_10220
ko:K03075	mtuh:I917_10235
ko:K01057	mtuh:I917_10275
ko:K00036	mtuh:I917_10290
ko:K00615	mtuh:I917_10300
ko:K02259	mtuh:I917_10355
ko:K09014	mtuh:I917_10385
ko:K09013	mtuh:I917_10400
ko:K11717	mtuh:I917_10405
ko:K00390	mtuh:I917_16860
ko:K02047	mtuh:I917_16905
ko:K02046	mtuh:I917_16910
ko:K02048	mtuh:I917_16915
ko:K02968	mtuh:I917_17020
ko:K02340	mtuh:I917_17025
ko:K02237	mtuh:I917_17035
ko:K09710	mtuh:I917_17080
ko:K00969	mtuh:I917_17085
ko:K00147	mtuh:I917_17130
ko:K04756	mtuh:I917_17145
ko:K02039	mtuh:I917_23220
ko:K00111	mtuh:I917_23225
ko:K00761	mtuh:I917_23270
ko:K00242	mtuh:I917_23325
ko:K03637	mtuh:I917_23370
ko:K03088	mtuh:I917_23380
ko:K01443	mtuh:I917_23405
ko:K00031	mtuh:I917_23440
ko:K00641	mtuh:I917_23455
ko:K09122	mtuh:I917_04155
ko:K02066	mtuh:I917_04215
ko:K07133	mtuh:I917_04280
ko:K00965	mtuh:I917_04405
ko:K00965	mtuh:I917_04410
ko:K00849	mtuh:I917_04415
ko:K03581	mtuh:I917_04475
ko:K03583	mtuh:I917_04510
ko:K01870	mtuh:I917_10870
ko:K02346	mtuh:I917_10885
ko:K03101	mtuh:I917_10895
ko:K06180	mtuh:I917_10900
ko:K06886	mtuh:I917_10910
ko:K00631	mtuh:I917_10990
ko:K00246	mtuh:I917_11015
ko:K01754	mtuh:I917_11040
ko:K01236	mtuh:I917_11055
ko:K01935	mtuh:I917_11115
ko:K01012	mtuh:I917_11200
ko:K00767	mtuh:I917_11255
ko:K00817	mtuh:I917_11285
ko:K01693	mtuh:I917_11290
ko:K02501	mtuh:I917_11295
ko:K02500	mtuh:I917_11320
ko:K00162	mtuh:I917_17620
ko:K01029	mtuh:I917_17665
ko:K07124	mtuh:I917_17705
ko:K13288	mtuh:I917_17725
ko:K03564	mtuh:I917_17785
ko:K00997	mtuh:I917_17795
ko:K11533	mtuh:I917_17835
ko:K03625	mtuh:I917_17905
ko:K02356	mtuh:I917_17910
ko:K03786	mtuh:I917_17930
ko:K01735	mtuh:I917_17935
ko:K00891	mtuh:I917_17940
ko:K02654	mtuh:I917_18015
ko:K00014	mtuh:I917_18020
ko:K01872	mtuh:I917_18040
ko:K04077	mtuh:I917_24015
ko:K04078	mtuh:I917_24020
ko:K03789	mtuh:I917_24030
ko:K06925	mtuh:I917_24040
ko:K01775	mtuh:I917_24050
ko:K02996	mtuh:I917_24195
ko:K02871	mtuh:I917_24200
ko:K03466	mtuh:I917_24225
ko:K03040	mtuh:I917_24300
ko:K02986	mtuh:I917_24305
ko:K02948	mtuh:I917_24310
ko:K02952	mtuh:I917_24315
ko:K02919	mtuh:I917_24320
ko:K02518	mtuh:I917_24325
ko:K01790	mtuh:I917_24340
ko:K11735	mtuh:I917_03760
ko:K02548	mtuh:I917_03835
ko:K01911	mtuh:I917_03885
ko:K03306	mtuh:I917_03900
ko:K02551	mtuh:I917_03965
ko:K03799	mtuh:I917_04020
ko:K09767	mtuh:I917_04045
ko:K07282	mtuh:I917_04100
ko:K09165	mtuh:I917_10650
ko:K02377	mtuh:I917_10725
ko:K01950	mtuh:I917_17190
ko:K00931	mtuh:I917_17210
ko:K02899	mtuh:I917_17225
ko:K02888	mtuh:I917_17230
ko:K03752	mtuh:I917_17310
ko:K00174	mtuh:I917_17330
ko:K03544	mtuh:I917_17350
ko:K01358	mtuh:I917_17365
ko:K01358	mtuh:I917_17370
ko:K03545	mtuh:I917_17375
ko:K01808	mtuh:I917_17400
ko:K06886	mtuh:I917_17445
ko:K07107	mtuh:I917_17475
ko:K00631	mtuh:I917_17515
ko:K06966	mtuh:I917_17590
ko:K01491	mtuh:I917_23600
ko:K01087	mtuh:I917_23710
ko:K01662	mtuh:I917_23765
ko:K03527	mtuh:I917_23770
ko:K00574	mtuh:I917_23840
ko:K14161	mtuh:I917_23850
ko:K01951	mtuh:I917_23865
ko:K02291	mtuh:I917_23870
ko:K02913	mtuh:I917_04540
ko:K03073	mtuh:I917_04560
ko:K02867	mtuh:I917_04575
ko:K02863	mtuh:I917_04580
ko:K00574	mtuh:I917_04585
ko:K00574	mtuh:I917_04590
ko:K00574	mtuh:I917_04605
ko:K00645	mtuh:I917_04645
ko:K02864	mtuh:I917_04655
ko:K02935	mtuh:I917_04660
ko:K03046	mtuh:I917_04760
ko:K01151	mtuh:I917_04780
ko:K09456	mtuh:I917_04790
ko:K02950	mtuh:I917_04865
ko:K02992	mtuh:I917_04870
ko:K07300	mtuh:I917_11330
ko:K03564	mtuh:I917_11335
ko:K01657	mtuh:I917_11340
ko:K01609	mtuh:I917_11350
ko:K01696	mtuh:I917_11360
ko:K10805	mtuh:I917_11405
ko:K00426	mtuh:I917_11450
ko:K00425	mtuh:I917_11455
ko:K02945	mtuh:I917_11495
ko:K04567	mtuh:I917_11595
ko:K02520	mtuh:I917_11600
ko:K02916	mtuh:I917_11605
ko:K02887	mtuh:I917_11610
ko:K03437	mtuh:I917_11615
ko:K01889	mtuh:I917_11655
ko:K00145	mtuh:I917_11685
ko:K00620	mtuh:I917_11705
ko:K00930	mtuh:I917_11710
ko:K03402	mtuh:I917_11730
ko:K01755	mtuh:I917_11745
ko:K07478	mtuh:I917_18065
ko:K01876	mtuh:I917_18160
ko:K00077	mtuh:I917_18170
ko:K01892	mtuh:I917_18210
ko:K00759	mtuh:I917_18235
ko:K03074	mtuh:I917_18245
ko:K03210	mtuh:I917_18260
ko:K03551	mtuh:I917_18300
ko:K01159	mtuh:I917_18315
ko:K00797	mtuh:I917_18350
ko:K10805	mtuh:I917_18380
ko:K00275	mtuh:I917_18395
ko:K00995	mtuh:I917_18435
ko:K01666	mtuh:I917_24355
ko:K00697	mtuh:I917_24495
ko:K02066	mtuh:I917_24550
ko:K02066	mtuh:I917_24555
ko:K01652	mtuh:I917_24615
ko:K02946	mtuh:I917_04975
ko:K02906	mtuh:I917_04980
ko:K02926	mtuh:I917_04985
ko:K02892	mtuh:I917_04990
ko:K02965	mtuh:I917_05005
ko:K02890	mtuh:I917_05010
ko:K02982	mtuh:I917_05015
ko:K02878	mtuh:I917_05020
ko:K02904	mtuh:I917_05025
ko:K02961	mtuh:I917_05030
ko:K02874	mtuh:I917_05050
ko:K02895	mtuh:I917_05060
ko:K02931	mtuh:I917_05065
ko:K02954	mtuh:I917_05070
ko:K02994	mtuh:I917_05075
ko:K02933	mtuh:I917_05080
ko:K02988	mtuh:I917_05090
ko:K02907	mtuh:I917_05095
ko:K02876	mtuh:I917_05100
ko:K01628	mtuh:I917_05140
ko:K03076	mtuh:I917_05185
ko:K03088	mtuh:I917_05210
ko:K03652	mtuh:I917_11985
ko:K06442	mtuh:I917_12025
ko:K00858	mtuh:I917_12030
ko:K03631	mtuh:I917_12035
ko:K11737	mtuh:I917_12095
ko:K03321	mtuh:I917_12115
ko:K05896	mtuh:I917_12125
ko:K00945	mtuh:I917_12140
ko:K14415	mtuh:I917_18570
ko:K09771	mtuh:I917_18615
ko:K06916	mtuh:I917_18750
ko:K01666	mtuh:I917_24800
ko:K01945	mtuh:I917_05470
ko:K01923	mtuh:I917_05530
ko:K01354	mtuh:I917_05535
ko:K01952	mtuh:I917_05600
ko:K03710	mtuh:I917_05620
ko:K00382	mtuh:I917_05630
ko:K07223	mtuh:I917_05655
ko:K01952	mtuh:I917_05680
ko:K00705	mtuh:I917_12655
ko:K00231	mtuh:I917_18800
ko:K03684	mtuh:I917_18840
ko:K00886	mtuh:I917_18980
ko:K03086	mtuh:I917_18990
ko:K07058	mtuh:I917_19010
ko:K07738	mtuh:I917_19080
ko:K01356	mtuh:I917_19090
ko:K03665	mtuh:I917_19125
ko:K01778	mtuh:I917_19130
ko:K00791	mtuh:I917_19135
ko:K06168	mtuh:I917_19170
ko:K03893	mtuh:I917_25130
ko:K01902	mtuh:I917_06710
ko:K11175	mtuh:I917_06735
ko:K00602	mtuh:I917_06750
ko:K02911	mtuh:I917_06905
ko:K03282	mtuh:I917_06955
ko:K02003	mtuh:I917_06960
ko:K00963	mtuh:I917_07015
ko:K03790	mtuh:I917_07035
ko:K07056	mtuh:I917_07125
ko:K09166	mtuh:I917_13655
ko:K11065	mtuh:I917_13690
ko:K14652	mtuh:I917_13740
ko:K02302	mtuh:I917_19890
ko:K02224	mtuh:I917_19895
ko:K00116	mtuh:I917_19920
ko:K07241	mtuh:I917_19940
ko:K07010	mtuh:I917_19965
ko:K01265	mtuh:I917_19980
ko:K00099	mtuh:I917_20050
ko:K02838	mtuh:I917_20120
ko:K02357	mtuh:I917_20165
ko:K02967	mtuh:I917_20170
ko:K04096	mtuh:I917_20220
ko:K07391	mtuh:I917_20225
ko:K07460	mtuh:I917_20230
ko:K05847	mtuh:I917_26370
ko:K00817	mtuh:I917_26490
ko:K14220	mtuh:I917_t27650
ko:K14232	mtuh:I917_t27652
ko:K14222	mtuh:I917_t27666
ko:K12445	mtuh:I917_20735
ko:K02067	mtuh:I917_04250
ko:K01990	mtuh:I917_11980
ko:K14233	mtuh:I917_t27684
ko:K14233	mtuh:I917_t27688
ko:K14233	mtuh:I917_t27682
ko:K14234	mtuh:I917_t27618
ko:K14229	mtuh:I917_t27620
ko:K14221	mtuh:I917_t27624
ko:K14219	mtuh:I917_t27628
ko:K14223	mtuh:I917_t27632
ko:K14228	mtuh:I917_t27634
ko:K14219	mtuh:I917_t27636
ko:K14229	mtuh:I917_t27660
ko:K14230	mtuh:I917_t27648
ko:K14237	mtuh:I917_t27646
ko:K14228	mtuh:I917_t27640
ko:K14237	mtuh:I917_t27662
ko:K14225	mtuh:I917_t27664
ko:K14218	mtuh:I917_t27674
ko:K14235	mtuh:I917_t27616
ko:K14234	mtuh:I917_t27612
ko:K14218	mtuh:I917_t27604
ko:K14236	mtuh:I917_t27610
ko:K14230	mtuh:I917_t27614
ko:K14224	mtuh:I917_t27622
ko:K14231	mtuh:I917_t27626
ko:K14228	mtuh:I917_t27638
ko:K14232	mtuh:I917_t27642
ko:K14225	mtuh:I917_t27654
ko:K14219	mtuh:I917_t27656
ko:K14226	mtuh:I917_t27658
ko:K14230	mtuh:I917_t27676
ko:K14219	mtuh:I917_t27686
ko:K01985	mtuh:I917_r27692
ko:K01977	mtuh:I917_r27694
ko:K02484	mtuh:I917_05380
ko:K01897	mtuh:I917_15350
ko:K02484	mtuh:I917_04300
ko:K02484	mtuh:I917_04305
ko:K14227	mtuh:I917_t27602
ko:K14228	mtuh:I917_t27644
ko:K14224	mtuh:I917_t27670
ko:K14223	mtuh:I917_t27672
ko:K10112	mtuh:I917_14370
ko:K01990	mtuh:I917_08680
ko:K01990	mtuh:I917_10365
ko:K14228	mtuh:I917_t27606
ko:K01980	mtuh:I917_r27696
ko:K01980	mtuh:I917_r27698
ko:K14225	mtuh:I917_t27608
ko:K14237	mtuh:I917_t27668
ko:K14232	mtuh:I917_t27680
ko:K14233	mtuh:I917_t27690
ko:K00384	mtuh:I917_10440
ko:K14949	mtuh:I917_02940
ko:K02030	mtuh:I917_02945
ko:K03574	mtuh:I917_02960
ko:K03153	mtuh:I917_02975
ko:K14954	mtuh:I917_10025
ko:K06994	mtuh:I917_16435
ko:K03711	mtuh:I917_16595
ko:K01426	mtuh:I917_16615
ko:K04793	mtuh:I917_16710
ko:K04792	mtuh:I917_16715
ko:K04792	mtuh:I917_16730
ko:K07654	mtuh:I917_22785
ko:K07670	mtuh:I917_22800
ko:K01011	mtuh:I917_23075
ko:K03918	mtuh:I917_23125
ko:K15521	mtuh:I917_03485
ko:K01834	mtuh:I917_03505
ko:K07768	mtuh:I917_03515
ko:K07776	mtuh:I917_03520
ko:K01784	mtuh:I917_03610
ko:K00616	mtuh:I917_10295
ko:K14339	mtuh:I917_10370
ko:K04488	mtuh:I917_10410
ko:K12951	mtuh:I917_10435
ko:K01692	mtuh:I917_10450
ko:K04789	mtuh:I917_16745
ko:K04791	mtuh:I917_16755
ko:K04790	mtuh:I917_16760
ko:K00392	mtuh:I917_16855
ko:K00784	mtuh:I917_16975
ko:K02238	mtuh:I917_17030
ko:K07161	mtuh:I917_17115
ko:K00852	mtuh:I917_17180
ko:K05522	mtuh:I917_23180
ko:K06177	mtuh:I917_23215
ko:K03783	mtuh:I917_23260
ko:K00758	mtuh:I917_23310
ko:K01489	mtuh:I917_23315
ko:K00241	mtuh:I917_23320
ko:K06196	mtuh:I917_03795
ko:K11608	mtuh:I917_03830
ko:K00772	mtuh:I917_03840
ko:K09931	mtuh:I917_03865
ko:K00666	mtuh:I917_03935
ko:K02067	mtuh:I917_24530
ko:K02549	mtuh:I917_03955
ko:K12583	mtuh:I917_03975
ko:K00805	mtuh:I917_04015
ko:K11610	mtuh:I917_10535
ko:K07588	mtuh:I917_10635
ko:K06994	mtuh:I917_10780
ko:K00547	mtuh:I917_17355
ko:K05522	mtuh:I917_17395
ko:K15781	mtuh:I917_17520
ko:K01692	mtuh:I917_17560
ko:K06945	mtuh:I917_23640
ko:K07131	mtuh:I917_23645
ko:K14162	mtuh:I917_23685
ko:K01426	mtuh:I917_23730
ko:K13787	mtuh:I917_23775
ko:K13787	mtuh:I917_23875
ko:K00088	mtuh:I917_23970
ko:K02067	mtuh:I917_04230
ko:K02067	mtuh:I917_04255
