ko:K01151	chc:CPS0C_0014
ko:K02518	chc:CPS0C_0760
ko:K03523	chc:CPS0C_0764
ko:K01714	chc:CPS0C_0771
ko:K00928	chc:CPS0C_0772
ko:K00133	chc:CPS0C_0773
ko:K00215	chc:CPS0C_0774
ko:K09125	chc:CPS0C_0777
ko:K01012	chc:CPS0C_0780
ko:K01935	chc:CPS0C_0782
ko:K00833	chc:CPS0C_0783
ko:K01783	chc:CPS0C_0606
ko:K02356	chc:CPS0C_0607
ko:K02160	chc:CPS0C_0608
ko:K01961	chc:CPS0C_0609
ko:K01951	chc:CPS0C_0624
ko:K03086	chc:CPS0C_1079
ko:K09125	chc:CPS0C_0632
ko:K02968	chc:CPS0C_1081
ko:K03581	chc:CPS0C_1083
ko:K00773	chc:CPS0C_0633
ko:K06137	chc:CPS0C_1074
ko:K13941	chc:CPS0C_1077
ko:K01633	chc:CPS0C_1078
ko:K13789	chc:CPS0C_1087
ko:K02527	chc:CPS0C_0665
ko:K01869	chc:CPS0C_0666
ko:K01972	chc:CPS0C_0670
ko:K03695	chc:CPS0C_0684
ko:K02065	chc:CPS0C_0686
ko:K02066	chc:CPS0C_0687
ko:K01845	chc:CPS0C_0688
ko:K07735	chc:CPS0C_0689
ko:K08999	chc:CPS0C_0690
ko:K01807	chc:CPS0C_0691
ko:K08602	chc:CPS0C_0699
ko:K06890	chc:CPS0C_0854
ko:K03834	chc:CPS0C_0855
ko:K00820	chc:CPS0C_0856
ko:K03431	chc:CPS0C_0857
ko:K00748	chc:CPS0C_0859
ko:K00800	chc:CPS0C_0785
ko:K00891	chc:CPS0C_0786
ko:K01736	chc:CPS0C_0787
ko:K01735	chc:CPS0C_0788
ko:K03758	chc:CPS0C_0794
ko:K00024	chc:CPS0C_0797
ko:K01810	chc:CPS0C_0799
ko:K03527	chc:CPS0C_0808
ko:K03321	chc:CPS0C_0811
ko:K02313	chc:CPS0C_0405
ko:K03438	chc:CPS0C_0408
ko:K03587	chc:CPS0C_0410
ko:K01928	chc:CPS0C_0413
ko:K01448	chc:CPS0C_0414
ko:K01962	chc:CPS0C_0419
ko:K07083	chc:CPS0C_0423
ko:K03621	chc:CPS0C_0875
ko:K02911	chc:CPS0C_0876
ko:K08301	chc:CPS0C_0878
ko:K00630	chc:CPS0C_0879
ko:K00919	chc:CPS0C_0883
ko:K02963	chc:CPS0C_0886
ko:K02990	chc:CPS0C_0887
ko:K01056	chc:CPS0C_0888
ko:K02897	chc:CPS0C_0889
ko:K00703	chc:CPS0C_0891
ko:K00995	chc:CPS0C_0892
ko:K14164	chc:CPS0C_0894
ko:K03555	chc:CPS0C_0900
ko:K03703	chc:CPS0C_0901
ko:K02954	chc:CPS0C_0903
ko:K02919	chc:CPS0C_0904
ko:K13832	chc:CPS0C_0789
ko:K01265	chc:CPS0C_0816
ko:K02956	chc:CPS0C_0827
ko:K00962	chc:CPS0C_0828
ko:K03798	chc:CPS0C_0829
ko:K04075	chc:CPS0C_0830
ko:K07091	chc:CPS0C_0831
ko:K11720	chc:CPS0C_0832
ko:K01889	chc:CPS0C_0835
ko:K02887	chc:CPS0C_0836
ko:K02916	chc:CPS0C_0837
ko:K02520	chc:CPS0C_0838
ko:K03625	chc:CPS0C_0839
ko:K00075	chc:CPS0C_0840
ko:K00208	chc:CPS0C_0428
ko:K03575	chc:CPS0C_0432
ko:K04487	chc:CPS0C_0442
ko:K01494	chc:CPS0C_0446
ko:K03551	chc:CPS0C_0448
ko:K01255	chc:CPS0C_0453
ko:K02939	chc:CPS0C_0884
ko:K03536	chc:CPS0C_1104
ko:K01883	chc:CPS0C_0906
ko:K04567	chc:CPS0C_0907
ko:K04066	chc:CPS0C_0910
ko:K00655	chc:CPS0C_0912
ko:K00263	chc:CPS0C_0914
ko:K09458	chc:CPS0C_0917
ko:K09710	chc:CPS0C_0918
ko:K00791	chc:CPS0C_0922
ko:K03926	chc:CPS0C_0925
ko:K06960	chc:CPS0C_0926
ko:K02563	chc:CPS0C_0928
ko:K09996	chc:CPS0C_0293
ko:K06167	chc:CPS0C_0295
ko:K03665	chc:CPS0C_0296
ko:K09779	chc:CPS0C_0323
ko:K02435	chc:CPS0C_0324
ko:K02434	chc:CPS0C_0326
ko:K06888	chc:CPS0C_0338
ko:K02528	chc:CPS0C_0340
ko:K01662	chc:CPS0C_0341
ko:K03602	chc:CPS0C_0344
ko:K03601	chc:CPS0C_0345
ko:K01803	chc:CPS0C_0346
ko:K03075	chc:CPS0C_0348
ko:K01462	chc:CPS0C_0350
ko:K06287	chc:CPS0C_0353
ko:K03733	chc:CPS0C_0355
ko:K01338	chc:CPS0C_0358
ko:K02970	chc:CPS0C_0361
ko:K03686	chc:CPS0C_0362
ko:K11381	chc:CPS0C_0363
ko:K09747	chc:CPS0C_0369
ko:K02343	chc:CPS0C_0370
ko:K01749	chc:CPS0C_0375
ko:K04485	chc:CPS0C_0376
ko:K03685	chc:CPS0C_0378
ko:K03696	chc:CPS0C_0391
ko:K03800	chc:CPS0C_0393
ko:K02437	chc:CPS0C_0396
ko:K00350	chc:CPS0C_0399
ko:K00349	chc:CPS0C_0400
ko:K00348	chc:CPS0C_0401
ko:K00347	chc:CPS0C_0402
ko:K06925	chc:CPS0C_0098
ko:K03820	chc:CPS0C_0101
ko:K02372	chc:CPS0C_0103
ko:K00604	chc:CPS0C_0105
ko:K02906	chc:CPS0C_0108
ko:K00566	chc:CPS0C_0390
ko:K03439	chc:CPS0C_0843
ko:K09760	chc:CPS0C_0847
ko:K01902	chc:CPS0C_0851
ko:K01903	chc:CPS0C_0852
ko:K03110	chc:CPS0C_0853
ko:K02926	chc:CPS0C_0109
ko:K02931	chc:CPS0C_0120
ko:K00940	chc:CPS0C_0137
ko:K03800	chc:CPS0C_0138
ko:K03495	chc:CPS0C_0139
ko:K00995	chc:CPS0C_0143
ko:K03301	chc:CPS0C_0144
ko:K00859	chc:CPS0C_0147
ko:K03628	chc:CPS0C_0148
ko:K00975	chc:CPS0C_0152
ko:K07099	chc:CPS0C_0153
ko:K01772	chc:CPS0C_0156
ko:K02034	chc:CPS0C_0166
ko:K01890	chc:CPS0C_0169
ko:K03584	chc:CPS0C_0175
ko:K07710	chc:CPS0C_0182
ko:K06173	chc:CPS0C_0186
ko:K00991	chc:CPS0C_0187
ko:K02836	chc:CPS0C_0190
ko:K00790	chc:CPS0C_0196
ko:K01887	chc:CPS0C_0197
ko:K00655	chc:CPS0C_0198
ko:K00945	chc:CPS0C_0199
ko:K00981	chc:CPS0C_0200
ko:K00806	chc:CPS0C_0201
ko:K12257	chc:CPS0C_0205
ko:K07462	chc:CPS0C_0206
ko:K03797	chc:CPS0C_0214
ko:K02950	chc:CPS0C_0219
ko:K02992	chc:CPS0C_0220
ko:K02355	chc:CPS0C_0221
ko:K02946	chc:CPS0C_0222
ko:K01770	chc:CPS0C_0224
ko:K02888	chc:CPS0C_0227
ko:K02899	chc:CPS0C_0228
ko:K09816	chc:CPS0C_1101
ko:K09817	chc:CPS0C_0230
ko:K00788	chc:CPS0C_0233
ko:K00878	chc:CPS0C_0234
ko:K03310	chc:CPS0C_0239
ko:K03101	chc:CPS0C_0240
ko:K06204	chc:CPS0C_0241
ko:K07738	chc:CPS0C_0242
ko:K00793	chc:CPS0C_0243
ko:K06969	chc:CPS0C_0244
ko:K03437	chc:CPS0C_0245
ko:K00912	chc:CPS0C_0246
ko:K00658	chc:CPS0C_0248
ko:K06041	chc:CPS0C_0249
ko:K07164	chc:CPS0C_0250
ko:K00600	chc:CPS0C_0254
ko:K01358	chc:CPS0C_0255
ko:K01778	chc:CPS0C_0256
ko:K03183	chc:CPS0C_0258
ko:K07042	chc:CPS0C_0265
ko:K03652	chc:CPS0C_0269
ko:K12573	chc:CPS0C_0270
ko:K04043	chc:CPS0C_0272
ko:K03687	chc:CPS0C_0273
ko:K03705	chc:CPS0C_0274
ko:K01881	chc:CPS0C_0275
ko:K09131	chc:CPS0C_0278
ko:K10206	chc:CPS0C_0280
ko:K06966	chc:CPS0C_0284
ko:K03162	chc:CPS0C_0058
ko:K14232	chc:CPS0C_0474
ko:K01985	chc:CPS0C_0952
ko:K14228	chc:CPS0C_0802
ko:K14223	chc:CPS0C_0890
ko:K01840	chc:CPS0C_0380
ko:K11645	chc:CPS0C_0550
ko:K15583	chc:CPS0C_0657
ko:K14221	chc:CPS0C_0571
ko:K00850	chc:CPS0C_0660
ko:K10823	chc:CPS0C_0656
ko:K01834	chc:CPS0C_0976
ko:K14226	chc:CPS0C_0956
ko:K07714	chc:CPS0C_0180
ko:K00895	chc:CPS0C_0662
ko:K08719	chc:CPS0C_0985
ko:K02357	chc:CPS0C_0055
ko:K02067	chc:CPS0C_0685
ko:K11707	chc:CPS0C_0485
ko:K11709	chc:CPS0C_0488
ko:K11708	chc:CPS0C_0487
ko:K11710	chc:CPS0C_0486
ko:K14233	chc:CPS0C_0834
ko:K03559	chc:CPS0C_1049
ko:K14219	chc:CPS0C_0026
ko:K14227	chc:CPS0C_0643
ko:K09810	chc:CPS0C_0584
ko:K09015	chc:CPS0C_0064
ko:K14234	chc:CPS0C_0576
ko:K02028	chc:CPS0C_0600
ko:K14233	chc:CPS0C_0232
ko:K14220	chc:CPS0C_0703
ko:K01980	chc:CPS0C_0953
ko:K14224	chc:CPS0C_0052
ko:K00927	chc:CPS0C_0074
ko:K03306	chc:CPS0C_0073
ko:K17103	chc:CPS0C_0846
ko:K00970	chc:CPS0C_0858
ko:K01408	chc:CPS0C_0880
ko:K00652	chc:CPS0C_1105
ko:K01909	chc:CPS0C_0911
ko:K01082	chc:CPS0C_0913
ko:K01507	chc:CPS0C_0915
ko:K07117	chc:CPS0C_0960
ko:K06910	chc:CPS0C_0961
ko:K14219	chc:CPS0C_0178
ko:K04084	chc:CPS0C_1047
ko:K00939	chc:CPS0C_0590
ko:K01409	chc:CPS0C_0597
ko:K00088	chc:CPS0C_0625
ko:K02049	chc:CPS0C_0642
ko:K02035	chc:CPS0C_0651
ko:K02035	chc:CPS0C_0652
ko:K02035	chc:CPS0C_0653
ko:K15582	chc:CPS0C_0655
ko:K06889	chc:CPS0C_0661
ko:K06889	chc:CPS0C_0667
ko:K00972	chc:CPS0C_0983
ko:K01596	chc:CPS0C_0988
ko:K00970	chc:CPS0C_0996
ko:K03227	chc:CPS0C_1013
ko:K02454	chc:CPS0C_1021
ko:K01262	chc:CPS0C_1024
ko:K02124	chc:CPS0C_0739
ko:K02123	chc:CPS0C_0740
ko:K02120	chc:CPS0C_0741
ko:K02118	chc:CPS0C_0742
ko:K02117	chc:CPS0C_0743
ko:K02121	chc:CPS0C_0745
ko:K00616	chc:CPS0C_0748
ko:K00652	chc:CPS0C_0781
ko:K07315	chc:CPS0C_1039
ko:K00241	chc:CPS0C_1045
ko:K03386	chc:CPS0C_1055
ko:K02428	chc:CPS0C_1059
ko:K01934	chc:CPS0C_1072
ko:K04763	chc:CPS0C_0800
ko:K01679	chc:CPS0C_0812
ko:K14218	chc:CPS0C_0005
ko:K14218	chc:CPS0C_0644
ko:K14234	chc:CPS0C_0047
ko:K14229	chc:CPS0C_0051
ko:K14225	chc:CPS0C_0057
ko:K14228	chc:CPS0C_0095
ko:K14228	chc:CPS0C_0133
ko:K14228	chc:CPS0C_0184
ko:K14228	chc:CPS0C_0172
ko:K14233	chc:CPS0C_0142
ko:K14233	chc:CPS0C_0337
ko:K14219	chc:CPS0C_0416
ko:K14219	chc:CPS0C_1056
ko:K14231	chc:CPS0C_0226
ko:K14232	chc:CPS0C_1089
ko:K14237	chc:CPS0C_0572
ko:K14236	chc:CPS0C_0577
ko:K14230	chc:CPS0C_0663
ko:K14230	chc:CPS0C_0664
ko:K14230	chc:CPS0C_0763
ko:K14235	chc:CPS0C_0757
ko:K14222	chc:CPS0C_0934
ko:K01977	chc:CPS0C_0955
ko:K14225	chc:CPS0C_0991
ko:K14234	chc:CPS0C_0759
ko:K14237	chc:CPS0C_0842
ko:K06972	chc:CPS0C_0848
ko:K02886	chc:CPS0C_0111
ko:K02892	chc:CPS0C_0110
ko:K02933	chc:CPS0C_0122
ko:K02988	chc:CPS0C_0124
ko:K02876	chc:CPS0C_0125
ko:K03076	chc:CPS0C_0126
ko:K02952	chc:CPS0C_0127
ko:K00677	chc:CPS0C_0104
ko:K02890	chc:CPS0C_0113
ko:K00134	chc:CPS0C_0131
ko:K02874	chc:CPS0C_0118
ko:K01159	chc:CPS0C_0135
ko:K02878	chc:CPS0C_0115
ko:K02904	chc:CPS0C_0116
ko:K02961	chc:CPS0C_0117
ko:K02895	chc:CPS0C_0119
ko:K02994	chc:CPS0C_0121
ko:K02881	chc:CPS0C_0123
ko:K02535	chc:CPS0C_0102
ko:K02965	chc:CPS0C_0112
ko:K02982	chc:CPS0C_0114
ko:K02948	chc:CPS0C_0128
ko:K03040	chc:CPS0C_0129
ko:K02879	chc:CPS0C_0130
ko:K00762	chc:CPS0C_0151
ko:K03550	chc:CPS0C_0136
ko:K01963	chc:CPS0C_0382
ko:K07037	chc:CPS0C_0371
ko:K04564	chc:CPS0C_0381
ko:K02806	chc:CPS0C_0384
ko:K02806	chc:CPS0C_0385
ko:K07258	chc:CPS0C_0080
ko:K02337	chc:CPS0C_0086
ko:K03671	chc:CPS0C_0094
ko:K07783	chc:CPS0C_0087
ko:K01876	chc:CPS0C_0091
ko:K01892	chc:CPS0C_0090
ko:K04077	chc:CPS0C_1057
ko:K07081	chc:CPS0C_0259
ko:K08275	chc:CPS0C_0498
ko:K08274	chc:CPS0C_0798
ko:K18707	chc:CPS0C_0297
ko:K03111	chc:CPS0C_0452
ko:K03825	chc:CPS0C_0191
ko:K03497	chc:CPS0C_0069
ko:K03496	chc:CPS0C_1033
ko:K02626	chc:CPS0C_0793
ko:K11991	chc:CPS0C_0826
ko:K04771	chc:CPS0C_0850
ko:K19405	chc:CPS0C_0049
ko:K19411	chc:CPS0C_0050
ko:K00500	chc:CPS0C_0776
ko:K11749	chc:CPS0C_0490
ko:K07033	chc:CPS0C_0062
ko:K01802	chc:CPS0C_0092
ko:K03309	chc:CPS0C_0247
ko:K12132	chc:CPS0C_0736
ko:K20074	chc:CPS0C_0441
ko:K20265	chc:CPS0C_0549
ko:K01214	chc:CPS0C_0450
ko:K22099	chc:CPS0C_1075
ko:K00526	chc:CPS0C_0844
ko:K02314	chc:CPS0C_0141
ko:K03553	chc:CPS0C_1073
ko:K00287	chc:CPS0C_1076
ko:K02335	chc:CPS0C_0146
ko:K02316	chc:CPS0C_0899
ko:K01520	chc:CPS0C_0383
ko:K00525	chc:CPS0C_0845
ko:K02031	chc:CPS0C_0071
ko:K02050	chc:CPS0C_0813
ko:K02051	chc:CPS0C_0813
ko:K01829	chc:CPS0C_0905
ko:K01534	chc:CPS0C_0971
ko:K16239	chc:CPS0C_0502
