ko:K01006	lmog:BN389_18920
ko:K14155	lmog:BN389_23350
ko:K02003	lmog:BN389_23370
ko:K02760	lmog:BN389_23380
ko:K00928	lmog:BN389_23390
ko:K09013	lmog:BN389_23780
ko:K02073	lmog:BN389_23800
ko:K02072	lmog:BN389_23810
ko:K02071	lmog:BN389_23820
ko:K02437	lmog:BN389_23880
ko:K05837	lmog:BN389_23900
ko:K05837	lmog:BN389_23910
ko:K01875	lmog:BN389_27220
ko:K06412	lmog:BN389_02090
ko:K06412	lmog:BN389_02100
ko:K04042	lmog:BN389_02120
ko:K00948	lmog:BN389_02130
ko:K01114	lmog:BN389_02190
ko:K02897	lmog:BN389_02250
ko:K01056	lmog:BN389_02270
ko:K03723	lmog:BN389_02280
ko:K07571	lmog:BN389_02320
ko:K03798	lmog:BN389_02340
ko:K03525	lmog:BN389_02350
ko:K04083	lmog:BN389_02360
ko:K01738	lmog:BN389_02370
ko:K00796	lmog:BN389_02380
ko:K01633	lmog:BN389_02390
ko:K00950	lmog:BN389_02400
ko:K04567	lmog:BN389_02430
ko:K01223	lmog:BN389_02940
ko:K02072	lmog:BN389_03070
ko:K02071	lmog:BN389_03080
ko:K02073	lmog:BN389_03090
ko:K00783	lmog:BN389_03170
ko:K02761	lmog:BN389_03220
ko:K02760	lmog:BN389_03230
ko:K02759	lmog:BN389_03250
ko:K03707	lmog:BN389_03360
ko:K00878	lmog:BN389_03370
ko:K00941	lmog:BN389_03380
ko:K00788	lmog:BN389_03390
ko:K01223	lmog:BN389_03400
ko:K00615	lmog:BN389_03650
ko:K01808	lmog:BN389_03680
ko:K01803	lmog:BN389_03690
ko:K05879	lmog:BN389_03700
ko:K05878	lmog:BN389_03710
ko:K02769	lmog:BN389_03820
ko:K02770	lmog:BN389_03820
ko:K01624	lmog:BN389_03830
ko:K05995	lmog:BN389_03860
ko:K06193	lmog:BN389_03900
ko:K02761	lmog:BN389_03930
ko:K02760	lmog:BN389_03940
ko:K06608	lmog:BN389_03980
ko:K00140	lmog:BN389_03990
ko:K03337	lmog:BN389_04010
ko:K03338	lmog:BN389_04020
ko:K03336	lmog:BN389_04030
ko:K03648	lmog:BN389_04070
ko:K00286	lmog:BN389_04130
ko:K02003	lmog:BN389_04220
ko:K03306	lmog:BN389_04330
ko:K07238	lmog:BN389_04410
ko:K06885	lmog:BN389_05110
ko:K06941	lmog:BN389_05170
ko:K13653	lmog:BN389_05180
ko:K02911	lmog:BN389_05250
ko:K00014	lmog:BN389_05290
ko:K03785	lmog:BN389_05300
ko:K06978	lmog:BN389_05320
ko:K01808	lmog:BN389_05360
ko:K01783	lmog:BN389_05370
ko:K02773	lmog:BN389_05410
ko:K01783	lmog:BN389_05430
ko:K02774	lmog:BN389_05450
ko:K00948	lmog:BN389_05470
ko:K02501	lmog:BN389_06020
ko:K01693	lmog:BN389_06030
ko:K00013	lmog:BN389_06040
ko:K02502	lmog:BN389_06050
ko:K04486	lmog:BN389_06060
ko:K07443	lmog:BN389_06070
ko:K06901	lmog:BN389_06100
ko:K01223	lmog:BN389_06110
ko:K06999	lmog:BN389_06170
ko:K06969	lmog:BN389_06180
ko:K03070	lmog:BN389_06200
ko:K01669	lmog:BN389_06250
ko:K00641	lmog:BN389_06310
ko:K01740	lmog:BN389_06320
ko:K03523	lmog:BN389_06350
ko:K01118	lmog:BN389_06480
ko:K00868	lmog:BN389_07050
ko:K02419	lmog:BN389_07220
ko:K02420	lmog:BN389_07230
ko:K02421	lmog:BN389_07240
ko:K02401	lmog:BN389_07250
ko:K02400	lmog:BN389_07260
ko:K02404	lmog:BN389_07270
ko:K02392	lmog:BN389_07280
ko:K02556	lmog:BN389_07310
ko:K02557	lmog:BN389_07320
ko:K03415	lmog:BN389_07350
ko:K02406	lmog:BN389_07360
ko:K03413	lmog:BN389_07370
ko:K03407	lmog:BN389_07380
ko:K02417	lmog:BN389_07390
ko:K02389	lmog:BN389_07420
ko:K02390	lmog:BN389_07430
ko:K02417	lmog:BN389_07440
ko:K02416	lmog:BN389_07450
ko:K02417	lmog:BN389_07460
ko:K09770	lmog:BN389_07490
ko:K02396	lmog:BN389_07510
ko:K02397	lmog:BN389_07520
ko:K02407	lmog:BN389_07530
ko:K02422	lmog:BN389_07540
ko:K02387	lmog:BN389_07560
ko:K02388	lmog:BN389_07570
ko:K01442	lmog:BN389_20960
ko:K04077	lmog:BN389_20970
ko:K04078	lmog:BN389_20980
ko:K01926	lmog:BN389_21010
ko:K06158	lmog:BN389_21020
ko:K06925	lmog:BN389_21060
ko:K06199	lmog:BN389_21090
ko:K06199	lmog:BN389_21100
ko:K02529	lmog:BN389_00410
ko:K02761	lmog:BN389_00440
ko:K13252	lmog:BN389_00460
ko:K10536	lmog:BN389_00480
ko:K00926	lmog:BN389_00490
ko:K10536	lmog:BN389_00500
ko:K03481	lmog:BN389_00510
ko:K03975	lmog:BN389_00520
ko:K02990	lmog:BN389_00540
ko:K02963	lmog:BN389_00560
ko:K07813	lmog:BN389_00580
ko:K07707	lmog:BN389_00610
ko:K02939	lmog:BN389_00630
ko:K01939	lmog:BN389_00660
ko:K03466	lmog:BN389_00730
ko:K10778	lmog:BN389_00940
ko:K03470	lmog:BN389_12980
ko:K04096	lmog:BN389_12990
ko:K03168	lmog:BN389_13000
ko:K04094	lmog:BN389_13010
ko:K03733	lmog:BN389_13020
ko:K01419	lmog:BN389_13030
ko:K03667	lmog:BN389_13040
ko:K03706	lmog:BN389_13050
ko:K07107	lmog:BN389_13060
ko:K08591	lmog:BN389_13090
ko:K02622	lmog:BN389_13110
ko:K02621	lmog:BN389_13120
ko:K07173	lmog:BN389_13130
ko:K01126	lmog:BN389_13160
ko:K00111	lmog:BN389_13170
ko:K00791	lmog:BN389_13180
ko:K03666	lmog:BN389_13190
ko:K03665	lmog:BN389_13200
ko:K01915	lmog:BN389_13230
ko:K03893	lmog:BN389_13250
ko:K01356	lmog:BN389_13270
ko:K00615	lmog:BN389_13300
ko:K09903	lmog:BN389_13370
ko:K02838	lmog:BN389_13380
ko:K00806	lmog:BN389_13390
ko:K00981	lmog:BN389_13400
ko:K00099	lmog:BN389_13410
ko:K00605	lmog:BN389_13720
ko:K00282	lmog:BN389_13730
ko:K00283	lmog:BN389_13740
ko:K02356	lmog:BN389_13790
ko:K02160	lmog:BN389_13800
ko:K01961	lmog:BN389_13810
ko:K03625	lmog:BN389_13830
ko:K01491	lmog:BN389_13840
ko:K03601	lmog:BN389_13850
ko:K03602	lmog:BN389_13860
ko:K13789	lmog:BN389_13870
ko:K03704	lmog:BN389_13880
ko:K01662	lmog:BN389_13890
ko:K06442	lmog:BN389_13900
ko:K03402	lmog:BN389_13910
ko:K03631	lmog:BN389_13920
ko:K00995	lmog:BN389_14220
ko:K03823	lmog:BN389_14260
ko:K09769	lmog:BN389_14270
ko:K03555	lmog:BN389_14290
ko:K03572	lmog:BN389_14300
ko:K00656	lmog:BN389_14320
ko:K04069	lmog:BN389_14330
ko:K07727	lmog:BN389_14370
ko:K09816	lmog:BN389_14720
ko:K09817	lmog:BN389_14730
ko:K01151	lmog:BN389_14750
ko:K03527	lmog:BN389_14770
ko:K06967	lmog:BN389_14790
ko:K03086	lmog:BN389_14800
ko:K09768	lmog:BN389_14820
ko:K09773	lmog:BN389_14830
ko:K01879	lmog:BN389_14840
ko:K01878	lmog:BN389_14850
ko:K03584	lmog:BN389_14860
ko:K07042	lmog:BN389_14900
ko:K07015	lmog:BN389_15170
ko:K03624	lmog:BN389_15210
ko:K00876	lmog:BN389_15220
ko:K07082	lmog:BN389_15240
ko:K07447	lmog:BN389_15270
ko:K01872	lmog:BN389_15290
ko:K02003	lmog:BN389_15300
ko:K03581	lmog:BN389_15340
ko:K00566	lmog:BN389_15370
ko:K04487	lmog:BN389_15380
ko:K07478	lmog:BN389_15390
ko:K03320	lmog:BN389_15410
ko:K00031	lmog:BN389_15910
ko:K01647	lmog:BN389_15920
ko:K07113	lmog:BN389_15940
ko:K00873	lmog:BN389_15950
ko:K00850	lmog:BN389_15960
ko:K01962	lmog:BN389_15970
ko:K01963	lmog:BN389_15980
ko:K02337	lmog:BN389_15990
ko:K01624	lmog:BN389_21660
ko:K01624	lmog:BN389_21670
ko:K03710	lmog:BN389_21770
ko:K03671	lmog:BN389_21850
ko:K02016	lmog:BN389_22180
ko:K08602	lmog:BN389_22220
ko:K16511	lmog:BN389_22240
ko:K15581	lmog:BN389_22280
ko:K15580	lmog:BN389_22290
ko:K01867	lmog:BN389_22310
ko:K09458	lmog:BN389_22340
ko:K00648	lmog:BN389_22350
ko:K03695	lmog:BN389_22390
ko:K06890	lmog:BN389_22400
ko:K00014	lmog:BN389_22680
ko:K13531	lmog:BN389_22730
ko:K13530	lmog:BN389_22740
ko:K06180	lmog:BN389_22750
ko:K07220	lmog:BN389_22790
ko:K03306	lmog:BN389_22800
ko:K06901	lmog:BN389_22850
ko:K05520	lmog:BN389_22870
ko:K02759	lmog:BN389_22890
ko:K00299	lmog:BN389_23170
ko:K01421	lmog:BN389_23260
ko:K05566	lmog:BN389_23460
ko:K05567	lmog:BN389_23470
ko:K05569	lmog:BN389_23490
ko:K05571	lmog:BN389_23510
ko:K09775	lmog:BN389_23530
ko:K03885	lmog:BN389_23570
ko:K02015	lmog:BN389_23920
ko:K02016	lmog:BN389_23930
ko:K03092	lmog:BN389_24240
ko:K01273	lmog:BN389_24250
ko:K01358	lmog:BN389_24310
ko:K06958	lmog:BN389_24370
ko:K02036	lmog:BN389_24590
ko:K02038	lmog:BN389_24600
ko:K02037	lmog:BN389_24610
ko:K02040	lmog:BN389_24620
ko:K07636	lmog:BN389_24630
ko:K06131	lmog:BN389_24660
ko:K09811	lmog:BN389_24690
ko:K09812	lmog:BN389_24700
ko:K02836	lmog:BN389_24720
ko:K03070	lmog:BN389_24730
ko:K07566	lmog:BN389_25030
ko:K00872	lmog:BN389_25070
ko:K01733	lmog:BN389_25080
ko:K00003	lmog:BN389_25090
ko:K02909	lmog:BN389_25100
ko:K03628	lmog:BN389_25120
ko:K00790	lmog:BN389_25130
ko:K13678	lmog:BN389_25150
ko:K01937	lmog:BN389_25200
ko:K06978	lmog:BN389_27310
ko:K03654	lmog:BN389_27330
ko:K01223	lmog:BN389_27380
ko:K02760	lmog:BN389_27390
ko:K02761	lmog:BN389_27400
ko:K02759	lmog:BN389_27420
ko:K05340	lmog:BN389_04480
ko:K03924	lmog:BN389_04940
ko:K09703	lmog:BN389_04970
ko:K07282	lmog:BN389_05540
ko:K07166	lmog:BN389_05700
ko:K09157	lmog:BN389_05710
ko:K02083	lmog:BN389_05740
ko:K02016	lmog:BN389_05780
ko:K02781	lmog:BN389_05790
ko:K08325	lmog:BN389_05910
ko:K03305	lmog:BN389_05920
ko:K00262	lmog:BN389_05970
ko:K02500	lmog:BN389_06000
ko:K01814	lmog:BN389_06010
ko:K01126	lmog:BN389_06530
ko:K07090	lmog:BN389_06580
ko:K11203	lmog:BN389_06690
ko:K11202	lmog:BN389_06700
ko:K01534	lmog:BN389_06790
ko:K03284	lmog:BN389_06870
ko:K01421	lmog:BN389_06890
ko:K08976	lmog:BN389_06960
ko:K02408	lmog:BN389_07580
ko:K00259	lmog:BN389_16040
ko:K00925	lmog:BN389_16060
ko:K11065	lmog:BN389_16080
ko:K04773	lmog:BN389_16100
ko:K00858	lmog:BN389_16110
ko:K00611	lmog:BN389_16120
ko:K00930	lmog:BN389_16140
ko:K00824	lmog:BN389_16420
ko:K01695	lmog:BN389_16500
ko:K01696	lmog:BN389_16510
ko:K01817	lmog:BN389_16520
ko:K01609	lmog:BN389_16530
ko:K00766	lmog:BN389_16540
ko:K01657	lmog:BN389_16560
ko:K04072	lmog:BN389_16580
ko:K01246	lmog:BN389_16630
ko:K01681	lmog:BN389_16650
ko:K01953	lmog:BN389_16910
ko:K00789	lmog:BN389_16920
ko:K08998	lmog:BN389_16980
ko:K01911	lmog:BN389_17000
ko:K01661	lmog:BN389_17010
ko:K02551	lmog:BN389_17030
ko:K02548	lmog:BN389_17050
ko:K00549	lmog:BN389_17090
ko:K03575	lmog:BN389_17170
ko:K07038	lmog:BN389_17180
ko:K03565	lmog:BN389_17210
ko:K07071	lmog:BN389_17220
ko:K14205	lmog:BN389_17230
ko:K03790	lmog:BN389_17260
ko:K07058	lmog:BN389_17340
ko:K01265	lmog:BN389_17370
ko:K03839	lmog:BN389_17380
ko:K03569	lmog:BN389_17410
ko:K02029	lmog:BN389_17670
ko:K01486	lmog:BN389_17690
ko:K02003	lmog:BN389_17740
ko:K00891	lmog:BN389_17760
ko:K03215	lmog:BN389_17780
ko:K02434	lmog:BN389_17810
ko:K02435	lmog:BN389_17830
ko:K01972	lmog:BN389_17850
ko:K03657	lmog:BN389_17860
ko:K03308	lmog:BN389_17880
ko:K01945	lmog:BN389_17910
ko:K00645	lmog:BN389_18340
ko:K03621	lmog:BN389_18350
ko:K03655	lmog:BN389_18370
ko:K01752	lmog:BN389_18380
ko:K02902	lmog:BN389_18410
ko:K01783	lmog:BN389_18430
ko:K06949	lmog:BN389_18440
ko:K03500	lmog:BN389_18470
ko:K00604	lmog:BN389_18480
ko:K04066	lmog:BN389_18490
ko:K13038	lmog:BN389_18500
ko:K03060	lmog:BN389_18510
ko:K00942	lmog:BN389_18520
ko:K00762	lmog:BN389_18560
ko:K01591	lmog:BN389_18570
ko:K01919	lmog:BN389_27480
ko:K01223	lmog:BN389_27490
ko:K02003	lmog:BN389_27530
ko:K02409	lmog:BN389_07590
ko:K02410	lmog:BN389_07600
ko:K02411	lmog:BN389_07610
ko:K02412	lmog:BN389_07620
ko:K00820	lmog:BN389_07720
ko:K07726	lmog:BN389_07780
ko:K15975	lmog:BN389_07920
ko:K06999	lmog:BN389_07930
ko:K03665	lmog:BN389_07950
ko:K03800	lmog:BN389_07970
ko:K01118	lmog:BN389_08120
ko:K11737	lmog:BN389_08130
ko:K07150	lmog:BN389_08200
ko:K07118	lmog:BN389_08210
ko:K05786	lmog:BN389_08220
ko:K11733	lmog:BN389_08250
ko:K00847	lmog:BN389_08400
ko:K03324	lmog:BN389_08560
ko:K03737	lmog:BN389_08570
ko:K00231	lmog:BN389_09130
ko:K00997	lmog:BN389_09140
ko:K01775	lmog:BN389_09150
ko:K07723	lmog:BN389_09160
ko:K03321	lmog:BN389_09260
ko:K06959	lmog:BN389_09270
ko:K02761	lmog:BN389_09320
ko:K02760	lmog:BN389_09450
ko:K02761	lmog:BN389_09460
ko:K02759	lmog:BN389_09470
ko:K01223	lmog:BN389_09480
ko:K07089	lmog:BN389_09510
ko:K01807	lmog:BN389_10060
ko:K00826	lmog:BN389_10090
ko:K00432	lmog:BN389_10140
ko:K02837	lmog:BN389_10190
ko:K05823	lmog:BN389_10430
ko:K02000	lmog:BN389_10460
ko:K02001	lmog:BN389_10470
ko:K02002	lmog:BN389_10480
ko:K00243	lmog:BN389_10510
ko:K11622	lmog:BN389_10520
ko:K03588	lmog:BN389_11000
ko:K02016	lmog:BN389_11020
ko:K00963	lmog:BN389_11120
ko:K00763	lmog:BN389_11190
ko:K02760	lmog:BN389_11220
ko:K01951	lmog:BN389_11230
ko:K03827	lmog:BN389_11440
ko:K04032	lmog:BN389_12000
ko:K04023	lmog:BN389_12050
ko:K04030	lmog:BN389_12060
ko:K02224	lmog:BN389_12090
ko:K02227	lmog:BN389_12100
ko:K06042	lmog:BN389_12110
ko:K02188	lmog:BN389_12120
ko:K02191	lmog:BN389_12140
ko:K05936	lmog:BN389_12150
ko:K02189	lmog:BN389_12160
ko:K05895	lmog:BN389_12180
ko:K13542	lmog:BN389_12190
ko:K03394	lmog:BN389_12210
ko:K02007	lmog:BN389_12220
ko:K02232	lmog:BN389_12260
ko:K09936	lmog:BN389_12280
ko:K09936	lmog:BN389_12290
ko:K03437	lmog:BN389_12360
ko:K01889	lmog:BN389_12390
ko:K01890	lmog:BN389_12400
ko:K02003	lmog:BN389_12410
ko:K03648	lmog:BN389_12450
ko:K09888	lmog:BN389_12470
ko:K02996	lmog:BN389_25560
ko:K02871	lmog:BN389_25570
ko:K06173	lmog:BN389_25580
ko:K07507	lmog:BN389_25620
ko:K02879	lmog:BN389_25650
ko:K03040	lmog:BN389_25660
ko:K02948	lmog:BN389_25670
ko:K02952	lmog:BN389_25680
ko:K02919	lmog:BN389_25690
ko:K03076	lmog:BN389_25720
ko:K02876	lmog:BN389_25730
ko:K02907	lmog:BN389_25740
ko:K02988	lmog:BN389_25750
ko:K02881	lmog:BN389_25760
ko:K02933	lmog:BN389_25770
ko:K02994	lmog:BN389_25780
ko:K02954	lmog:BN389_25790
ko:K02931	lmog:BN389_25800
ko:K02895	lmog:BN389_25810
ko:K02874	lmog:BN389_25820
ko:K02961	lmog:BN389_25830
ko:K02904	lmog:BN389_25840
ko:K02878	lmog:BN389_25850
ko:K02982	lmog:BN389_25860
ko:K02890	lmog:BN389_25870
ko:K02965	lmog:BN389_25880
ko:K02886	lmog:BN389_25890
ko:K02892	lmog:BN389_25900
ko:K02926	lmog:BN389_25910
ko:K02906	lmog:BN389_25920
ko:K02946	lmog:BN389_25930
ko:K03734	lmog:BN389_25960
ko:K03885	lmog:BN389_25980
ko:K02358	lmog:BN389_26180
ko:K02355	lmog:BN389_26190
ko:K02992	lmog:BN389_26200
ko:K02950	lmog:BN389_26210
ko:K01129	lmog:BN389_26220
ko:K01783	lmog:BN389_26250
ko:K00615	lmog:BN389_26260
ko:K01783	lmog:BN389_26270
ko:K01808	lmog:BN389_26280
ko:K02774	lmog:BN389_26320
ko:K02773	lmog:BN389_26330
ko:K01808	lmog:BN389_26400
ko:K07667	lmog:BN389_26440
ko:K07646	lmog:BN389_26450
ko:K01548	lmog:BN389_26460
ko:K01547	lmog:BN389_26470
ko:K01546	lmog:BN389_26480
ko:K02760	lmog:BN389_26500
ko:K02761	lmog:BN389_26510
ko:K02759	lmog:BN389_26520
ko:K01531	lmog:BN389_26550
ko:K00943	lmog:BN389_26610
ko:K05878	lmog:BN389_26630
ko:K05879	lmog:BN389_26640
ko:K08310	lmog:BN389_26680
ko:K07090	lmog:BN389_23700
ko:K09014	lmog:BN389_23740
ko:K11717	lmog:BN389_23760
ko:K09015	lmog:BN389_23770
ko:K03664	lmog:BN389_24110
ko:K12573	lmog:BN389_24120
ko:K03928	lmog:BN389_24130
ko:K03075	lmog:BN389_24140
ko:K01689	lmog:BN389_24180
ko:K15633	lmog:BN389_24190
ko:K01803	lmog:BN389_24200
ko:K00927	lmog:BN389_24210
ko:K00134	lmog:BN389_24220
ko:K05311	lmog:BN389_24230
ko:K00384	lmog:BN389_24410
ko:K06019	lmog:BN389_24440
ko:K13292	lmog:BN389_24450
ko:K04751	lmog:BN389_15420
ko:K01876	lmog:BN389_15440
ko:K01892	lmog:BN389_15450
ko:K01448	lmog:BN389_15460
ko:K07560	lmog:BN389_15470
ko:K00759	lmog:BN389_15490
ko:K07462	lmog:BN389_15500
ko:K12257	lmog:BN389_15520
ko:K03210	lmog:BN389_15540
ko:K00773	lmog:BN389_15550
ko:K07568	lmog:BN389_15560
ko:K03551	lmog:BN389_15570
ko:K03550	lmog:BN389_15580
ko:K03979	lmog:BN389_15620
ko:K00864	lmog:BN389_15630
ko:K02440	lmog:BN389_15640
ko:K02899	lmog:BN389_15650
ko:K00620	lmog:BN389_16150
ko:K00145	lmog:BN389_16160
ko:K03151	lmog:BN389_16170
ko:K04487	lmog:BN389_16180
ko:K02986	lmog:BN389_16210
ko:K01866	lmog:BN389_16220
ko:K02529	lmog:BN389_16230
ko:K13853	lmog:BN389_16240
ko:K01924	lmog:BN389_16290
ko:K03466	lmog:BN389_16300
ko:K06878	lmog:BN389_16310
ko:K03439	lmog:BN389_16390
ko:K03547	lmog:BN389_16700
ko:K00655	lmog:BN389_16710
ko:K02357	lmog:BN389_16820
ko:K02967	lmog:BN389_16830
ko:K07106	lmog:BN389_16860
ko:K01869	lmog:BN389_16880
ko:K07139	lmog:BN389_16890
ko:K01845	lmog:BN389_17130
ko:K10780	lmog:BN389_17160
ko:K02759	lmog:BN389_17460
ko:K02760	lmog:BN389_17470
ko:K02529	lmog:BN389_17540
ko:K05349	lmog:BN389_17560
ko:K00266	lmog:BN389_17600
ko:K08317	lmog:BN389_17640
ko:K00602	lmog:BN389_17920
ko:K11175	lmog:BN389_17930
ko:K01933	lmog:BN389_17940
ko:K00764	lmog:BN389_17950
ko:K01952	lmog:BN389_17960
ko:K01952	lmog:BN389_17970
ko:K01952	lmog:BN389_17980
ko:K01923	lmog:BN389_17990
ko:K01756	lmog:BN389_18000
ko:K01589	lmog:BN389_18010
ko:K01588	lmog:BN389_18020
ko:K06950	lmog:BN389_18040
ko:K02013	lmog:BN389_18050
ko:K01142	lmog:BN389_18090
ko:K02887	lmog:BN389_18100
ko:K02916	lmog:BN389_18110
ko:K02520	lmog:BN389_18120
ko:K01955	lmog:BN389_18600
ko:K01956	lmog:BN389_18610
ko:K01465	lmog:BN389_18620
ko:K00609	lmog:BN389_18630
ko:K02825	lmog:BN389_18650
ko:K06180	lmog:BN389_18680
ko:K03101	lmog:BN389_18690
ko:K06901	lmog:BN389_18700
ko:K03327	lmog:BN389_18710
ko:K03797	lmog:BN389_18760
ko:K16169	lmog:BN389_19090
ko:K08972	lmog:BN389_24470
ko:K03701	lmog:BN389_24510
ko:K03702	lmog:BN389_24520
ko:K07023	lmog:BN389_24540
ko:K02039	lmog:BN389_24570
ko:K02036	lmog:BN389_24580
ko:K05946	lmog:BN389_24840
ko:K03569	lmog:BN389_24870
ko:K00790	lmog:BN389_24880
ko:K01887	lmog:BN389_25230
ko:K01821	lmog:BN389_25250
ko:K06885	lmog:BN389_25260
ko:K08281	lmog:BN389_25330
ko:K16264	lmog:BN389_25370
ko:K06942	lmog:BN389_27590
ko:K02759	lmog:BN389_27600
ko:K05349	lmog:BN389_27610
ko:K02760	lmog:BN389_27620
ko:K02761	lmog:BN389_27630
ko:K03781	lmog:BN389_27650
ko:K03501	lmog:BN389_27790
ko:K03495	lmog:BN389_27910
ko:K03650	lmog:BN389_27920
ko:K08170	lmog:BN389_27990
ko:K00831	lmog:BN389_28070
ko:K07078	lmog:BN389_28110
ko:K00865	lmog:BN389_28140
ko:K03534	lmog:BN389_28270
ko:K00848	lmog:BN389_28300
ko:K03217	lmog:BN389_28350
ko:K03536	lmog:BN389_28360
ko:K02914	lmog:BN389_28370
ko:K02313	lmog:BN389_00010
ko:K02338	lmog:BN389_00020
ko:K03629	lmog:BN389_00050
ko:K02470	lmog:BN389_00060
ko:K02469	lmog:BN389_00070
ko:K06131	lmog:BN389_00080
ko:K02826	lmog:BN389_00170
ko:K02827	lmog:BN389_00180
ko:K02828	lmog:BN389_00190
ko:K02829	lmog:BN389_00200
ko:K07282	lmog:BN389_00210
ko:K01223	lmog:BN389_00220
ko:K04041	lmog:BN389_08580
ko:K07088	lmog:BN389_08590
ko:K13256	lmog:BN389_08640
ko:K01921	lmog:BN389_08830
ko:K01929	lmog:BN389_08840
ko:K02529	lmog:BN389_08860
ko:K05592	lmog:BN389_08940
ko:K02759	lmog:BN389_09030
ko:K02760	lmog:BN389_09040
ko:K02761	lmog:BN389_09050
ko:K03652	lmog:BN389_09580
ko:K03800	lmog:BN389_09610
ko:K03216	lmog:BN389_09650
ko:K04079	lmog:BN389_09710
ko:K04047	lmog:BN389_09720
ko:K03449	lmog:BN389_09760
ko:K01443	lmog:BN389_09850
ko:K03710	lmog:BN389_09870
ko:K08303	lmog:BN389_09910
ko:K03744	lmog:BN389_09920
ko:K03799	lmog:BN389_09930
ko:K00858	lmog:BN389_09980
ko:K06180	lmog:BN389_09990
ko:K00208	lmog:BN389_10000
ko:K03740	lmog:BN389_10010
ko:K14188	lmog:BN389_10020
ko:K03739	lmog:BN389_10030
ko:K03367	lmog:BN389_10040
ko:K02529	lmog:BN389_10620
ko:K00615	lmog:BN389_10640
ko:K00615	lmog:BN389_10650
ko:K00864	lmog:BN389_10660
ko:K02018	lmog:BN389_10710
ko:K02020	lmog:BN389_10720
ko:K03750	lmog:BN389_10730
ko:K03753	lmog:BN389_10740
ko:K03636	lmog:BN389_10760
ko:K03637	lmog:BN389_10770
