ko:K19743	apt:APA01_08140
ko:K03496	apt:APA01_26650
ko:K03501	apt:APA01_26660
ko:K03495	apt:APA01_26670
ko:K03650	apt:APA01_26680
ko:K00567	apt:APA01_26690
ko:K06966	apt:APA01_26740
ko:K08973	apt:APA01_26770
ko:K01599	apt:APA01_26790
ko:K06287	apt:APA01_26800
ko:K02426	apt:APA01_10250
ko:K07302	apt:APA01_10270
ko:K02916	apt:APA01_10300
ko:K02887	apt:APA01_10310
ko:K01889	apt:APA01_10320
ko:K01890	apt:APA01_10330
ko:K02040	apt:APA01_10340
ko:K02035	apt:APA01_10350
ko:K02986	apt:APA01_10390
ko:K02837	apt:APA01_10400
ko:K01262	apt:APA01_10430
ko:K02687	apt:APA01_10440
ko:K03657	apt:APA01_10450
ko:K03630	apt:APA01_10460
ko:K03630	apt:APA01_10470
ko:K01589	apt:APA01_10480
ko:K01588	apt:APA01_10490
ko:K09987	apt:APA01_10520
ko:K04080	apt:APA01_10530
ko:K02909	apt:APA01_10540
ko:K03282	apt:APA01_10550
ko:K00525	apt:APA01_10600
ko:K00526	apt:APA01_10610
ko:K02523	apt:APA01_10630
ko:K01776	apt:APA01_10640
ko:K00762	apt:APA01_10650
ko:K01647	apt:APA01_10670
ko:K08296	apt:APA01_10680
ko:K03529	apt:APA01_10730
ko:K02014	apt:APA01_15610
ko:K09958	apt:APA01_15640
ko:K07507	apt:APA01_15670
ko:K01577	apt:APA01_15720
ko:K08169	apt:APA01_15800
ko:K00661	apt:APA01_15820
ko:K11720	apt:APA01_16110
ko:K01091	apt:APA01_16140
ko:K04042	apt:APA01_16150
ko:K00820	apt:APA01_16160
ko:K12979	apt:APA01_02500
ko:K09758	apt:APA01_04430
ko:K04047	apt:APA01_04480
ko:K00057	apt:APA01_04490
ko:K07303	apt:APA01_04660
ko:K07302	apt:APA01_04670
ko:K02014	apt:APA01_04950
ko:K00812	apt:APA01_20750
ko:K02433	apt:APA01_20770
ko:K06044	apt:APA01_20790
ko:K01236	apt:APA01_20800
ko:K00700	apt:APA01_20810
ko:K00703	apt:APA01_20820
ko:K00156	apt:APA01_20860
ko:K07152	apt:APA01_20910
ko:K02014	apt:APA01_20920
ko:K01887	apt:APA01_21180
ko:K01129	apt:APA01_21190
ko:K01142	apt:APA01_21210
ko:K06136	apt:APA01_21260
ko:K06137	apt:APA01_21270
ko:K03522	apt:APA01_05800
ko:K02429	apt:APA01_05830
ko:K07267	apt:APA01_05850
ko:K03306	apt:APA01_05920
ko:K00627	apt:APA01_05960
ko:K03885	apt:APA01_05990
ko:K07137	apt:APA01_06050
ko:K00873	apt:APA01_06160
ko:K06207	apt:APA01_06200
ko:K00285	apt:APA01_06230
ko:K00384	apt:APA01_06240
ko:K00031	apt:APA01_06250
ko:K01915	apt:APA01_06310
ko:K03596	apt:APA01_06360
ko:K00641	apt:APA01_06370
ko:K11927	apt:APA01_06390
ko:K01673	apt:APA01_06410
ko:K02051	apt:APA01_19520
ko:K01885	apt:APA01_19180
ko:K07233	apt:APA01_19240
ko:K00053	apt:APA01_19250
ko:K01653	apt:APA01_19260
ko:K01652	apt:APA01_19270
ko:K00791	apt:APA01_19280
ko:K00600	apt:APA01_19360
ko:K03294	apt:APA01_19370
ko:K01698	apt:APA01_19380
ko:K02621	apt:APA01_19400
ko:K03584	apt:APA01_19410
ko:K02357	apt:APA01_19420
ko:K02967	apt:APA01_19430
ko:K00826	apt:APA01_19460
ko:K01665	apt:APA01_19470
ko:K02337	apt:APA01_19490
ko:K01918	apt:APA01_19480
ko:K00940	apt:APA01_19610
ko:K06158	apt:APA01_19620
ko:K02520	apt:APA01_19670
ko:K01868	apt:APA01_19680
ko:K00858	apt:APA01_19720
ko:K03469	apt:APA01_19750
ko:K02204	apt:APA01_19760
ko:K03527	apt:APA01_19770
ko:K08602	apt:APA01_19800
ko:K00265	apt:APA01_19810
ko:K00266	apt:APA01_19820
ko:K00812	apt:APA01_19530
ko:K00812	apt:APA01_19540
ko:K01894	apt:APA01_19550
ko:K01448	apt:APA01_19860
ko:K08300	apt:APA01_19870
ko:K00765	apt:APA01_19880
ko:K00013	apt:APA01_19890
ko:K06138	apt:APA01_21280
ko:K06139	apt:APA01_21290
ko:K01358	apt:APA01_21310
ko:K00003	apt:APA01_21340
ko:K07462	apt:APA01_21360
ko:K03089	apt:APA01_21370
ko:K06180	apt:APA01_21380
ko:K02015	apt:APA01_21390
ko:K02013	apt:APA01_21400
ko:K00826	apt:APA01_21420
ko:K00566	apt:APA01_25990
ko:K04755	apt:APA01_26000
ko:K04487	apt:APA01_26010
ko:K04487	apt:APA01_26020
ko:K07018	apt:APA01_26030
ko:K02533	apt:APA01_26040
ko:K01883	apt:APA01_26050
ko:K01963	apt:APA01_26080
ko:K03671	apt:APA01_26090
ko:K06925	apt:APA01_26120
ko:K03431	apt:APA01_26140
ko:K00796	apt:APA01_26150
ko:K03798	apt:APA01_26160
ko:K04075	apt:APA01_26170
ko:K03640	apt:APA01_26190
ko:K03641	apt:APA01_26200
ko:K03562	apt:APA01_26230
ko:K07107	apt:APA01_26240
ko:K03551	apt:APA01_26250
ko:K03550	apt:APA01_26260
ko:K01159	apt:APA01_26270
ko:K03070	apt:APA01_26290
ko:K03769	apt:APA01_26300
ko:K00620	apt:APA01_26310
ko:K00286	apt:APA01_26410
ko:K03530	apt:APA01_26450
ko:K02518	apt:APA01_19900
ko:K06287	apt:APA01_19910
ko:K09862	apt:APA01_19930
ko:K03777	apt:APA01_20440
ko:K01875	apt:APA01_21120
ko:K03118	apt:APA01_21130
ko:K03117	apt:APA01_21140
ko:K06024	apt:APA01_21150
ko:K05896	apt:APA01_21160
ko:K07336	apt:APA01_22250
ko:K03561	apt:APA01_22290
ko:K09005	apt:APA01_24150
ko:K07402	apt:APA01_24180
ko:K07141	apt:APA01_24190
ko:K02234	apt:APA01_22530
ko:K07034	apt:APA01_22580
ko:K09024	apt:APA01_22600
ko:K09823	apt:APA01_22640
ko:K00767	apt:APA01_20490
ko:K03517	apt:APA01_20500
ko:K03885	apt:APA01_20530
ko:K00135	apt:APA01_20540
ko:K06911	apt:APA01_20580
ko:K03561	apt:APA01_20630
ko:K03832	apt:APA01_20640
ko:K07160	apt:APA01_20680
ko:K01662	apt:APA01_03970
ko:K00919	apt:APA01_04030
ko:K09691	apt:APA01_04100
ko:K09690	apt:APA01_04110
ko:K00948	apt:APA01_04120
ko:K02016	apt:APA01_04240
ko:K02015	apt:APA01_04250
ko:K02013	apt:APA01_04260
ko:K12373	apt:APA01_04270
ko:K07106	apt:APA01_04290
ko:K01669	apt:APA01_04380
ko:K07305	apt:APA01_04400
ko:K09811	apt:APA01_10170
ko:K09812	apt:APA01_10180
ko:K01419	apt:APA01_10230
ko:K03667	apt:APA01_10240
ko:K04518	apt:APA01_11870
ko:K06904	apt:APA01_20140
ko:K01487	apt:APA01_12970
ko:K03457	apt:APA01_21700
ko:K00652	apt:APA01_10910
ko:K00652	apt:APA01_16060
ko:K00821	apt:APA01_07300
ko:K12340	apt:APA01_12430
ko:K07497	apt:APA01_42530
ko:K01053	apt:APA01_06170
ko:K01854	apt:APA01_17590
ko:K03571	apt:APA01_00740
ko:K02014	apt:APA01_20650
ko:K02067	apt:APA01_11370
ko:K01737	apt:APA01_11560
ko:K07289	apt:APA01_17210
ko:K05807	apt:APA01_19070
ko:K01153	apt:APA01_43180
ko:K03427	apt:APA01_43210
ko:K02471	apt:APA01_40850
ko:K01908	apt:APA01_41600
ko:K02014	apt:APA01_41360
ko:K02575	apt:APA01_42150
ko:K02335	apt:APA01_21430
ko:K07152	apt:APA01_21440
ko:K00426	apt:APA01_21490
ko:K00425	apt:APA01_21500
ko:K07223	apt:APA01_21510
ko:K11738	apt:APA01_21530
ko:K05358	apt:APA01_21550
ko:K01547	apt:APA01_40510
ko:K00549	apt:APA01_42270
ko:K07275	apt:APA01_25640
ko:K07344	apt:APA01_23890
ko:K00135	apt:APA01_00240
ko:K00615	apt:APA01_00390
ko:K13926	apt:APA01_13040
ko:K07250	apt:APA01_25330
ko:K03500	apt:APA01_15070
ko:K13953	apt:APA01_00250
ko:K00625	apt:APA01_14710
ko:K01799	apt:APA01_23730
ko:K07497	apt:APA01_14350
ko:K00297	apt:APA01_02240
ko:K02911	apt:APA01_17020
ko:K07638	apt:APA01_17050
ko:K07659	apt:APA01_17060
ko:K01462	apt:APA01_17090
ko:K02970	apt:APA01_17100
ko:K00052	apt:APA01_17110
ko:K03773	apt:APA01_14990
ko:K01867	apt:APA01_15010
ko:K00154	apt:APA01_08150
ko:K10680	apt:APA01_13160
ko:K03781	apt:APA01_13180
ko:K04775	apt:APA01_08600
ko:K01586	apt:APA01_08630
ko:K01755	apt:APA01_08650
ko:K00014	apt:APA01_08690
ko:K00859	apt:APA01_08700
ko:K02342	apt:APA01_08710
ko:K01783	apt:APA01_08750
ko:K03500	apt:APA01_08760
ko:K11175	apt:APA01_08770
ko:K01933	apt:APA01_08780
ko:K00937	apt:APA01_08800
ko:K02200	apt:APA01_08930
ko:K02200	apt:APA01_08940
ko:K02199	apt:APA01_08950
ko:K03535	apt:APA01_13800
ko:K00140	apt:APA01_13920
ko:K02051	apt:APA01_13930
ko:K00602	apt:APA01_02950
ko:K01879	apt:APA01_03000
ko:K01878	apt:APA01_03010
ko:K09945	apt:APA01_03020
ko:K03820	apt:APA01_03040
ko:K03711	apt:APA01_03060
ko:K03628	apt:APA01_03080
ko:K03284	apt:APA01_03100
ko:K01696	apt:APA01_03110
ko:K01695	apt:APA01_03120
ko:K07007	apt:APA01_03130
ko:K06915	apt:APA01_03140
ko:K02502	apt:APA01_03150
ko:K02198	apt:APA01_08960
ko:K02197	apt:APA01_08970
ko:K02195	apt:APA01_08990
ko:K09780	apt:APA01_09000
ko:K00684	apt:APA01_09070
ko:K00982	apt:APA01_09120
ko:K03564	apt:APA01_09130
ko:K03761	apt:APA01_09150
ko:K09760	apt:APA01_09170
ko:K02867	apt:APA01_09230
ko:K02863	apt:APA01_09240
ko:K02864	apt:APA01_09250
ko:K02935	apt:APA01_09260
ko:K03043	apt:APA01_09270
ko:K03046	apt:APA01_09280
ko:K02950	apt:APA01_09290
ko:K02992	apt:APA01_09300
ko:K02358	apt:APA01_09310
ko:K02014	apt:APA01_13280
ko:K02471	apt:APA01_13300
ko:K04046	apt:APA01_13330
ko:K07290	apt:APA01_13400
ko:K03832	apt:APA01_13490
ko:K03559	apt:APA01_13500
ko:K03561	apt:APA01_13510
ko:K03088	apt:APA01_13610
ko:K02014	apt:APA01_13620
ko:K03832	apt:APA01_00670
ko:K03561	apt:APA01_00680
ko:K03559	apt:APA01_00690
ko:K03559	apt:APA01_00700
ko:K05837	apt:APA01_00720
ko:K05515	apt:APA01_00730
ko:K03570	apt:APA01_00750
ko:K03569	apt:APA01_00760
ko:K01649	apt:APA01_00770
ko:K02259	apt:APA01_00780
ko:K07552	apt:APA01_00800
ko:K00759	apt:APA01_00820
ko:K01975	apt:APA01_00880
ko:K06890	apt:APA01_00890
ko:K02297	apt:APA01_00900
ko:K02298	apt:APA01_00910
ko:K02299	apt:APA01_00920
ko:K02300	apt:APA01_00930
ko:K05524	apt:APA01_00950
ko:K01255	apt:APA01_00970
ko:K01465	apt:APA01_01040
ko:K00383	apt:APA01_01050
ko:K00528	apt:APA01_01060
ko:K00029	apt:APA01_01110
ko:K02601	apt:APA01_01120
ko:K03073	apt:APA01_01130
ko:K02113	apt:APA01_01170
ko:K02111	apt:APA01_01180
ko:K02115	apt:APA01_01190
ko:K02112	apt:APA01_01200
ko:K02114	apt:APA01_01210
ko:K03684	apt:APA01_01230
ko:K11738	apt:APA01_01270
ko:K01895	apt:APA01_07080
ko:K06968	apt:APA01_07120
ko:K07566	apt:APA01_07190
ko:K01255	apt:APA01_07210
ko:K02339	apt:APA01_07220
ko:K03579	apt:APA01_07250
ko:K04083	apt:APA01_07270
ko:K03565	apt:APA01_07310
ko:K03116	apt:APA01_07330
ko:K08964	apt:APA01_07340
ko:K08967	apt:APA01_07350
ko:K09880	apt:APA01_07360
ko:K11753	apt:APA01_07370
ko:K01870	apt:APA01_07380
ko:K03101	apt:APA01_07390
ko:K03572	apt:APA01_07410
ko:K00342	apt:APA01_07420
ko:K02622	apt:APA01_07440
ko:K01738	apt:APA01_07480
ko:K01704	apt:APA01_17120
ko:K00012	apt:APA01_17690
ko:K04752	apt:APA01_17710
ko:K00640	apt:APA01_17720
ko:K03185	apt:APA01_17730
ko:K02356	apt:APA01_17810
ko:K01092	apt:APA01_17820
ko:K03722	apt:APA01_17830
ko:K03704	apt:APA01_17840
ko:K04078	apt:APA01_17860
ko:K04077	apt:APA01_17870
ko:K00973	apt:APA01_18070
ko:K01710	apt:APA01_18080
ko:K03320	apt:APA01_18280
ko:K03733	apt:APA01_18320
ko:K04066	apt:APA01_18330
ko:K03210	apt:APA01_18340
ko:K06923	apt:APA01_18350
ko:K10764	apt:APA01_18390
ko:K06195	apt:APA01_18400
ko:K01495	apt:APA01_18410
ko:K03638	apt:APA01_18430
ko:K07267	apt:APA01_18440
ko:K00794	apt:APA01_18550
ko:K00793	apt:APA01_18570
ko:K11752	apt:APA01_18580
ko:K00412	apt:APA01_18590
ko:K00413	apt:APA01_18600
ko:K00411	apt:APA01_18610
ko:K06901	apt:APA01_18650
ko:K02888	apt:APA01_18810
ko:K02899	apt:APA01_18820
ko:K03979	apt:APA01_18830
ko:K00931	apt:APA01_18840
ko:K00036	apt:APA01_18870
ko:K03438	apt:APA01_18910
ko:K03587	apt:APA01_18930
ko:K01928	apt:APA01_18940
ko:K01929	apt:APA01_18950
ko:K01000	apt:APA01_18960
ko:K01925	apt:APA01_18970
ko:K03588	apt:APA01_18980
ko:K02563	apt:APA01_18990
ko:K01924	apt:APA01_19000
ko:K00075	apt:APA01_19010
ko:K01921	apt:APA01_19020
ko:K03589	apt:APA01_19030
ko:K03590	apt:APA01_19040
ko:K03531	apt:APA01_19050
ko:K02535	apt:APA01_19060
ko:K03631	apt:APA01_19080
ko:K01972	apt:APA01_19090
ko:K01006	apt:APA01_19100
ko:K09773	apt:APA01_19110
ko:K01626	apt:APA01_19150
ko:K00763	apt:APA01_19160
ko:K08963	apt:APA01_22670
ko:K01738	apt:APA01_22700
ko:K01951	apt:APA01_22710
ko:K02039	apt:APA01_24760
ko:K02036	apt:APA01_24770
ko:K02038	apt:APA01_24780
ko:K02037	apt:APA01_24790
ko:K01687	apt:APA01_24800
ko:K03593	apt:APA01_24890
ko:K03465	apt:APA01_24920
ko:K09985	apt:APA01_24930
ko:K01676	apt:APA01_24940
ko:K00285	apt:APA01_24980
ko:K01775	apt:APA01_24990
ko:K02834	apt:APA01_25010
ko:K02519	apt:APA01_25020
ko:K07742	apt:APA01_25030
ko:K02600	apt:APA01_25040
ko:K09748	apt:APA01_25050
ko:K07230	apt:APA01_25270
ko:K07267	apt:APA01_25280
ko:K07267	apt:APA01_25310
ko:K00088	apt:APA01_15080
ko:K02035	apt:APA01_15090
ko:K02034	apt:APA01_15100
ko:K02033	apt:APA01_15110
ko:K02031	apt:APA01_15120
ko:K09474	apt:APA01_15150
ko:K01114	apt:APA01_15180
ko:K02014	apt:APA01_15190
ko:K02014	apt:APA01_15330
ko:K03442	apt:APA01_15340
ko:K00426	apt:APA01_15380
ko:K00425	apt:APA01_15390
ko:K09758	apt:APA01_15490
ko:K01576	apt:APA01_03830
ko:K00782	apt:APA01_03860
ko:K00790	apt:APA01_03880
ko:K01494	apt:APA01_03890
ko:K00720	apt:APA01_03950
ko:K07447	apt:APA01_25350
ko:K08137	apt:APA01_22940
ko:K03303	apt:APA01_22960
ko:K03274	apt:APA01_22980
ko:K05810	apt:APA01_23010
ko:K09690	apt:APA01_23040
ko:K09691	apt:APA01_23050
ko:K09771	apt:APA01_23060
ko:K00817	apt:APA01_23090
ko:K00615	apt:APA01_23110
ko:K00033	apt:APA01_23130
ko:K01057	apt:APA01_23150
ko:K01807	apt:APA01_23160
ko:K00851	apt:APA01_23170
ko:K02016	apt:APA01_23200
ko:K03281	apt:APA01_23210
ko:K06997	apt:APA01_23230
ko:K03549	apt:APA01_23240
ko:K03088	apt:APA01_12650
ko:K03088	apt:APA01_12660
ko:K01194	apt:APA01_12690
ko:K06193	apt:APA01_12710
ko:K00077	apt:APA01_12730
ko:K02051	apt:APA01_12760
ko:K02049	apt:APA01_12780
ko:K01681	apt:APA01_25120
ko:K02193	apt:APA01_25130
ko:K02194	apt:APA01_25140
ko:K01581	apt:APA01_25160
ko:K07058	apt:APA01_25170
ko:K03786	apt:APA01_25190
ko:K02160	apt:APA01_25200
ko:K03147	apt:APA01_25230
ko:K07243	apt:APA01_25260
ko:K03119	apt:APA01_13710
ko:K06075	apt:APA01_01900
ko:K02050	apt:APA01_13940
ko:K02049	apt:APA01_13950
ko:K07722	apt:APA01_13960
ko:K09967	apt:APA01_13970
ko:K09967	apt:APA01_13980
ko:K02014	apt:APA01_14040
ko:K02014	apt:APA01_14120
ko:K01154	apt:APA01_14250
ko:K07043	apt:APA01_14290
ko:K09769	apt:APA01_02550
ko:K09888	apt:APA01_02570
ko:K00788	apt:APA01_02610
ko:K02946	apt:APA01_09315
ko:K02906	apt:APA01_09320
ko:K02926	apt:APA01_09330
ko:K02892	apt:APA01_09340
ko:K02886	apt:APA01_09350
ko:K02965	apt:APA01_09355
ko:K02890	apt:APA01_09360
ko:K02982	apt:APA01_09370
ko:K02878	apt:APA01_09380
ko:K02904	apt:APA01_09390
ko:K02961	apt:APA01_09400
ko:K02874	apt:APA01_09410
ko:K02895	apt:APA01_09420
ko:K02931	apt:APA01_09430
ko:K02954	apt:APA01_09440
ko:K02994	apt:APA01_09450
ko:K02933	apt:APA01_09460
ko:K02881	apt:APA01_09470
ko:K02988	apt:APA01_09480
ko:K02907	apt:APA01_09490
ko:K02876	apt:APA01_09500
ko:K03076	apt:APA01_09510
ko:K00939	apt:APA01_09520
ko:K02952	apt:APA01_09530
ko:K02948	apt:APA01_09540
ko:K03040	apt:APA01_09550
ko:K02879	apt:APA01_09560
ko:K02051	apt:APA01_09570
ko:K03701	apt:APA01_14430
ko:K03675	apt:APA01_14460
ko:K02188	apt:APA01_14480
ko:K05936	apt:APA01_14490
ko:K02189	apt:APA01_14500
ko:K00595	apt:APA01_14510
ko:K05895	apt:APA01_14520
ko:K06042	apt:APA01_14550
ko:K02229	apt:APA01_14560
ko:K01679	apt:APA01_14580
ko:K06045	apt:APA01_01950
ko:K04761	apt:APA01_02040
ko:K04756	apt:APA01_02060
ko:K01507	apt:APA01_02100
ko:K04754	apt:APA01_02150
ko:K05801	apt:APA01_02160
ko:K00773	apt:APA01_02190
ko:K07568	apt:APA01_02200
ko:K06910	apt:APA01_02220
ko:K09919	apt:APA01_02260
ko:K02067	apt:APA01_02300
ko:K01087	apt:APA01_02330
ko:K00697	apt:APA01_02340
ko:K07799	apt:APA01_09650
ko:K03470	apt:APA01_09680
ko:K03924	apt:APA01_09740
ko:K09986	apt:APA01_09750
ko:K03543	apt:APA01_09780
ko:K08311	apt:APA01_09800
ko:K09798	apt:APA01_09810
ko:K03797	apt:APA01_09820
ko:K01754	apt:APA01_09850
ko:K03624	apt:APA01_09860
ko:K01955	apt:APA01_09870
ko:K01956	apt:APA01_09880
ko:K09117	apt:APA01_09890
ko:K00822	apt:APA01_21580
ko:K06016	apt:APA01_21600
ko:K01464	apt:APA01_21680
ko:K02437	apt:APA01_24230
ko:K00605	apt:APA01_24240
ko:K00797	apt:APA01_24250
ko:K01611	apt:APA01_24260
ko:K00954	apt:APA01_24310
ko:K02469	apt:APA01_24320
ko:K00962	apt:APA01_24350
ko:K02956	apt:APA01_24360
ko:K03177	apt:APA01_24370
ko:K02066	apt:APA01_24380
ko:K02065	apt:APA01_24390
ko:K06192	apt:APA01_24400
ko:K09857	apt:APA01_24410
ko:K00548	apt:APA01_24490
ko:K03558	apt:APA01_24510
ko:K00764	apt:APA01_24520
ko:K09857	apt:APA01_24530
ko:K06192	apt:APA01_24540
ko:K03808	apt:APA01_24550
ko:K02109	apt:APA01_24590
ko:K02109	apt:APA01_24600
ko:K02110	apt:APA01_24610
ko:K02108	apt:APA01_24620
ko:K03110	apt:APA01_24640
ko:K01778	apt:APA01_24660
ko:K05592	apt:APA01_24690
ko:K02996	apt:APA01_24720
ko:K02871	apt:APA01_24730
ko:K03559	apt:APA01_22300
ko:K03832	apt:APA01_22310
ko:K07042	apt:APA01_10760
ko:K06217	apt:APA01_10770
ko:K06168	apt:APA01_10780
ko:K07278	apt:APA01_10810
ko:K09800	apt:APA01_10820
ko:K01142	apt:APA01_10830
ko:K02316	apt:APA01_09900
ko:K03086	apt:APA01_09910
ko:K02990	apt:APA01_09930
ko:K02963	apt:APA01_09940
ko:K02939	apt:APA01_09950
ko:K00574	apt:APA01_09960
ko:K02528	apt:APA01_09970
ko:K03771	apt:APA01_09980
ko:K04744	apt:APA01_09990
ko:K11720	apt:APA01_10000
ko:K07091	apt:APA01_10010
ko:K03608	apt:APA01_10050
ko:K03609	apt:APA01_10060
ko:K03610	apt:APA01_10070
ko:K07007	apt:APA01_10090
ko:K07056	apt:APA01_10110
ko:K07736	apt:APA01_10130
ko:K08994	apt:APA01_10140
ko:K03703	apt:APA01_10850
ko:K03636	apt:APA01_10880
ko:K03635	apt:APA01_10890
ko:K00833	apt:APA01_10900
ko:K01356	apt:APA01_10940
ko:K03750	apt:APA01_10950
ko:K02913	apt:APA01_10960
ko:K01689	apt:APA01_10980
ko:K03153	apt:APA01_11000
ko:K03154	apt:APA01_11010
ko:K03149	apt:APA01_11020
ko:K00788	apt:APA01_11030
ko:K03655	apt:APA01_11040
ko:K03723	apt:APA01_11060
ko:K09883	apt:APA01_11100
ko:K09882	apt:APA01_11110
ko:K05527	apt:APA01_11130
ko:K03801	apt:APA01_11150
ko:K00963	apt:APA01_11170
ko:K03639	apt:APA01_11190
ko:K03676	apt:APA01_11220
ko:K00928	apt:APA01_11270
ko:K02371	apt:APA01_11280
ko:K01892	apt:APA01_11310
ko:K03544	apt:APA01_16480
ko:K01358	apt:APA01_16490
ko:K03545	apt:APA01_16500
ko:K03215	apt:APA01_16550
ko:K04488	apt:APA01_16580
ko:K11717	apt:APA01_16590
ko:K09015	apt:APA01_16600
ko:K09013	apt:APA01_16610
ko:K09014	apt:APA01_16620
ko:K01595	apt:APA01_16650
ko:K02355	apt:APA01_16670
ko:K02902	apt:APA01_16680
ko:K00990	apt:APA01_16720
ko:K03555	apt:APA01_16730
ko:K01299	apt:APA01_16750
ko:K01733	apt:APA01_16770
ko:K03592	apt:APA01_16790
ko:K07146	apt:APA01_05200
ko:K09961	apt:APA01_05210
ko:K09960	apt:APA01_05220
ko:K06153	apt:APA01_11380
ko:K03294	apt:APA01_11390
ko:K03642	apt:APA01_11430
ko:K07258	apt:APA01_11440
ko:K00943	apt:APA01_11450
ko:K02341	apt:APA01_11460
ko:K01874	apt:APA01_11470
ko:K03424	apt:APA01_11480
ko:K06167	apt:APA01_11490
ko:K00275	apt:APA01_11510
ko:K00208	apt:APA01_11520
ko:K01736	apt:APA01_11530
ko:K04063	apt:APA01_11540
ko:K00116	apt:APA01_11550
ko:K06920	apt:APA01_11570
ko:K01012	apt:APA01_11590
ko:K00390	apt:APA01_11610
ko:K00957	apt:APA01_11620
ko:K00381	apt:APA01_11650
ko:K02527	apt:APA01_11670
ko:K00912	apt:APA01_11680
ko:K02517	apt:APA01_11690
ko:K01092	apt:APA01_11700
ko:K07082	apt:APA01_11720
ko:K09458	apt:APA01_11730
ko:K02078	apt:APA01_11740
ko:K00059	apt:APA01_11750
ko:K00645	apt:APA01_11760
ko:K02002	apt:APA01_11790
ko:K03704	apt:APA01_11840
ko:K03664	apt:APA01_11850
ko:K01714	apt:APA01_11860
ko:K00979	apt:APA01_11880
ko:K08738	apt:APA01_11890
ko:K01703	apt:APA01_17130
ko:K02884	apt:APA01_17140
ko:K00554	apt:APA01_17150
ko:K02860	apt:APA01_17160
ko:K02959	apt:APA01_17170
ko:K03106	apt:APA01_17180
ko:K06006	apt:APA01_17190
ko:K06179	apt:APA01_17220
ko:K07478	apt:APA01_17230
ko:K03179	apt:APA01_17250
ko:K09761	apt:APA01_17260
ko:K01919	apt:APA01_17270
ko:K08169	apt:APA01_17280
ko:K03977	apt:APA01_17300
ko:K01953	apt:APA01_17360
ko:K06980	apt:APA01_17370
ko:K01496	apt:APA01_17380
ko:K00748	apt:APA01_17390
ko:K02291	apt:APA01_17430
ko:K04564	apt:APA01_17440
ko:K03695	apt:APA01_17450
ko:K03665	apt:APA01_17470
ko:K03666	apt:APA01_17480
ko:K07712	apt:APA01_17510
ko:K07708	apt:APA01_17520
ko:K12506	apt:APA01_17540
ko:K00769	apt:APA01_17640
ko:K00761	apt:APA01_17660
ko:K01817	apt:APA01_21730
ko:K01591	apt:APA01_21740
ko:K00097	apt:APA01_21780
ko:K03474	apt:APA01_21790
ko:K09001	apt:APA01_21810
ko:K03307	apt:APA01_21840
ko:K03919	apt:APA01_21860
ko:K05916	apt:APA01_21890
ko:K02072	apt:APA01_21900
ko:K02071	apt:APA01_21910
ko:K02073	apt:APA01_21920
ko:K02302	apt:APA01_21940
ko:K00077	apt:APA01_22010
