ko:K20265	banm:EN10_02245
ko:K00783	banm:EN10_02745
ko:K00674	banm:EN10_02750
ko:K02836	banm:EN10_02760
ko:K09812	banm:EN10_02765
ko:K09811	banm:EN10_02770
ko:K03664	banm:EN10_02780
ko:K02030	banm:EN10_02790
ko:K02030	banm:EN10_02795
ko:K02029	banm:EN10_02800
ko:K02028	banm:EN10_02805
ko:K00820	banm:EN10_02820
ko:K06177	banm:EN10_02825
ko:K03525	banm:EN10_02835
ko:K02035	banm:EN10_02840
ko:K02033	banm:EN10_02845
ko:K02034	banm:EN10_02850
ko:K01739	banm:EN10_02865
ko:K01697	banm:EN10_02870
ko:K03654	banm:EN10_02875
ko:K02114	banm:EN10_07225
ko:K02112	banm:EN10_07230
ko:K02115	banm:EN10_07235
ko:K02111	banm:EN10_07240
ko:K02113	banm:EN10_07245
ko:K02109	banm:EN10_07250
ko:K02110	banm:EN10_07255
ko:K02108	banm:EN10_07260
ko:K00651	banm:EN10_07265
ko:K03466	banm:EN10_07300
ko:K01218	banm:EN10_07335
ko:K07088	banm:EN10_07345
ko:K01577	banm:EN10_07350
ko:K16147	banm:EN10_07370
ko:K01507	banm:EN10_07375
ko:K10773	banm:EN10_07390
ko:K01873	banm:EN10_07405
ko:K03719	banm:EN10_07410
ko:K04092	banm:EN10_07415
ko:K03628	banm:EN10_07425
ko:K02434	banm:EN10_07445
ko:K02433	banm:EN10_07450
ko:K02435	banm:EN10_07455
ko:K01990	banm:EN10_07465
ko:K03695	banm:EN10_07485
ko:K07284	banm:EN10_07510
ko:K00886	banm:EN10_03510
ko:K16784	banm:EN10_03520
ko:K01972	banm:EN10_03535
ko:K03593	banm:EN10_03540
ko:K16925	banm:EN10_03545
ko:K01915	banm:EN10_03550
ko:K00382	banm:EN10_03560
ko:K16925	banm:EN10_03605
ko:K02003	banm:EN10_03615
ko:K02004	banm:EN10_03620
ko:K03437	banm:EN10_03630
ko:K01889	banm:EN10_03635
ko:K01890	banm:EN10_03640
ko:K00145	banm:EN10_03650
ko:K00620	banm:EN10_03655
ko:K00930	banm:EN10_03660
ko:K00611	banm:EN10_03670
ko:K03402	banm:EN10_03675
ko:K01940	banm:EN10_03680
ko:K01755	banm:EN10_03685
ko:K03366	banm:EN10_03690
ko:K06950	banm:EN10_03695
ko:K01866	banm:EN10_03700
ko:K06442	banm:EN10_03715
ko:K03499	banm:EN10_03725
ko:K00858	banm:EN10_03730
ko:K03631	banm:EN10_03735
ko:K01733	banm:EN10_03745
ko:K00147	banm:EN10_03750
ko:K00969	banm:EN10_03760
ko:K00948	banm:EN10_03765
ko:K04042	banm:EN10_03775
ko:K09710	banm:EN10_03780
ko:K01494	banm:EN10_08105
ko:K03218	banm:EN10_08115
ko:K10112	banm:EN10_08125
ko:K10716	banm:EN10_08130
ko:K02528	banm:EN10_08155
ko:K00919	banm:EN10_08160
ko:K00970	banm:EN10_08170
ko:K03980	banm:EN10_08185
ko:K00384	banm:EN10_08190
ko:K03501	banm:EN10_08205
ko:K06346	banm:EN10_08210
ko:K03217	banm:EN10_08215
ko:K03536	banm:EN10_08220
ko:K02914	banm:EN10_08225
ko:K03758	banm:EN10_06505
ko:K15580	banm:EN10_06520
ko:K03969	banm:EN10_06530
ko:K01870	banm:EN10_06545
ko:K01104	banm:EN10_06555
ko:K06147	banm:EN10_06570
ko:K06147	banm:EN10_06575
ko:K07458	banm:EN10_06590
ko:K07012	banm:EN10_06605
ko:K15342	banm:EN10_06625
ko:K01919	banm:EN10_06630
ko:K08987	banm:EN10_06645
ko:K05349	banm:EN10_00240
ko:K01201	banm:EN10_00265
ko:K12308	banm:EN10_00270
ko:K04047	banm:EN10_00285
ko:K03699	banm:EN10_00290
ko:K01673	banm:EN10_00295
ko:K02056	banm:EN10_00315
ko:K01209	banm:EN10_00330
ko:K01804	banm:EN10_00345
ko:K01595	banm:EN10_00355
ko:K01867	banm:EN10_00370
ko:K00688	banm:EN10_00385
ko:K01664	banm:EN10_00425
ko:K01278	banm:EN10_00465
ko:K01048	banm:EN10_00475
ko:K01515	banm:EN10_04980
ko:K00873	banm:EN10_04990
ko:K05794	banm:EN10_04995
ko:K03702	banm:EN10_05000
ko:K00859	banm:EN10_05005
ko:K02945	banm:EN10_05010
ko:K01491	banm:EN10_05015
ko:K02077	banm:EN10_05020
ko:K02074	banm:EN10_05025
ko:K02075	banm:EN10_05030
ko:K01770	banm:EN10_05035
ko:K07736	banm:EN10_05040
ko:K00700	banm:EN10_05045
ko:K03466	banm:EN10_05095
ko:K11068	banm:EN10_05110
ko:K03624	banm:EN10_05115
ko:K01752	banm:EN10_05125
ko:K01524	banm:EN10_05140
ko:K09009	banm:EN10_05145
ko:K01689	banm:EN10_05155
ko:K15554	banm:EN10_05160
ko:K15553	banm:EN10_05165
ko:K15555	banm:EN10_05170
ko:K03723	banm:EN10_05175
ko:K01056	banm:EN10_05180
ko:K03823	banm:EN10_05185
ko:K09118	banm:EN10_05190
ko:K01207	banm:EN10_05195
ko:K06200	banm:EN10_05205
ko:K02343	banm:EN10_01080
ko:K06187	banm:EN10_01085
ko:K00928	banm:EN10_01090
ko:K00928	banm:EN10_01095
ko:K00133	banm:EN10_01100
ko:K01649	banm:EN10_01110
ko:K01858	banm:EN10_01120
ko:K03168	banm:EN10_01130
ko:K00943	banm:EN10_01135
ko:K02341	banm:EN10_01140
ko:K06910	banm:EN10_01145
ko:K08659	banm:EN10_01150
ko:K08659	banm:EN10_01155
ko:K07133	banm:EN10_01160
ko:K01938	banm:EN10_01165
ko:K01885	banm:EN10_01205
ko:K01703	banm:EN10_01230
ko:K01704	banm:EN10_01235
ko:K00790	banm:EN10_01250
ko:K00057	banm:EN10_01260
ko:K01921	banm:EN10_01265
ko:K11358	banm:EN10_01300
ko:K02902	banm:EN10_01320
ko:K03655	banm:EN10_01325
ko:K08316	banm:EN10_01340
ko:K00554	banm:EN10_01345
ko:K02860	banm:EN10_01350
ko:K06960	banm:EN10_01355
ko:K02959	banm:EN10_01360
ko:K01190	banm:EN10_01365
ko:K15582	banm:EN10_05795
ko:K15581	banm:EN10_05800
ko:K15580	banm:EN10_05805
ko:K03733	banm:EN10_05810
ko:K02003	banm:EN10_05815
ko:K02004	banm:EN10_05820
ko:K04517	banm:EN10_05830
ko:K14170	banm:EN10_05835
ko:K06207	banm:EN10_05845
ko:K08369	banm:EN10_05850
ko:K04763	banm:EN10_05865
ko:K02887	banm:EN10_05870
ko:K02916	banm:EN10_05875
ko:K02520	banm:EN10_05880
ko:K00949	banm:EN10_05885
ko:K00134	banm:EN10_05890
ko:K03527	banm:EN10_05900
ko:K03088	banm:EN10_05915
ko:K01928	banm:EN10_05920
ko:K11754	banm:EN10_05930
ko:K01262	banm:EN10_05950
ko:K00847	banm:EN10_05970
ko:K07560	banm:EN10_05975
ko:K02031	banm:EN10_06050
ko:K02032	banm:EN10_06050
ko:K02034	banm:EN10_06055
ko:K02033	banm:EN10_06060
ko:K02035	banm:EN10_06065
ko:K02035	banm:EN10_06070
ko:K03589	banm:EN10_06075
ko:K03386	banm:EN10_04390
ko:K00384	banm:EN10_04395
ko:K00762	banm:EN10_04435
ko:K17828	banm:EN10_04440
ko:K02823	banm:EN10_04445
ko:K01591	banm:EN10_04450
ko:K01465	banm:EN10_04455
ko:K00610	banm:EN10_04460
ko:K00609	banm:EN10_04465
ko:K00982	banm:EN10_04475
ko:K00297	banm:EN10_04480
ko:K00549	banm:EN10_04485
ko:K08296	banm:EN10_04490
ko:K07442	banm:EN10_04495
ko:K02013	banm:EN10_04500
ko:K16148	banm:EN10_04505
ko:K03564	banm:EN10_04510
ko:K00266	banm:EN10_04520
ko:K00265	banm:EN10_04525
ko:K03596	banm:EN10_04535
ko:K02968	banm:EN10_04540
ko:K00826	banm:EN10_04550
ko:K02897	banm:EN10_04555
ko:K06889	banm:EN10_04560
ko:K00325	banm:EN10_04565
ko:K00324	banm:EN10_04570
ko:K00324	banm:EN10_04575
ko:K01897	banm:EN10_04580
ko:K07042	banm:EN10_04595
ko:K02503	banm:EN10_04605
ko:K09761	banm:EN10_04610
ko:K00975	banm:EN10_04630
ko:K04488	banm:EN10_04640
ko:K11717	banm:EN10_04645
ko:K09013	banm:EN10_04650
ko:K09015	banm:EN10_04655
ko:K02982	banm:EN10_01970
ko:K02878	banm:EN10_01975
ko:K02904	banm:EN10_01980
ko:K02961	banm:EN10_01985
ko:K02874	banm:EN10_01990
ko:K02895	banm:EN10_01995
ko:K02931	banm:EN10_02000
ko:K02954	banm:EN10_02005
ko:K02994	banm:EN10_02010
ko:K02933	banm:EN10_02015
ko:K02881	banm:EN10_02020
ko:K02988	banm:EN10_02025
ko:K02907	banm:EN10_02030
ko:K02876	banm:EN10_02035
ko:K03076	banm:EN10_02040
ko:K00939	banm:EN10_02045
ko:K02518	banm:EN10_02050
ko:K02919	banm:EN10_02055
ko:K02952	banm:EN10_02060
ko:K03574	banm:EN10_02925
ko:K07341	banm:EN10_02950
ko:K08317	banm:EN10_02965
ko:K07173	banm:EN10_02970
ko:K01775	banm:EN10_02980
ko:K01662	banm:EN10_03000
ko:K01588	banm:EN10_03005
ko:K01589	banm:EN10_03010
ko:K03711	banm:EN10_03015
ko:K01945	banm:EN10_03030
ko:K01933	banm:EN10_03035
ko:K00764	banm:EN10_03040
ko:K01952	banm:EN10_03110
ko:K01923	banm:EN10_03115
ko:K08289	banm:EN10_03120
ko:K01620	banm:EN10_03130
ko:K02950	banm:EN10_03145
ko:K02992	banm:EN10_03150
ko:K02355	banm:EN10_03155
ko:K02358	banm:EN10_03160
ko:K02356	banm:EN10_03175
ko:K03625	banm:EN10_03180
ko:K01956	banm:EN10_03185
ko:K01955	banm:EN10_03190
ko:K01591	banm:EN10_03195
ko:K00942	banm:EN10_03200
ko:K06997	banm:EN10_07515
ko:K01885	banm:EN10_07520
ko:K02440	banm:EN10_07530
ko:K02939	banm:EN10_07560
ko:K02963	banm:EN10_07565
ko:K02990	banm:EN10_07575
ko:K00948	banm:EN10_07580
ko:K00852	banm:EN10_07585
ko:K02529	banm:EN10_07600
ko:K01950	banm:EN10_07615
ko:K01854	banm:EN10_07625
ko:K16650	banm:EN10_07660
ko:K01990	banm:EN10_07700
ko:K01992	banm:EN10_07705
ko:K06950	banm:EN10_07750
ko:K03549	banm:EN10_07760
ko:K03424	banm:EN10_07765
ko:K07407	banm:EN10_07770
ko:K06147	banm:EN10_07780
ko:K06147	banm:EN10_07785
ko:K01874	banm:EN10_07790
ko:K07056	banm:EN10_07805
ko:K02948	banm:EN10_02065
ko:K03040	banm:EN10_02070
ko:K02879	banm:EN10_02075
ko:K06173	banm:EN10_02080
ko:K02600	banm:EN10_02095
ko:K02519	banm:EN10_02100
ko:K02834	banm:EN10_02105
ko:K03177	banm:EN10_02110
ko:K11753	banm:EN10_02115
ko:K04485	banm:EN10_02120
ko:K01807	banm:EN10_02135
ko:K03469	banm:EN10_02140
ko:K01875	banm:EN10_02150
ko:K01835	banm:EN10_02160
ko:K01760	banm:EN10_02200
ko:K04567	banm:EN10_02220
ko:K01372	banm:EN10_02240
ko:K02548	banm:EN10_02260
ko:K01834	banm:EN10_02265
ko:K10254	banm:EN10_02270
ko:K03601	banm:EN10_06665
ko:K03602	banm:EN10_06670
ko:K07458	banm:EN10_06695
ko:K01462	banm:EN10_06710
ko:K03431	banm:EN10_06715
ko:K01256	banm:EN10_06720
ko:K12574	banm:EN10_06725
ko:K01714	banm:EN10_06730
ko:K00215	banm:EN10_06735
ko:K03657	banm:EN10_06750
ko:K03924	banm:EN10_06770
ko:K03046	banm:EN10_06795
ko:K03043	banm:EN10_06800
ko:K03575	banm:EN10_06810
ko:K03216	banm:EN10_06815
ko:K09157	banm:EN10_06820
ko:K07166	banm:EN10_06825
ko:K07284	banm:EN10_06830
ko:K00849	banm:EN10_06840
ko:K00965	banm:EN10_06845
ko:K00721	banm:EN10_06855
ko:K00226	banm:EN10_06860
ko:K03800	banm:EN10_06880
ko:K00052	banm:EN10_06895
ko:K01354	banm:EN10_06900
ko:K02437	banm:EN10_06910
ko:K03426	banm:EN10_06915
ko:K03671	banm:EN10_06930
ko:K07006	banm:EN10_03810
ko:K01834	banm:EN10_03815
ko:K03284	banm:EN10_03820
ko:K01869	banm:EN10_03830
ko:K02237	banm:EN10_03835
ko:K02238	banm:EN10_03840
ko:K02340	banm:EN10_03845
ko:K06925	banm:EN10_03850
ko:K03789	banm:EN10_03860
ko:K01409	banm:EN10_03865
ko:K00031	banm:EN10_03900
ko:K00088	banm:EN10_03905
ko:K01897	banm:EN10_03915
ko:K01462	banm:EN10_03920
ko:K02967	banm:EN10_03925
ko:K02357	banm:EN10_03930
ko:K09903	banm:EN10_03935
ko:K02838	banm:EN10_03940
ko:K00981	banm:EN10_03945
ko:K06941	banm:EN10_03950
ko:K01990	banm:EN10_03960
ko:K02500	banm:EN10_03970
ko:K01496	banm:EN10_03975
ko:K01657	banm:EN10_03980
ko:K01696	banm:EN10_04000
ko:K01695	banm:EN10_04005
ko:K01783	banm:EN10_04015
ko:K01523	banm:EN10_04020
ko:K00765	banm:EN10_04025
ko:K06199	banm:EN10_04065
ko:K06199	banm:EN10_04070
ko:K01091	banm:EN10_04075
ko:K03727	banm:EN10_04085
ko:K00963	banm:EN10_04100
ko:K00563	banm:EN10_00485
ko:K00528	banm:EN10_00505
ko:K08372	banm:EN10_00515
ko:K00773	banm:EN10_00530
ko:K03799	banm:EN10_00540
ko:K00567	banm:EN10_00575
ko:K01607	banm:EN10_00585
ko:K06889	banm:EN10_00595
ko:K01624	banm:EN10_00655
ko:K01939	banm:EN10_00660
ko:K06199	banm:EN10_00665
ko:K06199	banm:EN10_00670
ko:K01997	banm:EN10_00680
ko:K01998	banm:EN10_00685
ko:K01995	banm:EN10_00690
ko:K01996	banm:EN10_00695
ko:K01999	banm:EN10_00700
ko:K03484	banm:EN10_00705
ko:K00690	banm:EN10_00710
ko:K11263	banm:EN10_00725
ko:K00053	banm:EN10_00760
ko:K05970	banm:EN10_00765
ko:K05350	banm:EN10_00775
ko:K01744	banm:EN10_05240
ko:K04758	banm:EN10_05245
ko:K04759	banm:EN10_05250
ko:K00036	banm:EN10_05260
ko:K01057	banm:EN10_05270
ko:K00033	banm:EN10_05275
ko:K05995	banm:EN10_05280
ko:K03311	banm:EN10_05285
ko:K12267	banm:EN10_05290
ko:K17686	banm:EN10_05295
ko:K07124	banm:EN10_05300
ko:K06942	banm:EN10_05335
ko:K00286	banm:EN10_05340
ko:K02004	banm:EN10_05360
ko:K02003	banm:EN10_05365
ko:K16785	banm:EN10_05370
ko:K16786	banm:EN10_05375
ko:K16787	banm:EN10_05375
ko:K01740	banm:EN10_05385
ko:K00868	banm:EN10_05390
ko:K07460	banm:EN10_05395
ko:K07391	banm:EN10_05400
ko:K04096	banm:EN10_05405
ko:K00239	banm:EN10_05410
ko:K00240	banm:EN10_05415
ko:K06966	banm:EN10_05425
ko:K03313	banm:EN10_05430
ko:K14155	banm:EN10_05435
ko:K03544	banm:EN10_05450
ko:K01358	banm:EN10_05455
ko:K01358	banm:EN10_05460
ko:K03545	banm:EN10_05470
ko:K03684	banm:EN10_05475
ko:K04069	banm:EN10_05480
ko:K00656	banm:EN10_05485
ko:K01950	banm:EN10_05495
ko:K02072	banm:EN10_05505
ko:K02071	banm:EN10_05510
ko:K02073	banm:EN10_05515
ko:K03106	banm:EN10_01380
ko:K01883	banm:EN10_01385
ko:K01653	banm:EN10_01400
ko:K01652	banm:EN10_01405
ko:K03685	banm:EN10_01410
ko:K02911	banm:EN10_01415
ko:K07040	banm:EN10_01420
ko:K00954	banm:EN10_01430
ko:K00763	banm:EN10_01445
ko:K00989	banm:EN10_01455
ko:K02428	banm:EN10_01460
ko:K12554	banm:EN10_01465
ko:K00971	banm:EN10_01485
ko:K01810	banm:EN10_01490
ko:K02884	banm:EN10_01495
ko:K03100	banm:EN10_01500
ko:K01687	banm:EN10_03205
ko:K03060	banm:EN10_03210
ko:K00789	banm:EN10_03215
ko:K00574	banm:EN10_03220
ko:K04066	banm:EN10_03225
ko:K00604	banm:EN10_03230
ko:K01079	banm:EN10_03235
ko:K13527	banm:EN10_03245
ko:K01092	banm:EN10_03255
ko:K13570	banm:EN10_03260
ko:K13571	banm:EN10_03265
ko:K03530	banm:EN10_03270
ko:K01756	banm:EN10_03280
ko:K07114	banm:EN10_03300
ko:K03924	banm:EN10_03320
ko:K03648	banm:EN10_03325
ko:K03704	banm:EN10_03335
ko:K04077	banm:EN10_03340
ko:K02484	banm:EN10_03360
ko:K03704	banm:EN10_03365
ko:K03696	banm:EN10_03385
ko:K01876	banm:EN10_03390
ko:K01892	banm:EN10_03395
ko:K06889	banm:EN10_03405
ko:K10008	banm:EN10_03410
ko:K10005	banm:EN10_03415
ko:K10006	banm:EN10_03420
ko:K10007	banm:EN10_03425
ko:K07478	banm:EN10_03440
ko:K01897	banm:EN10_03450
ko:K03707	banm:EN10_03485
ko:K07574	banm:EN10_03490
ko:K03975	banm:EN10_07820
ko:K05349	banm:EN10_07835
ko:K13640	banm:EN10_07850
ko:K03686	banm:EN10_07855
ko:K03687	banm:EN10_07860
ko:K04043	banm:EN10_07865
ko:K07025	banm:EN10_07885
ko:K15772	banm:EN10_07895
ko:K15771	banm:EN10_07900
ko:K15770	banm:EN10_07905
ko:K05343	banm:EN10_07910
ko:K00705	banm:EN10_07915
ko:K10119	banm:EN10_07925
ko:K10118	banm:EN10_07930
ko:K10117	banm:EN10_07940
ko:K01187	banm:EN10_07945
ko:K01950	banm:EN10_07995
ko:K02529	banm:EN10_08030
ko:K03470	banm:EN10_01505
ko:K02003	banm:EN10_01510
ko:K07088	banm:EN10_01520
ko:K01439	banm:EN10_01525
ko:K02888	banm:EN10_01535
ko:K02899	banm:EN10_01540
ko:K03979	banm:EN10_01545
ko:K00931	banm:EN10_01550
ko:K03073	banm:EN10_01565
ko:K02601	banm:EN10_01570
ko:K02867	banm:EN10_01575
ko:K02863	banm:EN10_01580
ko:K03524	banm:EN10_01590
ko:K03523	banm:EN10_01595
ko:K11263	banm:EN10_01600
ko:K11533	banm:EN10_01610
ko:K00997	banm:EN10_01615
ko:K00016	banm:EN10_01630
ko:K02956	banm:EN10_01635
ko:K00962	banm:EN10_01640
ko:K03744	banm:EN10_01645
ko:K01924	banm:EN10_06080
ko:K02563	banm:EN10_06085
ko:K03588	banm:EN10_06090
ko:K01925	banm:EN10_06095
ko:K01000	banm:EN10_06100
ko:K01929	banm:EN10_06105
ko:K03587	banm:EN10_06115
ko:K03438	banm:EN10_06125
ko:K03925	banm:EN10_06130
ko:K00058	banm:EN10_06140
ko:K07738	banm:EN10_06145
ko:K01356	banm:EN10_06155
ko:K16264	banm:EN10_06160
ko:K00016	banm:EN10_06165
ko:K03665	banm:EN10_06170
ko:K03578	banm:EN10_06180
ko:K01915	banm:EN10_06185
ko:K01814	banm:EN10_06195
ko:K01817	banm:EN10_06195
ko:K02501	banm:EN10_06200
ko:K01693	banm:EN10_06210
ko:K00817	banm:EN10_06215
ko:K00013	banm:EN10_06220
ko:K02337	banm:EN10_06225
ko:K06180	banm:EN10_06235
ko:K03101	banm:EN10_06240
ko:K02221	banm:EN10_06250
ko:K09772	banm:EN10_06255
ko:K03531	banm:EN10_06260
ko:K01880	banm:EN10_06270
ko:K00878	banm:EN10_06275
ko:K14153	banm:EN10_06280
ko:K02529	banm:EN10_06290
ko:K02532	banm:EN10_06295
ko:K01193	banm:EN10_06300
ko:K00806	banm:EN10_06325
ko:K03584	banm:EN10_06330
ko:K00099	banm:EN10_06345
ko:K01809	banm:EN10_02280
ko:K02039	banm:EN10_02295
ko:K00831	banm:EN10_02300
ko:K01104	banm:EN10_02340
ko:K01784	banm:EN10_02345
ko:K03439	banm:EN10_02350
ko:K01081	banm:EN10_02365
ko:K07459	banm:EN10_02375
ko:K16209	banm:EN10_02425
ko:K01190	banm:EN10_02430
ko:K02529	banm:EN10_02435
ko:K01560	banm:EN10_02440
ko:K02027	banm:EN10_02465
ko:K12308	banm:EN10_02470
ko:K02026	banm:EN10_02475
ko:K02025	banm:EN10_02480
ko:K01990	banm:EN10_02520
ko:K01992	banm:EN10_02525
ko:K07259	banm:EN10_02530
ko:K04075	banm:EN10_02535
ko:K00760	banm:EN10_02540
ko:K03798	banm:EN10_02545
ko:K13940	banm:EN10_02550
ko:K10805	banm:EN10_02560
ko:K01462	banm:EN10_02570
