ko:K01813	llx:NCDO2118_1683
ko:K00858	llx:NCDO2118_0426
ko:K06180	llx:NCDO2118_0427
ko:K03767	llx:NCDO2118_0428
ko:K11733	llx:NCDO2118_0429
ko:K03734	llx:NCDO2118_0431
ko:K04567	llx:NCDO2118_0432
ko:K00016	llx:NCDO2118_0435
ko:K11041	llx:NCDO2118_0437
ko:K03151	llx:NCDO2118_0438
ko:K02440	llx:NCDO2118_1273
ko:K00105	llx:NCDO2118_1274
ko:K00864	llx:NCDO2118_1275
ko:K03316	llx:NCDO2118_1278
ko:K01176	llx:NCDO2118_1280
ko:K01626	llx:NCDO2118_1282
ko:K00297	llx:NCDO2118_1283
ko:K00549	llx:NCDO2118_1284
ko:K03709	llx:NCDO2118_1285
ko:K01531	llx:NCDO2118_1286
ko:K03740	llx:NCDO2118_1287
ko:K14188	llx:NCDO2118_1288
ko:K03739	llx:NCDO2118_1289
ko:K03367	llx:NCDO2118_1290
ko:K00788	llx:NCDO2118_1291
ko:K00941	llx:NCDO2118_1292
ko:K00878	llx:NCDO2118_1293
ko:K01791	llx:NCDO2118_1295
ko:K02935	llx:NCDO2118_1297
ko:K02864	llx:NCDO2118_1298
ko:K06178	llx:NCDO2118_1304
ko:K06024	llx:NCDO2118_1305
ko:K05896	llx:NCDO2118_1306
ko:K07095	llx:NCDO2118_1309
ko:K02428	llx:NCDO2118_1310
ko:K01776	llx:NCDO2118_1311
ko:K09976	llx:NCDO2118_1312
ko:K01586	llx:NCDO2118_1313
ko:K00266	llx:NCDO2118_1314
ko:K00265	llx:NCDO2118_1315
ko:K00826	llx:NCDO2118_1317
ko:K08303	llx:NCDO2118_2098
ko:K00563	llx:NCDO2118_2102
ko:K06201	llx:NCDO2118_2103
ko:K01992	llx:NCDO2118_2104
ko:K01990	llx:NCDO2118_2105
ko:K01126	llx:NCDO2118_2106
ko:K02503	llx:NCDO2118_2107
ko:K02863	llx:NCDO2118_2110
ko:K02867	llx:NCDO2118_2111
ko:K01990	llx:NCDO2118_2113
ko:K07304	llx:NCDO2118_2115
ko:K00243	llx:NCDO2118_2116
ko:K02838	llx:NCDO2118_2118
ko:K09903	llx:NCDO2118_2119
ko:K00925	llx:NCDO2118_2121
ko:K00925	llx:NCDO2118_2122
ko:K06207	llx:NCDO2118_2125
ko:K02003	llx:NCDO2118_2128
ko:K00845	llx:NCDO2118_2132
ko:K04047	llx:NCDO2118_2134
ko:K02236	llx:NCDO2118_2135
ko:K02346	llx:NCDO2118_2136
ko:K03758	llx:NCDO2118_2138
ko:K00926	llx:NCDO2118_2140
ko:K00926	llx:NCDO2118_2141
ko:K03758	llx:NCDO2118_2142
ko:K00611	llx:NCDO2118_2143
ko:K01478	llx:NCDO2118_2144
ko:K01887	llx:NCDO2118_2145
ko:K03402	llx:NCDO2118_2146
ko:K01924	llx:NCDO2118_2147
ko:K02445	llx:NCDO2118_0538
ko:K03697	llx:NCDO2118_0540
ko:K00134	llx:NCDO2118_0542
ko:K01462	llx:NCDO2118_0543
ko:K08311	llx:NCDO2118_0544
ko:K03702	llx:NCDO2118_0545
ko:K02030	llx:NCDO2118_0546
ko:K01438	llx:NCDO2118_0547
ko:K02372	llx:NCDO2118_0548
ko:K00208	llx:NCDO2118_0549
ko:K01990	llx:NCDO2118_0551
ko:K03217	llx:NCDO2118_0553
ko:K01598	llx:NCDO2118_0556
ko:K01821	llx:NCDO2118_0558
ko:K03827	llx:NCDO2118_0560
ko:K07030	llx:NCDO2118_0565
ko:K02835	llx:NCDO2118_0578
ko:K02493	llx:NCDO2118_0581
ko:K07566	llx:NCDO2118_0583
ko:K00600	llx:NCDO2118_0584
ko:K00831	llx:NCDO2118_0586
ko:K00058	llx:NCDO2118_0587
ko:K01079	llx:NCDO2118_0588
ko:K01512	llx:NCDO2118_0589
ko:K03437	llx:NCDO2118_0590
ko:K01507	llx:NCDO2118_0591
ko:K09787	llx:NCDO2118_1441
ko:K02484	llx:NCDO2118_1443
ko:K03710	llx:NCDO2118_1445
ko:K07335	llx:NCDO2118_1446
ko:K01489	llx:NCDO2118_1447
ko:K01619	llx:NCDO2118_1448
ko:K00756	llx:NCDO2118_1450
ko:K00564	llx:NCDO2118_1451
ko:K00867	llx:NCDO2118_1452
ko:K13256	llx:NCDO2118_1453
ko:K02001	llx:NCDO2118_1460
ko:K02002	llx:NCDO2118_1460
ko:K02000	llx:NCDO2118_1461
ko:K00712	llx:NCDO2118_1463
ko:K00712	llx:NCDO2118_1464
ko:K01223	llx:NCDO2118_1465
ko:K02755	llx:NCDO2118_1466
ko:K02756	llx:NCDO2118_1466
ko:K02757	llx:NCDO2118_1466
ko:K03488	llx:NCDO2118_1467
ko:K01695	llx:NCDO2118_1468
ko:K01696	llx:NCDO2118_1469
ko:K01817	llx:NCDO2118_1471
ko:K01609	llx:NCDO2118_1472
ko:K00766	llx:NCDO2118_1473
ko:K01658	llx:NCDO2118_1474
ko:K12296	llx:NCDO2118_2252
ko:K06286	llx:NCDO2118_2253
ko:K02357	llx:NCDO2118_2254
ko:K02967	llx:NCDO2118_2255
ko:K07404	llx:NCDO2118_2256
ko:K04072	llx:NCDO2118_2257
ko:K07177	llx:NCDO2118_2265
ko:K00954	llx:NCDO2118_2266
ko:K08316	llx:NCDO2118_2267
ko:K08152	llx:NCDO2118_2268
ko:K08152	llx:NCDO2118_2269
ko:K03088	llx:NCDO2118_2270
ko:K01810	llx:NCDO2118_2272
ko:K06940	llx:NCDO2118_2273
ko:K01873	llx:NCDO2118_2277
ko:K03565	llx:NCDO2118_2285
ko:K03299	llx:NCDO2118_2286
ko:K00851	llx:NCDO2118_2287
ko:K00033	llx:NCDO2118_2288
ko:K07098	llx:NCDO2118_2291
ko:K02963	llx:NCDO2118_2292
ko:K02990	llx:NCDO2118_2294
ko:K06153	llx:NCDO2118_2295
ko:K11733	llx:NCDO2118_2296
ko:K02343	llx:NCDO2118_2297
ko:K02528	llx:NCDO2118_0706
ko:K01262	llx:NCDO2118_0707
ko:K02356	llx:NCDO2118_0708
ko:K03625	llx:NCDO2118_0710
ko:K00705	llx:NCDO2118_0711
ko:K00975	llx:NCDO2118_0712
ko:K00975	llx:NCDO2118_0713
ko:K00703	llx:NCDO2118_0714
ko:K00688	llx:NCDO2118_0715
ko:K03305	llx:NCDO2118_0717
ko:K00425	llx:NCDO2118_0719
ko:K00426	llx:NCDO2118_0720
ko:K16013	llx:NCDO2118_0721
ko:K16012	llx:NCDO2118_0722
ko:K18104	llx:NCDO2118_0726
ko:K07069	llx:NCDO2118_0730
ko:K11991	llx:NCDO2118_0736
ko:K02549	llx:NCDO2118_0743
ko:K01911	llx:NCDO2118_0744
ko:K01661	llx:NCDO2118_0745
ko:K08680	llx:NCDO2118_0746
ko:K02551	llx:NCDO2118_0747
ko:K02552	llx:NCDO2118_0748
ko:K01424	llx:NCDO2118_0752
ko:K07192	llx:NCDO2118_0755
ko:K07001	llx:NCDO2118_0757
ko:K08659	llx:NCDO2118_1579
ko:K00974	llx:NCDO2118_1580
ko:K00215	llx:NCDO2118_1582
ko:K00554	llx:NCDO2118_1585
ko:K02860	llx:NCDO2118_1586
ko:K01772	llx:NCDO2118_1588
ko:K06960	llx:NCDO2118_1589
ko:K02959	llx:NCDO2118_1590
ko:K00054	llx:NCDO2118_1591
ko:K00626	llx:NCDO2118_1592
ko:K01641	llx:NCDO2118_1593
ko:K02564	llx:NCDO2118_1594
ko:K06889	llx:NCDO2118_1595
ko:K03491	llx:NCDO2118_1596
ko:K02768	llx:NCDO2118_1597
ko:K02769	llx:NCDO2118_1598
ko:K02770	llx:NCDO2118_1599
ko:K15524	llx:NCDO2118_1600
ko:K01625	llx:NCDO2118_1601
ko:K00874	llx:NCDO2118_1602
ko:K01685	llx:NCDO2118_1604
ko:K00041	llx:NCDO2118_1605
ko:K01812	llx:NCDO2118_1606
ko:K03292	llx:NCDO2118_1607
ko:K02525	llx:NCDO2118_1608
ko:K07568	llx:NCDO2118_1619
ko:K03979	llx:NCDO2118_1630
ko:K07052	llx:NCDO2118_p0014
ko:K03549	llx:NCDO2118_p0026
ko:K03811	llx:NCDO2118_p0032
ko:K10254	llx:NCDO2118_p0033
ko:K01534	llx:NCDO2118_p0047
ko:K01940	llx:NCDO2118_0106
ko:K01755	llx:NCDO2118_0107
ko:K08161	llx:NCDO2118_0108
ko:K03536	llx:NCDO2118_0110
ko:K03217	llx:NCDO2118_0111
ko:K06346	llx:NCDO2118_0112
ko:K07447	llx:NCDO2118_0115
ko:K14189	llx:NCDO2118_0120
ko:K00700	llx:NCDO2118_0122
ko:K01104	llx:NCDO2118_0131
ko:K00773	llx:NCDO2118_0142
ko:K06929	llx:NCDO2118_0145
ko:K15051	llx:NCDO2118_0146
ko:K14260	llx:NCDO2118_0150
ko:K03706	llx:NCDO2118_0151
ko:K02435	llx:NCDO2118_0152
ko:K02433	llx:NCDO2118_0153
ko:K02434	llx:NCDO2118_0155
ko:K01426	llx:NCDO2118_0157
ko:K03704	llx:NCDO2118_0159
ko:K01934	llx:NCDO2118_0160
ko:K01938	llx:NCDO2118_0999
ko:K02030	llx:NCDO2118_1001
ko:K02029	llx:NCDO2118_1002
ko:K02028	llx:NCDO2118_1003
ko:K00384	llx:NCDO2118_1005
ko:K03075	llx:NCDO2118_1006
ko:K12573	llx:NCDO2118_1007
ko:K07166	llx:NCDO2118_1011
ko:K09157	llx:NCDO2118_1012
ko:K07260	llx:NCDO2118_1015
ko:K03705	llx:NCDO2118_1017
ko:K03687	llx:NCDO2118_1018
ko:K04043	llx:NCDO2118_1019
ko:K10254	llx:NCDO2118_1020
ko:K03436	llx:NCDO2118_1022
ko:K00882	llx:NCDO2118_1023
ko:K02768	llx:NCDO2118_1024
ko:K02769	llx:NCDO2118_1024
ko:K02770	llx:NCDO2118_1024
ko:K06131	llx:NCDO2118_1025
ko:K06958	llx:NCDO2118_1026
ko:K09762	llx:NCDO2118_1028
ko:K01990	llx:NCDO2118_1030
ko:K01992	llx:NCDO2118_1031
ko:K07586	llx:NCDO2118_1034
ko:K02836	llx:NCDO2118_1036
ko:K09812	llx:NCDO2118_1037
ko:K09811	llx:NCDO2118_1038
ko:K03647	llx:NCDO2118_1041
ko:K08591	llx:NCDO2118_1043
ko:K02622	llx:NCDO2118_1044
ko:K00782	llx:NCDO2118_1843
ko:K06890	llx:NCDO2118_1844
ko:K06950	llx:NCDO2118_1846
ko:K02968	llx:NCDO2118_1847
ko:K03581	llx:NCDO2118_1848
ko:K04518	llx:NCDO2118_1850
ko:K00891	llx:NCDO2118_1851
ko:K00800	llx:NCDO2118_1852
ko:K04517	llx:NCDO2118_1853
ko:K02004	llx:NCDO2118_1857
ko:K02003	llx:NCDO2118_1858
ko:K01736	llx:NCDO2118_1859
ko:K09936	llx:NCDO2118_1862
ko:K01735	llx:NCDO2118_1863
ko:K00014	llx:NCDO2118_1864
ko:K03975	llx:NCDO2118_1865
ko:K02029	llx:NCDO2118_1866
ko:K02030	llx:NCDO2118_1866
ko:K02028	llx:NCDO2118_1867
ko:K02114	llx:NCDO2118_1870
ko:K02112	llx:NCDO2118_1871
ko:K02115	llx:NCDO2118_1872
ko:K02111	llx:NCDO2118_1873
ko:K02113	llx:NCDO2118_1874
ko:K02109	llx:NCDO2118_1875
ko:K02108	llx:NCDO2118_1876
ko:K02110	llx:NCDO2118_1877
ko:K03930	llx:NCDO2118_1878
ko:K02238	llx:NCDO2118_1879
ko:K02237	llx:NCDO2118_1880
ko:K01992	llx:NCDO2118_1881
ko:K01990	llx:NCDO2118_1882
ko:K03823	llx:NCDO2118_1884
ko:K03707	llx:NCDO2118_1886
ko:K03524	llx:NCDO2118_1887
ko:K03523	llx:NCDO2118_1888
ko:K00626	llx:NCDO2118_1890
ko:K00059	llx:NCDO2118_1892
ko:K02371	llx:NCDO2118_1893
ko:K09014	llx:NCDO2118_1894
ko:K03704	llx:NCDO2118_0277
ko:K03704	llx:NCDO2118_0278
ko:K01791	llx:NCDO2118_0288
ko:K01990	llx:NCDO2118_0297
ko:K07729	llx:NCDO2118_0309
ko:K16786	llx:NCDO2118_0330
ko:K11754	llx:NCDO2118_1157
ko:K00003	llx:NCDO2118_1159
ko:K00872	llx:NCDO2118_1160
ko:K16788	llx:NCDO2118_1161
ko:K00075	llx:NCDO2118_1162
ko:K11072	llx:NCDO2118_1163
ko:K11071	llx:NCDO2118_1164
ko:K11070	llx:NCDO2118_1165
ko:K11069	llx:NCDO2118_1166
ko:K03704	llx:NCDO2118_1172
ko:K06131	llx:NCDO2118_1173
ko:K01788	llx:NCDO2118_1175
ko:K03215	llx:NCDO2118_1177
ko:K07137	llx:NCDO2118_1178
ko:K01652	llx:NCDO2118_1182
ko:K00645	llx:NCDO2118_1188
ko:K01990	llx:NCDO2118_1191
ko:K01992	llx:NCDO2118_1192
ko:K06133	llx:NCDO2118_1196
ko:K07646	llx:NCDO2118_1207
ko:K07667	llx:NCDO2118_1208
ko:K01546	llx:NCDO2118_1209
ko:K01547	llx:NCDO2118_1210
ko:K01548	llx:NCDO2118_1211
ko:K01243	llx:NCDO2118_2000
ko:K01515	llx:NCDO2118_2002
ko:K04042	llx:NCDO2118_2003
ko:K00286	llx:NCDO2118_2004
ko:K02956	llx:NCDO2118_2005
ko:K03500	llx:NCDO2118_2008
ko:K00604	llx:NCDO2118_2013
ko:K04066	llx:NCDO2118_2017
ko:K03060	llx:NCDO2118_2018
ko:K00942	llx:NCDO2118_2019
ko:K18682	llx:NCDO2118_2020
ko:K00789	llx:NCDO2118_2022
ko:K00574	llx:NCDO2118_2023
ko:K03524	llx:NCDO2118_2024
ko:K01624	llx:NCDO2118_2029
ko:K01868	llx:NCDO2118_2031
ko:K03322	llx:NCDO2118_2033
ko:K07078	llx:NCDO2118_2034
ko:K00761	llx:NCDO2118_2035
ko:K14155	llx:NCDO2118_2037
ko:K01739	llx:NCDO2118_2038
ko:K00651	llx:NCDO2118_2039
ko:K07088	llx:NCDO2118_2041
ko:K01118	llx:NCDO2118_0440
ko:K03316	llx:NCDO2118_0442
ko:K01866	llx:NCDO2118_0444
ko:K03693	llx:NCDO2118_0445
ko:K01261	llx:NCDO2118_0446
ko:K06878	llx:NCDO2118_0449
ko:K04078	llx:NCDO2118_0452
ko:K04077	llx:NCDO2118_0453
ko:K07652	llx:NCDO2118_0455
ko:K07668	llx:NCDO2118_0456
ko:K00943	llx:NCDO2118_0457
ko:K02341	llx:NCDO2118_0458
ko:K07056	llx:NCDO2118_0461
ko:K00869	llx:NCDO2118_0463
ko:K01597	llx:NCDO2118_0464
ko:K00938	llx:NCDO2118_0465
ko:K01823	llx:NCDO2118_0466
ko:K04564	llx:NCDO2118_0467
ko:K06200	llx:NCDO2118_0468
ko:K18692	llx:NCDO2118_0469
ko:K02760	llx:NCDO2118_0472
ko:K02759	llx:NCDO2118_0473
ko:K02761	llx:NCDO2118_0475
ko:K01223	llx:NCDO2118_0476
ko:K01972	llx:NCDO2118_0478
ko:K10112	llx:NCDO2118_0480
ko:K18672	llx:NCDO2118_0482
ko:K03431	llx:NCDO2118_0484
ko:K03486	llx:NCDO2118_0485
ko:K02755	llx:NCDO2118_0487
ko:K02756	llx:NCDO2118_0487
ko:K02757	llx:NCDO2118_0487
ko:K01838	llx:NCDO2118_0489
ko:K06925	llx:NCDO2118_0492
ko:K01580	llx:NCDO2118_1319
ko:K03470	llx:NCDO2118_1322
ko:K14540	llx:NCDO2118_1323
ko:K09815	llx:NCDO2118_1328
ko:K01235	llx:NCDO2118_1331
ko:K15531	llx:NCDO2118_1333
ko:K02025	llx:NCDO2118_1335
ko:K05970	llx:NCDO2118_1337
ko:K00661	llx:NCDO2118_1346
ko:K01759	llx:NCDO2118_1347
ko:K16509	llx:NCDO2118_1356
ko:K03342	llx:NCDO2118_1357
ko:K07284	llx:NCDO2118_1359
ko:K00158	llx:NCDO2118_2152
ko:K07052	llx:NCDO2118_2155
ko:K02440	llx:NCDO2118_2156
ko:K01281	llx:NCDO2118_2157
ko:K07010	llx:NCDO2118_2158
ko:K02030	llx:NCDO2118_2159
ko:K09698	llx:NCDO2118_2161
ko:K04485	llx:NCDO2118_2171
ko:K03273	llx:NCDO2118_2174
ko:K03271	llx:NCDO2118_2175
ko:K07031	llx:NCDO2118_2176
ko:K05363	llx:NCDO2118_2181
ko:K02879	llx:NCDO2118_2182
ko:K03040	llx:NCDO2118_2183
ko:K02948	llx:NCDO2118_2184
ko:K02952	llx:NCDO2118_2185
ko:K02518	llx:NCDO2118_2186
ko:K00939	llx:NCDO2118_2187
ko:K03076	llx:NCDO2118_2188
ko:K02876	llx:NCDO2118_2189
ko:K02907	llx:NCDO2118_2190
ko:K02988	llx:NCDO2118_2191
ko:K02881	llx:NCDO2118_2192
ko:K02933	llx:NCDO2118_2193
ko:K02994	llx:NCDO2118_2194
ko:K02954	llx:NCDO2118_2196
ko:K02931	llx:NCDO2118_2197
ko:K02895	llx:NCDO2118_2198
ko:K02874	llx:NCDO2118_2199
ko:K01265	llx:NCDO2118_0595
ko:K07058	llx:NCDO2118_0596
ko:K06023	llx:NCDO2118_0601
ko:K13292	llx:NCDO2118_0602
ko:K00033	llx:NCDO2118_0605
ko:K03549	llx:NCDO2118_0619
ko:K03549	llx:NCDO2118_0620
ko:K00791	llx:NCDO2118_0623
ko:K00784	llx:NCDO2118_0627
ko:K07124	llx:NCDO2118_0628
ko:K07462	llx:NCDO2118_0629
ko:K00759	llx:NCDO2118_0630
ko:K03048	llx:NCDO2118_0631
ko:K07082	llx:NCDO2118_0632
ko:K03624	llx:NCDO2118_0633
ko:K03708	llx:NCDO2118_0634
ko:K03696	llx:NCDO2118_0635
ko:K01689	llx:NCDO2118_0637
ko:K02003	llx:NCDO2118_0638
ko:K02004	llx:NCDO2118_0639
ko:K03284	llx:NCDO2118_0642
ko:K00656	llx:NCDO2118_0643
ko:K00859	llx:NCDO2118_0644
ko:K03588	llx:NCDO2118_0646
ko:K01958	llx:NCDO2118_0647
ko:K01647	llx:NCDO2118_0648
ko:K01657	llx:NCDO2118_1475
ko:K08987	llx:NCDO2118_1476
ko:K11069	llx:NCDO2118_1486
ko:K04751	llx:NCDO2118_1487
ko:K11072	llx:NCDO2118_1488
ko:K11071	llx:NCDO2118_1489
ko:K11070	llx:NCDO2118_1490
ko:K09251	llx:NCDO2118_1491
ko:K17318	llx:NCDO2118_1498
ko:K17320	llx:NCDO2118_1499
ko:K17319	llx:NCDO2118_1500
ko:K01951	llx:NCDO2118_1501
ko:K00847	llx:NCDO2118_1502
ko:K01223	llx:NCDO2118_1504
ko:K12373	llx:NCDO2118_1508
ko:K17318	llx:NCDO2118_1509
ko:K17320	llx:NCDO2118_1510
ko:K17319	llx:NCDO2118_1511
ko:K01191	llx:NCDO2118_1512
ko:K09704	llx:NCDO2118_1513
ko:K01804	llx:NCDO2118_1517
ko:K02532	llx:NCDO2118_1522
ko:K02103	llx:NCDO2118_1523
ko:K00661	llx:NCDO2118_1525
ko:K01198	llx:NCDO2118_1526
ko:K04516	llx:NCDO2118_2300
ko:K01915	llx:NCDO2118_2325
ko:K03713	llx:NCDO2118_2326
ko:K01104	llx:NCDO2118_2327
ko:K01990	llx:NCDO2118_2328
ko:K01992	llx:NCDO2118_2329
ko:K03551	llx:NCDO2118_2332
ko:K03550	llx:NCDO2118_2333
ko:K03572	llx:NCDO2118_2334
ko:K03555	llx:NCDO2118_2336
ko:K07090	llx:NCDO2118_2341
ko:K00036	llx:NCDO2118_2343
ko:K07015	llx:NCDO2118_2344
ko:K03686	llx:NCDO2118_2345
ko:K01779	llx:NCDO2118_2347
ko:K17810	llx:NCDO2118_2348
ko:K01953	llx:NCDO2118_2349
ko:K03571	llx:NCDO2118_2351
ko:K02939	llx:NCDO2118_0761
ko:K03439	llx:NCDO2118_0765
ko:K07738	llx:NCDO2118_0766
ko:K03346	llx:NCDO2118_0767
ko:K11144	llx:NCDO2118_0768
ko:K03977	llx:NCDO2118_0771
ko:K07284	llx:NCDO2118_0775
ko:K06518	llx:NCDO2118_0778
ko:K09748	llx:NCDO2118_0779
ko:K02600	llx:NCDO2118_0780
ko:K07742	llx:NCDO2118_0781
ko:K02519	llx:NCDO2118_0783
ko:K02834	llx:NCDO2118_0784
ko:K01809	llx:NCDO2118_0785
ko:K00648	llx:NCDO2118_0787
ko:K02078	llx:NCDO2118_0788
ko:K00645	llx:NCDO2118_0789
ko:K00059	llx:NCDO2118_0790
ko:K09458	llx:NCDO2118_0791
ko:K02160	llx:NCDO2118_0792
ko:K02372	llx:NCDO2118_0793
ko:K01961	llx:NCDO2118_0794
ko:K01963	llx:NCDO2118_0795
ko:K01962	llx:NCDO2118_0796
ko:K01760	llx:NCDO2118_0797
ko:K01738	llx:NCDO2118_0798
ko:K00537	llx:NCDO2118_0803
ko:K01142	llx:NCDO2118_0806
ko:K01874	llx:NCDO2118_0807
ko:K00059	llx:NCDO2118_0809
ko:K07118	llx:NCDO2118_0811
ko:K00145	llx:NCDO2118_0812
ko:K00620	llx:NCDO2118_0813
ko:K00930	llx:NCDO2118_0815
ko:K03589	llx:NCDO2118_1631
ko:K02563	llx:NCDO2118_1632
ko:K01925	llx:NCDO2118_1633
ko:K04751	llx:NCDO2118_1634
ko:K03320	llx:NCDO2118_1635
ko:K07040	llx:NCDO2118_1638
ko:K02909	llx:NCDO2118_1639
ko:K02313	llx:NCDO2118_0001
ko:K02338	llx:NCDO2118_0002
ko:K16899	llx:NCDO2118_0003
ko:K16898	llx:NCDO2118_0004
ko:K06942	llx:NCDO2118_0007
ko:K02003	llx:NCDO2118_0011
ko:K01056	llx:NCDO2118_0013
ko:K03723	llx:NCDO2118_0014
ko:K01467	llx:NCDO2118_0019
ko:K04075	llx:NCDO2118_0020
ko:K00760	llx:NCDO2118_0021
ko:K03798	llx:NCDO2118_0022
ko:K02799	llx:NCDO2118_0023
ko:K02800	llx:NCDO2118_0023
ko:K02798	llx:NCDO2118_0025
ko:K00009	llx:NCDO2118_0026
ko:K03321	llx:NCDO2118_0030
ko:K00841	llx:NCDO2118_0032
ko:K03584	llx:NCDO2118_0033
ko:K00382	llx:NCDO2118_0035
ko:K00627	llx:NCDO2118_0036
ko:K00162	llx:NCDO2118_0037
ko:K00161	llx:NCDO2118_0038
ko:K03800	llx:NCDO2118_0039
ko:K01126	llx:NCDO2118_0040
ko:K06950	llx:NCDO2118_0041
ko:K01867	llx:NCDO2118_0042
ko:K04063	llx:NCDO2118_0044
ko:K03621	llx:NCDO2118_0047
ko:K03438	llx:NCDO2118_0878
ko:K12556	llx:NCDO2118_0880
ko:K01000	llx:NCDO2118_0881
ko:K02004	llx:NCDO2118_0883
ko:K02003	llx:NCDO2118_0884
ko:K02884	llx:NCDO2118_0887
ko:K03811	llx:NCDO2118_0891
ko:K03530	llx:NCDO2118_0894
ko:K01421	llx:NCDO2118_0896
ko:K02013	llx:NCDO2118_0898
ko:K07017	llx:NCDO2118_0899
