ko:K04042	mtf:TBFG_11036
ko:K01428	mtf:TBFG_11878
ko:K01880	mtf:TBFG_12383
ko:K03686	mtf:TBFG_10357
ko:K07670	mtf:TBFG_13275
ko:K01874	mtf:TBFG_11026
ko:K02358	mtf:TBFG_10699
ko:K07068	mtf:TBFG_13554
ko:K01126	mtf:TBFG_13876
ko:K01858	mtf:TBFG_10045
ko:K01903	mtf:TBFG_10969
ko:K03060	mtf:TBFG_11419
ko:K10563	mtf:TBFG_12939
ko:K07016	mtf:TBFG_12837
ko:K04073	mtf:TBFG_13568
ko:K00340	mtf:TBFG_13176
ko:K00339	mtf:TBFG_13175
ko:K06891	mtf:TBFG_11363
ko:K03073	mtf:TBFG_10651
ko:K03696	mtf:TBFG_13629
ko:K01953	mtf:TBFG_12229
ko:K03218	mtf:TBFG_13612
ko:K00963	mtf:TBFG_11011
ko:K00337	mtf:TBFG_13173
ko:K03601	mtf:TBFG_11130
ko:K03110	mtf:TBFG_12935
ko:K02909	mtf:TBFG_11325
ko:K07100	mtf:TBFG_10581
ko:K03922	mtf:TBFG_11115
ko:K03921	mtf:TBFG_10839
ko:K03168	mtf:TBFG_13675
ko:K00867	mtf:TBFG_11113
ko:K06180	mtf:TBFG_11573
ko:K01061	mtf:TBFG_12778
ko:K06187	mtf:TBFG_13747
ko:K03625	mtf:TBFG_12553
ko:K07646	mtf:TBFG_11046
ko:K02361	mtf:TBFG_13241
ko:K05592	mtf:TBFG_11279
ko:K03183	mtf:TBFG_10568
ko:K02108	mtf:TBFG_11331
ko:K02115	mtf:TBFG_11336
ko:K02112	mtf:TBFG_11337
ko:K02313	mtf:TBFG_10001
ko:K02338	mtf:TBFG_10002
ko:K03629	mtf:TBFG_10003
ko:K00705	mtf:TBFG_11812
ko:K00525	mtf:TBFG_13067
ko:K02601	mtf:TBFG_10652
ko:K00370	mtf:TBFG_11186
ko:K00363	mtf:TBFG_10256
ko:K00362	mtf:TBFG_10255
ko:K01892	mtf:TBFG_12600
ko:K02343	mtf:TBFG_13753
ko:K00526	mtf:TBFG_13064
ko:K00526	mtf:TBFG_10235
ko:K01915	mtf:TBFG_12251
ko:K00111	mtf:TBFG_13331
ko:K03665	mtf:TBFG_12738
ko:K09812	mtf:TBFG_13119
ko:K06442	mtf:TBFG_11709
ko:K00525	mtf:TBFG_10580
ko:K02346	mtf:TBFG_13073
ko:K01126	mtf:TBFG_10322
ko:K00760	mtf:TBFG_13655
ko:K04485	mtf:TBFG_13618
ko:K02037	mtf:TBFG_10947
ko:K00325	mtf:TBFG_10158
ko:K00244	mtf:TBFG_11584
ko:K03470	mtf:TBFG_12916
ko:K02337	mtf:TBFG_11580
ko:K06978	mtf:TBFG_11864
ko:K01638	mtf:TBFG_11866
ko:K00088	mtf:TBFG_11871
ko:K00033	mtf:TBFG_11872
ko:K03188	mtf:TBFG_11879
ko:K03190	mtf:TBFG_11881
ko:K03885	mtf:TBFG_11882
ko:K02020	mtf:TBFG_11885
ko:K02018	mtf:TBFG_11886
ko:K00101	mtf:TBFG_11900
ko:K03594	mtf:TBFG_11904
ko:K01915	mtf:TBFG_11906
ko:K03628	mtf:TBFG_11324
ko:K07503	mtf:TBFG_11352
ko:K05522	mtf:TBFG_13326
ko:K07507	mtf:TBFG_11841
ko:K03885	mtf:TBFG_11842
ko:K02471	mtf:TBFG_11849
ko:K01652	mtf:TBFG_11850
ko:K02437	mtf:TBFG_11856
ko:K08999	mtf:TBFG_11859
ko:K01548	mtf:TBFG_11049
ko:K00759	mtf:TBFG_12604
ko:K02035	mtf:TBFG_12605
ko:K03550	mtf:TBFG_12613
ko:K00797	mtf:TBFG_12620
ko:K08681	mtf:TBFG_12623
ko:K06215	mtf:TBFG_12625
ko:K00275	mtf:TBFG_12626
ko:K00995	mtf:TBFG_12631
ko:K01868	mtf:TBFG_12633
ko:K00077	mtf:TBFG_12593
ko:K09771	mtf:TBFG_12657
ko:K01547	mtf:TBFG_11048
ko:K07054	mtf:TBFG_12595
ko:K04077	mtf:TBFG_10445
ko:K03149	mtf:TBFG_10422
ko:K10533	mtf:TBFG_12753
ko:K00526	mtf:TBFG_12012
ko:K01588	mtf:TBFG_13304
ko:K02066	mtf:TBFG_11996
ko:K02067	mtf:TBFG_11998
ko:K02067	mtf:TBFG_11999
ko:K02067	mtf:TBFG_12000
ko:K02067	mtf:TBFG_12001
ko:K02067	mtf:TBFG_12002
ko:K01586	mtf:TBFG_11320
ko:K02470	mtf:TBFG_10005
ko:K02469	mtf:TBFG_10006
ko:K03497	mtf:TBFG_13952
ko:K02914	mtf:TBFG_13959
ko:K00344	mtf:TBFG_11482
ko:K00426	mtf:TBFG_11638
ko:K03427	mtf:TBFG_12769
ko:K10843	mtf:TBFG_10878
ko:K07447	mtf:TBFG_12575
ko:K02346	mtf:TBFG_11570
ko:K03767	mtf:TBFG_10009
ko:K03070	mtf:TBFG_13269
ko:K03070	mtf:TBFG_11851
ko:K01616	mtf:TBFG_11274
ko:K02047	mtf:TBFG_12426
ko:K02046	mtf:TBFG_12427
ko:K02048	mtf:TBFG_12428
ko:K03596	mtf:TBFG_12432
ko:K00784	mtf:TBFG_12435
ko:K00969	mtf:TBFG_12449
ko:K07161	mtf:TBFG_12453
ko:K01738	mtf:TBFG_12358
ko:K00640	mtf:TBFG_12359
ko:K06994	mtf:TBFG_12363
ko:K01129	mtf:TBFG_12368
ko:K01114	mtf:TBFG_12373
ko:K01114	mtf:TBFG_12374
ko:K01114	mtf:TBFG_12375
ko:K03584	mtf:TBFG_12388
ko:K09761	mtf:TBFG_12397
ko:K03686	mtf:TBFG_12398
ko:K03705	mtf:TBFG_12399
ko:K02551	mtf:TBFG_10565
ko:K01962	mtf:TBFG_10922
ko:K01963	mtf:TBFG_10922
ko:K07086	mtf:TBFG_12412
ko:K00390	mtf:TBFG_12420
ko:K02045	mtf:TBFG_12425
ko:K09002	mtf:TBFG_12835
ko:K00344	mtf:TBFG_10150
ko:K03466	mtf:TBFG_12761
ko:K03466	mtf:TBFG_13484
ko:K06024	mtf:TBFG_11725
ko:K02229	mtf:TBFG_12100
ko:K01814	mtf:TBFG_11619
ko:K01817	mtf:TBFG_11619
ko:K16786	mtf:TBFG_12349
ko:K16787	mtf:TBFG_12349
ko:K03647	mtf:TBFG_13068
ko:K06191	mtf:TBFG_13069
ko:K01738	mtf:TBFG_13715
ko:K09117	mtf:TBFG_13719
ko:K03924	mtf:TBFG_13723
ko:K00864	mtf:TBFG_13727
ko:K07008	mtf:TBFG_13733
ko:K01919	mtf:TBFG_13735
ko:K00133	mtf:TBFG_13740
ko:K00928	mtf:TBFG_13741
ko:K01649	mtf:TBFG_13742
ko:K07009	mtf:TBFG_13745
ko:K09747	mtf:TBFG_13748
ko:K01448	mtf:TBFG_13749
ko:K00574	mtf:TBFG_13752
ko:K07001	mtf:TBFG_13760
ko:K06937	mtf:TBFG_13761
ko:K00322	mtf:TBFG_12727
ko:K07738	mtf:TBFG_12732
ko:K01356	mtf:TBFG_12734
ko:K01778	mtf:TBFG_12739
ko:K00791	mtf:TBFG_12740
ko:K03565	mtf:TBFG_12749
ko:K01714	mtf:TBFG_12766
ko:K09129	mtf:TBFG_13767
ko:K07044	mtf:TBFG_12790
ko:K01644	mtf:TBFG_13092
ko:K07560	mtf:TBFG_11926
ko:K08178	mtf:TBFG_11931
ko:K08972	mtf:TBFG_11932
ko:K06910	mtf:TBFG_11939
ko:K06910	mtf:TBFG_11940
ko:K01637	mtf:TBFG_11944
ko:K01637	mtf:TBFG_11945
ko:K02654	mtf:TBFG_12572
ko:K03564	mtf:TBFG_12542
ko:K00997	mtf:TBFG_12544
ko:K01584	mtf:TBFG_12551
ko:K01735	mtf:TBFG_12558
ko:K00891	mtf:TBFG_12559
ko:K01736	mtf:TBFG_12560
ko:K00014	mtf:TBFG_12573
ko:K07082	mtf:TBFG_12574
ko:K01872	mtf:TBFG_12576
ko:K07478	mtf:TBFG_12580
ko:K02003	mtf:TBFG_12584
ko:K07001	mtf:TBFG_12585
ko:K01876	mtf:TBFG_12592
ko:K06048	mtf:TBFG_10438
ko:K00793	mtf:TBFG_11441
ko:K00794	mtf:TBFG_11445
ko:K02906	mtf:TBFG_10715
ko:K02890	mtf:TBFG_10720
ko:K00547	mtf:TBFG_12483
ko:K02954	mtf:TBFG_10731
ko:K00609	mtf:TBFG_11409
ko:K01644	mtf:TBFG_12520
ko:K10805	mtf:TBFG_11634
ko:K10805	mtf:TBFG_12624
ko:K00856	mtf:TBFG_12230
ko:K00865	mtf:TBFG_12233
ko:K00768	mtf:TBFG_12235
ko:K02233	mtf:TBFG_12236
ko:K00826	mtf:TBFG_12238
ko:K00605	mtf:TBFG_12239
ko:K01255	mtf:TBFG_12241
ko:K07071	mtf:TBFG_12244
ko:K02600	mtf:TBFG_12856
ko:K10979	mtf:TBFG_10955
ko:K03685	mtf:TBFG_12940
ko:K02114	mtf:TBFG_11338
ko:K09966	mtf:TBFG_13777
ko:K01956	mtf:TBFG_11412
ko:K00872	mtf:TBFG_11323
ko:K03602	mtf:TBFG_11129
ko:K01673	mtf:TBFG_13621
ko:K01902	mtf:TBFG_10970
ko:K01808	mtf:TBFG_12490
ko:K01889	mtf:TBFG_11666
ko:K03544	mtf:TBFG_12482
ko:K03545	mtf:TBFG_12487
ko:K05522	mtf:TBFG_12489
ko:K01256	mtf:TBFG_12492
ko:K06886	mtf:TBFG_12495
ko:K07107	mtf:TBFG_12499
ko:K01546	mtf:TBFG_11047
ko:K01589	mtf:TBFG_13305
ko:K04567	mtf:TBFG_13631
ko:K08372	mtf:TBFG_11001
ko:K01624	mtf:TBFG_10368
ko:K01657	mtf:TBFG_11625
ko:K01029	mtf:TBFG_12525
ko:K01028	mtf:TBFG_12526
ko:K06902	mtf:TBFG_12530
ko:K06915	mtf:TBFG_12532
ko:K06966	mtf:TBFG_12514
ko:K00627	mtf:TBFG_12517
ko:K03786	mtf:TBFG_12557
ko:K12349	mtf:TBFG_10683
ko:K03043	mtf:TBFG_10681
ko:K13540	mtf:TBFG_12102
ko:K02335	mtf:TBFG_11645
ko:K03582	mtf:TBFG_10641
ko:K03581	mtf:TBFG_10640
ko:K00954	mtf:TBFG_12980
ko:K01703	mtf:TBFG_13003
ko:K03583	mtf:TBFG_10642
ko:K03046	mtf:TBFG_10682
ko:K03724	mtf:TBFG_13325
ko:K04477	mtf:TBFG_13892
ko:K03980	mtf:TBFG_13945
ko:K03088	mtf:TBFG_13946
ko:K00384	mtf:TBFG_13948
ko:K03671	mtf:TBFG_13949
ko:K06346	mtf:TBFG_13955
ko:K03217	mtf:TBFG_13956
ko:K08998	mtf:TBFG_13957
ko:K01673	mtf:TBFG_13302
ko:K11387	mtf:TBFG_13827
ko:K06916	mtf:TBFG_12685
ko:K07305	mtf:TBFG_12689
ko:K01599	mtf:TBFG_12693
ko:K03684	mtf:TBFG_12696
ko:K01662	mtf:TBFG_12697
ko:K03499	mtf:TBFG_12706
ko:K03499	mtf:TBFG_12707
ko:K00886	mtf:TBFG_12717
ko:K03086	mtf:TBFG_12718
ko:K00266	mtf:TBFG_13894
ko:K01915	mtf:TBFG_12249
ko:K00982	mtf:TBFG_12250
ko:K00606	mtf:TBFG_12254
ko:K09990	mtf:TBFG_12256
ko:K07164	mtf:TBFG_12258
ko:K00817	mtf:TBFG_12260
ko:K02227	mtf:TBFG_12265
ko:K00645	mtf:TBFG_12272
ko:K02078	mtf:TBFG_12273
ko:K00111	mtf:TBFG_12278
ko:K00803	mtf:TBFG_12280
ko:K03820	mtf:TBFG_12289
ko:K07058	mtf:TBFG_12721
ko:K01673	mtf:TBFG_11310
ko:K03789	mtf:TBFG_13454
ko:K11386	mtf:TBFG_13829
ko:K11385	mtf:TBFG_13828
ko:K00652	mtf:TBFG_11601
ko:K07669	mtf:TBFG_10999
ko:K03588	mtf:TBFG_12184
ko:K01925	mtf:TBFG_12185
ko:K01000	mtf:TBFG_12186
ko:K01929	mtf:TBFG_12187
ko:K01928	mtf:TBFG_12188
ko:K03438	mtf:TBFG_12195
ko:K03925	mtf:TBFG_12196
ko:K01626	mtf:TBFG_12206
ko:K00655	mtf:TBFG_12210
ko:K08289	mtf:TBFG_10393
ko:K02342	mtf:TBFG_12219
ko:K00766	mtf:TBFG_12220
ko:K02276	mtf:TBFG_12221
ko:K03889	mtf:TBFG_12222
ko:K03890	mtf:TBFG_12223
ko:K03891	mtf:TBFG_12224
ko:K02221	mtf:TBFG_12176
ko:K09772	mtf:TBFG_12177
ko:K06997	mtf:TBFG_12178
ko:K03531	mtf:TBFG_12180
ko:K03589	mtf:TBFG_12181
ko:K01924	mtf:TBFG_12182
ko:K01756	mtf:TBFG_10792
ko:K03801	mtf:TBFG_12245
ko:K03644	mtf:TBFG_12246
ko:K11717	mtf:TBFG_11492
ko:K03273	mtf:TBFG_10115
ko:K03520	mtf:TBFG_10378
ko:K03524	mtf:TBFG_13308
ko:K11175	mtf:TBFG_10974
ko:K04567	mtf:TBFG_11657
ko:K01056	mtf:TBFG_11032
ko:K00626	mtf:TBFG_10876
ko:K01847	mtf:TBFG_11523
ko:K00626	mtf:TBFG_11355
ko:K01187	mtf:TBFG_12496
ko:K11610	mtf:TBFG_11512
ko:K00626	mtf:TBFG_13589
ko:K00626	mtf:TBFG_10932
ko:K00598	mtf:TBFG_10301
ko:K00058	mtf:TBFG_13011
ko:K03711	mtf:TBFG_12385
ko:K02237	mtf:TBFG_12443
ko:K03768	mtf:TBFG_12602
ko:K00951	mtf:TBFG_12603
ko:K04751	mtf:TBFG_12933
ko:K03892	mtf:TBFG_12660
ko:K11609	mtf:TBFG_12275
ko:K05343	mtf:TBFG_10127
ko:K03822	mtf:TBFG_11700
ko:K06976	mtf:TBFG_12883
ko:K01104	mtf:TBFG_12263
ko:K07682	mtf:TBFG_13153
ko:K07695	mtf:TBFG_13154
ko:K02017	mtf:TBFG_11887
ko:K03695	mtf:TBFG_10389
ko:K07671	mtf:TBFG_10921
ko:K07672	mtf:TBFG_11051
ko:K00245	mtf:TBFG_11585
ko:K00658	mtf:TBFG_12243
ko:K01911	mtf:TBFG_10553
ko:K03918	mtf:TBFG_13319
ko:K02548	mtf:TBFG_10545
ko:K02549	mtf:TBFG_10563
ko:K07028	mtf:TBFG_12036
ko:K06911	mtf:TBFG_10182
ko:K03727	mtf:TBFG_12127
ko:K03118	mtf:TBFG_12128
ko:K03116	mtf:TBFG_12129
ko:K03432	mtf:TBFG_12141
ko:K03433	mtf:TBFG_12142
ko:K09764	mtf:TBFG_12149
ko:K00765	mtf:TBFG_12153
ko:K01523	mtf:TBFG_12154
ko:K00548	mtf:TBFG_12156
ko:K06153	mtf:TBFG_12166
ko:K06910	mtf:TBFG_12170
ko:K00962	mtf:TBFG_12796
ko:K04781	mtf:TBFG_12411
ko:K04787	mtf:TBFG_12409
ko:K01835	mtf:TBFG_13085
ko:K02483	mtf:TBFG_13797
ko:K04792	mtf:TBFG_12404
ko:K01259	mtf:TBFG_10858
ko:K06994	mtf:TBFG_13857
ko:K05846	mtf:TBFG_13788
ko:K05846	mtf:TBFG_13789
ko:K00817	mtf:TBFG_13806
ko:K03733	mtf:TBFG_12908
ko:K09167	mtf:TBFG_11251
ko:K11212	mtf:TBFG_13290
ko:K03687	mtf:TBFG_10356
ko:K01424	mtf:TBFG_11571
ko:K04043	mtf:TBFG_10355
ko:K03306	mtf:TBFG_12304
ko:K04079	mtf:TBFG_12322
ko:K03568	mtf:TBFG_12338
ko:K02025	mtf:TBFG_12339
ko:K02026	mtf:TBFG_12340
ko:K01875	mtf:TBFG_13868
ko:K02575	mtf:TBFG_12352
ko:K00265	mtf:TBFG_13895
ko:K00027	mtf:TBFG_12356
ko:K07110	mtf:TBFG_10472
ko:K03189	mtf:TBFG_11880
ko:K11103	mtf:TBFG_12470
ko:K00174	mtf:TBFG_12480
ko:K11065	mtf:TBFG_11961
ko:K08981	mtf:TBFG_11250
ko:K02110	mtf:TBFG_11332
ko:K02111	mtf:TBFG_11335
ko:K01679	mtf:TBFG_11119
ko:K02501	mtf:TBFG_11618
ko:K03076	mtf:TBFG_10746
ko:K00175	mtf:TBFG_12479
ko:K02616	mtf:TBFG_10688
ko:K01704	mtf:TBFG_13002
ko:K02428	mtf:TBFG_11039
ko:K02275	mtf:TBFG_12228
ko:K09957	mtf:TBFG_13787
ko:K00338	mtf:TBFG_13174
ko:K02356	mtf:TBFG_12554
ko:K03154	mtf:TBFG_10421
ko:K09811	mtf:TBFG_13118
ko:K00274	mtf:TBFG_13191
ko:K00239	mtf:TBFG_10251
ko:K06994	mtf:TBFG_11207
ko:K03496	mtf:TBFG_13953
ko:K03551	mtf:TBFG_12612
ko:K11068	mtf:TBFG_11103
ko:K02563	mtf:TBFG_12183
ko:K00335	mtf:TBFG_13171
ko:K06178	mtf:TBFG_11726
ko:K01883	mtf:TBFG_13613
ko:K02528	mtf:TBFG_11029
ko:K03501	mtf:TBFG_13954
ko:K02109	mtf:TBFG_11333
ko:K09807	mtf:TBFG_13654
ko:K03798	mtf:TBFG_13642
ko:K03575	mtf:TBFG_13622
ko:K07067	mtf:TBFG_13619
ko:K07736	mtf:TBFG_13616
ko:K02316	mtf:TBFG_12367
ko:K03111	mtf:TBFG_10053
ko:K04564	mtf:TBFG_13882
ko:K03529	mtf:TBFG_12936
ko:K07175	mtf:TBFG_11116
ko:K01652	mtf:TBFG_13018
ko:K09009	mtf:TBFG_11043
ko:K05896	mtf:TBFG_11724
ko:K03750	mtf:TBFG_11012
ko:K01681	mtf:TBFG_11504
ko:K03153	mtf:TBFG_10420
ko:K05936	mtf:TBFG_12107
ko:K00240	mtf:TBFG_13350
ko:K00389	mtf:TBFG_12298
ko:K01695	mtf:TBFG_11629
ko:K02435	mtf:TBFG_13027
ko:K01664	mtf:TBFG_10013
ko:K02553	mtf:TBFG_13889
ko:K07776	mtf:TBFG_10499
ko:K04652	mtf:TBFG_12872
ko:K00631	mtf:TBFG_12503
ko:K00631	mtf:TBFG_11583
ko:K06895	mtf:TBFG_12017
ko:K02342	mtf:TBFG_13743
ko:K07001	mtf:TBFG_12074
ko:K02026	mtf:TBFG_12076
ko:K02025	mtf:TBFG_12077
ko:K03820	mtf:TBFG_12088
ko:K07113	mtf:TBFG_12090
ko:K02963	mtf:TBFG_12092
ko:K02954	mtf:TBFG_12093
ko:K02913	mtf:TBFG_12094
ko:K02902	mtf:TBFG_12095
ko:K07006	mtf:TBFG_12097
ko:K06042	mtf:TBFG_12101
ko:K03088	mtf:TBFG_12105
ko:K05895	mtf:TBFG_12106
ko:K04075	mtf:TBFG_13656
ko:K03147	mtf:TBFG_10428
ko:K00231	mtf:TBFG_12692
ko:K09959	mtf:TBFG_10466
ko:K05596	mtf:TBFG_12016
ko:K04763	mtf:TBFG_11716
ko:K07654	mtf:TBFG_13274
ko:K07655	mtf:TBFG_10920
ko:K07656	mtf:TBFG_11050
ko:K07768	mtf:TBFG_10498
ko:K01104	mtf:TBFG_10154
ko:K11533	mtf:TBFG_12545
ko:K03426	mtf:TBFG_13222
ko:K01809	mtf:TBFG_13284
ko:K02484	mtf:TBFG_10773
ko:K04791	mtf:TBFG_12406
ko:K00602	mtf:TBFG_10975
ko:K12503	mtf:TBFG_11104
ko:K12445	mtf:TBFG_12967
ko:K00247	mtf:TBFG_11587
ko:K03709	mtf:TBFG_12725
ko:K01897	mtf:TBFG_12215
ko:K07442	mtf:TBFG_12150
ko:K01840	mtf:TBFG_13337
ko:K13288	mtf:TBFG_12533
ko:K12441	mtf:TBFG_12946
ko:K12444	mtf:TBFG_12949
ko:K08296	mtf:TBFG_11302
ko:K02035	mtf:TBFG_11306
ko:K02034	mtf:TBFG_11308
ko:K02033	mtf:TBFG_11309
ko:K01887	mtf:TBFG_11319
ko:K00003	mtf:TBFG_11321
ko:K01733	mtf:TBFG_11322
ko:K02835	mtf:TBFG_11326
ko:K02493	mtf:TBFG_11327
ko:K00790	mtf:TBFG_11342
ko:K05838	mtf:TBFG_11356
ko:K00763	mtf:TBFG_10583
ko:K07282	mtf:TBFG_10584
ko:K06996	mtf:TBFG_10587
ko:K09122	mtf:TBFG_10590
ko:K02066	mtf:TBFG_10598
ko:K02066	mtf:TBFG_10599
ko:K02067	mtf:TBFG_10601
ko:K02067	mtf:TBFG_10602
ko:K02067	mtf:TBFG_10603
ko:K01952	mtf:TBFG_10803
ko:K01952	mtf:TBFG_10804
ko:K00681	mtf:TBFG_10788
ko:K06996	mtf:TBFG_10929
ko:K11159	mtf:TBFG_10931
ko:K02168	mtf:TBFG_10935
ko:K03322	mtf:TBFG_10942
ko:K00076	mtf:TBFG_10945
ko:K01923	mtf:TBFG_10795
ko:K02040	mtf:TBFG_10946
ko:K02038	mtf:TBFG_10948
ko:K02040	mtf:TBFG_10950
ko:K02036	mtf:TBFG_10951
ko:K02040	mtf:TBFG_10952
ko:K02037	mtf:TBFG_10953
ko:K02038	mtf:TBFG_10954
ko:K02926	mtf:TBFG_10716
ko:K02892	mtf:TBFG_10717
ko:K02886	mtf:TBFG_10718
ko:K01354	mtf:TBFG_10796
ko:K06986	mtf:TBFG_10799
ko:K07077	mtf:TBFG_10800
ko:K00528	mtf:TBFG_10903
ko:K04750	mtf:TBFG_10904
ko:K01647	mtf:TBFG_10908
ko:K01647	mtf:TBFG_10915
ko:K02965	mtf:TBFG_10719
ko:K02982	mtf:TBFG_10721
ko:K02878	mtf:TBFG_10722
ko:K02961	mtf:TBFG_10724
ko:K02874	mtf:TBFG_10728
ko:K02895	mtf:TBFG_10729
ko:K02931	mtf:TBFG_10730
ko:K02994	mtf:TBFG_10732
ko:K02933	mtf:TBFG_10733
ko:K00758	mtf:TBFG_13345
ko:K02067	mtf:TBFG_10605
ko:K03710	mtf:TBFG_10808
ko:K00382	mtf:TBFG_10810
ko:K07223	mtf:TBFG_10814
ko:K01952	mtf:TBFG_10818
ko:K00764	mtf:TBFG_10823
ko:K01933	mtf:TBFG_10824
ko:K06980	mtf:TBFG_10826
ko:K02036	mtf:TBFG_10835
ko:K02039	mtf:TBFG_10836
ko:K08641	mtf:TBFG_10856
ko:K02881	mtf:TBFG_10734
ko:K00161	mtf:TBFG_10860
ko:K06994	mtf:TBFG_10690
ko:K02950	mtf:TBFG_10696
ko:K02992	mtf:TBFG_10697
ko:K02355	mtf:TBFG_10698
ko:K00101	mtf:TBFG_10708
ko:K02946	mtf:TBFG_10714
ko:K02988	mtf:TBFG_10735
ko:K02907	mtf:TBFG_10736
ko:K02876	mtf:TBFG_10737
ko:K04773	mtf:TBFG_10738
ko:K01628	mtf:TBFG_10741
ko:K00058	mtf:TBFG_10742
ko:K00854	mtf:TBFG_10743
ko:K00939	mtf:TBFG_10747
ko:K01265	mtf:TBFG_10748
ko:K03088	mtf:TBFG_10749
ko:K00140	mtf:TBFG_10767
ko:K01738	mtf:TBFG_10865
ko:K03637	mtf:TBFG_10881
ko:K03635	mtf:TBFG_10883
ko:K03639	mtf:TBFG_10886
ko:K05917	mtf:TBFG_10779
ko:K01945	mtf:TBFG_10787
ko:K03704	mtf:TBFG_10888
ko:K00831	mtf:TBFG_10901
ko:K02067	mtf:TBFG_10606
ko:K00849	mtf:TBFG_10631
ko:K02867	mtf:TBFG_10653
ko:K02863	mtf:TBFG_10654
ko:K00574	mtf:TBFG_10655
ko:K03593	mtf:TBFG_11254
ko:K02027	mtf:TBFG_11260
ko:K02025	mtf:TBFG_11261
ko:K02026	mtf:TBFG_11262
ko:K03284	mtf:TBFG_11264
ko:K10563	mtf:TBFG_10961
ko:K01810	mtf:TBFG_10963
ko:K18851	mtf:TBFG_10964
ko:K03657	mtf:TBFG_10967
ko:K03405	mtf:TBFG_10976
ko:K01478	mtf:TBFG_11020
ko:K07056	mtf:TBFG_11022
ko:K03424	mtf:TBFG_11027
ko:K00919	mtf:TBFG_11030
ko:K02897	mtf:TBFG_11033
ko:K00948	mtf:TBFG_11035
ko:K03723	mtf:TBFG_11038
ko:K01689	mtf:TBFG_11041
ko:K07667	mtf:TBFG_11045
ko:K00600	mtf:TBFG_11114
ko:K03527	mtf:TBFG_11132
ko:K06942	mtf:TBFG_11134
ko:K00036	mtf:TBFG_11144
ko:K00033	mtf:TBFG_11145
ko:K01006	mtf:TBFG_11150
ko:K01720	mtf:TBFG_11153
ko:K01647	mtf:TBFG_11154
ko:K00549	mtf:TBFG_11156
ko:K00626	mtf:TBFG_11158
ko:K07001	mtf:TBFG_11080
ko:K07001	mtf:TBFG_11081
ko:K06994	mtf:TBFG_11169
ko:K06994	mtf:TBFG_11170
ko:K01724	mtf:TBFG_11184
ko:K00371	mtf:TBFG_11187
ko:K00373	mtf:TBFG_11188
ko:K00374	mtf:TBFG_11189
ko:K06207	mtf:TBFG_11190
ko:K00219	mtf:TBFG_11200
