ko:K02313	mgac:HFMG06CAA_0010
ko:K02003	mgac:HFMG06CAA_0152
ko:K02528	mgac:HFMG06CAA_0057
ko:K00919	mgac:HFMG06CAA_0063
ko:K01887	mgac:HFMG06CAA_0067
ko:K01770	mgac:HFMG06CAA_0170
ko:K06885	mgac:HFMG06CAA_5565
ko:K01491	mgac:HFMG06CAA_5583
ko:K13292	mgac:HFMG06CAA_5591
ko:K03424	mgac:HFMG06CAA_5617
ko:K03650	mgac:HFMG06CAA_5622
ko:K02341	mgac:HFMG06CAA_5624
ko:K00943	mgac:HFMG06CAA_5631
ko:K01875	mgac:HFMG06CAA_5637
ko:K02469	mgac:HFMG06CAA_5654
ko:K02470	mgac:HFMG06CAA_5669
ko:K02338	mgac:HFMG06CAA_5685
ko:K02337	mgac:HFMG06CAA_1916
ko:K00859	mgac:HFMG06CAA_1939
ko:K01893	mgac:HFMG06CAA_1971
ko:K00995	mgac:HFMG06CAA_1978
ko:K07043	mgac:HFMG06CAA_2090
ko:K09013	mgac:HFMG06CAA_2092
ko:K11717	mgac:HFMG06CAA_2101
ko:K09014	mgac:HFMG06CAA_2108
ko:K03686	mgac:HFMG06CAA_2117
ko:K00057	mgac:HFMG06CAA_2125
ko:K03106	mgac:HFMG06CAA_2158
ko:K01866	mgac:HFMG06CAA_2164
ko:K00600	mgac:HFMG06CAA_2170
ko:K02871	mgac:HFMG06CAA_2210
ko:K02996	mgac:HFMG06CAA_2212
ko:K00761	mgac:HFMG06CAA_2223
ko:K02108	mgac:HFMG06CAA_2241
ko:K01869	mgac:HFMG06CAA_3421
ko:K03664	mgac:HFMG06CAA_3477
ko:K02913	mgac:HFMG06CAA_3490
ko:K00876	mgac:HFMG06CAA_3501
ko:K03979	mgac:HFMG06CAA_3524
ko:K01255	mgac:HFMG06CAA_3542
ko:K12573	mgac:HFMG06CAA_3588
ko:K03075	mgac:HFMG06CAA_3590
ko:K00384	mgac:HFMG06CAA_3599
ko:K00789	mgac:HFMG06CAA_3619
ko:K04077	mgac:HFMG06CAA_3699
ko:K04078	mgac:HFMG06CAA_3701
ko:K00873	mgac:HFMG06CAA_3711
ko:K00850	mgac:HFMG06CAA_3714
ko:K03800	mgac:HFMG06CAA_3718
ko:K00382	mgac:HFMG06CAA_3727
ko:K00627	mgac:HFMG06CAA_3731
ko:K00162	mgac:HFMG06CAA_3737
ko:K00161	mgac:HFMG06CAA_3743
ko:K00925	mgac:HFMG06CAA_3755
ko:K03695	mgac:HFMG06CAA_3798
ko:K03685	mgac:HFMG06CAA_3813
ko:K03621	mgac:HFMG06CAA_3818
ko:K03437	mgac:HFMG06CAA_3841
ko:K03151	mgac:HFMG06CAA_3860
ko:K01689	mgac:HFMG06CAA_3940
ko:K02503	mgac:HFMG06CAA_3951
ko:K03625	mgac:HFMG06CAA_3960
ko:K02356	mgac:HFMG06CAA_3966
ko:K15581	mgac:HFMG06CAA_4007
ko:K15581	mgac:HFMG06CAA_4063
ko:K15580	mgac:HFMG06CAA_4077
ko:K02110	mgac:HFMG06CAA_2248
ko:K02109	mgac:HFMG06CAA_2249
ko:K02113	mgac:HFMG06CAA_2253
ko:K02111	mgac:HFMG06CAA_2258
ko:K02115	mgac:HFMG06CAA_2267
ko:K02112	mgac:HFMG06CAA_2276
ko:K02114	mgac:HFMG06CAA_2289
ko:K00134	mgac:HFMG06CAA_2308
ko:K00927	mgac:HFMG06CAA_2314
ko:K02970	mgac:HFMG06CAA_2341
ko:K03439	mgac:HFMG06CAA_2363
ko:K03216	mgac:HFMG06CAA_2366
ko:K01870	mgac:HFMG06CAA_2367
ko:K03839	mgac:HFMG06CAA_2379
ko:K02967	mgac:HFMG06CAA_4119
ko:K01118	mgac:HFMG06CAA_4122
ko:K07478	mgac:HFMG06CAA_4132
ko:K07056	mgac:HFMG06CAA_4136
ko:K02902	mgac:HFMG06CAA_4148
ko:K02355	mgac:HFMG06CAA_4178
ko:K02992	mgac:HFMG06CAA_4182
ko:K02950	mgac:HFMG06CAA_4187
ko:K02986	mgac:HFMG06CAA_4191
ko:K03687	mgac:HFMG06CAA_2574
ko:K04043	mgac:HFMG06CAA_4242
ko:K10716	mgac:HFMG06CAA_4248
ko:K03282	mgac:HFMG06CAA_4254
ko:K00858	mgac:HFMG06CAA_4276
ko:K01867	mgac:HFMG06CAA_4280
ko:K03596	mgac:HFMG06CAA_4363
ko:K00134	mgac:HFMG06CAA_4437
ko:K02340	mgac:HFMG06CAA_4463
ko:K01873	mgac:HFMG06CAA_4481
ko:K03978	mgac:HFMG06CAA_4484
ko:K01662	mgac:HFMG06CAA_2812
ko:K03705	mgac:HFMG06CAA_2822
ko:K03703	mgac:HFMG06CAA_2821
ko:K02520	mgac:HFMG06CAA_2836
ko:K02916	mgac:HFMG06CAA_2843
ko:K02887	mgac:HFMG06CAA_2845
ko:K01889	mgac:HFMG06CAA_2855
ko:K01890	mgac:HFMG06CAA_2865
ko:K02888	mgac:HFMG06CAA_2907
ko:K02899	mgac:HFMG06CAA_2915
ko:K01151	mgac:HFMG06CAA_2917
ko:K03545	mgac:HFMG06CAA_2929
ko:K01338	mgac:HFMG06CAA_2938
ko:K09769	mgac:HFMG06CAA_3005
ko:K03657	mgac:HFMG06CAA_3018
ko:K08591	mgac:HFMG06CAA_3049
ko:K00615	mgac:HFMG06CAA_4497
ko:K02346	mgac:HFMG06CAA_4504
ko:K05985	mgac:HFMG06CAA_4513
ko:K00948	mgac:HFMG06CAA_4519
ko:K06173	mgac:HFMG06CAA_4525
ko:K15633	mgac:HFMG06CAA_4552
ko:K01803	mgac:HFMG06CAA_4558
ko:K02057	mgac:HFMG06CAA_4591
ko:K02057	mgac:HFMG06CAA_4602
ko:K06187	mgac:HFMG06CAA_4791
ko:K09747	mgac:HFMG06CAA_4794
ko:K02343	mgac:HFMG06CAA_4802
ko:K03551	mgac:HFMG06CAA_4814
ko:K03550	mgac:HFMG06CAA_4820
ko:K02434	mgac:HFMG06CAA_4842
ko:K03648	mgac:HFMG06CAA_4862
ko:K02939	mgac:HFMG06CAA_4878
ko:K02963	mgac:HFMG06CAA_4881
ko:K02990	mgac:HFMG06CAA_4892
ko:K01914	mgac:HFMG06CAA_4893
ko:K14540	mgac:HFMG06CAA_4919
ko:K02884	mgac:HFMG06CAA_4930
ko:K00554	mgac:HFMG06CAA_4934
ko:K02959	mgac:HFMG06CAA_4936
ko:K02879	mgac:HFMG06CAA_4940
ko:K03040	mgac:HFMG06CAA_4947
ko:K02948	mgac:HFMG06CAA_4950
ko:K02952	mgac:HFMG06CAA_4954
ko:K02919	mgac:HFMG06CAA_4956
ko:K02518	mgac:HFMG06CAA_4959
ko:K03671	mgac:HFMG06CAA_4982
ko:K03168	mgac:HFMG06CAA_4999
ko:K01783	mgac:HFMG06CAA_5000
ko:K01810	mgac:HFMG06CAA_5006
ko:K06949	mgac:HFMG06CAA_5010
ko:K00942	mgac:HFMG06CAA_5030
ko:K01462	mgac:HFMG06CAA_5031
ko:K03495	mgac:HFMG06CAA_5046
ko:K03501	mgac:HFMG06CAA_5052
ko:K02601	mgac:HFMG06CAA_5067
ko:K03073	mgac:HFMG06CAA_5070
ko:K02111	mgac:HFMG06CAA_5116
ko:K01868	mgac:HFMG06CAA_1303
ko:K01892	mgac:HFMG06CAA_1418
ko:K01876	mgac:HFMG06CAA_1423
ko:K01937	mgac:HFMG06CAA_1448
ko:K12257	mgac:HFMG06CAA_1457
ko:K00759	mgac:HFMG06CAA_1474
ko:K03624	mgac:HFMG06CAA_1484
ko:K03702	mgac:HFMG06CAA_0276
ko:K02040	mgac:HFMG06CAA_0287
ko:K02036	mgac:HFMG06CAA_0302
ko:K02039	mgac:HFMG06CAA_0307
ko:K04047	mgac:HFMG06CAA_1502
ko:K06180	mgac:HFMG06CAA_1660
ko:K03101	mgac:HFMG06CAA_1664
ko:K03152	mgac:HFMG06CAA_1665
ko:K03043	mgac:HFMG06CAA_1682
ko:K03046	mgac:HFMG06CAA_1704
ko:K02044	mgac:HFMG06CAA_1777
ko:K02041	mgac:HFMG06CAA_1784
ko:K02042	mgac:HFMG06CAA_1788
ko:K01881	mgac:HFMG06CAA_1796
ko:K02078	mgac:HFMG06CAA_1822
ko:K02358	mgac:HFMG06CAA_1825
ko:K06878	mgac:HFMG06CAA_1834
ko:K01624	mgac:HFMG06CAA_5157
ko:K06942	mgac:HFMG06CAA_5160
ko:K02867	mgac:HFMG06CAA_5173
ko:K02863	mgac:HFMG06CAA_5175
ko:K01056	mgac:HFMG06CAA_5180
ko:K04075	mgac:HFMG06CAA_5182
ko:K02768	mgac:HFMG06CAA_5185
ko:K02769	mgac:HFMG06CAA_5185
ko:K02770	mgac:HFMG06CAA_5185
ko:K01809	mgac:HFMG06CAA_5198
ko:K03218	mgac:HFMG06CAA_5282
ko:K01883	mgac:HFMG06CAA_5291
ko:K01972	mgac:HFMG06CAA_5448
ko:K06967	mgac:HFMG06CAA_3055
ko:K03086	mgac:HFMG06CAA_3066
ko:K01880	mgac:HFMG06CAA_3084
ko:K07042	mgac:HFMG06CAA_3095
ko:K03531	mgac:HFMG06CAA_3131
ko:K03438	mgac:HFMG06CAA_3142
ko:K03925	mgac:HFMG06CAA_3145
ko:K06024	mgac:HFMG06CAA_3154
ko:K05896	mgac:HFMG06CAA_3168
ko:K00655	mgac:HFMG06CAA_3171
ko:K00997	mgac:HFMG06CAA_3174
ko:K03744	mgac:HFMG06CAA_3199
ko:K00969	mgac:HFMG06CAA_3226
ko:K02621	mgac:HFMG06CAA_3248
ko:K02622	mgac:HFMG06CAA_3257
ko:K03530	mgac:HFMG06CAA_3259
ko:K18682	mgac:HFMG06CAA_3678
ko:K02037	mgac:HFMG06CAA_0296
ko:K02038	mgac:HFMG06CAA_0296
ko:K03471	mgac:HFMG06CAA_3177
ko:K01243	mgac:HFMG06CAA_3219
ko:K02799	mgac:HFMG06CAA_2889
ko:K02800	mgac:HFMG06CAA_2889
ko:K06147	mgac:HFMG06CAA_2895
ko:K06147	mgac:HFMG06CAA_2899
ko:K07584	mgac:HFMG06CAA_2911
ko:K01934	mgac:HFMG06CAA_3007
ko:K03499	mgac:HFMG06CAA_3419
ko:K06910	mgac:HFMG06CAA_3443
ko:K01372	mgac:HFMG06CAA_3465
ko:K01372	mgac:HFMG06CAA_3473
ko:K01262	mgac:HFMG06CAA_3489
ko:K01478	mgac:HFMG06CAA_3500
ko:K09762	mgac:HFMG06CAA_3596
ko:K01409	mgac:HFMG06CAA_3628
ko:K11069	mgac:HFMG06CAA_3636
ko:K11071	mgac:HFMG06CAA_3648
ko:K11072	mgac:HFMG06CAA_3652
ko:K11072	mgac:HFMG06CAA_3659
ko:K07305	mgac:HFMG06CAA_3694
ko:K07030	mgac:HFMG06CAA_3827
ko:K06179	mgac:HFMG06CAA_3833
ko:K10823	mgac:HFMG06CAA_3984
ko:K15583	mgac:HFMG06CAA_3993
ko:K15582	mgac:HFMG06CAA_3998
ko:K15583	mgac:HFMG06CAA_4045
ko:K15582	mgac:HFMG06CAA_4055
ko:K07027	mgac:HFMG06CAA_4243
ko:K16509	mgac:HFMG06CAA_4281
ko:K09787	mgac:HFMG06CAA_1290
ko:K09976	mgac:HFMG06CAA_4487
ko:K01489	mgac:HFMG06CAA_4572
ko:K01619	mgac:HFMG06CAA_4584
ko:K03784	mgac:HFMG06CAA_4585
ko:K02056	mgac:HFMG06CAA_4611
ko:K02433	mgac:HFMG06CAA_4850
ko:K16786	mgac:HFMG06CAA_4545
ko:K00625	mgac:HFMG06CAA_4916
ko:K16785	mgac:HFMG06CAA_4532
ko:K03048	mgac:HFMG06CAA_5154
ko:K09952	mgac:HFMG06CAA_5227
ko:K07304	mgac:HFMG06CAA_5454
ko:K10563	mgac:HFMG06CAA_1935
ko:K03346	mgac:HFMG06CAA_1941
ko:K01537	mgac:HFMG06CAA_1953
ko:K02025	mgac:HFMG06CAA_2017
ko:K01507	mgac:HFMG06CAA_2087
ko:K04488	mgac:HFMG06CAA_2105
ko:K16787	mgac:HFMG06CAA_4540
ko:K01885	mgac:HFMG06CAA_5576
ko:K06023	mgac:HFMG06CAA_5600
ko:K01478	mgac:HFMG06CAA_2518
ko:K11051	mgac:HFMG06CAA_2144
ko:K10823	mgac:HFMG06CAA_4032
ko:K00131	mgac:HFMG06CAA_1013
ko:K02777	mgac:HFMG06CAA_0994
ko:K02778	mgac:HFMG06CAA_0994
ko:K02779	mgac:HFMG06CAA_0994
ko:K01980	mgac:HFMG06CAA_r01
ko:K01980	mgac:HFMG06CAA_r04
ko:K09951	mgac:HFMG06CAA_5258
ko:K00951	mgac:HFMG06CAA_1438
ko:K14219	mgac:HFMG06CAA_trna30
ko:K14228	mgac:HFMG06CAA_trna06
ko:K01985	mgac:HFMG06CAA_r02
ko:K14229	mgac:HFMG06CAA_trna20
ko:K11070	mgac:HFMG06CAA_3641
ko:K06881	mgac:HFMG06CAA_0265
ko:K01992	mgac:HFMG06CAA_2957
ko:K01990	mgac:HFMG06CAA_0767
ko:K01990	mgac:HFMG06CAA_2968
ko:K14226	mgac:HFMG06CAA_trna28
ko:K14230	mgac:HFMG06CAA_trna12
ko:K01977	mgac:HFMG06CAA_r06
ko:K01977	mgac:HFMG06CAA_r03
ko:K14237	mgac:HFMG06CAA_trna03
ko:K14234	mgac:HFMG06CAA_trna04
ko:K14229	mgac:HFMG06CAA_trna05
ko:K14221	mgac:HFMG06CAA_trna13
ko:K14234	mgac:HFMG06CAA_trna29
ko:K14238	mgac:HFMG06CAA_trna24
ko:K14231	mgac:HFMG06CAA_trna15
ko:K14223	mgac:HFMG06CAA_trna19
ko:K14219	mgac:HFMG06CAA_trna16
ko:K14219	mgac:HFMG06CAA_trna17
ko:K14225	mgac:HFMG06CAA_trna22
ko:K14235	mgac:HFMG06CAA_trna23
ko:K14228	mgac:HFMG06CAA_trna25
ko:K14227	mgac:HFMG06CAA_trna26
ko:K14218	mgac:HFMG06CAA_trna27
ko:K14225	mgac:HFMG06CAA_trna33
ko:K14233	mgac:HFMG06CAA_trna32
ko:K14236	mgac:HFMG06CAA_trna18
ko:K14228	mgac:HFMG06CAA_trna21
ko:K10112	mgac:HFMG06CAA_0242
ko:K10112	mgac:HFMG06CAA_2012
ko:K12574	mgac:HFMG06CAA_0133
ko:K02026	mgac:HFMG06CAA_0259
ko:K02026	mgac:HFMG06CAA_2020
ko:K00128	mgac:HFMG06CAA_5559
ko:K01840	mgac:HFMG06CAA_4568
ko:K01838	mgac:HFMG06CAA_2776
ko:K01874	mgac:HFMG06CAA_1103
ko:K03686	mgac:HFMG06CAA_1109
ko:K03686	mgac:HFMG06CAA_1115
ko:K01874	mgac:HFMG06CAA_1141
ko:K03686	mgac:HFMG06CAA_1147
ko:K03686	mgac:HFMG06CAA_1153
ko:K02913	mgac:HFMG06CAA_5071
ko:K03218	mgac:HFMG06CAA_5395
ko:K03218	mgac:HFMG06CAA_5398
ko:K00128	mgac:HFMG06CAA_5396
ko:K00128	mgac:HFMG06CAA_5401
ko:K02112	mgac:HFMG06CAA_5417
ko:K02112	mgac:HFMG06CAA_5511
ko:K01478	mgac:HFMG06CAA_2502
ko:K18290	mgac:HFMG06CAA_2975
ko:K18290	mgac:HFMG06CAA_2977
ko:K18288	mgac:HFMG06CAA_2996
ko:K03462	mgac:HFMG06CAA_4905
ko:K18692	mgac:HFMG06CAA_3931
ko:K03111	mgac:HFMG06CAA_4888
ko:K03526	mgac:HFMG06CAA_2215
ko:K03584	mgac:HFMG06CAA_3087
ko:K00525	mgac:HFMG06CAA_0327
ko:K15342	mgac:HFMG06CAA_5253
ko:K06881	mgac:HFMG06CAA_3850
ko:K01163	mgac:HFMG06CAA_2291
ko:K20074	mgac:HFMG06CAA_5027
ko:K12132	mgac:HFMG06CAA_5018
ko:K21064	mgac:HFMG06CAA_4287
ko:K01493	mgac:HFMG06CAA_0347
ko:K02316	mgac:HFMG06CAA_3077
ko:K03553	mgac:HFMG06CAA_3685
ko:K02314	mgac:HFMG06CAA_4877
ko:K00857	mgac:HFMG06CAA_5166
ko:K01520	mgac:HFMG06CAA_1646
ko:K02335	mgac:HFMG06CAA_1929
ko:K00560	mgac:HFMG06CAA_0343
ko:K00526	mgac:HFMG06CAA_0339
ko:K21567	mgac:HFMG06CAA_2522
ko:K03595	mgac:HFMG06CAA_3092
ko:K18672	mgac:HFMG06CAA_3576
