ko:K22306	aact:ACT75_04875
ko:K00655	aact:ACT75_02985
ko:K04753	aact:ACT75_02990
ko:K04069	aact:ACT75_03000
ko:K00656	aact:ACT75_03005
ko:K06212	aact:ACT75_03010
ko:K02503	aact:ACT75_03015
ko:K01207	aact:ACT75_03025
ko:K00850	aact:ACT75_03035
ko:K13283	aact:ACT75_03040
ko:K09861	aact:ACT75_03050
ko:K03648	aact:ACT75_03055
ko:K06866	aact:ACT75_03060
ko:K03596	aact:ACT75_03065
ko:K03100	aact:ACT75_03070
ko:K03685	aact:ACT75_03075
ko:K03595	aact:ACT75_03080
ko:K03650	aact:ACT75_03085
ko:K03217	aact:ACT75_03090
ko:K03536	aact:ACT75_03095
ko:K02914	aact:ACT75_03100
ko:K02313	aact:ACT75_03105
ko:K02338	aact:ACT75_03110
ko:K03629	aact:ACT75_03115
ko:K04565	aact:ACT75_03125
ko:K07007	aact:ACT75_03130
ko:K02200	aact:ACT75_03135
ko:K02199	aact:ACT75_03140
ko:K04016	aact:ACT75_03145
ko:K04015	aact:ACT75_03150
ko:K04014	aact:ACT75_03155
ko:K04013	aact:ACT75_03160
ko:K03385	aact:ACT75_03165
ko:K02200	aact:ACT75_03185
ko:K02199	aact:ACT75_03190
ko:K02198	aact:ACT75_03195
ko:K02197	aact:ACT75_03200
ko:K02196	aact:ACT75_03205
ko:K00760	aact:ACT75_07405
ko:K03592	aact:ACT75_07410
ko:K09889	aact:ACT75_07415
ko:K14445	aact:ACT75_07420
ko:K02553	aact:ACT75_07425
ko:K02548	aact:ACT75_07430
ko:K09811	aact:ACT75_07465
ko:K09812	aact:ACT75_07470
ko:K03110	aact:ACT75_07475
ko:K08316	aact:ACT75_07480
ko:K02795	aact:ACT75_07490
ko:K02796	aact:ACT75_07495
ko:K03317	aact:ACT75_07505
ko:K03784	aact:ACT75_07510
ko:K11931	aact:ACT75_07520
ko:K11936	aact:ACT75_07525
ko:K07783	aact:ACT75_07535
ko:K00275	aact:ACT75_07540
ko:K00134	aact:ACT75_07580
ko:K00942	aact:ACT75_07585
ko:K03060	aact:ACT75_07590
ko:K01139	aact:ACT75_07595
ko:K03655	aact:ACT75_07600
ko:K03181	aact:ACT75_07605
ko:K01776	aact:ACT75_07610
ko:K07507	aact:ACT75_07645
ko:K06181	aact:ACT75_07650
ko:K03308	aact:ACT75_07655
ko:K02858	aact:ACT75_07660
ko:K01867	aact:ACT75_07665
ko:K01091	aact:ACT75_07670
ko:K01783	aact:ACT75_07675
ko:K05589	aact:ACT75_07680
ko:K02195	aact:ACT75_03210
ko:K02194	aact:ACT75_03215
ko:K02193	aact:ACT75_03220
ko:K07552	aact:ACT75_03225
ko:K06183	aact:ACT75_03230
ko:K07483	aact:ACT75_03255
ko:K00789	aact:ACT75_03265
ko:K02956	aact:ACT75_03270
ko:K08680	aact:ACT75_03275
ko:K02551	aact:ACT75_03280
ko:K02552	aact:ACT75_03285
ko:K14260	aact:ACT75_03290
ko:K03603	aact:ACT75_03295
ko:K03314	aact:ACT75_03300
ko:K03611	aact:ACT75_03305
ko:K18691	aact:ACT75_03310
ko:K01633	aact:ACT75_03315
ko:K08591	aact:ACT75_03320
ko:K07054	aact:ACT75_03330
ko:K04564	aact:ACT75_03340
ko:K00029	aact:ACT75_03345
ko:K07483	aact:ACT75_03380
ko:K02742	aact:ACT75_03390
ko:K03837	aact:ACT75_03395
ko:K01752	aact:ACT75_03400
ko:K01424	aact:ACT75_03405
ko:K06941	aact:ACT75_03410
ko:K02656	aact:ACT75_03415
ko:K15539	aact:ACT75_03420
ko:K03526	aact:ACT75_03425
ko:K01892	aact:ACT75_03430
ko:K10763	aact:ACT75_03445
ko:K02824	aact:ACT75_03450
ko:K00761	aact:ACT75_03455
ko:K03770	aact:ACT75_03460
ko:K01338	aact:ACT75_03465
ko:K03321	aact:ACT75_03475
ko:K00991	aact:ACT75_07685
ko:K01770	aact:ACT75_07690
ko:K06176	aact:ACT75_07695
ko:K03787	aact:ACT75_07700
ko:K06194	aact:ACT75_07715
ko:K18831	aact:ACT75_07720
ko:K12373	aact:ACT75_07730
ko:K00940	aact:ACT75_07735
ko:K07751	aact:ACT75_07740
ko:K02518	aact:ACT75_07745
ko:K03820	aact:ACT75_07750
ko:K06189	aact:ACT75_07755
ko:K01910	aact:ACT75_07760
ko:K01646	aact:ACT75_07765
ko:K01644	aact:ACT75_07770
ko:K01643	aact:ACT75_07775
ko:K13927	aact:ACT75_07780
ko:K03319	aact:ACT75_07785
ko:K01785	aact:ACT75_07800
ko:K00849	aact:ACT75_07805
ko:K00965	aact:ACT75_07810
ko:K02529	aact:ACT75_07815
ko:K10540	aact:ACT75_07820
ko:K10541	aact:ACT75_07830
ko:K07648	aact:ACT75_07835
ko:K00647	aact:ACT75_07840
ko:K15461	aact:ACT75_07845
ko:K03687	aact:ACT75_07855
ko:K00858	aact:ACT75_07860
ko:K03631	aact:ACT75_07865
ko:K06190	aact:ACT75_07880
ko:K10806	aact:ACT75_07885
ko:K09780	aact:ACT75_07890
ko:K08309	aact:ACT75_07895
ko:K03720	aact:ACT75_07900
ko:K03814	aact:ACT75_07905
ko:K03075	aact:ACT75_07920
ko:K03169	aact:ACT75_07925
ko:K06187	aact:ACT75_07930
ko:K09747	aact:ACT75_07935
ko:K07098	aact:ACT75_07940
ko:K02016	aact:ACT75_07945
ko:K02015	aact:ACT75_07950
ko:K02015	aact:ACT75_07955
ko:K02013	aact:ACT75_07960
ko:K04691	aact:ACT75_00950
ko:K08722	aact:ACT75_00955
ko:K14445	aact:ACT75_00960
ko:K02019	aact:ACT75_00965
ko:K02020	aact:ACT75_00970
ko:K02018	aact:ACT75_00975
ko:K02017	aact:ACT75_00980
ko:K01255	aact:ACT75_00985
ko:K07091	aact:ACT75_00990
ko:K11720	aact:ACT75_00995
ko:K00297	aact:ACT75_01000
ko:K00014	aact:ACT75_01005
ko:K04655	aact:ACT75_01035
ko:K04654	aact:ACT75_01040
ko:K04652	aact:ACT75_01045
ko:K02006	aact:ACT75_01050
ko:K02008	aact:ACT75_01055
ko:K02007	aact:ACT75_01060
ko:K16915	aact:ACT75_01065
ko:K01243	aact:ACT75_01075
ko:K03673	aact:ACT75_01080
ko:K07462	aact:ACT75_01085
ko:K03981	aact:ACT75_01090
ko:K02836	aact:ACT75_01095
ko:K04567	aact:ACT75_01100
ko:K07783	aact:ACT75_01115
ko:K01092	aact:ACT75_01120
ko:K03337	aact:ACT75_01125
ko:K07126	aact:ACT75_01130
ko:K11904	aact:ACT75_01145
ko:K03435	aact:ACT75_01150
ko:K03748	aact:ACT75_01155
ko:K00641	aact:ACT75_01160
ko:K03604	aact:ACT75_01165
ko:K09901	aact:ACT75_01170
ko:K00674	aact:ACT75_01175
ko:K13634	aact:ACT75_01180
ko:K06178	aact:ACT75_01185
ko:K14187	aact:ACT75_01195
ko:K04773	aact:ACT75_01200
ko:K00382	aact:ACT75_01210
ko:K00627	aact:ACT75_01215
ko:K00163	aact:ACT75_01220
ko:K00383	aact:ACT75_05440
ko:K07115	aact:ACT75_05445
ko:K05366	aact:ACT75_05450
ko:K02507	aact:ACT75_05475
ko:K00891	aact:ACT75_05480
ko:K01735	aact:ACT75_05485
ko:K06223	aact:ACT75_05490
ko:K03111	aact:ACT75_05530
ko:K03701	aact:ACT75_05535
ko:K07483	aact:ACT75_05540
ko:K03070	aact:ACT75_05565
ko:K03574	aact:ACT75_05570
ko:K02340	aact:ACT75_05575
ko:K03643	aact:ACT75_05580
ko:K01869	aact:ACT75_05585
ko:K01525	aact:ACT75_05605
ko:K02528	aact:ACT75_05610
ko:K03771	aact:ACT75_05615
ko:K02825	aact:ACT75_05620
ko:K09796	aact:ACT75_05625
ko:K07153	aact:ACT75_05630
ko:K01756	aact:ACT75_05635
ko:K00121	aact:ACT75_05650
ko:K01070	aact:ACT75_05655
ko:K03106	aact:ACT75_05660
ko:K03561	aact:ACT75_05675
ko:K03559	aact:ACT75_05680
ko:K03832	aact:ACT75_05685
ko:K01507	aact:ACT75_05695
ko:K03835	aact:ACT75_05700
ko:K03788	aact:ACT75_05710
ko:K01419	aact:ACT75_05715
ko:K03667	aact:ACT75_05720
ko:K03607	aact:ACT75_09935
ko:K03797	aact:ACT75_09940
ko:K21470	aact:ACT75_09945
ko:K00164	aact:ACT75_09960
ko:K00658	aact:ACT75_09965
ko:K01903	aact:ACT75_09970
ko:K01902	aact:ACT75_09975
ko:K08315	aact:ACT75_10010
ko:K12145	aact:ACT75_10015
ko:K12144	aact:ACT75_10020
ko:K12143	aact:ACT75_10025
ko:K12142	aact:ACT75_10030
ko:K12141	aact:ACT75_10035
ko:K12140	aact:ACT75_10040
ko:K12139	aact:ACT75_10045
ko:K12138	aact:ACT75_10050
ko:K12137	aact:ACT75_10055
ko:K12136	aact:ACT75_10060
ko:K04656	aact:ACT75_10065
ko:K00127	aact:ACT75_10070
ko:K00124	aact:ACT75_10075
ko:K00123	aact:ACT75_10080
ko:K00123	aact:ACT75_10085
ko:K02379	aact:ACT75_10090
ko:K06145	aact:ACT75_10095
ko:K00851	aact:ACT75_10100
ko:K03299	aact:ACT75_10105
ko:K03657	aact:ACT75_10110
ko:K10747	aact:ACT75_10115
ko:K19158	aact:ACT75_10125
ko:K19159	aact:ACT75_10130
ko:K19431	aact:ACT75_10135
ko:K07270	aact:ACT75_10145
ko:K08305	aact:ACT75_10165
ko:K01142	aact:ACT75_10170
ko:K01710	aact:ACT75_10180
ko:K01497	aact:ACT75_10190
ko:K01096	aact:ACT75_10195
ko:K00884	aact:ACT75_10200
ko:K01686	aact:ACT75_03490
ko:K13637	aact:ACT75_03495
ko:K01187	aact:ACT75_03500
ko:K00874	aact:ACT75_03520
ko:K01812	aact:ACT75_03530
ko:K01625	aact:ACT75_03535
ko:K02016	aact:ACT75_03540
ko:K00058	aact:ACT75_03545
ko:K01807	aact:ACT75_03550
ko:K02428	aact:ACT75_03565
ko:K02237	aact:ACT75_03570
ko:K03527	aact:ACT75_03575
ko:K03101	aact:ACT75_03580
ko:K01870	aact:ACT75_03585
ko:K11753	aact:ACT75_03600
ko:K03980	aact:ACT75_03605
ko:K02968	aact:ACT75_03610
ko:K07186	aact:ACT75_03615
ko:K01079	aact:ACT75_03620
ko:K09767	aact:ACT75_03625
ko:K01056	aact:ACT75_03630
ko:K06942	aact:ACT75_03635
ko:K01738	aact:ACT75_03645
ko:K06203	aact:ACT75_03650
ko:K03528	aact:ACT75_03655
ko:K01972	aact:ACT75_03660
ko:K00857	aact:ACT75_03665
ko:K01409	aact:ACT75_03675
ko:K02970	aact:ACT75_03680
ko:K02316	aact:ACT75_03685
ko:K03086	aact:ACT75_03690
ko:K07497	aact:ACT75_03710
ko:K02961	aact:ACT75_03715
ko:K02904	aact:ACT75_03720
ko:K02878	aact:ACT75_03725
ko:K02982	aact:ACT75_03730
ko:K02890	aact:ACT75_03735
ko:K02965	aact:ACT75_03740
ko:K02886	aact:ACT75_03745
ko:K02892	aact:ACT75_03750
ko:K02926	aact:ACT75_03755
ko:K02906	aact:ACT75_03760
ko:K02946	aact:ACT75_03765
ko:K04568	aact:ACT75_07965
ko:K00244	aact:ACT75_07970
ko:K00245	aact:ACT75_07975
ko:K00246	aact:ACT75_07980
ko:K00247	aact:ACT75_07985
ko:K12297	aact:ACT75_07990
ko:K07133	aact:ACT75_08000
ko:K06920	aact:ACT75_08005
ko:K03651	aact:ACT75_08020
ko:K01515	aact:ACT75_08025
ko:K01439	aact:ACT75_08035
ko:K04079	aact:ACT75_08045
ko:K14170	aact:ACT75_08050
ko:K02535	aact:ACT75_08055
ko:K03531	aact:ACT75_08060
ko:K03590	aact:ACT75_08065
ko:K03589	aact:ACT75_08070
ko:K01921	aact:ACT75_08075
ko:K01924	aact:ACT75_08080
ko:K02563	aact:ACT75_08085
ko:K03588	aact:ACT75_08090
ko:K01925	aact:ACT75_08095
ko:K01000	aact:ACT75_08100
ko:K01929	aact:ACT75_08105
ko:K01928	aact:ACT75_08110
ko:K03587	aact:ACT75_08115
ko:K03586	aact:ACT75_08120
ko:K03438	aact:ACT75_08125
ko:K03925	aact:ACT75_08130
ko:K09998	aact:ACT75_08140
ko:K09999	aact:ACT75_08145
ko:K09997	aact:ACT75_08150
ko:K10000	aact:ACT75_08155
ko:K03271	aact:ACT75_08160
ko:K03723	aact:ACT75_08165
ko:K06957	aact:ACT75_08175
ko:K07042	aact:ACT75_08185
ko:K02651	aact:ACT75_08195
ko:K02651	aact:ACT75_08200
ko:K02278	aact:ACT75_08205
ko:K02279	aact:ACT75_08210
ko:K02280	aact:ACT75_08215
ko:K02282	aact:ACT75_08225
ko:K01034	aact:ACT75_03775
ko:K01035	aact:ACT75_03780
ko:K02106	aact:ACT75_03785
ko:K00626	aact:ACT75_03790
ko:K00926	aact:ACT75_03805
ko:K00611	aact:ACT75_03810
ko:K05539	aact:ACT75_03820
ko:K01914	aact:ACT75_03825
ko:K03718	aact:ACT75_03830
ko:K00757	aact:ACT75_03835
ko:K03548	aact:ACT75_03840
ko:K00537	aact:ACT75_03845
ko:K09890	aact:ACT75_03855
ko:K14441	aact:ACT75_03860
ko:K01104	aact:ACT75_03865
ko:K03775	aact:ACT75_03875
ko:K09893	aact:ACT75_03885
ko:K03282	aact:ACT75_03890
ko:K03499	aact:ACT75_03895
ko:K03500	aact:ACT75_03900
ko:K00604	aact:ACT75_03905
ko:K01462	aact:ACT75_03910
ko:K00230	aact:ACT75_03940
ko:K03498	aact:ACT75_03945
ko:K04085	aact:ACT75_03955
ko:K09806	aact:ACT75_03960
ko:K06211	aact:ACT75_03965
ko:K03834	aact:ACT75_03975
ko:K02879	aact:ACT75_03980
ko:K03040	aact:ACT75_03985
ko:K02986	aact:ACT75_03990
ko:K02948	aact:ACT75_03995
ko:K02952	aact:ACT75_04000
ko:K03076	aact:ACT75_04005
ko:K02876	aact:ACT75_04010
ko:K02907	aact:ACT75_04015
ko:K02988	aact:ACT75_04020
ko:K02881	aact:ACT75_04025
ko:K02933	aact:ACT75_04030
ko:K02994	aact:ACT75_04035
ko:K02954	aact:ACT75_04040
ko:K02931	aact:ACT75_04045
ko:K02283	aact:ACT75_08230
ko:K12510	aact:ACT75_08235
ko:K12511	aact:ACT75_08240
ko:K12512	aact:ACT75_08245
ko:K12513	aact:ACT75_08250
ko:K12514	aact:ACT75_08255
ko:K12515	aact:ACT75_08260
ko:K02769	aact:ACT75_08315
ko:K02770	aact:ACT75_08315
ko:K00882	aact:ACT75_08320
ko:K02768	aact:ACT75_08325
ko:K11183	aact:ACT75_08325
ko:K03752	aact:ACT75_08335
ko:K09896	aact:ACT75_08340
ko:K03673	aact:ACT75_08345
ko:K09897	aact:ACT75_08350
ko:K00557	aact:ACT75_08355
ko:K15984	aact:ACT75_08360
ko:K03555	aact:ACT75_08395
ko:K06889	aact:ACT75_08405
ko:K04751	aact:ACT75_08450
ko:K07082	aact:ACT75_08455
ko:K16868	aact:ACT75_01225
ko:K03556	aact:ACT75_01230
ko:K00688	aact:ACT75_01235
ko:K00705	aact:ACT75_01240
ko:K03558	aact:ACT75_01245
ko:K09899	aact:ACT75_01250
ko:K00925	aact:ACT75_01255
ko:K13788	aact:ACT75_01260
ko:K00950	aact:ACT75_01270
ko:K00970	aact:ACT75_01275
ko:K06204	aact:ACT75_01280
ko:K02238	aact:ACT75_01285
ko:K11085	aact:ACT75_01290
ko:K00912	aact:ACT75_01295
ko:K09791	aact:ACT75_01300
ko:K00979	aact:ACT75_01305
ko:K03703	aact:ACT75_01310
ko:K02055	aact:ACT75_01315
ko:K02053	aact:ACT75_01320
ko:K02054	aact:ACT75_01325
ko:K01008	aact:ACT75_01335
ko:K00325	aact:ACT75_01350
ko:K00324	aact:ACT75_01355
ko:K06206	aact:ACT75_01360
ko:K01866	aact:ACT75_01365
ko:K03177	aact:ACT75_01375
ko:K02834	aact:ACT75_01380
ko:K02519	aact:ACT75_01390
ko:K02600	aact:ACT75_01395
ko:K09748	aact:ACT75_01400
ko:K07483	aact:ACT75_01410
ko:K07497	aact:ACT75_01415
ko:K02851	aact:ACT75_01470
ko:K01845	aact:ACT75_01475
ko:K00990	aact:ACT75_01480
ko:K01265	aact:ACT75_01485
ko:K15724	aact:ACT75_01490
ko:K05365	aact:ACT75_01500
ko:K15584	aact:ACT75_05725
ko:K04754	aact:ACT75_05730
ko:K09161	aact:ACT75_05735
ko:K11904	aact:ACT75_05740
ko:K07126	aact:ACT75_05755
ko:K00287	aact:ACT75_05770
ko:K00931	aact:ACT75_05790
ko:K03773	aact:ACT75_05795
ko:K01613	aact:ACT75_05800
ko:K00833	aact:ACT75_05805
ko:K00652	aact:ACT75_05810
ko:K09789	aact:ACT75_05815
ko:K02169	aact:ACT75_05820
ko:K01935	aact:ACT75_05825
ko:K07040	aact:ACT75_05830
ko:K02911	aact:ACT75_05835
ko:K03621	aact:ACT75_05840
ko:K00648	aact:ACT75_05845
ko:K00645	aact:ACT75_05850
ko:K00059	aact:ACT75_05855
ko:K02078	aact:ACT75_05860
ko:K03628	aact:ACT75_05870
ko:K03732	aact:ACT75_05875
ko:K09710	aact:ACT75_05880
ko:K00783	aact:ACT75_05885
ko:K05515	aact:ACT75_05890
ko:K05837	aact:ACT75_05895
ko:K03642	aact:ACT75_05900
ko:K07258	aact:ACT75_05905
ko:K09158	aact:ACT75_05910
ko:K03801	aact:ACT75_05915
ko:K03644	aact:ACT75_05920
ko:K07001	aact:ACT75_05930
ko:K09471	aact:ACT75_05935
ko:K02424	aact:ACT75_05940
ko:K10009	aact:ACT75_05945
ko:K10010	aact:ACT75_05950
ko:K07237	aact:ACT75_05955
ko:K07236	aact:ACT75_05960
ko:K07235	aact:ACT75_05965
ko:K03772	aact:ACT75_05975
ko:K03745	aact:ACT75_05980
ko:K04761	aact:ACT75_05990
ko:K10805	aact:ACT75_10225
ko:K16012	aact:ACT75_10230
ko:K16013	aact:ACT75_10235
ko:K00384	aact:ACT75_10240
ko:K05838	aact:ACT75_10245
ko:K21029	aact:ACT75_10255
ko:K03750	aact:ACT75_10260
ko:K01495	aact:ACT75_10265
ko:K07259	aact:ACT75_10270
ko:K03624	aact:ACT75_10275
ko:K07574	aact:ACT75_10280
ko:K00793	aact:ACT75_10295
ko:K03327	aact:ACT75_10300
ko:K02014	aact:ACT75_10305
ko:K02471	aact:ACT75_10310
ko:K03976	aact:ACT75_10315
ko:K01887	aact:ACT75_10325
ko:K09907	aact:ACT75_10330
ko:K06077	aact:ACT75_10335
ko:K02835	aact:ACT75_10340
ko:K02493	aact:ACT75_10345
ko:K01627	aact:ACT75_10350
ko:K13694	aact:ACT75_10355
ko:K09902	aact:ACT75_10365
ko:K03610	aact:ACT75_10370
ko:K08296	aact:ACT75_10380
ko:K03431	aact:ACT75_10385
ko:K00796	aact:ACT75_10390
ko:K02346	aact:ACT75_10395
ko:K07483	aact:ACT75_10400
ko:K00088	aact:ACT75_10415
ko:K03524	aact:ACT75_10420
ko:K04062	aact:ACT75_10425
ko:K19230	aact:ACT75_10450
ko:K19229	aact:ACT75_10455
ko:K19228	aact:ACT75_10460
ko:K19227	aact:ACT75_10465
ko:K19226	aact:ACT75_10470
ko:K06918	aact:ACT75_10475
ko:K08990	aact:ACT75_10480
ko:K00943	aact:ACT75_08460
ko:K02341	aact:ACT75_08465
ko:K03424	aact:ACT75_08470
ko:K07126	aact:ACT75_08490
ko:K01834	aact:ACT75_08505
ko:K01840	aact:ACT75_08510
ko:K02895	aact:ACT75_04050
ko:K02874	aact:ACT75_04055
ko:K01698	aact:ACT75_04065
ko:K03118	aact:ACT75_04070
ko:K03117	aact:ACT75_04075
ko:K03116	aact:ACT75_04080
ko:K04083	aact:ACT75_04105
ko:K04762	aact:ACT75_04110
ko:K20881	aact:ACT75_04115
ko:K08312	aact:ACT75_04120
ko:K18991	aact:ACT75_04125
ko:K01082	aact:ACT75_04145
ko:K00036	aact:ACT75_04150
ko:K01057	aact:ACT75_04155
ko:K00033	aact:ACT75_04165
ko:K03284	aact:ACT75_04170
ko:K02221	aact:ACT75_04175
ko:K09131	aact:ACT75_04180
ko:K05810	aact:ACT75_04210
ko:K06180	aact:ACT75_04215
ko:K05807	aact:ACT75_04220
ko:K01934	aact:ACT75_04225
ko:K09888	aact:ACT75_04230
ko:K09895	aact:ACT75_04235
ko:K01262	aact:ACT75_04240
ko:K02959	aact:ACT75_04245
ko:K02860	aact:ACT75_04250
ko:K00554	aact:ACT75_04255
ko:K02884	aact:ACT75_04260
ko:K03571	aact:ACT75_04265
ko:K03570	aact:ACT75_04270
ko:K03569	aact:ACT75_04275
ko:K12573	aact:ACT75_04280
ko:K03218	aact:ACT75_04285
ko:K02445	aact:ACT75_04290
ko:K01126	aact:ACT75_04295
ko:K04096	aact:ACT75_04300
ko:K02939	aact:ACT75_04305
ko:K02963	aact:ACT75_04310
ko:K02686	aact:ACT75_04315
ko:K02990	aact:ACT75_04320
ko:K01356	aact:ACT75_04325
ko:K09798	aact:ACT75_08520
ko:K07391	aact:ACT75_08525
ko:K03978	aact:ACT75_08530
ko:K09824	aact:ACT75_08535
ko:K03216	aact:ACT75_08540
ko:K06910	aact:ACT75_08545
ko:K02073	aact:ACT75_08550
ko:K02072	aact:ACT75_08555
ko:K02071	aact:ACT75_08560
ko:K03273	aact:ACT75_08565
ko:K01883	aact:ACT75_08610
ko:K03768	aact:ACT75_08615
ko:K03424	aact:ACT75_08625
ko:K04068	aact:ACT75_08630
ko:K21449	aact:ACT75_08640
ko:K01897	aact:ACT75_08645
ko:K02337	aact:ACT75_08650
ko:K03781	aact:ACT75_08670
ko:K00262	aact:ACT75_08675
ko:K01755	aact:ACT75_08680
ko:K01885	aact:ACT75_08705
ko:K07243	aact:ACT75_01505
ko:K07230	aact:ACT75_01510
ko:K02004	aact:ACT75_01520
