ko:K01840	ctjs:CTRC122_01535
ko:K14219	ctjs:CTRC122_t04881
ko:K01977	ctjs:CTRC122_r04915
ko:K01977	ctjs:CTRC122_r04917
ko:K14220	ctjs:CTRC122_t04837
ko:K14234	ctjs:CTRC122_t04841
ko:K14234	ctjs:CTRC122_t04859
ko:K14236	ctjs:CTRC122_t04843
ko:K14227	ctjs:CTRC122_t04845
ko:K14230	ctjs:CTRC122_t04849
ko:K14230	ctjs:CTRC122_t04861
ko:K14221	ctjs:CTRC122_t04853
ko:K14235	ctjs:CTRC122_t04857
ko:K14233	ctjs:CTRC122_t04865
ko:K14233	ctjs:CTRC122_t04875
ko:K14229	ctjs:CTRC122_t04891
ko:K14224	ctjs:CTRC122_t04893
ko:K14226	ctjs:CTRC122_t04899
ko:K01985	ctjs:CTRC122_r04913
ko:K01985	ctjs:CTRC122_r04911
ko:K14222	ctjs:CTRC122_t04901
ko:K14223	ctjs:CTRC122_t04903
ko:K14233	ctjs:CTRC122_t04907
ko:K14233	ctjs:CTRC122_t04863
ko:K14218	ctjs:CTRC122_t04847
ko:K01980	ctjs:CTRC122_r04919
ko:K01980	ctjs:CTRC122_r04921
ko:K14652	ctjs:CTRC122_03915
ko:K00794	ctjs:CTRC122_03920
ko:K03310	ctjs:CTRC122_03935
ko:K03466	ctjs:CTRC122_03955
ko:K00351	ctjs:CTRC122_04060
ko:K03210	ctjs:CTRC122_04065
ko:K00231	ctjs:CTRC122_04090
ko:K01599	ctjs:CTRC122_04100
ko:K03723	ctjs:CTRC122_04105
ko:K01872	ctjs:CTRC122_04110
ko:K00615	ctjs:CTRC122_04120
ko:K01241	ctjs:CTRC122_04125
ko:K02356	ctjs:CTRC122_04135
ko:K09779	ctjs:CTRC122_00010
ko:K02435	ctjs:CTRC122_00015
ko:K02434	ctjs:CTRC122_00025
ko:K02517	ctjs:CTRC122_00060
ko:K00425	ctjs:CTRC122_00075
ko:K00426	ctjs:CTRC122_00080
ko:K07175	ctjs:CTRC122_00085
ko:K01870	ctjs:CTRC122_00105
ko:K03100	ctjs:CTRC122_00110
ko:K02909	ctjs:CTRC122_00120
ko:K02835	ctjs:CTRC122_00125
ko:K02493	ctjs:CTRC122_00130
ko:K03106	ctjs:CTRC122_00135
ko:K02959	ctjs:CTRC122_00140
ko:K00554	ctjs:CTRC122_00145
ko:K02884	ctjs:CTRC122_00150
ko:K03470	ctjs:CTRC122_00155
ko:K00942	ctjs:CTRC122_00160
ko:K01874	ctjs:CTRC122_00170
ko:K03581	ctjs:CTRC122_00175
ko:K01494	ctjs:CTRC122_00200
ko:K03551	ctjs:CTRC122_00210
ko:K01255	ctjs:CTRC122_00240
ko:K02340	ctjs:CTRC122_00250
ko:K07056	ctjs:CTRC122_00255
ko:K01929	ctjs:CTRC122_04155
ko:K01000	ctjs:CTRC122_04160
ko:K01925	ctjs:CTRC122_04165
ko:K03588	ctjs:CTRC122_04175
ko:K02563	ctjs:CTRC122_04180
ko:K06960	ctjs:CTRC122_04190
ko:K00791	ctjs:CTRC122_04205
ko:K09710	ctjs:CTRC122_04220
ko:K09458	ctjs:CTRC122_04225
ko:K00263	ctjs:CTRC122_04240
ko:K00655	ctjs:CTRC122_04250
ko:K04066	ctjs:CTRC122_04265
ko:K04567	ctjs:CTRC122_04285
ko:K01883	ctjs:CTRC122_04290
ko:K03536	ctjs:CTRC122_04300
ko:K02919	ctjs:CTRC122_04305
ko:K02954	ctjs:CTRC122_04310
ko:K03703	ctjs:CTRC122_04330
ko:K03555	ctjs:CTRC122_04335
ko:K14164	ctjs:CTRC122_04360
ko:K00995	ctjs:CTRC122_04365
ko:K00703	ctjs:CTRC122_04370
ko:K02897	ctjs:CTRC122_04375
ko:K01056	ctjs:CTRC122_04380
ko:K02990	ctjs:CTRC122_04385
ko:K02963	ctjs:CTRC122_04390
ko:K02939	ctjs:CTRC122_04395
ko:K00919	ctjs:CTRC122_04400
ko:K00164	ctjs:CTRC122_00285
ko:K00658	ctjs:CTRC122_00290
ko:K05810	ctjs:CTRC122_00295
ko:K03526	ctjs:CTRC122_00300
ko:K02400	ctjs:CTRC122_00315
ko:K02405	ctjs:CTRC122_00320
ko:K01866	ctjs:CTRC122_00325
ko:K03596	ctjs:CTRC122_00335
ko:K03301	ctjs:CTRC122_00340
ko:K00099	ctjs:CTRC122_00375
ko:K03629	ctjs:CTRC122_00390
ko:K02338	ctjs:CTRC122_00395
ko:K03664	ctjs:CTRC122_00400
ko:K03734	ctjs:CTRC122_00405
ko:K01491	ctjs:CTRC122_00410
ko:K02902	ctjs:CTRC122_00445
ko:K00705	ctjs:CTRC122_00450
ko:K04058	ctjs:CTRC122_00460
ko:K03230	ctjs:CTRC122_00465
ko:K03229	ctjs:CTRC122_00470
ko:K06942	ctjs:CTRC122_00475
ko:K11753	ctjs:CTRC122_00480
ko:K02834	ctjs:CTRC122_00490
ko:K02519	ctjs:CTRC122_00495
ko:K02600	ctjs:CTRC122_00500
ko:K02945	ctjs:CTRC122_00505
ko:K00384	ctjs:CTRC122_00510
ko:K00997	ctjs:CTRC122_00515
ko:K00630	ctjs:CTRC122_04420
ko:K08301	ctjs:CTRC122_04425
ko:K02911	ctjs:CTRC122_04440
ko:K03621	ctjs:CTRC122_04445
ko:K03431	ctjs:CTRC122_04475
ko:K00820	ctjs:CTRC122_04480
ko:K03834	ctjs:CTRC122_04485
ko:K03834	ctjs:CTRC122_04495
ko:K06890	ctjs:CTRC122_04500
ko:K03110	ctjs:CTRC122_04505
ko:K01903	ctjs:CTRC122_04510
ko:K01902	ctjs:CTRC122_04515
ko:K09760	ctjs:CTRC122_04530
ko:K17103	ctjs:CTRC122_04535
ko:K03439	ctjs:CTRC122_04550
ko:K00075	ctjs:CTRC122_04560
ko:K03625	ctjs:CTRC122_04570
ko:K02520	ctjs:CTRC122_04575
ko:K02916	ctjs:CTRC122_04580
ko:K02887	ctjs:CTRC122_04585
ko:K01889	ctjs:CTRC122_04590
ko:K11720	ctjs:CTRC122_04605
ko:K07091	ctjs:CTRC122_04610
ko:K04075	ctjs:CTRC122_04615
ko:K03798	ctjs:CTRC122_04620
ko:K00962	ctjs:CTRC122_04625
ko:K02956	ctjs:CTRC122_04630
ko:K00208	ctjs:CTRC122_00540
ko:K03575	ctjs:CTRC122_00560
ko:K04077	ctjs:CTRC122_00575
ko:K04078	ctjs:CTRC122_00580
ko:K08602	ctjs:CTRC122_00585
ko:K03695	ctjs:CTRC122_00595
ko:K01783	ctjs:CTRC122_00640
ko:K02356	ctjs:CTRC122_00645
ko:K02160	ctjs:CTRC122_00650
ko:K01961	ctjs:CTRC122_00655
ko:K02871	ctjs:CTRC122_00665
ko:K02996	ctjs:CTRC122_00670
ko:K02029	ctjs:CTRC122_00685
ko:K07058	ctjs:CTRC122_00700
ko:K06999	ctjs:CTRC122_00725
ko:K07566	ctjs:CTRC122_00730
ko:K09125	ctjs:CTRC122_00745
ko:K07039	ctjs:CTRC122_00750
ko:K01972	ctjs:CTRC122_00780
ko:K02913	ctjs:CTRC122_00800
ko:K09808	ctjs:CTRC122_00805
ko:K09810	ctjs:CTRC122_00810
ko:K01265	ctjs:CTRC122_04680
ko:K03321	ctjs:CTRC122_04715
ko:K03527	ctjs:CTRC122_04730
ko:K03720	ctjs:CTRC122_00895
ko:K01696	ctjs:CTRC122_00905
ko:K01695	ctjs:CTRC122_00910
ko:K03611	ctjs:CTRC122_00930
ko:K00979	ctjs:CTRC122_00960
ko:K01937	ctjs:CTRC122_00965
ko:K07447	ctjs:CTRC122_00970
ko:K00036	ctjs:CTRC122_00975
ko:K01057	ctjs:CTRC122_00980
ko:K02343	ctjs:CTRC122_00985
ko:K00943	ctjs:CTRC122_00990
ko:K02469	ctjs:CTRC122_00995
ko:K02470	ctjs:CTRC122_01000
ko:K00773	ctjs:CTRC122_01015
ko:K06213	ctjs:CTRC122_01020
ko:K15580	ctjs:CTRC122_01040
ko:K15581	ctjs:CTRC122_01045
ko:K03319	ctjs:CTRC122_01070
ko:K00850	ctjs:CTRC122_01075
ko:K00895	ctjs:CTRC122_01085
ko:K02527	ctjs:CTRC122_01090
ko:K01869	ctjs:CTRC122_01095
ko:K01845	ctjs:CTRC122_01100
ko:K07735	ctjs:CTRC122_01105
ko:K08999	ctjs:CTRC122_01110
ko:K14234	ctjs:CTRC122_t04889
ko:K01807	ctjs:CTRC122_01115
ko:K03787	ctjs:CTRC122_01140
ko:K03179	ctjs:CTRC122_01145
ko:K03186	ctjs:CTRC122_01150
ko:K03308	ctjs:CTRC122_01210
ko:K02078	ctjs:CTRC122_01235
ko:K00645	ctjs:CTRC122_01245
ko:K00648	ctjs:CTRC122_01250
ko:K06187	ctjs:CTRC122_01255
ko:K07277	ctjs:CTRC122_01260
ko:K06142	ctjs:CTRC122_01265
ko:K02536	ctjs:CTRC122_01270
ko:K00161	ctjs:CTRC122_01280
ko:K00162	ctjs:CTRC122_01285
ko:K00627	ctjs:CTRC122_01290
ko:K00688	ctjs:CTRC122_01295
ko:K02313	ctjs:CTRC122_01305
ko:K03217	ctjs:CTRC122_01310
ko:K04487	ctjs:CTRC122_01345
ko:K07083	ctjs:CTRC122_01370
ko:K01962	ctjs:CTRC122_01385
ko:K01448	ctjs:CTRC122_01400
ko:K01928	ctjs:CTRC122_01405
ko:K03587	ctjs:CTRC122_01410
ko:K03438	ctjs:CTRC122_01420
ko:K02313	ctjs:CTRC122_01435
ko:K00347	ctjs:CTRC122_01450
ko:K00348	ctjs:CTRC122_01455
ko:K00349	ctjs:CTRC122_01460
ko:K00350	ctjs:CTRC122_01465
ko:K02437	ctjs:CTRC122_01470
ko:K03800	ctjs:CTRC122_01485
ko:K03696	ctjs:CTRC122_01490
ko:K00566	ctjs:CTRC122_01495
ko:K01963	ctjs:CTRC122_01525
ko:K04564	ctjs:CTRC122_01530
ko:K03685	ctjs:CTRC122_01545
ko:K04485	ctjs:CTRC122_01550
ko:K01749	ctjs:CTRC122_01555
ko:K01873	ctjs:CTRC122_01565
ko:K14225	ctjs:CTRC122_t04895
ko:K14228	ctjs:CTRC122_t04873
ko:K03046	ctjs:CTRC122_01630
ko:K03043	ctjs:CTRC122_01635
ko:K02935	ctjs:CTRC122_01640
ko:K02864	ctjs:CTRC122_01645
ko:K02863	ctjs:CTRC122_01650
ko:K02867	ctjs:CTRC122_01655
ko:K02601	ctjs:CTRC122_01660
ko:K03073	ctjs:CTRC122_01665
ko:K02358	ctjs:CTRC122_01670
ko:K02518	ctjs:CTRC122_01675
ko:K01803	ctjs:CTRC122_01720
ko:K03601	ctjs:CTRC122_01725
ko:K03602	ctjs:CTRC122_01730
ko:K01662	ctjs:CTRC122_01740
ko:K00873	ctjs:CTRC122_01745
ko:K03701	ctjs:CTRC122_01750
ko:K02343	ctjs:CTRC122_01755
ko:K09747	ctjs:CTRC122_01760
ko:K11381	ctjs:CTRC122_01790
ko:K03686	ctjs:CTRC122_01795
ko:K02970	ctjs:CTRC122_01800
ko:K01338	ctjs:CTRC122_01810
ko:K03733	ctjs:CTRC122_01830
ko:K06287	ctjs:CTRC122_01840
ko:K03075	ctjs:CTRC122_01855
ko:K01462	ctjs:CTRC122_01860
ko:K02528	ctjs:CTRC122_01865
ko:K06888	ctjs:CTRC122_01875
ko:K03523	ctjs:CTRC122_01900
ko:K01714	ctjs:CTRC122_01915
ko:K00928	ctjs:CTRC122_01920
ko:K00133	ctjs:CTRC122_01925
ko:K00215	ctjs:CTRC122_01930
ko:K00800	ctjs:CTRC122_01940
ko:K00891	ctjs:CTRC122_01945
ko:K01736	ctjs:CTRC122_01950
ko:K01735	ctjs:CTRC122_01955
ko:K13832	ctjs:CTRC122_01960
ko:K03758	ctjs:CTRC122_01980
ko:K00024	ctjs:CTRC122_01990
ko:K01810	ctjs:CTRC122_02000
ko:K03665	ctjs:CTRC122_02005
ko:K06167	ctjs:CTRC122_02010
ko:K09996	ctjs:CTRC122_02015
ko:K06966	ctjs:CTRC122_02045
ko:K09131	ctjs:CTRC122_02050
ko:K10206	ctjs:CTRC122_02060
ko:K01881	ctjs:CTRC122_02075
ko:K03705	ctjs:CTRC122_02080
ko:K03687	ctjs:CTRC122_02085
ko:K04043	ctjs:CTRC122_02090
ko:K12573	ctjs:CTRC122_02095
ko:K07164	ctjs:CTRC122_02100
ko:K06041	ctjs:CTRC122_02105
ko:K00658	ctjs:CTRC122_02110
ko:K00912	ctjs:CTRC122_02120
ko:K03437	ctjs:CTRC122_02125
ko:K06969	ctjs:CTRC122_02130
ko:K14228	ctjs:CTRC122_t04909
ko:K14232	ctjs:CTRC122_t04839
ko:K00793	ctjs:CTRC122_02135
ko:K07738	ctjs:CTRC122_02140
ko:K06204	ctjs:CTRC122_02145
ko:K03101	ctjs:CTRC122_02150
ko:K03310	ctjs:CTRC122_02155
ko:K00748	ctjs:CTRC122_02165
ko:K09817	ctjs:CTRC122_02190
ko:K09816	ctjs:CTRC122_02195
ko:K03979	ctjs:CTRC122_02200
ko:K02899	ctjs:CTRC122_02205
ko:K02888	ctjs:CTRC122_02210
ko:K07042	ctjs:CTRC122_02230
ko:K03183	ctjs:CTRC122_02260
ko:K01778	ctjs:CTRC122_02270
ko:K01358	ctjs:CTRC122_02275
ko:K00600	ctjs:CTRC122_02280
ko:K01770	ctjs:CTRC122_02295
ko:K02946	ctjs:CTRC122_02305
ko:K02355	ctjs:CTRC122_02310
ko:K02992	ctjs:CTRC122_02315
ko:K02950	ctjs:CTRC122_02320
ko:K03797	ctjs:CTRC122_02330
ko:K07462	ctjs:CTRC122_02365
ko:K12257	ctjs:CTRC122_02375
ko:K00806	ctjs:CTRC122_02385
ko:K00981	ctjs:CTRC122_02395
ko:K00945	ctjs:CTRC122_02400
ko:K00655	ctjs:CTRC122_02405
ko:K01887	ctjs:CTRC122_02410
ko:K00790	ctjs:CTRC122_02415
ko:K02836	ctjs:CTRC122_02435
ko:K00991	ctjs:CTRC122_02450
ko:K06173	ctjs:CTRC122_02455
ko:K07710	ctjs:CTRC122_02475
ko:K07714	ctjs:CTRC122_02480
ko:K03584	ctjs:CTRC122_02490
ko:K08998	ctjs:CTRC122_02515
ko:K01890	ctjs:CTRC122_02525
ko:K02034	ctjs:CTRC122_02540
ko:K01772	ctjs:CTRC122_02585
ko:K07099	ctjs:CTRC122_02600
ko:K14237	ctjs:CTRC122_t04855
ko:K14230	ctjs:CTRC122_t04851
ko:K00975	ctjs:CTRC122_02605
ko:K03628	ctjs:CTRC122_02615
ko:K00859	ctjs:CTRC122_02620
ko:K03301	ctjs:CTRC122_02635
ko:K00995	ctjs:CTRC122_02640
ko:K03495	ctjs:CTRC122_02660
ko:K03800	ctjs:CTRC122_02665
ko:K00940	ctjs:CTRC122_02670
ko:K03550	ctjs:CTRC122_02675
ko:K01159	ctjs:CTRC122_02680
ko:K00134	ctjs:CTRC122_02695
ko:K02879	ctjs:CTRC122_02700
ko:K03040	ctjs:CTRC122_02705
ko:K02948	ctjs:CTRC122_02710
ko:K02952	ctjs:CTRC122_02715
ko:K03076	ctjs:CTRC122_02720
ko:K02876	ctjs:CTRC122_02725
ko:K02988	ctjs:CTRC122_02730
ko:K02881	ctjs:CTRC122_02735
ko:K02933	ctjs:CTRC122_02740
ko:K02994	ctjs:CTRC122_02745
ko:K02931	ctjs:CTRC122_02750
ko:K02895	ctjs:CTRC122_02755
ko:K02874	ctjs:CTRC122_02760
ko:K02961	ctjs:CTRC122_02765
ko:K02904	ctjs:CTRC122_02770
ko:K02878	ctjs:CTRC122_02775
ko:K02982	ctjs:CTRC122_02780
ko:K02890	ctjs:CTRC122_02785
ko:K02965	ctjs:CTRC122_02790
ko:K02886	ctjs:CTRC122_02795
ko:K02892	ctjs:CTRC122_02800
ko:K02926	ctjs:CTRC122_02805
ko:K02906	ctjs:CTRC122_02810
ko:K00604	ctjs:CTRC122_02820
ko:K00677	ctjs:CTRC122_02825
ko:K02372	ctjs:CTRC122_02830
ko:K02535	ctjs:CTRC122_02835
ko:K03820	ctjs:CTRC122_02840
ko:K06925	ctjs:CTRC122_02855
ko:K03671	ctjs:CTRC122_02865
ko:K03216	ctjs:CTRC122_02870
ko:K01876	ctjs:CTRC122_02880
ko:K01892	ctjs:CTRC122_02885
ko:K07783	ctjs:CTRC122_02890
ko:K02337	ctjs:CTRC122_02895
ko:K03311	ctjs:CTRC122_02950
ko:K00382	ctjs:CTRC122_02965
ko:K03644	ctjs:CTRC122_02970
ko:K03222	ctjs:CTRC122_02975
ko:K03223	ctjs:CTRC122_02990
ko:K03226	ctjs:CTRC122_02995
ko:K03228	ctjs:CTRC122_03005
ko:K02455	ctjs:CTRC122_03035
ko:K02453	ctjs:CTRC122_03045
ko:K03572	ctjs:CTRC122_03060
ko:K01868	ctjs:CTRC122_03095
ko:K01867	ctjs:CTRC122_03115
ko:K03702	ctjs:CTRC122_03120
ko:K01689	ctjs:CTRC122_03125
ko:K00240	ctjs:CTRC122_03145
ko:K14225	ctjs:CTRC122_t04897
ko:K14231	ctjs:CTRC122_t04867
ko:K06910	ctjs:CTRC122_03940
ko:K07117	ctjs:CTRC122_03945
ko:K07491	ctjs:CTRC122_04045
ko:K02433	ctjs:CTRC122_00020
ko:K03471	ctjs:CTRC122_00050
ko:K01507	ctjs:CTRC122_04235
ko:K01082	ctjs:CTRC122_04245
ko:K01909	ctjs:CTRC122_04255
ko:K00652	ctjs:CTRC122_04260
ko:K00033	ctjs:CTRC122_00330
ko:K11707	ctjs:CTRC122_00355
ko:K11710	ctjs:CTRC122_00360
ko:K11708	ctjs:CTRC122_00365
ko:K11709	ctjs:CTRC122_00370
ko:K03177	ctjs:CTRC122_00485
ko:K01408	ctjs:CTRC122_04415
ko:K06179	ctjs:CTRC122_00555
ko:K00939	ctjs:CTRC122_00680
ko:K02028	ctjs:CTRC122_00690
ko:K02035	ctjs:CTRC122_00740
ko:K06889	ctjs:CTRC122_00795
ko:K04763	ctjs:CTRC122_04770
ko:K00700	ctjs:CTRC122_04780
ko:K02035	ctjs:CTRC122_00925
ko:K02049	ctjs:CTRC122_00950
ko:K01409	ctjs:CTRC122_01035
ko:K15582	ctjs:CTRC122_01050
ko:K10823	ctjs:CTRC122_01055
ko:K15583	ctjs:CTRC122_01060
ko:K06889	ctjs:CTRC122_01080
ko:K00059	ctjs:CTRC122_01240
ko:K07052	ctjs:CTRC122_01325
ko:K02342	ctjs:CTRC122_01365
ko:K02806	ctjs:CTRC122_01510
ko:K02806	ctjs:CTRC122_01515
ko:K02124	ctjs:CTRC122_01580
ko:K02123	ctjs:CTRC122_01585
ko:K02120	ctjs:CTRC122_01590
ko:K02118	ctjs:CTRC122_01595
ko:K02117	ctjs:CTRC122_01600
ko:K02121	ctjs:CTRC122_01610
ko:K00616	ctjs:CTRC122_01625
ko:K08483	ctjs:CTRC122_01765
ko:K11189	ctjs:CTRC122_01770
ko:K00784	ctjs:CTRC122_01825
ko:K03856	ctjs:CTRC122_02020
ko:K00970	ctjs:CTRC122_02160
ko:K09815	ctjs:CTRC122_02185
ko:K01719	ctjs:CTRC122_02290
ko:K00380	ctjs:CTRC122_02300
ko:K01885	ctjs:CTRC122_02355
ko:K07098	ctjs:CTRC122_02445
ko:K00567	ctjs:CTRC122_02535
ko:K02033	ctjs:CTRC122_02545
ko:K02035	ctjs:CTRC122_02550
ko:K02030	ctjs:CTRC122_02590
ko:K02342	ctjs:CTRC122_02850
ko:K07258	ctjs:CTRC122_02925
ko:K03227	ctjs:CTRC122_03000
ko:K02454	ctjs:CTRC122_03040
ko:K01262	ctjs:CTRC122_03055
ko:K07315	ctjs:CTRC122_03130
ko:K00241	ctjs:CTRC122_03155
ko:K00241	ctjs:CTRC122_03160
ko:K03386	ctjs:CTRC122_03210
ko:K02428	ctjs:CTRC122_03225
ko:K00813	ctjs:CTRC122_03395
ko:K01934	ctjs:CTRC122_03455
ko:K00970	ctjs:CTRC122_03770
ko:K01596	ctjs:CTRC122_03805
ko:K00972	ctjs:CTRC122_03830
ko:K01834	ctjs:CTRC122_03865
ko:K14237	ctjs:CTRC122_t04905
ko:K06972	ctjs:CTRC122_04525
ko:K11645	ctjs:CTRC122_01125
ko:K08274	ctjs:CTRC122_01995
ko:K07081	ctjs:CTRC122_02255
ko:K18476	ctjs:CTRC122_04040
ko:K01802	ctjs:CTRC122_02875
ko:K08275	ctjs:CTRC122_00420
ko:K08719	ctjs:CTRC122_03820
ko:K01921	ctjs:CTRC122_04185
ko:K01924	ctjs:CTRC122_04185
ko:K01829	ctjs:CTRC122_04275
ko:K01829	ctjs:CTRC122_04295
ko:K03309	ctjs:CTRC122_02115
ko:K07033	ctjs:CTRC122_03670
ko:K01214	ctjs:CTRC122_00220
ko:K07171	ctjs:CTRC122_03985
ko:K03825	ctjs:CTRC122_02430
ko:K03111	ctjs:CTRC122_00230
ko:K03496	ctjs:CTRC122_03100
ko:K03497	ctjs:CTRC122_03690
ko:K02626	ctjs:CTRC122_01975
ko:K11991	ctjs:CTRC122_04635
ko:K02031	ctjs:CTRC122_03700
ko:K04771	ctjs:CTRC122_04520
ko:K19411	ctjs:CTRC122_03605
ko:K07496	ctjs:CTRC122_04050
ko:K19405	ctjs:CTRC122_03600
ko:K07125	ctjs:CTRC122_01690
ko:K22100	ctjs:CTRC122_01715
ko:K12132	ctjs:CTRC122_01560
ko:K20265	ctjs:CTRC122_01130
ko:K20074	ctjs:CTRC122_01350
ko:K11749	ctjs:CTRC122_00380
ko:K22099	ctjs:CTRC122_03255
ko:K00526	ctjs:CTRC122_04545
ko:K02335	ctjs:CTRC122_02625
ko:K02316	ctjs:CTRC122_04345
ko:K01520	ctjs:CTRC122_01520
ko:K02314	ctjs:CTRC122_02655
ko:K00287	ctjs:CTRC122_03260
ko:K03553	ctjs:CTRC122_03465
ko:K02032	ctjs:CTRC122_03695
ko:K00525	ctjs:CTRC122_04540
ko:K02050	ctjs:CTRC122_04695
ko:K02051	ctjs:CTRC122_04695
ko:K01534	ctjs:CTRC122_03895
ko:K16239	ctjs:CTRC122_00440
