ko:K18929	cjv:MTVDSCj20_0073
ko:K02055	cjv:MTVDSCj20_0749
ko:K02054	cjv:MTVDSCj20_0752
ko:K02053	cjv:MTVDSCj20_0753
ko:K02052	cjv:MTVDSCj20_0754
ko:K02030	cjv:MTVDSCj20_0756
ko:K03636	cjv:MTVDSCj20_1481
ko:K03635	cjv:MTVDSCj20_1482
ko:K03750	cjv:MTVDSCj20_1483
ko:K09952	cjv:MTVDSCj20_1486
ko:K03326	cjv:MTVDSCj20_1487
ko:K01933	cjv:MTVDSCj20_1489
ko:K00859	cjv:MTVDSCj20_1490
ko:K01778	cjv:MTVDSCj20_1491
ko:K03796	cjv:MTVDSCj20_1492
ko:K07133	cjv:MTVDSCj20_1493
ko:K04047	cjv:MTVDSCj20_1494
ko:K01810	cjv:MTVDSCj20_1495
ko:K00963	cjv:MTVDSCj20_1496
ko:K01895	cjv:MTVDSCj20_1497
ko:K06857	cjv:MTVDSCj20_1498
ko:K05773	cjv:MTVDSCj20_1499
ko:K05772	cjv:MTVDSCj20_1500
ko:K07160	cjv:MTVDSCj20_1501
ko:K03923	cjv:MTVDSCj20_1505
ko:K06940	cjv:MTVDSCj20_0515
ko:K01609	cjv:MTVDSCj20_0517
ko:K06917	cjv:MTVDSCj20_0519
ko:K01772	cjv:MTVDSCj20_0523
ko:K13017	cjv:MTVDSCj20_0525
ko:K01872	cjv:MTVDSCj20_0526
ko:K06287	cjv:MTVDSCj20_0527
ko:K05366	cjv:MTVDSCj20_0528
ko:K03695	cjv:MTVDSCj20_0529
ko:K03797	cjv:MTVDSCj20_0531
ko:K01923	cjv:MTVDSCj20_0532
ko:K01952	cjv:MTVDSCj20_0533
ko:K01952	cjv:MTVDSCj20_0534
ko:K00655	cjv:MTVDSCj20_0536
ko:K06199	cjv:MTVDSCj20_0537
ko:K04079	cjv:MTVDSCj20_0538
ko:K03324	cjv:MTVDSCj20_0541
ko:K03587	cjv:MTVDSCj20_0542
ko:K02408	cjv:MTVDSCj20_0543
ko:K02388	cjv:MTVDSCj20_0544
ko:K02387	cjv:MTVDSCj20_0545
ko:K07082	cjv:MTVDSCj20_0546
ko:K00031	cjv:MTVDSCj20_0548
ko:K00024	cjv:MTVDSCj20_0549
ko:K01903	cjv:MTVDSCj20_0550
ko:K01902	cjv:MTVDSCj20_0551
ko:K00176	cjv:MTVDSCj20_0552
ko:K00174	cjv:MTVDSCj20_0553
ko:K00175	cjv:MTVDSCj20_0554
ko:K00177	cjv:MTVDSCj20_0555
ko:K02523	cjv:MTVDSCj20_0558
ko:K02492	cjv:MTVDSCj20_0559
ko:K01881	cjv:MTVDSCj20_0560
ko:K01649	cjv:MTVDSCj20_0561
ko:K01749	cjv:MTVDSCj20_0562
ko:K03182	cjv:MTVDSCj20_0563
ko:K03499	cjv:MTVDSCj20_1290
ko:K11782	cjv:MTVDSCj20_1291
ko:K00761	cjv:MTVDSCj20_1292
ko:K00029	cjv:MTVDSCj20_1293
ko:K01885	cjv:MTVDSCj20_1294
ko:K01961	cjv:MTVDSCj20_1296
ko:K02160	cjv:MTVDSCj20_1297
ko:K01494	cjv:MTVDSCj20_1298
ko:K15894	cjv:MTVDSCj20_1299
ko:K15895	cjv:MTVDSCj20_1300
ko:K15896	cjv:MTVDSCj20_1308
ko:K15896	cjv:MTVDSCj20_1309
ko:K02500	cjv:MTVDSCj20_1310
ko:K02501	cjv:MTVDSCj20_1311
ko:K15898	cjv:MTVDSCj20_1313
ko:K02406	cjv:MTVDSCj20_1317
ko:K02406	cjv:MTVDSCj20_1318
ko:K02456	cjv:MTVDSCj20_1321
ko:K01409	cjv:MTVDSCj20_1322
ko:K00099	cjv:MTVDSCj20_1324
ko:K00981	cjv:MTVDSCj20_1325
ko:K03752	cjv:MTVDSCj20_1328
ko:K01058	cjv:MTVDSCj20_1329
ko:K02015	cjv:MTVDSCj20_1330
ko:K02015	cjv:MTVDSCj20_1331
ko:K02013	cjv:MTVDSCj20_1332
ko:K02016	cjv:MTVDSCj20_1333
ko:K03098	cjv:MTVDSCj20_1507
ko:K13979	cjv:MTVDSCj20_1508
ko:K01153	cjv:MTVDSCj20_1509
ko:K01154	cjv:MTVDSCj20_1512
ko:K03427	cjv:MTVDSCj20_1513
ko:K01607	cjv:MTVDSCj20_1514
ko:K03406	cjv:MTVDSCj20_1519
ko:K00343	cjv:MTVDSCj20_1521
ko:K00342	cjv:MTVDSCj20_1522
ko:K00341	cjv:MTVDSCj20_1523
ko:K00340	cjv:MTVDSCj20_1524
ko:K00339	cjv:MTVDSCj20_1525
ko:K00338	cjv:MTVDSCj20_1526
ko:K01673	cjv:MTVDSCj20_0215
ko:K16052	cjv:MTVDSCj20_0216
ko:K13819	cjv:MTVDSCj20_0217
ko:K04487	cjv:MTVDSCj20_0218
ko:K02916	cjv:MTVDSCj20_0221
ko:K02887	cjv:MTVDSCj20_0222
ko:K03637	cjv:MTVDSCj20_0228
ko:K01142	cjv:MTVDSCj20_0231
ko:K03760	cjv:MTVDSCj20_0232
ko:K00901	cjv:MTVDSCj20_0233
ko:K01465	cjv:MTVDSCj20_0235
ko:K03406	cjv:MTVDSCj20_0238
ko:K07238	cjv:MTVDSCj20_0239
ko:K07812	cjv:MTVDSCj20_0240
ko:K03532	cjv:MTVDSCj20_0241
ko:K00826	cjv:MTVDSCj20_0245
ko:K01821	cjv:MTVDSCj20_0246
ko:K03564	cjv:MTVDSCj20_0247
ko:K09765	cjv:MTVDSCj20_0248
ko:K02372	cjv:MTVDSCj20_0249
ko:K00677	cjv:MTVDSCj20_0250
ko:K03544	cjv:MTVDSCj20_0251
ko:K03569	cjv:MTVDSCj20_0252
ko:K03570	cjv:MTVDSCj20_0253
ko:K01955	cjv:MTVDSCj20_0254
ko:K00616	cjv:MTVDSCj20_0256
ko:K01079	cjv:MTVDSCj20_0257
ko:K03408	cjv:MTVDSCj20_0258
ko:K03407	cjv:MTVDSCj20_0259
ko:K03415	cjv:MTVDSCj20_0260
ko:K03269	cjv:MTVDSCj20_0261
ko:K03624	cjv:MTVDSCj20_0262
ko:K01735	cjv:MTVDSCj20_1009
ko:K09944	cjv:MTVDSCj20_1010
ko:K00773	cjv:MTVDSCj20_1011
ko:K01996	cjv:MTVDSCj20_1016
ko:K01995	cjv:MTVDSCj20_1017
ko:K01998	cjv:MTVDSCj20_1018
ko:K01997	cjv:MTVDSCj20_1019
ko:K01999	cjv:MTVDSCj20_1020
ko:K01999	cjv:MTVDSCj20_1021
ko:K00133	cjv:MTVDSCj20_1025
ko:K09860	cjv:MTVDSCj20_1028
ko:K02469	cjv:MTVDSCj20_1029
ko:K02242	cjv:MTVDSCj20_1030
ko:K03596	cjv:MTVDSCj20_1032
ko:K03686	cjv:MTVDSCj20_1036
ko:K01959	cjv:MTVDSCj20_1039
ko:K03588	cjv:MTVDSCj20_1040
ko:K02563	cjv:MTVDSCj20_1041
ko:K03449	cjv:MTVDSCj20_1042
ko:K00788	cjv:MTVDSCj20_1045
ko:K03150	cjv:MTVDSCj20_1046
ko:K03149	cjv:MTVDSCj20_1047
ko:K03148	cjv:MTVDSCj20_1048
ko:K03154	cjv:MTVDSCj20_1049
ko:K01154	cjv:MTVDSCj20_1050
ko:K06603	cjv:MTVDSCj20_0564
ko:K02407	cjv:MTVDSCj20_0565
ko:K02422	cjv:MTVDSCj20_0566
ko:K02356	cjv:MTVDSCj20_0569
ko:K00147	cjv:MTVDSCj20_0576
ko:K00384	cjv:MTVDSCj20_0577
ko:K14652	cjv:MTVDSCj20_0592
ko:K09117	cjv:MTVDSCj20_0593
ko:K01652	cjv:MTVDSCj20_0594
ko:K01653	cjv:MTVDSCj20_0595
ko:K03705	cjv:MTVDSCj20_0766
ko:K03687	cjv:MTVDSCj20_0767
ko:K04043	cjv:MTVDSCj20_0768
ko:K00812	cjv:MTVDSCj20_0771
ko:K00640	cjv:MTVDSCj20_0772
ko:K01585	cjv:MTVDSCj20_0773
ko:K01892	cjv:MTVDSCj20_0774
ko:K00943	cjv:MTVDSCj20_0775
ko:K00954	cjv:MTVDSCj20_0776
ko:K03186	cjv:MTVDSCj20_0777
ko:K02386	cjv:MTVDSCj20_0778
ko:K02073	cjv:MTVDSCj20_0779
ko:K02073	cjv:MTVDSCj20_0780
ko:K02073	cjv:MTVDSCj20_0781
ko:K02072	cjv:MTVDSCj20_0782
ko:K02071	cjv:MTVDSCj20_0783
ko:K01873	cjv:MTVDSCj20_0784
ko:K03657	cjv:MTVDSCj20_0786
ko:K11065	cjv:MTVDSCj20_0788
ko:K02567	cjv:MTVDSCj20_0789
ko:K02573	cjv:MTVDSCj20_0790
ko:K02574	cjv:MTVDSCj20_0791
ko:K02568	cjv:MTVDSCj20_0792
ko:K02570	cjv:MTVDSCj20_0794
ko:K00974	cjv:MTVDSCj20_0798
ko:K01433	cjv:MTVDSCj20_0799
ko:K06921	cjv:MTVDSCj20_0801
ko:K01929	cjv:MTVDSCj20_0804
ko:K01921	cjv:MTVDSCj20_0807
ko:K03550	cjv:MTVDSCj20_0808
ko:K03980	cjv:MTVDSCj20_0810
ko:K01883	cjv:MTVDSCj20_0811
ko:K00337	cjv:MTVDSCj20_1527
ko:K00334	cjv:MTVDSCj20_1530
ko:K00333	cjv:MTVDSCj20_1531
ko:K00332	cjv:MTVDSCj20_1532
ko:K00331	cjv:MTVDSCj20_1533
ko:K00330	cjv:MTVDSCj20_1534
ko:K02034	cjv:MTVDSCj20_1537
ko:K02033	cjv:MTVDSCj20_1538
ko:K02035	cjv:MTVDSCj20_1539
ko:K07306	cjv:MTVDSCj20_1540
ko:K07308	cjv:MTVDSCj20_1542
ko:K06159	cjv:MTVDSCj20_1545
ko:K02518	cjv:MTVDSCj20_1548
ko:K02919	cjv:MTVDSCj20_1549
ko:K02952	cjv:MTVDSCj20_1550
ko:K02948	cjv:MTVDSCj20_1551
ko:K02986	cjv:MTVDSCj20_1552
ko:K03040	cjv:MTVDSCj20_1553
ko:K02879	cjv:MTVDSCj20_1554
ko:K00765	cjv:MTVDSCj20_1555
ko:K00013	cjv:MTVDSCj20_1556
ko:K01089	cjv:MTVDSCj20_1557
ko:K02501	cjv:MTVDSCj20_1558
ko:K01814	cjv:MTVDSCj20_1559
ko:K02500	cjv:MTVDSCj20_1560
ko:K11755	cjv:MTVDSCj20_1561
ko:K00674	cjv:MTVDSCj20_1562
ko:K03593	cjv:MTVDSCj20_1563
ko:K12506	cjv:MTVDSCj20_1564
ko:K00958	cjv:MTVDSCj20_1566
ko:K01095	cjv:MTVDSCj20_1567
ko:K02968	cjv:MTVDSCj20_1568
ko:K02835	cjv:MTVDSCj20_1569
ko:K07226	cjv:MTVDSCj20_1570
ko:K02014	cjv:MTVDSCj20_1571
ko:K00748	cjv:MTVDSCj20_0263
ko:K03787	cjv:MTVDSCj20_0266
ko:K03830	cjv:MTVDSCj20_0268
ko:K01579	cjv:MTVDSCj20_0269
ko:K01918	cjv:MTVDSCj20_0270
ko:K00606	cjv:MTVDSCj20_0271
ko:K02017	cjv:MTVDSCj20_0273
ko:K02018	cjv:MTVDSCj20_0274
ko:K02020	cjv:MTVDSCj20_0276
ko:K02169	cjv:MTVDSCj20_0277
ko:K09789	cjv:MTVDSCj20_0278
ko:K00652	cjv:MTVDSCj20_0279
ko:K00833	cjv:MTVDSCj20_0280
ko:K02897	cjv:MTVDSCj20_0283
ko:K01056	cjv:MTVDSCj20_0284
ko:K11720	cjv:MTVDSCj20_0285
ko:K01586	cjv:MTVDSCj20_0286
ko:K02566	cjv:MTVDSCj20_0287
ko:K14170	cjv:MTVDSCj20_0288
ko:K00817	cjv:MTVDSCj20_0289
ko:K02409	cjv:MTVDSCj20_0290
ko:K02410	cjv:MTVDSCj20_0291
ko:K02411	cjv:MTVDSCj20_0292
ko:K01662	cjv:MTVDSCj20_0293
ko:K09825	cjv:MTVDSCj20_0294
ko:K03183	cjv:MTVDSCj20_0296
ko:K03601	cjv:MTVDSCj20_0297
ko:K00831	cjv:MTVDSCj20_0298
ko:K00648	cjv:MTVDSCj20_0300
ko:K03621	cjv:MTVDSCj20_0301
ko:K02911	cjv:MTVDSCj20_0302
ko:K00940	cjv:MTVDSCj20_0304
ko:K03386	cjv:MTVDSCj20_0306
ko:K02401	cjv:MTVDSCj20_0307
ko:K02557	cjv:MTVDSCj20_0308
ko:K01439	cjv:MTVDSCj20_1054
ko:K06895	cjv:MTVDSCj20_1055
ko:K12410	cjv:MTVDSCj20_1056
ko:K07456	cjv:MTVDSCj20_1058
ko:K01924	cjv:MTVDSCj20_1060
ko:K03602	cjv:MTVDSCj20_1062
ko:K00088	cjv:MTVDSCj20_1063
ko:K02433	cjv:MTVDSCj20_1064
ko:K01870	cjv:MTVDSCj20_1066
ko:K03743	cjv:MTVDSCj20_1067
ko:K00995	cjv:MTVDSCj20_1071
ko:K11749	cjv:MTVDSCj20_1072
ko:K02990	cjv:MTVDSCj20_1074
ko:K02963	cjv:MTVDSCj20_1076
ko:K01338	cjv:MTVDSCj20_1077
ko:K05807	cjv:MTVDSCj20_1078
ko:K13626	cjv:MTVDSCj20_1079
ko:K00286	cjv:MTVDSCj20_1080
ko:K01719	cjv:MTVDSCj20_1084
ko:K00788	cjv:MTVDSCj20_1085
ko:K00941	cjv:MTVDSCj20_1086
ko:K07457	cjv:MTVDSCj20_1087
ko:K06923	cjv:MTVDSCj20_1088
ko:K03723	cjv:MTVDSCj20_1089
ko:K11754	cjv:MTVDSCj20_1092
ko:K01869	cjv:MTVDSCj20_1095
ko:K03074	cjv:MTVDSCj20_1096
ko:K03072	cjv:MTVDSCj20_1097
ko:K03210	cjv:MTVDSCj20_1098
ko:K03820	cjv:MTVDSCj20_1099
ko:K02536	cjv:MTVDSCj20_0596
ko:K07568	cjv:MTVDSCj20_0597
ko:K03118	cjv:MTVDSCj20_0598
ko:K03117	cjv:MTVDSCj20_0599
ko:K08311	cjv:MTVDSCj20_0601
ko:K00928	cjv:MTVDSCj20_0602
ko:K02341	cjv:MTVDSCj20_0604
ko:K00796	cjv:MTVDSCj20_0605
ko:K01972	cjv:MTVDSCj20_0606
ko:K06442	cjv:MTVDSCj20_0608
ko:K11753	cjv:MTVDSCj20_0609
ko:K15256	cjv:MTVDSCj20_0610
ko:K03385	cjv:MTVDSCj20_1338
ko:K15876	cjv:MTVDSCj20_1339
ko:K00937	cjv:MTVDSCj20_1340
ko:K03407	cjv:MTVDSCj20_1343
ko:K03551	cjv:MTVDSCj20_1344
ko:K01679	cjv:MTVDSCj20_1346
ko:K00820	cjv:MTVDSCj20_1347
ko:K00990	cjv:MTVDSCj20_1348
ko:K18285	cjv:MTVDSCj20_1349
ko:K06901	cjv:MTVDSCj20_1350
ko:K00769	cjv:MTVDSCj20_1351
ko:K04754	cjv:MTVDSCj20_1352
ko:K07323	cjv:MTVDSCj20_1353
ko:K07003	cjv:MTVDSCj20_1354
ko:K02428	cjv:MTVDSCj20_1355
ko:K01042	cjv:MTVDSCj20_1358
ko:K03833	cjv:MTVDSCj20_1359
ko:K03981	cjv:MTVDSCj20_1360
ko:K03839	cjv:MTVDSCj20_1362
ko:K03781	cjv:MTVDSCj20_1365
ko:K03326	cjv:MTVDSCj20_1369
ko:K01760	cjv:MTVDSCj20_1370
ko:K01756	cjv:MTVDSCj20_1371
ko:K04758	cjv:MTVDSCj20_1373
ko:K04759	cjv:MTVDSCj20_1374
ko:K05927	cjv:MTVDSCj20_1375
ko:K00208	cjv:MTVDSCj20_1376
ko:K01803	cjv:MTVDSCj20_1377
ko:K00927	cjv:MTVDSCj20_1378
ko:K00134	cjv:MTVDSCj20_1379
ko:K00969	cjv:MTVDSCj20_1380
ko:K09710	cjv:MTVDSCj20_1381
ko:K15778	cjv:MTVDSCj20_1383
ko:K02415	cjv:MTVDSCj20_1384
ko:K00997	cjv:MTVDSCj20_1385
ko:K02313	cjv:MTVDSCj20_0001
ko:K02338	cjv:MTVDSCj20_0002
ko:K02470	cjv:MTVDSCj20_0003
ko:K07084	cjv:MTVDSCj20_0006
ko:K00266	cjv:MTVDSCj20_0008
ko:K03470	cjv:MTVDSCj20_0009
ko:K02237	cjv:MTVDSCj20_0010
ko:K01687	cjv:MTVDSCj20_0012
ko:K08996	cjv:MTVDSCj20_0013
ko:K07023	cjv:MTVDSCj20_0014
ko:K06920	cjv:MTVDSCj20_0015
ko:K03406	cjv:MTVDSCj20_0018
ko:K00428	cjv:MTVDSCj20_0019
ko:K06180	cjv:MTVDSCj20_0021
ko:K01756	cjv:MTVDSCj20_0022
ko:K06956	cjv:MTVDSCj20_0024
ko:K01937	cjv:MTVDSCj20_0026
ko:K07462	cjv:MTVDSCj20_0027
ko:K01424	cjv:MTVDSCj20_0028
ko:K00681	cjv:MTVDSCj20_0038
ko:K07552	cjv:MTVDSCj20_0043
ko:K06207	cjv:MTVDSCj20_0047
ko:K02389	cjv:MTVDSCj20_0050
ko:K02390	cjv:MTVDSCj20_0051
ko:K00566	cjv:MTVDSCj20_0055
ko:K06966	cjv:MTVDSCj20_0056
ko:K02417	cjv:MTVDSCj20_0057
ko:K02416	cjv:MTVDSCj20_0058
ko:K02405	cjv:MTVDSCj20_0059
ko:K04562	cjv:MTVDSCj20_0061
ko:K02404	cjv:MTVDSCj20_0062
ko:K00950	cjv:MTVDSCj20_0063
ko:K03786	cjv:MTVDSCj20_0064
ko:K04773	cjv:MTVDSCj20_0066
ko:K00782	cjv:MTVDSCj20_0072
ko:K03303	cjv:MTVDSCj20_0075
ko:K00425	cjv:MTVDSCj20_0080
ko:K00426	cjv:MTVDSCj20_0081
ko:K01779	cjv:MTVDSCj20_0082
ko:K03648	cjv:MTVDSCj20_0083
ko:K01744	cjv:MTVDSCj20_0084
ko:K07791	cjv:MTVDSCj20_0085
ko:K09859	cjv:MTVDSCj20_0086
ko:K07337	cjv:MTVDSCj20_0088
ko:K02888	cjv:MTVDSCj20_0091
ko:K02899	cjv:MTVDSCj20_0092
ko:K03979	cjv:MTVDSCj20_0093
ko:K00931	cjv:MTVDSCj20_0094
ko:K00604	cjv:MTVDSCj20_0095
ko:K03524	cjv:MTVDSCj20_0096
ko:K02109	cjv:MTVDSCj20_0099
ko:K02109	cjv:MTVDSCj20_0100
ko:K02113	cjv:MTVDSCj20_0101
ko:K11085	cjv:MTVDSCj20_0812
ko:K00254	cjv:MTVDSCj20_0813
ko:K01714	cjv:MTVDSCj20_0815
ko:K00076	cjv:MTVDSCj20_0816
ko:K01916	cjv:MTVDSCj20_0819
ko:K00912	cjv:MTVDSCj20_0820
ko:K01733	cjv:MTVDSCj20_0821
ko:K00979	cjv:MTVDSCj20_0822
ko:K02030	cjv:MTVDSCj20_0824
ko:K02419	cjv:MTVDSCj20_0825
ko:K04042	cjv:MTVDSCj20_0826
ko:K13038	cjv:MTVDSCj20_0827
ko:K00806	cjv:MTVDSCj20_0829
ko:K02654	cjv:MTVDSCj20_0830
ko:K07091	cjv:MTVDSCj20_0831
ko:K06173	cjv:MTVDSCj20_0832
ko:K01754	cjv:MTVDSCj20_0833
ko:K06929	cjv:MTVDSCj20_0834
ko:K09943	cjv:MTVDSCj20_0835
ko:K01682	cjv:MTVDSCj20_0840
ko:K00567	cjv:MTVDSCj20_0841
ko:K01772	cjv:MTVDSCj20_0842
ko:K01874	cjv:MTVDSCj20_0843
ko:K03841	cjv:MTVDSCj20_0845
ko:K03753	cjv:MTVDSCj20_0846
ko:K08309	cjv:MTVDSCj20_0848
ko:K02221	cjv:MTVDSCj20_0849
ko:K02111	cjv:MTVDSCj20_0102
ko:K02115	cjv:MTVDSCj20_0103
ko:K02112	cjv:MTVDSCj20_0104
ko:K02114	cjv:MTVDSCj20_0105
ko:K03559	cjv:MTVDSCj20_0107
ko:K03832	cjv:MTVDSCj20_0108
ko:K03641	cjv:MTVDSCj20_0109
ko:K03640	cjv:MTVDSCj20_0110
ko:K03775	cjv:MTVDSCj20_0112
ko:K00645	cjv:MTVDSCj20_0113
ko:K18284	cjv:MTVDSCj20_0114
ko:K07042	cjv:MTVDSCj20_0118
ko:K05540	cjv:MTVDSCj20_0120
ko:K06204	cjv:MTVDSCj20_0122
ko:K00783	cjv:MTVDSCj20_0123
ko:K01963	cjv:MTVDSCj20_0124
ko:K01092	cjv:MTVDSCj20_0125
ko:K07277	cjv:MTVDSCj20_0126
ko:K04517	cjv:MTVDSCj20_0127
ko:K02535	cjv:MTVDSCj20_0129
ko:K00872	cjv:MTVDSCj20_0131
ko:K02519	cjv:MTVDSCj20_0133
ko:K02834	cjv:MTVDSCj20_0134
ko:K09748	cjv:MTVDSCj20_0135
ko:K09816	cjv:MTVDSCj20_0138
ko:K09817	cjv:MTVDSCj20_0139
ko:K09815	cjv:MTVDSCj20_0140
ko:K03406	cjv:MTVDSCj20_0141
ko:K07093	cjv:MTVDSCj20_0142
ko:K06152	cjv:MTVDSCj20_0144
ko:K00384	cjv:MTVDSCj20_0145
ko:K03671	cjv:MTVDSCj20_0146
ko:K07460	cjv:MTVDSCj20_0147
ko:K00003	cjv:MTVDSCj20_0148
ko:K14261	cjv:MTVDSCj20_0149
ko:K01885	cjv:MTVDSCj20_0850
ko:K07098	cjv:MTVDSCj20_0851
ko:K01613	cjv:MTVDSCj20_0852
ko:K04061	cjv:MTVDSCj20_0853
ko:K01845	cjv:MTVDSCj20_0858
ko:K02015	cjv:MTVDSCj20_1572
ko:K02013	cjv:MTVDSCj20_1573
ko:K02016	cjv:MTVDSCj20_1574
ko:K03575	cjv:MTVDSCj20_1577
ko:K11752	cjv:MTVDSCj20_1583
ko:K01752	cjv:MTVDSCj20_1585
ko:K03837	cjv:MTVDSCj20_1586
ko:K03561	cjv:MTVDSCj20_1589
ko:K03559	cjv:MTVDSCj20_1590
ko:K03832	cjv:MTVDSCj20_1591
ko:K00566	cjv:MTVDSCj20_1594
ko:K01736	cjv:MTVDSCj20_1595
ko:K03685	cjv:MTVDSCj20_1596
ko:K03469	cjv:MTVDSCj20_1597
ko:K01928	cjv:MTVDSCj20_1602
ko:K09747	cjv:MTVDSCj20_1603
ko:K00795	cjv:MTVDSCj20_1605
ko:K00615	cjv:MTVDSCj20_1606
ko:K02066	cjv:MTVDSCj20_1607
ko:K02065	cjv:MTVDSCj20_1608
ko:K02067	cjv:MTVDSCj20_1609
ko:K18480	cjv:MTVDSCj20_1610
ko:K01265	cjv:MTVDSCj20_1612
ko:K01776	cjv:MTVDSCj20_1613
ko:K03313	cjv:MTVDSCj20_1615
ko:K03313	cjv:MTVDSCj20_1616
ko:K07243	cjv:MTVDSCj20_1619
ko:K07230	cjv:MTVDSCj20_1620
ko:K02556	cjv:MTVDSCj20_0309
ko:K08173	cjv:MTVDSCj20_0311
ko:K03701	cjv:MTVDSCj20_0314
ko:K07090	cjv:MTVDSCj20_0315
ko:K01657	cjv:MTVDSCj20_0317
ko:K13497	cjv:MTVDSCj20_0318
ko:K01817	cjv:MTVDSCj20_0319
ko:K01696	cjv:MTVDSCj20_0320
ko:K01695	cjv:MTVDSCj20_0321
ko:K02417	cjv:MTVDSCj20_0323
ko:K01524	cjv:MTVDSCj20_0325
ko:K01633	cjv:MTVDSCj20_0328
ko:K08591	cjv:MTVDSCj20_0329
ko:K00428	cjv:MTVDSCj20_0330
ko:K03431	cjv:MTVDSCj20_0331
ko:K03101	cjv:MTVDSCj20_0332
ko:K08973	cjv:MTVDSCj20_0333
ko:K03585	cjv:MTVDSCj20_0338
ko:K02970	cjv:MTVDSCj20_0341
ko:K09767	cjv:MTVDSCj20_0345
ko:K17247	cjv:MTVDSCj20_0349
ko:K01591	cjv:MTVDSCj20_0351
ko:K03625	cjv:MTVDSCj20_0352
ko:K00794	cjv:MTVDSCj20_0353
ko:K01627	cjv:MTVDSCj20_0354
ko:K00789	cjv:MTVDSCj20_1100
ko:K07862	cjv:MTVDSCj20_1101
ko:K00609	cjv:MTVDSCj20_1102
ko:K08602	cjv:MTVDSCj20_1103
ko:K03657	cjv:MTVDSCj20_1105
ko:K03177	cjv:MTVDSCj20_1106
ko:K03563	cjv:MTVDSCj20_1107
ko:K00919	cjv:MTVDSCj20_1108
ko:K03664	cjv:MTVDSCj20_1109
ko:K06891	cjv:MTVDSCj20_1111
ko:K03694	cjv:MTVDSCj20_1112
ko:K00684	cjv:MTVDSCj20_1113
ko:K03406	cjv:MTVDSCj20_1114
ko:K05595	cjv:MTVDSCj20_1115
ko:K07305	cjv:MTVDSCj20_1116
ko:K17103	cjv:MTVDSCj20_1118
ko:K01613	cjv:MTVDSCj20_1119
ko:K03798	cjv:MTVDSCj20_1120
ko:K02687	cjv:MTVDSCj20_1121
ko:K03413	cjv:MTVDSCj20_1122
ko:K01784	cjv:MTVDSCj20_1134
ko:K07501	cjv:MTVDSCj20_1135
ko:K02841	cjv:MTVDSCj20_1136
ko:K02517	cjv:MTVDSCj20_1137
ko:K00973	cjv:MTVDSCj20_1139
ko:K03218	cjv:MTVDSCj20_0152
ko:K07056	cjv:MTVDSCj20_0153
ko:K02909	cjv:MTVDSCj20_0154
ko:K09761	cjv:MTVDSCj20_0155
ko:K01737	cjv:MTVDSCj20_0158
ko:K03639	cjv:MTVDSCj20_0160
ko:K03179	cjv:MTVDSCj20_0163
ko:K00791	cjv:MTVDSCj20_0164
ko:K01491	cjv:MTVDSCj20_0860
ko:K03100	cjv:MTVDSCj20_0861
ko:K03750	cjv:MTVDSCj20_0862
ko:K00790	cjv:MTVDSCj20_0863
ko:K01664	cjv:MTVDSCj20_0866
