ko:K19079	sauf:X998_0708
ko:K06187	sauf:X998_0507
ko:K00943	sauf:X998_0512
ko:K02341	sauf:X998_0514
ko:K07461	sauf:X998_0518
ko:K07056	sauf:X998_0519
ko:K01874	sauf:X998_0520
ko:K03424	sauf:X998_0521
ko:K05985	sauf:X998_0522
ko:K02528	sauf:X998_0523
ko:K00919	sauf:X998_0525
ko:K09685	sauf:X998_0526
ko:K09022	sauf:X998_0527
ko:K06412	sauf:X998_0528
ko:K04042	sauf:X998_0530
ko:K00948	sauf:X998_0531
ko:K02897	sauf:X998_0532
ko:K01056	sauf:X998_0533
ko:K03723	sauf:X998_0534
ko:K02499	sauf:X998_0536
ko:K07571	sauf:X998_0539
ko:K04075	sauf:X998_0540
ko:K00760	sauf:X998_0541
ko:K03798	sauf:X998_0542
ko:K04083	sauf:X998_0543
ko:K01738	sauf:X998_0544
ko:K00796	sauf:X998_0545
ko:K01633	sauf:X998_0546
ko:K00950	sauf:X998_0547
ko:K04567	sauf:X998_0548
ko:K02622	sauf:X998_1363
ko:K02621	sauf:X998_1364
ko:K03310	sauf:X998_1365
ko:K08974	sauf:X998_0891
ko:K09013	sauf:X998_0892
ko:K09015	sauf:X998_0893
ko:K11717	sauf:X998_0894
ko:K04488	sauf:X998_0895
ko:K09014	sauf:X998_0896
ko:K00459	sauf:X998_0899
ko:K07090	sauf:X998_0901
ko:K03644	sauf:X998_0903
ko:K03367	sauf:X998_0910
ko:K03739	sauf:X998_0911
ko:K14188	sauf:X998_0912
ko:K03740	sauf:X998_0913
ko:K03885	sauf:X998_0916
ko:K13628	sauf:X998_0918
ko:K03885	sauf:X998_0919
ko:K01255	sauf:X998_0920
ko:K14234	sauf:X998_1893
ko:K14234	sauf:X998_1909
ko:K03480	sauf:X998_1366
ko:K14205	sauf:X998_1368
ko:K07304	sauf:X998_1369
ko:K01821	sauf:X998_1371
ko:K04517	sauf:X998_1373
ko:K01657	sauf:X998_1375
ko:K01658	sauf:X998_1376
ko:K00766	sauf:X998_1377
ko:K01609	sauf:X998_1378
ko:K01817	sauf:X998_1379
ko:K01696	sauf:X998_1380
ko:K01695	sauf:X998_1381
ko:K11694	sauf:X998_1382
ko:K11695	sauf:X998_1383
ko:K02034	sauf:X998_1388
ko:K02033	sauf:X998_1389
ko:K02039	sauf:X998_1392
ko:K02036	sauf:X998_1393
ko:K02038	sauf:X998_1394
ko:K02037	sauf:X998_1395
ko:K02040	sauf:X998_1396
ko:K00243	sauf:X998_1398
ko:K00928	sauf:X998_1400
ko:K00133	sauf:X998_1401
ko:K01714	sauf:X998_1402
ko:K00215	sauf:X998_1403
ko:K05822	sauf:X998_1404
ko:K01775	sauf:X998_1406
ko:K01586	sauf:X998_1407
ko:K03704	sauf:X998_1409
ko:K01512	sauf:X998_1411
ko:K01575	sauf:X998_2193
ko:K01652	sauf:X998_2194
ko:K02996	sauf:X998_2201
ko:K02871	sauf:X998_2202
ko:K06173	sauf:X998_2203
ko:K16785	sauf:X998_2204
ko:K16787	sauf:X998_2205
ko:K16786	sauf:X998_2206
ko:K02879	sauf:X998_2207
ko:K03040	sauf:X998_2208
ko:K02948	sauf:X998_2209
ko:K02952	sauf:X998_2210
ko:K02919	sauf:X998_2211
ko:K02518	sauf:X998_2212
ko:K00939	sauf:X998_2213
ko:K03076	sauf:X998_2214
ko:K02876	sauf:X998_2215
ko:K02907	sauf:X998_2216
ko:K02988	sauf:X998_2217
ko:K02881	sauf:X998_2218
ko:K02933	sauf:X998_2219
ko:K02994	sauf:X998_2220
ko:K02954	sauf:X998_2221
ko:K02931	sauf:X998_2222
ko:K02895	sauf:X998_2223
ko:K02874	sauf:X998_2224
ko:K02961	sauf:X998_2225
ko:K02904	sauf:X998_2226
ko:K02878	sauf:X998_2227
ko:K02982	sauf:X998_2228
ko:K02890	sauf:X998_2229
ko:K02965	sauf:X998_2230
ko:K02886	sauf:X998_2231
ko:K02892	sauf:X998_2232
ko:K02926	sauf:X998_2233
ko:K02906	sauf:X998_2234
ko:K02946	sauf:X998_2235
ko:K06901	sauf:X998_2237
ko:K05340	sauf:X998_2240
ko:K07088	sauf:X998_2242
ko:K07084	sauf:X998_0921
ko:K05571	sauf:X998_0924
ko:K05570	sauf:X998_0925
ko:K05569	sauf:X998_0926
ko:K05568	sauf:X998_0927
ko:K05567	sauf:X998_0928
ko:K05566	sauf:X998_0929
ko:K05565	sauf:X998_0930
ko:K06347	sauf:X998_0931
ko:K03768	sauf:X998_0932
ko:K00819	sauf:X998_0935
ko:K00260	sauf:X998_0936
ko:K01126	sauf:X998_0937
ko:K02337	sauf:X998_1718
ko:K00259	sauf:X998_1724
ko:K00925	sauf:X998_1726
ko:K11065	sauf:X998_1728
ko:K07090	sauf:X998_1729
ko:K03151	sauf:X998_1730
ko:K04487	sauf:X998_1731
ko:K06286	sauf:X998_1733
ko:K02986	sauf:X998_1735
ko:K01126	sauf:X998_1736
ko:K00058	sauf:X998_1739
ko:K02803	sauf:X998_1741
ko:K02804	sauf:X998_1741
ko:K00655	sauf:X998_1742
ko:K01866	sauf:X998_1744
ko:K12551	sauf:X998_1745
ko:K01938	sauf:X998_1747
ko:K01895	sauf:X998_1748
ko:K04766	sauf:X998_1749
ko:K04768	sauf:X998_1750
ko:K02529	sauf:X998_1751
ko:K13853	sauf:X998_1752
ko:K01924	sauf:X998_1755
ko:K03466	sauf:X998_1756
ko:K06878	sauf:X998_1757
ko:K01261	sauf:X998_1760
ko:K03439	sauf:X998_1763
ko:K00824	sauf:X998_1765
ko:K01439	sauf:X998_1766
ko:K06183	sauf:X998_1768
ko:K07035	sauf:X998_2553
ko:K07032	sauf:X998_2558
ko:K07045	sauf:X998_2563
ko:K00226	sauf:X998_2573
ko:K09765	sauf:X998_2575
ko:K04750	sauf:X998_2576
ko:K06978	sauf:X998_2578
ko:K01579	sauf:X998_2579
ko:K01918	sauf:X998_2580
ko:K00606	sauf:X998_2581
ko:K00077	sauf:X998_2582
ko:K01575	sauf:X998_2583
ko:K00016	sauf:X998_2584
ko:K03294	sauf:X998_2585
ko:K00823	sauf:X998_2586
ko:K01623	sauf:X998_2588
ko:K00116	sauf:X998_2589
ko:K01895	sauf:X998_2590
ko:K03451	sauf:X998_2597
ko:K03300	sauf:X998_2600
ko:K02304	sauf:X998_2601
ko:K00380	sauf:X998_2602
ko:K09692	sauf:X998_1925
ko:K00620	sauf:X998_0165
ko:K00145	sauf:X998_0166
ko:K00819	sauf:X998_0167
ko:K03311	sauf:X998_0168
ko:K09963	sauf:X998_0173
ko:K07106	sauf:X998_0174
ko:K02809	sauf:X998_0175
ko:K02810	sauf:X998_0175
ko:K01153	sauf:X998_0177
ko:K02031	sauf:X998_0181
ko:K02032	sauf:X998_0181
ko:K02033	sauf:X998_0182
ko:K02034	sauf:X998_0183
ko:K02035	sauf:X998_0184
ko:K00681	sauf:X998_0185
ko:K01118	sauf:X998_0187
ko:K10112	sauf:X998_0189
ko:K15770	sauf:X998_0190
ko:K15771	sauf:X998_0191
ko:K15772	sauf:X998_0192
ko:K07784	sauf:X998_0197
ko:K07720	sauf:X998_0198
ko:K02012	sauf:X998_0200
ko:K00656	sauf:X998_0201
ko:K04069	sauf:X998_0202
ko:K01126	sauf:X998_0203
ko:K07516	sauf:X998_0207
ko:K00252	sauf:X998_0208
ko:K01897	sauf:X998_0209
ko:K02035	sauf:X998_0212
ko:K05916	sauf:X998_0215
ko:K02551	sauf:X998_1043
ko:K08680	sauf:X998_1044
ko:K01661	sauf:X998_1045
ko:K13715	sauf:X998_1047
ko:K00841	sauf:X998_1049
ko:K02829	sauf:X998_1057
ko:K02828	sauf:X998_1058
ko:K02827	sauf:X998_1059
ko:K02826	sauf:X998_1060
ko:K01491	sauf:X998_1062
ko:K01588	sauf:X998_1063
ko:K01589	sauf:X998_1064
ko:K01923	sauf:X998_1065
ko:K01952	sauf:X998_1067
ko:K01952	sauf:X998_1068
ko:K00764	sauf:X998_1069
ko:K01933	sauf:X998_1070
ko:K11175	sauf:X998_1071
ko:K00602	sauf:X998_1072
ko:K01945	sauf:X998_1073
ko:K16785	sauf:X998_1074
ko:K16786	sauf:X998_1075
ko:K16787	sauf:X998_1075
ko:K16925	sauf:X998_1076
ko:K06969	sauf:X998_1079
ko:K11189	sauf:X998_1081
ko:K08483	sauf:X998_1082
ko:K00425	sauf:X998_1084
ko:K00426	sauf:X998_1085
ko:K03499	sauf:X998_1086
ko:K12574	sauf:X998_1087
ko:K01462	sauf:X998_1089
ko:K00161	sauf:X998_1091
ko:K03216	sauf:X998_1879
ko:K02028	sauf:X998_1881
ko:K02029	sauf:X998_1882
ko:K02030	sauf:X998_1882
ko:K07035	sauf:X998_1883
ko:K09825	sauf:X998_1916
ko:K03564	sauf:X998_1918
ko:K01845	sauf:X998_1919
ko:K11085	sauf:X998_1921
ko:K07586	sauf:X998_1922
ko:K03575	sauf:X998_1923
ko:K07038	sauf:X998_1924
ko:K09693	sauf:X998_1926
ko:K03565	sauf:X998_1928
ko:K04478	sauf:X998_1929
ko:K05520	sauf:X998_1930
ko:K00375	sauf:X998_0558
ko:K06215	sauf:X998_0559
ko:K08681	sauf:X998_0560
ko:K11535	sauf:X998_0561
ko:K03708	sauf:X998_0562
ko:K03696	sauf:X998_0565
ko:K04485	sauf:X998_0566
ko:K09698	sauf:X998_0568
ko:K00640	sauf:X998_0569
ko:K01883	sauf:X998_0570
ko:K11145	sauf:X998_0571
ko:K03218	sauf:X998_0572
ko:K06962	sauf:X998_0573
ko:K03091	sauf:X998_0574
ko:K02913	sauf:X998_0575
ko:K03073	sauf:X998_0576
ko:K02601	sauf:X998_0577
ko:K02867	sauf:X998_0578
ko:K02863	sauf:X998_0579
ko:K02864	sauf:X998_0580
ko:K02935	sauf:X998_0581
ko:K03043	sauf:X998_0583
ko:K03046	sauf:X998_0584
ko:K07590	sauf:X998_0585
ko:K02950	sauf:X998_0586
ko:K02992	sauf:X998_0587
ko:K02355	sauf:X998_0588
ko:K02358	sauf:X998_0589
ko:K00639	sauf:X998_0591
ko:K05523	sauf:X998_0592
ko:K00853	sauf:X998_0593
ko:K00826	sauf:X998_0595
ko:K01091	sauf:X998_0597
ko:K15519	sauf:X998_0598
ko:K15518	sauf:X998_0599
ko:K11991	sauf:X998_0600
ko:K14194	sauf:X998_0603
ko:K14194	sauf:X998_0604
ko:K14194	sauf:X998_0605
ko:K00712	sauf:X998_0606
ko:K00712	sauf:X998_0607
ko:K03311	sauf:X998_1416
ko:K00658	sauf:X998_1421
ko:K00164	sauf:X998_1422
ko:K02563	sauf:X998_1426
ko:K03797	sauf:X998_1428
ko:K07305	sauf:X998_1431
ko:K07304	sauf:X998_1432
ko:K09125	sauf:X998_1440
ko:K03469	sauf:X998_1442
ko:K08170	sauf:X998_1444
ko:K03294	sauf:X998_1445
ko:K01754	sauf:X998_1446
ko:K00259	sauf:X998_1447
ko:K07444	sauf:X998_1452
ko:K03700	sauf:X998_1458
ko:K05366	sauf:X998_1459
ko:K10773	sauf:X998_1461
ko:K02086	sauf:X998_1462
ko:K01893	sauf:X998_1463
ko:K11693	sauf:X998_2246
ko:K03639	sauf:X998_2251
ko:K03752	sauf:X998_2252
ko:K03636	sauf:X998_2253
ko:K03635	sauf:X998_2254
ko:K03753	sauf:X998_2255
ko:K03750	sauf:X998_2256
ko:K03637	sauf:X998_2257
ko:K03638	sauf:X998_2258
ko:K02017	sauf:X998_2260
ko:K02018	sauf:X998_2261
ko:K02020	sauf:X998_2262
ko:K02379	sauf:X998_2263
ko:K03523	sauf:X998_2265
ko:K02016	sauf:X998_2267
ko:K08717	sauf:X998_2269
ko:K01430	sauf:X998_2270
ko:K01429	sauf:X998_2271
ko:K01428	sauf:X998_2272
ko:K03187	sauf:X998_2273
ko:K03188	sauf:X998_2274
ko:K03189	sauf:X998_2275
ko:K03190	sauf:X998_2276
ko:K03315	sauf:X998_2282
ko:K09940	sauf:X998_2284
ko:K00123	sauf:X998_2290
ko:K01755	sauf:X998_0938
ko:K01940	sauf:X998_0939
ko:K01810	sauf:X998_0940
ko:K03100	sauf:X998_0942
ko:K03100	sauf:X998_0943
ko:K16899	sauf:X998_0944
ko:K16898	sauf:X998_0945
ko:K08255	sauf:X998_0952
ko:K16899	sauf:X998_0964
ko:K16898	sauf:X998_0965
ko:K16898	sauf:X998_0966
ko:K08255	sauf:X998_0969
ko:K03695	sauf:X998_0973
ko:K06910	sauf:X998_0978
ko:K00648	sauf:X998_0981
ko:K09458	sauf:X998_0982
ko:K15581	sauf:X998_0984
ko:K15582	sauf:X998_0985
ko:K15583	sauf:X998_0986
ko:K10823	sauf:X998_0987
ko:K15580	sauf:X998_0988
ko:K07007	sauf:X998_1770
ko:K01869	sauf:X998_1773
ko:K07139	sauf:X998_1775
ko:K00318	sauf:X998_1781
ko:K00794	sauf:X998_1782
ko:K14652	sauf:X998_1783
ko:K00793	sauf:X998_1784
ko:K11752	sauf:X998_1785
ko:K03893	sauf:X998_1787
ko:K07052	sauf:X998_1794
ko:K00616	sauf:X998_1795
ko:K06199	sauf:X998_1797
ko:K06199	sauf:X998_1798
ko:K00789	sauf:X998_1803
ko:K01610	sauf:X998_1804
ko:K07491	sauf:X998_1805
ko:K08998	sauf:X998_1808
ko:K02549	sauf:X998_1809
ko:K01911	sauf:X998_1810
ko:K00432	sauf:X998_2603
ko:K01077	sauf:X998_2610
ko:K14192	sauf:X998_2613
ko:K00926	sauf:X998_2615
ko:K03758	sauf:X998_2616
ko:K00611	sauf:X998_2617
ko:K01478	sauf:X998_2618
ko:K01401	sauf:X998_2620
ko:K02768	sauf:X998_2624
ko:K02769	sauf:X998_2624
ko:K02770	sauf:X998_2624
ko:K01809	sauf:X998_2625
ko:K01421	sauf:X998_2626
ko:K03070	sauf:X998_2632
ko:K12270	sauf:X998_2633
ko:K12269	sauf:X998_2634
ko:K12268	sauf:X998_2635
ko:K03076	sauf:X998_2636
ko:K07304	sauf:X998_2643
ko:K01104	sauf:X998_2645
ko:K11936	sauf:X998_2649
ko:K01745	sauf:X998_0008
ko:K01875	sauf:X998_0009
ko:K00641	sauf:X998_0012
ko:K02939	sauf:X998_0015
ko:K01939	sauf:X998_0017
ko:K07668	sauf:X998_0020
ko:K07652	sauf:X998_0021
ko:K00783	sauf:X998_0027
ko:K01126	sauf:X998_0032
ko:K02545	sauf:X998_0034
ko:K02547	sauf:X998_0036
ko:K07090	sauf:X998_0051
ko:K00712	sauf:X998_0054
ko:K01929	sauf:X998_0056
ko:K07090	sauf:X998_0060
ko:K17218	sauf:X998_0064
ko:K01771	sauf:X998_0075
ko:K08170	sauf:X998_0083
ko:K03324	sauf:X998_0084
ko:K10254	sauf:X998_0085
ko:K03303	sauf:X998_0089
ko:K14196	sauf:X998_0090
ko:K02015	sauf:X998_0092
ko:K02015	sauf:X998_0093
ko:K02016	sauf:X998_0094
ko:K01586	sauf:X998_0102
ko:K03366	sauf:X998_0106
ko:K01784	sauf:X998_0108
ko:K04564	sauf:X998_0113
ko:K00016	sauf:X998_0216
ko:K02773	sauf:X998_0221
ko:K02774	sauf:X998_0222
ko:K02775	sauf:X998_0223
ko:K00008	sauf:X998_0224
ko:K00008	sauf:X998_0226
ko:K05352	sauf:X998_0228
ko:K07322	sauf:X998_0235
ko:K07704	sauf:X998_0236
ko:K07705	sauf:X998_0237
ko:K05338	sauf:X998_0238
ko:K05339	sauf:X998_0239
ko:K03489	sauf:X998_0240
ko:K01223	sauf:X998_0242
ko:K00852	sauf:X998_0244
ko:K06726	sauf:X998_0245
ko:K06216	sauf:X998_0246
ko:K02529	sauf:X998_0247
ko:K01442	sauf:X998_0252
ko:K01990	sauf:X998_0254
ko:K01992	sauf:X998_0255
ko:K01992	sauf:X998_0256
ko:K03466	sauf:X998_0266
ko:K00162	sauf:X998_1092
ko:K00627	sauf:X998_1093
ko:K00382	sauf:X998_1094
ko:K11072	sauf:X998_1097
ko:K11071	sauf:X998_1098
ko:K11070	sauf:X998_1099
ko:K11069	sauf:X998_1100
ko:K03322	sauf:X998_1103
ko:K01092	sauf:X998_1105
ko:K06207	sauf:X998_1107
ko:K03588	sauf:X998_1111
ko:K01958	sauf:X998_1112
ko:K02259	sauf:X998_1113
ko:K08976	sauf:X998_1115
ko:K01126	sauf:X998_1118
ko:K09007	sauf:X998_0608
ko:K02564	sauf:X998_0611
ko:K08093	sauf:X998_0612
ko:K08094	sauf:X998_0613
ko:K03762	sauf:X998_0615
ko:K00626	sauf:X998_0617
ko:K00868	sauf:X998_0621
ko:K03648	sauf:X998_0622
ko:K00625	sauf:X998_0629
ko:K16869	sauf:X998_0630
ko:K00869	sauf:X998_0631
ko:K01597	sauf:X998_0632
ko:K00938	sauf:X998_0633
ko:K06885	sauf:X998_0653
ko:K13953	sauf:X998_0655
ko:K01887	sauf:X998_0657
ko:K07457	sauf:X998_0658
ko:K02016	sauf:X998_0659
ko:K02015	sauf:X998_0660
ko:K07025	sauf:X998_0661
ko:K03524	sauf:X998_1465
ko:K00974	sauf:X998_1466
ko:K06973	sauf:X998_1469
ko:K00800	sauf:X998_1473
ko:K01735	sauf:X998_1474
ko:K01736	sauf:X998_1475
ko:K00940	sauf:X998_1476
ko:K00805	sauf:X998_1477
ko:K03183	sauf:X998_1478
ko:K03530	sauf:X998_1480
ko:K00057	sauf:X998_1481
ko:K03977	sauf:X998_1482
ko:K02945	sauf:X998_1483
ko:K00945	sauf:X998_1485
ko:K01424	sauf:X998_1486
ko:K03654	sauf:X998_1490
ko:K05337	sauf:X998_1492
ko:K07651	sauf:X998_1501
ko:K07775	sauf:X998_1502
ko:K06178	sauf:X998_1503
ko:K06024	sauf:X998_1504
ko:K05896	sauf:X998_1505
ko:K09763	sauf:X998_1506
ko:K04763	sauf:X998_1507
ko:K03711	sauf:X998_1508
ko:K01515	sauf:X998_1509
ko:K07124	sauf:X998_1512
ko:K00286	sauf:X998_1513
ko:K00784	sauf:X998_1514
ko:K07052	sauf:X998_2295
ko:K03453	sauf:X998_2303
ko:K02749	sauf:X998_2305
ko:K02750	sauf:X998_2305
ko:K03481	sauf:X998_2306
ko:K01468	sauf:X998_2313
ko:K01712	sauf:X998_2314
ko:K11210	sauf:X998_2316
ko:K01479	sauf:X998_2317
ko:K01807	sauf:X998_2320
ko:K01785	sauf:X998_2323
ko:K09771	sauf:X998_2324
ko:K01992	sauf:X998_2325
ko:K01990	sauf:X998_2326
ko:K03652	sauf:X998_2328
ko:K03312	sauf:X998_2329
ko:K01823	sauf:X998_2330
ko:K03284	sauf:X998_2331
ko:K07107	sauf:X998_2332
ko:K07552	sauf:X998_2339
ko:K09814	sauf:X998_2344
ko:K09813	sauf:X998_2345
ko:K03784	sauf:X998_0116
ko:K01619	sauf:X998_0118
ko:K01839	sauf:X998_0119
ko:K02042	sauf:X998_0120
ko:K02042	sauf:X998_0121
ko:K02041	sauf:X998_0122
ko:K02044	sauf:X998_0123
ko:K07491	sauf:X998_0130
ko:K04072	sauf:X998_0131
ko:K01104	sauf:X998_0134
ko:K17716	sauf:X998_0136
ko:K01791	sauf:X998_0138
ko:K13012	sauf:X998_0144
ko:K01784	sauf:X998_0145
ko:K02472	sauf:X998_0146
ko:K01791	sauf:X998_0147
ko:K07145	sauf:X998_0148
ko:K09790	sauf:X998_0149
ko:K00128	sauf:X998_0150
ko:K16264	sauf:X998_0151
ko:K02049	sauf:X998_0154
ko:K02051	sauf:X998_0155
ko:K02050	sauf:X998_0156
ko:K00122	sauf:X998_0159
ko:K08996	sauf:X998_0163
ko:K00930	sauf:X998_0164
ko:K02035	sauf:X998_0989
ko:K02033	sauf:X998_0992
ko:K02034	sauf:X998_0993
ko:K01867	sauf:X998_0994
ko:K16509	sauf:X998_0995
ko:K16511	sauf:X998_0996
ko:K06198	sauf:X998_0997
ko:K08602	sauf:X998_0998
ko:K06886	sauf:X998_1000
ko:K07816	sauf:X998_1003
ko:K00858	sauf:X998_1004
ko:K06180	sauf:X998_1005
ko:K06213	sauf:X998_1006
ko:K03455	sauf:X998_1007
ko:K00208	sauf:X998_1008
ko:K03310	sauf:X998_1010
ko:K05362	sauf:X998_1016
ko:K02837	sauf:X998_1018
ko:K02250	sauf:X998_1025
ko:K03800	sauf:X998_1027
ko:K07052	sauf:X998_1029
ko:K02003	sauf:X998_1032
ko:K15977	sauf:X998_1036
ko:K02016	sauf:X998_1037
ko:K02548	sauf:X998_1041
ko:K02552	sauf:X998_1042
ko:K01154	sauf:X998_1825
ko:K03427	sauf:X998_1826
ko:K07002	sauf:X998_1855
ko:K00231	sauf:X998_1856
ko:K01772	sauf:X998_1857
ko:K01599	sauf:X998_1858
ko:K01992	sauf:X998_1860
ko:K01990	sauf:X998_1861
ko:K02503	sauf:X998_1862
ko:K07533	sauf:X998_1865
ko:K03698	sauf:X998_1866
ko:K06180	sauf:X998_1874
ko:K01679	sauf:X998_1875
ko:K11755	sauf:X998_2656
ko:K02500	sauf:X998_2657
ko:K01814	sauf:X998_2658
ko:K02501	sauf:X998_2659
ko:K01693	sauf:X998_2660
ko:K00817	sauf:X998_2661
ko:K00013	sauf:X998_2662
ko:K00765	sauf:X998_2663
ko:K16785	sauf:X998_2667
