ko:K07407	lrh:LGG_02079
ko:K13038	lrh:LGG_01672
ko:K02529	lrh:LGG_00372
ko:K00852	lrh:LGG_00373
ko:K00616	lrh:LGG_00398
ko:K02822	lrh:LGG_00401
ko:K03475	lrh:LGG_00404
ko:K00615	lrh:LGG_00405
ko:K00615	lrh:LGG_00406
ko:K00847	lrh:LGG_00407
ko:K01624	lrh:LGG_00413
ko:K01624	lrh:LGG_00414
ko:K00616	lrh:LGG_00418
ko:K07048	lrh:LGG_00424
ko:K01462	lrh:LGG_01315
ko:K00161	lrh:LGG_01320
ko:K00162	lrh:LGG_01321
ko:K00627	lrh:LGG_01322
ko:K00382	lrh:LGG_01323
ko:K01092	lrh:LGG_01326
ko:K06207	lrh:LGG_01327
ko:K03588	lrh:LGG_01328
ko:K00954	lrh:LGG_01332
ko:K07177	lrh:LGG_01333
ko:K02237	lrh:LGG_01334
ko:K02238	lrh:LGG_01335
ko:K02340	lrh:LGG_01336
ko:K02968	lrh:LGG_01337
ko:K02956	lrh:LGG_01338
ko:K02358	lrh:LGG_01342
ko:K03545	lrh:LGG_01351
ko:K03544	lrh:LGG_01352
ko:K03978	lrh:LGG_01353
ko:K03703	lrh:LGG_01358
ko:K02768	lrh:LGG_01359
ko:K02769	lrh:LGG_01359
ko:K02770	lrh:LGG_01359
ko:K00882	lrh:LGG_01360
ko:K03979	lrh:LGG_01362
ko:K00784	lrh:LGG_01364
ko:K07124	lrh:LGG_01365
ko:K03695	lrh:LGG_01367
ko:K02911	lrh:LGG_01368
ko:K01223	lrh:LGG_02190
ko:K02755	lrh:LGG_02192
ko:K02756	lrh:LGG_02192
ko:K02757	lrh:LGG_02192
ko:K03488	lrh:LGG_02194
ko:K09952	lrh:LGG_02204
ko:K00426	lrh:LGG_02207
ko:K00425	lrh:LGG_02208
ko:K00756	lrh:LGG_02209
ko:K01488	lrh:LGG_02210
ko:K01246	lrh:LGG_02215
ko:K03523	lrh:LGG_02223
ko:K06287	lrh:LGG_02233
ko:K03572	lrh:LGG_02234
ko:K03555	lrh:LGG_02235
ko:K04077	lrh:LGG_02239
ko:K04078	lrh:LGG_02240
ko:K02549	lrh:LGG_00433
ko:K01207	lrh:LGG_00434
ko:K12111	lrh:LGG_00470
ko:K02003	lrh:LGG_00490
ko:K02337	lrh:LGG_01373
ko:K00850	lrh:LGG_01374
ko:K00873	lrh:LGG_01375
ko:K00243	lrh:LGG_01377
ko:K04763	lrh:LGG_01378
ko:K02859	lrh:LGG_01379
ko:K05896	lrh:LGG_01380
ko:K06024	lrh:LGG_01381
ko:K06178	lrh:LGG_01382
ko:K03654	lrh:LGG_01386
ko:K00945	lrh:LGG_01388
ko:K02945	lrh:LGG_01389
ko:K03977	lrh:LGG_01390
ko:K03530	lrh:LGG_01391
ko:K00560	lrh:LGG_01397
ko:K00287	lrh:LGG_01398
ko:K11068	lrh:LGG_01399
ko:K07304	lrh:LGG_01403
ko:K03797	lrh:LGG_01405
ko:K03470	lrh:LGG_01409
ko:K04096	lrh:LGG_01410
ko:K03168	lrh:LGG_01411
ko:K04094	lrh:LGG_01412
ko:K03733	lrh:LGG_01413
ko:K01419	lrh:LGG_01414
ko:K03667	lrh:LGG_01416
ko:K08591	lrh:LGG_01418
ko:K02622	lrh:LGG_01419
ko:K02621	lrh:LGG_01420
ko:K00656	lrh:LGG_01421
ko:K04069	lrh:LGG_01422
ko:K01926	lrh:LGG_02247
ko:K06158	lrh:LGG_02248
ko:K02760	lrh:LGG_02249
ko:K01409	lrh:LGG_02250
ko:K03789	lrh:LGG_02251
ko:K07056	lrh:LGG_02258
ko:K02341	lrh:LGG_02260
ko:K00943	lrh:LGG_02262
ko:K06187	lrh:LGG_02264
ko:K09747	lrh:LGG_02265
ko:K02343	lrh:LGG_02266
ko:K07533	lrh:LGG_02275
ko:K02935	lrh:LGG_02276
ko:K02864	lrh:LGG_02277
ko:K08161	lrh:LGG_02278
ko:K08369	lrh:LGG_02281
ko:K00135	lrh:LGG_02286
ko:K02863	lrh:LGG_02288
ko:K02867	lrh:LGG_02289
ko:K01531	lrh:LGG_02290
ko:K02601	lrh:LGG_02299
ko:K03073	lrh:LGG_02300
ko:K02073	lrh:LGG_00500
ko:K01442	lrh:LGG_00501
ko:K10254	lrh:LGG_00503
ko:K05879	lrh:LGG_00508
ko:K05878	lrh:LGG_00509
ko:K07473	lrh:LGG_00519
ko:K01246	lrh:LGG_00522
ko:K01624	lrh:LGG_00524
ko:K00158	lrh:LGG_00525
ko:K07010	lrh:LGG_00534
ko:K01915	lrh:LGG_00536
ko:K01256	lrh:LGG_00554
ko:K00940	lrh:LGG_00733
ko:K01091	lrh:LGG_00740
ko:K06889	lrh:LGG_00742
ko:K03647	lrh:LGG_00743
ko:K07173	lrh:LGG_00750
ko:K03550	lrh:LGG_00752
ko:K03551	lrh:LGG_00753
ko:K07568	lrh:LGG_00754
ko:K00773	lrh:LGG_00755
ko:K03210	lrh:LGG_00756
ko:K00036	lrh:LGG_00760
ko:K02346	lrh:LGG_00761
ko:K01872	lrh:LGG_00767
ko:K07447	lrh:LGG_00770
ko:K09888	lrh:LGG_00772
ko:K07456	lrh:LGG_00774
ko:K03671	lrh:LGG_00775
ko:K03367	lrh:LGG_00777
ko:K03739	lrh:LGG_00778
ko:K03740	lrh:LGG_00780
ko:K07095	lrh:LGG_00783
ko:K02440	lrh:LGG_00784
ko:K08974	lrh:LGG_00786
ko:K09787	lrh:LGG_01645
ko:K03110	lrh:LGG_01649
ko:K03529	lrh:LGG_01650
ko:K03685	lrh:LGG_01651
ko:K02035	lrh:LGG_01652
ko:K02034	lrh:LGG_01653
ko:K02033	lrh:LGG_01654
ko:K02032	lrh:LGG_01655
ko:K02031	lrh:LGG_01656
ko:K02078	lrh:LGG_01658
ko:K03621	lrh:LGG_01659
ko:K03655	lrh:LGG_01660
ko:K07030	lrh:LGG_01661
ko:K02902	lrh:LGG_01663
ko:K01783	lrh:LGG_01665
ko:K06949	lrh:LGG_01666
ko:K03500	lrh:LGG_01669
ko:K00604	lrh:LGG_01670
ko:K04066	lrh:LGG_01671
ko:K03060	lrh:LGG_01673
ko:K00942	lrh:LGG_01674
ko:K07001	lrh:LGG_01675
ko:K03631	lrh:LGG_01677
ko:K03402	lrh:LGG_01678
ko:K06442	lrh:LGG_01679
ko:K03602	lrh:LGG_01681
ko:K03601	lrh:LGG_01682
ko:K03625	lrh:LGG_01684
ko:K02356	lrh:LGG_01686
ko:K01262	lrh:LGG_01687
ko:K02899	lrh:LGG_01688
ko:K07584	lrh:LGG_01689
ko:K02888	lrh:LGG_01690
ko:K01281	lrh:LGG_01695
ko:K00266	lrh:LGG_02530
ko:K01775	lrh:LGG_02536
ko:K00997	lrh:LGG_02537
ko:K05592	lrh:LGG_02538
ko:K01929	lrh:LGG_02539
ko:K02909	lrh:LGG_02544
ko:K00790	lrh:LGG_02545
ko:K01937	lrh:LGG_02546
ko:K03885	lrh:LGG_02547
ko:K03048	lrh:LGG_02551
ko:K06885	lrh:LGG_02555
ko:K03282	lrh:LGG_02558
ko:K00948	lrh:LGG_02561
ko:K04042	lrh:LGG_02562
ko:K09685	lrh:LGG_02564
ko:K02068	lrh:LGG_02565
ko:K02069	lrh:LGG_02566
ko:K00919	lrh:LGG_02568
ko:K02528	lrh:LGG_02571
ko:K05985	lrh:LGG_02572
ko:K03424	lrh:LGG_02573
ko:K02773	lrh:LGG_02574
ko:K01635	lrh:LGG_02575
ko:K02529	lrh:LGG_00793
ko:K03693	lrh:LGG_00794
ko:K03524	lrh:LGG_00797
ko:K03975	lrh:LGG_00808
ko:K07570	lrh:LGG_00812
ko:K03091	lrh:LGG_00823
ko:K07027	lrh:LGG_00827
ko:K09825	lrh:LGG_00831
ko:K00789	lrh:LGG_00842
ko:K01915	lrh:LGG_01696
ko:K03713	lrh:LGG_01697
ko:K01581	lrh:LGG_01698
ko:K00845	lrh:LGG_01703
ko:K11618	lrh:LGG_01710
ko:K11617	lrh:LGG_01711
ko:K03624	lrh:LGG_01713
ko:K00876	lrh:LGG_01714
ko:K07082	lrh:LGG_01715
ko:K01890	lrh:LGG_01717
ko:K01889	lrh:LGG_01718
ko:K06950	lrh:LGG_01720
ko:K03437	lrh:LGG_01721
ko:K01512	lrh:LGG_01723
ko:K03217	lrh:LGG_01724
ko:K00033	lrh:LGG_01727
ko:K07040	lrh:LGG_01731
ko:K09710	lrh:LGG_01734
ko:K00969	lrh:LGG_01736
ko:K07574	lrh:LGG_01737
ko:K07015	lrh:LGG_01739
ko:K06999	lrh:LGG_01742
ko:K06966	lrh:LGG_01744
ko:K02887	lrh:LGG_01745
ko:K02916	lrh:LGG_01746
ko:K02520	lrh:LGG_01747
ko:K01874	lrh:LGG_02584
ko:K00016	lrh:LGG_02591
ko:K12410	lrh:LGG_02593
ko:K06910	lrh:LGG_02596
ko:K00937	lrh:LGG_02600
ko:K03823	lrh:LGG_02604
ko:K06872	lrh:LGG_02607
ko:K03744	lrh:LGG_02608
ko:K01867	lrh:LGG_02609
ko:K02003	lrh:LGG_01427
ko:K00817	lrh:LGG_01435
ko:K01523	lrh:LGG_01436
ko:K01496	lrh:LGG_01437
ko:K02500	lrh:LGG_01438
ko:K01814	lrh:LGG_01439
ko:K02501	lrh:LGG_01440
ko:K01693	lrh:LGG_01441
ko:K00013	lrh:LGG_01443
ko:K00765	lrh:LGG_01444
ko:K02502	lrh:LGG_01445
ko:K00817	lrh:LGG_01446
ko:K07035	lrh:LGG_01452
ko:K00762	lrh:LGG_01453
ko:K01591	lrh:LGG_01454
ko:K01955	lrh:LGG_01456
ko:K01956	lrh:LGG_01457
ko:K01465	lrh:LGG_01458
ko:K00609	lrh:LGG_01459
ko:K02825	lrh:LGG_01461
ko:K06180	lrh:LGG_01463
ko:K03101	lrh:LGG_01464
ko:K01938	lrh:LGG_01465
ko:K03469	lrh:LGG_01467
ko:K07078	lrh:LGG_01468
ko:K06131	lrh:LGG_01469
ko:K06191	lrh:LGG_01473
ko:K00525	lrh:LGG_01474
ko:K00526	lrh:LGG_01475
ko:K07386	lrh:LGG_01478
ko:K03800	lrh:LGG_01479
ko:K02913	lrh:LGG_02301
ko:K03734	lrh:LGG_02304
ko:K03885	lrh:LGG_02308
ko:K06988	lrh:LGG_02321
ko:K06962	lrh:LGG_02323
ko:K03218	lrh:LGG_02324
ko:K11145	lrh:LGG_02325
ko:K01883	lrh:LGG_02326
ko:K09698	lrh:LGG_02332
ko:K04485	lrh:LGG_02340
ko:K01520	lrh:LGG_02341
ko:K06975	lrh:LGG_02343
ko:K01372	lrh:LGG_02345
ko:K01372	lrh:LGG_02346
ko:K03549	lrh:LGG_02350
ko:K01006	lrh:LGG_02351
ko:K01834	lrh:LGG_02353
ko:K08996	lrh:LGG_00558
ko:K00014	lrh:LGG_00564
ko:K00014	lrh:LGG_00566
ko:K00651	lrh:LGG_00567
ko:K01738	lrh:LGG_00568
ko:K03311	lrh:LGG_00575
ko:K00868	lrh:LGG_00595
ko:K00549	lrh:LGG_00597
ko:K03486	lrh:LGG_00601
ko:K01226	lrh:LGG_00602
ko:K02755	lrh:LGG_00603
ko:K02756	lrh:LGG_00603
ko:K02757	lrh:LGG_00603
ko:K07862	lrh:LGG_00604
ko:K00016	lrh:LGG_00606
ko:K00262	lrh:LGG_00607
ko:K03704	lrh:LGG_00608
ko:K07444	lrh:LGG_01482
ko:K03700	lrh:LGG_01486
ko:K05366	lrh:LGG_01487
ko:K01493	lrh:LGG_01488
ko:K10773	lrh:LGG_01489
ko:K02086	lrh:LGG_01490
ko:K01893	lrh:LGG_01491
ko:K03722	lrh:LGG_01495
ko:K00869	lrh:LGG_01498
ko:K01597	lrh:LGG_01499
ko:K01823	lrh:LGG_01500
ko:K01821	lrh:LGG_01506
ko:K06967	lrh:LGG_01510
ko:K03086	lrh:LGG_01511
ko:K02316	lrh:LGG_01512
ko:K01879	lrh:LGG_01513
ko:K01878	lrh:LGG_01514
ko:K00147	lrh:LGG_02365
ko:K00931	lrh:LGG_02366
ko:K09384	lrh:LGG_02374
ko:K07706	lrh:LGG_02387
ko:K07707	lrh:LGG_02388
ko:K01679	lrh:LGG_02406
ko:K03426	lrh:LGG_00627
ko:K03320	lrh:LGG_00633
ko:K07223	lrh:LGG_00634
ko:K07507	lrh:LGG_00635
ko:K02440	lrh:LGG_00642
ko:K00864	lrh:LGG_00644
ko:K02787	lrh:LGG_00649
ko:K02788	lrh:LGG_00649
ko:K01220	lrh:LGG_00650
ko:K00849	lrh:LGG_00653
ko:K02529	lrh:LGG_00656
ko:K01785	lrh:LGG_00657
ko:K01635	lrh:LGG_00665
ko:K02530	lrh:LGG_00668
ko:K03547	lrh:LGG_00670
ko:K03546	lrh:LGG_00671
ko:K03584	lrh:LGG_01549
ko:K03595	lrh:LGG_01550
ko:K01489	lrh:LGG_01551
ko:K07042	lrh:LGG_01553
ko:K06217	lrh:LGG_01554
ko:K09117	lrh:LGG_01555
ko:K02970	lrh:LGG_01556
ko:K01695	lrh:LGG_00098
ko:K07006	lrh:LGG_00226
ko:K01304	lrh:LGG_00238
ko:K06988	lrh:LGG_00239
ko:K07009	lrh:LGG_00240
ko:K03501	lrh:LGG_00242
ko:K03497	lrh:LGG_00243
ko:K03496	lrh:LGG_00244
ko:K03497	lrh:LGG_00245
ko:K06942	lrh:LGG_00247
ko:K00088	lrh:LGG_00249
ko:K07258	lrh:LGG_00254
ko:K03810	lrh:LGG_01148
ko:K08659	lrh:LGG_01158
ko:K07104	lrh:LGG_01166
ko:K01928	lrh:LGG_01168
ko:K00857	lrh:LGG_01169
ko:K02835	lrh:LGG_01171
ko:K02493	lrh:LGG_01172
ko:K07566	lrh:LGG_01173
ko:K00600	lrh:LGG_01174
ko:K00761	lrh:LGG_01175
ko:K02108	lrh:LGG_01177
ko:K02110	lrh:LGG_01178
ko:K02109	lrh:LGG_01179
ko:K02113	lrh:LGG_01180
ko:K02111	lrh:LGG_01181
ko:K02115	lrh:LGG_01182
ko:K02112	lrh:LGG_01184
ko:K02114	lrh:LGG_01185
ko:K03569	lrh:LGG_01188
ko:K08998	lrh:LGG_01190
ko:K05837	lrh:LGG_01192
ko:K00383	lrh:LGG_02615
ko:K05845	lrh:LGG_02617
ko:K05846	lrh:LGG_02617
ko:K11041	lrh:LGG_02621
ko:K09694	lrh:LGG_02622
ko:K09695	lrh:LGG_02623
ko:K06950	lrh:LGG_02627
ko:K03701	lrh:LGG_02629
ko:K01869	lrh:LGG_00848
ko:K00432	lrh:LGG_00856
ko:K07166	lrh:LGG_00860
ko:K09157	lrh:LGG_00861
ko:K07816	lrh:LGG_00865
ko:K00858	lrh:LGG_00866
ko:K06180	lrh:LGG_00867
ko:K03734	lrh:LGG_00868
ko:K06201	lrh:LGG_00869
ko:K06153	lrh:LGG_00870
ko:K02781	lrh:LGG_00872
ko:K02954	lrh:LGG_00873
ko:K00364	lrh:LGG_00874
ko:K03284	lrh:LGG_00875
ko:K00563	lrh:LGG_00876
ko:K03216	lrh:LGG_00878
ko:K03466	lrh:LGG_00882
ko:K00059	lrh:LGG_00885
ko:K00995	lrh:LGG_00887
ko:K03553	lrh:LGG_00889
ko:K02240	lrh:LGG_00894
ko:K03070	lrh:LGG_00899
ko:K01868	lrh:LGG_01754
ko:K11144	lrh:LGG_01756
ko:K03346	lrh:LGG_01757
ko:K07738	lrh:LGG_01758
ko:K00859	lrh:LGG_01759
ko:K10563	lrh:LGG_01760
ko:K02335	lrh:LGG_01761
ko:K06890	lrh:LGG_01762
ko:K01924	lrh:LGG_01768
ko:K03466	lrh:LGG_01769
ko:K06878	lrh:LGG_01771
ko:K03439	lrh:LGG_01774
ko:K07533	lrh:LGG_01780
ko:K03698	lrh:LGG_01781
ko:K06180	lrh:LGG_01784
ko:K03402	lrh:LGG_01785
ko:K01887	lrh:LGG_01786
ko:K00226	lrh:LGG_01789
ko:K01126	lrh:LGG_01790
ko:K02003	lrh:LGG_01796
ko:K04068	lrh:LGG_01800
ko:K03469	lrh:LGG_02637
ko:K03553	lrh:LGG_02643
ko:K07150	lrh:LGG_02644
ko:K00882	lrh:LGG_02648
ko:K00864	lrh:LGG_02650
ko:K01206	lrh:LGG_02652
ko:K02793	lrh:LGG_02653
ko:K02794	lrh:LGG_02653
ko:K02795	lrh:LGG_02654
ko:K02796	lrh:LGG_02655
ko:K03182	lrh:LGG_02656
ko:K03186	lrh:LGG_02657
ko:K01684	lrh:LGG_02664
ko:K02775	lrh:LGG_02665
ko:K02774	lrh:LGG_02666
ko:K02759	lrh:LGG_02670
ko:K09704	lrh:LGG_02674
ko:K03492	lrh:LGG_02679
ko:K02431	lrh:LGG_02682
ko:K00848	lrh:LGG_02684
ko:K01818	lrh:LGG_02685
ko:K01629	lrh:LGG_02687
ko:K03534	lrh:LGG_02689
ko:K00848	lrh:LGG_02690
ko:K02313	lrh:LGG_00001
ko:K02338	lrh:LGG_00002
ko:K03629	lrh:LGG_00004
ko:K02470	lrh:LGG_00005
ko:K02469	lrh:LGG_00006
ko:K03111	lrh:LGG_00010
ko:K02990	lrh:LGG_00011
ko:K02437	lrh:LGG_01193
ko:K01439	lrh:LGG_01194
ko:K02073	lrh:LGG_01195
ko:K02073	lrh:LGG_01196
ko:K02071	lrh:LGG_01197
ko:K02072	lrh:LGG_01198
ko:K00703	lrh:LGG_02024
ko:K00975	lrh:LGG_02025
ko:K00975	lrh:LGG_02026
ko:K00700	lrh:LGG_02027
ko:K00826	lrh:LGG_02028
ko:K04041	lrh:LGG_02032
ko:K04086	lrh:LGG_02035
ko:K01790	lrh:LGG_02039
ko:K00059	lrh:LGG_02058
ko:K02356	lrh:LGG_02068
ko:K00782	lrh:LGG_02069
ko:K02564	lrh:LGG_02913
ko:K02003	lrh:LGG_02920
ko:K08969	lrh:LGG_02924
ko:K02073	lrh:LGG_02926
ko:K03495	lrh:LGG_02937
ko:K03650	lrh:LGG_02938
ko:K06346	lrh:LGG_02940
ko:K03217	lrh:LGG_02941
ko:K03536	lrh:LGG_02942
ko:K02914	lrh:LGG_02943
ko:K03624	lrh:LGG_00256
ko:K01928	lrh:LGG_00257
ko:K00140	lrh:LGG_00262
ko:K03337	lrh:LGG_00263
ko:K03338	lrh:LGG_00264
ko:K03336	lrh:LGG_00265
ko:K00010	lrh:LGG_00266
ko:K00010	lrh:LGG_00267
ko:K03335	lrh:LGG_00268
ko:K06606	lrh:LGG_00271
ko:K06605	lrh:LGG_00272
ko:K00033	lrh:LGG_00274
ko:K00851	lrh:LGG_00275
ko:K03299	lrh:LGG_00277
ko:K08602	lrh:LGG_00289
ko:K03311	lrh:LGG_00292
ko:K03100	lrh:LGG_00298
ko:K03671	lrh:LGG_00310
ko:K09013	lrh:LGG_01199
ko:K09015	lrh:LGG_01200
ko:K11717	lrh:LGG_01201
ko:K04488	lrh:LGG_01202
ko:K09014	lrh:LGG_01203
ko:K07478	lrh:LGG_01211
ko:K01919	lrh:LGG_01213
ko:K01752	lrh:LGG_01216
ko:K01752	lrh:LGG_01217
ko:K07304	lrh:LGG_01219
ko:K03811	lrh:LGG_01221
ko:K04486	lrh:LGG_01223
ko:K07693	lrh:LGG_01237
ko:K07778	lrh:LGG_01238
ko:K06959	lrh:LGG_01249
ko:K07010	lrh:LGG_01251
ko:K02986	lrh:LGG_01255
ko:K06286	lrh:LGG_01257
ko:K02759	lrh:LGG_02074
ko:K09963	lrh:LGG_02075
ko:K02761	lrh:LGG_02078
ko:K09861	lrh:LGG_02080
ko:K03581	lrh:LGG_02082
ko:K09703	lrh:LGG_02089
ko:K01338	lrh:LGG_02093
ko:K00574	lrh:LGG_02109
ko:K01962	lrh:LGG_02110
ko:K01963	lrh:LGG_02111
ko:K02372	lrh:LGG_02113
ko:K02160	lrh:LGG_02114
ko:K09458	lrh:LGG_02115
ko:K00059	lrh:LGG_02116
ko:K00645	lrh:LGG_02117
ko:K02371	lrh:LGG_02118
ko:K02078	lrh:LGG_02119
ko:K00648	lrh:LGG_02120
ko:K02372	lrh:LGG_02122
ko:K01999	lrh:LGG_00313
ko:K01997	lrh:LGG_00314
ko:K01998	lrh:LGG_00315
ko:K01995	lrh:LGG_00316
ko:K01996	lrh:LGG_00317
ko:K02761	lrh:LGG_00320
ko:K01619	lrh:LGG_00321
ko:K01839	lrh:LGG_00322
ko:K03784	lrh:LGG_00323
ko:K01809	lrh:LGG_00331
ko:K03710	lrh:LGG_00332
ko:K02082	lrh:LGG_00333
ko:K01443	lrh:LGG_00334
ko:K12308	lrh:LGG_00336
ko:K02795	lrh:LGG_00338
ko:K02796	lrh:LGG_00339
ko:K02793	lrh:LGG_00340
ko:K00068	lrh:LGG_00342
ko:K02775	lrh:LGG_00343
ko:K02773	lrh:LGG_00345
ko:K02774	lrh:LGG_00346
ko:K02761	lrh:LGG_00353
ko:K02760	lrh:LGG_00354
ko:K02759	lrh:LGG_00355
ko:K01258	lrh:LGG_00358
ko:K02035	lrh:LGG_00359
ko:K03707	lrh:LGG_00366
ko:K00878	lrh:LGG_00368
ko:K00788	lrh:LGG_00369
ko:K04487	lrh:LGG_01258
ko:K03151	lrh:LGG_01259
ko:K01926	lrh:LGG_01260
ko:K01873	lrh:LGG_01261
ko:K03630	lrh:LGG_01264
ko:K03569	lrh:LGG_01265
ko:K03570	lrh:LGG_01266
ko:K03571	lrh:LGG_01267
ko:K03610	lrh:LGG_01268
ko:K03609	lrh:LGG_01269
ko:K06131	lrh:LGG_01274
ko:K03925	lrh:LGG_01277
ko:K03438	lrh:LGG_01278
ko:K08724	lrh:LGG_01280
ko:K01000	lrh:LGG_01281
ko:K02836	lrh:LGG_00900
ko:K09812	lrh:LGG_00901
ko:K09811	lrh:LGG_00902
ko:K07658	lrh:LGG_00904
ko:K07636	lrh:LGG_00905
ko:K02040	lrh:LGG_00906
ko:K02037	lrh:LGG_00907
ko:K02038	lrh:LGG_00908
ko:K02036	lrh:LGG_00909
ko:K02036	lrh:LGG_00910
ko:K02039	lrh:LGG_00911
ko:K08972	lrh:LGG_00916
ko:K06023	lrh:LGG_00917
ko:K00057	lrh:LGG_00919
ko:K00384	lrh:LGG_00920
ko:K07023	lrh:LGG_00922
ko:K03702	lrh:LGG_00923
ko:K03701	lrh:LGG_00924
ko:K06958	lrh:LGG_00927
ko:K09762	lrh:LGG_00929
ko:K01358	lrh:LGG_00931
ko:K05311	lrh:LGG_00932
ko:K00134	lrh:LGG_00933
ko:K00927	lrh:LGG_00934
ko:K01803	lrh:LGG_00935
ko:K01689	lrh:LGG_00936
ko:K03075	lrh:LGG_00940
ko:K03928	lrh:LGG_00941
ko:K12573	lrh:LGG_00942
ko:K03664	lrh:LGG_00943
ko:K01945	lrh:LGG_01803
ko:K00602	lrh:LGG_01805
ko:K11175	lrh:LGG_01806
ko:K01933	lrh:LGG_01807
ko:K00764	lrh:LGG_01808
ko:K01952	lrh:LGG_01809
ko:K01952	lrh:LGG_01810
ko:K01952	lrh:LGG_01811
ko:K01923	lrh:LGG_01812
ko:K01589	lrh:LGG_01813
ko:K01588	lrh:LGG_01814
ko:K08483	lrh:LGG_01820
ko:K03697	lrh:LGG_01823
ko:K02837	lrh:LGG_01825
ko:K07586	lrh:LGG_01830
ko:K03565	lrh:LGG_01831
ko:K00158	lrh:LGG_01836
ko:K01641	lrh:LGG_01837
ko:K00626	lrh:LGG_01839
ko:K03095	lrh:LGG_01850
ko:K05833	lrh:LGG_01851
ko:K05832	lrh:LGG_01852
ko:K01989	lrh:LGG_01853
ko:K01807	lrh:LGG_02699
ko:K01232	lrh:LGG_02701
