ko:K02028	ssf:SSUA7_0451
ko:K01586	ssf:SSUA7_1540
ko:K06890	ssf:SSUA7_1542
ko:K06950	ssf:SSUA7_1543
ko:K03437	ssf:SSUA7_1544
ko:K01512	ssf:SSUA7_1545
ko:K03217	ssf:SSUA7_1546
ko:K03624	ssf:SSUA7_1547
ko:K07082	ssf:SSUA7_1548
ko:K01924	ssf:SSUA7_1550
ko:K03977	ssf:SSUA7_1555
ko:K07738	ssf:SSUA7_1559
ko:K07040	ssf:SSUA7_1563
ko:K00384	ssf:SSUA7_1564
ko:K01000	ssf:SSUA7_1568
ko:K03438	ssf:SSUA7_1571
ko:K03734	ssf:SSUA7_1580
ko:K07146	ssf:SSUA7_0366
ko:K03704	ssf:SSUA7_0371
ko:K03501	ssf:SSUA7_0372
ko:K05366	ssf:SSUA7_0373
ko:K07444	ssf:SSUA7_0378
ko:K07173	ssf:SSUA7_0380
ko:K00942	ssf:SSUA7_0382
ko:K03060	ssf:SSUA7_0383
ko:K04066	ssf:SSUA7_0384
ko:K00604	ssf:SSUA7_0385
ko:K03500	ssf:SSUA7_0386
ko:K01738	ssf:SSUA7_0395
ko:K05808	ssf:SSUA7_0399
ko:K03565	ssf:SSUA7_0402
ko:K03710	ssf:SSUA7_0405
ko:K12308	ssf:SSUA7_0407
ko:K03086	ssf:SSUA7_1269
ko:K03282	ssf:SSUA7_1271
ko:K02970	ssf:SSUA7_1273
ko:K00688	ssf:SSUA7_1280
ko:K01839	ssf:SSUA7_1284
ko:K01807	ssf:SSUA7_1285
ko:K01154	ssf:SSUA7_1286
ko:K01154	ssf:SSUA7_1287
ko:K03427	ssf:SSUA7_1288
ko:K01153	ssf:SSUA7_1289
ko:K03650	ssf:SSUA7_1290
ko:K03744	ssf:SSUA7_1294
ko:K07862	ssf:SSUA7_1299
ko:K03431	ssf:SSUA7_1305
ko:K01928	ssf:SSUA7_1308
ko:K02313	ssf:SSUA7_0001
ko:K02338	ssf:SSUA7_0002
ko:K06942	ssf:SSUA7_0006
ko:K01056	ssf:SSUA7_0007
ko:K03723	ssf:SSUA7_0008
ko:K04075	ssf:SSUA7_0013
ko:K00760	ssf:SSUA7_0014
ko:K03798	ssf:SSUA7_0015
ko:K03570	ssf:SSUA7_0019
ko:K03571	ssf:SSUA7_0020
ko:K00948	ssf:SSUA7_0022
ko:K03584	ssf:SSUA7_0024
ko:K03621	ssf:SSUA7_0025
ko:K02078	ssf:SSUA7_0026
ko:K01923	ssf:SSUA7_0027
ko:K06940	ssf:SSUA7_0876
ko:K06287	ssf:SSUA7_0877
ko:K01465	ssf:SSUA7_0879
ko:K03648	ssf:SSUA7_0880
ko:K00762	ssf:SSUA7_0882
ko:K01591	ssf:SSUA7_0884
ko:K00975	ssf:SSUA7_0888
ko:K00975	ssf:SSUA7_0889
ko:K00703	ssf:SSUA7_0890
ko:K03702	ssf:SSUA7_0898
ko:K01740	ssf:SSUA7_0903
ko:K02787	ssf:SSUA7_0908
ko:K02788	ssf:SSUA7_0908
ko:K02531	ssf:SSUA7_0910
ko:K03575	ssf:SSUA7_0924
ko:K11145	ssf:SSUA7_1743
ko:K01883	ssf:SSUA7_1744
ko:K00640	ssf:SSUA7_1747
ko:K00962	ssf:SSUA7_1748
ko:K07106	ssf:SSUA7_1754
ko:K02956	ssf:SSUA7_1756
ko:K01462	ssf:SSUA7_1764
ko:K01704	ssf:SSUA7_1766
ko:K01703	ssf:SSUA7_1767
ko:K00052	ssf:SSUA7_1768
ko:K01649	ssf:SSUA7_1769
ko:K07078	ssf:SSUA7_1772
ko:K03763	ssf:SSUA7_1774
ko:K05878	ssf:SSUA7_1777
ko:K05879	ssf:SSUA7_1778
ko:K02440	ssf:SSUA7_1780
ko:K01881	ssf:SSUA7_1781
ko:K11749	ssf:SSUA7_1782
ko:K00981	ssf:SSUA7_1783
ko:K00806	ssf:SSUA7_1784
ko:K03210	ssf:SSUA7_1785
ko:K01939	ssf:SSUA7_1786
ko:K01919	ssf:SSUA7_1787
ko:K04083	ssf:SSUA7_1791
ko:K03811	ssf:SSUA7_1794
ko:K04567	ssf:SSUA7_0474
ko:K03588	ssf:SSUA7_0482
ko:K01595	ssf:SSUA7_0483
ko:K03088	ssf:SSUA7_0484
ko:K02358	ssf:SSUA7_0486
ko:K01803	ssf:SSUA7_0487
ko:K06885	ssf:SSUA7_0489
ko:K02337	ssf:SSUA7_0497
ko:K00850	ssf:SSUA7_0498
ko:K00873	ssf:SSUA7_0499
ko:K03100	ssf:SSUA7_0503
ko:K00820	ssf:SSUA7_0504
ko:K02029	ssf:SSUA7_0505
ko:K00931	ssf:SSUA7_0512
ko:K00147	ssf:SSUA7_0513
ko:K00286	ssf:SSUA7_0514
ko:K09861	ssf:SSUA7_0518
ko:K02909	ssf:SSUA7_1365
ko:K03734	ssf:SSUA7_1366
ko:K02954	ssf:SSUA7_1369
ko:K04564	ssf:SSUA7_1373
ko:K02340	ssf:SSUA7_1374
ko:K09765	ssf:SSUA7_1376
ko:K01996	ssf:SSUA7_1377
ko:K01995	ssf:SSUA7_1378
ko:K01998	ssf:SSUA7_1379
ko:K01997	ssf:SSUA7_1380
ko:K01999	ssf:SSUA7_1381
ko:K01358	ssf:SSUA7_1383
ko:K00761	ssf:SSUA7_1384
ko:K00690	ssf:SSUA7_1386
ko:K10117	ssf:SSUA7_1389
ko:K07407	ssf:SSUA7_1390
ko:K14155	ssf:SSUA7_1392
ko:K07461	ssf:SSUA7_1399
ko:K01118	ssf:SSUA7_1401
ko:K05592	ssf:SSUA7_1405
ko:K00868	ssf:SSUA7_1412
ko:K04042	ssf:SSUA7_1416
ko:K02761	ssf:SSUA7_0198
ko:K03581	ssf:SSUA7_0209
ko:K03100	ssf:SSUA7_0210
ko:K07456	ssf:SSUA7_0219
ko:K03671	ssf:SSUA7_0221
ko:K12267	ssf:SSUA7_0223
ko:K02003	ssf:SSUA7_0227
ko:K03310	ssf:SSUA7_0229
ko:K00262	ssf:SSUA7_0232
ko:K07282	ssf:SSUA7_0234
ko:K01421	ssf:SSUA7_0240
ko:K02440	ssf:SSUA7_0247
ko:K06915	ssf:SSUA7_0248
ko:K08602	ssf:SSUA7_1094
ko:K01874	ssf:SSUA7_1096
ko:K01626	ssf:SSUA7_1099
ko:K01626	ssf:SSUA7_1100
ko:K00014	ssf:SSUA7_1101
ko:K01735	ssf:SSUA7_1102
ko:K01443	ssf:SSUA7_1109
ko:K01736	ssf:SSUA7_1112
ko:K03785	ssf:SSUA7_1113
ko:K06969	ssf:SSUA7_1114
ko:K02887	ssf:SSUA7_1117
ko:K02916	ssf:SSUA7_1118
ko:K02520	ssf:SSUA7_1119
ko:K00945	ssf:SSUA7_1120
ko:K00067	ssf:SSUA7_1142
ko:K01790	ssf:SSUA7_1145
ko:K00973	ssf:SSUA7_1146
ko:K05349	ssf:SSUA7_1955
ko:K02986	ssf:SSUA7_1963
ko:K02939	ssf:SSUA7_1967
ko:K03495	ssf:SSUA7_1969
ko:K00566	ssf:SSUA7_1975
ko:K01752	ssf:SSUA7_1976
ko:K01752	ssf:SSUA7_1977
ko:K00995	ssf:SSUA7_1982
ko:K03629	ssf:SSUA7_1987
ko:K01867	ssf:SSUA7_1990
ko:K00783	ssf:SSUA7_1996
ko:K08591	ssf:SSUA7_0706
ko:K02622	ssf:SSUA7_0707
ko:K04095	ssf:SSUA7_0709
ko:K04095	ssf:SSUA7_0710
ko:K02621	ssf:SSUA7_0713
ko:K00826	ssf:SSUA7_0715
ko:K02945	ssf:SSUA7_0717
ko:K01620	ssf:SSUA7_0718
ko:K04487	ssf:SSUA7_0721
ko:K03151	ssf:SSUA7_0722
ko:K03311	ssf:SSUA7_0723
ko:K02888	ssf:SSUA7_0724
ko:K02899	ssf:SSUA7_0725
ko:K03101	ssf:SSUA7_0728
ko:K06180	ssf:SSUA7_0729
ko:K06193	ssf:SSUA7_0730
ko:K02825	ssf:SSUA7_0732
ko:K00609	ssf:SSUA7_0733
ko:K01956	ssf:SSUA7_0734
ko:K01955	ssf:SSUA7_0735
ko:K01304	ssf:SSUA7_0737
ko:K02959	ssf:SSUA7_0739
ko:K06960	ssf:SSUA7_0740
ko:K00003	ssf:SSUA7_0744
ko:K00872	ssf:SSUA7_0745
ko:K00075	ssf:SSUA7_0746
ko:K10773	ssf:SSUA7_0755
ko:K00364	ssf:SSUA7_0756
ko:K03327	ssf:SSUA7_0757
ko:K02860	ssf:SSUA7_0759
ko:K00554	ssf:SSUA7_0760
ko:K03885	ssf:SSUA7_1583
ko:K01879	ssf:SSUA7_1591
ko:K01878	ssf:SSUA7_1592
ko:K02072	ssf:SSUA7_1595
ko:K02071	ssf:SSUA7_1596
ko:K02073	ssf:SSUA7_1598
ko:K07010	ssf:SSUA7_1599
ko:K00549	ssf:SSUA7_1600
ko:K00297	ssf:SSUA7_1601
ko:K06901	ssf:SSUA7_1602
ko:K01875	ssf:SSUA7_1608
ko:K03427	ssf:SSUA7_1609
ko:K01153	ssf:SSUA7_1611
ko:K01962	ssf:SSUA7_1618
ko:K01963	ssf:SSUA7_1619
ko:K01961	ssf:SSUA7_1620
ko:K02372	ssf:SSUA7_1621
ko:K02160	ssf:SSUA7_1622
ko:K09458	ssf:SSUA7_1623
ko:K00645	ssf:SSUA7_1625
ko:K02078	ssf:SSUA7_1627
ko:K00648	ssf:SSUA7_1628
ko:K00928	ssf:SSUA7_1632
ko:K01873	ssf:SSUA7_0417
ko:K01914	ssf:SSUA7_0424
ko:K06207	ssf:SSUA7_0425
ko:K03100	ssf:SSUA7_0428
ko:K01925	ssf:SSUA7_0434
ko:K02563	ssf:SSUA7_0435
ko:K03589	ssf:SSUA7_0436
ko:K03590	ssf:SSUA7_0437
ko:K03531	ssf:SSUA7_0438
ko:K06997	ssf:SSUA7_0439
ko:K09772	ssf:SSUA7_0440
ko:K02221	ssf:SSUA7_0441
ko:K04074	ssf:SSUA7_0443
ko:K01870	ssf:SSUA7_0445
ko:K01491	ssf:SSUA7_0452
ko:K03100	ssf:SSUA7_0454
ko:K08303	ssf:SSUA7_0462
ko:K03523	ssf:SSUA7_0466
ko:K02003	ssf:SSUA7_0470
ko:K00563	ssf:SSUA7_1310
ko:K06158	ssf:SSUA7_1313
ko:K01223	ssf:SSUA7_1323
ko:K01575	ssf:SSUA7_1327
ko:K01689	ssf:SSUA7_1335
ko:K00865	ssf:SSUA7_1339
ko:K01091	ssf:SSUA7_1340
ko:K01079	ssf:SSUA7_1342
ko:K02470	ssf:SSUA7_1344
ko:K03152	ssf:SSUA7_1345
ko:K05837	ssf:SSUA7_1346
ko:K01952	ssf:SSUA7_0028
ko:K00764	ssf:SSUA7_0029
ko:K11175	ssf:SSUA7_0031
ko:K00602	ssf:SSUA7_0032
ko:K01945	ssf:SSUA7_0033
ko:K01588	ssf:SSUA7_0034
ko:K01589	ssf:SSUA7_0035
ko:K01756	ssf:SSUA7_0038
ko:K03551	ssf:SSUA7_0047
ko:K11754	ssf:SSUA7_0053
ko:K03572	ssf:SSUA7_0057
ko:K03550	ssf:SSUA7_0058
ko:K01246	ssf:SSUA7_0059
ko:K07447	ssf:SSUA7_0064
ko:K09962	ssf:SSUA7_0066
ko:K02946	ssf:SSUA7_0069
ko:K02906	ssf:SSUA7_0070
ko:K02926	ssf:SSUA7_0071
ko:K02892	ssf:SSUA7_0072
ko:K02886	ssf:SSUA7_0073
ko:K02965	ssf:SSUA7_0074
ko:K02890	ssf:SSUA7_0075
ko:K02982	ssf:SSUA7_0076
ko:K02878	ssf:SSUA7_0077
ko:K02904	ssf:SSUA7_0078
ko:K02961	ssf:SSUA7_0079
ko:K02874	ssf:SSUA7_0080
ko:K02895	ssf:SSUA7_0081
ko:K02931	ssf:SSUA7_0082
ko:K02954	ssf:SSUA7_0083
ko:K02994	ssf:SSUA7_0084
ko:K02933	ssf:SSUA7_0085
ko:K02881	ssf:SSUA7_0086
ko:K02988	ssf:SSUA7_0087
ko:K06180	ssf:SSUA7_0929
ko:K00858	ssf:SSUA7_0930
ko:K00948	ssf:SSUA7_0933
ko:K04487	ssf:SSUA7_0934
ko:K01926	ssf:SSUA7_0937
ko:K07010	ssf:SSUA7_0938
ko:K03630	ssf:SSUA7_0939
ko:K02469	ssf:SSUA7_0941
ko:K02057	ssf:SSUA7_0945
ko:K02057	ssf:SSUA7_0946
ko:K07335	ssf:SSUA7_0949
ko:K00756	ssf:SSUA7_0952
ko:K02968	ssf:SSUA7_0955
ko:K02039	ssf:SSUA7_0963
ko:K02036	ssf:SSUA7_0964
ko:K02036	ssf:SSUA7_0965
ko:K02038	ssf:SSUA7_0966
ko:K02037	ssf:SSUA7_0967
ko:K02040	ssf:SSUA7_0968
ko:K11753	ssf:SSUA7_0974
ko:K03696	ssf:SSUA7_1796
ko:K02357	ssf:SSUA7_1800
ko:K02967	ssf:SSUA7_1801
ko:K02601	ssf:SSUA7_1804
ko:K03073	ssf:SSUA7_1805
ko:K02913	ssf:SSUA7_1806
ko:K06180	ssf:SSUA7_1809
ko:K09760	ssf:SSUA7_1813
ko:K01783	ssf:SSUA7_1815
ko:K06949	ssf:SSUA7_1816
ko:K02528	ssf:SSUA7_1824
ko:K00800	ssf:SSUA7_0557
ko:K00891	ssf:SSUA7_0558
ko:K03215	ssf:SSUA7_0561
ko:K01893	ssf:SSUA7_0570
ko:K06958	ssf:SSUA7_0575
ko:K00611	ssf:SSUA7_0581
ko:K00926	ssf:SSUA7_0582
ko:K03402	ssf:SSUA7_0586
ko:K07568	ssf:SSUA7_0587
ko:K02003	ssf:SSUA7_1426
ko:K05847	ssf:SSUA7_1433
ko:K13292	ssf:SSUA7_1437
ko:K01809	ssf:SSUA7_1439
ko:K06959	ssf:SSUA7_1444
ko:K07058	ssf:SSUA7_1448
ko:K01265	ssf:SSUA7_1449
ko:K00790	ssf:SSUA7_1451
ko:K00789	ssf:SSUA7_1453
ko:K03524	ssf:SSUA7_1457
ko:K02343	ssf:SSUA7_1459
ko:K00876	ssf:SSUA7_1463
ko:K05985	ssf:SSUA7_1832
ko:K03424	ssf:SSUA7_1833
ko:K02914	ssf:SSUA7_1834
ko:K03217	ssf:SSUA7_1836
ko:K03536	ssf:SSUA7_1837
ko:K01755	ssf:SSUA7_1838
ko:K01940	ssf:SSUA7_1839
ko:K02913	ssf:SSUA7_0257
ko:K02911	ssf:SSUA7_0258
ko:K01892	ssf:SSUA7_0259
ko:K04072	ssf:SSUA7_0262
ko:K01733	ssf:SSUA7_0263
ko:K07166	ssf:SSUA7_0276
ko:K09157	ssf:SSUA7_0277
ko:K03705	ssf:SSUA7_0279
ko:K03687	ssf:SSUA7_0280
ko:K04043	ssf:SSUA7_0281
ko:K03686	ssf:SSUA7_0282
ko:K07727	ssf:SSUA7_0287
ko:K06173	ssf:SSUA7_0291
ko:K00868	ssf:SSUA7_0292
ko:K03545	ssf:SSUA7_0309
ko:K07238	ssf:SSUA7_1147
ko:K06967	ssf:SSUA7_1149
ko:K00651	ssf:SSUA7_1151
ko:K00759	ssf:SSUA7_1152
ko:K07462	ssf:SSUA7_1155
ko:K06131	ssf:SSUA7_1156
ko:K07124	ssf:SSUA7_1158
ko:K03665	ssf:SSUA7_1161
ko:K00791	ssf:SSUA7_1162
ko:K03449	ssf:SSUA7_1164
ko:K00077	ssf:SSUA7_1169
ko:K00243	ssf:SSUA7_1170
ko:K02838	ssf:SSUA7_1171
ko:K09903	ssf:SSUA7_1172
ko:K02863	ssf:SSUA7_1176
ko:K02867	ssf:SSUA7_1177
ko:K03466	ssf:SSUA7_1180
ko:K01193	ssf:SSUA7_1181
ko:K02529	ssf:SSUA7_1185
ko:K02837	ssf:SSUA7_1191
ko:K01929	ssf:SSUA7_1194
ko:K01921	ssf:SSUA7_1196
ko:K06187	ssf:SSUA7_1197
ko:K00687	ssf:SSUA7_1198
ko:K00817	ssf:SSUA7_0761
ko:K02768	ssf:SSUA7_0764
ko:K02769	ssf:SSUA7_0764
ko:K02770	ssf:SSUA7_0764
ko:K00215	ssf:SSUA7_0767
ko:K15738	ssf:SSUA7_0769
ko:K03544	ssf:SSUA7_0777
ko:K03978	ssf:SSUA7_0778
ko:K00940	ssf:SSUA7_0779
ko:K03596	ssf:SSUA7_0780
ko:K01821	ssf:SSUA7_0781
ko:K02835	ssf:SSUA7_0784
ko:K02493	ssf:SSUA7_0785
ko:K07566	ssf:SSUA7_0786
ko:K00600	ssf:SSUA7_0788
ko:K01951	ssf:SSUA7_0810
ko:K03710	ssf:SSUA7_0811
ko:K03106	ssf:SSUA7_0813
ko:K01775	ssf:SSUA7_1636
ko:K00997	ssf:SSUA7_1637
ko:K03070	ssf:SSUA7_1638
ko:K00847	ssf:SSUA7_1640
ko:K01193	ssf:SSUA7_1642
ko:K03484	ssf:SSUA7_1643
ko:K03625	ssf:SSUA7_1644
ko:K02356	ssf:SSUA7_1646
ko:K03701	ssf:SSUA7_1648
ko:K03284	ssf:SSUA7_1649
ko:K02963	ssf:SSUA7_1651
ko:K02990	ssf:SSUA7_1653
ko:K03800	ssf:SSUA7_1655
ko:K00382	ssf:SSUA7_1658
ko:K00627	ssf:SSUA7_1659
ko:K00162	ssf:SSUA7_1660
ko:K00161	ssf:SSUA7_1661
ko:K02834	ssf:SSUA7_1665
ko:K02519	ssf:SSUA7_1666
ko:K07742	ssf:SSUA7_1668
ko:K02600	ssf:SSUA7_1669
ko:K09748	ssf:SSUA7_1670
ko:K03439	ssf:SSUA7_1672
ko:K02503	ssf:SSUA7_1676
ko:K06925	ssf:SSUA7_1680
ko:K02034	ssf:SSUA7_1684
ko:K02907	ssf:SSUA7_0088
ko:K02876	ssf:SSUA7_0089
ko:K03076	ssf:SSUA7_0090
ko:K02518	ssf:SSUA7_0092
ko:K02952	ssf:SSUA7_0093
ko:K02948	ssf:SSUA7_0094
ko:K03040	ssf:SSUA7_0095
ko:K02879	ssf:SSUA7_0096
ko:K09817	ssf:SSUA7_0109
ko:K09816	ssf:SSUA7_0110
ko:K01866	ssf:SSUA7_0116
ko:K03043	ssf:SSUA7_0118
ko:K03046	ssf:SSUA7_0119
ko:K00925	ssf:SSUA7_0130
ko:K11754	ssf:SSUA7_0133
ko:K07088	ssf:SSUA7_0988
ko:K08987	ssf:SSUA7_0993
ko:K00950	ssf:SSUA7_0999
ko:K01633	ssf:SSUA7_1000
ko:K03367	ssf:SSUA7_0594
ko:K03739	ssf:SSUA7_0595
ko:K14188	ssf:SSUA7_0596
ko:K03740	ssf:SSUA7_0597
ko:K00796	ssf:SSUA7_1001
ko:K01495	ssf:SSUA7_1002
ko:K01889	ssf:SSUA7_1010
ko:K01207	ssf:SSUA7_1011
ko:K01207	ssf:SSUA7_1012
ko:K01686	ssf:SSUA7_1015
ko:K01812	ssf:SSUA7_1016
ko:K01625	ssf:SSUA7_1017
ko:K01195	ssf:SSUA7_1019
ko:K00874	ssf:SSUA7_1020
ko:K00790	ssf:SSUA7_1024
ko:K02114	ssf:SSUA7_1026
ko:K02112	ssf:SSUA7_1027
ko:K02115	ssf:SSUA7_1028
ko:K02111	ssf:SSUA7_1029
ko:K02113	ssf:SSUA7_1030
ko:K02109	ssf:SSUA7_1031
ko:K02108	ssf:SSUA7_1032
ko:K02110	ssf:SSUA7_1033
ko:K01972	ssf:SSUA7_1035
ko:K07089	ssf:SSUA7_1037
ko:K00036	ssf:SSUA7_1039
ko:K01673	ssf:SSUA7_1851
ko:K04485	ssf:SSUA7_1852
ko:K00057	ssf:SSUA7_1858
ko:K00963	ssf:SSUA7_1859
ko:K05823	ssf:SSUA7_1862
ko:K01810	ssf:SSUA7_1868
ko:K00615	ssf:SSUA7_1871
ko:K02761	ssf:SSUA7_1887
ko:K02759	ssf:SSUA7_1889
ko:K02760	ssf:SSUA7_1890
ko:K01869	ssf:SSUA7_1895
ko:K00432	ssf:SSUA7_0601
ko:K02015	ssf:SSUA7_0602
ko:K02015	ssf:SSUA7_0603
ko:K02016	ssf:SSUA7_0604
ko:K02013	ssf:SSUA7_0605
ko:K00655	ssf:SSUA7_0607
ko:K02237	ssf:SSUA7_0608
ko:K00943	ssf:SSUA7_0615
ko:K02341	ssf:SSUA7_0616
ko:K07056	ssf:SSUA7_0618
ko:K00831	ssf:SSUA7_0619
ko:K01142	ssf:SSUA7_0625
ko:K01938	ssf:SSUA7_0644
ko:K03530	ssf:SSUA7_1479
ko:K03631	ssf:SSUA7_1483
ko:K03402	ssf:SSUA7_1484
ko:K06442	ssf:SSUA7_1485
ko:K13789	ssf:SSUA7_1486
ko:K03602	ssf:SSUA7_1487
ko:K03601	ssf:SSUA7_1488
ko:K04069	ssf:SSUA7_1500
ko:K02013	ssf:SSUA7_1502
ko:K00763	ssf:SSUA7_1505
ko:K06941	ssf:SSUA7_1508
ko:K00954	ssf:SSUA7_1511
ko:K07778	ssf:SSUA7_1517
ko:K04047	ssf:SSUA7_1520
ko:K01937	ssf:SSUA7_0314
ko:K01624	ssf:SSUA7_0315
ko:K02902	ssf:SSUA7_0316
ko:K03655	ssf:SSUA7_0317
ko:K14260	ssf:SSUA7_0322
ko:K03706	ssf:SSUA7_0323
ko:K02884	ssf:SSUA7_0325
ko:K02435	ssf:SSUA7_0327
ko:K01129	ssf:SSUA7_0330
ko:K02529	ssf:SSUA7_0331
ko:K00849	ssf:SSUA7_0332
ko:K00965	ssf:SSUA7_0333
ko:K07015	ssf:SSUA7_0337
ko:K07574	ssf:SSUA7_0339
ko:K00969	ssf:SSUA7_0340
ko:K09710	ssf:SSUA7_0344
ko:K01462	ssf:SSUA7_0353
ko:K00705	ssf:SSUA7_0355
ko:K00688	ssf:SSUA7_0356
ko:K01868	ssf:SSUA7_1209
ko:K02529	ssf:SSUA7_1216
ko:K00773	ssf:SSUA7_1218
ko:K06929	ssf:SSUA7_1220
ko:K02003	ssf:SSUA7_1225
ko:K11065	ssf:SSUA7_1227
ko:K03664	ssf:SSUA7_1232
ko:K12573	ssf:SSUA7_1233
ko:K03075	ssf:SSUA7_1234
ko:K02913	ssf:SSUA7_1235
ko:K00859	ssf:SSUA7_1237
ko:K07042	ssf:SSUA7_1241
ko:K04758	ssf:SSUA7_1250
ko:K04759	ssf:SSUA7_1251
ko:K09811	ssf:SSUA7_1252
ko:K09812	ssf:SSUA7_1253
ko:K02836	ssf:SSUA7_1254
ko:K02003	ssf:SSUA7_0825
ko:K04094	ssf:SSUA7_0836
ko:K02935	ssf:SSUA7_0838
ko:K02864	ssf:SSUA7_0839
ko:K03168	ssf:SSUA7_0840
ko:K04096	ssf:SSUA7_0841
ko:K11068	ssf:SSUA7_0845
ko:K03470	ssf:SSUA7_0847
ko:K14540	ssf:SSUA7_0848
ko:K01628	ssf:SSUA7_0857
ko:K01818	ssf:SSUA7_0858
ko:K00848	ssf:SSUA7_0859
ko:K01060	ssf:SSUA7_0863
ko:K09014	ssf:SSUA7_1691
ko:K11717	ssf:SSUA7_1694
ko:K09015	ssf:SSUA7_1695
ko:K09013	ssf:SSUA7_1696
ko:K01754	ssf:SSUA7_1704
ko:K00053	ssf:SSUA7_1705
ko:K01653	ssf:SSUA7_1706
ko:K01652	ssf:SSUA7_1707
ko:K01687	ssf:SSUA7_1712
ko:K02996	ssf:SSUA7_1717
ko:K02871	ssf:SSUA7_1718
ko:K06962	ssf:SSUA7_1720
ko:K03218	ssf:SSUA7_1721
ko:K07718	ssf:SSUA7_1729
ko:K10716	ssf:SSUA7_0973
ko:K10040	ssf:SSUA7_1207
ko:K01834	ssf:SSUA7_1472
ko:K01104	ssf:SSUA7_0523
ko:K12996	ssf:SSUA7_0525
ko:K04516	ssf:SSUA7_1370
ko:K01081	ssf:SSUA7_1372
ko:K01243	ssf:SSUA7_1413
ko:K01515	ssf:SSUA7_1415
ko:K03976	ssf:SSUA7_0476
ko:K08974	ssf:SSUA7_0477
ko:K07273	ssf:SSUA7_0479
ko:K01488	ssf:SSUA7_0493
ko:K07816	ssf:SSUA7_0931
ko:K00016	ssf:SSUA7_0942
ko:K02056	ssf:SSUA7_0947
ko:K01489	ssf:SSUA7_0950
ko:K01619	ssf:SSUA7_0951
ko:K00564	ssf:SSUA7_0953
ko:K00867	ssf:SSUA7_0954
ko:K14982	ssf:SSUA7_0959
ko:K14983	ssf:SSUA7_0960
ko:K01092	ssf:SSUA7_0970
ko:K03177	ssf:SSUA7_0975
ko:K09155	ssf:SSUA7_0979
ko:K03708	ssf:SSUA7_1797
ko:K12555	ssf:SSUA7_1807
ko:K09685	ssf:SSUA7_1810
