ko:K00127	hik:HifGL_001505
ko:K03718	hik:HifGL_000205
ko:K01119	hik:HifGL_000252
ko:K01048	hik:HifGL_000271
ko:K12984	hik:HifGL_000281
ko:K02446	hik:HifGL_000295
ko:K07126	hik:HifGL_001029
ko:K07126	hik:HifGL_001031
ko:K00652	hik:HifGL_001042
ko:K00647	hik:HifGL_001061
ko:K05844	hik:HifGL_001063
ko:K06910	hik:HifGL_001073
ko:K03307	hik:HifGL_001088
ko:K06039	hik:HifGL_001098
ko:K07263	hik:HifGL_001113
ko:K11179	hik:HifGL_001116
ko:K07657	hik:HifGL_001125
ko:K01679	hik:HifGL_001143
ko:K00700	hik:HifGL_001153
ko:K02427	hik:HifGL_001170
ko:K03548	hik:HifGL_000058
ko:K01784	hik:HifGL_000093
ko:K00939	hik:HifGL_000096
ko:K02569	hik:HifGL_000097
ko:K02574	hik:HifGL_000099
ko:K03635	hik:HifGL_001338
ko:K09909	hik:HifGL_001346
ko:K04774	hik:HifGL_001347
ko:K03617	hik:HifGL_001348
ko:K03617	hik:HifGL_001354
ko:K03616	hik:HifGL_001355
ko:K03615	hik:HifGL_001356
ko:K03614	hik:HifGL_001358
ko:K03612	hik:HifGL_001359
ko:K03613	hik:HifGL_001360
ko:K07666	hik:HifGL_001386
ko:K08483	hik:HifGL_001389
ko:K02784	hik:HifGL_001390
ko:K02851	hik:HifGL_001393
ko:K00101	hik:HifGL_001418
ko:K09998	hik:HifGL_001432
ko:K10000	hik:HifGL_001435
ko:K01439	hik:HifGL_001447
ko:K02010	hik:HifGL_001449
ko:K01664	hik:HifGL_001454
ko:K02619	hik:HifGL_001456
ko:K03286	hik:HifGL_001461
ko:K16013	hik:HifGL_001468
ko:K16012	hik:HifGL_001469
ko:K02806	hik:HifGL_001480
ko:K00124	hik:HifGL_001504
ko:K00564	hik:HifGL_001509
ko:K07258	hik:HifGL_001527
ko:K06177	hik:HifGL_001540
ko:K13637	hik:HifGL_001554
ko:K11085	hik:HifGL_001560
ko:K02238	hik:HifGL_001561
ko:K00088	hik:HifGL_001618
ko:K01934	hik:HifGL_001630
ko:K03803	hik:HifGL_001642
ko:K00970	hik:HifGL_001563
ko:K02035	hik:HifGL_001580
ko:K07491	hik:HifGL_001587
ko:K02441	hik:HifGL_001599
ko:K06177	hik:HifGL_001600
ko:K00799	hik:HifGL_001658
ko:K09815	hik:HifGL_001669
ko:K01760	hik:HifGL_001673
ko:K03386	hik:HifGL_001674
ko:K01507	hik:HifGL_001676
ko:K02010	hik:HifGL_001678
ko:K02342	hik:HifGL_001686
ko:K03469	hik:HifGL_001687
ko:K11607	hik:HifGL_001691
ko:K11604	hik:HifGL_001692
ko:K13628	hik:HifGL_001706
ko:K04488	hik:HifGL_001707
ko:K03560	hik:HifGL_001714
ko:K01515	hik:HifGL_001728
ko:K00567	hik:HifGL_001732
ko:K06179	hik:HifGL_001742
ko:K04067	hik:HifGL_001746
ko:K01759	hik:HifGL_001749
ko:K04763	hik:HifGL_001761
ko:K02506	hik:HifGL_001776
ko:K02552	hik:HifGL_001788
ko:K08680	hik:HifGL_001790
ko:K01885	hik:HifGL_001797
ko:K02428	hik:HifGL_000013
ko:K00245	hik:HifGL_000509
ko:K00244	hik:HifGL_000510
ko:K03574	hik:HifGL_000537
ko:K02200	hik:HifGL_000561
ko:K01092	hik:HifGL_000564
ko:K10563	hik:HifGL_000573
ko:K09898	hik:HifGL_000582
ko:K10914	hik:HifGL_000583
ko:K02549	hik:HifGL_000594
ko:K00548	hik:HifGL_000653
ko:K07308	hik:HifGL_000657
ko:K07307	hik:HifGL_000658
ko:K00769	hik:HifGL_000303
ko:K01270	hik:HifGL_000304
ko:K01409	hik:HifGL_000320
ko:K03784	hik:HifGL_000333
ko:K00852	hik:HifGL_000344
ko:K10439	hik:HifGL_000345
ko:K10440	hik:HifGL_000346
ko:K09471	hik:HifGL_000350
ko:K11069	hik:HifGL_000351
ko:K01424	hik:HifGL_000357
ko:K07792	hik:HifGL_000358
ko:K09022	hik:HifGL_000360
ko:K00867	hik:HifGL_000221
ko:K03499	hik:HifGL_000227
ko:K07343	hik:HifGL_000234
ko:K03326	hik:HifGL_000246
ko:K03756	hik:HifGL_000248
ko:K07491	hik:HifGL_000683
ko:K01156	hik:HifGL_000720
ko:K04015	hik:HifGL_000728
ko:K02067	hik:HifGL_000748
ko:K02193	hik:HifGL_000752
ko:K02200	hik:HifGL_000759
ko:K02843	hik:HifGL_000769
ko:K00854	hik:HifGL_000777
ko:K01619	hik:HifGL_000780
ko:K10823	hik:HifGL_000784
ko:K15583	hik:HifGL_000785
ko:K15582	hik:HifGL_000786
ko:K00616	hik:HifGL_000790
ko:K06212	hik:HifGL_000791
ko:K00383	hik:HifGL_000811
ko:K00059	hik:HifGL_000818
ko:K07792	hik:HifGL_000820
ko:K01788	hik:HifGL_000828
ko:K01639	hik:HifGL_000831
ko:K02564	hik:HifGL_000832
ko:K03299	hik:HifGL_000850
ko:K03768	hik:HifGL_000861
ko:K01834	hik:HifGL_000416
ko:K04765	hik:HifGL_000422
ko:K00882	hik:HifGL_000435
ko:K02858	hik:HifGL_000439
ko:K00626	hik:HifGL_000446
ko:K06149	hik:HifGL_000490
ko:K01262	hik:HifGL_000491
ko:K01785	hik:HifGL_000493
ko:K10540	hik:HifGL_000497
ko:K10541	hik:HifGL_000499
ko:K00247	hik:HifGL_000507
ko:K00121	hik:HifGL_000868
ko:K03711	hik:HifGL_000874
ko:K01243	hik:HifGL_000919
ko:K08992	hik:HifGL_000927
ko:K02824	hik:HifGL_000932
ko:K06183	hik:HifGL_000948
ko:K03748	hik:HifGL_000967
ko:K03593	hik:HifGL_000975
ko:K02017	hik:HifGL_000988
ko:K14230	hik:HifGL_t35
ko:K01985	hik:HifGL_r14
ko:K14226	hik:HifGL_t22
ko:K14228	hik:HifGL_t36
ko:K14236	hik:HifGL_t53
ko:K14224	hik:HifGL_t34
ko:K01980	hik:HifGL_r11
ko:K01980	hik:HifGL_r8
ko:K01980	hik:HifGL_r5
ko:K01980	hik:HifGL_r2
ko:K01980	hik:HifGL_r16
ko:K01980	hik:HifGL_r19
ko:K17686	hik:HifGL_001782
ko:K04751	hik:HifGL_000108
ko:K03831	hik:HifGL_000109
ko:K00901	hik:HifGL_000110
ko:K03215	hik:HifGL_000112
ko:K03584	hik:HifGL_000113
ko:K02356	hik:HifGL_000117
ko:K15600	hik:HifGL_000118
ko:K15598	hik:HifGL_000120
ko:K03707	hik:HifGL_000121
ko:K00878	hik:HifGL_000122
ko:K00941	hik:HifGL_000123
ko:K00788	hik:HifGL_000124
ko:K08303	hik:HifGL_000126
ko:K05590	hik:HifGL_000130
ko:K09824	hik:HifGL_000132
ko:K01338	hik:HifGL_000133
ko:K01807	hik:HifGL_000135
ko:K06980	hik:HifGL_000137
ko:K03834	hik:HifGL_000139
ko:K02114	hik:HifGL_000140
ko:K02112	hik:HifGL_000141
ko:K02115	hik:HifGL_000142
ko:K02111	hik:HifGL_000143
ko:K02113	hik:HifGL_000144
ko:K02109	hik:HifGL_000145
ko:K02110	hik:HifGL_000146
ko:K02108	hik:HifGL_000147
ko:K03501	hik:HifGL_000149
ko:K07173	hik:HifGL_000153
ko:K02337	hik:HifGL_000155
ko:K01754	hik:HifGL_000156
ko:K01687	hik:HifGL_000157
ko:K11258	hik:HifGL_000158
ko:K03308	hik:HifGL_000162
ko:K03269	hik:HifGL_000164
ko:K00655	hik:HifGL_000165
ko:K04744	hik:HifGL_000167
ko:K01881	hik:HifGL_000168
ko:K03654	hik:HifGL_000169
ko:K06202	hik:HifGL_000170
ko:K01586	hik:HifGL_000172
ko:K07685	hik:HifGL_000173
ko:K09894	hik:HifGL_000175
ko:K03885	hik:HifGL_000180
ko:K00631	hik:HifGL_000181
ko:K01356	hik:HifGL_000182
ko:K01778	hik:HifGL_000183
ko:K11065	hik:HifGL_000184
ko:K08996	hik:HifGL_000185
ko:K02939	hik:HifGL_000186
ko:K02963	hik:HifGL_000187
ko:K02686	hik:HifGL_000188
ko:K02990	hik:HifGL_000189
ko:K02518	hik:HifGL_000190
ko:K07270	hik:HifGL_000191
ko:K02528	hik:HifGL_000193
ko:K07270	hik:HifGL_000194
ko:K01057	hik:HifGL_000199
ko:K00036	hik:HifGL_000200
ko:K04762	hik:HifGL_000204
ko:K03495	hik:HifGL_000253
ko:K02950	hik:HifGL_000254
ko:K02992	hik:HifGL_000255
ko:K02355	hik:HifGL_000256
ko:K02358	hik:HifGL_000257
ko:K05539	hik:HifGL_000260
ko:K01867	hik:HifGL_000262
ko:K07153	hik:HifGL_000263
ko:K01756	hik:HifGL_000264
ko:K02864	hik:HifGL_000265
ko:K02935	hik:HifGL_000266
ko:K04042	hik:HifGL_000267
ko:K07821	hik:HifGL_000270
ko:K00133	hik:HifGL_000272
ko:K07507	hik:HifGL_000273
ko:K14441	hik:HifGL_000274
ko:K03923	hik:HifGL_000275
ko:K03656	hik:HifGL_000277
ko:K00954	hik:HifGL_000279
ko:K02527	hik:HifGL_000280
ko:K01246	hik:HifGL_000282
ko:K00014	hik:HifGL_000284
ko:K07566	hik:HifGL_000285
ko:K07479	hik:HifGL_000286
ko:K06158	hik:HifGL_000287
ko:K16087	hik:HifGL_000290
ko:K09892	hik:HifGL_000296
ko:K06205	hik:HifGL_000297
ko:K07560	hik:HifGL_000298
ko:K02346	hik:HifGL_001027
ko:K09906	hik:HifGL_001028
ko:K02835	hik:HifGL_001034
ko:K02493	hik:HifGL_001036
ko:K01627	hik:HifGL_001038
ko:K09808	hik:HifGL_001040
ko:K00833	hik:HifGL_001041
ko:K09789	hik:HifGL_001043
ko:K02169	hik:HifGL_001044
ko:K01935	hik:HifGL_001045
ko:K09810	hik:HifGL_001046
ko:K09808	hik:HifGL_001047
ko:K01626	hik:HifGL_001048
ko:K07862	hik:HifGL_001050
ko:K04773	hik:HifGL_001054
ko:K15461	hik:HifGL_001060
ko:K03312	hik:HifGL_001064
ko:K02621	hik:HifGL_001065
ko:K02622	hik:HifGL_001066
ko:K02517	hik:HifGL_001067
ko:K03272	hik:HifGL_001068
ko:K09748	hik:HifGL_001069
ko:K02600	hik:HifGL_001070
ko:K02519	hik:HifGL_001071
ko:K01673	hik:HifGL_001074
ko:K01893	hik:HifGL_001075
ko:K00794	hik:HifGL_001076
ko:K03625	hik:HifGL_001077
ko:K00946	hik:HifGL_001078
ko:K01095	hik:HifGL_001079
ko:K00215	hik:HifGL_001081
ko:K11107	hik:HifGL_001082
ko:K01889	hik:HifGL_001084
ko:K01890	hik:HifGL_001085
ko:K04764	hik:HifGL_001086
ko:K01792	hik:HifGL_001090
ko:K02520	hik:HifGL_001091
ko:K02916	hik:HifGL_001092
ko:K02887	hik:HifGL_001093
ko:K03582	hik:HifGL_001094
ko:K03581	hik:HifGL_001095
ko:K01695	hik:HifGL_001099
ko:K01696	hik:HifGL_001100
ko:K01933	hik:HifGL_001102
ko:K11175	hik:HifGL_001103
ko:K14055	hik:HifGL_001106
ko:K00324	hik:HifGL_001107
ko:K00325	hik:HifGL_001108
ko:K03168	hik:HifGL_001110
ko:K01118	hik:HifGL_001111
ko:K01868	hik:HifGL_001112
ko:K14058	hik:HifGL_001117
ko:K03633	hik:HifGL_001118
ko:K03804	hik:HifGL_001119
ko:K03632	hik:HifGL_001120
ko:K01141	hik:HifGL_001123
ko:K07636	hik:HifGL_001124
ko:K02036	hik:HifGL_001126
ko:K02038	hik:HifGL_001127
ko:K02037	hik:HifGL_001128
ko:K02040	hik:HifGL_001129
ko:K02217	hik:HifGL_001130
ko:K02217	hik:HifGL_001131
ko:K01657	hik:HifGL_001132
ko:K00766	hik:HifGL_001135
ko:K13498	hik:HifGL_001136
ko:K04653	hik:HifGL_001137
ko:K01873	hik:HifGL_001138
ko:K09900	hik:HifGL_001141
ko:K02339	hik:HifGL_001142
ko:K07053	hik:HifGL_001145
ko:K00688	hik:HifGL_001148
ko:K00703	hik:HifGL_001150
ko:K00975	hik:HifGL_001151
ko:K00705	hik:HifGL_001154
ko:K09160	hik:HifGL_001156
ko:K01886	hik:HifGL_001157
ko:K08296	hik:HifGL_001162
ko:K08296	hik:HifGL_001166
ko:K03431	hik:HifGL_001167
ko:K00796	hik:HifGL_001168
ko:K03798	hik:HifGL_001169
ko:K07574	hik:HifGL_001171
ko:K03624	hik:HifGL_001172
ko:K07121	hik:HifGL_001320
ko:K07460	hik:HifGL_001321
ko:K03271	hik:HifGL_001322
ko:K00658	hik:HifGL_001326
ko:K00164	hik:HifGL_001327
ko:K03424	hik:HifGL_001331
ko:K03797	hik:HifGL_001334
ko:K03607	hik:HifGL_001335
ko:K03808	hik:HifGL_001336
ko:K03636	hik:HifGL_001339
ko:K03637	hik:HifGL_001340
ko:K03639	hik:HifGL_001341
ko:K07322	hik:HifGL_001342
ko:K06041	hik:HifGL_001343
ko:K03270	hik:HifGL_001344
ko:K10773	hik:HifGL_001361
ko:K03308	hik:HifGL_001362
ko:K00549	hik:HifGL_001380
ko:K11720	hik:HifGL_001381
ko:K07091	hik:HifGL_001382
ko:K01255	hik:HifGL_001383
ko:K02168	hik:HifGL_001384
ko:K06949	hik:HifGL_001391
ko:K13288	hik:HifGL_001392
ko:K00990	hik:HifGL_001395
ko:K01265	hik:HifGL_001396
ko:K15724	hik:HifGL_001397
ko:K09910	hik:HifGL_001398
ko:K05365	hik:HifGL_001399
ko:K01923	hik:HifGL_001400
ko:K01940	hik:HifGL_001401
ko:K07160	hik:HifGL_001403
ko:K01147	hik:HifGL_001408
ko:K00208	hik:HifGL_001409
ko:K02837	hik:HifGL_001410
ko:K03576	hik:HifGL_001415
ko:K01776	hik:HifGL_001419
ko:K03655	hik:HifGL_001420
ko:K03060	hik:HifGL_001422
ko:K00942	hik:HifGL_001423
ko:K00134	hik:HifGL_001424
ko:K07042	hik:HifGL_001427
ko:K00789	hik:HifGL_001428
ko:K02742	hik:HifGL_001429
ko:K09999	hik:HifGL_001433
ko:K09997	hik:HifGL_001434
ko:K03271	hik:HifGL_001436
ko:K12372	hik:HifGL_001438
ko:K12371	hik:HifGL_001439
ko:K12370	hik:HifGL_001440
ko:K12369	hik:HifGL_001441
ko:K03657	hik:HifGL_001443
ko:K02012	hik:HifGL_001444
ko:K04079	hik:HifGL_001445
ko:K02011	hik:HifGL_001450
ko:K02012	hik:HifGL_001451
ko:K01665	hik:HifGL_001455
ko:K09802	hik:HifGL_001457
ko:K00831	hik:HifGL_001458
ko:K00817	hik:HifGL_001459
ko:K07390	hik:HifGL_001460
ko:K01772	hik:HifGL_001465
ko:K00950	hik:HifGL_001564
ko:K06925	hik:HifGL_001565
ko:K01448	hik:HifGL_001566
ko:K03572	hik:HifGL_001567
ko:K00791	hik:HifGL_001568
ko:K00982	hik:HifGL_001569
ko:K03631	hik:HifGL_001570
ko:K00858	hik:HifGL_001571
ko:K03687	hik:HifGL_001572
ko:K09790	hik:HifGL_001581
ko:K01414	hik:HifGL_001582
ko:K03427	hik:HifGL_001583
ko:K07648	hik:HifGL_001591
ko:K03273	hik:HifGL_001594
ko:K02071	hik:HifGL_001595
ko:K02072	hik:HifGL_001596
ko:K02073	hik:HifGL_001597
ko:K02444	hik:HifGL_001598
ko:K03580	hik:HifGL_001601
ko:K02430	hik:HifGL_001602
ko:K01818	hik:HifGL_001603
ko:K02431	hik:HifGL_001605
ko:K01628	hik:HifGL_001606
ko:K02429	hik:HifGL_001607
ko:K03752	hik:HifGL_001648
ko:K01735	hik:HifGL_001650
ko:K00891	hik:HifGL_001651
ko:K02959	hik:HifGL_001654
ko:K02860	hik:HifGL_001655
ko:K00554	hik:HifGL_001656
ko:K02884	hik:HifGL_001657
ko:K16087	hik:HifGL_001659
ko:K02956	hik:HifGL_001660
ko:K07226	hik:HifGL_001664
ko:K12297	hik:HifGL_001666
ko:K08304	hik:HifGL_001667
ko:K02558	hik:HifGL_001671
ko:K00995	hik:HifGL_001675
ko:K06901	hik:HifGL_001677
ko:K02011	hik:HifGL_001679
ko:K02012	hik:HifGL_001680
ko:K00876	hik:HifGL_001681
ko:K01494	hik:HifGL_001682
ko:K08159	hik:HifGL_001684
ko:K03977	hik:HifGL_001685
ko:K11606	hik:HifGL_001689
ko:K11605	hik:HifGL_001690
ko:K07262	hik:HifGL_001693
ko:K06941	hik:HifGL_001695
ko:K02656	hik:HifGL_001696
ko:K15539	hik:HifGL_001697
ko:K01892	hik:HifGL_001699
ko:K04755	hik:HifGL_001702
ko:K04044	hik:HifGL_001703
ko:K04082	hik:HifGL_001705
ko:K04487	hik:HifGL_001708
ko:K13643	hik:HifGL_001709
ko:K15396	hik:HifGL_001710
ko:K03640	hik:HifGL_001711
ko:K03641	hik:HifGL_001712
ko:K03562	hik:HifGL_001715
ko:K07107	hik:HifGL_001716
ko:K07285	hik:HifGL_001719
ko:K03684	hik:HifGL_001721
ko:K06942	hik:HifGL_001723
ko:K01056	hik:HifGL_001724
ko:K09801	hik:HifGL_001725
ko:K03601	hik:HifGL_001727
ko:K03651	hik:HifGL_001729
ko:K06076	hik:HifGL_001731
ko:K03573	hik:HifGL_001733
ko:K04075	hik:HifGL_001734
ko:K00868	hik:HifGL_001735
ko:K01962	hik:HifGL_001736
ko:K09816	hik:HifGL_001737
ko:K09817	hik:HifGL_001738
ko:K03721	hik:HifGL_001740
ko:K03666	hik:HifGL_001741
ko:K08300	hik:HifGL_001745
ko:K07084	hik:HifGL_001747
ko:K03683	hik:HifGL_001748
ko:K15256	hik:HifGL_001752
ko:K01876	hik:HifGL_001754
ko:K08310	hik:HifGL_001755
ko:K01159	hik:HifGL_001757
ko:K03550	hik:HifGL_001758
ko:K03551	hik:HifGL_001759
ko:K05820	hik:HifGL_001762
ko:K00286	hik:HifGL_001763
ko:K03554	hik:HifGL_001764
ko:K07447	hik:HifGL_001765
ko:K07735	hik:HifGL_001766
ko:K09761	hik:HifGL_001767
ko:K03820	hik:HifGL_001768
ko:K06189	hik:HifGL_001769
ko:K03806	hik:HifGL_001771
ko:K02682	hik:HifGL_001773
ko:K02504	hik:HifGL_001774
ko:K02505	hik:HifGL_001775
ko:K03628	hik:HifGL_001777
ko:K03764	hik:HifGL_001778
ko:K03837	hik:HifGL_001783
ko:K01752	hik:HifGL_001784
ko:K03835	hik:HifGL_001785
ko:K14260	hik:HifGL_001786
ko:K02551	hik:HifGL_001789
ko:K00757	hik:HifGL_001792
ko:K09858	hik:HifGL_001794
ko:K07058	hik:HifGL_001795
ko:K00989	hik:HifGL_001798
ko:K00762	hik:HifGL_001799
ko:K05801	hik:HifGL_001800
ko:K00991	hik:HifGL_000301
ko:K05589	hik:HifGL_000302
ko:K04077	hik:HifGL_000305
ko:K04078	hik:HifGL_000306
ko:K01430	hik:HifGL_000307
ko:K01429	hik:HifGL_000308
ko:K01428	hik:HifGL_000309
ko:K03187	hik:HifGL_000311
ko:K03188	hik:HifGL_000312
ko:K03189	hik:HifGL_000314
ko:K03190	hik:HifGL_000315
ko:K01744	hik:HifGL_000316
ko:K03086	hik:HifGL_000317
ko:K02970	hik:HifGL_000319
ko:K03834	hik:HifGL_000322
ko:K01166	hik:HifGL_000324
ko:K00927	hik:HifGL_000325
ko:K01624	hik:HifGL_000326
ko:K02867	hik:HifGL_000334
ko:K02863	hik:HifGL_000335
ko:K03043	hik:HifGL_000336
ko:K03046	hik:HifGL_000337
ko:K03304	hik:HifGL_000338
ko:K02548	hik:HifGL_000340
ko:K02553	hik:HifGL_000341
ko:K02529	hik:HifGL_000343
ko:K10441	hik:HifGL_000347
ko:K06726	hik:HifGL_000348
ko:K09760	hik:HifGL_000349
ko:K03667	hik:HifGL_000352
ko:K01419	hik:HifGL_000353
ko:K03788	hik:HifGL_000354
ko:K03071	hik:HifGL_000355
ko:K03799	hik:HifGL_000359
ko:K04754	hik:HifGL_000361
ko:K02601	hik:HifGL_000362
ko:K03073	hik:HifGL_000363
ko:K03544	hik:HifGL_000364
ko:K01358	hik:HifGL_000365
ko:K03545	hik:HifGL_000366
ko:K16087	hik:HifGL_000368
ko:K03833	hik:HifGL_000373
ko:K01042	hik:HifGL_000374
ko:K03555	hik:HifGL_000376
ko:K03835	hik:HifGL_000378
ko:K01667	hik:HifGL_000379
ko:K06194	hik:HifGL_000380
ko:K03787	hik:HifGL_000383
ko:K06176	hik:HifGL_000384
ko:K09893	hik:HifGL_000385
ko:K03775	hik:HifGL_000386
ko:K07278	hik:HifGL_000387
ko:K09800	hik:HifGL_000388
ko:K01524	hik:HifGL_000389
ko:K06181	hik:HifGL_000390
ko:K00864	hik:HifGL_000394
ko:K02440	hik:HifGL_000395
ko:K02440	hik:HifGL_000397
ko:K01126	hik:HifGL_000398
ko:K02445	hik:HifGL_000399
ko:K00111	hik:HifGL_000400
ko:K00112	hik:HifGL_000401
ko:K00113	hik:HifGL_000402
ko:K00053	hik:HifGL_000403
ko:K02521	hik:HifGL_000405
ko:K05786	hik:HifGL_000406
ko:K02439	hik:HifGL_000407
ko:K01803	hik:HifGL_000408
ko:K03733	hik:HifGL_000410
ko:K01952	hik:HifGL_000411
ko:K09001	hik:HifGL_000412
ko:K07106	hik:HifGL_000413
ko:K09798	hik:HifGL_000414
ko:K02909	hik:HifGL_000417
ko:K03575	hik:HifGL_000419
ko:K08306	hik:HifGL_000421
ko:K02825	hik:HifGL_000423
ko:K03771	hik:HifGL_000424
ko:K07082	hik:HifGL_000425
ko:K00943	hik:HifGL_000426
ko:K02341	hik:HifGL_000427
ko:K03424	hik:HifGL_000428
ko:K02768	hik:HifGL_000434
ko:K11183	hik:HifGL_000434
ko:K02769	hik:HifGL_000436
ko:K02770	hik:HifGL_000436
ko:K06211	hik:HifGL_000438
ko:K07270	hik:HifGL_000440
ko:K03216	hik:HifGL_000441
ko:K03110	hik:HifGL_000443
ko:K09812	hik:HifGL_000444
ko:K09811	hik:HifGL_000445
ko:K02106	hik:HifGL_000447
ko:K01034	hik:HifGL_000449
ko:K02946	hik:HifGL_000451
ko:K02906	hik:HifGL_000452
ko:K02926	hik:HifGL_000453
ko:K02892	hik:HifGL_000454
ko:K02886	hik:HifGL_000455
ko:K02965	hik:HifGL_000456
ko:K02890	hik:HifGL_000457
ko:K02982	hik:HifGL_000458
ko:K02878	hik:HifGL_000459
ko:K02904	hik:HifGL_000460
ko:K02961	hik:HifGL_000461
ko:K02874	hik:HifGL_000462
ko:K02895	hik:HifGL_000463
ko:K02931	hik:HifGL_000464
ko:K02954	hik:HifGL_000465
ko:K02994	hik:HifGL_000466
ko:K02933	hik:HifGL_000467
ko:K02881	hik:HifGL_000468
ko:K02988	hik:HifGL_000469
ko:K02907	hik:HifGL_000470
ko:K02876	hik:HifGL_000471
ko:K03076	hik:HifGL_000472
ko:K02919	hik:HifGL_000473
ko:K02952	hik:HifGL_000474
ko:K02948	hik:HifGL_000475
ko:K02986	hik:HifGL_000476
ko:K03040	hik:HifGL_000477
ko:K02879	hik:HifGL_000478
ko:K06871	hik:HifGL_000480
ko:K07090	hik:HifGL_000481
ko:K00099	hik:HifGL_000482
ko:K02838	hik:HifGL_000483
ko:K01610	hik:HifGL_000484
ko:K04083	hik:HifGL_000485
ko:K01755	hik:HifGL_000486
ko:K00963	hik:HifGL_000487
ko:K03563	hik:HifGL_000488
ko:K01872	hik:HifGL_000489
ko:K09895	hik:HifGL_000492
ko:K00849	hik:HifGL_000494
ko:K00965	hik:HifGL_000495
ko:K02529	hik:HifGL_000496
ko:K10542	hik:HifGL_000498
ko:K06190	hik:HifGL_000501
ko:K10806	hik:HifGL_000502
ko:K09780	hik:HifGL_000503
ko:K08309	hik:HifGL_000504
ko:K03720	hik:HifGL_000505
ko:K03814	hik:HifGL_000506
ko:K00998	hik:HifGL_000052
ko:K03214	hik:HifGL_000053
ko:K03210	hik:HifGL_000055
ko:K03072	hik:HifGL_000056
ko:K03074	hik:HifGL_000057
ko:K09890	hik:HifGL_000060
