ko:K02888	cri:CRDC_00825
ko:K00215	cri:CRDC_00420
ko:K01955	cri:CRDC_00435
ko:K01866	cri:CRDC_00450
ko:K02959	cri:CRDC_00770
ko:K00053	cri:CRDC_00775
ko:K01652	cri:CRDC_00785
ko:K06180	cri:CRDC_00790
ko:K01870	cri:CRDC_00805
ko:K03979	cri:CRDC_00815
ko:K02899	cri:CRDC_00820
ko:K03040	cri:CRDC_00835
ko:K02986	cri:CRDC_00840
ko:K02948	cri:CRDC_00845
ko:K02952	cri:CRDC_00850
ko:K02919	cri:CRDC_00855
ko:K02876	cri:CRDC_00860
ko:K02988	cri:CRDC_00865
ko:K02933	cri:CRDC_00875
ko:K02994	cri:CRDC_00880
ko:K02954	cri:CRDC_00885
ko:K02931	cri:CRDC_00890
ko:K02874	cri:CRDC_00895
ko:K02961	cri:CRDC_00900
ko:K02878	cri:CRDC_00905
ko:K02982	cri:CRDC_00910
ko:K02890	cri:CRDC_00915
ko:K02965	cri:CRDC_00920
ko:K02886	cri:CRDC_00925
ko:K02926	cri:CRDC_00930
ko:K02906	cri:CRDC_00935
ko:K02946	cri:CRDC_00940
ko:K02358	cri:CRDC_00945
ko:K02355	cri:CRDC_00950
ko:K02992	cri:CRDC_00955
ko:K02950	cri:CRDC_00960
ko:K03046	cri:CRDC_00965
ko:K03043	cri:CRDC_00970
ko:K02935	cri:CRDC_00975
ko:K02867	cri:CRDC_00990
ko:K02299	cri:CRDC_01000
ko:K02298	cri:CRDC_01005
ko:K02297	cri:CRDC_01010
ko:K01876	cri:CRDC_00475
ko:K00826	cri:CRDC_01020
ko:K01462	cri:CRDC_01030
ko:K01755	cri:CRDC_01035
ko:K01586	cri:CRDC_01040
ko:K01778	cri:CRDC_01045
ko:K01878	cri:CRDC_01050
ko:K03704	cri:CRDC_01065
ko:K02519	cri:CRDC_00440
ko:K01886	cri:CRDC_00455
ko:K01358	cri:CRDC_00460
ko:K02111	cri:CRDC_00040
ko:K02115	cri:CRDC_00045
ko:K02112	cri:CRDC_00050
ko:K00611	cri:CRDC_00060
ko:K03786	cri:CRDC_00070
ko:K00615	cri:CRDC_00075
ko:K00297	cri:CRDC_00085
ko:K01265	cri:CRDC_00105
ko:K02967	cri:CRDC_00110
ko:K02337	cri:CRDC_00125
ko:K00549	cri:CRDC_00135
ko:K02909	cri:CRDC_00145
ko:K00891	cri:CRDC_00150
ko:K01735	cri:CRDC_00155
ko:K01687	cri:CRDC_00160
ko:K00600	cri:CRDC_00170
ko:K01939	cri:CRDC_00185
ko:K09014	cri:CRDC_00190
ko:K09013	cri:CRDC_00195
ko:K11717	cri:CRDC_00205
ko:K00566	cri:CRDC_00210
ko:K02518	cri:CRDC_00215
ko:K01657	cri:CRDC_00230
ko:K00766	cri:CRDC_00240
ko:K01609	cri:CRDC_00245
ko:K00948	cri:CRDC_00260
ko:K02835	cri:CRDC_00265
ko:K02434	cri:CRDC_00270
ko:K00765	cri:CRDC_00285
ko:K00013	cri:CRDC_00290
ko:K02871	cri:CRDC_00295
ko:K02996	cri:CRDC_00300
ko:K00800	cri:CRDC_00315
ko:K02945	cri:CRDC_00320
ko:K04077	cri:CRDC_00325
ko:K04078	cri:CRDC_00330
ko:K03086	cri:CRDC_00370
ko:K00817	cri:CRDC_00375
ko:K02500	cri:CRDC_00380
ko:K01814	cri:CRDC_00385
ko:K02501	cri:CRDC_00390
ko:K01693	cri:CRDC_00395
ko:K14225	cri:CRDC_t01129
ko:K14236	cri:CRDC_t01131
ko:K03495	cri:CRDC_00010
ko:K03650	cri:CRDC_00005
ko:K01985	cri:CRDC_r01133
ko:K14227	cri:CRDC_t01077
ko:K14224	cri:CRDC_t01079
ko:K14225	cri:CRDC_t01081
ko:K14233	cri:CRDC_t01083
ko:K14233	cri:CRDC_t01123
ko:K14220	cri:CRDC_t01085
ko:K14230	cri:CRDC_t01087
ko:K14230	cri:CRDC_t01113
ko:K14230	cri:CRDC_t01125
ko:K14237	cri:CRDC_t01089
ko:K14218	cri:CRDC_t01093
ko:K14231	cri:CRDC_t01095
ko:K14223	cri:CRDC_t01097
ko:K14234	cri:CRDC_t01099
ko:K14228	cri:CRDC_t01101
ko:K14228	cri:CRDC_t01117
ko:K14232	cri:CRDC_t01103
ko:K14219	cri:CRDC_t01105
ko:K14226	cri:CRDC_t01107
ko:K14222	cri:CRDC_t01115
ko:K01980	cri:CRDC_r01135
ko:K01956	cri:CRDC_00425
ko:K02884	cri:CRDC_00760
ko:K03671	cri:CRDC_00220
ko:K14228	cri:CRDC_t01111
ko:K03553	cri:CRDC_00690
ko:K00525	cri:CRDC_00080
ko:K02314	cri:CRDC_00350
ko:K02316	cri:CRDC_00365
ko:K03664	cri:CRDC_00400
