ko:K03560	rrn:RPJ_02365
ko:K03089	rrn:RPJ_02280
ko:K00566	rrn:RPJ_02295
ko:K01892	rrn:RPJ_02310
ko:K06173	rrn:RPJ_07280
ko:K03086	rrn:RPJ_07285
ko:K03624	rrn:RPJ_07300
ko:K00324	rrn:RPJ_07305
ko:K00324	rrn:RPJ_07310
ko:K02343	rrn:RPJ_07320
ko:K09747	rrn:RPJ_07325
ko:K06985	rrn:RPJ_07340
ko:K06167	rrn:RPJ_07380
ko:K07091	rrn:RPJ_07400
ko:K02339	rrn:RPJ_07405
ko:K01154	rrn:RPJ_07420
ko:K03427	rrn:RPJ_07430
ko:K03313	rrn:RPJ_07455
ko:K03801	rrn:RPJ_07465
ko:K11066	rrn:RPJ_07470
ko:K02959	rrn:RPJ_07475
ko:K02913	rrn:RPJ_07480
ko:K03572	rrn:RPJ_07485
ko:K00019	rrn:RPJ_07495
ko:K03762	rrn:RPJ_07510
ko:K00228	rrn:RPJ_07515
ko:K08973	rrn:RPJ_07530
ko:K01772	rrn:RPJ_07535
ko:K01599	rrn:RPJ_07540
ko:K03550	rrn:RPJ_02980
ko:K03551	rrn:RPJ_02995
ko:K08218	rrn:RPJ_03005
ko:K03642	rrn:RPJ_03015
ko:K06190	rrn:RPJ_03025
ko:K07243	rrn:RPJ_03030
ko:K00449	rrn:RPJ_03045
ko:K08309	rrn:RPJ_03065
ko:K07010	rrn:RPJ_03090
ko:K02275	rrn:RPJ_03105
ko:K03101	rrn:RPJ_03115
ko:K01925	rrn:RPJ_03125
ko:K03588	rrn:RPJ_03130
ko:K02563	rrn:RPJ_03135
ko:K01778	rrn:RPJ_03235
ko:K01889	rrn:RPJ_03245
ko:K01890	rrn:RPJ_03250
ko:K02338	rrn:RPJ_03255
ko:K07018	rrn:RPJ_03985
ko:K06895	rrn:RPJ_04005
ko:K08218	rrn:RPJ_04015
ko:K02523	rrn:RPJ_04040
ko:K04487	rrn:RPJ_04075
ko:K04487	rrn:RPJ_04080
ko:K13643	rrn:RPJ_04085
ko:K01358	rrn:RPJ_04150
ko:K02945	rrn:RPJ_04155
ko:K00945	rrn:RPJ_04160
ko:K01749	rrn:RPJ_04215
ko:K06980	rrn:RPJ_04255
ko:K03684	rrn:RPJ_04265
ko:K09773	rrn:RPJ_00005
ko:K03671	rrn:RPJ_00010
ko:K00677	rrn:RPJ_00035
ko:K02372	rrn:RPJ_00040
ko:K02536	rrn:RPJ_00045
ko:K07001	rrn:RPJ_00060
ko:K06925	rrn:RPJ_00095
ko:K03210	rrn:RPJ_04945
ko:K03072	rrn:RPJ_04950
ko:K07152	rrn:RPJ_04955
ko:K02197	rrn:RPJ_04960
ko:K03980	rrn:RPJ_04970
ko:K03655	rrn:RPJ_04985
ko:K01028	rrn:RPJ_05005
ko:K01029	rrn:RPJ_05010
ko:K01000	rrn:RPJ_05030
ko:K01929	rrn:RPJ_05035
ko:K01928	rrn:RPJ_05040
ko:K03723	rrn:RPJ_05045
ko:K09159	rrn:RPJ_05050
ko:K02313	rrn:RPJ_05060
ko:K06942	rrn:RPJ_05125
ko:K01056	rrn:RPJ_05140
ko:K02897	rrn:RPJ_05145
ko:K02916	rrn:RPJ_05155
ko:K02887	rrn:RPJ_05160
ko:K02914	rrn:RPJ_05165
ko:K03536	rrn:RPJ_05170
ko:K03284	rrn:RPJ_05195
ko:K13598	rrn:RPJ_05220
ko:K02970	rrn:RPJ_05230
ko:K01462	rrn:RPJ_00485
ko:K03301	rrn:RPJ_00490
ko:K02445	rrn:RPJ_00495
ko:K00940	rrn:RPJ_00500
ko:K03495	rrn:RPJ_00505
ko:K03501	rrn:RPJ_00510
ko:K01627	rrn:RPJ_00535
ko:K01129	rrn:RPJ_00560
ko:K01887	rrn:RPJ_00565
ko:K02621	rrn:RPJ_00575
ko:K01494	rrn:RPJ_00590
ko:K03071	rrn:RPJ_00595
ko:K13584	rrn:RPJ_00600
ko:K06879	rrn:RPJ_00605
ko:K09987	rrn:RPJ_00610
ko:K00325	rrn:RPJ_00615
ko:K07275	rrn:RPJ_00620
ko:K03762	rrn:RPJ_00630
ko:K03075	rrn:RPJ_00645
ko:K01883	rrn:RPJ_00655
ko:K02967	rrn:RPJ_00660
ko:K02357	rrn:RPJ_00665
ko:K02527	rrn:RPJ_00680
ko:K09778	rrn:RPJ_00685
ko:K00812	rrn:RPJ_00690
ko:K04754	rrn:RPJ_00705
ko:K00948	rrn:RPJ_00715
ko:K01775	rrn:RPJ_00730
ko:K02066	rrn:RPJ_00735
ko:K02065	rrn:RPJ_00740
ko:K02946	rrn:RPJ_05570
ko:K02358	rrn:RPJ_05580
ko:K03218	rrn:RPJ_05585
ko:K03531	rrn:RPJ_05610
ko:K08276	rrn:RPJ_05620
ko:K03704	rrn:RPJ_05640
ko:K02528	rrn:RPJ_05645
ko:K04744	rrn:RPJ_05655
ko:K03601	rrn:RPJ_05660
ko:K01142	rrn:RPJ_05675
ko:K03977	rrn:RPJ_05685
ko:K03688	rrn:RPJ_05725
ko:K09815	rrn:RPJ_00100
ko:K00970	rrn:RPJ_00105
ko:K02116	rrn:RPJ_00180
ko:K01409	rrn:RPJ_00380
ko:K12340	rrn:RPJ_01715
ko:K00674	rrn:RPJ_01370
ko:K06147	rrn:RPJ_01500
ko:K03294	rrn:RPJ_02305
ko:K01885	rrn:RPJ_02505
ko:K03386	rrn:RPJ_02525
ko:K01724	rrn:RPJ_01785
ko:K01092	rrn:RPJ_01815
ko:K08738	rrn:RPJ_01895
ko:K06179	rrn:RPJ_01925
ko:K05568	rrn:RPJ_02135
ko:K05568	rrn:RPJ_02150
ko:K05568	rrn:RPJ_02155
ko:K01082	rrn:RPJ_02245
ko:K02258	rrn:RPJ_02285
ko:K11528	rrn:RPJ_04345
ko:K02533	rrn:RPJ_00905
ko:K03593	rrn:RPJ_00925
ko:K00241	rrn:RPJ_00950
ko:K02433	rrn:RPJ_01085
ko:K02427	rrn:RPJ_01150
ko:K01322	rrn:RPJ_01205
ko:K01439	rrn:RPJ_07415
ko:K03177	rrn:RPJ_03725
ko:K00799	rrn:RPJ_03795
ko:K01262	rrn:RPJ_04045
ko:K03294	rrn:RPJ_04050
ko:K13628	rrn:RPJ_04065
ko:K04488	rrn:RPJ_04070
ko:K01823	rrn:RPJ_04145
ko:K01679	rrn:RPJ_05595
ko:K15383	rrn:RPJ_05680
ko:K10563	rrn:RPJ_05735
ko:K06147	rrn:RPJ_05955
ko:K02067	rrn:RPJ_06140
ko:K03469	rrn:RPJ_06150
ko:K09949	rrn:RPJ_06160
ko:K02342	rrn:RPJ_06170
ko:K05833	rrn:RPJ_02795
ko:K04763	rrn:RPJ_02750
ko:K01989	rrn:RPJ_02785
ko:K05832	rrn:RPJ_02790
ko:K01934	rrn:RPJ_04275
ko:K03455	rrn:RPJ_06860
ko:K05524	rrn:RPJ_07055
ko:K06910	rrn:RPJ_07080
ko:K09691	rrn:RPJ_00015
ko:K05570	rrn:RPJ_04730
ko:K00567	rrn:RPJ_04825
ko:K03769	rrn:RPJ_04870
ko:K03574	rrn:RPJ_02950
ko:K11085	rrn:RPJ_03000
ko:K07258	rrn:RPJ_03010
ko:K01297	rrn:RPJ_03075
ko:K02274	rrn:RPJ_03095
ko:K00059	rrn:RPJ_06495
ko:K05794	rrn:RPJ_06675
ko:K02193	rrn:RPJ_06720
ko:K01507	rrn:RPJ_04965
ko:K01965	rrn:RPJ_05275
ko:K01966	rrn:RPJ_05280
ko:K07343	rrn:RPJ_05295
ko:K00568	rrn:RPJ_05305
ko:K01885	rrn:RPJ_05310
ko:K00939	rrn:RPJ_05460
ko:K00135	rrn:RPJ_03475
ko:K03301	rrn:RPJ_03730
ko:K03301	rrn:RPJ_06270
ko:K14235	rrn:RPJ_t07555
ko:K14232	rrn:RPJ_t07607
ko:K16053	rrn:RPJ_00450
ko:K01840	rrn:RPJ_03690
ko:K12262	rrn:RPJ_03360
ko:K14230	rrn:RPJ_t07605
ko:K14222	rrn:RPJ_t07563
ko:K14223	rrn:RPJ_t07575
ko:K07323	rrn:RPJ_00710
ko:K14229	rrn:RPJ_t07565
ko:K14227	rrn:RPJ_t07567
ko:K14221	rrn:RPJ_t07569
ko:K14233	rrn:RPJ_t07571
ko:K14219	rrn:RPJ_t07573
ko:K14223	rrn:RPJ_t07577
ko:K14218	rrn:RPJ_t07579
ko:K14237	rrn:RPJ_t07581
ko:K14233	rrn:RPJ_t07583
ko:K14218	rrn:RPJ_t07587
ko:K14228	rrn:RPJ_t07589
ko:K14237	rrn:RPJ_t07593
ko:K14236	rrn:RPJ_t07597
ko:K14226	rrn:RPJ_t07601
ko:K14233	rrn:RPJ_t07603
ko:K01980	rrn:RPJ_r07619
ko:K14230	rrn:RPJ_t07559
ko:K01985	rrn:RPJ_r07615
ko:K14220	rrn:RPJ_t07561
ko:K01977	rrn:RPJ_r07617
ko:K14230	rrn:RPJ_t07553
ko:K14228	rrn:RPJ_t07611
ko:K14225	rrn:RPJ_t07591
ko:K14231	rrn:RPJ_t07547
ko:K14224	rrn:RPJ_t07549
ko:K14234	rrn:RPJ_t07613
ko:K14219	rrn:RPJ_t07585
ko:K14219	rrn:RPJ_t07609
ko:K14228	rrn:RPJ_t07599
ko:K14225	rrn:RPJ_t07595
ko:K14234	rrn:RPJ_t07551
ko:K14234	rrn:RPJ_t07557
ko:K00335	rrn:RPJ_00880
ko:K02030	rrn:RPJ_01075
ko:K17717	rrn:RPJ_06965
ko:K17716	rrn:RPJ_02565
ko:K14998	rrn:RPJ_06175
ko:K09810	rrn:RPJ_05975
ko:K02488	rrn:RPJ_01805
ko:K02028	rrn:RPJ_07375
ko:K17103	rrn:RPJ_01830
ko:K08316	rrn:RPJ_04490
ko:K05540	rrn:RPJ_00080
ko:K00971	rrn:RPJ_05740
ko:K01791	rrn:RPJ_02570
ko:K12574	rrn:RPJ_03435
ko:K15270	rrn:RPJ_00625
ko:K06867	rrn:RPJ_01730
ko:K06900	rrn:RPJ_05095
ko:K00567	rrn:RPJ_04805
ko:K04096	rrn:RPJ_02515
ko:K02022	rrn:RPJ_02390
ko:K03446	rrn:RPJ_01115
ko:K18588	rrn:RPJ_01165
ko:K18587	rrn:RPJ_05235
ko:K18707	rrn:RPJ_03240
ko:K06147	rrn:RPJ_01605
ko:K07171	rrn:RPJ_00030
ko:K03111	rrn:RPJ_07125
ko:K07473	rrn:RPJ_07390
ko:K03204	rrn:RPJ_02165
ko:K03203	rrn:RPJ_02170
ko:K03203	rrn:RPJ_02180
ko:K03204	rrn:RPJ_02185
ko:K03196	rrn:RPJ_02195
ko:K03205	rrn:RPJ_02200
ko:K03496	rrn:RPJ_00515
ko:K03497	rrn:RPJ_00520
ko:K03201	rrn:RPJ_00805
ko:K03201	rrn:RPJ_00810
ko:K03201	rrn:RPJ_00815
ko:K03201	rrn:RPJ_00820
ko:K03201	rrn:RPJ_00825
ko:K03496	rrn:RPJ_01040
ko:K16898	rrn:RPJ_06180
ko:K16899	rrn:RPJ_03080
ko:K19157	rrn:RPJ_07395
ko:K19159	rrn:RPJ_00695
ko:K07062	rrn:RPJ_07235
ko:K00336	rrn:RPJ_06735
ko:K04771	rrn:RPJ_00940
ko:K09690	rrn:RPJ_00020
ko:K00525	rrn:RPJ_03645
ko:K09796	rrn:RPJ_04795
ko:K04755	rrn:RPJ_01460
ko:K00507	rrn:RPJ_00385
ko:K03198	rrn:RPJ_00795
ko:K03199	rrn:RPJ_06665
ko:K03195	rrn:RPJ_02190
ko:K03199	rrn:RPJ_00800
ko:K03676	rrn:RPJ_01485
ko:K06197	rrn:RPJ_01305
ko:K00287	rrn:RPJ_00215
ko:K00558	rrn:RPJ_00420
ko:K01520	rrn:RPJ_03060
ko:K03465	rrn:RPJ_02270
ko:K03553	rrn:RPJ_06490
ko:K06223	rrn:RPJ_04295
ko:K02314	rrn:RPJ_04455
ko:K01185	rrn:RPJ_07140
ko:K02316	rrn:RPJ_07290
ko:K06889	rrn:RPJ_02600
ko:K06148	rrn:RPJ_02395
ko:K00526	rrn:RPJ_03655
ko:K02335	rrn:RPJ_06585
ko:K21498	rrn:RPJ_02550
ko:K21498	rrn:RPJ_02075
ko:K10026	rrn:RPJ_05150
ko:K21929	rrn:RPJ_07195
ko:K03595	rrn:RPJ_00895
ko:K11991	rrn:RPJ_07065
ko:K02257	rrn:RPJ_02625
