ko:K01488	ect:ECIAI39_1434
ko:K06155	ect:ECIAI39_3896
ko:K00705	ect:ECIAI39_3897
ko:K00688	ect:ECIAI39_3898
ko:K03556	ect:ECIAI39_3899
ko:K01974	ect:ECIAI39_3900
ko:K02444	ect:ECIAI39_3903
ko:K02441	ect:ECIAI39_3904
ko:K02439	ect:ECIAI39_3905
ko:K00111	ect:ECIAI39_3906
ko:K02040	ect:ECIAI39_3907
ko:K02040	ect:ECIAI39_3908
ko:K00688	ect:ECIAI39_3909
ko:K00975	ect:ECIAI39_3911
ko:K02438	ect:ECIAI39_3912
ko:K00700	ect:ECIAI39_3913
ko:K00133	ect:ECIAI39_3914
ko:K04068	ect:ECIAI39_4712
ko:K01226	ect:ECIAI39_4714
ko:K02818	ect:ECIAI39_4715
ko:K02819	ect:ECIAI39_4715
ko:K03485	ect:ECIAI39_4716
ko:K01531	ect:ECIAI39_4717
ko:K09022	ect:ECIAI39_4718
ko:K00610	ect:ECIAI39_4719
ko:K00609	ect:ECIAI39_4720
ko:K00611	ect:ECIAI39_4723
ko:K00926	ect:ECIAI39_4724
ko:K01478	ect:ECIAI39_4725
ko:K00611	ect:ECIAI39_4727
ko:K09893	ect:ECIAI39_4728
ko:K03828	ect:ECIAI39_4729
ko:K01873	ect:ECIAI39_4731
ko:K02339	ect:ECIAI39_4732
ko:K01255	ect:ECIAI39_4733
ko:K07091	ect:ECIAI39_4734
ko:K06915	ect:ECIAI39_4736
ko:K00046	ect:ECIAI39_4739
ko:K00098	ect:ECIAI39_4740
ko:K00851	ect:ECIAI39_4741
ko:K02168	ect:ECIAI39_4755
ko:K09824	ect:ECIAI39_4759
ko:K03184	ect:ECIAI39_0629
ko:K01953	ect:ECIAI39_0631
ko:K02565	ect:ECIAI39_0633
ko:K01443	ect:ECIAI39_0634
ko:K02564	ect:ECIAI39_0635
ko:K02802	ect:ECIAI39_0636
ko:K02803	ect:ECIAI39_0636
ko:K02804	ect:ECIAI39_0636
ko:K01886	ect:ECIAI39_0637
ko:K03839	ect:ECIAI39_0642
ko:K03645	ect:ECIAI39_0645
ko:K03756	ect:ECIAI39_0650
ko:K01581	ect:ECIAI39_0651
ko:K07667	ect:ECIAI39_0653
ko:K07646	ect:ECIAI39_0654
ko:K01548	ect:ECIAI39_0655
ko:K01547	ect:ECIAI39_0656
ko:K01546	ect:ECIAI39_0657
ko:K01669	ect:ECIAI39_0660
ko:K03305	ect:ECIAI39_0661
ko:K07160	ect:ECIAI39_0665
ko:K07120	ect:ECIAI39_0667
ko:K01685	ect:ECIAI39_0673
ko:K07639	ect:ECIAI39_1449
ko:K07661	ect:ECIAI39_1450
ko:K03758	ect:ECIAI39_1453
ko:K00324	ect:ECIAI39_1455
ko:K00325	ect:ECIAI39_1456
ko:K08224	ect:ECIAI39_1462
ko:K01935	ect:ECIAI39_1465
ko:K03281	ect:ECIAI39_1466
ko:K07312	ect:ECIAI39_1468
ko:K09771	ect:ECIAI39_1476
ko:K08323	ect:ECIAI39_1477
ko:K03704	ect:ECIAI39_1499
ko:K03704	ect:ECIAI39_1500
ko:K10541	ect:ECIAI39_2287
ko:K10542	ect:ECIAI39_2288
ko:K10540	ect:ECIAI39_2289
ko:K02529	ect:ECIAI39_2290
ko:K07148	ect:ECIAI39_2291
ko:K01495	ect:ECIAI39_2292
ko:K01151	ect:ECIAI39_2299
ko:K02769	ect:ECIAI39_2307
ko:K02770	ect:ECIAI39_2307
ko:K00882	ect:ECIAI39_2308
ko:K02768	ect:ECIAI39_2309
ko:K11183	ect:ECIAI39_2309
ko:K03291	ect:ECIAI39_2310
ko:K06940	ect:ECIAI39_2311
ko:K02356	ect:ECIAI39_2312
ko:K07552	ect:ECIAI39_2323
ko:K02897	ect:ECIAI39_2326
ko:K06899	ect:ECIAI39_2327
ko:K09904	ect:ECIAI39_2328
ko:K07014	ect:ECIAI39_2329
ko:K07685	ect:ECIAI39_2331
ko:K02200	ect:ECIAI39_2332
ko:K02199	ect:ECIAI39_2333
ko:K02198	ect:ECIAI39_2334
ko:K02526	ect:ECIAI39_3086
ko:K04564	ect:ECIAI39_3087
ko:K02856	ect:ECIAI39_3088
ko:K02854	ect:ECIAI39_3089
ko:K02855	ect:ECIAI39_3090
ko:K00848	ect:ECIAI39_3091
ko:K01629	ect:ECIAI39_3095
ko:K03534	ect:ECIAI39_3096
ko:K02379	ect:ECIAI39_3103
ko:K00123	ect:ECIAI39_3104
ko:K00127	ect:ECIAI39_3107
ko:K02380	ect:ECIAI39_3108
ko:K07560	ect:ECIAI39_3113
ko:K07058	ect:ECIAI39_3114
ko:K06207	ect:ECIAI39_3130
ko:K01915	ect:ECIAI39_3131
ko:K07708	ect:ECIAI39_3132
ko:K07712	ect:ECIAI39_3133
ko:K09894	ect:ECIAI39_3135
ko:K03978	ect:ECIAI39_3136
ko:K02335	ect:ECIAI39_3137
ko:K03654	ect:ECIAI39_3917
ko:K00851	ect:ECIAI39_3919
ko:K06145	ect:ECIAI39_3920
ko:K06911	ect:ECIAI39_3921
ko:K03825	ect:ECIAI39_3923
ko:K00681	ect:ECIAI39_3927
ko:K01126	ect:ECIAI39_3929
ko:K05816	ect:ECIAI39_3930
ko:K05815	ect:ECIAI39_3931
ko:K05814	ect:ECIAI39_3932
ko:K05813	ect:ECIAI39_3933
ko:K01996	ect:ECIAI39_3935
ko:K01995	ect:ECIAI39_3936
ko:K01998	ect:ECIAI39_3937
ko:K01997	ect:ECIAI39_3938
ko:K01999	ect:ECIAI39_3939
ko:K01999	ect:ECIAI39_3941
ko:K03089	ect:ECIAI39_3942
ko:K09811	ect:ECIAI39_3943
ko:K09812	ect:ECIAI39_3944
ko:K03110	ect:ECIAI39_3945
ko:K08993	ect:ECIAI39_3947
ko:K09125	ect:ECIAI39_3952
ko:K07722	ect:ECIAI39_3962
ko:K02013	ect:ECIAI39_4765
ko:K02015	ect:ECIAI39_4766
ko:K02015	ect:ECIAI39_4767
ko:K02016	ect:ECIAI39_4768
ko:K03088	ect:ECIAI39_4771
ko:K07345	ect:ECIAI39_4787
ko:K07347	ect:ECIAI39_4790
ko:K01686	ect:ECIAI39_4795
ko:K00040	ect:ECIAI39_4796
ko:K01305	ect:ECIAI39_4802
ko:K03805	ect:ECIAI39_0582
ko:K03387	ect:ECIAI39_0584
ko:K06140	ect:ECIAI39_0586
ko:K05964	ect:ECIAI39_0590
ko:K01643	ect:ECIAI39_0591
ko:K01644	ect:ECIAI39_0592
ko:K01646	ect:ECIAI39_0593
ko:K01910	ect:ECIAI39_0594
ko:K07700	ect:ECIAI39_0595
ko:K07702	ect:ECIAI39_0596
ko:K03326	ect:ECIAI39_0597
ko:K03704	ect:ECIAI39_0599
ko:K06199	ect:ECIAI39_0600
ko:K03644	ect:ECIAI39_0603
ko:K03801	ect:ECIAI39_0605
ko:K09158	ect:ECIAI39_0606
ko:K07258	ect:ECIAI39_0607
ko:K03642	ect:ECIAI39_0608
ko:K05837	ect:ECIAI39_0609
ko:K05515	ect:ECIAI39_0610
ko:K00783	ect:ECIAI39_0611
ko:K09710	ect:ECIAI39_0612
ko:K00969	ect:ECIAI39_0614
ko:K02340	ect:ECIAI39_0615
ko:K03643	ect:ECIAI39_0616
ko:K01869	ect:ECIAI39_0617
ko:K10004	ect:ECIAI39_0620
ko:K10002	ect:ECIAI39_0621
ko:K10003	ect:ECIAI39_0622
ko:K10001	ect:ECIAI39_0623
ko:K03820	ect:ECIAI39_0624
ko:K06189	ect:ECIAI39_0625
ko:K07042	ect:ECIAI39_0626
ko:K06217	ect:ECIAI39_0627
ko:K04564	ect:ECIAI39_1400
ko:K07390	ect:ECIAI39_1402
ko:K03724	ect:ECIAI39_1403
ko:K03683	ect:ECIAI39_1404
ko:K10680	ect:ECIAI39_1406
ko:K04565	ect:ECIAI39_1409
ko:K06077	ect:ECIAI39_1414
ko:K09001	ect:ECIAI39_1415
ko:K00275	ect:ECIAI39_1417
ko:K01866	ect:ECIAI39_1418
ko:K00868	ect:ECIAI39_1419
ko:K03305	ect:ECIAI39_1421
ko:K10773	ect:ECIAI39_1423
ko:K03613	ect:ECIAI39_1424
ko:K03612	ect:ECIAI39_1425
ko:K03614	ect:ECIAI39_1426
ko:K03615	ect:ECIAI39_1427
ko:K03616	ect:ECIAI39_1428
ko:K03617	ect:ECIAI39_1429
ko:K01195	ect:ECIAI39_1441
ko:K01809	ect:ECIAI39_1445
ko:K06217	ect:ECIAI39_2136
ko:K07224	ect:ECIAI39_2138
ko:K07243	ect:ECIAI39_2139
ko:K09018	ect:ECIAI39_2143
ko:K09021	ect:ECIAI39_2145
ko:K09023	ect:ECIAI39_2146
ko:K09019	ect:ECIAI39_2147
ko:K03809	ect:ECIAI39_2150
ko:K05516	ect:ECIAI39_2154
ko:K07811	ect:ECIAI39_2157
ko:K01676	ect:ECIAI39_1446
ko:K01679	ect:ECIAI39_1447
ko:K10748	ect:ECIAI39_1448
ko:K02238	ect:ECIAI39_2234
ko:K05788	ect:ECIAI39_2235
ko:K02945	ect:ECIAI39_2236
ko:K00945	ect:ECIAI39_2237
ko:K07387	ect:ECIAI39_2238
ko:K00800	ect:ECIAI39_2240
ko:K00831	ect:ECIAI39_2241
ko:K09136	ect:ECIAI39_2243
ko:K00656	ect:ECIAI39_2245
ko:K04069	ect:ECIAI39_2246
ko:K08219	ect:ECIAI39_2250
ko:K07308	ect:ECIAI39_2252
ko:K07306	ect:ECIAI39_2254
ko:K01875	ect:ECIAI39_2255
ko:K07478	ect:ECIAI39_2256
ko:K03634	ect:ECIAI39_2257
ko:K03466	ect:ECIAI39_2260
ko:K00384	ect:ECIAI39_2262
ko:K00684	ect:ECIAI39_2265
ko:K02518	ect:ECIAI39_2266
ko:K03694	ect:ECIAI39_2269
ko:K06891	ect:ECIAI39_2270
ko:K03704	ect:ECIAI39_2272
ko:K09824	ect:ECIAI39_2275
ko:K06188	ect:ECIAI39_2277
ko:K05541	ect:ECIAI39_2279
ko:K01489	ect:ECIAI39_2282
ko:K03748	ect:ECIAI39_2283
ko:K01438	ect:ECIAI39_3032
ko:K01595	ect:ECIAI39_3033
ko:K11202	ect:ECIAI39_3036
ko:K04069	ect:ECIAI39_3037
ko:K00656	ect:ECIAI39_3038
ko:K11202	ect:ECIAI39_3039
ko:K11203	ect:ECIAI39_3040
ko:K08483	ect:ECIAI39_3041
ko:K11189	ect:ECIAI39_3041
ko:K11201	ect:ECIAI39_3041
ko:K00005	ect:ECIAI39_3043
ko:K03764	ect:ECIAI39_3056
ko:K02909	ect:ECIAI39_3058
ko:K11102	ect:ECIAI39_4499
ko:K01808	ect:ECIAI39_4514
ko:K06167	ect:ECIAI39_4516
ko:K05774	ect:ECIAI39_4518
ko:K06162	ect:ECIAI39_4519
ko:K05780	ect:ECIAI39_4520
ko:K05781	ect:ECIAI39_4521
ko:K06163	ect:ECIAI39_4522
ko:K06164	ect:ECIAI39_4523
ko:K06165	ect:ECIAI39_4524
ko:K06166	ect:ECIAI39_4525
ko:K02043	ect:ECIAI39_4526
ko:K02042	ect:ECIAI39_4527
ko:K02044	ect:ECIAI39_4528
ko:K02041	ect:ECIAI39_4529
ko:K06193	ect:ECIAI39_4531
ko:K07643	ect:ECIAI39_4536
ko:K01584	ect:ECIAI39_4541
ko:K02400	ect:ECIAI39_0420
ko:K03271	ect:ECIAI39_0430
ko:K06445	ect:ECIAI39_0431
ko:K02342	ect:ECIAI39_0434
ko:K03469	ect:ECIAI39_0435
ko:K08307	ect:ECIAI39_0438
ko:K06222	ect:ECIAI39_0442
ko:K03273	ect:ECIAI39_0443
ko:K02071	ect:ECIAI39_0444
ko:K02072	ect:ECIAI39_0445
ko:K02073	ect:ECIAI39_0446
ko:K06080	ect:ECIAI39_0447
ko:K01881	ect:ECIAI39_0449
ko:K07340	ect:ECIAI39_0465
ko:K01665	ect:ECIAI39_1240
ko:K09917	ect:ECIAI39_1241
ko:K07285	ect:ECIAI39_1247
ko:K03684	ect:ECIAI39_1249
ko:K03451	ect:ECIAI39_1252
ko:K11250	ect:ECIAI39_1255
ko:K09712	ect:ECIAI39_1260
ko:K03449	ect:ECIAI39_1262
ko:K09786	ect:ECIAI39_1269
ko:K07180	ect:ECIAI39_1270
ko:K00134	ect:ECIAI39_1274
ko:K07305	ect:ECIAI39_1275
ko:K09916	ect:ECIAI39_1276
ko:K08369	ect:ECIAI39_1278
ko:K08369	ect:ECIAI39_1286
ko:K04773	ect:ECIAI39_1289
ko:K01008	ect:ECIAI39_1292
ko:K03169	ect:ECIAI39_1293
ko:K02393	ect:ECIAI39_2084
ko:K02392	ect:ECIAI39_2085
ko:K02391	ect:ECIAI39_2086
ko:K02390	ect:ECIAI39_2087
ko:K02389	ect:ECIAI39_2088
ko:K02388	ect:ECIAI39_2089
ko:K02387	ect:ECIAI39_2090
ko:K02386	ect:ECIAI39_2091
ko:K02398	ect:ECIAI39_2092
ko:K02399	ect:ECIAI39_2093
ko:K03980	ect:ECIAI39_2094
ko:K09915	ect:ECIAI39_2096
ko:K03790	ect:ECIAI39_2097
ko:K08162	ect:ECIAI39_2098
ko:K03675	ect:ECIAI39_2099
ko:K01465	ect:ECIAI39_2101
ko:K02846	ect:ECIAI39_2104
ko:K07146	ect:ECIAI39_2109
ko:K02517	ect:ECIAI39_2110
ko:K03669	ect:ECIAI39_2114
ko:K03670	ect:ECIAI39_2115
ko:K04337	ect:ECIAI39_2124
ko:K04338	ect:ECIAI39_2125
ko:K06214	ect:ECIAI39_2126
ko:K04477	ect:ECIAI39_2129
ko:K00998	ect:ECIAI39_2793
ko:K05811	ect:ECIAI39_2794
ko:K03761	ect:ECIAI39_2795
ko:K03695	ect:ECIAI39_2797
ko:K05810	ect:ECIAI39_2798
ko:K06180	ect:ECIAI39_2799
ko:K05807	ect:ECIAI39_2800
ko:K05809	ect:ECIAI39_2802
ko:K01626	ect:ECIAI39_2805
ko:K02884	ect:ECIAI39_2810
ko:K00554	ect:ECIAI39_2811
ko:K02860	ect:ECIAI39_2812
ko:K02959	ect:ECIAI39_2813
ko:K03106	ect:ECIAI39_2814
ko:K03687	ect:ECIAI39_2817
ko:K00858	ect:ECIAI39_2818
ko:K03631	ect:ECIAI39_2819
ko:K06186	ect:ECIAI39_2820
ko:K09801	ect:ECIAI39_2821
ko:K03664	ect:ECIAI39_2823
ko:K00558	ect:ECIAI39_2825
ko:K01752	ect:ECIAI39_3613
ko:K00656	ect:ECIAI39_3615
ko:K01754	ect:ECIAI39_3618
ko:K00865	ect:ECIAI39_3623
ko:K02745	ect:ECIAI39_3632
ko:K02746	ect:ECIAI39_3633
ko:K02747	ect:ECIAI39_3634
ko:K02744	ect:ECIAI39_3635
ko:K02079	ect:ECIAI39_3636
ko:K02082	ect:ECIAI39_3637
ko:K08302	ect:ECIAI39_3638
ko:K07056	ect:ECIAI39_3643
ko:K07121	ect:ECIAI39_3644
ko:K07460	ect:ECIAI39_3645
ko:K07089	ect:ECIAI39_3648
ko:K07461	ect:ECIAI39_3652
ko:K03824	ect:ECIAI39_3653
ko:K08303	ect:ECIAI39_3655
ko:K03835	ect:ECIAI39_3658
ko:K05592	ect:ECIAI39_3659
ko:K05803	ect:ECIAI39_3660
ko:K00962	ect:ECIAI39_3661
ko:K02956	ect:ECIAI39_3662
ko:K03177	ect:ECIAI39_3663
ko:K00928	ect:ECIAI39_4446
ko:K01810	ect:ECIAI39_4447
ko:K10110	ect:ECIAI39_4453
ko:K10108	ect:ECIAI39_4455
ko:K10111	ect:ECIAI39_4456
ko:K05775	ect:ECIAI39_4458
ko:K03181	ect:ECIAI39_4460
ko:K03179	ect:ECIAI39_4461
ko:K00631	ect:ECIAI39_4462
ko:K00901	ect:ECIAI39_4463
ko:K01356	ect:ECIAI39_4464
ko:K03327	ect:ECIAI39_4465
ko:K09823	ect:ECIAI39_4467
ko:K05539	ect:ECIAI39_4469
ko:K02314	ect:ECIAI39_4472
ko:K01775	ect:ECIAI39_4473
ko:K03788	ect:ECIAI39_4476
ko:K03701	ect:ECIAI39_4479
ko:K03111	ect:ECIAI39_4480
ko:K06901	ect:ECIAI39_4485
ko:K00926	ect:ECIAI39_0364
ko:K02168	ect:ECIAI39_0372
ko:K02167	ect:ECIAI39_0373
ko:K00782	ect:ECIAI39_0377
ko:K02909	ect:ECIAI39_0394
ko:K02919	ect:ECIAI39_0395
ko:K08996	ect:ECIAI39_0406
ko:K00147	ect:ECIAI39_0408
ko:K00931	ect:ECIAI39_0409
ko:K00769	ect:ECIAI39_0413
ko:K02839	ect:ECIAI39_0415
ko:K03830	ect:ECIAI39_0417
ko:K02346	ect:ECIAI39_0418
ko:K02557	ect:ECIAI39_0419
ko:K03551	ect:ECIAI39_1189
ko:K03743	ect:ECIAI39_2886
ko:K02783	ect:ECIAI39_2888
ko:K02782	ect:ECIAI39_2889
ko:K02783	ect:ECIAI39_2889
ko:K02781	ect:ECIAI39_2890
ko:K00068	ect:ECIAI39_2891
ko:K02466	ect:ECIAI39_2892
ko:K02467	ect:ECIAI39_2894
ko:K04656	ect:ECIAI39_2898
ko:K05796	ect:ECIAI39_2899
ko:K01223	ect:ECIAI39_2902
ko:K08315	ect:ECIAI39_2905
ko:K04651	ect:ECIAI39_2915
ko:K04652	ect:ECIAI39_2916
ko:K04653	ect:ECIAI39_2917
ko:K04654	ect:ECIAI39_2918
ko:K04655	ect:ECIAI39_2919
ko:K03555	ect:ECIAI39_2923
ko:K03186	ect:ECIAI39_2927
ko:K06194	ect:ECIAI39_2930
ko:K00573	ect:ECIAI39_2932
ko:K03787	ect:ECIAI39_2933
ko:K06176	ect:ECIAI39_2934
ko:K01770	ect:ECIAI39_2935
ko:K00991	ect:ECIAI39_2936
ko:K05589	ect:ECIAI39_2937
ko:K01788	ect:ECIAI39_3712
ko:K03290	ect:ECIAI39_3713
ko:K01639	ect:ECIAI39_3714
ko:K03326	ect:ECIAI39_3716
ko:K03600	ect:ECIAI39_3717
ko:K03599	ect:ECIAI39_3718
ko:K02996	ect:ECIAI39_3720
ko:K02871	ect:ECIAI39_3721
ko:K06916	ect:ECIAI39_3722
ko:K09908	ect:ECIAI39_3723
ko:K03402	ect:ECIAI39_3728
ko:K03623	ect:ECIAI39_3730
ko:K03568	ect:ECIAI39_3735
ko:K08301	ect:ECIAI39_3739
ko:K06287	ect:ECIAI39_3740
ko:K03571	ect:ECIAI39_3741
ko:K03570	ect:ECIAI39_3742
ko:K03569	ect:ECIAI39_3743
ko:K02160	ect:ECIAI39_3747
ko:K10440	ect:ECIAI39_3751
ko:K10441	ect:ECIAI39_3752
ko:K10439	ect:ECIAI39_3753
ko:K08302	ect:ECIAI39_3754
ko:K02687	ect:ECIAI39_3759
ko:K03557	ect:ECIAI39_3761
ko:K07406	ect:ECIAI39_4543
ko:K08984	ect:ECIAI39_4545
ko:K01676	ect:ECIAI39_4546
ko:K07792	ect:ECIAI39_4547
ko:K07703	ect:ECIAI39_4549
ko:K07701	ect:ECIAI39_4550
ko:K06975	ect:ECIAI39_4554
ko:K04567	ect:ECIAI39_4557
ko:K03305	ect:ECIAI39_4558
ko:K09816	ect:ECIAI39_1190
ko:K09817	ect:ECIAI39_1191
ko:K09815	ect:ECIAI39_1192
ko:K02560	ect:ECIAI39_1194
ko:K00873	ect:ECIAI39_1195
ko:K00036	ect:ECIAI39_1198
ko:K01690	ect:ECIAI39_1199
ko:K01625	ect:ECIAI39_1200
ko:K08289	ect:ECIAI39_1201
ko:K09918	ect:ECIAI39_1202
ko:K01354	ect:ECIAI39_1205
ko:K10857	ect:ECIAI39_1206
ko:K02345	ect:ECIAI39_1208
ko:K07156	ect:ECIAI39_1209
ko:K07313	ect:ECIAI39_1212
ko:K11392	ect:ECIAI39_1215
ko:K03808	ect:ECIAI39_1217
ko:K03607	ect:ECIAI39_1219
ko:K03797	ect:ECIAI39_1220
ko:K03799	ect:ECIAI39_1221
ko:K08169	ect:ECIAI39_1222
ko:K03704	ect:ECIAI39_1229
ko:K00563	ect:ECIAI39_1230
ko:K02796	ect:ECIAI39_1233
ko:K02795	ect:ECIAI39_1234
ko:K02793	ect:ECIAI39_1235
ko:K02794	ect:ECIAI39_1235
ko:K01752	ect:ECIAI39_1238
ko:K11071	ect:ECIAI39_2035
ko:K11070	ect:ECIAI39_2036
ko:K11069	ect:ECIAI39_2037
ko:K09808	ect:ECIAI39_2042
ko:K09808	ect:ECIAI39_2044
ko:K03723	ect:ECIAI39_2046
ko:K03885	ect:ECIAI39_2051
ko:K07000	ect:ECIAI39_2052
ko:K01207	ect:ECIAI39_2053
ko:K07337	ect:ECIAI39_2055
ko:K03424	ect:ECIAI39_2061
ko:K02341	ect:ECIAI39_2062
ko:K00943	ect:ECIAI39_2063
ko:K07082	ect:ECIAI39_2064
ko:K02619	ect:ECIAI39_2065
ko:K09458	ect:ECIAI39_2066
ko:K02078	ect:ECIAI39_2067
ko:K00059	ect:ECIAI39_2068
ko:K00645	ect:ECIAI39_2069
ko:K00648	ect:ECIAI39_2070
ko:K03621	ect:ECIAI39_2071
ko:K02911	ect:ECIAI39_2072
ko:K07040	ect:ECIAI39_2073
ko:K06179	ect:ECIAI39_2075
ko:K08300	ect:ECIAI39_2076
ko:K02397	ect:ECIAI39_2079
ko:K02396	ect:ECIAI39_2080
ko:K02395	ect:ECIAI39_2081
ko:K00135	ect:ECIAI39_2847
ko:K03532	ect:ECIAI39_2158
ko:K07772	ect:ECIAI39_2159
ko:K07647	ect:ECIAI39_2161
ko:K03704	ect:ECIAI39_2164
ko:K03704	ect:ECIAI39_2165
ko:K00426	ect:ECIAI39_2167
ko:K00425	ect:ECIAI39_2168
ko:K03618	ect:ECIAI39_2169
ko:K03619	ect:ECIAI39_2170
ko:K03620	ect:ECIAI39_2172
ko:K06281	ect:ECIAI39_2173
ko:K06282	ect:ECIAI39_2174
ko:K11179	ect:ECIAI39_2176
ko:K01512	ect:ECIAI39_2177
ko:K06969	ect:ECIAI39_2178
ko:K06929	ect:ECIAI39_2180
ko:K09909	ect:ECIAI39_2182
ko:K01734	ect:ECIAI39_2183
ko:K00860	ect:ECIAI39_2939
ko:K00957	ect:ECIAI39_2941
ko:K00390	ect:ECIAI39_2944
ko:K00381	ect:ECIAI39_2945
ko:K00380	ect:ECIAI39_2946
ko:K01737	ect:ECIAI39_2947
ko:K00313	ect:ECIAI39_2948
ko:K00847	ect:ECIAI39_2963
ko:K02809	ect:ECIAI39_2965
ko:K02810	ect:ECIAI39_2965
ko:K10026	ect:ECIAI39_2968
ko:K06872	ect:ECIAI39_2970
ko:K03657	ect:ECIAI39_2974
ko:K03733	ect:ECIAI39_2976
ko:K09921	ect:ECIAI39_2977
ko:K01778	ect:ECIAI39_2978
ko:K06202	ect:ECIAI39_2983
ko:K05851	ect:ECIAI39_2984
ko:K01749	ect:ECIAI39_2985
ko:K01719	ect:ECIAI39_2986
ko:K02496	ect:ECIAI39_2987
ko:K02498	ect:ECIAI39_2988
ko:K06871	ect:ECIAI39_2990
ko:K09969	ect:ECIAI39_3769
ko:K09970	ect:ECIAI39_3770
ko:K09971	ect:ECIAI39_3771
ko:K09972	ect:ECIAI39_3772
ko:K00014	ect:ECIAI39_3775
ko:K07566	ect:ECIAI39_3776
ko:K07479	ect:ECIAI39_3777
ko:K03747	ect:ECIAI39_3778
ko:K01462	ect:ECIAI39_3781
ko:K00604	ect:ECIAI39_3782
ko:K03500	ect:ECIAI39_3783
ko:K03499	ect:ECIAI39_3784
ko:K03282	ect:ECIAI39_3785
ko:K09890	ect:ECIAI39_3786
ko:K02879	ect:ECIAI39_3789
ko:K03040	ect:ECIAI39_3790
ko:K02986	ect:ECIAI39_3791
ko:K02948	ect:ECIAI39_3792
ko:K02952	ect:ECIAI39_3793
ko:K03076	ect:ECIAI39_3794
ko:K02876	ect:ECIAI39_3795
ko:K02907	ect:ECIAI39_3796
ko:K02988	ect:ECIAI39_3797
ko:K02881	ect:ECIAI39_3798
ko:K02933	ect:ECIAI39_3799
ko:K02994	ect:ECIAI39_3800
ko:K02954	ect:ECIAI39_3801
ko:K02931	ect:ECIAI39_3802
ko:K02895	ect:ECIAI39_3803
ko:K02874	ect:ECIAI39_3804
ko:K02961	ect:ECIAI39_3805
ko:K02904	ect:ECIAI39_3806
ko:K02878	ect:ECIAI39_3807
ko:K02982	ect:ECIAI39_3808
ko:K02890	ect:ECIAI39_3809
ko:K02965	ect:ECIAI39_3810
ko:K02886	ect:ECIAI39_3811
ko:K02892	ect:ECIAI39_3812
ko:K04084	ect:ECIAI39_4601
ko:K03926	ect:ECIAI39_4602
ko:K01744	ect:ECIAI39_4604
ko:K07113	ect:ECIAI39_4605
ko:K04078	ect:ECIAI39_4607
ko:K04077	ect:ECIAI39_4608
ko:K02356	ect:ECIAI39_4612
ko:K03098	ect:ECIAI39_4616
ko:K00246	ect:ECIAI39_4619
ko:K00245	ect:ECIAI39_4620
ko:K04568	ect:ECIAI39_4622
ko:K01613	ect:ECIAI39_4625
ko:K06949	ect:ECIAI39_4626
ko:K06925	ect:ECIAI39_4632
ko:K01448	ect:ECIAI39_4633
ko:K03572	ect:ECIAI39_4634
ko:K00791	ect:ECIAI39_4636
ko:K03666	ect:ECIAI39_4637
ko:K03665	ect:ECIAI39_4638
ko:K04088	ect:ECIAI39_4639
ko:K04087	ect:ECIAI39_4640
ko:K09937	ect:ECIAI39_4641
