ko:K03741	fpo:FPG3_10060
ko:K02805	fpo:FPG3_03150
ko:K16703	fpo:FPG3_03170
ko:K06941	fpo:FPG3_07560
ko:K02523	fpo:FPG3_07570
ko:K03088	fpo:FPG3_07575
ko:K01916	fpo:FPG3_07610
ko:K03978	fpo:FPG3_07625
ko:K03925	fpo:FPG3_07635
ko:K03438	fpo:FPG3_07640
ko:K03587	fpo:FPG3_07650
ko:K01928	fpo:FPG3_07655
ko:K01000	fpo:FPG3_07660
ko:K01925	fpo:FPG3_07665
ko:K03588	fpo:FPG3_07670
ko:K02563	fpo:FPG3_07675
ko:K01924	fpo:FPG3_07680
ko:K03589	fpo:FPG3_07685
ko:K03590	fpo:FPG3_07690
ko:K03531	fpo:FPG3_07695
ko:K09117	fpo:FPG3_07710
ko:K09933	fpo:FPG3_07720
ko:K01783	fpo:FPG3_07725
ko:K03086	fpo:FPG3_07730
ko:K00962	fpo:FPG3_07740
ko:K02956	fpo:FPG3_07745
ko:K01669	fpo:FPG3_07755
ko:K06876	fpo:FPG3_07760
ko:K01669	fpo:FPG3_07765
ko:K01673	fpo:FPG3_07825
ko:K03975	fpo:FPG3_07830
ko:K11752	fpo:FPG3_07845
ko:K03828	fpo:FPG3_07850
ko:K02613	fpo:FPG3_12390
ko:K00761	fpo:FPG3_12405
ko:K01945	fpo:FPG3_12420
ko:K01912	fpo:FPG3_12425
ko:K03606	fpo:FPG3_12435
ko:K00067	fpo:FPG3_12445
ko:K01790	fpo:FPG3_12450
ko:K03116	fpo:FPG3_12480
ko:K06959	fpo:FPG3_12485
ko:K16264	fpo:FPG3_12495
ko:K01808	fpo:FPG3_12505
ko:K02342	fpo:FPG3_03510
ko:K02970	fpo:FPG3_03540
ko:K03733	fpo:FPG3_03545
ko:K05808	fpo:FPG3_03550
ko:K02358	fpo:FPG3_03570
ko:K03073	fpo:FPG3_03580
ko:K02601	fpo:FPG3_03585
ko:K02867	fpo:FPG3_03590
ko:K02863	fpo:FPG3_03595
ko:K02864	fpo:FPG3_03600
ko:K02935	fpo:FPG3_03605
ko:K03043	fpo:FPG3_03610
ko:K03046	fpo:FPG3_03615
ko:K02837	fpo:FPG3_03625
ko:K03771	fpo:FPG3_03645
ko:K03771	fpo:FPG3_03650
ko:K03924	fpo:FPG3_03660
ko:K16216	fpo:FPG3_03665
ko:K01681	fpo:FPG3_03675
ko:K09794	fpo:FPG3_03685
ko:K09792	fpo:FPG3_03690
ko:K00406	fpo:FPG3_03705
ko:K15862	fpo:FPG3_03715
ko:K03921	fpo:FPG3_03720
ko:K17686	fpo:FPG3_03730
ko:K03572	fpo:FPG3_03760
ko:K09888	fpo:FPG3_03770
ko:K11085	fpo:FPG3_03800
ko:K06997	fpo:FPG3_08485
ko:K00074	fpo:FPG3_08495
ko:K00573	fpo:FPG3_08505
ko:K03711	fpo:FPG3_08535
ko:K01939	fpo:FPG3_08540
ko:K03217	fpo:FPG3_08550
ko:K01937	fpo:FPG3_08555
ko:K09954	fpo:FPG3_08560
ko:K01951	fpo:FPG3_08580
ko:K03664	fpo:FPG3_08635
ko:K01284	fpo:FPG3_08640
ko:K00554	fpo:FPG3_08650
ko:K02884	fpo:FPG3_08655
ko:K00031	fpo:FPG3_08665
ko:K03437	fpo:FPG3_08695
ko:K00951	fpo:FPG3_08700
ko:K00783	fpo:FPG3_08730
ko:K13771	fpo:FPG3_08740
ko:K05916	fpo:FPG3_08745
ko:K00767	fpo:FPG3_08750
ko:K07058	fpo:FPG3_08755
ko:K04066	fpo:FPG3_08765
ko:K02990	fpo:FPG3_08775
ko:K12573	fpo:FPG3_00005
ko:K01633	fpo:FPG3_00025
ko:K01886	fpo:FPG3_00030
ko:K01885	fpo:FPG3_00055
ko:K03495	fpo:FPG3_00070
ko:K06142	fpo:FPG3_00080
ko:K02015	fpo:FPG3_04455
ko:K02016	fpo:FPG3_04460
ko:K02231	fpo:FPG3_04470
ko:K00768	fpo:FPG3_04475
ko:K02233	fpo:FPG3_04480
ko:K02226	fpo:FPG3_04485
ko:K02014	fpo:FPG3_04490
ko:K03088	fpo:FPG3_04500
ko:K15746	fpo:FPG3_04520
ko:K10027	fpo:FPG3_04530
ko:K00891	fpo:FPG3_04560
ko:K02825	fpo:FPG3_04565
ko:K04762	fpo:FPG3_04575
ko:K02342	fpo:FPG3_04585
ko:K03742	fpo:FPG3_04605
ko:K02902	fpo:FPG3_04610
ko:K02913	fpo:FPG3_04615
ko:K03110	fpo:FPG3_04625
ko:K01803	fpo:FPG3_04630
ko:K00796	fpo:FPG3_04650
ko:K06173	fpo:FPG3_04670
ko:K06287	fpo:FPG3_04675
ko:K03179	fpo:FPG3_04680
ko:K03270	fpo:FPG3_04685
ko:K00432	fpo:FPG3_04700
ko:K00940	fpo:FPG3_04745
ko:K03386	fpo:FPG3_09400
ko:K07516	fpo:FPG3_09430
ko:K00681	fpo:FPG3_09440
ko:K01897	fpo:FPG3_09445
ko:K07305	fpo:FPG3_09450
ko:K07305	fpo:FPG3_09455
ko:K06902	fpo:FPG3_09470
ko:K01338	fpo:FPG3_09475
ko:K00945	fpo:FPG3_09485
ko:K11537	fpo:FPG3_09490
ko:K00809	fpo:FPG3_09500
ko:K01585	fpo:FPG3_09505
ko:K01735	fpo:FPG3_09515
ko:K00318	fpo:FPG3_09520
ko:K00784	fpo:FPG3_09525
ko:K00275	fpo:FPG3_09530
ko:K03744	fpo:FPG3_09540
ko:K11927	fpo:FPG3_09545
ko:K01479	fpo:FPG3_09550
ko:K01873	fpo:FPG3_09560
ko:K00812	fpo:FPG3_09575
ko:K01546	fpo:FPG3_09595
ko:K01547	fpo:FPG3_09600
ko:K01548	fpo:FPG3_09605
ko:K07646	fpo:FPG3_09615
ko:K07112	fpo:FPG3_09635
ko:K07112	fpo:FPG3_09640
ko:K06891	fpo:FPG3_09655
ko:K02687	fpo:FPG3_09660
ko:K03823	fpo:FPG3_09670
ko:K02551	fpo:FPG3_09675
ko:K07114	fpo:FPG3_00740
ko:K03924	fpo:FPG3_00780
ko:K06193	fpo:FPG3_00800
ko:K00057	fpo:FPG3_00805
ko:K08325	fpo:FPG3_00810
ko:K00969	fpo:FPG3_00815
ko:K01810	fpo:FPG3_00825
ko:K02897	fpo:FPG3_00830
ko:K00948	fpo:FPG3_00835
ko:K01262	fpo:FPG3_00865
ko:K00639	fpo:FPG3_00885
ko:K04564	fpo:FPG3_00895
ko:K01866	fpo:FPG3_00900
ko:K01465	fpo:FPG3_00915
ko:K00721	fpo:FPG3_00920
ko:K01719	fpo:FPG3_01010
ko:K13766	fpo:FPG3_01015
ko:K15034	fpo:FPG3_01020
ko:K03811	fpo:FPG3_01030
ko:K01495	fpo:FPG3_05395
ko:K01883	fpo:FPG3_05400
ko:K08998	fpo:FPG3_05405
ko:K03524	fpo:FPG3_05415
ko:K09710	fpo:FPG3_05420
ko:K03798	fpo:FPG3_05425
ko:K00981	fpo:FPG3_05435
ko:K01613	fpo:FPG3_05440
ko:K00773	fpo:FPG3_05465
ko:K11720	fpo:FPG3_05470
ko:K01962	fpo:FPG3_05480
ko:K00384	fpo:FPG3_05490
ko:K03549	fpo:FPG3_05515
ko:K03088	fpo:FPG3_05535
ko:K03650	fpo:FPG3_05545
ko:K09810	fpo:FPG3_05555
ko:K07304	fpo:FPG3_05560
ko:K01495	fpo:FPG3_05565
ko:K00058	fpo:FPG3_05590
ko:K00831	fpo:FPG3_05595
ko:K06942	fpo:FPG3_05615
ko:K02014	fpo:FPG3_05620
ko:K02622	fpo:FPG3_05625
ko:K02621	fpo:FPG3_05640
ko:K06180	fpo:FPG3_05650
ko:K01921	fpo:FPG3_05660
ko:K00954	fpo:FPG3_05665
ko:K03386	fpo:FPG3_10315
ko:K00405	fpo:FPG3_10340
ko:K00404	fpo:FPG3_10345
ko:K09810	fpo:FPG3_10350
ko:K09808	fpo:FPG3_10355
ko:K09858	fpo:FPG3_10390
ko:K03585	fpo:FPG3_10400
ko:K01895	fpo:FPG3_10455
ko:K02342	fpo:FPG3_10460
ko:K07182	fpo:FPG3_10465
ko:K16053	fpo:FPG3_10490
ko:K03574	fpo:FPG3_10500
ko:K11755	fpo:FPG3_10510
ko:K02500	fpo:FPG3_10515
ko:K01814	fpo:FPG3_10520
ko:K02501	fpo:FPG3_10525
ko:K01089	fpo:FPG3_10530
ko:K00817	fpo:FPG3_10535
ko:K00013	fpo:FPG3_10540
ko:K00765	fpo:FPG3_10545
ko:K00059	fpo:FPG3_10570
ko:K02343	fpo:FPG3_10575
ko:K07007	fpo:FPG3_01690
ko:K01597	fpo:FPG3_01700
ko:K00869	fpo:FPG3_01715
ko:K03179	fpo:FPG3_01720
ko:K06178	fpo:FPG3_01725
ko:K01963	fpo:FPG3_01760
ko:K01624	fpo:FPG3_01765
ko:K03147	fpo:FPG3_02270
ko:K00788	fpo:FPG3_02275
ko:K00941	fpo:FPG3_02280
ko:K00788	fpo:FPG3_02285
ko:K03149	fpo:FPG3_02290
ko:K03150	fpo:FPG3_02295
ko:K09903	fpo:FPG3_02305
ko:K02838	fpo:FPG3_02310
ko:K01754	fpo:FPG3_02355
ko:K00053	fpo:FPG3_02360
ko:K01653	fpo:FPG3_02365
ko:K01652	fpo:FPG3_02370
ko:K01687	fpo:FPG3_02375
ko:K00826	fpo:FPG3_02380
ko:K02357	fpo:FPG3_02395
ko:K02967	fpo:FPG3_02400
ko:K02996	fpo:FPG3_02405
ko:K02871	fpo:FPG3_02410
ko:K05595	fpo:FPG3_02435
ko:K03797	fpo:FPG3_02450
ko:K09748	fpo:FPG3_02480
ko:K02600	fpo:FPG3_02485
ko:K02519	fpo:FPG3_02490
ko:K03437	fpo:FPG3_01775
ko:K03183	fpo:FPG3_01785
ko:K08999	fpo:FPG3_01810
ko:K03522	fpo:FPG3_01815
ko:K03521	fpo:FPG3_01820
ko:K00162	fpo:FPG3_01825
ko:K01507	fpo:FPG3_01835
ko:K02337	fpo:FPG3_01845
ko:K02959	fpo:FPG3_01865
ko:K02860	fpo:FPG3_01870
ko:K15460	fpo:FPG3_01875
ko:K00252	fpo:FPG3_01880
ko:K00942	fpo:FPG3_01885
ko:K01760	fpo:FPG3_01915
ko:K07658	fpo:FPG3_01935
ko:K07636	fpo:FPG3_01940
ko:K02040	fpo:FPG3_01950
ko:K02037	fpo:FPG3_01955
ko:K00605	fpo:FPG3_06280
ko:K01745	fpo:FPG3_06290
ko:K13653	fpo:FPG3_06295
ko:K03718	fpo:FPG3_06320
ko:K06966	fpo:FPG3_06330
ko:K03701	fpo:FPG3_06335
ko:K01840	fpo:FPG3_06345
ko:K02517	fpo:FPG3_06360
ko:K09807	fpo:FPG3_06370
ko:K04043	fpo:FPG3_06380
ko:K03657	fpo:FPG3_06400
ko:K01354	fpo:FPG3_06430
ko:K01697	fpo:FPG3_06435
ko:K02836	fpo:FPG3_06445
ko:K01620	fpo:FPG3_06450
ko:K09747	fpo:FPG3_06455
ko:K07462	fpo:FPG3_06460
ko:K15726	fpo:FPG3_06480
ko:K15727	fpo:FPG3_06485
ko:K01752	fpo:FPG3_06500
ko:K00606	fpo:FPG3_06505
ko:K06180	fpo:FPG3_06515
ko:K00128	fpo:FPG3_06520
ko:K02887	fpo:FPG3_06545
ko:K02916	fpo:FPG3_06550
ko:K02520	fpo:FPG3_06555
ko:K01868	fpo:FPG3_06560
ko:K03832	fpo:FPG3_11215
ko:K03561	fpo:FPG3_11230
ko:K06915	fpo:FPG3_11235
ko:K00486	fpo:FPG3_11240
ko:K01434	fpo:FPG3_11245
ko:K01480	fpo:FPG3_11250
ko:K01556	fpo:FPG3_11255
ko:K02899	fpo:FPG3_11265
ko:K02888	fpo:FPG3_11270
ko:K00343	fpo:FPG3_11275
ko:K00342	fpo:FPG3_11280
ko:K00341	fpo:FPG3_11285
ko:K00340	fpo:FPG3_11290
ko:K00339	fpo:FPG3_11295
ko:K00338	fpo:FPG3_11300
ko:K00337	fpo:FPG3_11305
ko:K00334	fpo:FPG3_11325
ko:K00333	fpo:FPG3_11330
ko:K00332	fpo:FPG3_11335
ko:K00331	fpo:FPG3_11340
ko:K00330	fpo:FPG3_11345
ko:K06894	fpo:FPG3_11355
ko:K05367	fpo:FPG3_11360
ko:K00452	fpo:FPG3_11365
ko:K03596	fpo:FPG3_11400
ko:K03565	fpo:FPG3_11405
ko:K00655	fpo:FPG3_11420
ko:K01867	fpo:FPG3_11425
ko:K01737	fpo:FPG3_11430
ko:K03092	fpo:FPG3_11435
ko:K01893	fpo:FPG3_11440
ko:K07003	fpo:FPG3_11450
ko:K01912	fpo:FPG3_11460
ko:K02372	fpo:FPG3_11490
ko:K01929	fpo:FPG3_02535
ko:K01489	fpo:FPG3_02555
ko:K00161	fpo:FPG3_02560
ko:K00627	fpo:FPG3_02565
ko:K00971	fpo:FPG3_02580
ko:K07318	fpo:FPG3_02585
ko:K00684	fpo:FPG3_11805
ko:K01246	fpo:FPG3_11815
ko:K03177	fpo:FPG3_11830
ko:K06153	fpo:FPG3_11835
ko:K09811	fpo:FPG3_11845
ko:K01869	fpo:FPG3_11865
ko:K06973	fpo:FPG3_11870
ko:K03624	fpo:FPG3_11880
ko:K02503	fpo:FPG3_11885
ko:K01372	fpo:FPG3_11895
ko:K02014	fpo:FPG3_11900
ko:K03269	fpo:FPG3_11905
ko:K03718	fpo:FPG3_11910
ko:K01610	fpo:FPG3_11925
ko:K03536	fpo:FPG3_11930
ko:K01961	fpo:FPG3_11935
ko:K02160	fpo:FPG3_11940
ko:K00648	fpo:FPG3_11945
ko:K02911	fpo:FPG3_11950
ko:K00097	fpo:FPG3_11960
ko:K00793	fpo:FPG3_11965
ko:K02426	fpo:FPG3_11985
ko:K11717	fpo:FPG3_11995
ko:K09015	fpo:FPG3_12005
ko:K09013	fpo:FPG3_12010
ko:K09014	fpo:FPG3_12015
ko:K13628	fpo:FPG3_12020
ko:K04755	fpo:FPG3_12045
ko:K13789	fpo:FPG3_12075
ko:K02909	fpo:FPG3_03825
ko:K00215	fpo:FPG3_03865
ko:K03100	fpo:FPG3_03870
