ko:K01139	kpq:KPR0928_25190
ko:K03545	kpq:KPR0928_05625
ko:K01358	kpq:KPR0928_05630
ko:K03544	kpq:KPR0928_05635
ko:K01338	kpq:KPR0928_05640
ko:K03530	kpq:KPR0928_05645
ko:K03770	kpq:KPR0928_05650
ko:K02237	kpq:KPR0928_05655
ko:K12500	kpq:KPR0928_05660
ko:K06920	kpq:KPR0928_05665
ko:K11938	kpq:KPR0928_05675
ko:K01738	kpq:KPR0928_05680
ko:K05800	kpq:KPR0928_05685
ko:K04752	kpq:KPR0928_05705
ko:K03320	kpq:KPR0928_05710
ko:K10805	kpq:KPR0928_05715
ko:K09914	kpq:KPR0928_05720
ko:K07443	kpq:KPR0928_05725
ko:K10111	kpq:KPR0928_05770
ko:K15770	kpq:KPR0928_05775
ko:K15771	kpq:KPR0928_05780
ko:K15772	kpq:KPR0928_05785
ko:K01224	kpq:KPR0928_05790
ko:K12308	kpq:KPR0928_05795
ko:K02778	kpq:KPR0928_05800
ko:K02024	kpq:KPR0928_05805
ko:K03723	kpq:KPR0928_10120
ko:K09808	kpq:KPR0928_10125
ko:K09810	kpq:KPR0928_10130
ko:K09808	kpq:KPR0928_10135
ko:K00884	kpq:KPR0928_10140
ko:K12410	kpq:KPR0928_10145
ko:K11069	kpq:KPR0928_10165
ko:K11070	kpq:KPR0928_10170
ko:K11071	kpq:KPR0928_10175
ko:K11072	kpq:KPR0928_10180
ko:K01258	kpq:KPR0928_10185
ko:K07637	kpq:KPR0928_10195
ko:K07660	kpq:KPR0928_10200
ko:K01756	kpq:KPR0928_10215
ko:K07153	kpq:KPR0928_10220
ko:K00566	kpq:KPR0928_10225
ko:K12152	kpq:KPR0928_10230
ko:K06181	kpq:KPR0928_10235
ko:K00031	kpq:KPR0928_10240
ko:K09984	kpq:KPR0928_10260
ko:K07217	kpq:KPR0928_10285
ko:K00425	kpq:KPR0928_10290
ko:K00426	kpq:KPR0928_10295
ko:K03182	kpq:KPR0928_10325
ko:K01424	kpq:KPR0928_10345
ko:K12974	kpq:KPR0928_10350
ko:K11250	kpq:KPR0928_10355
ko:K13069	kpq:KPR0928_10375
ko:K09712	kpq:KPR0928_10380
ko:K10680	kpq:KPR0928_14635
ko:K01759	kpq:KPR0928_14640
ko:K03683	kpq:KPR0928_14645
ko:K07390	kpq:KPR0928_14650
ko:K13631	kpq:KPR0928_14660
ko:K04564	kpq:KPR0928_14665
ko:K08156	kpq:KPR0928_13975
ko:K14219	kpq:KPR0928_00770
ko:K01977	kpq:KPR0928_00565
ko:K01977	kpq:KPR0928_03025
ko:K01977	kpq:KPR0928_19470
ko:K01977	kpq:KPR0928_00075
ko:K01977	kpq:KPR0928_01015
ko:K01977	kpq:KPR0928_23560
ko:K01977	kpq:KPR0928_01230
ko:K01977	kpq:KPR0928_04735
ko:K03154	kpq:KPR0928_01150
ko:K03148	kpq:KPR0928_01155
ko:K00788	kpq:KPR0928_01160
ko:K03147	kpq:KPR0928_01165
ko:K07740	kpq:KPR0928_01170
ko:K03426	kpq:KPR0928_01175
ko:K01599	kpq:KPR0928_01180
ko:K05982	kpq:KPR0928_01185
ko:K09891	kpq:KPR0928_01190
ko:K05787	kpq:KPR0928_01195
ko:K07803	kpq:KPR0928_01205
ko:K07709	kpq:KPR0928_01210
ko:K01945	kpq:KPR0928_01220
ko:K00602	kpq:KPR0928_01225
ko:K03827	kpq:KPR0928_01250
ko:K00651	kpq:KPR0928_01255
ko:K01638	kpq:KPR0928_01260
ko:K01637	kpq:KPR0928_01265
ko:K00906	kpq:KPR0928_01270
ko:K13641	kpq:KPR0928_01275
ko:K00548	kpq:KPR0928_01280
ko:K03324	kpq:KPR0928_01285
ko:K00014	kpq:KPR0928_01290
ko:K02815	kpq:KPR0928_01300
ko:K02814	kpq:KPR0928_01305
ko:K02813	kpq:KPR0928_01310
ko:K02812	kpq:KPR0928_01315
ko:K00068	kpq:KPR0928_01320
ko:K06182	kpq:KPR0928_01330
ko:K03453	kpq:KPR0928_01340
ko:K00928	kpq:KPR0928_01345
ko:K01810	kpq:KPR0928_01350
ko:K09022	kpq:KPR0928_01365
ko:K13256	kpq:KPR0928_01390
ko:K10110	kpq:KPR0928_01395
ko:K10109	kpq:KPR0928_01400
ko:K10108	kpq:KPR0928_01405
ko:K08195	kpq:KPR0928_05540
ko:K00014	kpq:KPR0928_05565
ko:K02624	kpq:KPR0928_05570
ko:K02300	kpq:KPR0928_05585
ko:K02299	kpq:KPR0928_05590
ko:K00574	kpq:KPR0928_14695
ko:K03604	kpq:KPR0928_14680
ko:K00793	kpq:KPR0928_14700
ko:K03327	kpq:KPR0928_14705
ko:K06966	kpq:KPR0928_14720
ko:K01673	kpq:KPR0928_14785
ko:K01759	kpq:KPR0928_14800
ko:K02035	kpq:KPR0928_14810
ko:K02033	kpq:KPR0928_14815
ko:K02034	kpq:KPR0928_14820
ko:K02051	kpq:KPR0928_14870
ko:K01485	kpq:KPR0928_14890
ko:K01470	kpq:KPR0928_14900
ko:K02051	kpq:KPR0928_14905
ko:K02049	kpq:KPR0928_14910
ko:K02050	kpq:KPR0928_14915
ko:K10763	kpq:KPR0928_19005
ko:K02824	kpq:KPR0928_19010
ko:K00761	kpq:KPR0928_19015
ko:K01223	kpq:KPR0928_19020
ko:K18673	kpq:KPR0928_19025
ko:K01933	kpq:KPR0928_19030
ko:K11175	kpq:KPR0928_19035
ko:K00937	kpq:KPR0928_19040
ko:K01524	kpq:KPR0928_19045
ko:K06871	kpq:KPR0928_19070
ko:K01951	kpq:KPR0928_19080
ko:K00088	kpq:KPR0928_19085
ko:K03601	kpq:KPR0928_19090
ko:K03977	kpq:KPR0928_19105
ko:K17713	kpq:KPR0928_19110
ko:K01892	kpq:KPR0928_19120
ko:K15539	kpq:KPR0928_19130
ko:K06941	kpq:KPR0928_19135
ko:K00940	kpq:KPR0928_19140
ko:K05367	kpq:KPR0928_19145
ko:K06894	kpq:KPR0928_19150
ko:K01011	kpq:KPR0928_19155
ko:K07751	kpq:KPR0928_19170
ko:K04755	kpq:KPR0928_19180
ko:K04044	kpq:KPR0928_19185
ko:K04082	kpq:KPR0928_19190
ko:K13628	kpq:KPR0928_19195
ko:K04488	kpq:KPR0928_19200
ko:K04487	kpq:KPR0928_19205
ko:K13643	kpq:KPR0928_19210
ko:K15396	kpq:KPR0928_19215
ko:K01092	kpq:KPR0928_19220
ko:K05820	kpq:KPR0928_19245
ko:K02687	kpq:KPR0928_23400
ko:K05540	kpq:KPR0928_23405
ko:K03557	kpq:KPR0928_23410
ko:K18140	kpq:KPR0928_23520
ko:K18141	kpq:KPR0928_23525
ko:K00014	kpq:KPR0928_23575
ko:K07566	kpq:KPR0928_23580
ko:K07479	kpq:KPR0928_23585
ko:K03747	kpq:KPR0928_23590
ko:K04096	kpq:KPR0928_23595
ko:K01462	kpq:KPR0928_23600
ko:K00604	kpq:KPR0928_23605
ko:K03500	kpq:KPR0928_23610
ko:K03499	kpq:KPR0928_23615
ko:K03282	kpq:KPR0928_23620
ko:K09890	kpq:KPR0928_23625
ko:K02879	kpq:KPR0928_23640
ko:K03040	kpq:KPR0928_23645
ko:K02986	kpq:KPR0928_23650
ko:K02948	kpq:KPR0928_23655
ko:K02952	kpq:KPR0928_23660
ko:K03076	kpq:KPR0928_23665
ko:K02876	kpq:KPR0928_23670
ko:K14237	kpq:KPR0928_07845
ko:K14237	kpq:KPR0928_18670
ko:K14237	kpq:KPR0928_18660
ko:K14237	kpq:KPR0928_18665
ko:K14234	kpq:KPR0928_05005
ko:K07713	kpq:KPR0928_01215
ko:K00433	kpq:KPR0928_17155
ko:K04753	kpq:KPR0928_22235
ko:K03293	kpq:KPR0928_00765
ko:K02483	kpq:KPR0928_13750
ko:K18829	kpq:KPR0928_26210
ko:K19504	kpq:KPR0928_03375
ko:K18698	kpq:KPR0928_26155
ko:K01985	kpq:KPR0928_00090
ko:K01985	kpq:KPR0928_03040
ko:K01985	kpq:KPR0928_00585
ko:K01985	kpq:KPR0928_19455
ko:K01985	kpq:KPR0928_01245
ko:K01985	kpq:KPR0928_23550
ko:K01985	kpq:KPR0928_01035
ko:K01985	kpq:KPR0928_04755
ko:K01985	kpq:KPR0928_23540
ko:K18697	kpq:KPR0928_19325
ko:K18142	kpq:KPR0928_23530
ko:K06015	kpq:KPR0928_03290
ko:K03307	kpq:KPR0928_03300
ko:K00883	kpq:KPR0928_03305
ko:K01631	kpq:KPR0928_03310
ko:K00041	kpq:KPR0928_03345
ko:K01953	kpq:KPR0928_07565
ko:K02566	kpq:KPR0928_07570
ko:K02565	kpq:KPR0928_07575
ko:K01443	kpq:KPR0928_07580
ko:K02564	kpq:KPR0928_07585
ko:K02802	kpq:KPR0928_07590
ko:K02803	kpq:KPR0928_07590
ko:K02804	kpq:KPR0928_07590
ko:K01886	kpq:KPR0928_07595
ko:K03711	kpq:KPR0928_07615
ko:K03839	kpq:KPR0928_07620
ko:K03645	kpq:KPR0928_07635
ko:K01835	kpq:KPR0928_07640
ko:K07667	kpq:KPR0928_07650
ko:K07646	kpq:KPR0928_07655
ko:K01548	kpq:KPR0928_07660
ko:K01547	kpq:KPR0928_07665
ko:K01546	kpq:KPR0928_07670
ko:K01669	kpq:KPR0928_07680
ko:K03305	kpq:KPR0928_07685
ko:K07160	kpq:KPR0928_07705
ko:K01304	kpq:KPR0928_07720
ko:K05522	kpq:KPR0928_07725
ko:K01647	kpq:KPR0928_07735
ko:K00241	kpq:KPR0928_07740
ko:K00242	kpq:KPR0928_07745
ko:K00239	kpq:KPR0928_07750
ko:K00240	kpq:KPR0928_07755
ko:K00164	kpq:KPR0928_07760
ko:K00658	kpq:KPR0928_07765
ko:K01903	kpq:KPR0928_07770
ko:K01902	kpq:KPR0928_07775
ko:K00425	kpq:KPR0928_07785
ko:K00426	kpq:KPR0928_07790
ko:K07107	kpq:KPR0928_07805
ko:K03562	kpq:KPR0928_07810
ko:K03560	kpq:KPR0928_07815
ko:K16136	kpq:KPR0928_12095
ko:K01809	kpq:KPR0928_12105
ko:K01676	kpq:KPR0928_12110
ko:K01679	kpq:KPR0928_12115
ko:K07639	kpq:KPR0928_12125
ko:K07661	kpq:KPR0928_12135
ko:K13938	kpq:KPR0928_12145
ko:K03758	kpq:KPR0928_12150
ko:K00324	kpq:KPR0928_12160
ko:K00325	kpq:KPR0928_12165
ko:K14055	kpq:KPR0928_12175
ko:K00567	kpq:KPR0928_12185
ko:K12942	kpq:KPR0928_12195
ko:K12940	kpq:KPR0928_12205
ko:K14057	kpq:KPR0928_12210
ko:K02624	kpq:KPR0928_12220
ko:K01031	kpq:KPR0928_12225
ko:K01032	kpq:KPR0928_12230
ko:K01857	kpq:KPR0928_12240
ko:K01055	kpq:KPR0928_12245
ko:K01607	kpq:KPR0928_12250
ko:K01676	kpq:KPR0928_12260
ko:K11106	kpq:KPR0928_12265
ko:K00244	kpq:KPR0928_12270
ko:K03734	kpq:KPR0928_12275
ko:K07703	kpq:KPR0928_12280
ko:K07701	kpq:KPR0928_12285
ko:K07106	kpq:KPR0928_12295
ko:K00116	kpq:KPR0928_12300
ko:K13928	kpq:KPR0928_12305
ko:K13935	kpq:KPR0928_12310
ko:K13934	kpq:KPR0928_12315
ko:K13936	kpq:KPR0928_12320
ko:K13933	kpq:KPR0928_12325
ko:K13932	kpq:KPR0928_12330
ko:K13931	kpq:KPR0928_12335
ko:K13930	kpq:KPR0928_12340
ko:K13929	kpq:KPR0928_12345
ko:K11744	kpq:KPR0928_12350
ko:K01690	kpq:KPR0928_16575
ko:K00036	kpq:KPR0928_16580
ko:K00873	kpq:KPR0928_16590
ko:K02560	kpq:KPR0928_16595
ko:K09815	kpq:KPR0928_16605
ko:K09817	kpq:KPR0928_16610
ko:K09816	kpq:KPR0928_16615
ko:K03551	kpq:KPR0928_16620
ko:K03550	kpq:KPR0928_16625
ko:K01159	kpq:KPR0928_16630
ko:K08310	kpq:KPR0928_16640
ko:K01876	kpq:KPR0928_16645
ko:K07136	kpq:KPR0928_16660
ko:K15256	kpq:KPR0928_16665
ko:K15257	kpq:KPR0928_16670
ko:K06201	kpq:KPR0928_16675
ko:K09907	kpq:KPR0928_16680
ko:K01887	kpq:KPR0928_16685
ko:K15532	kpq:KPR0928_16690
ko:K16210	kpq:KPR0928_16695
ko:K14064	kpq:KPR0928_16700
ko:K00697	kpq:KPR0928_16705
ko:K01087	kpq:KPR0928_16710
ko:K10538	kpq:KPR0928_16715
ko:K10539	kpq:KPR0928_16720
ko:K10537	kpq:KPR0928_16725
ko:K02255	kpq:KPR0928_16730
ko:K16210	kpq:KPR0928_16735
ko:K02217	kpq:KPR0928_16755
ko:K03834	kpq:KPR0928_16765
ko:K07039	kpq:KPR0928_16770
ko:K01714	kpq:KPR0928_16775
ko:K00995	kpq:KPR0928_16795
ko:K03703	kpq:KPR0928_16800
ko:K07689	kpq:KPR0928_16805
ko:K07782	kpq:KPR0928_16815
ko:K10010	kpq:KPR0928_16820
ko:K10009	kpq:KPR0928_16825
ko:K02424	kpq:KPR0928_16835
ko:K03581	kpq:KPR0928_20870
ko:K03582	kpq:KPR0928_20875
ko:K01407	kpq:KPR0928_20880
ko:K03583	kpq:KPR0928_20885
ko:K02681	kpq:KPR0928_20890
ko:K02680	kpq:KPR0928_20900
ko:K02679	kpq:KPR0928_20905
ko:K13292	kpq:KPR0928_20915
ko:K08484	kpq:KPR0928_20920
ko:K08311	kpq:KPR0928_20925
ko:K03573	kpq:KPR0928_20930
ko:K08227	kpq:KPR0928_20950
ko:K05939	kpq:KPR0928_20955
ko:K02529	kpq:KPR0928_20965
ko:K13637	kpq:KPR0928_20975
ko:K05350	kpq:KPR0928_20980
ko:K02761	kpq:KPR0928_20985
ko:K01586	kpq:KPR0928_20995
ko:K10193	kpq:KPR0928_21015
ko:K10194	kpq:KPR0928_21020
ko:K10195	kpq:KPR0928_21025
ko:K10192	kpq:KPR0928_21030
ko:K01193	kpq:KPR0928_21040
ko:K02532	kpq:KPR0928_21045
ko:K02100	kpq:KPR0928_21055
ko:K00065	kpq:KPR0928_21060
ko:K01730	kpq:KPR0928_21065
ko:K00626	kpq:KPR0928_21080
ko:K07347	kpq:KPR0928_21140
ko:K02749	kpq:KPR0928_25275
ko:K02750	kpq:KPR0928_25275
ko:K01222	kpq:KPR0928_25280
ko:K01811	kpq:KPR0928_25290
ko:K03292	kpq:KPR0928_25295
ko:K13979	kpq:KPR0928_25325
ko:K02073	kpq:KPR0928_25350
ko:K09958	kpq:KPR0928_25365
ko:K07006	kpq:KPR0928_25370
ko:K07552	kpq:KPR0928_25410
ko:K07106	kpq:KPR0928_25415
ko:K11191	kpq:KPR0928_25420
ko:K11192	kpq:KPR0928_25420
ko:K16514	kpq:KPR0928_25440
ko:K10218	kpq:KPR0928_25445
ko:K16515	kpq:KPR0928_25450
ko:K16516	kpq:KPR0928_25455
ko:K02760	kpq:KPR0928_25475
ko:K02761	kpq:KPR0928_25480
ko:K02759	kpq:KPR0928_25485
ko:K02024	kpq:KPR0928_25490
ko:K11083	kpq:KPR0928_25500
ko:K11084	kpq:KPR0928_25505
ko:K11081	kpq:KPR0928_25510
ko:K03430	kpq:KPR0928_25520
ko:K05306	kpq:KPR0928_25525
ko:K01980	kpq:KPR0928_03035
ko:K01980	kpq:KPR0928_00085
ko:K01980	kpq:KPR0928_00580
ko:K01980	kpq:KPR0928_19460
ko:K18691	kpq:KPR0928_19315
ko:K01978	kpq:KPR0928_25920
ko:K10439	kpq:KPR0928_01720
ko:K10440	kpq:KPR0928_01725
ko:K10441	kpq:KPR0928_01730
ko:K06167	kpq:KPR0928_01745
ko:K05774	kpq:KPR0928_01750
ko:K06162	kpq:KPR0928_01755
ko:K05780	kpq:KPR0928_01760
ko:K05781	kpq:KPR0928_01765
ko:K06163	kpq:KPR0928_01770
ko:K06164	kpq:KPR0928_01775
ko:K06165	kpq:KPR0928_01780
ko:K06166	kpq:KPR0928_01785
ko:K02043	kpq:KPR0928_01790
ko:K04750	kpq:KPR0928_01795
ko:K06193	kpq:KPR0928_01800
ko:K03762	kpq:KPR0928_01810
ko:K07406	kpq:KPR0928_01820
ko:K11104	kpq:KPR0928_01825
ko:K05516	kpq:KPR0928_01855
ko:K11937	kpq:KPR0928_01870
ko:K11936	kpq:KPR0928_01875
ko:K11931	kpq:KPR0928_01880
ko:K11935	kpq:KPR0928_01885
ko:K04084	kpq:KPR0928_01925
ko:K03926	kpq:KPR0928_01930
ko:K07791	kpq:KPR0928_01935
ko:K01744	kpq:KPR0928_01940
ko:K07113	kpq:KPR0928_01945
ko:K16263	kpq:KPR0928_01950
ko:K04078	kpq:KPR0928_01955
ko:K04077	kpq:KPR0928_01960
ko:K07127	kpq:KPR0928_06425
ko:K00840	kpq:KPR0928_10675
ko:K00673	kpq:KPR0928_10680
ko:K06447	kpq:KPR0928_10685
ko:K01484	kpq:KPR0928_10690
ko:K05526	kpq:KPR0928_10695
ko:K05984	kpq:KPR0928_10705
ko:K01916	kpq:KPR0928_10710
ko:K04064	kpq:KPR0928_10715
ko:K02760	kpq:KPR0928_10720
ko:K02761	kpq:KPR0928_10725
ko:K02759	kpq:KPR0928_10730
ko:K03490	kpq:KPR0928_10735
ko:K01222	kpq:KPR0928_10740
ko:K03478	kpq:KPR0928_10745
ko:K03781	kpq:KPR0928_10750
ko:K15722	kpq:KPR0928_10755
ko:K06956	kpq:KPR0928_10760
ko:K07038	kpq:KPR0928_10765
ko:K00065	kpq:KPR0928_10770
ko:K10806	kpq:KPR0928_10785
ko:K06190	kpq:KPR0928_10795
ko:K06940	kpq:KPR0928_10805
ko:K07275	kpq:KPR0928_10810
ko:K16090	kpq:KPR0928_10820
ko:K13021	kpq:KPR0928_10850
ko:K07246	kpq:KPR0928_10855
ko:K01695	kpq:KPR0928_10865
ko:K01696	kpq:KPR0928_10870
ko:K13498	kpq:KPR0928_10875
ko:K13497	kpq:KPR0928_10880
ko:K01657	kpq:KPR0928_10885
ko:K07053	kpq:KPR0928_10890
ko:K03566	kpq:KPR0928_10905
ko:K06178	kpq:KPR0928_10910
ko:K04774	kpq:KPR0928_10930
ko:K02015	kpq:KPR0928_15205
ko:K02013	kpq:KPR0928_15210
ko:K02014	kpq:KPR0928_15215
ko:K02049	kpq:KPR0928_15220
ko:K02050	kpq:KPR0928_15225
ko:K02051	kpq:KPR0928_15230
ko:K15553	kpq:KPR0928_15235
ko:K04091	kpq:KPR0928_15245
ko:K05810	kpq:KPR0928_15265
ko:K05819	kpq:KPR0928_15270
ko:K01666	kpq:KPR0928_15275
ko:K04073	kpq:KPR0928_15280
ko:K02554	kpq:KPR0928_15285
ko:K05713	kpq:KPR0928_15295
ko:K05712	kpq:KPR0928_15300
ko:K05818	kpq:KPR0928_15305
ko:K02016	kpq:KPR0928_15310
ko:K02015	kpq:KPR0928_15315
ko:K02013	kpq:KPR0928_15320
ko:K02020	kpq:KPR0928_15325
ko:K00014	kpq:KPR0928_15330
ko:K08194	kpq:KPR0928_15335
ko:K00457	kpq:KPR0928_15340
ko:K00873	kpq:KPR0928_15355
ko:K06078	kpq:KPR0928_15360
ko:K02426	kpq:KPR0928_15370
ko:K11717	kpq:KPR0928_15375
ko:K09015	kpq:KPR0928_15380
ko:K09013	kpq:KPR0928_15385
ko:K09014	kpq:KPR0928_15390
ko:K05997	kpq:KPR0928_15395
ko:K00101	kpq:KPR0928_15415
ko:K02016	kpq:KPR0928_15445
ko:K02015	kpq:KPR0928_15450
ko:K02013	kpq:KPR0928_15455
ko:K02884	kpq:KPR0928_19545
ko:K00554	kpq:KPR0928_19550
ko:K02860	kpq:KPR0928_19555
ko:K02959	kpq:KPR0928_19560
ko:K03106	kpq:KPR0928_19565
ko:K03687	kpq:KPR0928_19580
ko:K00858	kpq:KPR0928_19585
ko:K03631	kpq:KPR0928_19590
ko:K06186	kpq:KPR0928_19595
ko:K09801	kpq:KPR0928_19600
ko:K03664	kpq:KPR0928_19610
ko:K12255	kpq:KPR0928_19630
ko:K02030	kpq:KPR0928_19645
ko:K02028	kpq:KPR0928_19650
ko:K02029	kpq:KPR0928_19650
ko:K12972	kpq:KPR0928_19660
ko:K01713	kpq:KPR0928_19675
ko:K07345	kpq:KPR0928_19685
ko:K07347	kpq:KPR0928_19695
ko:K07347	kpq:KPR0928_19710
ko:K07345	kpq:KPR0928_19720
ko:K00138	kpq:KPR0928_19725
ko:K01118	kpq:KPR0928_19740
ko:K00375	kpq:KPR0928_19785
ko:K03647	kpq:KPR0928_19800
ko:K01867	kpq:KPR0928_23945
ko:K01091	kpq:KPR0928_23950
ko:K01783	kpq:KPR0928_23955
ko:K03112	kpq:KPR0928_23965
ko:K01735	kpq:KPR0928_23970
ko:K00891	kpq:KPR0928_23975
ko:K02507	kpq:KPR0928_23980
ko:K12291	kpq:KPR0928_23985
ko:K12290	kpq:KPR0928_23990
ko:K12289	kpq:KPR0928_23995
ko:K12288	kpq:KPR0928_24000
ko:K05366	kpq:KPR0928_24005
ko:K08312	kpq:KPR0928_24010
ko:K04762	kpq:KPR0928_24025
ko:K04083	kpq:KPR0928_24030
ko:K01610	kpq:KPR0928_24035
ko:K07638	kpq:KPR0928_24040
ko:K07659	kpq:KPR0928_24045
ko:K04760	kpq:KPR0928_24050
ko:K06959	kpq:KPR0928_24055
ko:K04758	kpq:KPR0928_24065
ko:K04759	kpq:KPR0928_24070
ko:K07490	kpq:KPR0928_24075
ko:K02170	kpq:KPR0928_24085
ko:K07400	kpq:KPR0928_24095
ko:K06155	kpq:KPR0928_24100
ko:K00705	kpq:KPR0928_24105
ko:K00688	kpq:KPR0928_24110
ko:K03556	kpq:KPR0928_24115
ko:K02444	kpq:KPR0928_24120
ko:K02441	kpq:KPR0928_24125
ko:K02439	kpq:KPR0928_24130
ko:K00111	kpq:KPR0928_24135
ko:K00688	kpq:KPR0928_24150
ko:K00703	kpq:KPR0928_24155
ko:K00975	kpq:KPR0928_24160
ko:K00700	kpq:KPR0928_24170
ko:K00133	kpq:KPR0928_24175
ko:K06156	kpq:KPR0928_24180
ko:K00851	kpq:KPR0928_24185
ko:K06145	kpq:KPR0928_24190
ko:K06911	kpq:KPR0928_24195
ko:K02821	kpq:KPR0928_02255
ko:K03078	kpq:KPR0928_02260
ko:K03079	kpq:KPR0928_02265
ko:K03077	kpq:KPR0928_02270
ko:K02990	kpq:KPR0928_02285
ko:K02686	kpq:KPR0928_02290
ko:K02963	kpq:KPR0928_02295
ko:K02939	kpq:KPR0928_02300
ko:K07269	kpq:KPR0928_02305
ko:K03773	kpq:KPR0928_02310
ko:K11737	kpq:KPR0928_02315
ko:K07322	kpq:KPR0928_02320
ko:K01119	kpq:KPR0928_02345
ko:K01082	kpq:KPR0928_02350
ko:K07109	kpq:KPR0928_02355
ko:K07304	kpq:KPR0928_02375
ko:K07278	kpq:KPR0928_02380
ko:K09800	kpq:KPR0928_02385
ko:K01507	kpq:KPR0928_02405
ko:K02058	kpq:KPR0928_02410
ko:K02056	kpq:KPR0928_02415
ko:K02057	kpq:KPR0928_02420
ko:K02057	kpq:KPR0928_02425
ko:K03841	kpq:KPR0928_02430
ko:K02558	kpq:KPR0928_02435
ko:K09889	kpq:KPR0928_02450
ko:K03592	kpq:KPR0928_02455
ko:K15536	kpq:KPR0928_02460
ko:K01465	kpq:KPR0928_02490
ko:K01042	kpq:KPR0928_02495
ko:K16053	kpq:KPR0928_06785
ko:K02795	kpq:KPR0928_06825
ko:K02794	kpq:KPR0928_06830
ko:K02793	kpq:KPR0928_06835
ko:K10679	kpq:KPR0928_06840
ko:K18325	kpq:KPR0928_06860
ko:K06048	kpq:KPR0928_06905
ko:K00375	kpq:KPR0928_06920
ko:K02030	kpq:KPR0928_06925
ko:K02029	kpq:KPR0928_06930
ko:K02029	kpq:KPR0928_06935
ko:K02028	kpq:KPR0928_06940
ko:K15373	kpq:KPR0928_06945
ko:K15372	kpq:KPR0928_06950
ko:K02034	kpq:KPR0928_06965
ko:K02033	kpq:KPR0928_06970
ko:K02035	kpq:KPR0928_06975
ko:K01433	kpq:KPR0928_15740
ko:K03719	kpq:KPR0928_15755
ko:K00374	kpq:KPR0928_15765
ko:K00373	kpq:KPR0928_15770
ko:K00371	kpq:KPR0928_15775
ko:K00370	kpq:KPR0928_15780
ko:K02575	kpq:KPR0928_15785
ko:K07673	kpq:KPR0928_15790
ko:K07684	kpq:KPR0928_15795
ko:K00372	kpq:KPR0928_15805
ko:K00362	kpq:KPR0928_15810
ko:K15578	kpq:KPR0928_15815
ko:K15577	kpq:KPR0928_15820
ko:K06039	kpq:KPR0928_15835
ko:K07232	kpq:KPR0928_15845
ko:K07300	kpq:KPR0928_15855
ko:K01627	kpq:KPR0928_15860
ko:K02493	kpq:KPR0928_15875
ko:K02835	kpq:KPR0928_15880
ko:K02492	kpq:KPR0928_15885
ko:K02494	kpq:KPR0928_15890
ko:K00919	kpq:KPR0928_15895
ko:K00948	kpq:KPR0928_15900
ko:K03321	kpq:KPR0928_15905
ko:K01056	kpq:KPR0928_15920
ko:K06942	kpq:KPR0928_15925
ko:K17213	kpq:KPR0928_15935
ko:K11911	kpq:KPR0928_15940
ko:K11905	kpq:KPR0928_15945
ko:K11906	kpq:KPR0928_15950
ko:K11895	kpq:KPR0928_15955
ko:K11896	kpq:KPR0928_15960
ko:K11891	kpq:KPR0928_15965
ko:K15829	kpq:KPR0928_20075
ko:K15828	kpq:KPR0928_20080
ko:K15827	kpq:KPR0928_20085
ko:K15833	kpq:KPR0928_20090
ko:K04651	kpq:KPR0928_20095
ko:K04652	kpq:KPR0928_20100
ko:K04653	kpq:KPR0928_20105
ko:K04654	kpq:KPR0928_20110
ko:K04655	kpq:KPR0928_20115
ko:K15836	kpq:KPR0928_20120
