ko:K19744	pdk:PADK2_05005
ko:K05788	pdk:PADK2_08530
ko:K05789	pdk:PADK2_08540
ko:K02472	pdk:PADK2_08550
ko:K13007	pdk:PADK2_08620
ko:K06995	pdk:PADK2_10650
ko:K08276	pdk:PADK2_10685
ko:K07058	pdk:PADK2_10720
ko:K01150	pdk:PADK2_10740
ko:K01265	pdk:PADK2_10750
ko:K04084	pdk:PADK2_12855
ko:K03805	pdk:PADK2_12865
ko:K08195	pdk:PADK2_12885
ko:K16165	pdk:PADK2_12890
ko:K00450	pdk:PADK2_12895
ko:K03088	pdk:PADK2_12905
ko:K02437	pdk:PADK2_12985
ko:K10778	pdk:PADK2_15095
ko:K07160	pdk:PADK2_15125
ko:K00156	pdk:PADK2_15145
ko:K03088	pdk:PADK2_15185
ko:K03229	pdk:PADK2_17250
ko:K00797	pdk:PADK2_17265
ko:K01247	pdk:PADK2_17270
ko:K09880	pdk:PADK2_17280
ko:K08967	pdk:PADK2_17285
ko:K05820	pdk:PADK2_17295
ko:K07320	pdk:PADK2_17315
ko:K01495	pdk:PADK2_17335
ko:K06996	pdk:PADK2_17345
ko:K11891	pdk:PADK2_17360
ko:K11892	pdk:PADK2_17365
ko:K11893	pdk:PADK2_17370
ko:K11906	pdk:PADK2_17375
ko:K03543	pdk:PADK2_19455
ko:K07160	pdk:PADK2_02475
ko:K01961	pdk:PADK2_02485
ko:K01012	pdk:PADK2_02515
ko:K06166	pdk:PADK2_07370
ko:K06165	pdk:PADK2_07375
ko:K06164	pdk:PADK2_07380
ko:K06163	pdk:PADK2_07385
ko:K05781	pdk:PADK2_07390
ko:K01999	pdk:PADK2_07450
ko:K01753	pdk:PADK2_07485
ko:K01915	pdk:PADK2_07490
ko:K02399	pdk:PADK2_07510
ko:K02398	pdk:PADK2_07515
ko:K02386	pdk:PADK2_07520
ko:K03415	pdk:PADK2_07525
ko:K09986	pdk:PADK2_09585
ko:K00311	pdk:PADK2_09590
ko:K03521	pdk:PADK2_09595
ko:K03522	pdk:PADK2_09600
ko:K05936	pdk:PADK2_09615
ko:K02189	pdk:PADK2_09620
ko:K02234	pdk:PADK2_09635
ko:K02230	pdk:PADK2_09640
ko:K01626	pdk:PADK2_09645
ko:K13580	pdk:PADK2_09655
ko:K07156	pdk:PADK2_11815
ko:K07233	pdk:PADK2_11835
ko:K07644	pdk:PADK2_11850
ko:K03310	pdk:PADK2_14015
ko:K00382	pdk:PADK2_14025
ko:K09699	pdk:PADK2_14030
ko:K00167	pdk:PADK2_14035
ko:K00166	pdk:PADK2_14040
ko:K03168	pdk:PADK2_14055
ko:K01714	pdk:PADK2_16215
ko:K02336	pdk:PADK2_16220
ko:K01507	pdk:PADK2_04170
ko:K08305	pdk:PADK2_04320
ko:K07258	pdk:PADK2_04330
ko:K16322	pdk:PADK2_22365
ko:K08304	pdk:PADK2_19530
ko:K01649	pdk:PADK2_19555
ko:K01754	pdk:PADK2_21450
ko:K06203	pdk:PADK2_21475
ko:K01114	pdk:PADK2_21485
ko:K00432	pdk:PADK2_21515
ko:K03775	pdk:PADK2_21520
ko:K00925	pdk:PADK2_21530
ko:K13788	pdk:PADK2_21535
ko:K07044	pdk:PADK2_21560
ko:K03885	pdk:PADK2_23640
ko:K06916	pdk:PADK2_23645
ko:K12055	pdk:PADK2_23660
ko:K06899	pdk:PADK2_23720
ko:K03190	pdk:PADK2_25810
ko:K01430	pdk:PADK2_25815
ko:K03823	pdk:PADK2_25820
ko:K01429	pdk:PADK2_25825
ko:K01428	pdk:PADK2_25830
ko:K04046	pdk:PADK2_25855
ko:K04064	pdk:PADK2_25870
ko:K07290	pdk:PADK2_25885
ko:K03594	pdk:PADK2_25890
ko:K07644	pdk:PADK2_25920
ko:K03187	pdk:PADK2_25945
ko:K03188	pdk:PADK2_25950
ko:K03189	pdk:PADK2_25955
ko:K03192	pdk:PADK2_25960
ko:K03088	pdk:PADK2_25970
ko:K16087	pdk:PADK2_25975
ko:K05548	pdk:PADK2_25990
ko:K01576	pdk:PADK2_25995
ko:K11475	pdk:PADK2_26020
ko:K00330	pdk:PADK2_16235
ko:K07303	pdk:PADK2_16250
ko:K07023	pdk:PADK2_16260
ko:K12542	pdk:PADK2_16265
ko:K12541	pdk:PADK2_16270
ko:K12543	pdk:PADK2_16275
ko:K16074	pdk:PADK2_16285
ko:K02453	pdk:PADK2_16310
ko:K02452	pdk:PADK2_16315
ko:K04061	pdk:PADK2_18360
ko:K05810	pdk:PADK2_18380
ko:K03408	pdk:PADK2_18405
ko:K03408	pdk:PADK2_18410
ko:K02557	pdk:PADK2_18420
ko:K02556	pdk:PADK2_18425
ko:K03412	pdk:PADK2_18430
ko:K03407	pdk:PADK2_18435
ko:K03414	pdk:PADK2_18440
ko:K03413	pdk:PADK2_18445
ko:K02405	pdk:PADK2_18450
ko:K04562	pdk:PADK2_18455
ko:K02404	pdk:PADK2_18460
ko:K02400	pdk:PADK2_18465
ko:K06872	pdk:PADK2_18470
ko:K06872	pdk:PADK2_18475
ko:K02401	pdk:PADK2_18480
ko:K02421	pdk:PADK2_18485
ko:K09760	pdk:PADK2_20530
ko:K00459	pdk:PADK2_20570
ko:K08196	pdk:PADK2_20600
ko:K14055	pdk:PADK2_22555
ko:K00873	pdk:PADK2_22560
ko:K01676	pdk:PADK2_22580
ko:K03322	pdk:PADK2_22585
ko:K05520	pdk:PADK2_22595
ko:K07347	pdk:PADK2_24715
ko:K01772	pdk:PADK2_24730
ko:K07071	pdk:PADK2_24735
ko:K06955	pdk:PADK2_24740
ko:K01669	pdk:PADK2_24755
ko:K01776	pdk:PADK2_24765
ko:K02493	pdk:PADK2_24775
ko:K02835	pdk:PADK2_24780
ko:K02492	pdk:PADK2_24785
ko:K02494	pdk:PADK2_24795
ko:K00919	pdk:PADK2_24800
ko:K00948	pdk:PADK2_24805
ko:K02897	pdk:PADK2_24810
ko:K01056	pdk:PADK2_24815
ko:K06942	pdk:PADK2_24820
ko:K06140	pdk:PADK2_27900
ko:K06202	pdk:PADK2_27910
ko:K01586	pdk:PADK2_27920
ko:K01778	pdk:PADK2_27925
ko:K09921	pdk:PADK2_27930
ko:K03733	pdk:PADK2_27935
ko:K03320	pdk:PADK2_27970
ko:K04752	pdk:PADK2_27975
ko:K07391	pdk:PADK2_27985
ko:K03823	pdk:PADK2_28085
ko:K01551	pdk:PADK2_28100
ko:K00134	pdk:PADK2_28140
ko:K03657	pdk:PADK2_28170
ko:K02428	pdk:PADK2_01945
ko:K02657	pdk:PADK2_02055
ko:K02658	pdk:PADK2_02060
ko:K02659	pdk:PADK2_02065
ko:K02660	pdk:PADK2_02070
ko:K02487	pdk:PADK2_02080
ko:K06596	pdk:PADK2_02080
ko:K00274	pdk:PADK2_02120
ko:K02014	pdk:PADK2_02190
ko:K07393	pdk:PADK2_11610
ko:K09471	pdk:PADK2_13685
ko:K02051	pdk:PADK2_13725
ko:K02049	pdk:PADK2_13730
ko:K02050	pdk:PADK2_13735
ko:K02051	pdk:PADK2_13790
ko:K02050	pdk:PADK2_13795
ko:K02049	pdk:PADK2_13800
ko:K00852	pdk:PADK2_15905
ko:K10440	pdk:PADK2_15915
ko:K03406	pdk:PADK2_15985
ko:K01673	pdk:PADK2_00530
ko:K02275	pdk:PADK2_00540
ko:K02276	pdk:PADK2_00555
ko:K02259	pdk:PADK2_00575
ko:K07152	pdk:PADK2_00585
ko:K11103	pdk:PADK2_00610
ko:K06193	pdk:PADK2_00655
ko:K00140	pdk:PADK2_00665
ko:K00822	pdk:PADK2_00675
ko:K02057	pdk:PADK2_00695
ko:K02057	pdk:PADK2_00700
ko:K03387	pdk:PADK2_00710
ko:K03088	pdk:PADK2_00755
ko:K02623	pdk:PADK2_00770
ko:K00449	pdk:PADK2_00775
ko:K00448	pdk:PADK2_00780
ko:K02624	pdk:PADK2_00785
ko:K02237	pdk:PADK2_08630
ko:K00832	pdk:PADK2_08635
ko:K03702	pdk:PADK2_08640
ko:K03446	pdk:PADK2_08645
ko:K03543	pdk:PADK2_08650
ko:K01625	pdk:PADK2_08675
ko:K07107	pdk:PADK2_08680
ko:K05541	pdk:PADK2_08685
ko:K04080	pdk:PADK2_08700
ko:K01703	pdk:PADK2_08730
ko:K01704	pdk:PADK2_08735
ko:K01868	pdk:PADK2_10785
ko:K02520	pdk:PADK2_10790
ko:K02916	pdk:PADK2_10795
ko:K02887	pdk:PADK2_10800
ko:K01889	pdk:PADK2_10805
ko:K01890	pdk:PADK2_10810
ko:K04764	pdk:PADK2_10815
ko:K00281	pdk:PADK2_12990
ko:K00600	pdk:PADK2_12995
ko:K01752	pdk:PADK2_13000
ko:K00605	pdk:PADK2_13005
ko:K03088	pdk:PADK2_13090
ko:K01953	pdk:PADK2_15230
ko:K07130	pdk:PADK2_15245
ko:K01556	pdk:PADK2_15250
ko:K02355	pdk:PADK2_15290
ko:K00612	pdk:PADK2_15300
ko:K05820	pdk:PADK2_15305
ko:K07233	pdk:PADK2_15325
ko:K04487	pdk:PADK2_15335
ko:K13896	pdk:PADK2_15340
ko:K13895	pdk:PADK2_15345
ko:K13894	pdk:PADK2_15350
ko:K13893	pdk:PADK2_15355
ko:K01736	pdk:PADK2_17300
ko:K11907	pdk:PADK2_17395
ko:K11895	pdk:PADK2_17400
ko:K11896	pdk:PADK2_17405
ko:K11905	pdk:PADK2_17410
ko:K11900	pdk:PADK2_17415
ko:K11901	pdk:PADK2_17420
ko:K11910	pdk:PADK2_17425
ko:K05782	pdk:PADK2_17450
ko:K03453	pdk:PADK2_17455
ko:K06917	pdk:PADK2_17495
ko:K01008	pdk:PADK2_17500
ko:K07001	pdk:PADK2_17510
ko:K06911	pdk:PADK2_19590
ko:K06911	pdk:PADK2_19615
ko:K07397	pdk:PADK2_19625
ko:K12410	pdk:PADK2_19655
ko:K06714	pdk:PADK2_19660
ko:K03654	pdk:PADK2_07550
ko:K07001	pdk:PADK2_07575
ko:K07401	pdk:PADK2_07580
ko:K03274	pdk:PADK2_07585
ko:K02078	pdk:PADK2_07600
ko:K00648	pdk:PADK2_07605
ko:K01358	pdk:PADK2_07640
ko:K07044	pdk:PADK2_07645
ko:K09936	pdk:PADK2_07670
ko:K10680	pdk:PADK2_09705
ko:K10017	pdk:PADK2_09740
ko:K10015	pdk:PADK2_09745
ko:K10016	pdk:PADK2_09750
ko:K02015	pdk:PADK2_09800
ko:K02016	pdk:PADK2_09805
ko:K02013	pdk:PADK2_09810
ko:K05895	pdk:PADK2_09825
ko:K02188	pdk:PADK2_09830
ko:K07240	pdk:PADK2_11885
ko:K03824	pdk:PADK2_11890
ko:K03630	pdk:PADK2_11960
ko:K07075	pdk:PADK2_14190
ko:K07302	pdk:PADK2_16245
ko:K02020	pdk:PADK2_16340
ko:K09781	pdk:PADK2_16370
ko:K00404	pdk:PADK2_16375
ko:K07168	pdk:PADK2_16385
ko:K09984	pdk:PADK2_16410
ko:K07400	pdk:PADK2_16420
ko:K06941	pdk:PADK2_16460
ko:K02420	pdk:PADK2_18490
ko:K14162	pdk:PADK2_22305
ko:K03406	pdk:PADK2_22355
ko:K11689	pdk:PADK2_27345
ko:K01478	pdk:PADK2_27360
ko:K01082	pdk:PADK2_27385
ko:K04093	pdk:PADK2_27435
ko:K05844	pdk:PADK2_27505
ko:K01297	pdk:PADK2_27510
ko:K05595	pdk:PADK2_27545
ko:K02454	pdk:PADK2_27570
ko:K07126	pdk:PADK2_04430
ko:K07490	pdk:PADK2_22700
ko:K04759	pdk:PADK2_22705
ko:K04758	pdk:PADK2_22710
ko:K05596	pdk:PADK2_22735
ko:K09964	pdk:PADK2_22740
ko:K06895	pdk:PADK2_22745
ko:K04564	pdk:PADK2_22750
ko:K03744	pdk:PADK2_22765
ko:K07231	pdk:PADK2_22770
ko:K09947	pdk:PADK2_22785
ko:K00763	pdk:PADK2_22800
ko:K01673	pdk:PADK2_24840
ko:K03789	pdk:PADK2_24850
ko:K02012	pdk:PADK2_24895
ko:K02011	pdk:PADK2_24900
ko:K03808	pdk:PADK2_24910
ko:K03808	pdk:PADK2_24915
ko:K00053	pdk:PADK2_24935
ko:K02168	pdk:PADK2_28190
ko:K03327	pdk:PADK2_28205
ko:K03656	pdk:PADK2_28215
ko:K00156	pdk:PADK2_28220
ko:K03816	pdk:PADK2_28225
ko:K01775	pdk:PADK2_28245
ko:K00285	pdk:PADK2_28255
ko:K09978	pdk:PADK2_28260
ko:K00822	pdk:PADK2_28300
ko:K06995	pdk:PADK2_28305
ko:K02913	pdk:PADK2_28310
ko:K02902	pdk:PADK2_28315
ko:K03630	pdk:PADK2_28330
ko:K13038	pdk:PADK2_28335
ko:K15778	pdk:PADK2_28345
ko:K00930	pdk:PADK2_28350
ko:K07107	pdk:PADK2_28380
ko:K00762	pdk:PADK2_28390
ko:K01142	pdk:PADK2_28395
ko:K09940	pdk:PADK2_28400
ko:K00989	pdk:PADK2_28405
ko:K00942	pdk:PADK2_28415
ko:K03060	pdk:PADK2_28420
ko:K03758	pdk:PADK2_19670
ko:K14058	pdk:PADK2_19680
ko:K06991	pdk:PADK2_21595
ko:K03322	pdk:PADK2_21635
ko:K01720	pdk:PADK2_21720
ko:K03168	pdk:PADK2_23775
ko:K01996	pdk:PADK2_26035
ko:K01995	pdk:PADK2_26040
ko:K01998	pdk:PADK2_26045
ko:K01997	pdk:PADK2_26050
ko:K01999	pdk:PADK2_26055
ko:K08281	pdk:PADK2_26080
ko:K00763	pdk:PADK2_26085
ko:K06966	pdk:PADK2_26105
ko:K01775	pdk:PADK2_26140
ko:K02939	pdk:PADK2_26150
ko:K02963	pdk:PADK2_26160
ko:K02990	pdk:PADK2_26165
ko:K03218	pdk:PADK2_26170
ko:K12573	pdk:PADK2_26175
ko:K01939	pdk:PADK2_26180
ko:K02502	pdk:PADK2_26185
ko:K09937	pdk:PADK2_26190
ko:K04087	pdk:PADK2_26195
ko:K04088	pdk:PADK2_26200
ko:K03665	pdk:PADK2_26205
ko:K03666	pdk:PADK2_26210
ko:K00791	pdk:PADK2_26215
ko:K03572	pdk:PADK2_26220
ko:K01448	pdk:PADK2_26225
ko:K06925	pdk:PADK2_26230
ko:K13288	pdk:PADK2_26245
ko:K06949	pdk:PADK2_26250
ko:K02557	pdk:PADK2_26255
ko:K02556	pdk:PADK2_26260
ko:K01613	pdk:PADK2_26275
ko:K01079	pdk:PADK2_26290
ko:K02419	pdk:PADK2_18495
ko:K02418	pdk:PADK2_18500
ko:K02417	pdk:PADK2_18505
ko:K02416	pdk:PADK2_18510
ko:K02415	pdk:PADK2_18515
ko:K07039	pdk:PADK2_18525
ko:K09790	pdk:PADK2_18530
ko:K07644	pdk:PADK2_18535
ko:K03827	pdk:PADK2_18570
ko:K07687	pdk:PADK2_05770
ko:K13487	pdk:PADK2_05800
ko:K13488	pdk:PADK2_05805
ko:K13486	pdk:PADK2_05810
ko:K13489	pdk:PADK2_05815
ko:K13491	pdk:PADK2_05825
ko:K11444	pdk:PADK2_05830
ko:K02836	pdk:PADK2_05835
ko:K04567	pdk:PADK2_05840
ko:K01534	pdk:PADK2_05890
ko:K01595	pdk:PADK2_05905
ko:K15984	pdk:PADK2_05940
ko:K09914	pdk:PADK2_05970
ko:K00631	pdk:PADK2_05975
ko:K02426	pdk:PADK2_06000
ko:K01766	pdk:PADK2_06005
ko:K06940	pdk:PADK2_06025
ko:K14267	pdk:PADK2_06045
ko:K00990	pdk:PADK2_06050
ko:K01265	pdk:PADK2_06055
ko:K02967	pdk:PADK2_06060
ko:K02357	pdk:PADK2_06065
ko:K09903	pdk:PADK2_06070
ko:K02838	pdk:PADK2_06075
ko:K00806	pdk:PADK2_06080
ko:K00981	pdk:PADK2_06085
ko:K00099	pdk:PADK2_06090
ko:K11749	pdk:PADK2_06095
ko:K07277	pdk:PADK2_06100
ko:K06142	pdk:PADK2_06105
ko:K02536	pdk:PADK2_06110
ko:K02372	pdk:PADK2_06115
ko:K00677	pdk:PADK2_06120
ko:K00748	pdk:PADK2_06125
ko:K03470	pdk:PADK2_06130
ko:K03310	pdk:PADK2_06135
ko:K02337	pdk:PADK2_06140
ko:K01962	pdk:PADK2_06145
ko:K04075	pdk:PADK2_06150
ko:K01937	pdk:PADK2_06155
ko:K01627	pdk:PADK2_06160
ko:K01689	pdk:PADK2_06165
ko:K05589	pdk:PADK2_06170
ko:K00991	pdk:PADK2_06175
ko:K07112	pdk:PADK2_06185
ko:K01070	pdk:PADK2_06200
ko:K01770	pdk:PADK2_06205
ko:K06176	pdk:PADK2_06210
ko:K03787	pdk:PADK2_06215
ko:K00573	pdk:PADK2_06220
ko:K03555	pdk:PADK2_06240
ko:K03565	pdk:PADK2_06260
ko:K06966	pdk:PADK2_06265
ko:K09954	pdk:PADK2_06280
ko:K00901	pdk:PADK2_06325
ko:K02909	pdk:PADK2_06335
ko:K02919	pdk:PADK2_06340
ko:K10778	pdk:PADK2_06360
ko:K00074	pdk:PADK2_06390
ko:K03576	pdk:PADK2_06405
ko:K02442	pdk:PADK2_06415
ko:K05799	pdk:PADK2_25315
ko:K00626	pdk:PADK2_04700
ko:K00666	pdk:PADK2_04705
ko:K03635	pdk:PADK2_04745
ko:K01113	pdk:PADK2_04775
ko:K07004	pdk:PADK2_04780
ko:K03316	pdk:PADK2_04895
ko:K01114	pdk:PADK2_07675
ko:K02042	pdk:PADK2_07690
ko:K02042	pdk:PADK2_07695
ko:K02041	pdk:PADK2_07700
ko:K02044	pdk:PADK2_07705
ko:K03760	pdk:PADK2_07720
ko:K03580	pdk:PADK2_07730
ko:K03578	pdk:PADK2_07800
ko:K02503	pdk:PADK2_07810
ko:K02229	pdk:PADK2_09840
ko:K06042	pdk:PADK2_09845
ko:K03394	pdk:PADK2_09850
ko:K13541	pdk:PADK2_09855
ko:K03088	pdk:PADK2_09890
ko:K13776	pdk:PADK2_09905
ko:K03412	pdk:PADK2_00870
ko:K03411	pdk:PADK2_00875
ko:K03408	pdk:PADK2_00890
ko:K03407	pdk:PADK2_00895
ko:K03413	pdk:PADK2_00900
ko:K07088	pdk:PADK2_00945
ko:K00324	pdk:PADK2_00980
ko:K00324	pdk:PADK2_00985
ko:K00325	pdk:PADK2_00990
ko:K03832	pdk:PADK2_00995
ko:K03561	pdk:PADK2_01000
ko:K07002	pdk:PADK2_01015
ko:K13929	pdk:PADK2_01020
ko:K13930	pdk:PADK2_01025
ko:K13931	pdk:PADK2_01030
ko:K13932	pdk:PADK2_01035
ko:K13933	pdk:PADK2_01040
ko:K13934	pdk:PADK2_01045
ko:K13935	pdk:PADK2_01050
ko:K13928	pdk:PADK2_01065
ko:K00052	pdk:PADK2_08745
ko:K00133	pdk:PADK2_08750
ko:K06173	pdk:PADK2_08765
ko:K01817	pdk:PADK2_08770
ko:K01963	pdk:PADK2_08775
ko:K11754	pdk:PADK2_08780
ko:K03749	pdk:PADK2_08785
ko:K03558	pdk:PADK2_08790
ko:K00764	pdk:PADK2_08795
ko:K10764	pdk:PADK2_08800
ko:K02453	pdk:PADK2_08810
ko:K02452	pdk:PADK2_08815
ko:K02455	pdk:PADK2_08825
ko:K02456	pdk:PADK2_08830
ko:K02457	pdk:PADK2_08835
ko:K02458	pdk:PADK2_08840
ko:K02459	pdk:PADK2_08845
ko:K02460	pdk:PADK2_08850
ko:K02461	pdk:PADK2_08855
ko:K02462	pdk:PADK2_08860
ko:K09384	pdk:PADK2_10995
ko:K15342	pdk:PADK2_13140
ko:K06911	pdk:PADK2_13180
ko:K01194	pdk:PADK2_13190
ko:K00836	pdk:PADK2_13205
ko:K09816	pdk:PADK2_13225
ko:K09817	pdk:PADK2_13230
ko:K11921	pdk:PADK2_15375
ko:K01673	pdk:PADK2_15380
ko:K01725	pdk:PADK2_15385
ko:K03088	pdk:PADK2_15395
ko:K08998	pdk:PADK2_15425
ko:K07862	pdk:PADK2_15440
ko:K14052	pdk:PADK2_15445
ko:K01915	pdk:PADK2_15450
ko:K01652	pdk:PADK2_15470
ko:K15256	pdk:PADK2_15475
ko:K01425	pdk:PADK2_17520
ko:K07667	pdk:PADK2_17525
ko:K07646	pdk:PADK2_17530
ko:K01548	pdk:PADK2_17535
ko:K01547	pdk:PADK2_17540
ko:K01546	pdk:PADK2_17545
ko:K06446	pdk:PADK2_17555
ko:K00074	pdk:PADK2_17570
ko:K03449	pdk:PADK2_17580
ko:K08296	pdk:PADK2_17630
ko:K00057	pdk:PADK2_17640
ko:K02742	pdk:PADK2_19695
ko:K11103	pdk:PADK2_19725
ko:K07637	pdk:PADK2_19745
ko:K02572	pdk:PADK2_19765
ko:K02570	pdk:PADK2_19770
ko:K02567	pdk:PADK2_19775
ko:K02568	pdk:PADK2_19780
ko:K02067	pdk:PADK2_08260
ko:K03498	pdk:PADK2_08275
ko:K00111	pdk:PADK2_06420
ko:K02444	pdk:PADK2_06425
ko:K00864	pdk:PADK2_06430
ko:K02440	pdk:PADK2_06435
ko:K00864	pdk:PADK2_06445
ko:K07552	pdk:PADK2_06485
ko:K00140	pdk:PADK2_06500
ko:K01908	pdk:PADK2_06510
ko:K03424	pdk:PADK2_06545
ko:K03435	pdk:PADK2_06550
ko:K02769	pdk:PADK2_06565
ko:K02770	pdk:PADK2_06565
ko:K00012	pdk:PADK2_06570
ko:K12963	pdk:PADK2_06575
ko:K12962	pdk:PADK2_06580
ko:K07264	pdk:PADK2_06585
ko:K13014	pdk:PADK2_06590
ko:K10011	pdk:PADK2_06595
ko:K10012	pdk:PADK2_06600
ko:K07806	pdk:PADK2_06605
ko:K09861	pdk:PADK2_06670
ko:K00611	pdk:PADK2_06680
ko:K12685	pdk:PADK2_06690
ko:K07390	pdk:PADK2_06700
ko:K03594	pdk:PADK2_06710
ko:K02192	pdk:PADK2_06715
ko:K03683	pdk:PADK2_06725
ko:K01465	pdk:PADK2_06730
ko:K01940	pdk:PADK2_06740
ko:K01756	pdk:PADK2_06780
