ko:K06896	spng:HMPREF1038_00771
ko:K00014	spng:HMPREF1038_01364
ko:K03785	spng:HMPREF1038_01365
ko:K06969	spng:HMPREF1038_01366
ko:K01872	spng:HMPREF1038_01371
ko:K00075	spng:HMPREF1038_01378
ko:K01575	spng:HMPREF1038_01380
ko:K02039	spng:HMPREF1038_01383
ko:K02036	spng:HMPREF1038_01384
ko:K02036	spng:HMPREF1038_01385
ko:K02038	spng:HMPREF1038_01386
ko:K02037	spng:HMPREF1038_01387
ko:K02040	spng:HMPREF1038_01388
ko:K13292	spng:HMPREF1038_01399
ko:K02970	spng:HMPREF1038_01401
ko:K07568	spng:HMPREF1038_01403
ko:K00763	spng:HMPREF1038_01407
ko:K08303	spng:HMPREF1038_01414
ko:K01951	spng:HMPREF1038_01432
ko:K03710	spng:HMPREF1038_01433
ko:K07282	spng:HMPREF1038_01439
ko:K07282	spng:HMPREF1038_01440
ko:K01462	spng:HMPREF1038_01442
ko:K03218	spng:HMPREF1038_01443
ko:K00384	spng:HMPREF1038_01444
ko:K02029	spng:HMPREF1038_01447
ko:K11068	spng:HMPREF1038_01452
ko:K08681	spng:HMPREF1038_01453
ko:K06215	spng:HMPREF1038_01454
ko:K03734	spng:HMPREF1038_01457
ko:K01879	spng:HMPREF1038_01461
ko:K01878	spng:HMPREF1038_01462
ko:K02358	spng:HMPREF1038_01472
ko:K02440	spng:HMPREF1038_01473
ko:K02029	spng:HMPREF1038_01485
ko:K02114	spng:HMPREF1038_01489
ko:K02112	spng:HMPREF1038_01490
ko:K02115	spng:HMPREF1038_01491
ko:K02111	spng:HMPREF1038_01492
ko:K02113	spng:HMPREF1038_01493
ko:K02109	spng:HMPREF1038_01494
ko:K02108	spng:HMPREF1038_01495
ko:K02110	spng:HMPREF1038_01496
ko:K03624	spng:HMPREF1038_01500
ko:K07082	spng:HMPREF1038_01501
ko:K01924	spng:HMPREF1038_01504
ko:K14155	spng:HMPREF1038_01507
ko:K15580	spng:HMPREF1038_01512
ko:K07461	spng:HMPREF1038_01520
ko:K02963	spng:HMPREF1038_01525
ko:K02990	spng:HMPREF1038_01527
ko:K01893	spng:HMPREF1038_01528
ko:K09861	spng:HMPREF1038_01533
ko:K01462	spng:HMPREF1038_01536
ko:K15738	spng:HMPREF1038_01540
ko:K00215	spng:HMPREF1038_01542
ko:K03431	spng:HMPREF1038_01545
ko:K06958	spng:HMPREF1038_01551
ko:K03978	spng:HMPREF1038_01553
ko:K03544	spng:HMPREF1038_01554
ko:K04047	spng:HMPREF1038_01557
ko:K01803	spng:HMPREF1038_01559
ko:K00651	spng:HMPREF1038_01561
ko:K00759	spng:HMPREF1038_01562
ko:K03706	spng:HMPREF1038_01568
ko:K05592	spng:HMPREF1038_01569
ko:K08177	spng:HMPREF1038_01570
ko:K01928	spng:HMPREF1038_01572
ko:K00868	spng:HMPREF1038_01581
ko:K06173	spng:HMPREF1038_01582
ko:K06193	spng:HMPREF1038_01587
ko:K00945	spng:HMPREF1038_01588
ko:K05837	spng:HMPREF1038_00813
ko:K03152	spng:HMPREF1038_00814
ko:K02470	spng:HMPREF1038_00816
ko:K01491	spng:HMPREF1038_00836
ko:K01807	spng:HMPREF1038_00838
ko:K01839	spng:HMPREF1038_00839
ko:K02968	spng:HMPREF1038_00847
ko:K00756	spng:HMPREF1038_00852
ko:K07335	spng:HMPREF1038_00855
ko:K02057	spng:HMPREF1038_00857
ko:K02057	spng:HMPREF1038_00858
ko:K08591	spng:HMPREF1038_00863
ko:K02622	spng:HMPREF1038_00864
ko:K02621	spng:HMPREF1038_00866
ko:K00826	spng:HMPREF1038_00867
ko:K01304	spng:HMPREF1038_00871
ko:K02945	spng:HMPREF1038_00875
ko:K02343	spng:HMPREF1038_00877
ko:K09013	spng:HMPREF1038_00879
ko:K09015	spng:HMPREF1038_00880
ko:K11717	spng:HMPREF1038_00881
ko:K09014	spng:HMPREF1038_00883
ko:K02768	spng:HMPREF1038_00890
ko:K02769	spng:HMPREF1038_00890
ko:K02770	spng:HMPREF1038_00890
ko:K03466	spng:HMPREF1038_00892
ko:K04487	spng:HMPREF1038_00894
ko:K03151	spng:HMPREF1038_00895
ko:K03427	spng:HMPREF1038_00901
ko:K01154	spng:HMPREF1038_00902
ko:K07341	spng:HMPREF1038_00904
ko:K01154	spng:HMPREF1038_00906
ko:K01154	spng:HMPREF1038_00907
ko:K03402	spng:HMPREF1038_00911
ko:K02337	spng:HMPREF1038_00913
ko:K00850	spng:HMPREF1038_00914
ko:K00873	spng:HMPREF1038_00915
ko:K07089	spng:HMPREF1038_00924
ko:K06959	spng:HMPREF1038_00927
ko:K02003	spng:HMPREF1038_00931
ko:K00797	spng:HMPREF1038_00938
ko:K13747	spng:HMPREF1038_00940
ko:K10536	spng:HMPREF1038_00941
ko:K12251	spng:HMPREF1038_00942
ko:K03101	spng:HMPREF1038_00948
ko:K06180	spng:HMPREF1038_00949
ko:K00931	spng:HMPREF1038_00951
ko:K00147	spng:HMPREF1038_00952
ko:K00286	spng:HMPREF1038_00953
ko:K00943	spng:HMPREF1038_00954
ko:K02341	spng:HMPREF1038_00955
ko:K07056	spng:HMPREF1038_00957
ko:K04094	spng:HMPREF1038_00963
ko:K09903	spng:HMPREF1038_00964
ko:K02838	spng:HMPREF1038_00965
ko:K00243	spng:HMPREF1038_00966
ko:K02237	spng:HMPREF1038_00974
ko:K02520	spng:HMPREF1038_00979
ko:K02916	spng:HMPREF1038_00980
ko:K02887	spng:HMPREF1038_00981
ko:K07042	spng:HMPREF1038_00987
ko:K00859	spng:HMPREF1038_00991
ko:K03075	spng:HMPREF1038_00993
ko:K12573	spng:HMPREF1038_00994
ko:K03664	spng:HMPREF1038_00995
ko:K08602	spng:HMPREF1038_00999
ko:K04042	spng:HMPREF1038_01008
ko:K01126	spng:HMPREF1038_01014
ko:K03648	spng:HMPREF1038_01027
ko:K01465	spng:HMPREF1038_01029
ko:K03327	spng:HMPREF1038_01031
ko:K00161	spng:HMPREF1038_01032
ko:K00162	spng:HMPREF1038_01033
ko:K00627	spng:HMPREF1038_01034
ko:K00382	spng:HMPREF1038_01035
ko:K03800	spng:HMPREF1038_01036
ko:K03470	spng:HMPREF1038_01040
ko:K14540	spng:HMPREF1038_01041
ko:K01689	spng:HMPREF1038_01050
ko:K00865	spng:HMPREF1038_01052
ko:K00703	spng:HMPREF1038_01055
ko:K00975	spng:HMPREF1038_01056
ko:K00975	spng:HMPREF1038_01057
ko:K01972	spng:HMPREF1038_01062
ko:K06158	spng:HMPREF1038_01065
ko:K03530	spng:HMPREF1038_01066
ko:K11753	spng:HMPREF1038_01069
ko:K02899	spng:HMPREF1038_01072
ko:K02888	spng:HMPREF1038_01074
ko:K09747	spng:HMPREF1038_01076
ko:K06180	spng:HMPREF1038_01081
ko:K00858	spng:HMPREF1038_01082
ko:K00948	spng:HMPREF1038_01085
ko:K04487	spng:HMPREF1038_01086
ko:K01926	spng:HMPREF1038_01089
ko:K07010	spng:HMPREF1038_01090
ko:K03630	spng:HMPREF1038_01091
ko:K03657	spng:HMPREF1038_01092
ko:K01265	spng:HMPREF1038_01096
ko:K00790	spng:HMPREF1038_01099
ko:K03979	spng:HMPREF1038_01101
ko:K13678	spng:HMPREF1038_01105
ko:K03086	spng:HMPREF1038_01107
ko:K01595	spng:HMPREF1038_01112
ko:K03588	spng:HMPREF1038_01113
ko:K02013	spng:HMPREF1038_01152
ko:K02015	spng:HMPREF1038_01153
ko:K02015	spng:HMPREF1038_01154
ko:K02016	spng:HMPREF1038_01155
ko:K03215	spng:HMPREF1038_01158
ko:K00600	spng:HMPREF1038_01162
ko:K07566	spng:HMPREF1038_01164
ko:K02493	spng:HMPREF1038_01165
ko:K02835	spng:HMPREF1038_01166
ko:K01821	spng:HMPREF1038_01168
ko:K03650	spng:HMPREF1038_01169
ko:K01714	spng:HMPREF1038_01170
ko:K00133	spng:HMPREF1038_01171
ko:K03282	spng:HMPREF1038_01175
ko:K01772	spng:HMPREF1038_01176
ko:K02787	spng:HMPREF1038_01194
ko:K02788	spng:HMPREF1038_01194
ko:K02531	spng:HMPREF1038_01196
ko:K06942	spng:HMPREF1038_00004
ko:K01056	spng:HMPREF1038_00005
ko:K03723	spng:HMPREF1038_00006
ko:K04075	spng:HMPREF1038_00011
ko:K00760	spng:HMPREF1038_00012
ko:K03798	spng:HMPREF1038_00013
ko:K01939	spng:HMPREF1038_00023
ko:K04485	spng:HMPREF1038_00088
ko:K01673	spng:HMPREF1038_00089
ko:K00948	spng:HMPREF1038_00092
ko:K06929	spng:HMPREF1038_00096
ko:K03584	spng:HMPREF1038_00101
ko:K03621	spng:HMPREF1038_00102
ko:K02078	spng:HMPREF1038_00103
ko:K01923	spng:HMPREF1038_00109
ko:K01952	spng:HMPREF1038_00110
ko:K00764	spng:HMPREF1038_00111
ko:K01933	spng:HMPREF1038_00112
ko:K11175	spng:HMPREF1038_00113
ko:K00602	spng:HMPREF1038_00115
ko:K01945	spng:HMPREF1038_00116
ko:K01588	spng:HMPREF1038_00118
ko:K01589	spng:HMPREF1038_00119
ko:K01756	spng:HMPREF1038_00121
ko:K12308	spng:HMPREF1038_00124
ko:K02082	spng:HMPREF1038_00129
ko:K10682	spng:HMPREF1038_00146
ko:K10681	spng:HMPREF1038_00147
ko:K02986	spng:HMPREF1038_00148
ko:K07146	spng:HMPREF1038_00155
ko:K03449	spng:HMPREF1038_00161
ko:K01091	spng:HMPREF1038_00165
ko:K01752	spng:HMPREF1038_00166
ko:K01752	spng:HMPREF1038_00167
ko:K02003	spng:HMPREF1038_00172
ko:K01940	spng:HMPREF1038_00174
ko:K00566	spng:HMPREF1038_00190
ko:K03495	spng:HMPREF1038_00192
ko:K03789	spng:HMPREF1038_00199
ko:K00012	spng:HMPREF1038_00215
ko:K02073	spng:HMPREF1038_00223
ko:K02071	spng:HMPREF1038_00225
ko:K02072	spng:HMPREF1038_00226
ko:K07718	spng:HMPREF1038_00229
ko:K03572	spng:HMPREF1038_00236
ko:K00794	spng:HMPREF1038_00238
ko:K14652	spng:HMPREF1038_00239
ko:K00793	spng:HMPREF1038_00240
ko:K11752	spng:HMPREF1038_00241
ko:K03550	spng:HMPREF1038_00242
ko:K01246	spng:HMPREF1038_00243
ko:K03284	spng:HMPREF1038_00247
ko:K03701	spng:HMPREF1038_00248
ko:K07447	spng:HMPREF1038_00253
ko:K11754	spng:HMPREF1038_00255
ko:K06131	spng:HMPREF1038_00257
ko:K02946	spng:HMPREF1038_00265
ko:K02906	spng:HMPREF1038_00266
ko:K02926	spng:HMPREF1038_00267
ko:K02892	spng:HMPREF1038_00268
ko:K02886	spng:HMPREF1038_00269
ko:K02965	spng:HMPREF1038_00270
ko:K02890	spng:HMPREF1038_00271
ko:K02982	spng:HMPREF1038_00272
ko:K02878	spng:HMPREF1038_00273
ko:K02904	spng:HMPREF1038_00274
ko:K02961	spng:HMPREF1038_00275
ko:K02874	spng:HMPREF1038_00276
ko:K02895	spng:HMPREF1038_00277
ko:K02931	spng:HMPREF1038_00278
ko:K02954	spng:HMPREF1038_00279
ko:K02994	spng:HMPREF1038_00280
ko:K02933	spng:HMPREF1038_00281
ko:K02881	spng:HMPREF1038_00282
ko:K02988	spng:HMPREF1038_00283
ko:K02907	spng:HMPREF1038_00284
ko:K02876	spng:HMPREF1038_00285
ko:K03076	spng:HMPREF1038_00286
ko:K02518	spng:HMPREF1038_00288
ko:K02952	spng:HMPREF1038_00289
ko:K02948	spng:HMPREF1038_00290
ko:K03040	spng:HMPREF1038_00291
ko:K02879	spng:HMPREF1038_00292
ko:K09157	spng:HMPREF1038_00294
ko:K02011	spng:HMPREF1038_00296
ko:K02011	spng:HMPREF1038_00297
ko:K02012	spng:HMPREF1038_00300
ko:K02012	spng:HMPREF1038_00301
ko:K04069	spng:HMPREF1038_00303
ko:K02759	spng:HMPREF1038_00306
ko:K02760	spng:HMPREF1038_00307
ko:K02761	spng:HMPREF1038_00308
ko:K00656	spng:HMPREF1038_00309
ko:K00005	spng:HMPREF1038_00311
ko:K01869	spng:HMPREF1038_00312
ko:K03551	spng:HMPREF1038_00315
ko:K09962	spng:HMPREF1038_00316
ko:K00806	spng:HMPREF1038_00317
ko:K00981	spng:HMPREF1038_00318
ko:K11749	spng:HMPREF1038_00319
ko:K01881	spng:HMPREF1038_00320
ko:K01223	spng:HMPREF1038_00321
ko:K00820	spng:HMPREF1038_00322
ko:K02950	spng:HMPREF1038_00326
ko:K02992	spng:HMPREF1038_00327
ko:K02355	spng:HMPREF1038_00328
ko:K03763	spng:HMPREF1038_00329
ko:K06901	spng:HMPREF1038_00343
ko:K00796	spng:HMPREF1038_00345
ko:K11754	spng:HMPREF1038_00346
ko:K01495	spng:HMPREF1038_00347
ko:K13940	spng:HMPREF1038_00348
ko:K02871	spng:HMPREF1038_00350
ko:K02996	spng:HMPREF1038_00351
ko:K01223	spng:HMPREF1038_00354
ko:K02760	spng:HMPREF1038_00356
ko:K02759	spng:HMPREF1038_00358
ko:K02761	spng:HMPREF1038_00360
ko:K00432	spng:HMPREF1038_00363
ko:K01625	spng:HMPREF1038_00366
ko:K00874	spng:HMPREF1038_00367
ko:K02746	spng:HMPREF1038_00373
ko:K02747	spng:HMPREF1038_00374
ko:K03210	spng:HMPREF1038_00375
ko:K03438	spng:HMPREF1038_00382
ko:K01000	spng:HMPREF1038_00385
ko:K07173	spng:HMPREF1038_00388
ko:K00012	spng:HMPREF1038_00406
ko:K00973	spng:HMPREF1038_00410
ko:K01790	spng:HMPREF1038_00411
ko:K05366	spng:HMPREF1038_00419
ko:K07444	spng:HMPREF1038_00424
ko:K03545	spng:HMPREF1038_00445
ko:K03581	spng:HMPREF1038_00446
ko:K03100	spng:HMPREF1038_00447
ko:K07456	spng:HMPREF1038_00451
ko:K03310	spng:HMPREF1038_00452
ko:K01875	spng:HMPREF1038_00455
ko:K00928	spng:HMPREF1038_00457
ko:K00648	spng:HMPREF1038_00461
ko:K02078	spng:HMPREF1038_00462
ko:K00645	spng:HMPREF1038_00464
ko:K09458	spng:HMPREF1038_00466
ko:K02160	spng:HMPREF1038_00467
ko:K02372	spng:HMPREF1038_00468
ko:K01961	spng:HMPREF1038_00469
ko:K01963	spng:HMPREF1038_00470
ko:K01962	spng:HMPREF1038_00471
ko:K03625	spng:HMPREF1038_00475
ko:K02356	spng:HMPREF1038_00477
ko:K02434	spng:HMPREF1038_00478
ko:K02435	spng:HMPREF1038_00480
ko:K02837	spng:HMPREF1038_00481
ko:K02902	spng:HMPREF1038_00483
ko:K01652	spng:HMPREF1038_00486
ko:K01653	spng:HMPREF1038_00487
ko:K00053	spng:HMPREF1038_00488
ko:K01754	spng:HMPREF1038_00491
ko:K06153	spng:HMPREF1038_00500
ko:K02346	spng:HMPREF1038_00502
ko:K00656	spng:HMPREF1038_00504
ko:K02761	spng:HMPREF1038_00510
ko:K02787	spng:HMPREF1038_00514
ko:K02788	spng:HMPREF1038_00514
ko:K03216	spng:HMPREF1038_00522
ko:K01937	spng:HMPREF1038_00529
ko:K03324	spng:HMPREF1038_00530
ko:K00927	spng:HMPREF1038_00532
ko:K01915	spng:HMPREF1038_00535
ko:K01154	spng:HMPREF1038_00540
ko:K01154	spng:HMPREF1038_00541
ko:K03427	spng:HMPREF1038_00542
ko:K01153	spng:HMPREF1038_00543
ko:K03705	spng:HMPREF1038_00546
