ko:K18929	hph:HPLT_00725
ko:K04562	hph:HPLT_02130
ko:K02405	hph:HPLT_02140
ko:K02416	hph:HPLT_02145
ko:K02417	hph:HPLT_02150
ko:K07478	hph:HPLT_02170
ko:K05516	hph:HPLT_02180
ko:K12506	hph:HPLT_02200
ko:K00995	hph:HPLT_02215
ko:K01714	hph:HPLT_02235
ko:K00937	hph:HPLT_02250
ko:K01154	hph:HPLT_02255
ko:K03427	hph:HPLT_02260
ko:K01153	hph:HPLT_02265
ko:K01153	hph:HPLT_02275
ko:K08602	hph:HPLT_02305
ko:K02876	hph:HPLT_06530
ko:K02988	hph:HPLT_06535
ko:K02881	hph:HPLT_06540
ko:K02933	hph:HPLT_06545
ko:K02994	hph:HPLT_06550
ko:K02954	hph:HPLT_06555
ko:K02931	hph:HPLT_06560
ko:K02895	hph:HPLT_06565
ko:K02874	hph:HPLT_06570
ko:K02961	hph:HPLT_06575
ko:K02904	hph:HPLT_06580
ko:K02878	hph:HPLT_06585
ko:K02982	hph:HPLT_06590
ko:K02890	hph:HPLT_06595
ko:K02965	hph:HPLT_06600
ko:K02886	hph:HPLT_06605
ko:K02892	hph:HPLT_06610
ko:K02926	hph:HPLT_06615
ko:K02906	hph:HPLT_06620
ko:K02946	hph:HPLT_06625
ko:K07133	hph:HPLT_06630
ko:K03470	hph:HPLT_06640
ko:K07787	hph:HPLT_06675
ko:K03686	hph:HPLT_06690
ko:K00566	hph:HPLT_06700
ko:K00969	hph:HPLT_06710
ko:K07722	hph:HPLT_06715
ko:K03561	hph:HPLT_06720
ko:K03832	hph:HPLT_06730
ko:K03284	hph:HPLT_06745
ko:K00927	hph:HPLT_06750
ko:K00134	hph:HPLT_06755
ko:K03648	hph:HPLT_06760
ko:K00655	hph:HPLT_06765
ko:K03797	hph:HPLT_06775
ko:K08303	hph:HPLT_00885
ko:K02836	hph:HPLT_00895
ko:K03750	hph:HPLT_00900
ko:K02421	hph:HPLT_00905
ko:K01624	hph:HPLT_00925
ko:K02356	hph:HPLT_00930
ko:K03820	hph:HPLT_00945
ko:K03558	hph:HPLT_00950
ko:K04567	hph:HPLT_00955
ko:K00600	hph:HPLT_00960
ko:K00246	hph:HPLT_01010
ko:K01803	hph:HPLT_01015
ko:K00208	hph:HPLT_01020
ko:K02536	hph:HPLT_01025
ko:K00789	hph:HPLT_01030
ko:K00940	hph:HPLT_01035
ko:K02911	hph:HPLT_01045
ko:K03621	hph:HPLT_01050
ko:K00648	hph:HPLT_01055
ko:K04079	hph:HPLT_01095
ko:K03495	hph:HPLT_01115
ko:K14445	hph:HPLT_01120
ko:K00981	hph:HPLT_01125
ko:K00099	hph:HPLT_01130
ko:K04487	hph:HPLT_01155
ko:K13819	hph:HPLT_01160
ko:K04485	hph:HPLT_01170
ko:K12267	hph:HPLT_01175
ko:K00172	hph:HPLT_05495
ko:K00171	hph:HPLT_05500
ko:K00169	hph:HPLT_05505
ko:K00170	hph:HPLT_05510
ko:K01756	hph:HPLT_05515
ko:K03702	hph:HPLT_05525
ko:K02396	hph:HPLT_05570
ko:K03775	hph:HPLT_05595
ko:K03640	hph:HPLT_05605
ko:K03641	hph:HPLT_05610
ko:K02114	hph:HPLT_05630
ko:K02112	hph:HPLT_05635
ko:K02115	hph:HPLT_05640
ko:K02111	hph:HPLT_05645
ko:K02113	hph:HPLT_05650
ko:K02109	hph:HPLT_05655
ko:K02109	hph:HPLT_05660
ko:K03524	hph:HPLT_05675
ko:K00604	hph:HPLT_05680
ko:K02884	hph:HPLT_05710
ko:K00554	hph:HPLT_05715
ko:K02860	hph:HPLT_05720
ko:K06960	hph:HPLT_05725
ko:K02959	hph:HPLT_05730
ko:K03106	hph:HPLT_05735
ko:K01873	hph:HPLT_05740
ko:K02563	hph:HPLT_05750
ko:K03625	hph:HPLT_00005
ko:K00794	hph:HPLT_00010
ko:K01627	hph:HPLT_00015
ko:K01673	hph:HPLT_00020
ko:K01591	hph:HPLT_00025
ko:K01918	hph:HPLT_00030
ko:K04077	hph:HPLT_00045
ko:K04078	hph:HPLT_00050
ko:K00566	hph:HPLT_00060
ko:K09859	hph:HPLT_00085
ko:K03415	hph:HPLT_00090
ko:K13747	hph:HPLT_00095
ko:K03760	hph:HPLT_00105
ko:K01647	hph:HPLT_00130
ko:K00031	hph:HPLT_00135
ko:K01935	hph:HPLT_00145
ko:K06891	hph:HPLT_00160
ko:K03694	hph:HPLT_00165
ko:K01579	hph:HPLT_00170
ko:K09747	hph:HPLT_00175
ko:K01711	hph:HPLT_00220
ko:K02377	hph:HPLT_00225
ko:K01955	hph:HPLT_04670
ko:K00134	hph:HPLT_04680
ko:K01821	hph:HPLT_04695
ko:K06187	hph:HPLT_04700
ko:K06176	hph:HPLT_04705
ko:K03799	hph:HPLT_04710
ko:K01495	hph:HPLT_04715
ko:K00795	hph:HPLT_04720
ko:K03787	hph:HPLT_04725
ko:K01737	hph:HPLT_04735
ko:K01775	hph:HPLT_04790
ko:K03310	hph:HPLT_04795
ko:K00285	hph:HPLT_04800
ko:K00783	hph:HPLT_04835
ko:K01963	hph:HPLT_04840
ko:K13292	hph:HPLT_04865
ko:K02527	hph:HPLT_04875
ko:K07164	hph:HPLT_04880
ko:K01878	hph:HPLT_04890
ko:K00057	hph:HPLT_04895
ko:K01735	hph:HPLT_01455
ko:K01586	hph:HPLT_01490
ko:K02397	hph:HPLT_01520
ko:K02888	hph:HPLT_01525
ko:K02899	hph:HPLT_01530
ko:K12368	hph:HPLT_01535
ko:K12370	hph:HPLT_01545
ko:K12372	hph:HPLT_01555
ko:K03979	hph:HPLT_01560
ko:K01845	hph:HPLT_01575
ko:K07226	hph:HPLT_01630
ko:K01887	hph:HPLT_01635
ko:K03116	hph:HPLT_01640
ko:K00942	hph:HPLT_01645
ko:K02393	hph:HPLT_01665
ko:K00912	hph:HPLT_01685
ko:K00053	hph:HPLT_01695
ko:K03609	hph:HPLT_01700
ko:K03608	hph:HPLT_01705
ko:K04096	hph:HPLT_01710
ko:K07447	hph:HPLT_01715
ko:K02913	hph:HPLT_06020
ko:K02358	hph:HPLT_06025
ko:K00640	hph:HPLT_06050
ko:K02110	hph:HPLT_06055
ko:K00962	hph:HPLT_06060
ko:K04744	hph:HPLT_06070
ko:K01945	hph:HPLT_06080
ko:K00806	hph:HPLT_06110
ko:K06199	hph:HPLT_06130
ko:K08311	hph:HPLT_06145
ko:K00928	hph:HPLT_06150
ko:K02341	hph:HPLT_06160
ko:K00796	hph:HPLT_06165
ko:K09804	hph:HPLT_06185
ko:K01956	hph:HPLT_06190
ko:K06287	hph:HPLT_06210
ko:K01872	hph:HPLT_06215
ko:K09794	hph:HPLT_06220
ko:K02963	hph:HPLT_06240
ko:K02990	hph:HPLT_06250
ko:K02340	hph:HPLT_06260
ko:K02417	hph:HPLT_02905
ko:K10773	hph:HPLT_02910
ko:K07082	hph:HPLT_02925
ko:K00176	hph:HPLT_02930
ko:K00174	hph:HPLT_02935
ko:K00175	hph:HPLT_02940
ko:K00177	hph:HPLT_02945
ko:K03611	hph:HPLT_02955
ko:K02406	hph:HPLT_02990
ko:K01599	hph:HPLT_03005
ko:K01972	hph:HPLT_03055
ko:K03415	hph:HPLT_03060
ko:K01876	hph:HPLT_03065
ko:K07270	hph:HPLT_03080
ko:K07456	hph:HPLT_03095
ko:K01924	hph:HPLT_03105
ko:K03923	hph:HPLT_03140
ko:K03620	hph:HPLT_03155
ko:K02386	hph:HPLT_07350
ko:K03657	hph:HPLT_07355
ko:K01875	hph:HPLT_07365
ko:K03602	hph:HPLT_07375
ko:K03183	hph:HPLT_07380
ko:K08973	hph:HPLT_07385
ko:K01993	hph:HPLT_07405
ko:K03306	hph:HPLT_07420
ko:K01928	hph:HPLT_07435
ko:K02897	hph:HPLT_07445
ko:K01056	hph:HPLT_07450
ko:K11720	hph:HPLT_07455
ko:K09943	hph:HPLT_07485
ko:K11752	hph:HPLT_07500
ko:K03312	hph:HPLT_07505
ko:K08591	hph:HPLT_07520
ko:K01633	hph:HPLT_07525
ko:K01042	hph:HPLT_07540
ko:K02600	hph:HPLT_07545
ko:K03655	hph:HPLT_07580
ko:K01142	hph:HPLT_07595
ko:K02313	hph:HPLT_07605
ko:K02020	hph:HPLT_02320
ko:K02018	hph:HPLT_02325
ko:K06207	hph:HPLT_02355
ko:K03781	hph:HPLT_02390
ko:K02902	hph:HPLT_02430
ko:K15846	hph:HPLT_02435
ko:K01000	hph:HPLT_02440
ko:K01925	hph:HPLT_02445
ko:K07107	hph:HPLT_02455
ko:K03308	hph:HPLT_02460
ko:K03308	hph:HPLT_02465
ko:K01058	hph:HPLT_02470
ko:K02338	hph:HPLT_02475
ko:K02470	hph:HPLT_02480
ko:K00215	hph:HPLT_02520
ko:K01915	hph:HPLT_02535
ko:K02939	hph:HPLT_02545
ko:K01419	hph:HPLT_02550
ko:K03667	hph:HPLT_02555
ko:K00767	hph:HPLT_06800
ko:K03517	hph:HPLT_06805
ko:K03517	hph:HPLT_06810
ko:K01613	hph:HPLT_06815
ko:K03179	hph:HPLT_06830
ko:K03570	hph:HPLT_06880
ko:K03569	hph:HPLT_06885
ko:K03544	hph:HPLT_06890
ko:K00677	hph:HPLT_06895
ko:K02372	hph:HPLT_06900
ko:K13626	hph:HPLT_06905
ko:K05807	hph:HPLT_06915
ko:K01338	hph:HPLT_06920
ko:K01173	hph:HPLT_06930
ko:K01012	hph:HPLT_06945
ko:K07058	hph:HPLT_06950
ko:K09457	hph:HPLT_06990
ko:K09710	hph:HPLT_06995
ko:K00791	hph:HPLT_07000
ko:K00075	hph:HPLT_07025
ko:K02420	hph:HPLT_07030
ko:K02412	hph:HPLT_07035
ko:K01870	hph:HPLT_07045
ko:K06941	hph:HPLT_07065
ko:K07090	hph:HPLT_01180
ko:K00979	hph:HPLT_01200
ko:K03981	hph:HPLT_01205
ko:K01749	hph:HPLT_01235
ko:K01881	hph:HPLT_01240
ko:K02492	hph:HPLT_01245
ko:K02523	hph:HPLT_01250
ko:K04047	hph:HPLT_01265
ko:K07710	hph:HPLT_01270
ko:K02394	hph:HPLT_01280
ko:K05592	hph:HPLT_01285
ko:K13896	hph:HPLT_01300
ko:K13895	hph:HPLT_01305
ko:K01939	hph:HPLT_01325
ko:K11749	hph:HPLT_01340
ko:K03601	hph:HPLT_01345
ko:K03695	hph:HPLT_01360
ko:K01465	hph:HPLT_01370
ko:K06168	hph:HPLT_01385
ko:K09778	hph:HPLT_01390
ko:K06940	hph:HPLT_01410
ko:K01609	hph:HPLT_01420
ko:K01524	hph:HPLT_01430
ko:K02841	hph:HPLT_01435
ko:K02517	hph:HPLT_01440
ko:K00773	hph:HPLT_01445
ko:K09944	hph:HPLT_01450
ko:K00286	hph:HPLT_05765
ko:K04095	hph:HPLT_05770
ko:K07042	hph:HPLT_05785
ko:K03839	hph:HPLT_05790
ko:K00384	hph:HPLT_05805
ko:K01810	hph:HPLT_05820
ko:K06200	hph:HPLT_05835
ko:K02029	hph:HPLT_05840
ko:K02429	hph:HPLT_05865
ko:K06901	hph:HPLT_05870
ko:K01839	hph:HPLT_05890
ko:K08159	hph:HPLT_05925
ko:K00133	hph:HPLT_05940
ko:K01892	hph:HPLT_05945
ko:K02355	hph:HPLT_05965
ko:K02992	hph:HPLT_05970
ko:K02950	hph:HPLT_05975
ko:K02935	hph:HPLT_05990
ko:K02864	hph:HPLT_05995
ko:K02863	hph:HPLT_06000
ko:K02867	hph:HPLT_06005
ko:K02601	hph:HPLT_06010
ko:K03073	hph:HPLT_06015
ko:K04656	hph:HPLT_00240
ko:K13821	hph:HPLT_00260
ko:K03190	hph:HPLT_00370
ko:K03189	hph:HPLT_00375
ko:K03188	hph:HPLT_00380
ko:K03187	hph:HPLT_00385
ko:K01428	hph:HPLT_00395
ko:K03101	hph:HPLT_00405
ko:K03431	hph:HPLT_00410
ko:K02968	hph:HPLT_00415
ko:K02835	hph:HPLT_00420
ko:K02996	hph:HPLT_00455
ko:K02871	hph:HPLT_00460
ko:K00116	hph:HPLT_00470
ko:K03086	hph:HPLT_00480
ko:K00645	hph:HPLT_00490
ko:K09805	hph:HPLT_00495
ko:K01733	hph:HPLT_00530
ko:K09765	hph:HPLT_00540
ko:K07173	hph:HPLT_00565
ko:K04043	hph:HPLT_00585
ko:K03687	hph:HPLT_00590
ko:K01879	hph:HPLT_04940
ko:K15633	hph:HPLT_04950
ko:K02435	hph:HPLT_04955
ko:K00833	hph:HPLT_04960
ko:K03770	hph:HPLT_04965
ko:K03590	hph:HPLT_04970
ko:K03531	hph:HPLT_04975
ko:K15257	hph:HPLT_05130
ko:K01772	hph:HPLT_05135
ko:K01874	hph:HPLT_05140
ko:K00574	hph:HPLT_05145
ko:K15846	hph:HPLT_05160
ko:K01951	hph:HPLT_05170
ko:K02503	hph:HPLT_05195
ko:K01889	hph:HPLT_05200
ko:K01890	hph:HPLT_05205
ko:K00800	hph:HPLT_05210
ko:K03527	hph:HPLT_05215
ko:K06180	hph:HPLT_01765
ko:K07462	hph:HPLT_01770
ko:K01937	hph:HPLT_01775
ko:K02409	hph:HPLT_01785
ko:K02410	hph:HPLT_01790
ko:K02411	hph:HPLT_01795
ko:K01662	hph:HPLT_01800
ko:K03596	hph:HPLT_01805
ko:K02392	hph:HPLT_01820
ko:K00615	hph:HPLT_01845
ko:K11753	hph:HPLT_01850
ko:K06442	hph:HPLT_01855
ko:K00609	hph:HPLT_01865
ko:K07241	hph:HPLT_01910
ko:K03798	hph:HPLT_01955
ko:K02687	hph:HPLT_01960
ko:K03413	hph:HPLT_01965
ko:K06950	hph:HPLT_01980
ko:K03501	hph:HPLT_01985
ko:K07568	hph:HPLT_01990
ko:K03118	hph:HPLT_01995
ko:K03117	hph:HPLT_02000
ko:K03551	hph:HPLT_02005
ko:K00606	hph:HPLT_02010
ko:K03610	hph:HPLT_02035
ko:K02535	hph:HPLT_02040
ko:K12573	hph:HPLT_06265
ko:K00014	hph:HPLT_06270
ko:K13894	hph:HPLT_06280
ko:K13893	hph:HPLT_06285
ko:K01867	hph:HPLT_06290
ko:K02169	hph:HPLT_06295
ko:K03075	hph:HPLT_06300
ko:K02838	hph:HPLT_06305
ko:K00762	hph:HPLT_06310
ko:K12410	hph:HPLT_06325
ko:K00330	hph:HPLT_06330
ko:K00331	hph:HPLT_06335
ko:K00332	hph:HPLT_06340
ko:K00333	hph:HPLT_06345
ko:K00334	hph:HPLT_06350
ko:K00337	hph:HPLT_06365
ko:K00338	hph:HPLT_06370
ko:K00339	hph:HPLT_06375
ko:K00340	hph:HPLT_06380
ko:K00341	hph:HPLT_06385
ko:K00342	hph:HPLT_06390
ko:K00343	hph:HPLT_06395
ko:K15778	hph:HPLT_06405
ko:K01695	hph:HPLT_06415
ko:K01696	hph:HPLT_06420
ko:K13498	hph:HPLT_06425
ko:K00766	hph:HPLT_06430
ko:K01657	hph:HPLT_06440
ko:K03707	hph:HPLT_06465
ko:K03811	hph:HPLT_06470
ko:K02879	hph:HPLT_06485
ko:K03040	hph:HPLT_06490
ko:K02986	hph:HPLT_06495
ko:K02948	hph:HPLT_06500
ko:K02952	hph:HPLT_06505
ko:K02919	hph:HPLT_06510
ko:K02518	hph:HPLT_06515
ko:K01265	hph:HPLT_06520
ko:K03076	hph:HPLT_06525
ko:K03705	hph:HPLT_00595
ko:K01628	hph:HPLT_00600
ko:K02406	hph:HPLT_00615
ko:K03168	hph:HPLT_00620
ko:K01868	hph:HPLT_00650
ko:K02520	hph:HPLT_00655
ko:K02916	hph:HPLT_00660
ko:K02887	hph:HPLT_00665
ko:K01752	hph:HPLT_00695
ko:K03837	hph:HPLT_00700
ko:K01626	hph:HPLT_00705
ko:K03564	hph:HPLT_00715
ko:K00782	hph:HPLT_00720
ko:K03303	hph:HPLT_00735
ko:K03303	hph:HPLT_00740
ko:K03575	hph:HPLT_00745
ko:K00404	hph:HPLT_00755
ko:K00405	hph:HPLT_00760
ko:K00407	hph:HPLT_00765
ko:K00406	hph:HPLT_00770
ko:K01689	hph:HPLT_00810
ko:K00891	hph:HPLT_00825
ko:K01698	hph:HPLT_00860
ko:K02945	hph:HPLT_05220
ko:K03182	hph:HPLT_05235
ko:K06997	hph:HPLT_05240
ko:K03269	hph:HPLT_05245
ko:K03415	hph:HPLT_05250
ko:K03407	hph:HPLT_05255
ko:K03408	hph:HPLT_05260
ko:K11065	hph:HPLT_05265
ko:K04564	hph:HPLT_05270
ko:K15256	hph:HPLT_05275
ko:K04066	hph:HPLT_05280
ko:K02493	hph:HPLT_05310
ko:K00262	hph:HPLT_05315
ko:K01772	hph:HPLT_05335
ko:K09761	hph:HPLT_05345
ko:K01494	hph:HPLT_05355
ko:K02160	hph:HPLT_05360
ko:K01961	hph:HPLT_05365
ko:K00573	hph:HPLT_05400
ko:K07091	hph:HPLT_05405
ko:K06173	hph:HPLT_05410
ko:K01625	hph:HPLT_05440
ko:K01690	hph:HPLT_05445
ko:K00036	hph:HPLT_05450
ko:K01057	hph:HPLT_05455
ko:K13979	hph:HPLT_05465
ko:K04651	hph:HPLT_04400
ko:K02390	hph:HPLT_04405
ko:K01521	hph:HPLT_04410
ko:K06193	hph:HPLT_04415
ko:K03781	hph:HPLT_04430
ko:K01159	hph:HPLT_04440
ko:K03550	hph:HPLT_04465
ko:K03980	hph:HPLT_04475
ko:K01883	hph:HPLT_04480
ko:K02013	hph:HPLT_04500
ko:K02015	hph:HPLT_04505
ko:K04654	hph:HPLT_04555
ko:K04653	hph:HPLT_04560
ko:K00925	hph:HPLT_04580
ko:K00925	hph:HPLT_04585
ko:K13788	hph:HPLT_04595
ko:K02389	hph:HPLT_04610
ko:K02390	hph:HPLT_04615
ko:K03657	hph:HPLT_04630
ko:K12574	hph:HPLT_07075
ko:K18682	hph:HPLT_03830
ko:K03168	hph:HPLT_07795
ko:K01153	hph:HPLT_07825
ko:K07043	hph:HPLT_07830
ko:K01476	hph:HPLT_07845
ko:K00259	hph:HPLT_07850
ko:K00858	hph:HPLT_07865
ko:K03631	hph:HPLT_07870
ko:K03841	hph:HPLT_07905
ko:K01783	hph:HPLT_07910
ko:K02357	hph:HPLT_07925
ko:K02967	hph:HPLT_07930
ko:K03313	hph:HPLT_07940
ko:K03210	hph:HPLT_07945
ko:K03072	hph:HPLT_07950
ko:K03074	hph:HPLT_07955
ko:K10856	hph:HPLT_03480
ko:K00901	hph:HPLT_03495
ko:K02469	hph:HPLT_03500
ko:K03701	hph:HPLT_03525
ko:K03438	hph:HPLT_03535
ko:K07023	hph:HPLT_03565
ko:K03092	hph:HPLT_03575
ko:K06861	hph:HPLT_03580
ko:K06925	hph:HPLT_03585
ko:K02343	hph:HPLT_03590
ko:K06895	hph:HPLT_03595
ko:K07791	hph:HPLT_03615
ko:K04075	hph:HPLT_03640
ko:K01095	hph:HPLT_03700
ko:K01921	hph:HPLT_03705
ko:K01929	hph:HPLT_03715
ko:K00948	hph:HPLT_03725
ko:K05837	hph:HPLT_03730
ko:K06180	hph:HPLT_03755
ko:K03439	hph:HPLT_03765
ko:K09812	hph:HPLT_03770
ko:K09811	hph:HPLT_03775
ko:K02407	hph:HPLT_03790
ko:K02422	hph:HPLT_03795
ko:K01869	hph:HPLT_07965
ko:K11754	hph:HPLT_07975
ko:K03723	hph:HPLT_07995
ko:K00411	hph:HPLT_08000
ko:K00412	hph:HPLT_08005
ko:K00413	hph:HPLT_08010
ko:K03587	hph:HPLT_08035
ko:K02408	hph:HPLT_08040
ko:K02388	hph:HPLT_08045
ko:K02387	hph:HPLT_08050
ko:K03588	hph:HPLT_08055
ko:K02016	hph:HPLT_08060
ko:K02016	hph:HPLT_08065
ko:K02073	hph:HPLT_08075
ko:K05515	hph:HPLT_08085
ko:K03978	hph:HPLT_08095
ko:K09774	hph:HPLT_08100
ko:K03270	hph:HPLT_08110
ko:K03642	hph:HPLT_08115
ko:K08307	hph:HPLT_08120
ko:K03424	hph:HPLT_08125
ko:K00793	hph:HPLT_08130
ko:K04061	hph:HPLT_08135
ko:K02071	hph:HPLT_08140
ko:K02072	hph:HPLT_08145
ko:K03474	hph:HPLT_08170
ko:K00097	hph:HPLT_08175
ko:K02392	hph:HPLT_08185
ko:K12251	hph:HPLT_03815
ko:K07084	hph:HPLT_03820
ko:K03110	hph:HPLT_03845
ko:K06940	hph:HPLT_03850
ko:K03639	hph:HPLT_03870
ko:K03752	hph:HPLT_03875
ko:K02401	hph:HPLT_03885
ko:K01448	hph:HPLT_03895
ko:K00459	hph:HPLT_03900
ko:K01866	hph:HPLT_03905
ko:K03060	hph:HPLT_03915
ko:K09903	hph:HPLT_03920
ko:K01682	hph:HPLT_03930
ko:K03634	hph:HPLT_03960
ko:K03070	hph:HPLT_03965
ko:K01534	hph:HPLT_03995
ko:K07391	hph:HPLT_04000
ko:K01462	hph:HPLT_04005
ko:K01358	hph:HPLT_04010
ko:K03545	hph:HPLT_04015
ko:K15846	hph:HPLT_04025
ko:K03637	hph:HPLT_04030
ko:K03831	hph:HPLT_04035
ko:K03636	hph:HPLT_04045
ko:K14652	hph:HPLT_04060
ko:K07270	hph:HPLT_04070
ko:K07043	hph:HPLT_04075
ko:K02847	hph:HPLT_02105
ko:K16091	hph:HPLT_03415
ko:K16091	hph:HPLT_04080
ko:K14233	hph:HPLT_t08229
ko:K14219	hph:HPLT_t08259
ko:K15726	hph:HPLT_04925
ko:K01977	hph:HPLT_r08293
ko:K01977	hph:HPLT_r08295
ko:K14230	hph:HPLT_t08271
ko:K14234	hph:HPLT_t08275
ko:K14225	hph:HPLT_t08277
ko:K14236	hph:HPLT_t08279
ko:K14234	hph:HPLT_t08281
ko:K14228	hph:HPLT_t08283
ko:K14228	hph:HPLT_t08285
ko:K14231	hph:HPLT_t08287
ko:K14226	hph:HPLT_t08261
ko:K10716	hph:HPLT_02425
ko:K14218	hph:HPLT_t08233
ko:K02014	hph:HPLT_04435
ko:K02014	hph:HPLT_07535
ko:K03496	hph:HPLT_08334
ko:K03496	hph:HPLT_07770
ko:K02028	hph:HPLT_05850
ko:K02030	hph:HPLT_05855
ko:K00088	hph:HPLT_04200
ko:K02433	hph:HPLT_04205
ko:K04093	hph:HPLT_01495
ko:K03342	hph:HPLT_01510
ko:K01916	hph:HPLT_01690
ko:K01719	hph:HPLT_06125
ko:K01455	hph:HPLT_06195
ko:K00652	hph:HPLT_02975
ko:K07457	hph:HPLT_02995
ko:K00939	hph:HPLT_03070
ko:K01507	hph:HPLT_03085
ko:K00674	hph:HPLT_03120
ko:K07126	hph:HPLT_03125
ko:K00616	hph:HPLT_07440
ko:K01156	hph:HPLT_07565
ko:K07316	hph:HPLT_07575
ko:K03279	hph:HPLT_00835
ko:K07126	hph:HPLT_00840
ko:K00058	hph:HPLT_05230
ko:K06013	hph:HPLT_05305
ko:K01784	hph:HPLT_05415
ko:K07126	hph:HPLT_05435
ko:K00845	hph:HPLT_05460
ko:K07098	hph:HPLT_02080
ko:K01262	hph:HPLT_02115
ko:K03711	hph:HPLT_02165
ko:K13640	hph:HPLT_02175
ko:K00076	hph:HPLT_02230
ko:K03455	hph:HPLT_02310
ko:K01679	hph:HPLT_06655
ko:K01885	hph:HPLT_03210
ko:K03469	hph:HPLT_03305
ko:K04763	hph:HPLT_03365
ko:K00567	hph:HPLT_03370
ko:K13016	hph:HPLT_03380
ko:K00626	hph:HPLT_03445
ko:K02342	hph:HPLT_07915
ko:K04652	hph:HPLT_04565
ko:K00625	hph:HPLT_04590
ko:K02014	hph:HPLT_04660
ko:K01885	hph:HPLT_02335
ko:K08077	hph:HPLT_02505
ko:K07126	hph:HPLT_02570
ko:K02238	hph:HPLT_06835
ko:K04517	hph:HPLT_06925
ko:K03279	hph:HPLT_07005
ko:K02017	hph:HPLT_02330
ko:K15898	hph:HPLT_00935
ko:K00245	hph:HPLT_01000
ko:K00244	hph:HPLT_01005
ko:K03593	hph:HPLT_01075
