ko:K02335	abm:ABSDF2897
ko:K02945	abm:ABSDF1738
ko:K02302	abm:ABSDF0748
ko:K10805	abm:ABSDF0406
ko:K04754	abm:ABSDF2885
ko:K03808	abm:ABSDF2348
ko:K03665	abm:ABSDF2856
ko:K09857	abm:ABSDF2346
ko:K06192	abm:ABSDF2347
ko:K09986	abm:ABSDF3132
ko:K02909	abm:ABSDF3120
ko:K02518	abm:ABSDF3092
ko:K02913	abm:ABSDF3064
ko:K02902	abm:ABSDF3063
ko:K03117	abm:ABSDF3041
ko:K03545	abm:ABSDF3029
ko:K06949	abm:ABSDF2990
ko:K03624	abm:ABSDF0788
ko:K02160	abm:ABSDF2189
ko:K03470	abm:ABSDF1430
ko:K01857	abm:ABSDF2021
ko:K00991	abm:ABSDF2025
ko:K01689	abm:ABSDF2032
ko:K01627	abm:ABSDF2033
ko:K01937	abm:ABSDF2034
ko:K01626	abm:ABSDF2046
ko:K00145	abm:ABSDF2051
ko:K01754	abm:ABSDF2056
ko:K01265	abm:ABSDF2093
ko:K00557	abm:ABSDF2113
ko:K00615	abm:ABSDF2119
ko:K00789	abm:ABSDF2121
ko:K01012	abm:ABSDF2133
ko:K00990	abm:ABSDF2174
ko:K00432	abm:ABSDF2179
ko:K07305	abm:ABSDF2180
ko:K05597	abm:ABSDF2183
ko:K00075	abm:ABSDF2201
ko:K01104	abm:ABSDF2202
ko:K00001	abm:ABSDF2205
ko:K01114	abm:ABSDF2207
ko:K00616	abm:ABSDF2217
ko:K01531	abm:ABSDF2222
ko:K01487	abm:ABSDF2232
ko:K03270	abm:ABSDF2323
ko:K06041	abm:ABSDF2324
ko:K01338	abm:ABSDF2357
ko:K00262	abm:ABSDF2361
ko:K00939	abm:ABSDF2364
ko:K01637	abm:ABSDF2383
ko:K05297	abm:ABSDF2404
ko:K00937	abm:ABSDF2408
ko:K01130	abm:ABSDF2424
ko:K00130	abm:ABSDF2439
ko:K00108	abm:ABSDF2440
ko:K00681	abm:ABSDF2518
ko:K01698	abm:ABSDF2525
ko:K00930	abm:ABSDF2548
ko:K01520	abm:ABSDF2550
ko:K00384	abm:ABSDF2561
ko:K00684	abm:ABSDF2562
ko:K01950	abm:ABSDF2577
ko:K00948	abm:ABSDF2627
ko:K01579	abm:ABSDF2630
ko:K00059	abm:ABSDF2640
ko:K00645	abm:ABSDF2641
ko:K01935	abm:ABSDF2650
ko:K00652	abm:ABSDF2652
ko:K00833	abm:ABSDF2653
ko:K01087	abm:ABSDF2655
ko:K00697	abm:ABSDF2656
ko:K01972	abm:ABSDF2659
ko:K01494	abm:ABSDF2679
ko:K05396	abm:ABSDF2692
ko:K00528	abm:ABSDF2698
ko:K00761	abm:ABSDF2701
ko:K00549	abm:ABSDF2728
ko:K00252	abm:ABSDF2744
ko:K01488	abm:ABSDF2749
ko:K00567	abm:ABSDF2809
ko:K01783	abm:ABSDF2817
ko:K00817	abm:ABSDF2838
ko:K00013	abm:ABSDF2839
ko:K00765	abm:ABSDF2840
ko:K00790	abm:ABSDF2841
ko:K01525	abm:ABSDF2860
ko:K00097	abm:ABSDF2862
ko:K00286	abm:ABSDF2899
ko:K01868	abm:ABSDF2923
ko:K01918	abm:ABSDF2932
ko:K00606	abm:ABSDF2933
ko:K00950	abm:ABSDF2934
ko:K00970	abm:ABSDF2935
ko:K00951	abm:ABSDF2941
ko:K01816	abm:ABSDF2948
ko:K00053	abm:ABSDF2975
ko:K01869	abm:ABSDF2980
ko:K00208	abm:ABSDF2986
ko:K00940	abm:ABSDF3006
ko:K03797	abm:ABSDF3010
ko:K01933	abm:ABSDF0894
ko:K01129	abm:ABSDF0917
ko:K01952	abm:ABSDF0918
ko:K00674	abm:ABSDF0933
ko:K00943	abm:ABSDF0943
ko:K00278	abm:ABSDF0945
ko:K03100	abm:ABSDF0950
ko:K00134	abm:ABSDF0974
ko:K00931	abm:ABSDF0980
ko:K00031	abm:ABSDF0995
ko:K00788	abm:ABSDF1078
ko:K01845	abm:ABSDF1079
ko:K00836	abm:ABSDF1093.3
ko:K01756	abm:ABSDF1122
ko:K00566	abm:ABSDF1124
ko:K01759	abm:ABSDF1135
ko:K01599	abm:ABSDF1150
ko:K01495	abm:ABSDF1157
ko:K01609	abm:ABSDF1162
ko:K00766	abm:ABSDF1163
ko:K01915	abm:ABSDF1172
ko:K00297	abm:ABSDF1186
ko:K01251	abm:ABSDF1187
ko:K01607	abm:ABSDF1189
ko:K00322	abm:ABSDF1195
ko:K01265	abm:ABSDF1201
ko:K00528	abm:ABSDF1229
ko:K00858	abm:ABSDF1243
ko:K00255	abm:ABSDF1249
ko:K01270	abm:ABSDF1254
ko:K00784	abm:ABSDF1255
ko:K00057	abm:ABSDF1271
ko:K00764	abm:ABSDF1277
ko:K00090	abm:ABSDF1280
ko:K01409	abm:ABSDF1284
ko:K00558	abm:ABSDF1325
ko:K01262	abm:ABSDF1344
ko:K01477	abm:ABSDF3499
ko:K01483	abm:ABSDF3500
ko:K01919	abm:ABSDF3513
ko:K01613	abm:ABSDF3526
ko:K00763	abm:ABSDF3528
ko:K01776	abm:ABSDF3535
ko:K00820	abm:ABSDF3567
ko:K00946	abm:ABSDF3570
ko:K01479	abm:ABSDF3580
ko:K01468	abm:ABSDF3581
ko:K01745	abm:ABSDF3583
ko:K14159	abm:ABSDF1361
ko:K01712	abm:ABSDF3584
ko:K01555	abm:ABSDF3593
ko:K00457	abm:ABSDF3597
ko:K01714	abm:ABSDF3606
ko:K01923	abm:ABSDF3608
ko:K01246	abm:ABSDF3624
ko:K00215	abm:ABSDF3633
ko:K01595	abm:ABSDF3641
ko:K01687	abm:ABSDF3647
ko:K00604	abm:ABSDF3648
ko:K01487	abm:ABSDF3672
ko:K00760	abm:ABSDF3674
ko:K01155	abm:ABSDF_p20015
ko:K00558	abm:ABSDF_p20016
ko:K00590	abm:ABSDF_p30013
ko:K00590	abm:ABSDF_p30014
ko:K01465	abm:ABSDF1373
ko:K01940	abm:ABSDF1378
ko:K00219	abm:ABSDF1380
ko:K01708	abm:ABSDF1404
ko:K01706	abm:ABSDF1407
ko:K01707	abm:ABSDF1408
ko:K00928	abm:ABSDF1432
ko:K01872	abm:ABSDF1433
ko:K03472	abm:ABSDF1434
ko:K01939	abm:ABSDF1437
ko:K00600	abm:ABSDF1459
ko:K00799	abm:ABSDF1481
ko:K03439	abm:ABSDF1482
ko:K00799	abm:ABSDF1484
ko:K03386	abm:ABSDF1491
ko:K01069	abm:ABSDF1508
ko:K01945	abm:ABSDF1512
ko:K01698	abm:ABSDF1528
ko:K00640	abm:ABSDF1557
ko:K01007	abm:ABSDF1577
ko:K01895	abm:ABSDF1591
ko:K01633	abm:ABSDF1595
ko:K00950	abm:ABSDF1596
ko:K01915	abm:ABSDF1602
ko:K00791	abm:ABSDF1624
ko:K01886	abm:ABSDF1631
ko:K01826	abm:ABSDF1643
ko:K00878	abm:ABSDF1644
ko:K01256	abm:ABSDF1648
ko:K00285	abm:ABSDF1670
ko:K01770	abm:ABSDF1672
ko:K00806	abm:ABSDF1682
ko:K00981	abm:ABSDF1683
ko:K00099	abm:ABSDF1684
ko:K00677	abm:ABSDF1690
ko:K01556	abm:ABSDF1703
ko:K00927	abm:ABSDF1710
ko:K00912	abm:ABSDF1723
ko:K00979	abm:ABSDF1724
ko:K00945	abm:ABSDF1737
ko:K01591	abm:ABSDF1741
ko:K01185	abm:ABSDF1811
ko:K01638	abm:ABSDF1817
ko:K00496	abm:ABSDF1860
ko:K01626	abm:ABSDF1885
ko:K00748	abm:ABSDF1889
ko:K01736	abm:ABSDF1930
ko:K00004	abm:ABSDF1934
ko:K00003	abm:ABSDF1940
ko:K00948	abm:ABSDF1961
ko:K00297	abm:ABSDF1964
ko:K00937	abm:ABSDF1977
ko:K01856	abm:ABSDF1994
ko:K03464	abm:ABSDF1995
ko:K03381	abm:ABSDF1996
ko:K05358	abm:ABSDF2011
ko:K01607	abm:ABSDF2018
ko:K01055	abm:ABSDF2020
ko:K01207	abm:ABSDF3011
ko:K00147	abm:ABSDF3014
ko:K00851	abm:ABSDF3018
ko:K01690	abm:ABSDF3021
ko:K01358	abm:ABSDF3028
ko:K01649	abm:ABSDF3032
ko:K00641	abm:ABSDF3033
ko:K00560	abm:ABSDF3052
ko:K00287	abm:ABSDF3053
ko:K07304	abm:ABSDF3055
ko:K01433	abm:ABSDF3060
ko:K00154	abm:ABSDF3062
ko:K00344	abm:ABSDF3077
ko:K00133	abm:ABSDF3085
ko:K01424	abm:ABSDF3089
ko:K00052	abm:ABSDF3095
ko:K01091	abm:ABSDF3106
ko:K01772	abm:ABSDF3128
ko:K01776	abm:ABSDF3131
ko:K00311	abm:ABSDF3133
ko:K00962	abm:ABSDF3154
ko:K01803	abm:ABSDF3187
ko:K00859	abm:ABSDF3195
ko:K00995	abm:ABSDF3214
ko:K00632	abm:ABSDF3221
ko:K01091	abm:ABSDF3253
ko:K01749	abm:ABSDF3262
ko:K01719	abm:ABSDF3263
ko:K01755	abm:ABSDF3271
ko:K01515	abm:ABSDF3282
ko:K01925	abm:ABSDF3288
ko:K00003	abm:ABSDF3294
ko:K01733	abm:ABSDF3295
ko:K03797	abm:ABSDF3304
ko:K01255	abm:ABSDF3308
ko:K00560	abm:ABSDF3326
ko:K01173	abm:ABSDF3349
ko:K00135	abm:ABSDF3383
ko:K00823	abm:ABSDF3384
ko:K00344	abm:ABSDF3401
ko:K00299	abm:ABSDF3432
ko:K01895	abm:ABSDF3437
ko:K00275	abm:ABSDF3447
ko:K03431	abm:ABSDF3448
ko:K00088	abm:ABSDF3449
ko:K00627	abm:ABSDF3462
ko:K01921	abm:ABSDF3470
ko:K01924	abm:ABSDF3471
ko:K01920	abm:ABSDF3473
ko:K00762	abm:ABSDF3480
ko:K03666	abm:ABSDF1625
ko:K01956	abm:ABSDF0790
ko:K00526	abm:ABSDF2723
ko:K00241	abm:ABSDF0771
ko:K00242	abm:ABSDF0772
ko:K00239	abm:ABSDF0773
ko:K00240	abm:ABSDF0774
ko:K01903	abm:ABSDF0778
ko:K01902	abm:ABSDF0779
ko:K01955	abm:ABSDF0789
ko:K02427	abm:ABSDF0795
ko:K03798	abm:ABSDF0796
ko:K00111	abm:ABSDF0808
ko:K03799	abm:ABSDF0828
ko:K03473	abm:ABSDF0843
ko:K04568	abm:ABSDF0844
ko:K02469	abm:ABSDF0860
ko:K02517	abm:ABSDF0888
ko:K04773	abm:ABSDF0889
ko:K03437	abm:ABSDF0904
ko:K03841	abm:ABSDF0905
ko:K07107	abm:ABSDF0912
ko:K03525	abm:ABSDF2665
ko:K01866	abm:ABSDF0019
ko:K03101	abm:ABSDF0026
ko:K01870	abm:ABSDF0027
ko:K02517	abm:ABSDF3081
ko:K06173	abm:ABSDF3090
ko:K01703	abm:ABSDF3098
ko:K08311	abm:ABSDF3102
ko:K08484	abm:ABSDF3103
ko:K06179	abm:ABSDF3107
ko:K08300	abm:ABSDF3110
ko:K03820	abm:ABSDF3138
ko:K03581	abm:ABSDF3158
ko:K03582	abm:ABSDF3159
ko:K03583	abm:ABSDF3160
ko:K03183	abm:ABSDF3164
ko:K02654	abm:ABSDF3194
ko:K03218	abm:ABSDF3197
ko:K03981	abm:ABSDF3293
ko:K00249	abm:ABSDF2875
ko:K03215	abm:ABSDF2942
ko:K07678	abm:ABSDF2945
ko:K00325	abm:ABSDF2952
ko:K00324	abm:ABSDF2953
ko:K00324	abm:ABSDF2954
ko:K01681	abm:ABSDF2964
ko:K01653	abm:ABSDF2976
ko:K01652	abm:ABSDF2977
ko:K09767	abm:ABSDF0503
ko:K06190	abm:ABSDF0508
ko:K07053	abm:ABSDF0509
ko:K03074	abm:ABSDF0515
ko:K03072	abm:ABSDF0516
ko:K03210	abm:ABSDF0517
ko:K07276	abm:ABSDF0526
ko:K02014	abm:ABSDF0541
ko:K06966	abm:ABSDF0211
ko:K06889	abm:ABSDF0498
ko:K03070	abm:ABSDF0582
ko:K07267	abm:ABSDF0595
ko:K08084	abm:ABSDF0604
ko:K03286	abm:ABSDF0605
ko:K06207	abm:ABSDF0612
ko:K03282	abm:ABSDF0613
ko:K02014	abm:ABSDF0618
ko:K03981	abm:ABSDF0624
ko:K06980	abm:ABSDF0627
ko:K03296	abm:ABSDF0634
ko:K02657	abm:ABSDF0638
ko:K02659	abm:ABSDF0640
ko:K02660	abm:ABSDF0641
ko:K09790	abm:ABSDF0652
ko:K07552	abm:ABSDF0660
ko:K08167	abm:ABSDF2209
ko:K07215	abm:ABSDF2281
ko:K03609	abm:ABSDF2556
ko:K03466	abm:ABSDF2560
ko:K03528	abm:ABSDF2660
ko:K08196	abm:ABSDF2743
ko:K03092	abm:ABSDF2844
ko:K07098	abm:ABSDF2853
ko:K02454	abm:ABSDF2893
ko:K04075	abm:ABSDF2900
ko:K07088	abm:ABSDF3039
ko:K06189	abm:ABSDF3137
ko:K02455	abm:ABSDF3143
ko:K03688	abm:ABSDF3166
ko:K05559	abm:ABSDF3173
ko:K05561	abm:ABSDF3175
ko:K02519	abm:ABSDF3180
ko:K03703	abm:ABSDF3216
ko:K03588	abm:ABSDF3287
ko:K04763	abm:ABSDF3292
ko:K03701	abm:ABSDF3403
ko:K02168	abm:ABSDF3406
ko:K03832	abm:ABSDF2300
ko:K00840	abm:ABSDF0355
ko:K07636	abm:ABSDF3523
ko:K07560	abm:ABSDF3531
ko:K01095	abm:ABSDF3569
ko:K00794	abm:ABSDF3572
ko:K07001	abm:ABSDF0670
ko:K03569	abm:ABSDF0680
ko:K03570	abm:ABSDF0681
ko:K03571	abm:ABSDF0682
ko:K06287	abm:ABSDF0683
ko:K06076	abm:ABSDF0689
ko:K02616	abm:ABSDF0695
ko:K03293	abm:ABSDF0712
ko:K07340	abm:ABSDF0717
ko:K07001	abm:ABSDF0718
ko:K02888	abm:ABSDF0743
ko:K03086	abm:ABSDF0761
ko:K07039	abm:ABSDF0763
ko:K07146	abm:ABSDF0768
ko:K04084	abm:ABSDF3486
ko:K02622	abm:ABSDF3504
ko:K03625	abm:ABSDF3571
ko:K07657	abm:ABSDF3522
ko:K07262	abm:ABSDF3296
ko:K02339	abm:ABSDF3309
ko:K01657	abm:ABSDF3336
ko:K02527	abm:ABSDF3441
ko:K00163	abm:ABSDF3463
ko:K02535	abm:ABSDF3466
ko:K02563	abm:ABSDF3472
ko:K06956	abm:ABSDF1069
ko:K03580	abm:ABSDF1083
ko:K02040	abm:ABSDF1100
ko:K02037	abm:ABSDF1101
ko:K02038	abm:ABSDF1102
ko:K02036	abm:ABSDF1103
ko:K03071	abm:ABSDF2993
ko:K03676	abm:ABSDF2992
ko:K02340	abm:ABSDF2982
ko:K03643	abm:ABSDF2981
ko:K01892	abm:ABSDF3000
ko:K01676	abm:ABSDF3024
ko:K03657	abm:ABSDF3070
ko:K03168	abm:ABSDF3073
ko:K03707	abm:ABSDF3398
ko:K02933	abm:ABSDF0438
ko:K05524	abm:ABSDF1115
ko:K03555	abm:ABSDF1117
ko:K08984	abm:ABSDF1121
ko:K07153	abm:ABSDF1123
ko:K06194	abm:ABSDF1131
ko:K08218	abm:ABSDF1134
ko:K06200	abm:ABSDF1144
ko:K04691	abm:ABSDF1181
ko:K09761	abm:ABSDF1185
ko:K02967	abm:ABSDF1202
ko:K03642	abm:ABSDF1209
ko:K05837	abm:ABSDF1211
ko:K02454	abm:ABSDF1234
ko:K02483	abm:ABSDF1236
ko:K03574	abm:ABSDF1240
ko:K09916	abm:ABSDF1244
ko:K07017	abm:ABSDF1250
ko:K07018	abm:ABSDF1258
ko:K09861	abm:ABSDF1259
ko:K03149	abm:ABSDF1261
ko:K03154	abm:ABSDF1262
ko:K07090	abm:ABSDF1886
ko:K09747	abm:ABSDF1914
ko:K02503	abm:ABSDF1901
ko:K06187	abm:ABSDF1915
ko:K09902	abm:ABSDF1923
ko:K07107	abm:ABSDF2206
ko:K03189	abm:ABSDF2370
ko:K02858	abm:ABSDF2635
ko:K03517	abm:ABSDF2807
ko:K05563	abm:ABSDF3177
ko:K05564	abm:ABSDF3178
ko:K02863	abm:ABSDF3246
ko:K05541	abm:ABSDF2668
ko:K00343	abm:ABSDF2702
ko:K00342	abm:ABSDF2703
ko:K00341	abm:ABSDF2704
ko:K00340	abm:ABSDF2705
ko:K00339	abm:ABSDF2706
ko:K00338	abm:ABSDF2707
ko:K00337	abm:ABSDF2708
ko:K00336	abm:ABSDF2709
ko:K00335	abm:ABSDF2710
ko:K00334	abm:ABSDF2711
ko:K00331	abm:ABSDF2713
ko:K00330	abm:ABSDF2714
ko:K02528	abm:ABSDF2861
ko:K01889	abm:ABSDF2908
ko:K09768	abm:ABSDF0879
ko:K09808	abm:ABSDF0881
ko:K09810	abm:ABSDF0882
ko:K03646	abm:ABSDF0909
ko:K03560	abm:ABSDF0910
ko:K03562	abm:ABSDF0911
ko:K03551	abm:ABSDF0915
ko:K03550	abm:ABSDF0916
ko:K07552	abm:ABSDF0919
ko:K03564	abm:ABSDF0926
ko:K06920	abm:ABSDF0931
ko:K10026	abm:ABSDF0932
ko:K02045	abm:ABSDF0936
ko:K02047	abm:ABSDF0937
ko:K02046	abm:ABSDF0938
ko:K07002	abm:ABSDF0939
ko:K02048	abm:ABSDF0940
ko:K07082	abm:ABSDF0942
ko:K07107	abm:ABSDF0948
ko:K03596	abm:ABSDF0949
ko:K03595	abm:ABSDF0953
ko:K03584	abm:ABSDF0955
ko:K03474	abm:ABSDF0956
ko:K06169	abm:ABSDF0957
ko:K03702	abm:ABSDF0970
ko:K03098	abm:ABSDF0971
ko:K03979	abm:ABSDF0979
ko:K00459	abm:ABSDF0984
ko:K03694	abm:ABSDF2048
ko:K07043	abm:ABSDF2054
ko:K03499	abm:ABSDF2057
ko:K06972	abm:ABSDF2061
ko:K09909	abm:ABSDF2077
ko:K03311	abm:ABSDF2094
ko:K09912	abm:ABSDF2100
ko:K02437	abm:ABSDF2104
ko:K03719	abm:ABSDF2108
ko:K07113	abm:ABSDF2124
ko:K03427	abm:ABSDF3415
ko:K02676	abm:ABSDF1726
ko:K03424	abm:ABSDF1727
ko:K02458	abm:ABSDF1730
ko:K02459	abm:ABSDF1731
ko:K02460	abm:ABSDF1732
ko:K01737	abm:ABSDF1733
ko:K05788	abm:ABSDF1739
ko:K02033	abm:ABSDF1826
ko:K02034	abm:ABSDF1827
ko:K02031	abm:ABSDF1828
ko:K02032	abm:ABSDF1828
ko:K02553	abm:ABSDF1835
ko:K04755	abm:ABSDF1848
ko:K04044	abm:ABSDF1849
ko:K04082	abm:ABSDF1850
ko:K04488	abm:ABSDF1852
ko:K06178	abm:ABSDF2649
ko:K02170	abm:ABSDF2654
ko:K02073	abm:ABSDF2161
ko:K06925	abm:ABSDF1622
ko:K03572	abm:ABSDF1623
ko:K01951	abm:ABSDF1633
ko:K03750	abm:ABSDF1656
ko:K07235	abm:ABSDF1663
ko:K07712	abm:ABSDF1677
ko:K07708	abm:ABSDF1678
ko:K02838	abm:ABSDF1681
ko:K09001	abm:ABSDF0018
ko:K03060	abm:ABSDF0321
ko:K07639	abm:ABSDF2718
ko:K01704	abm:ABSDF3097
ko:K03781	abm:ABSDF3530
ko:K03427	abm:ABSDF3561
ko:K06222	abm:ABSDF3630
ko:K01589	abm:ABSDF3658
ko:K01588	abm:ABSDF3659
ko:K02558	abm:ABSDF3663
ko:K03981	abm:ABSDF3676
ko:K03536	abm:ABSDF3682
ko:K03781	abm:ABSDF_p30025
ko:K07447	abm:ABSDF3202
ko:K07267	abm:ABSDF2012
ko:K03980	abm:ABSDF0059
ko:K02624	abm:ABSDF2005
ko:K01091	abm:ABSDF2636
ko:K07501	abm:ABSDF2943
ko:K07277	abm:ABSDF1686
ko:K06142	abm:ABSDF1687
ko:K03553	abm:ABSDF1694
ko:K04762	abm:ABSDF1695
ko:K09966	abm:ABSDF1709
ko:K07102	abm:ABSDF1715
ko:K03496	abm:ABSDF1718
ko:K03497	abm:ABSDF1719
ko:K03561	abm:ABSDF1720
ko:K02456	abm:ABSDF1729
ko:K02013	abm:ABSDF1955
ko:K05589	abm:ABSDF2026
ko:K03823	abm:ABSDF2126
ko:K07000	abm:ABSDF3505
ko:K07127	abm:ABSDF3492
ko:K09815	abm:ABSDF0160
ko:K02116	abm:ABSDF0161
ko:K02014	abm:ABSDF0187
ko:K09858	abm:ABSDF0214
ko:K07659	abm:ABSDF0250
ko:K06959	abm:ABSDF0251
ko:K02048	abm:ABSDF0281
ko:K05366	abm:ABSDF0292
ko:K02665	abm:ABSDF0297
ko:K03744	abm:ABSDF0307
ko:K06872	abm:ABSDF0308
ko:K03594	abm:ABSDF0317
ko:K02192	abm:ABSDF0318
ko:K02655	abm:ABSDF0325
ko:K02860	abm:ABSDF0327
ko:K07090	abm:ABSDF0334
ko:K08160	abm:ABSDF0342
ko:K03496	abm:ABSDF0346
ko:K02065	abm:ABSDF0393
ko:K02067	abm:ABSDF0395
