ko:K01886	bup:CWQ_02215
ko:K02967	bup:CWQ_01250
ko:K02357	bup:CWQ_01255
ko:K09903	bup:CWQ_01260
ko:K02838	bup:CWQ_01265
ko:K00099	bup:CWQ_01270
ko:K00806	bup:CWQ_01275
ko:K07277	bup:CWQ_01280
ko:K02372	bup:CWQ_01285
ko:K02337	bup:CWQ_01290
ko:K01881	bup:CWQ_01295
ko:K02401	bup:CWQ_01300
ko:K02400	bup:CWQ_01305
ko:K01887	bup:CWQ_01310
ko:K00850	bup:CWQ_01625
ko:K02440	bup:CWQ_01630
ko:K01803	bup:CWQ_01635
ko:K05788	bup:CWQ_01640
ko:K02945	bup:CWQ_01645
ko:K00945	bup:CWQ_01650
ko:K00945	bup:CWQ_01655
ko:K00800	bup:CWQ_01660
ko:K00831	bup:CWQ_01665
ko:K01875	bup:CWQ_01670
ko:K00384	bup:CWQ_01675
ko:K02518	bup:CWQ_01680
ko:K01876	bup:CWQ_01685
ko:K09816	bup:CWQ_01690
ko:K09817	bup:CWQ_01695
ko:K00873	bup:CWQ_01700
ko:K00036	bup:CWQ_01705
ko:K03799	bup:CWQ_01710
ko:K03704	bup:CWQ_01715
ko:K03608	bup:CWQ_01735
ko:K03609	bup:CWQ_01740
ko:K03980	bup:CWQ_01765
ko:K01465	bup:CWQ_01775
ko:K02399	bup:CWQ_01780
ko:K02387	bup:CWQ_01800
ko:K02388	bup:CWQ_01805
ko:K02389	bup:CWQ_01810
ko:K02390	bup:CWQ_01815
ko:K02391	bup:CWQ_01820
ko:K02392	bup:CWQ_01825
ko:K02393	bup:CWQ_01830
ko:K02394	bup:CWQ_01835
ko:K02395	bup:CWQ_01840
ko:K02396	bup:CWQ_01845
ko:K08300	bup:CWQ_01850
ko:K02911	bup:CWQ_01860
ko:K00645	bup:CWQ_01865
ko:K02078	bup:CWQ_01885
ko:K00943	bup:CWQ_01890
ko:K02341	bup:CWQ_01895
ko:K03424	bup:CWQ_01900
ko:K02317	bup:CWQ_00110
ko:K03110	bup:CWQ_00120
ko:K04042	bup:CWQ_00150
ko:K00549	bup:CWQ_00160
ko:K05787	bup:CWQ_00175
ko:K03046	bup:CWQ_00185
ko:K03043	bup:CWQ_00190
ko:K02935	bup:CWQ_00195
ko:K02864	bup:CWQ_00200
ko:K02863	bup:CWQ_00205
ko:K02867	bup:CWQ_00210
ko:K02601	bup:CWQ_00215
ko:K03073	bup:CWQ_00220
ko:K00075	bup:CWQ_00225
ko:K00297	bup:CWQ_00230
ko:K01438	bup:CWQ_00235
ko:K00145	bup:CWQ_00240
ko:K00930	bup:CWQ_00245
ko:K01940	bup:CWQ_00250
ko:K01755	bup:CWQ_00255
ko:K03071	bup:CWQ_00265
ko:K00640	bup:CWQ_00270
ko:K03086	bup:CWQ_00275
ko:K02970	bup:CWQ_00285
ko:K06153	bup:CWQ_00310
ko:K01972	bup:CWQ_00345
ko:K02408	bup:CWQ_00360
ko:K02409	bup:CWQ_00365
ko:K02410	bup:CWQ_00370
ko:K02411	bup:CWQ_00375
ko:K02412	bup:CWQ_00380
ko:K02413	bup:CWQ_00385
ko:K02416	bup:CWQ_00400
ko:K02417	bup:CWQ_00405
ko:K02419	bup:CWQ_00410
ko:K03771	bup:CWQ_00745
ko:K02528	bup:CWQ_00755
ko:K02298	bup:CWQ_02530
ko:K02297	bup:CWQ_02535
ko:K05527	bup:CWQ_02540
ko:K03545	bup:CWQ_02545
ko:K01358	bup:CWQ_02550
ko:K03544	bup:CWQ_02555
ko:K01338	bup:CWQ_02560
ko:K03770	bup:CWQ_02565
ko:K02343	bup:CWQ_02580
ko:K09747	bup:CWQ_02585
ko:K04079	bup:CWQ_02595
ko:K01491	bup:CWQ_02605
ko:K01883	bup:CWQ_02610
ko:K09158	bup:CWQ_02615
ko:K03704	bup:CWQ_02620
ko:K00014	bup:CWQ_02630
ko:K07566	bup:CWQ_02635
ko:K00604	bup:CWQ_02655
ko:K02879	bup:CWQ_02660
ko:K03040	bup:CWQ_02665
ko:K02986	bup:CWQ_02670
ko:K02948	bup:CWQ_02675
ko:K02952	bup:CWQ_02680
ko:K02919	bup:CWQ_02685
ko:K03076	bup:CWQ_02690
ko:K02876	bup:CWQ_02695
ko:K02907	bup:CWQ_02700
ko:K02988	bup:CWQ_02705
ko:K02881	bup:CWQ_02710
ko:K02933	bup:CWQ_02715
ko:K02994	bup:CWQ_02720
ko:K02954	bup:CWQ_02725
ko:K02931	bup:CWQ_02730
ko:K02895	bup:CWQ_02735
ko:K02874	bup:CWQ_02740
ko:K02961	bup:CWQ_02745
ko:K02904	bup:CWQ_02750
ko:K02878	bup:CWQ_02755
ko:K02982	bup:CWQ_02760
ko:K02890	bup:CWQ_02765
ko:K02965	bup:CWQ_02770
ko:K02886	bup:CWQ_02775
ko:K02892	bup:CWQ_02780
ko:K02926	bup:CWQ_02785
ko:K02906	bup:CWQ_02790
ko:K01955	bup:CWQ_00770
ko:K01956	bup:CWQ_00775
ko:K00215	bup:CWQ_00780
ko:K03527	bup:CWQ_00785
ko:K03101	bup:CWQ_00790
ko:K01870	bup:CWQ_00795
ko:K11753	bup:CWQ_00800
ko:K02968	bup:CWQ_00805
ko:K03686	bup:CWQ_00810
ko:K04043	bup:CWQ_00815
ko:K00330	bup:CWQ_00820
ko:K00331	bup:CWQ_00825
ko:K13378	bup:CWQ_00830
ko:K00334	bup:CWQ_00835
ko:K00337	bup:CWQ_00850
ko:K00338	bup:CWQ_00855
ko:K00339	bup:CWQ_00860
ko:K00340	bup:CWQ_00865
ko:K00341	bup:CWQ_00870
ko:K00342	bup:CWQ_00875
ko:K00343	bup:CWQ_00880
ko:K11754	bup:CWQ_00885
ko:K03558	bup:CWQ_00890
ko:K00948	bup:CWQ_00895
ko:K00919	bup:CWQ_00900
ko:K02493	bup:CWQ_00915
ko:K00925	bup:CWQ_00930
ko:K11107	bup:CWQ_00950
ko:K02469	bup:CWQ_00965
ko:K09945	bup:CWQ_00970
ko:K03648	bup:CWQ_00980
ko:K03687	bup:CWQ_00985
ko:K00858	bup:CWQ_00990
ko:K06186	bup:CWQ_00995
ko:K07390	bup:CWQ_01000
ko:K03683	bup:CWQ_01005
ko:K04564	bup:CWQ_01010
ko:K01056	bup:CWQ_01015
ko:K06942	bup:CWQ_01025
ko:K01733	bup:CWQ_01030
ko:K00872	bup:CWQ_01035
ko:K07337	bup:CWQ_01915
ko:K01893	bup:CWQ_01925
ko:K00763	bup:CWQ_01930
ko:K12297	bup:CWQ_01945
ko:K01873	bup:CWQ_01970
ko:K01255	bup:CWQ_01975
ko:K03271	bup:CWQ_01335
ko:K03687	bup:CWQ_01345
ko:K09801	bup:CWQ_01350
ko:K03664	bup:CWQ_01355
ko:K11991	bup:CWQ_01360
ko:K00997	bup:CWQ_01365
ko:K03685	bup:CWQ_01375
ko:K03100	bup:CWQ_01380
ko:K03596	bup:CWQ_01385
ko:K00566	bup:CWQ_01390
ko:K07153	bup:CWQ_01395
ko:K01756	bup:CWQ_01400
ko:K08308	bup:CWQ_01405
ko:K00208	bup:CWQ_01410
ko:K01147	bup:CWQ_01415
ko:K03801	bup:CWQ_01425
ko:K03644	bup:CWQ_01430
ko:K01591	bup:CWQ_01435
ko:K06131	bup:CWQ_01450
ko:K10806	bup:CWQ_01455
ko:K06190	bup:CWQ_01460
ko:K01695	bup:CWQ_01475
ko:K01696	bup:CWQ_01480
ko:K00766	bup:CWQ_01495
ko:K06178	bup:CWQ_01505
ko:K03168	bup:CWQ_01515
ko:K06941	bup:CWQ_01525
ko:K01892	bup:CWQ_01535
ko:K00600	bup:CWQ_01540
ko:K01935	bup:CWQ_01545
ko:K01012	bup:CWQ_01550
ko:K00833	bup:CWQ_01555
ko:K03723	bup:CWQ_01565
ko:K09808	bup:CWQ_01570
ko:K00134	bup:CWQ_01590
ko:K03839	bup:CWQ_01595
ko:K01669	bup:CWQ_01600
ko:K00164	bup:CWQ_01610
ko:K00658	bup:CWQ_01615
ko:K00609	bup:CWQ_01995
ko:K00610	bup:CWQ_02000
ko:K05592	bup:CWQ_02010
ko:K00962	bup:CWQ_02015
ko:K02956	bup:CWQ_02020
ko:K02834	bup:CWQ_02030
ko:K02519	bup:CWQ_02035
ko:K02600	bup:CWQ_02040
ko:K03075	bup:CWQ_02045
ko:K03431	bup:CWQ_02055
ko:K03798	bup:CWQ_02060
ko:K03624	bup:CWQ_02070
ko:K00790	bup:CWQ_02080
ko:K02888	bup:CWQ_02085
ko:K02899	bup:CWQ_02090
ko:K03979	bup:CWQ_02095
ko:K02996	bup:CWQ_02100
ko:K02871	bup:CWQ_02105
ko:K14170	bup:CWQ_02110
ko:K03106	bup:CWQ_02115
ko:K02959	bup:CWQ_02120
ko:K02884	bup:CWQ_02140
ko:K03568	bup:CWQ_02145
ko:K03786	bup:CWQ_02155
ko:K03557	bup:CWQ_02160
ko:K06180	bup:CWQ_02165
ko:K05807	bup:CWQ_02170
ko:K01872	bup:CWQ_02175
ko:K03563	bup:CWQ_02180
ko:K01919	bup:CWQ_02185
ko:K00789	bup:CWQ_02190
ko:K01150	bup:CWQ_02195
ko:K09761	bup:CWQ_02200
ko:K01807	bup:CWQ_02205
ko:K02420	bup:CWQ_00415
ko:K02421	bup:CWQ_00420
ko:K02913	bup:CWQ_00425
ko:K02902	bup:CWQ_00430
ko:K03592	bup:CWQ_00455
ko:K07056	bup:CWQ_00460
ko:K00615	bup:CWQ_00475
ko:K01714	bup:CWQ_00490
ko:K01736	bup:CWQ_00495
ko:K00765	bup:CWQ_00515
ko:K00013	bup:CWQ_00520
ko:K01089	bup:CWQ_00535
ko:K02501	bup:CWQ_00540
ko:K01814	bup:CWQ_00545
ko:K02500	bup:CWQ_00550
ko:K11755	bup:CWQ_00555
ko:K01494	bup:CWQ_00565
ko:K04075	bup:CWQ_00580
ko:K00793	bup:CWQ_00590
ko:K10773	bup:CWQ_00630
ko:K04066	bup:CWQ_00635
ko:K01866	bup:CWQ_00640
ko:K05997	bup:CWQ_00645
ko:K01626	bup:CWQ_00655
ko:K01868	bup:CWQ_00660
ko:K02520	bup:CWQ_00670
ko:K02916	bup:CWQ_00675
ko:K02887	bup:CWQ_00680
ko:K01889	bup:CWQ_00685
ko:K07568	bup:CWQ_00705
ko:K00773	bup:CWQ_00710
ko:K03210	bup:CWQ_00715
ko:K01879	bup:CWQ_00720
ko:K01878	bup:CWQ_00725
ko:K01151	bup:CWQ_00730
ko:K02897	bup:CWQ_00735
ko:K00254	bup:CWQ_01940
ko:K02946	bup:CWQ_02795
ko:K02355	bup:CWQ_02810
ko:K02992	bup:CWQ_02815
ko:K02950	bup:CWQ_02820
ko:K07237	bup:CWQ_02825
ko:K07236	bup:CWQ_02830
ko:K07235	bup:CWQ_02835
ko:K06141	bup:CWQ_02855
ko:K01867	bup:CWQ_02860
ko:K01783	bup:CWQ_02865
ko:K01735	bup:CWQ_02870
ko:K00891	bup:CWQ_02875
ko:K01839	bup:CWQ_02885
ko:K02837	bup:CWQ_02890
ko:K07400	bup:CWQ_02895
ko:K01920	bup:CWQ_02910
ko:K07447	bup:CWQ_02915
ko:K06997	bup:CWQ_02920
ko:K03439	bup:CWQ_02930
ko:K03575	bup:CWQ_02935
ko:K01776	bup:CWQ_02945
ko:K01141	bup:CWQ_02955
ko:K09802	bup:CWQ_02960
ko:K00762	bup:CWQ_02970
ko:K02939	bup:CWQ_02985
ko:K02963	bup:CWQ_02990
ko:K02990	bup:CWQ_02995
ko:K12573	bup:CWQ_03000
ko:K01939	bup:CWQ_03005
ko:K04087	bup:CWQ_03010
ko:K04088	bup:CWQ_03015
ko:K00791	bup:CWQ_03020
ko:K03572	bup:CWQ_03025
ko:K00009	bup:CWQ_03030
ko:K01810	bup:CWQ_03040
ko:K01448	bup:CWQ_03060
ko:K02909	bup:CWQ_03065
ko:K01419	bup:CWQ_03075
ko:K03667	bup:CWQ_03080
ko:K04080	bup:CWQ_03085
ko:K00528	bup:CWQ_03090
ko:K04568	bup:CWQ_03095
ko:K00954	bup:CWQ_03100
ko:K15984	bup:CWQ_03115
ko:K08224	bup:CWQ_03125
ko:K01778	bup:CWQ_03130
ko:K06202	bup:CWQ_03135
ko:K01749	bup:CWQ_03140
ko:K03628	bup:CWQ_03155
ko:K03671	bup:CWQ_03160
ko:K03656	bup:CWQ_03165
ko:K00053	bup:CWQ_03170
ko:K01687	bup:CWQ_03175
ko:K04487	bup:CWQ_03185
ko:K04082	bup:CWQ_03195
ko:K04044	bup:CWQ_03200
ko:K04755	bup:CWQ_03205
ko:K03977	bup:CWQ_03210
ko:K03495	bup:CWQ_00005
ko:K02110	bup:CWQ_00020
ko:K02109	bup:CWQ_00025
ko:K02113	bup:CWQ_00030
ko:K02111	bup:CWQ_00035
ko:K02115	bup:CWQ_00040
ko:K02112	bup:CWQ_00045
ko:K02114	bup:CWQ_00050
ko:K02470	bup:CWQ_00055
ko:K02338	bup:CWQ_00060
ko:K02313	bup:CWQ_00065
ko:K02914	bup:CWQ_00070
ko:K03217	bup:CWQ_00080
ko:K03650	bup:CWQ_00085
ko:K04078	bup:CWQ_00090
ko:K04077	bup:CWQ_00095
ko:K02356	bup:CWQ_00100
ko:K14235	bup:CWQ_t03284
ko:K14234	bup:CWQ_t03230
ko:K00564	bup:CWQ_01755
ko:K03286	bup:CWQ_01760
ko:K06179	bup:CWQ_01855
ko:K00059	bup:CWQ_01880
ko:K01409	bup:CWQ_00290
ko:K02858	bup:CWQ_00295
ko:K00974	bup:CWQ_00305
ko:K02784	bup:CWQ_00330
ko:K01885	bup:CWQ_00350
ko:K02414	bup:CWQ_00395
ko:K01525	bup:CWQ_00760
ko:K01916	bup:CWQ_00925
ko:K03386	bup:CWQ_00975
ko:K00380	bup:CWQ_02280
ko:K04085	bup:CWQ_02400
ko:K03442	bup:CWQ_02425
ko:K11179	bup:CWQ_02510
ko:K01719	bup:CWQ_03150
ko:K04488	bup:CWQ_03190
ko:K03574	bup:CWQ_01085
ko:K01243	bup:CWQ_01130
ko:K00674	bup:CWQ_01240
ko:K01439	bup:CWQ_00480
ko:K00033	bup:CWQ_00560
ko:K03617	bup:CWQ_00595
ko:K01507	bup:CWQ_00450
ko:K00647	bup:CWQ_00465
ko:K00616	bup:CWQ_00470
ko:K00939	bup:CWQ_02600
ko:K03747	bup:CWQ_02640
ko:K03616	bup:CWQ_00600
ko:K03615	bup:CWQ_00610
ko:K03614	bup:CWQ_00615
ko:K03612	bup:CWQ_00620
ko:K03613	bup:CWQ_00625
ko:K03177	bup:CWQ_02025
ko:K02427	bup:CWQ_02065
ko:K03469	bup:CWQ_01325
ko:K02342	bup:CWQ_01330
ko:K00769	bup:CWQ_01340
ko:K04774	bup:CWQ_01510
ko:K01092	bup:CWQ_01520
ko:K07404	bup:CWQ_01560
ko:K03784	bup:CWQ_02880
ko:K01082	bup:CWQ_02980
ko:K02798	bup:CWQ_03035
ko:K02799	bup:CWQ_03035
ko:K02800	bup:CWQ_03035
ko:K14229	bup:CWQ_t03232
ko:K01980	bup:CWQ_r03290
ko:K01069	bup:CWQ_01315
ko:K00956	bup:CWQ_02255
ko:K09476	bup:CWQ_01920
ko:K01977	bup:CWQ_r03288
ko:K16322	bup:CWQ_03120
ko:K01834	bup:CWQ_01620
ko:K14219	bup:CWQ_t03266
ko:K14228	bup:CWQ_t03252
ko:K14233	bup:CWQ_t03250
ko:K14225	bup:CWQ_t03226
ko:K14236	bup:CWQ_t03228
ko:K14224	bup:CWQ_t03268
ko:K14220	bup:CWQ_t03272
ko:K14232	bup:CWQ_t03278
ko:K14226	bup:CWQ_t03280
ko:K14233	bup:CWQ_t03270
ko:K01985	bup:CWQ_r03286
ko:K14221	bup:CWQ_t03244
ko:K14231	bup:CWQ_t03222
ko:K14234	bup:CWQ_t03224
ko:K14225	bup:CWQ_t03276
ko:K14237	bup:CWQ_t03234
ko:K14237	bup:CWQ_t03238
ko:K14218	bup:CWQ_t03236
ko:K14218	bup:CWQ_t03242
ko:K14227	bup:CWQ_t03240
ko:K14228	bup:CWQ_t03246
ko:K14228	bup:CWQ_t03260
ko:K14222	bup:CWQ_t03248
ko:K14233	bup:CWQ_t03254
ko:K14219	bup:CWQ_t03256
ko:K14219	bup:CWQ_t03282
ko:K14223	bup:CWQ_t03258
ko:K14230	bup:CWQ_t03262
ko:K14230	bup:CWQ_t03274
ko:K14230	bup:CWQ_t03264
ko:K02778	bup:CWQ_01905
ko:K02779	bup:CWQ_01905
ko:K00082	bup:CWQ_02485
ko:K09810	bup:CWQ_01575
ko:K04771	bup:CWQ_01235
ko:K02503	bup:CWQ_01910
ko:K08316	bup:CWQ_00115
ko:K01497	bup:CWQ_01440
ko:K14742	bup:CWQ_01730
ko:K01719	bup:CWQ_03145
ko:K02520	bup:CWQ_00665
ko:K04764	bup:CWQ_00700
ko:K03469	bup:CWQ_01320
ko:K00645	bup:CWQ_01870
ko:K18889	bup:CWQ_02570
ko:K03111	bup:CWQ_02900
ko:K03746	bup:CWQ_01445
ko:K07790	bup:CWQ_01500
ko:K00335	bup:CWQ_00840
ko:K03526	bup:CWQ_01530
ko:K02777	bup:CWQ_00315
ko:K01498	bup:CWQ_02480
ko:K00336	bup:CWQ_00845
ko:K02860	bup:CWQ_02125
ko:K18890	bup:CWQ_02575
ko:K00821	bup:CWQ_02850
ko:K00525	bup:CWQ_00960
ko:K00526	bup:CWQ_00955
ko:K01520	bup:CWQ_02975
ko:K02315	bup:CWQ_00105
ko:K02316	bup:CWQ_00280
ko:K00287	bup:CWQ_00765
ko:K00560	bup:CWQ_02350
ko:K02314	bup:CWQ_02905
ko:K02335	bup:CWQ_02305
ko:K03595	bup:CWQ_01370
ko:K02257	bup:CWQ_02515
