ko:K16235	bbrs:BS27_1067
ko:K06188	bbrs:BS27_1024
ko:K06178	bbrs:BS27_1025
ko:K03977	bbrs:BS27_1026
ko:K01874	bbrs:BS27_1818
ko:K07056	bbrs:BS27_1820
ko:K03734	bbrs:BS27_1822
ko:K06147	bbrs:BS27_1823
ko:K02004	bbrs:BS27_1827
ko:K02003	bbrs:BS27_1828
ko:K10119	bbrs:BS27_1831
ko:K10118	bbrs:BS27_1832
ko:K10117	bbrs:BS27_1834
ko:K01421	bbrs:BS27_1838
ko:K01421	bbrs:BS27_1839
ko:K12410	bbrs:BS27_1846
ko:K01754	bbrs:BS27_1847
ko:K01182	bbrs:BS27_1848
ko:K10119	bbrs:BS27_1850
ko:K10118	bbrs:BS27_1851
ko:K10117	bbrs:BS27_1852
ko:K07407	bbrs:BS27_1854
ko:K11991	bbrs:BS27_1855
ko:K03316	bbrs:BS27_1856
ko:K07090	bbrs:BS27_1857
ko:K06999	bbrs:BS27_1858
ko:K01494	bbrs:BS27_1860
ko:K02803	bbrs:BS27_1865
ko:K02804	bbrs:BS27_1865
ko:K03218	bbrs:BS27_1867
ko:K08289	bbrs:BS27_0590
ko:K08969	bbrs:BS27_0591
ko:K01620	bbrs:BS27_0593
ko:K02950	bbrs:BS27_0595
ko:K02992	bbrs:BS27_0596
ko:K02355	bbrs:BS27_0597
ko:K02358	bbrs:BS27_0598
ko:K06199	bbrs:BS27_0603
ko:K06199	bbrs:BS27_0604
ko:K07133	bbrs:BS27_0607
ko:K07220	bbrs:BS27_0608
ko:K01126	bbrs:BS27_0609
ko:K05813	bbrs:BS27_0610
ko:K05815	bbrs:BS27_0611
ko:K05814	bbrs:BS27_0612
ko:K03306	bbrs:BS27_0613
ko:K03701	bbrs:BS27_0617
ko:K07457	bbrs:BS27_0619
ko:K01183	bbrs:BS27_0627
ko:K02069	bbrs:BS27_0629
ko:K02068	bbrs:BS27_0630
ko:K02356	bbrs:BS27_0631
ko:K03625	bbrs:BS27_0632
ko:K01956	bbrs:BS27_0633
ko:K01955	bbrs:BS27_0634
ko:K01591	bbrs:BS27_0635
ko:K00942	bbrs:BS27_0636
ko:K02342	bbrs:BS27_0637
ko:K06999	bbrs:BS27_0640
ko:K01760	bbrs:BS27_0641
ko:K05349	bbrs:BS27_1466
ko:K01919	bbrs:BS27_1468
ko:K03601	bbrs:BS27_1472
ko:K03602	bbrs:BS27_1473
ko:K01897	bbrs:BS27_1475
ko:K03282	bbrs:BS27_1476
ko:K01524	bbrs:BS27_1479
ko:K07458	bbrs:BS27_1482
ko:K00674	bbrs:BS27_1485
ko:K01647	bbrs:BS27_1486
ko:K01265	bbrs:BS27_1487
ko:K07386	bbrs:BS27_1489
ko:K01881	bbrs:BS27_1491
ko:K13288	bbrs:BS27_1494
ko:K00088	bbrs:BS27_1495
ko:K02851	bbrs:BS27_1496
ko:K01996	bbrs:BS27_1498
ko:K01995	bbrs:BS27_1499
ko:K01998	bbrs:BS27_1500
ko:K01997	bbrs:BS27_1501
ko:K01999	bbrs:BS27_1502
ko:K02493	bbrs:BS27_1503
ko:K02835	bbrs:BS27_1504
ko:K02909	bbrs:BS27_1505
ko:K01462	bbrs:BS27_1508
ko:K07503	bbrs:BS27_0319
ko:K05838	bbrs:BS27_0323
ko:K00057	bbrs:BS27_0328
ko:K01921	bbrs:BS27_0329
ko:K02055	bbrs:BS27_0330
ko:K02054	bbrs:BS27_0331
ko:K02053	bbrs:BS27_0332
ko:K02052	bbrs:BS27_0333
ko:K01744	bbrs:BS27_0336
ko:K07090	bbrs:BS27_0338
ko:K06871	bbrs:BS27_0339
ko:K02027	bbrs:BS27_0342
ko:K02025	bbrs:BS27_0343
ko:K02026	bbrs:BS27_0344
ko:K07133	bbrs:BS27_0345
ko:K00567	bbrs:BS27_0349
ko:K00997	bbrs:BS27_0350
ko:K02956	bbrs:BS27_0360
ko:K00962	bbrs:BS27_0361
ko:K02003	bbrs:BS27_0362
ko:K03744	bbrs:BS27_0364
ko:K00766	bbrs:BS27_1199
ko:K03070	bbrs:BS27_1200
ko:K03565	bbrs:BS27_1202
ko:K03743	bbrs:BS27_1206
ko:K00995	bbrs:BS27_1207
ko:K03466	bbrs:BS27_1208
ko:K04095	bbrs:BS27_1209
ko:K00791	bbrs:BS27_1210
ko:K06168	bbrs:BS27_1211
ko:K06890	bbrs:BS27_1214
ko:K01681	bbrs:BS27_1217
ko:K01142	bbrs:BS27_1223
ko:K02031	bbrs:BS27_1224
ko:K02032	bbrs:BS27_1224
ko:K15582	bbrs:BS27_1225
ko:K15581	bbrs:BS27_1226
ko:K15580	bbrs:BS27_1227
ko:K03733	bbrs:BS27_1228
ko:K02003	bbrs:BS27_1229
ko:K02004	bbrs:BS27_1230
ko:K04517	bbrs:BS27_1232
ko:K14170	bbrs:BS27_1233
ko:K06207	bbrs:BS27_1235
ko:K02003	bbrs:BS27_1237
ko:K02004	bbrs:BS27_1238
ko:K04487	bbrs:BS27_1240
ko:K00767	bbrs:BS27_1241
ko:K00278	bbrs:BS27_1242
ko:K03517	bbrs:BS27_1243
ko:K06024	bbrs:BS27_1245
ko:K05896	bbrs:BS27_1246
ko:K04763	bbrs:BS27_1248
ko:K00865	bbrs:BS27_1249
ko:K14155	bbrs:BS27_0806
ko:K03313	bbrs:BS27_0807
ko:K06966	bbrs:BS27_0808
ko:K00240	bbrs:BS27_0810
ko:K00239	bbrs:BS27_0811
ko:K04096	bbrs:BS27_0812
ko:K07391	bbrs:BS27_0813
ko:K07460	bbrs:BS27_0814
ko:K00868	bbrs:BS27_0816
ko:K01740	bbrs:BS27_0817
ko:K02003	bbrs:BS27_0818
ko:K02004	bbrs:BS27_0819
ko:K00286	bbrs:BS27_0823
ko:K02030	bbrs:BS27_0824
ko:K02028	bbrs:BS27_0825
ko:K02029	bbrs:BS27_0826
ko:K02029	bbrs:BS27_0827
ko:K06942	bbrs:BS27_0828
ko:K13653	bbrs:BS27_0829
ko:K07343	bbrs:BS27_0830
ko:K01443	bbrs:BS27_0850
ko:K02564	bbrs:BS27_0851
ko:K01792	bbrs:BS27_0854
ko:K06871	bbrs:BS27_0858
ko:K07090	bbrs:BS27_0859
ko:K02935	bbrs:BS27_1665
ko:K02864	bbrs:BS27_1666
ko:K06901	bbrs:BS27_1668
ko:K02036	bbrs:BS27_1669
ko:K02038	bbrs:BS27_1670
ko:K02037	bbrs:BS27_1671
ko:K02040	bbrs:BS27_1672
ko:K07776	bbrs:BS27_1673
ko:K07768	bbrs:BS27_1674
ko:K01243	bbrs:BS27_1676
ko:K01626	bbrs:BS27_1677
ko:K01626	bbrs:BS27_1678
ko:K12112	bbrs:BS27_1679
ko:K12111	bbrs:BS27_1680
ko:K01838	bbrs:BS27_1681
ko:K02026	bbrs:BS27_1684
ko:K02025	bbrs:BS27_1685
ko:K02027	bbrs:BS27_1686
ko:K05595	bbrs:BS27_1688
ko:K01372	bbrs:BS27_1689
ko:K01372	bbrs:BS27_1690
ko:K01304	bbrs:BS27_1692
ko:K08303	bbrs:BS27_1695
ko:K00554	bbrs:BS27_1696
ko:K08316	bbrs:BS27_1697
ko:K03655	bbrs:BS27_1698
ko:K02902	bbrs:BS27_1699
ko:K06902	bbrs:BS27_1701
ko:K02343	bbrs:BS27_0156
ko:K06187	bbrs:BS27_0157
ko:K07284	bbrs:BS27_0158
ko:K03655	bbrs:BS27_0160
ko:K00928	bbrs:BS27_0161
ko:K00928	bbrs:BS27_0162
ko:K00133	bbrs:BS27_0163
ko:K00845	bbrs:BS27_0166
ko:K01788	bbrs:BS27_0167
ko:K02035	bbrs:BS27_0169
ko:K02033	bbrs:BS27_0170
ko:K02031	bbrs:BS27_0171
ko:K02034	bbrs:BS27_0171
ko:K01714	bbrs:BS27_0173
ko:K02564	bbrs:BS27_0174
ko:K01186	bbrs:BS27_0176
ko:K07133	bbrs:BS27_0177
ko:K01649	bbrs:BS27_0180
ko:K03168	bbrs:BS27_0183
ko:K00943	bbrs:BS27_0184
ko:K02341	bbrs:BS27_0185
ko:K02529	bbrs:BS27_0186
ko:K11189	bbrs:BS27_0188
ko:K08483	bbrs:BS27_0190
ko:K06910	bbrs:BS27_0193
ko:K08659	bbrs:BS27_0194
ko:K01938	bbrs:BS27_0195
ko:K01885	bbrs:BS27_0204
ko:K07118	bbrs:BS27_0208
ko:K03655	bbrs:BS27_0209
ko:K00963	bbrs:BS27_1028
ko:K03727	bbrs:BS27_1031
ko:K01091	bbrs:BS27_1033
ko:K00765	bbrs:BS27_1042
ko:K01523	bbrs:BS27_1043
ko:K01783	bbrs:BS27_1044
ko:K01695	bbrs:BS27_1046
ko:K01696	bbrs:BS27_1047
ko:K01151	bbrs:BS27_1049
ko:K09974	bbrs:BS27_1072
ko:K01657	bbrs:BS27_1073
ko:K01496	bbrs:BS27_1074
ko:K02500	bbrs:BS27_1075
ko:K06941	bbrs:BS27_1077
ko:K00981	bbrs:BS27_1078
ko:K02838	bbrs:BS27_1079
ko:K09903	bbrs:BS27_1080
ko:K02357	bbrs:BS27_1081
ko:K02967	bbrs:BS27_1082
ko:K01792	bbrs:BS27_1868
ko:K00965	bbrs:BS27_1869
ko:K02529	bbrs:BS27_1873
ko:K10439	bbrs:BS27_1874
ko:K10441	bbrs:BS27_1875
ko:K10440	bbrs:BS27_1876
ko:K10112	bbrs:BS27_1880
ko:K03710	bbrs:BS27_1881
ko:K03475	bbrs:BS27_1882
ko:K02822	bbrs:BS27_1883
ko:K02821	bbrs:BS27_1884
ko:K03647	bbrs:BS27_1891
ko:K05349	bbrs:BS27_1894
ko:K05349	bbrs:BS27_1898
ko:K02528	bbrs:BS27_1902
ko:K00919	bbrs:BS27_1903
ko:K00970	bbrs:BS27_1905
ko:K03980	bbrs:BS27_1908
ko:K00384	bbrs:BS27_1909
ko:K03501	bbrs:BS27_1912
ko:K06346	bbrs:BS27_1913
ko:K03217	bbrs:BS27_1914
ko:K08998	bbrs:BS27_1914a
ko:K03536	bbrs:BS27_1915
ko:K02914	bbrs:BS27_1916
ko:K01776	bbrs:BS27_0647
ko:K01778	bbrs:BS27_0648
ko:K07053	bbrs:BS27_0650
ko:K02860	bbrs:BS27_0373
ko:K06960	bbrs:BS27_0374
ko:K02959	bbrs:BS27_0375
ko:K03106	bbrs:BS27_0377
ko:K01883	bbrs:BS27_0379
ko:K01653	bbrs:BS27_0387
ko:K01652	bbrs:BS27_0388
ko:K03685	bbrs:BS27_0389
ko:K02911	bbrs:BS27_0390
ko:K07040	bbrs:BS27_0391
ko:K00954	bbrs:BS27_0393
ko:K10974	bbrs:BS27_0395
ko:K10974	bbrs:BS27_0397
ko:K09703	bbrs:BS27_0398
ko:K09703	bbrs:BS27_0399
ko:K00763	bbrs:BS27_0405
ko:K00989	bbrs:BS27_0406
ko:K02428	bbrs:BS27_0407
ko:K01810	bbrs:BS27_0409
ko:K02049	bbrs:BS27_0410
ko:K02050	bbrs:BS27_0411
ko:K02884	bbrs:BS27_0412
ko:K03100	bbrs:BS27_0413
ko:K03470	bbrs:BS27_0414
ko:K01897	bbrs:BS27_0416
ko:K02027	bbrs:BS27_0420
ko:K12308	bbrs:BS27_0422
ko:K02887	bbrs:BS27_1250
ko:K02916	bbrs:BS27_1251
ko:K02520	bbrs:BS27_1252
ko:K00949	bbrs:BS27_1254
ko:K00134	bbrs:BS27_1255
ko:K03527	bbrs:BS27_1257
ko:K03088	bbrs:BS27_1261
ko:K01928	bbrs:BS27_1262
ko:K03529	bbrs:BS27_1266
ko:K11754	bbrs:BS27_1267
ko:K01262	bbrs:BS27_1268
ko:K01443	bbrs:BS27_1270
ko:K02564	bbrs:BS27_1271
ko:K00847	bbrs:BS27_1275
ko:K07560	bbrs:BS27_1277
ko:K03589	bbrs:BS27_1278
ko:K01924	bbrs:BS27_1279
ko:K02563	bbrs:BS27_1280
ko:K03588	bbrs:BS27_1281
ko:K01925	bbrs:BS27_1282
ko:K01000	bbrs:BS27_1283
ko:K01929	bbrs:BS27_1284
ko:K03587	bbrs:BS27_1286
ko:K03438	bbrs:BS27_1288
ko:K03925	bbrs:BS27_1289
ko:K00058	bbrs:BS27_1291
ko:K07738	bbrs:BS27_1292
ko:K01356	bbrs:BS27_1294
ko:K16264	bbrs:BS27_1295
ko:K00016	bbrs:BS27_1296
ko:K03665	bbrs:BS27_1297
ko:K03578	bbrs:BS27_1299
ko:K01915	bbrs:BS27_1301
ko:K03657	bbrs:BS27_0653
ko:K07177	bbrs:BS27_0655
ko:K00099	bbrs:BS27_0658
ko:K03584	bbrs:BS27_0661
ko:K00806	bbrs:BS27_0662
ko:K16784	bbrs:BS27_0666
ko:K01972	bbrs:BS27_0670
ko:K03593	bbrs:BS27_0671
ko:K01915	bbrs:BS27_0672
ko:K00382	bbrs:BS27_0674
ko:K16925	bbrs:BS27_0677
ko:K16786	bbrs:BS27_0678
ko:K16787	bbrs:BS27_0678
ko:K16785	bbrs:BS27_0679
ko:K03437	bbrs:BS27_0680
ko:K01889	bbrs:BS27_0681
ko:K01890	bbrs:BS27_0682
ko:K00145	bbrs:BS27_0684
ko:K00620	bbrs:BS27_0685
ko:K00930	bbrs:BS27_0686
ko:K00611	bbrs:BS27_0688
ko:K03402	bbrs:BS27_0689
ko:K01940	bbrs:BS27_0690
ko:K01755	bbrs:BS27_0696
ko:K03154	bbrs:BS27_0697
ko:K03149	bbrs:BS27_0698
ko:K00845	bbrs:BS27_1512
ko:K10805	bbrs:BS27_1515
ko:K13940	bbrs:BS27_1517
ko:K00796	bbrs:BS27_1518
ko:K01495	bbrs:BS27_1519
ko:K03798	bbrs:BS27_1520
ko:K00760	bbrs:BS27_1521
ko:K04075	bbrs:BS27_1522
ko:K07259	bbrs:BS27_1523
ko:K01992	bbrs:BS27_1524
ko:K01990	bbrs:BS27_1525
ko:K00048	bbrs:BS27_1529
ko:K00574	bbrs:BS27_1530
ko:K03439	bbrs:BS27_1531
ko:K16209	bbrs:BS27_1533
ko:K01190	bbrs:BS27_1534
ko:K02529	bbrs:BS27_1535
ko:K02027	bbrs:BS27_1537
ko:K02004	bbrs:BS27_1541
ko:K02004	bbrs:BS27_1542
ko:K02003	bbrs:BS27_1543
ko:K01104	bbrs:BS27_1544
ko:K00831	bbrs:BS27_1552
ko:K02039	bbrs:BS27_1555
ko:K01834	bbrs:BS27_1556
ko:K02548	bbrs:BS27_1557
ko:K04567	bbrs:BS27_1558
ko:K02313	bbrs:BS27_0001
ko:K02338	bbrs:BS27_0002
ko:K03629	bbrs:BS27_0003
ko:K02470	bbrs:BS27_0005
ko:K02469	bbrs:BS27_0006
ko:K02529	bbrs:BS27_0008
ko:K01190	bbrs:BS27_0010
ko:K00262	bbrs:BS27_0013
ko:K07043	bbrs:BS27_0015
ko:K07133	bbrs:BS27_0017
ko:K04047	bbrs:BS27_0018
ko:K02529	bbrs:BS27_0022
ko:K01193	bbrs:BS27_0023
ko:K10117	bbrs:BS27_0024
ko:K10119	bbrs:BS27_0031
ko:K10118	bbrs:BS27_0032
ko:K10117	bbrs:BS27_0035
ko:K10117	bbrs:BS27_0041
ko:K04047	bbrs:BS27_0042
ko:K03699	bbrs:BS27_0043
ko:K04759	bbrs:BS27_0863
ko:K07090	bbrs:BS27_0864
ko:K03306	bbrs:BS27_0872
ko:K07220	bbrs:BS27_0873
ko:K03655	bbrs:BS27_0880
ko:K05995	bbrs:BS27_0883
ko:K08281	bbrs:BS27_0884
ko:K07727	bbrs:BS27_0888
ko:K03816	bbrs:BS27_0890
ko:K03657	bbrs:BS27_0891
ko:K02004	bbrs:BS27_0893
ko:K02003	bbrs:BS27_0894
ko:K02986	bbrs:BS27_0895
ko:K07010	bbrs:BS27_0896
ko:K01489	bbrs:BS27_0897
ko:K01872	bbrs:BS27_0905
ko:K07447	bbrs:BS27_0906
ko:K07082	bbrs:BS27_0907
ko:K02654	bbrs:BS27_0908
ko:K01736	bbrs:BS27_0909
ko:K13829	bbrs:BS27_0910
ko:K03786	bbrs:BS27_0911
ko:K01937	bbrs:BS27_0912
ko:K09014	bbrs:BS27_0914
ko:K09015	bbrs:BS27_0915
ko:K09013	bbrs:BS27_0916
ko:K11533	bbrs:BS27_1711
ko:K11263	bbrs:BS27_1714
ko:K03523	bbrs:BS27_1715
ko:K03524	bbrs:BS27_1716
ko:K02863	bbrs:BS27_1719
ko:K02867	bbrs:BS27_1720
ko:K02601	bbrs:BS27_1722
ko:K03073	bbrs:BS27_1723
ko:K00931	bbrs:BS27_1726
ko:K03979	bbrs:BS27_1727
ko:K02899	bbrs:BS27_1728
ko:K02888	bbrs:BS27_1729
ko:K01439	bbrs:BS27_1731
ko:K07088	bbrs:BS27_1732
ko:K02429	bbrs:BS27_1735
ko:K18333	bbrs:BS27_1736
ko:K18334	bbrs:BS27_1737
ko:K02003	bbrs:BS27_1740
ko:K06287	bbrs:BS27_1743
ko:K00872	bbrs:BS27_1744
ko:K00003	bbrs:BS27_1745
ko:K01586	bbrs:BS27_1748
ko:K01887	bbrs:BS27_1749
ko:K00790	bbrs:BS27_1752
ko:K16957	bbrs:BS27_1754
ko:K16958	bbrs:BS27_1755
ko:K16959	bbrs:BS27_1756
ko:K01704	bbrs:BS27_1762
ko:K07454	bbrs:BS27_0219
ko:K07243	bbrs:BS27_0229
ko:K07230	bbrs:BS27_0230
ko:K02004	bbrs:BS27_0232
ko:K02004	bbrs:BS27_0233
ko:K02003	bbrs:BS27_0234
ko:K01421	bbrs:BS27_0237
ko:K01421	bbrs:BS27_0238
ko:K00033	bbrs:BS27_0240
ko:K01057	bbrs:BS27_0241
ko:K00036	bbrs:BS27_0243
ko:K17836	bbrs:BS27_0244
ko:K08659	bbrs:BS27_0245
ko:K03110	bbrs:BS27_0248
ko:K03320	bbrs:BS27_0249
ko:K04751	bbrs:BS27_0250
ko:K00990	bbrs:BS27_0251
ko:K07009	bbrs:BS27_0255
ko:K03688	bbrs:BS27_0257
ko:K06997	bbrs:BS27_0259
ko:K00948	bbrs:BS27_0260
ko:K02990	bbrs:BS27_0261
ko:K02963	bbrs:BS27_0263
ko:K01462	bbrs:BS27_1083
ko:K01897	bbrs:BS27_1084
ko:K00088	bbrs:BS27_1086
ko:K00031	bbrs:BS27_1087
ko:K07154	bbrs:BS27_1110
ko:K01409	bbrs:BS27_1138
ko:K03789	bbrs:BS27_1139
ko:K01224	bbrs:BS27_0424
ko:K03322	bbrs:BS27_0427
ko:K01104	bbrs:BS27_0431
ko:K03671	bbrs:BS27_0468
ko:K03426	bbrs:BS27_0471
ko:K02437	bbrs:BS27_0472
ko:K01354	bbrs:BS27_0474
ko:K00052	bbrs:BS27_0475
ko:K03800	bbrs:BS27_0476
ko:K00226	bbrs:BS27_0480
ko:K00965	bbrs:BS27_0482
ko:K01814	bbrs:BS27_1303
ko:K01817	bbrs:BS27_1303
ko:K02501	bbrs:BS27_1304
ko:K01693	bbrs:BS27_1306
ko:K00817	bbrs:BS27_1307
ko:K00013	bbrs:BS27_1308
ko:K01512	bbrs:BS27_1309
ko:K18333	bbrs:BS27_1314
ko:K10254	bbrs:BS27_1317
ko:K02337	bbrs:BS27_1320
ko:K06180	bbrs:BS27_1322
ko:K03101	bbrs:BS27_1323
ko:K02221	bbrs:BS27_1325
ko:K09772	bbrs:BS27_1326
ko:K03531	bbrs:BS27_1327
ko:K01880	bbrs:BS27_1329
ko:K00878	bbrs:BS27_1330
ko:K03147	bbrs:BS27_1331
ko:K13525	bbrs:BS27_1332
ko:K00941	bbrs:BS27_1333
ko:K08369	bbrs:BS27_1336
ko:K02529	bbrs:BS27_1341
ko:K02532	bbrs:BS27_1342
ko:K01193	bbrs:BS27_1343
ko:K00886	bbrs:BS27_1344
ko:K07574	bbrs:BS27_1349
ko:K08972	bbrs:BS27_1350
ko:K06950	bbrs:BS27_0701
ko:K01866	bbrs:BS27_0704
ko:K06442	bbrs:BS27_0708
ko:K00858	bbrs:BS27_0712
ko:K03631	bbrs:BS27_0713
ko:K07979	bbrs:BS27_0717
ko:K01990	bbrs:BS27_0718
ko:K01733	bbrs:BS27_0722
ko:K00147	bbrs:BS27_0723
ko:K00969	bbrs:BS27_0725
ko:K09118	bbrs:BS27_0728
ko:K03823	bbrs:BS27_0729
ko:K01056	bbrs:BS27_0730
ko:K03723	bbrs:BS27_0731
ko:K01689	bbrs:BS27_0733
ko:K09009	bbrs:BS27_0735
ko:K01524	bbrs:BS27_0736
ko:K01752	bbrs:BS27_0738
ko:K03624	bbrs:BS27_0740
ko:K11068	bbrs:BS27_0741
ko:K03466	bbrs:BS27_0744
ko:K00700	bbrs:BS27_0754
ko:K07736	bbrs:BS27_0755
ko:K01770	bbrs:BS27_0756
ko:K01784	bbrs:BS27_1567
ko:K15533	bbrs:BS27_1569
ko:K02026	bbrs:BS27_1570
ko:K02025	bbrs:BS27_1571
ko:K02027	bbrs:BS27_1572
ko:K01875	bbrs:BS27_1573
ko:K03488	bbrs:BS27_1575
ko:K02755	bbrs:BS27_1576
ko:K02756	bbrs:BS27_1576
ko:K02757	bbrs:BS27_1576
ko:K01835	bbrs:BS27_1577
ko:K03469	bbrs:BS27_1581
ko:K01807	bbrs:BS27_1582
ko:K04485	bbrs:BS27_1584
ko:K11753	bbrs:BS27_1585
ko:K03177	bbrs:BS27_1586
ko:K02834	bbrs:BS27_1587
ko:K02519	bbrs:BS27_1588
ko:K02600	bbrs:BS27_1589
ko:K06173	bbrs:BS27_1594
ko:K02879	bbrs:BS27_1595
ko:K03040	bbrs:BS27_1596
ko:K02948	bbrs:BS27_1597
ko:K02952	bbrs:BS27_1598
ko:K02919	bbrs:BS27_1599
ko:K02518	bbrs:BS27_1600
ko:K00939	bbrs:BS27_1601
ko:K03076	bbrs:BS27_1602
ko:K02876	bbrs:BS27_1603
ko:K02907	bbrs:BS27_1604
ko:K02988	bbrs:BS27_1605
ko:K02881	bbrs:BS27_1606
ko:K02933	bbrs:BS27_1607
ko:K02994	bbrs:BS27_1608
ko:K01673	bbrs:BS27_0045
ko:K03386	bbrs:BS27_0046
ko:K00384	bbrs:BS27_0047
ko:K01784	bbrs:BS27_0048
ko:K06330	bbrs:BS27_0054
ko:K07133	bbrs:BS27_0058
ko:K03655	bbrs:BS27_0059
ko:K01595	bbrs:BS27_0061
ko:K11928	bbrs:BS27_0063
ko:K01867	bbrs:BS27_0066
ko:K00688	bbrs:BS27_0069
ko:K01664	bbrs:BS27_0075
ko:K01278	bbrs:BS27_0083
ko:K01048	bbrs:BS27_0084
ko:K12267	bbrs:BS27_0090
ko:K11068	bbrs:BS27_0098
ko:K11717	bbrs:BS27_0917
ko:K04488	bbrs:BS27_0918
ko:K00975	bbrs:BS27_0920
ko:K09761	bbrs:BS27_0922
ko:K02503	bbrs:BS27_0923
ko:K07042	bbrs:BS27_0925
ko:K01897	bbrs:BS27_0928
ko:K00324	bbrs:BS27_0929
ko:K00324	bbrs:BS27_0931
ko:K00325	bbrs:BS27_0932
ko:K08177	bbrs:BS27_0933
ko:K02897	bbrs:BS27_0934
ko:K00826	bbrs:BS27_0935
ko:K02428	bbrs:BS27_0936
ko:K03596	bbrs:BS27_0939
ko:K00265	bbrs:BS27_0946
ko:K00266	bbrs:BS27_0947
ko:K15580	bbrs:BS27_0949
ko:K16148	bbrs:BS27_0952
ko:K02013	bbrs:BS27_0953
ko:K03564	bbrs:BS27_0955
ko:K03707	bbrs:BS27_0961
ko:K06999	bbrs:BS27_0963
ko:K07442	bbrs:BS27_0964
ko:K08296	bbrs:BS27_0965
ko:K00549	bbrs:BS27_0967
ko:K00297	bbrs:BS27_0969
ko:K01442	bbrs:BS27_0970
ko:K00982	bbrs:BS27_0971
ko:K00609	bbrs:BS27_0972
ko:K00610	bbrs:BS27_0973
ko:K01465	bbrs:BS27_0974
ko:K01703	bbrs:BS27_1763
ko:K00937	bbrs:BS27_1766
ko:K02026	bbrs:BS27_1770
ko:K00761	bbrs:BS27_1771
ko:K00783	bbrs:BS27_1772
ko:K01885	bbrs:BS27_1774
ko:K03695	bbrs:BS27_1776
ko:K01854	bbrs:BS27_1781
ko:K08094	bbrs:BS27_1782
ko:K02057	bbrs:BS27_1783
ko:K02057	bbrs:BS27_1784
ko:K02056	bbrs:BS27_1785
ko:K02058	bbrs:BS27_1786
ko:K00854	bbrs:BS27_1787
ko:K01990	bbrs:BS27_1794
ko:K01992	bbrs:BS27_1795
ko:K00973	bbrs:BS27_1796
ko:K06950	bbrs:BS27_1807
ko:K03549	bbrs:BS27_1809
ko:K03424	bbrs:BS27_1810
ko:K06147	bbrs:BS27_1811
ko:K06215	bbrs:BS27_0538
ko:K08681	bbrs:BS27_0539
ko:K02027	bbrs:BS27_0546
ko:K01182	bbrs:BS27_0548
ko:K15580	bbrs:BS27_0550
ko:K12267	bbrs:BS27_0551
ko:K02003	bbrs:BS27_0552
ko:K01662	bbrs:BS27_0555
ko:K01588	bbrs:BS27_0557
ko:K01589	bbrs:BS27_0558
ko:K03711	bbrs:BS27_0559
ko:K03711	bbrs:BS27_0564
ko:K07089	bbrs:BS27_0566
ko:K02911	bbrs:BS27_0568
ko:K02919	bbrs:BS27_0569
ko:K02909	bbrs:BS27_0570
ko:K02954	bbrs:BS27_0571
ko:K02913	bbrs:BS27_0572
ko:K02902	bbrs:BS27_0573
