ko:K18831	rai:RA0C_0123
ko:K03522	rai:RA0C_0091
ko:K08999	rai:RA0C_0092
ko:K11537	rai:RA0C_0093
ko:K03088	rai:RA0C_0094
ko:K07058	rai:RA0C_0100
ko:K00783	rai:RA0C_0101
ko:K00384	rai:RA0C_0106
ko:K06199	rai:RA0C_0107
ko:K02474	rai:RA0C_0994
ko:K01991	rai:RA0C_0997
ko:K03565	rai:RA0C_0999
ko:K00600	rai:RA0C_1000
ko:K01810	rai:RA0C_1001
ko:K01491	rai:RA0C_1002
ko:K05523	rai:RA0C_1004
ko:K00800	rai:RA0C_1006
ko:K02909	rai:RA0C_1009
ko:K01887	rai:RA0C_1012
ko:K03470	rai:RA0C_1015
ko:K03217	rai:RA0C_1016
ko:K01937	rai:RA0C_1017
ko:K00240	rai:RA0C_1021
ko:K00239	rai:RA0C_1022
ko:K15342	rai:RA0C_1032
ko:K04755	rai:RA0C_1036
ko:K00384	rai:RA0C_1037
ko:K00809	rai:RA0C_1041
ko:K07566	rai:RA0C_1922
ko:K00640	rai:RA0C_1923
ko:K01738	rai:RA0C_1924
ko:K01889	rai:RA0C_1931
ko:K01918	rai:RA0C_1935
ko:K00703	rai:RA0C_1936
ko:K00820	rai:RA0C_1938
ko:K07636	rai:RA0C_1947
ko:K03723	rai:RA0C_1949
ko:K07447	rai:RA0C_1950
ko:K01462	rai:RA0C_1951
ko:K00014	rai:RA0C_1954
ko:K11752	rai:RA0C_1956
ko:K06911	rai:RA0C_1959
ko:K03088	rai:RA0C_1960
ko:K08276	rai:RA0C_1963
ko:K07218	rai:RA0C_1966
ko:K00376	rai:RA0C_1969
ko:K07322	rai:RA0C_1976
ko:K01911	rai:RA0C_0936
ko:K00428	rai:RA0C_0938
ko:K00281	rai:RA0C_0942
ko:K11065	rai:RA0C_0945
ko:K00343	rai:RA0C_0946
ko:K00342	rai:RA0C_0947
ko:K00341	rai:RA0C_0948
ko:K00340	rai:RA0C_0949
ko:K00339	rai:RA0C_0950
ko:K00338	rai:RA0C_0951
ko:K00337	rai:RA0C_0952
ko:K00334	rai:RA0C_0956
ko:K00333	rai:RA0C_0957
ko:K00332	rai:RA0C_0958
ko:K00331	rai:RA0C_0959
ko:K00330	rai:RA0C_0960
ko:K06973	rai:RA0C_0963
ko:K00748	rai:RA0C_0964
ko:K06872	rai:RA0C_0967
ko:K03744	rai:RA0C_0969
ko:K14441	rai:RA0C_0971
ko:K00973	rai:RA0C_0972
ko:K01790	rai:RA0C_0974
ko:K02078	rai:RA0C_0978
ko:K00648	rai:RA0C_0981
ko:K01953	rai:RA0C_0986
ko:K01903	rai:RA0C_1863
ko:K10764	rai:RA0C_1868
ko:K12524	rai:RA0C_1869
ko:K00641	rai:RA0C_1870
ko:K01921	rai:RA0C_1871
ko:K00954	rai:RA0C_1872
ko:K09808	rai:RA0C_1876
ko:K02687	rai:RA0C_1877
ko:K00057	rai:RA0C_1878
ko:K03969	rai:RA0C_1896
ko:K01972	rai:RA0C_1899
ko:K03814	rai:RA0C_0239
ko:K03781	rai:RA0C_0243
ko:K00648	rai:RA0C_0257
ko:K08972	rai:RA0C_0258
ko:K06942	rai:RA0C_0261
ko:K00208	rai:RA0C_0263
ko:K07516	rai:RA0C_0266
ko:K03979	rai:RA0C_0285
ko:K03424	rai:RA0C_0286
ko:K04651	rai:RA0C_1163
ko:K03190	rai:RA0C_1164
ko:K03189	rai:RA0C_1165
ko:K03188	rai:RA0C_1166
ko:K03187	rai:RA0C_1167
ko:K01428	rai:RA0C_1168
ko:K01429	rai:RA0C_1169
ko:K01430	rai:RA0C_1170
ko:K02013	rai:RA0C_1172
ko:K02015	rai:RA0C_1173
ko:K01963	rai:RA0C_1176
ko:K01624	rai:RA0C_1177
ko:K00858	rai:RA0C_1178
ko:K03561	rai:RA0C_1191
ko:K07007	rai:RA0C_1194
ko:K03385	rai:RA0C_1197
ko:K15876	rai:RA0C_1198
ko:K02040	rai:RA0C_1207
ko:K03832	rai:RA0C_1209
ko:K03561	rai:RA0C_1212
ko:K01869	rai:RA0C_1213
ko:K08303	rai:RA0C_1216
ko:K01875	rai:RA0C_1222
ko:K04075	rai:RA0C_1224
ko:K01681	rai:RA0C_2093
ko:K09794	rai:RA0C_0468
ko:K00876	rai:RA0C_0469
ko:K06949	rai:RA0C_0471
ko:K09001	rai:RA0C_0472
ko:K01803	rai:RA0C_0474
ko:K03106	rai:RA0C_0483
ko:K00556	rai:RA0C_0484
ko:K02493	rai:RA0C_0485
ko:K09861	rai:RA0C_0486
ko:K00602	rai:RA0C_0490
ko:K03701	rai:RA0C_0492
ko:K02945	rai:RA0C_0494
ko:K03801	rai:RA0C_0497
ko:K15726	rai:RA0C_0502
ko:K07090	rai:RA0C_0505
ko:K03305	rai:RA0C_1903
ko:K03549	rai:RA0C_1911
ko:K01338	rai:RA0C_1316
ko:K00067	rai:RA0C_1323
ko:K07107	rai:RA0C_1324
ko:K06142	rai:RA0C_1325
ko:K06142	rai:RA0C_1326
ko:K07277	rai:RA0C_1327
ko:K00806	rai:RA0C_1328
ko:K01613	rai:RA0C_1331
ko:K00981	rai:RA0C_1332
ko:K03215	rai:RA0C_1335
ko:K01661	rai:RA0C_0507
ko:K02548	rai:RA0C_0508
ko:K01284	rai:RA0C_0515
ko:K03623	rai:RA0C_0516
ko:K07444	rai:RA0C_0518
ko:K01895	rai:RA0C_0519
ko:K05592	rai:RA0C_0524
ko:K03101	rai:RA0C_1396
ko:K03596	rai:RA0C_1398
ko:K09014	rai:RA0C_1401
ko:K06079	rai:RA0C_1404
ko:K07127	rai:RA0C_1405
ko:K09013	rai:RA0C_1407
ko:K09015	rai:RA0C_1408
ko:K03525	rai:RA0C_1410
ko:K00790	rai:RA0C_1416
ko:K00791	rai:RA0C_1417
ko:K02899	rai:RA0C_1420
ko:K02888	rai:RA0C_1421
ko:K00075	rai:RA0C_1423
ko:K01775	rai:RA0C_1428
ko:K07056	rai:RA0C_1431
ko:K12573	rai:RA0C_1438
ko:K01808	rai:RA0C_1439
ko:K03696	rai:RA0C_1442
ko:K02426	rai:RA0C_1444
ko:K03787	rai:RA0C_1447
ko:K03797	rai:RA0C_1448
ko:K07082	rai:RA0C_0651
ko:K01778	rai:RA0C_0652
ko:K01886	rai:RA0C_0654
ko:K03179	rai:RA0C_0655
ko:K02613	rai:RA0C_0658
ko:K02015	rai:RA0C_0660
ko:K01956	rai:RA0C_0667
ko:K00609	rai:RA0C_0668
ko:K03704	rai:RA0C_0672
ko:K11927	rai:RA0C_0674
ko:K06941	rai:RA0C_0675
ko:K07568	rai:RA0C_0676
ko:K02939	rai:RA0C_0682
ko:K02963	rai:RA0C_0683
ko:K02990	rai:RA0C_0684
ko:K04043	rai:RA0C_0686
ko:K07259	rai:RA0C_0690
ko:K01697	rai:RA0C_0694
ko:K00382	rai:RA0C_0698
ko:K11754	rai:RA0C_1574
ko:K09748	rai:RA0C_1576
ko:K02600	rai:RA0C_1577
ko:K02519	rai:RA0C_1578
ko:K00645	rai:RA0C_1584
ko:K03671	rai:RA0C_1585
ko:K07090	rai:RA0C_1590
ko:K06915	rai:RA0C_1592
ko:K03631	rai:RA0C_1594
ko:K01012	rai:RA0C_1597
ko:K00946	rai:RA0C_1599
ko:K07107	rai:RA0C_1600
ko:K06168	rai:RA0C_1603
ko:K03536	rai:RA0C_1607
ko:K03424	rai:RA0C_1609
ko:K06966	rai:RA0C_1612
ko:K13038	rai:RA0C_1614
ko:K05807	rai:RA0C_1616
ko:K03070	rai:RA0C_1619
ko:K03977	rai:RA0C_1624
ko:K03569	rai:RA0C_1626
ko:K06959	rai:RA0C_0821
ko:K00162	rai:RA0C_0822
ko:K00134	rai:RA0C_0827
ko:K00850	rai:RA0C_0828
ko:K03545	rai:RA0C_0833
ko:K03642	rai:RA0C_0834
ko:K01142	rai:RA0C_0835
ko:K01256	rai:RA0C_0841
ko:K01902	rai:RA0C_0844
ko:K02536	rai:RA0C_0845
ko:K02356	rai:RA0C_0846
ko:K00677	rai:RA0C_0847
ko:K06885	rai:RA0C_0850
ko:K03841	rai:RA0C_0852
ko:K00928	rai:RA0C_0853
ko:K02337	rai:RA0C_0858
ko:K02956	rai:RA0C_0859
ko:K00962	rai:RA0C_0860
ko:K00024	rai:RA0C_0863
ko:K03654	rai:RA0C_0864
ko:K00604	rai:RA0C_0865
ko:K01776	rai:RA0C_0866
ko:K01698	rai:RA0C_0867
ko:K02959	rai:RA0C_0869
ko:K02860	rai:RA0C_0870
ko:K02066	rai:RA0C_0873
ko:K02065	rai:RA0C_0874
ko:K00029	rai:RA0C_1750
ko:K03628	rai:RA0C_1757
ko:K01083	rai:RA0C_1761
ko:K02967	rai:RA0C_1763
ko:K02996	rai:RA0C_1764
ko:K02871	rai:RA0C_1765
ko:K07501	rai:RA0C_1767
ko:K00012	rai:RA0C_1769
ko:K09792	rai:RA0C_1770
ko:K00406	rai:RA0C_1773
ko:K15862	rai:RA0C_1775
ko:K00606	rai:RA0C_1779
ko:K06180	rai:RA0C_1781
ko:K02970	rai:RA0C_1784
ko:K03733	rai:RA0C_1785
ko:K05808	rai:RA0C_1786
ko:K02358	rai:RA0C_1792
ko:K03073	rai:RA0C_1794
ko:K02601	rai:RA0C_1795
ko:K02867	rai:RA0C_1796
ko:K02863	rai:RA0C_1797
ko:K02864	rai:RA0C_1798
ko:K02935	rai:RA0C_1799
ko:K01448	rai:RA0C_0115
ko:K00957	rai:RA0C_0150
ko:K13766	rai:RA0C_1056
ko:K00262	rai:RA0C_1072
ko:K04096	rai:RA0C_1073
ko:K06886	rai:RA0C_1074
ko:K03550	rai:RA0C_1080
ko:K01737	rai:RA0C_1082
ko:K03269	rai:RA0C_1083
ko:K03564	rai:RA0C_1086
ko:K10773	rai:RA0C_1087
ko:K02357	rai:RA0C_1088
ko:K01962	rai:RA0C_1090
ko:K03695	rai:RA0C_1094
ko:K01056	rai:RA0C_1095
ko:K01673	rai:RA0C_1102
ko:K00640	rai:RA0C_1103
ko:K03734	rai:RA0C_1979
ko:K01752	rai:RA0C_1986
ko:K02361	rai:RA0C_1991
ko:K06861	rai:RA0C_1993
ko:K08987	rai:RA0C_1998
ko:K11753	rai:RA0C_2000
ko:K02112	rai:RA0C_2001
ko:K02114	rai:RA0C_2002
ko:K00940	rai:RA0C_2003
ko:K00826	rai:RA0C_2004
ko:K03648	rai:RA0C_2006
ko:K02558	rai:RA0C_2008
ko:K01845	rai:RA0C_2014
ko:K06167	rai:RA0C_2017
ko:K03427	rai:RA0C_2025
ko:K01154	rai:RA0C_2026
ko:K01153	rai:RA0C_2027
ko:K07259	rai:RA0C_0292
ko:K02341	rai:RA0C_0294
ko:K01929	rai:RA0C_0299
ko:K08973	rai:RA0C_0304
ko:K03654	rai:RA0C_0308
ko:K06041	rai:RA0C_0309
ko:K00812	rai:RA0C_0315
ko:K03650	rai:RA0C_0318
ko:K07127	rai:RA0C_0322
ko:K03100	rai:RA0C_0329
ko:K00215	rai:RA0C_0330
ko:K03832	rai:RA0C_0334
ko:K03466	rai:RA0C_0338
ko:K02340	rai:RA0C_0340
ko:K07275	rai:RA0C_0344
ko:K00873	rai:RA0C_1240
ko:K03685	rai:RA0C_1241
ko:K09458	rai:RA0C_1242
ko:K02078	rai:RA0C_1243
ko:K03770	rai:RA0C_1252
ko:K01809	rai:RA0C_1253
ko:K01961	rai:RA0C_1260
ko:K02160	rai:RA0C_1261
ko:K02911	rai:RA0C_1262
ko:K00097	rai:RA0C_1264
ko:K00793	rai:RA0C_1265
ko:K09812	rai:RA0C_1268
ko:K02914	rai:RA0C_1269
ko:K01586	rai:RA0C_1282
ko:K06187	rai:RA0C_0410
ko:K03657	rai:RA0C_0415
ko:K02884	rai:RA0C_0422
ko:K01938	rai:RA0C_0423
ko:K00757	rai:RA0C_0426
ko:K03113	rai:RA0C_0427
ko:K09888	rai:RA0C_049429
ko:K02622	rai:RA0C_0431
ko:K02621	rai:RA0C_0433
ko:K03313	rai:RA0C_0435
ko:K01695	rai:RA0C_0439
ko:K01696	rai:RA0C_0441
ko:K01817	rai:RA0C_0442
ko:K01609	rai:RA0C_0443
ko:K01246	rai:RA0C_0444
ko:K00766	rai:RA0C_0445
ko:K01657	rai:RA0C_0447
ko:K01868	rai:RA0C_0449
ko:K02520	rai:RA0C_0450
ko:K02916	rai:RA0C_0452
ko:K02887	rai:RA0C_0453
ko:K00074	rai:RA0C_0454
ko:K01952	rai:RA0C_0456
ko:K01923	rai:RA0C_0457
ko:K00764	rai:RA0C_0458
ko:K04567	rai:RA0C_0461
ko:K00428	rai:RA0C_0462
ko:K01939	rai:RA0C_0463
ko:K06207	rai:RA0C_0467
ko:K00133	rai:RA0C_1338
ko:K03572	rai:RA0C_1342
ko:K02551	rai:RA0C_1353
ko:K00927	rai:RA0C_1356
ko:K03495	rai:RA0C_1370
ko:K07001	rai:RA0C_1372
ko:K01610	rai:RA0C_1374
ko:K03585	rai:RA0C_1376
ko:K09954	rai:RA0C_1381
ko:K01665	rai:RA0C_1384
ko:K00812	rai:RA0C_1393
ko:K01870	rai:RA0C_1394
ko:K02469	rai:RA0C_0529
ko:K02470	rai:RA0C_0531
ko:K00252	rai:RA0C_0537
ko:K01028	rai:RA0C_0539
ko:K01029	rai:RA0C_0540
ko:K01595	rai:RA0C_0541
ko:K00573	rai:RA0C_0546
ko:K02517	rai:RA0C_0560
ko:K01892	rai:RA0C_0563
ko:K08281	rai:RA0C_0564
ko:K01265	rai:RA0C_0567
ko:K12257	rai:RA0C_0571
ko:K00615	rai:RA0C_0574
ko:K07127	rai:RA0C_0580
ko:K00615	rai:RA0C_0584
ko:K03786	rai:RA0C_1453
ko:K05366	rai:RA0C_1456
ko:K00185	rai:RA0C_1465
ko:K00759	rai:RA0C_1470
ko:K00794	rai:RA0C_1472
ko:K01354	rai:RA0C_1478
ko:K02902	rai:RA0C_1479
ko:K02913	rai:RA0C_1480
ko:K03110	rai:RA0C_1482
ko:K03168	rai:RA0C_1484
ko:K03555	rai:RA0C_1491
ko:K00773	rai:RA0C_1495
ko:K03524	rai:RA0C_1497
ko:K09710	rai:RA0C_1498
ko:K03798	rai:RA0C_1499
ko:K03671	rai:RA0C_0702
ko:K04487	rai:RA0C_0703
ko:K13789	rai:RA0C_0708
ko:K00788	rai:RA0C_0710
ko:K00891	rai:RA0C_0718
ko:K04762	rai:RA0C_0719
ko:K06193	rai:RA0C_0723
ko:K03306	rai:RA0C_0732
ko:K07220	rai:RA0C_0733
ko:K00549	rai:RA0C_0735
ko:K02343	rai:RA0C_0740
ko:K03630	rai:RA0C_0744
ko:K00796	rai:RA0C_0749
ko:K00945	rai:RA0C_0750
ko:K01579	rai:RA0C_0753
ko:K03530	rai:RA0C_0754
ko:K00275	rai:RA0C_0756
ko:K07735	rai:RA0C_0757
ko:K03570	rai:RA0C_1627
ko:K05515	rai:RA0C_1629
ko:K05837	rai:RA0C_1630
ko:K02557	rai:RA0C_1631
ko:K02527	rai:RA0C_1635
ko:K06975	rai:RA0C_1638
ko:K01599	rai:RA0C_1640
ko:K01749	rai:RA0C_1642
ko:K02492	rai:RA0C_1643
ko:K01676	rai:RA0C_1651
ko:K01640	rai:RA0C_1654
ko:K01880	rai:RA0C_1655
ko:K11717	rai:RA0C_1656
ko:K06940	rai:RA0C_1658
ko:K03782	rai:RA0C_1659
ko:K03437	rai:RA0C_1661
ko:K09760	rai:RA0C_1662
ko:K00763	rai:RA0C_1663
ko:K04047	rai:RA0C_1664
ko:K02950	rai:RA0C_1670
ko:K02992	rai:RA0C_1671
ko:K02355	rai:RA0C_1672
ko:K02946	rai:RA0C_1673
ko:K01772	rai:RA0C_1685
ko:K01589	rai:RA0C_0882
ko:K01588	rai:RA0C_0883
ko:K06999	rai:RA0C_0885
ko:K01866	rai:RA0C_0886
ko:K09807	rai:RA0C_0892
ko:K00912	rai:RA0C_0896
ko:K00457	rai:RA0C_0897
ko:K01555	rai:RA0C_0899
ko:K00382	rai:RA0C_0901
ko:K03686	rai:RA0C_0904
ko:K03687	rai:RA0C_0905
ko:K03322	rai:RA0C_0906
ko:K01881	rai:RA0C_0910
ko:K01783	rai:RA0C_0912
ko:K03086	rai:RA0C_0913
ko:K00432	rai:RA0C_0914
ko:K00979	rai:RA0C_0916
ko:K00812	rai:RA0C_0918
ko:K01873	rai:RA0C_0924
ko:K03043	rai:RA0C_1805
ko:K03046	rai:RA0C_1806
ko:K15738	rai:RA0C_1809
ko:K00761	rai:RA0C_1811
ko:K15866	rai:RA0C_1812
ko:K03517	rai:RA0C_1814
ko:K01633	rai:RA0C_1815
ko:K02437	rai:RA0C_1816
ko:K03092	rai:RA0C_1833
ko:K01893	rai:RA0C_1834
ko:K00451	rai:RA0C_1836
ko:K01872	rai:RA0C_1844
ko:K03771	rai:RA0C_1845
ko:K03575	rai:RA0C_1848
ko:K03530	rai:RA0C_1849
ko:K08301	rai:RA0C_1850
ko:K06180	rai:RA0C_1855
ko:K14652	rai:RA0C_1859
ko:K02838	rai:RA0C_0193
ko:K09903	rai:RA0C_0194
ko:K05995	rai:RA0C_0202
ko:K07107	rai:RA0C_0203
ko:K02313	rai:RA0C_0204
ko:K07056	rai:RA0C_0206
ko:K09761	rai:RA0C_0212
ko:K06153	rai:RA0C_0213
ko:K09811	rai:RA0C_0215
ko:K12410	rai:RA0C_0223
ko:K03284	rai:RA0C_0225
ko:K01714	rai:RA0C_0226
ko:K01465	rai:RA0C_1111
ko:K07462	rai:RA0C_1114
ko:K00969	rai:RA0C_1115
ko:K02968	rai:RA0C_1117
ko:K01448	rai:RA0C_1120
ko:K01689	rai:RA0C_1124
ko:K01647	rai:RA0C_1125
ko:K02879	rai:RA0C_1129
ko:K03040	rai:RA0C_1130
ko:K02986	rai:RA0C_1131
ko:K02948	rai:RA0C_1132
ko:K02952	rai:RA0C_1133
ko:K02919	rai:RA0C_1134
ko:K02518	rai:RA0C_1135
ko:K03076	rai:RA0C_1136
ko:K02876	rai:RA0C_1137
ko:K02907	rai:RA0C_1138
ko:K02988	rai:RA0C_1139
ko:K02881	rai:RA0C_1140
ko:K02933	rai:RA0C_1141
ko:K02994	rai:RA0C_1142
ko:K02954	rai:RA0C_1143
ko:K02931	rai:RA0C_1144
ko:K02895	rai:RA0C_1145
ko:K02874	rai:RA0C_1146
ko:K02961	rai:RA0C_1147
ko:K02904	rai:RA0C_1148
ko:K02878	rai:RA0C_1149
ko:K02982	rai:RA0C_1150
ko:K02890	rai:RA0C_1151
ko:K02886	rai:RA0C_1152
ko:K02892	rai:RA0C_1153
ko:K02926	rai:RA0C_1154
ko:K02906	rai:RA0C_1155
ko:K03270	rai:RA0C_1157
ko:K06287	rai:RA0C_1158
ko:K03305	rai:RA0C_2033
ko:K00627	rai:RA0C_2036
ko:K00161	rai:RA0C_2037
ko:K03811	rai:RA0C_2042
ko:K03218	rai:RA0C_2063
ko:K03924	rai:RA0C_2065
ko:K01735	rai:RA0C_2074
ko:K00318	rai:RA0C_2077
ko:K00297	rai:RA0C_2080
ko:K01935	rai:RA0C_2083
ko:K00833	rai:RA0C_2084
ko:K03500	rai:RA0C_2091
ko:K01840	rai:RA0C_1379
ko:K16363	rai:RA0C_0848
ko:K01270	rai:RA0C_0758
ko:K03386	rai:RA0C_0314
ko:K00674	rai:RA0C_0347
ko:K00135	rai:RA0C_1239
ko:K00819	rai:RA0C_1259
ko:K15460	rai:RA0C_1267
ko:K01113	rai:RA0C_1275
ko:K02014	rai:RA0C_0830
ko:K03606	rai:RA0C_0872
ko:K00088	rai:RA0C_1754
ko:K11085	rai:RA0C_1755
ko:K03442	rai:RA0C_0354
ko:K00058	rai:RA0C_0356
ko:K01823	rai:RA0C_0368
ko:K02348	rai:RA0C_1313
ko:K07304	rai:RA0C_1314
ko:K01597	rai:RA0C_0880
ko:K08234	rai:RA0C_0881
ko:K03469	rai:RA0C_0893
ko:K03783	rai:RA0C_0895
ko:K00852	rai:RA0C_0926
ko:K06902	rai:RA0C_0929
ko:K00626	rai:RA0C_0930
ko:K01262	rai:RA0C_0931
ko:K00294	rai:RA0C_0932
ko:K02014	rai:RA0C_1808
ko:K02014	rai:RA0C_1832
ko:K00845	rai:RA0C_1843
ko:K07305	rai:RA0C_1346
ko:K02619	rai:RA0C_1385
ko:K07017	rai:RA0C_0020
ko:K07126	rai:RA0C_0022
ko:K01278	rai:RA0C_0966
ko:K12997	rai:RA0C_0989
ko:K00054	rai:RA0C_1861
ko:K00058	rai:RA0C_1865
ko:K02014	rai:RA0C_1902
ko:K03711	rai:RA0C_1912
ko:K01916	rai:RA0C_1919
ko:K03325	rai:RA0C_0482
ko:K01372	rai:RA0C_0495
ko:K15727	rai:RA0C_0504
ko:K03748	rai:RA0C_1397
ko:K13628	rai:RA0C_1399
ko:K00059	rai:RA0C_1432
ko:K05794	rai:RA0C_0549
ko:K01259	rai:RA0C_0551
ko:K01489	rai:RA0C_0555
ko:K04518	rai:RA0C_0568
ko:K11105	rai:RA0C_0570
ko:K07054	rai:RA0C_1473
ko:K01719	rai:RA0C_1477
ko:K00721	rai:RA0C_1493
ko:K03499	rai:RA0C_0074
ko:K04517	rai:RA0C_0076
ko:K02014	rai:RA0C_0098
ko:K00241	rai:RA0C_1023
ko:K09952	rai:RA0C_1034
ko:K02371	rai:RA0C_1035
ko:K03593	rai:RA0C_1045
ko:K07658	rai:RA0C_1946
ko:K02428	rai:RA0C_1953
ko:K01243	rai:RA0C_1962
ko:K01784	rai:RA0C_0599
ko:K07025	rai:RA0C_1536
ko:K01297	rai:RA0C_1539
ko:K01081	rai:RA0C_0647
ko:K00567	rai:RA0C_0649
ko:K00869	rai:RA0C_0656
ko:K07273	rai:RA0C_1049
ko:K01322	rai:RA0C_1085
ko:K01885	rai:RA0C_1091
ko:K00380	rai:RA0C_1980
ko:K00949	rai:RA0C_1995
ko:K01585	rai:RA0C_1996
ko:K01480	rai:RA0C_1997
ko:K01278	rai:RA0C_2015
ko:K01077	rai:RA0C_2029
ko:K01424	rai:RA0C_0669
ko:K00639	rai:RA0C_0691
ko:K02342	rai:RA0C_1593
ko:K02014	rai:RA0C_1621
ko:K00845	rai:RA0C_1623
ko:K03177	rai:RA0C_0195
ko:K01104	rai:RA0C_0205
ko:K03718	rai:RA0C_0209
ko:K01409	rai:RA0C_0211
ko:K03709	rai:RA0C_0224
ko:K01619	rai:RA0C_2035
ko:K03294	rai:RA0C_2041
ko:K07114	rai:RA0C_2068
ko:K07114	rai:RA0C_2069
ko:K05595	rai:RA0C_2072
ko:K00548	rai:RA0C_2078
ko:K00548	rai:RA0C_2079
ko:K00652	rai:RA0C_2082
ko:K00639	rai:RA0C_0724
ko:K04516	rai:RA0C_0739
ko:K01507	rai:RA0C_0741
ko:K07027	rai:RA0C_0752
ko:K01719	rai:RA0C_1641
ko:K01258	rai:RA0C_1653
