ko:K02548	ypg:YpAngola_A0111
ko:K03771	ypg:YpAngola_A0770
ko:K02408	ypg:YpAngola_A2015
ko:K02409	ypg:YpAngola_A2014
ko:K02410	ypg:YpAngola_A2013
ko:K02411	ypg:YpAngola_A2012
ko:K02413	ypg:YpAngola_A2010
ko:K02396	ypg:YpAngola_A2007
ko:K03648	ypg:YpAngola_A3595
ko:K02946	ypg:YpAngola_A0583
ko:K05786	ypg:YpAngola_A0552
ko:K03574	ypg:YpAngola_A2908
ko:K00794	ypg:YpAngola_A3164
ko:K02314	ypg:YpAngola_A0755
ko:K02316	ypg:YpAngola_A0302
ko:K03111	ypg:YpAngola_A0749
ko:K02846	ypg:YpAngola_A1706
ko:K02906	ypg:YpAngola_A0584
ko:K02926	ypg:YpAngola_A0585
ko:K02892	ypg:YpAngola_A0586
ko:K07646	ypg:YpAngola_A3579
ko:K07667	ypg:YpAngola_A3578
ko:K03656	ypg:YpAngola_A0507
ko:K02412	ypg:YpAngola_A2011
ko:K01223	ypg:YpAngola_A1478
ko:K00325	ypg:YpAngola_A2295
ko:K03557	ypg:YpAngola_A1212
ko:K03186	ypg:YpAngola_A0354
ko:K02982	ypg:YpAngola_A0590
ko:K03545	ypg:YpAngola_A3055
ko:K07636	ypg:YpAngola_A3285
ko:K03407	ypg:YpAngola_A2825
ko:K07676	ypg:YpAngola_A1306
ko:K07641	ypg:YpAngola_A3844
ko:K10441	ypg:YpAngola_A0157
ko:K10440	ypg:YpAngola_A0156
ko:K02344	ypg:YpAngola_A0839
ko:K02687	ypg:YpAngola_A1210
ko:K05515	ypg:YpAngola_A1849
ko:K03841	ypg:YpAngola_A3966
ko:K02446	ypg:YpAngola_A0099
ko:K02058	ypg:YpAngola_A1231
ko:K02056	ypg:YpAngola_A1230
ko:K02057	ypg:YpAngola_A1229
ko:K02057	ypg:YpAngola_A1228
ko:K10439	ypg:YpAngola_A0158
ko:K02567	ypg:YpAngola_A2791
ko:K02601	ypg:YpAngola_A2805
ko:K03601	ypg:YpAngola_A0410
ko:K02041	ypg:YpAngola_A1345
ko:K03602	ypg:YpAngola_A3072
ko:K02036	ypg:YpAngola_A4194
ko:K02038	ypg:YpAngola_A4195
ko:K02037	ypg:YpAngola_A4196
ko:K02040	ypg:YpAngola_A4197
ko:K07642	ypg:YpAngola_A3099
ko:K07042	ypg:YpAngola_A1832
ko:K02042	ypg:YpAngola_A1343
ko:K02044	ypg:YpAngola_A1344
ko:K02042	ypg:YpAngola_A1342
ko:K03043	ypg:YpAngola_A2810
ko:K10540	ypg:YpAngola_A3017
ko:K02510	ypg:YpAngola_A1642
ko:K07071	ypg:YpAngola_A0349
ko:K10558	ypg:YpAngola_A0858
ko:K10556	ypg:YpAngola_A0859
ko:K10557	ypg:YpAngola_A0860
ko:K02057	ypg:YpAngola_A0479
ko:K02057	ypg:YpAngola_A0477
ko:K02056	ypg:YpAngola_A0476
ko:K02058	ypg:YpAngola_A0475
ko:K01512	ypg:YpAngola_A3210
ko:K01546	ypg:YpAngola_A3582
ko:K03979	ypg:YpAngola_A3978
ko:K02358	ypg:YpAngola_A2803
ko:K01682	ypg:YpAngola_A1028
ko:K03184	ypg:YpAngola_A1828
ko:K02394	ypg:YpAngola_A2005
ko:K02390	ypg:YpAngola_A2001
ko:K02389	ypg:YpAngola_A2000
ko:K02388	ypg:YpAngola_A1999
ko:K02387	ypg:YpAngola_A1998
ko:K02400	ypg:YpAngola_A0243
ko:K07258	ypg:YpAngola_A1852
ko:K00244	ypg:YpAngola_A0714
ko:K00245	ypg:YpAngola_A0715
ko:K07259	ypg:YpAngola_A3981
ko:K04069	ypg:YpAngola_A1618
ko:K02386	ypg:YpAngola_A1997
ko:K02398	ypg:YpAngola_A1996
ko:K03408	ypg:YpAngola_A2824
ko:K02557	ypg:YpAngola_A2826
ko:K02556	ypg:YpAngola_A2827
ko:K02402	ypg:YpAngola_A2828
ko:K07507	ypg:YpAngola_A2831
ko:K02769	ypg:YpAngola_A1526
ko:K02770	ypg:YpAngola_A1526
ko:K03834	ypg:YpAngola_A1318
ko:K03781	ypg:YpAngola_A1320
ko:K08303	ypg:YpAngola_A3096
ko:K01695	ypg:YpAngola_A2317
ko:K01696	ypg:YpAngola_A2316
ko:K02345	ypg:YpAngola_A1625
ko:K01448	ypg:YpAngola_A3228
ko:K00382	ypg:YpAngola_A1031
ko:K00382	ypg:YpAngola_A3889
ko:K06221	ypg:YpAngola_A0272
ko:K03469	ypg:YpAngola_A2683
ko:K10763	ypg:YpAngola_A3125
ko:K02058	ypg:YpAngola_A1519
ko:K03551	ypg:YpAngola_A2420
ko:K02417	ypg:YpAngola_A0238
ko:K02057	ypg:YpAngola_A1521
ko:K06204	ypg:YpAngola_A1005
ko:K10108	ypg:YpAngola_A3914
ko:K10109	ypg:YpAngola_A3915
ko:K10110	ypg:YpAngola_A3916
ko:K01159	ypg:YpAngola_A2423
ko:K05367	ypg:YpAngola_A1881
ko:K07789	ypg:YpAngola_A3101
ko:K02300	ypg:YpAngola_A3063
ko:K03073	ypg:YpAngola_A2804
ko:K06158	ypg:YpAngola_A3689
ko:K03814	ypg:YpAngola_A1124
ko:K03974	ypg:YpAngola_A2538
ko:K03969	ypg:YpAngola_A2537
ko:K16301	ypg:YpAngola_A2042
ko:K03046	ypg:YpAngola_A2811
ko:K03110	ypg:YpAngola_A0577
ko:K03973	ypg:YpAngola_A2535
ko:K03546	ypg:YpAngola_A3289
ko:K02909	ypg:YpAngola_A3811
ko:K05874	ypg:YpAngola_A3516
ko:K02469	ypg:YpAngola_A1310
ko:K02621	ypg:YpAngola_A0276
ko:K01962	ypg:YpAngola_A3419
ko:K03470	ypg:YpAngola_A3421
ko:K00350	ypg:YpAngola_A3313
ko:K00351	ypg:YpAngola_A3312
ko:K02470	ypg:YpAngola_A4174
ko:K03169	ypg:YpAngola_A2343
ko:K03168	ypg:YpAngola_A2304
ko:K01955	ypg:YpAngola_A0783
ko:K03722	ypg:YpAngola_A1321
ko:K00525	ypg:YpAngola_A1313
ko:K03554	ypg:YpAngola_A3291
ko:K03495	ypg:YpAngola_A4212
ko:K00867	ypg:YpAngola_A3395
ko:K01061	ypg:YpAngola_A3647
ko:K02871	ypg:YpAngola_A1134
ko:K02876	ypg:YpAngola_A0601
ko:K03076	ypg:YpAngola_A0602
ko:K01547	ypg:YpAngola_A3581
ko:K01673	ypg:YpAngola_A1018
ko:K02113	ypg:YpAngola_A4205
ko:K02472	ypg:YpAngola_A0515
ko:K00957	ypg:YpAngola_A0969
ko:K15770	ypg:YpAngola_A3883
ko:K05592	ypg:YpAngola_A4001
ko:K10805	ypg:YpAngola_A3037
ko:K07461	ypg:YpAngola_A4013
ko:K03641	ypg:YpAngola_A1397
ko:K01897	ypg:YpAngola_A2933
ko:K06206	ypg:YpAngola_A1003
ko:K00525	ypg:YpAngola_A3538
ko:K19092	ypg:YpAngola_B0004
ko:K03835	ypg:YpAngola_A1511
ko:K00265	ypg:YpAngola_A1128
ko:K03183	ypg:YpAngola_A3641
ko:K00425	ypg:YpAngola_A1388
ko:K02837	ypg:YpAngola_A0837
ko:K02549	ypg:YpAngola_A1782
ko:K10555	ypg:YpAngola_A0861
ko:K04754	ypg:YpAngola_A0386
ko:K06076	ypg:YpAngola_A0385
ko:K10806	ypg:YpAngola_A2327
ko:K02945	ypg:YpAngola_A1955
ko:K00648	ypg:YpAngola_A3501
ko:K03413	ypg:YpAngola_A3520
ko:K02238	ypg:YpAngola_A1958
ko:K02302	ypg:YpAngola_A0970
ko:K00526	ypg:YpAngola_A3537
ko:K00526	ypg:YpAngola_0054
ko:K02160	ypg:YpAngola_A1204
ko:K03808	ypg:YpAngola_A2666
ko:K06968	ypg:YpAngola_A3219
ko:K02405	ypg:YpAngola_A2027
ko:K03923	ypg:YpAngola_A0277
ko:K06192	ypg:YpAngola_A1990
ko:K09811	ypg:YpAngola_A0579
ko:K03624	ypg:YpAngola_A3982
ko:K08591	ypg:YpAngola_A0299
ko:K06073	ypg:YpAngola_A2616
ko:K06074	ypg:YpAngola_A2614
ko:K03177	ypg:YpAngola_A3995
ko:K00974	ypg:YpAngola_A0296
ko:K06223	ypg:YpAngola_A3724
ko:K01056	ypg:YpAngola_A2467
ko:K10748	ypg:YpAngola_A2271
ko:K10538	ypg:YpAngola_A2263
ko:K10539	ypg:YpAngola_A2262
ko:K10537	ypg:YpAngola_A2261
ko:K01428	ypg:YpAngola_A3556
ko:K03040	ypg:YpAngola_A0606
ko:K02518	ypg:YpAngola_A1603
ko:K06176	ypg:YpAngola_A0962
ko:K10111	ypg:YpAngola_A3912
ko:K00266	ypg:YpAngola_A1129
ko:K01548	ypg:YpAngola_A3580
ko:K02112	ypg:YpAngola_A4202
ko:K02933	ypg:YpAngola_A0598
ko:K03980	ypg:YpAngola_A2440
ko:K02888	ypg:YpAngola_A3974
ko:K09768	ypg:YpAngola_A2785
ko:K03600	ypg:YpAngola_A1131
ko:K06189	ypg:YpAngola_A1833
ko:K03702	ypg:YpAngola_A1430
ko:K02337	ypg:YpAngola_0106
ko:K03572	ypg:YpAngola_A0701
ko:K03573	ypg:YpAngola_A3242
ko:K03582	ypg:YpAngola_A3231
ko:K03583	ypg:YpAngola_A3233
ko:K03581	ypg:YpAngola_A3230
ko:K02336	ypg:YpAngola_A2947
ko:K03703	ypg:YpAngola_A2053
ko:K03657	ypg:YpAngola_A0545
ko:K03555	ypg:YpAngola_A0956
ko:K03550	ypg:YpAngola_A2421
ko:K02931	ypg:YpAngola_A0595
ko:K03625	ypg:YpAngola_A3165
ko:K02948	ypg:YpAngola_A0604
ko:K02986	ypg:YpAngola_A0605
ko:K03629	ypg:YpAngola_A4175
ko:K03655	ypg:YpAngola_A0041
ko:K07568	ypg:YpAngola_A3385
ko:K01972	ypg:YpAngola_A0046
ko:K00241	ypg:YpAngola_A1380
ko:K01704	ypg:YpAngola_A2939
ko:K01624	ypg:YpAngola_A3817
ko:K04066	ypg:YpAngola_A3812
ko:K00525	ypg:YpAngola_0034
ko:K01956	ypg:YpAngola_A0784
ko:K00526	ypg:YpAngola_A1314
ko:K04075	ypg:YpAngola_A3417
ko:K04059	ypg:YpAngola_B0037
ko:K05834	ypg:YpAngola_A0557
ko:K03566	ypg:YpAngola_A3221
ko:K06202	ypg:YpAngola_A0539
ko:K03498	ypg:YpAngola_A1915
ko:K00112	ypg:YpAngola_A0566
ko:K06155	ypg:YpAngola_A4105
ko:K03576	ypg:YpAngola_A3649
ko:K09760	ypg:YpAngola_A3642
ko:K02959	ypg:YpAngola_A0882
ko:K02860	ypg:YpAngola_A0881
ko:K02884	ypg:YpAngola_A0879
ko:K03695	ypg:YpAngola_A3475
ko:K03271	ypg:YpAngola_A3320
ko:K03072	ypg:YpAngola_A3382
ko:K03074	ypg:YpAngola_A3381
ko:K03151	ypg:YpAngola_A3070
ko:K02565	ypg:YpAngola_A0336
ko:K02564	ypg:YpAngola_A0338
ko:K03839	ypg:YpAngola_A0321
ko:K00240	ypg:YpAngola_A1383
ko:K00426	ypg:YpAngola_A1389
ko:K03562	ypg:YpAngola_A1394
ko:K03560	ypg:YpAngola_A1395
ko:K03517	ypg:YpAngola_A1403
ko:K03811	ypg:YpAngola_A1404
ko:K02019	ypg:YpAngola_A1416
ko:K02169	ypg:YpAngola_A1427
ko:K03639	ypg:YpAngola_A1434
ko:K03637	ypg:YpAngola_A1435
ko:K03636	ypg:YpAngola_A1436
ko:K03547	ypg:YpAngola_A3288
ko:K02114	ypg:YpAngola_A4201
ko:K09458	ypg:YpAngola_A3497
ko:K03224	ypg:YpAngola_B0041
ko:K04065	ypg:YpAngola_A0836
ko:K05804	ypg:YpAngola_A0814
ko:K05805	ypg:YpAngola_A0812
ko:K04043	ypg:YpAngola_A0797
ko:K03313	ypg:YpAngola_A0795
ko:K03717	ypg:YpAngola_A0794
ko:K06195	ypg:YpAngola_A0773
ko:K05801	ypg:YpAngola_A0768
ko:K06075	ypg:YpAngola_A2560
ko:K03758	ypg:YpAngola_A2298
ko:K03975	ypg:YpAngola_A0360
ko:K03981	ypg:YpAngola_A3848
ko:K04763	ypg:YpAngola_A3847
ko:K06143	ypg:YpAngola_A3845
ko:K02437	ypg:YpAngola_A3831
ko:K05596	ypg:YpAngola_A3821
ko:K03595	ypg:YpAngola_A3612
ko:K03685	ypg:YpAngola_A3611
ko:K03596	ypg:YpAngola_A3609
ko:K03803	ypg:YpAngola_A3607
ko:K03598	ypg:YpAngola_A3606
ko:K03597	ypg:YpAngola_A3605
ko:K05590	ypg:YpAngola_A3601
ko:K03687	ypg:YpAngola_A1378
ko:K06191	ypg:YpAngola_A3540
ko:K03647	ypg:YpAngola_A3539
ko:K03543	ypg:YpAngola_A3460
ko:K02111	ypg:YpAngola_A4204
ko:K02110	ypg:YpAngola_A4207
ko:K02116	ypg:YpAngola_A4209
ko:K06213	ypg:YpAngola_A3111
ko:K07799	ypg:YpAngola_A3103
ko:K07788	ypg:YpAngola_A3102
ko:K03614	ypg:YpAngola_A2250
ko:K03311	ypg:YpAngola_A3283
ko:K03977	ypg:YpAngola_A0414
ko:K02656	ypg:YpAngola_A0420
ko:K04044	ypg:YpAngola_A0431
ko:K04755	ypg:YpAngola_A0430
ko:K04082	ypg:YpAngola_A0432
ko:K03644	ypg:YpAngola_A1855
ko:K02358	ypg:YpAngola_A3674
ko:K03149	ypg:YpAngola_A0451
ko:K03154	ypg:YpAngola_A0452
ko:K03148	ypg:YpAngola_A0453
ko:K07740	ypg:YpAngola_A0456
ko:K04084	ypg:YpAngola_A0728
ko:K03926	ypg:YpAngola_A0727
ko:K07791	ypg:YpAngola_A0726
ko:K02356	ypg:YpAngola_A0719
ko:K00247	ypg:YpAngola_A0717
ko:K04568	ypg:YpAngola_A0712
ko:K03665	ypg:YpAngola_A0698
ko:K04088	ypg:YpAngola_A0697
ko:K04087	ypg:YpAngola_A0696
ko:K02990	ypg:YpAngola_A0683
ko:K02963	ypg:YpAngola_A0682
ko:K02939	ypg:YpAngola_A0681
ko:K03402	ypg:YpAngola_A3970
ko:K02899	ypg:YpAngola_A3975
ko:K03075	ypg:YpAngola_A3988
ko:K02600	ypg:YpAngola_A3992
ko:K02519	ypg:YpAngola_A3993
ko:K03446	ypg:YpAngola_A3461
ko:K03672	ypg:YpAngola_A3463
ko:K02838	ypg:YpAngola_A3432
ko:K02967	ypg:YpAngola_A3435
ko:K08304	ypg:YpAngola_A3225
ko:K03613	ypg:YpAngola_A2248
ko:K03769	ypg:YpAngola_A0505
ko:K02822	ypg:YpAngola_A0343
ko:K02569	ypg:YpAngola_A2788
ko:K02568	ypg:YpAngola_A2789
ko:K02570	ypg:YpAngola_A2792
ko:K02572	ypg:YpAngola_A2793
ko:K07287	ypg:YpAngola_A3133
ko:K03567	ypg:YpAngola_A3131
ko:K03548	ypg:YpAngola_A3128
ko:K02380	ypg:YpAngola_A3767
ko:K03832	ypg:YpAngola_A3890
ko:K02834	ypg:YpAngola_A3994
ko:K02956	ypg:YpAngola_A3996
ko:K05803	ypg:YpAngola_A4000
ko:K03466	ypg:YpAngola_A1613
ko:K03634	ypg:YpAngola_A1614
ko:K07308	ypg:YpAngola_A0920
ko:K03734	ypg:YpAngola_A3311
ko:K06212	ypg:YpAngola_A1947
ko:K03633	ypg:YpAngola_A1969
ko:K03804	ypg:YpAngola_A1970
ko:K03632	ypg:YpAngola_A1971
ko:K03808	ypg:YpAngola_A1989
ko:K07343	ypg:YpAngola_A3201
ko:K03809	ypg:YpAngola_A2043
ko:K02911	ypg:YpAngola_A3503
ko:K03621	ypg:YpAngola_A3502
ko:K02078	ypg:YpAngola_A3498
ko:K02778	ypg:YpAngola_A3490
ko:K02779	ypg:YpAngola_A3490
ko:K03885	ypg:YpAngola_A2820
ko:K02835	ypg:YpAngola_A2460
ko:K05836	ypg:YpAngola_A2511
ko:K03607	ypg:YpAngola_A2664
ko:K02520	ypg:YpAngola_A2624
ko:K02916	ypg:YpAngola_A2623
ko:K04764	ypg:YpAngola_A2619
ko:K07225	ypg:YpAngola_A0649
ko:K05997	ypg:YpAngola_A2594
ko:K09014	ypg:YpAngola_A2593
ko:K09015	ypg:YpAngola_A2591
ko:K02426	ypg:YpAngola_A2589
ko:K06078	ypg:YpAngola_A2583
ko:K03612	ypg:YpAngola_A2249
ko:K01997	ypg:YpAngola_A3667
ko:K03701	ypg:YpAngola_A0751
ko:K02528	ypg:YpAngola_A0772
ko:K03645	ypg:YpAngola_A3573
ko:K03683	ypg:YpAngola_A2568
ko:K03617	ypg:YpAngola_A2254
ko:K02039	ypg:YpAngola_A4193
ko:K03650	ypg:YpAngola_A4183
ko:K04080	ypg:YpAngola_A3795
ko:K04081	ypg:YpAngola_A3794
ko:K01878	ypg:YpAngola_A3783
ko:K02798	ypg:YpAngola_A3780
ko:K02799	ypg:YpAngola_A3780
ko:K02800	ypg:YpAngola_A3780
ko:K07783	ypg:YpAngola_A4130
ko:K02851	ypg:YpAngola_A0512
ko:K02498	ypg:YpAngola_A0533
ko:K02496	ypg:YpAngola_A0534
ko:K01665	ypg:YpAngola_A1636
ko:K01879	ypg:YpAngola_A3782
ko:K05835	ypg:YpAngola_A0556
ko:K03688	ypg:YpAngola_A3639
ko:K03118	ypg:YpAngola_A3636
ko:K03643	ypg:YpAngola_A1843
ko:K03820	ypg:YpAngola_A1834
ko:K06217	ypg:YpAngola_A1830
ko:K06168	ypg:YpAngola_A1829
ko:K02054	ypg:YpAngola_A2449
ko:K02551	ypg:YpAngola_A1785
ko:K07644	ypg:YpAngola_A2481
ko:K01247	ypg:YpAngola_A2016
ko:K07637	ypg:YpAngola_A2856
ko:K07673	ypg:YpAngola_A2522
ko:K06866	ypg:YpAngola_A3596
ko:K09160	ypg:YpAngola_A2394
ko:K09902	ypg:YpAngola_A2398
ko:K07285	ypg:YpAngola_A2404
ko:K00036	ypg:YpAngola_A2412
ko:K00873	ypg:YpAngola_A2414
ko:K02560	ypg:YpAngola_A2415
ko:K09817	ypg:YpAngola_A2418
ko:K08996	ypg:YpAngola_A1879
ko:K06894	ypg:YpAngola_A1880
ko:K07184	ypg:YpAngola_A0295
ko:K06153	ypg:YpAngola_A0297
ko:K01633	ypg:YpAngola_A0298
ko:K01409	ypg:YpAngola_A0300
ko:K02970	ypg:YpAngola_A0301
ko:K03086	ypg:YpAngola_A0303
ko:K01886	ypg:YpAngola_A0326
ko:K01734	ypg:YpAngola_A3205
ko:K09909	ypg:YpAngola_A3206
ko:K06929	ypg:YpAngola_A3207
ko:K06969	ypg:YpAngola_A3209
ko:K02025	ypg:YpAngola_A4017
ko:K02026	ypg:YpAngola_A4018
ko:K05780	ypg:YpAngola_A4026
ko:K05781	ypg:YpAngola_A4027
ko:K04068	ypg:YpAngola_A4034
ko:K02032	ypg:YpAngola_A4036
ko:K09181	ypg:YpAngola_A3465
ko:K00998	ypg:YpAngola_A3466
ko:K05811	ypg:YpAngola_A3467
ko:K05810	ypg:YpAngola_A3476
ko:K05807	ypg:YpAngola_A3478
ko:K05809	ypg:YpAngola_A3479
ko:K01626	ypg:YpAngola_A3484
ko:K03150	ypg:YpAngola_A3488
ko:K03424	ypg:YpAngola_A3491
ko:K00943	ypg:YpAngola_A3493
ko:K07082	ypg:YpAngola_A3494
ko:K00645	ypg:YpAngola_A3500
ko:K07040	ypg:YpAngola_A3504
ko:K09816	ypg:YpAngola_A2419
ko:K08310	ypg:YpAngola_A2425
ko:K01876	ypg:YpAngola_A2426
ko:K07136	ypg:YpAngola_A2428
ko:K09907	ypg:YpAngola_A2432
ko:K04744	ypg:YpAngola_A0769
ko:K00097	ypg:YpAngola_A0771
ko:K00287	ypg:YpAngola_A0778
ko:K03527	ypg:YpAngola_A0787
ko:K03774	ypg:YpAngola_A0788
ko:K03101	ypg:YpAngola_A0789
ko:K01870	ypg:YpAngola_A0790
ko:K01953	ypg:YpAngola_A0334
ko:K01443	ypg:YpAngola_A0337
ko:K03475	ypg:YpAngola_A0344
ko:K07095	ypg:YpAngola_A0347
ko:K10017	ypg:YpAngola_A0350
ko:K10015	ypg:YpAngola_A0351
ko:K10016	ypg:YpAngola_A0352
ko:K00859	ypg:YpAngola_A1045
ko:K09862	ypg:YpAngola_A1047
ko:K07396	ypg:YpAngola_A1051
ko:K02026	ypg:YpAngola_A1066
ko:K02025	ypg:YpAngola_A1067
ko:K02031	ypg:YpAngola_A4037
ko:K02034	ypg:YpAngola_A4038
ko:K02033	ypg:YpAngola_A4039
ko:K00611	ypg:YpAngola_A4042
ko:K09893	ypg:YpAngola_A4043
ko:K03828	ypg:YpAngola_A4044
ko:K01873	ypg:YpAngola_A4045
ko:K01255	ypg:YpAngola_A4047
ko:K07091	ypg:YpAngola_A4048
ko:K00874	ypg:YpAngola_A4070
ko:K01821	ypg:YpAngola_A4071
ko:K07290	ypg:YpAngola_A4073
ko:K00761	ypg:YpAngola_A3121
ko:K01714	ypg:YpAngola_A3132
ko:K09861	ypg:YpAngola_A0805
ko:K01733	ypg:YpAngola_A0806
ko:K07773	ypg:YpAngola_A0811
ko:K03720	ypg:YpAngola_A0815
ko:K08309	ypg:YpAngola_A0817
ko:K07156	ypg:YpAngola_A1623
ko:K01354	ypg:YpAngola_A1629
ko:K09900	ypg:YpAngola_A1631
ko:K09918	ypg:YpAngola_A1632
ko:K02867	ypg:YpAngola_A2806
ko:K02863	ypg:YpAngola_A2807
ko:K02864	ypg:YpAngola_A2808
ko:K02935	ypg:YpAngola_A2809
ko:K07337	ypg:YpAngola_A2816
ko:K07000	ypg:YpAngola_A2819
ko:K01531	ypg:YpAngola_A2830
ko:K02355	ypg:YpAngola_A3675
ko:K02950	ypg:YpAngola_A3678
ko:K07237	ypg:YpAngola_A3679
ko:K01653	ypg:YpAngola_A2288
ko:K07661	ypg:YpAngola_A2300
ko:K01299	ypg:YpAngola_A2302
ko:K07053	ypg:YpAngola_A2311
ko:K02013	ypg:YpAngola_A0646
ko:K02015	ypg:YpAngola_A0647
ko:K02016	ypg:YpAngola_A0648
ko:K07227	ypg:YpAngola_A0653
ko:K01776	ypg:YpAngola_A0124
ko:K02669	ypg:YpAngola_A0137
ko:K06997	ypg:YpAngola_A0138
ko:K00286	ypg:YpAngola_A0139
ko:K02221	ypg:YpAngola_A0140
ko:K09131	ypg:YpAngola_A0141
ko:K01425	ypg:YpAngola_A0147
ko:K09923	ypg:YpAngola_A0148
ko:K03439	ypg:YpAngola_A0149
ko:K08306	ypg:YpAngola_A0153
ko:K02016	ypg:YpAngola_A0154
ko:K05795	ypg:YpAngola_A0666
ko:K05795	ypg:YpAngola_A0667
ko:K09456	ypg:YpAngola_A0687
ko:K03218	ypg:YpAngola_A0690
ko:K01939	ypg:YpAngola_A0694
ko:K09937	ypg:YpAngola_A0695
ko:K00791	ypg:YpAngola_A0700
ko:K06925	ypg:YpAngola_A0703
ko:K01686	ypg:YpAngola_A1509
ko:K06940	ypg:YpAngola_A1512
ko:K01265	ypg:YpAngola_A0935
ko:K00428	ypg:YpAngola_A0940
ko:K03893	ypg:YpAngola_A0945
ko:K05879	ypg:YpAngola_A0948
ko:K05878	ypg:YpAngola_A0949
ko:K00573	ypg:YpAngola_A0960
ko:K01770	ypg:YpAngola_A0963
ko:K00991	ypg:YpAngola_A0964
ko:K00860	ypg:YpAngola_A0967
ko:K01737	ypg:YpAngola_A0976
ko:K01689	ypg:YpAngola_A0979
ko:K01937	ypg:YpAngola_A0980
ko:K00788	ypg:YpAngola_A0454
ko:K03147	ypg:YpAngola_A0455
ko:K01599	ypg:YpAngola_A0459
ko:K05982	ypg:YpAngola_A0460
ko:K09891	ypg:YpAngola_A0461
ko:K03704	ypg:YpAngola_A1220
ko:K03704	ypg:YpAngola_A1221
