ko:K02031	ccoo:ATE51_00398
ko:K02053	ccoo:ATE51_02160
ko:K02054	ccoo:ATE51_02162
ko:K02055	ccoo:ATE51_02168
ko:K03284	ccoo:ATE51_02170
ko:K03831	ccoo:ATE51_02172
ko:K06013	ccoo:ATE51_02176
ko:K02493	ccoo:ATE51_02178
ko:K02406	ccoo:ATE51_02182
ko:K06997	ccoo:ATE51_02184
ko:K02337	ccoo:ATE51_02186
ko:K01626	ccoo:ATE51_02190
ko:K07127	ccoo:ATE51_02192
ko:K02884	ccoo:ATE51_02194
ko:K00554	ccoo:ATE51_02196
ko:K06871	ccoo:ATE51_03806
ko:K01465	ccoo:ATE51_03838
ko:K00901	ccoo:ATE51_03842
ko:K03760	ccoo:ATE51_03844
ko:K01142	ccoo:ATE51_03846
ko:K03637	ccoo:ATE51_03852
ko:K02887	ccoo:ATE51_03862
ko:K02916	ccoo:ATE51_03864
ko:K04487	ccoo:ATE51_03868
ko:K13819	ccoo:ATE51_03870
ko:K16052	ccoo:ATE51_03872
ko:K01673	ccoo:ATE51_03874
ko:K19416	ccoo:ATE51_03876
ko:K03075	ccoo:ATE51_03878
ko:K02838	ccoo:ATE51_03880
ko:K00762	ccoo:ATE51_03882
ko:K01008	ccoo:ATE51_00560
ko:K13821	ccoo:ATE51_00562
ko:K11928	ccoo:ATE51_00564
ko:K07112	ccoo:ATE51_00568
ko:K01939	ccoo:ATE51_00572
ko:K09804	ccoo:ATE51_00578
ko:K01956	ccoo:ATE51_00580
ko:K09792	ccoo:ATE51_00582
ko:K00404	ccoo:ATE51_00588
ko:K00405	ccoo:ATE51_00590
ko:K00407	ccoo:ATE51_00592
ko:K00406	ccoo:ATE51_00594
ko:K03582	ccoo:ATE51_00606
ko:K05801	ccoo:ATE51_00610
ko:K02871	ccoo:ATE51_00612
ko:K02996	ccoo:ATE51_00614
ko:K03286	ccoo:ATE51_00616
ko:K01091	ccoo:ATE51_00618
ko:K03737	ccoo:ATE51_00620
ko:K02453	ccoo:ATE51_00624
ko:K01714	ccoo:ATE51_00626
ko:K02454	ccoo:ATE51_00630
ko:K02455	ccoo:ATE51_00632
ko:K07090	ccoo:ATE51_00634
ko:K02396	ccoo:ATE51_00638
ko:K02394	ccoo:ATE51_00646
ko:K00946	ccoo:ATE51_00654
ko:K06176	ccoo:ATE51_00656
ko:K02836	ccoo:ATE51_00662
ko:K04075	ccoo:ATE51_00666
ko:K00925	ccoo:ATE51_02242
ko:K13788	ccoo:ATE51_02244
ko:K02393	ccoo:ATE51_02246
ko:K03526	ccoo:ATE51_02248
ko:K04066	ccoo:ATE51_02250
ko:K02456	ccoo:ATE51_02252
ko:K03702	ccoo:ATE51_02258
ko:K02860	ccoo:ATE51_02198
ko:K06960	ccoo:ATE51_02200
ko:K02959	ccoo:ATE51_02202
ko:K03106	ccoo:ATE51_02204
ko:K06180	ccoo:ATE51_02206
ko:K02527	ccoo:ATE51_02208
ko:K07164	ccoo:ATE51_02210
ko:K01878	ccoo:ATE51_02214
ko:K01588	ccoo:ATE51_02218
ko:K08303	ccoo:ATE51_02220
ko:K01915	ccoo:ATE51_02224
ko:K02392	ccoo:ATE51_02226
ko:K02392	ccoo:ATE51_02228
ko:K03531	ccoo:ATE51_02230
ko:K03590	ccoo:ATE51_02232
ko:K03770	ccoo:ATE51_02234
ko:K03438	ccoo:ATE51_02236
ko:K07792	ccoo:ATE51_02260
ko:K07792	ccoo:ATE51_02262
ko:K03092	ccoo:ATE51_02264
ko:K06861	ccoo:ATE51_02266
ko:K06925	ccoo:ATE51_02268
ko:K01940	ccoo:ATE51_02272
ko:K02939	ccoo:ATE51_02274
ko:K01419	ccoo:ATE51_02276
ko:K03667	ccoo:ATE51_02278
ko:K03595	ccoo:ATE51_02280
ko:K01262	ccoo:ATE51_02286
ko:K05515	ccoo:ATE51_02288
ko:K03978	ccoo:ATE51_02292
ko:K09774	ccoo:ATE51_02294
ko:K00763	ccoo:ATE51_03888
ko:K00573	ccoo:ATE51_03892
ko:K00930	ccoo:ATE51_03896
ko:K00145	ccoo:ATE51_03900
ko:K07318	ccoo:ATE51_03902
ko:K02520	ccoo:ATE51_03904
ko:K01868	ccoo:ATE51_03906
ko:K06153	ccoo:ATE51_03908
ko:K05367	ccoo:ATE51_03916
ko:K06894	ccoo:ATE51_03918
ko:K07478	ccoo:ATE51_03924
ko:K00215	ccoo:ATE51_03926
ko:K00764	ccoo:ATE51_03928
ko:K07052	ccoo:ATE51_03930
ko:K03532	ccoo:ATE51_03932
ko:K07812	ccoo:ATE51_03934
ko:K07812	ccoo:ATE51_03936
ko:K03406	ccoo:ATE51_03942
ko:K07093	ccoo:ATE51_03944
ko:K00384	ccoo:ATE51_03946
ko:K03671	ccoo:ATE51_03948
ko:K07460	ccoo:ATE51_03950
ko:K00003	ccoo:ATE51_03952
ko:K14261	ccoo:ATE51_03954
ko:K03218	ccoo:ATE51_03960
ko:K07056	ccoo:ATE51_03962
ko:K02909	ccoo:ATE51_03964
ko:K09761	ccoo:ATE51_03966
ko:K01737	ccoo:ATE51_03972
ko:K03639	ccoo:ATE51_03976
ko:K03179	ccoo:ATE51_03982
ko:K00791	ccoo:ATE51_03984
ko:K09979	ccoo:ATE51_00674
ko:K09688	ccoo:ATE51_00676
ko:K09689	ccoo:ATE51_00678
ko:K10107	ccoo:ATE51_00680
ko:K06041	ccoo:ATE51_00684
ko:K01082	ccoo:ATE51_00694
ko:K00957	ccoo:ATE51_00696
ko:K00956	ccoo:ATE51_00698
ko:K00860	ccoo:ATE51_00702
ko:K01630	ccoo:ATE51_00714
ko:K00058	ccoo:ATE51_00716
ko:K01784	ccoo:ATE51_00718
ko:K00855	ccoo:ATE51_00732
ko:K07266	ccoo:ATE51_00738
ko:K07265	ccoo:ATE51_00740
ko:K00997	ccoo:ATE51_00748
ko:K02415	ccoo:ATE51_00750
ko:K15778	ccoo:ATE51_00752
ko:K09710	ccoo:ATE51_00754
ko:K00969	ccoo:ATE51_00756
ko:K00134	ccoo:ATE51_00758
ko:K00927	ccoo:ATE51_00760
ko:K01803	ccoo:ATE51_00762
ko:K00208	ccoo:ATE51_00764
ko:K05927	ccoo:ATE51_00766
ko:K04759	ccoo:ATE51_00770
ko:K03270	ccoo:ATE51_02298
ko:K03642	ccoo:ATE51_02300
ko:K08307	ccoo:ATE51_02302
ko:K03424	ccoo:ATE51_02304
ko:K03631	ccoo:ATE51_02308
ko:K00858	ccoo:ATE51_02310
ko:K01876	ccoo:ATE51_02312
ko:K00939	ccoo:ATE51_02314
ko:K01507	ccoo:ATE51_02316
ko:K07304	ccoo:ATE51_02318
ko:K07447	ccoo:ATE51_02322
ko:K04096	ccoo:ATE51_02324
ko:K09798	ccoo:ATE51_02326
ko:K00053	ccoo:ATE51_02328
ko:K12573	ccoo:ATE51_02330
ko:K02340	ccoo:ATE51_02332
ko:K04651	ccoo:ATE51_02334
ko:K04655	ccoo:ATE51_02336
ko:K04654	ccoo:ATE51_02338
ko:K04653	ccoo:ATE51_02340
ko:K04652	ccoo:ATE51_02342
ko:K04656	ccoo:ATE51_02344
ko:K07043	ccoo:ATE51_02348
ko:K02036	ccoo:ATE51_02356
ko:K02038	ccoo:ATE51_02358
ko:K02037	ccoo:ATE51_02360
ko:K02040	ccoo:ATE51_02362
ko:K02217	ccoo:ATE51_02364
ko:K09795	ccoo:ATE51_02368
ko:K05685	ccoo:ATE51_02374
ko:K13888	ccoo:ATE51_02376
ko:K04084	ccoo:ATE51_02382
ko:K03308	ccoo:ATE51_02386
ko:K03686	ccoo:ATE51_02390
ko:K04564	ccoo:ATE51_03994
ko:K00290	ccoo:ATE51_03996
ko:K02010	ccoo:ATE51_03998
ko:K02011	ccoo:ATE51_04000
ko:K02012	ccoo:ATE51_04002
ko:K16087	ccoo:ATE51_04008
ko:K06871	ccoo:ATE51_04036
ko:K04759	ccoo:ATE51_00772
ko:K04758	ccoo:ATE51_00774
ko:K01756	ccoo:ATE51_00778
ko:K01760	ccoo:ATE51_00780
ko:K03326	ccoo:ATE51_00782
ko:K06867	ccoo:ATE51_00788
ko:K03781	ccoo:ATE51_00790
ko:K03839	ccoo:ATE51_00796
ko:K07017	ccoo:ATE51_00798
ko:K01042	ccoo:ATE51_00802
ko:K03833	ccoo:ATE51_00804
ko:K03981	ccoo:ATE51_00806
ko:K02428	ccoo:ATE51_00814
ko:K07003	ccoo:ATE51_00816
ko:K07323	ccoo:ATE51_00818
ko:K04754	ccoo:ATE51_00820
ko:K00769	ccoo:ATE51_00822
ko:K06901	ccoo:ATE51_00824
ko:K18285	ccoo:ATE51_00826
ko:K00990	ccoo:ATE51_00828
ko:K00820	ccoo:ATE51_00830
ko:K01679	ccoo:ATE51_00832
ko:K03551	ccoo:ATE51_00836
ko:K03407	ccoo:ATE51_00838
ko:K00937	ccoo:ATE51_00844
ko:K15876	ccoo:ATE51_00846
ko:K03385	ccoo:ATE51_00848
ko:K02415	ccoo:ATE51_02130
ko:K02016	ccoo:ATE51_00854
ko:K02013	ccoo:ATE51_00856
ko:K02015	ccoo:ATE51_00858
ko:K02015	ccoo:ATE51_00860
ko:K01058	ccoo:ATE51_00862
ko:K03752	ccoo:ATE51_00864
ko:K00981	ccoo:ATE51_00870
ko:K02484	ccoo:ATE51_02394
ko:K06187	ccoo:ATE51_02396
ko:K03605	ccoo:ATE51_02398
ko:K03620	ccoo:ATE51_02400
ko:K05922	ccoo:ATE51_02402
ko:K05927	ccoo:ATE51_02404
ko:K15461	ccoo:ATE51_02406
ko:K01448	ccoo:ATE51_02408
ko:K00459	ccoo:ATE51_02410
ko:K01866	ccoo:ATE51_02412
ko:K03060	ccoo:ATE51_02416
ko:K09903	ccoo:ATE51_02418
ko:K09811	ccoo:ATE51_02422
ko:K09812	ccoo:ATE51_02424
ko:K03439	ccoo:ATE51_02426
ko:K06180	ccoo:ATE51_02430
ko:K05837	ccoo:ATE51_02432
ko:K04763	ccoo:ATE51_02438
ko:K07171	ccoo:ATE51_02464
ko:K03561	ccoo:ATE51_04128
ko:K03559	ccoo:ATE51_04130
ko:K03832	ccoo:ATE51_04132
ko:K17938	ccoo:ATE51_04134
ko:K08224	ccoo:ATE51_04136
ko:K06193	ccoo:ATE51_04142
ko:K11175	ccoo:ATE51_04152
ko:K07391	ccoo:ATE51_04158
ko:K01462	ccoo:ATE51_04160
ko:K01358	ccoo:ATE51_04162
ko:K03545	ccoo:ATE51_04164
ko:K01495	ccoo:ATE51_04166
ko:K02412	ccoo:ATE51_04168
ko:K03406	ccoo:ATE51_04170
ko:K09815	ccoo:ATE51_04174
ko:K09817	ccoo:ATE51_04176
ko:K09816	ccoo:ATE51_04178
ko:K19147	ccoo:ATE51_04180
ko:K07452	ccoo:ATE51_04182
ko:K09748	ccoo:ATE51_04186
ko:K02834	ccoo:ATE51_04188
ko:K02519	ccoo:ATE51_04190
ko:K00872	ccoo:ATE51_04194
ko:K00099	ccoo:ATE51_00872
ko:K01409	ccoo:ATE51_00876
ko:K02456	ccoo:ATE51_00878
ko:K02406	ccoo:ATE51_00886
ko:K02406	ccoo:ATE51_00888
ko:K18429	ccoo:ATE51_00908
ko:K18430	ccoo:ATE51_00910
ko:K00074	ccoo:ATE51_00918
ko:K15898	ccoo:ATE51_00930
ko:K02501	ccoo:ATE51_00934
ko:K02500	ccoo:ATE51_00936
ko:K15896	ccoo:ATE51_00938
ko:K15897	ccoo:ATE51_00940
ko:K15899	ccoo:ATE51_00942
ko:K00648	ccoo:ATE51_00962
ko:K00662	ccoo:ATE51_00972
ko:K03111	ccoo:ATE51_02506
ko:K09952	ccoo:ATE51_02534
ko:K01173	ccoo:ATE51_02564
ko:K12057	ccoo:ATE51_02596
ko:K12061	ccoo:ATE51_02598
ko:K12060	ccoo:ATE51_02600
ko:K02535	ccoo:ATE51_04198
ko:K04517	ccoo:ATE51_04202
ko:K07277	ccoo:ATE51_04204
ko:K01092	ccoo:ATE51_04206
ko:K01963	ccoo:ATE51_04208
ko:K00783	ccoo:ATE51_04210
ko:K06204	ccoo:ATE51_04212
ko:K05540	ccoo:ATE51_04216
ko:K07042	ccoo:ATE51_04222
ko:K18284	ccoo:ATE51_04230
ko:K00645	ccoo:ATE51_04232
ko:K03775	ccoo:ATE51_04234
ko:K03640	ccoo:ATE51_04238
ko:K03641	ccoo:ATE51_04240
ko:K03406	ccoo:ATE51_03940
ko:K03832	ccoo:ATE51_04242
ko:K03559	ccoo:ATE51_04244
ko:K02114	ccoo:ATE51_04248
ko:K02112	ccoo:ATE51_04250
ko:K02115	ccoo:ATE51_04252
ko:K02111	ccoo:ATE51_04254
ko:K02113	ccoo:ATE51_04256
ko:K02109	ccoo:ATE51_04258
ko:K02109	ccoo:ATE51_04260
ko:K03497	ccoo:ATE51_04262
ko:K03496	ccoo:ATE51_04264
ko:K03524	ccoo:ATE51_04266
ko:K00604	ccoo:ATE51_04268
ko:K00931	ccoo:ATE51_04272
ko:K01689	ccoo:ATE51_04290
ko:K11785	ccoo:ATE51_04294
ko:K02420	ccoo:ATE51_04296
ko:K15895	ccoo:ATE51_00976
ko:K15894	ccoo:ATE51_00978
ko:K01494	ccoo:ATE51_00980
ko:K02160	ccoo:ATE51_00982
ko:K01961	ccoo:ATE51_00984
ko:K01885	ccoo:ATE51_00988
ko:K00029	ccoo:ATE51_00990
ko:K00761	ccoo:ATE51_00992
ko:K11782	ccoo:ATE51_00994
ko:K03499	ccoo:ATE51_00996
ko:K03498	ccoo:ATE51_00998
ko:K14652	ccoo:ATE51_01006
ko:K09117	ccoo:ATE51_01008
ko:K01652	ccoo:ATE51_01010
ko:K01653	ccoo:ATE51_01012
ko:K02536	ccoo:ATE51_01014
ko:K07568	ccoo:ATE51_01016
ko:K03118	ccoo:ATE51_01018
ko:K03117	ccoo:ATE51_01020
ko:K08311	ccoo:ATE51_01024
ko:K00928	ccoo:ATE51_01026
ko:K02341	ccoo:ATE51_01030
ko:K00796	ccoo:ATE51_01032
ko:K01972	ccoo:ATE51_01034
ko:K06442	ccoo:ATE51_01038
ko:K11753	ccoo:ATE51_01040
ko:K15256	ccoo:ATE51_01042
ko:K01173	ccoo:ATE51_01048
ko:K10773	ccoo:ATE51_01050
ko:K01624	ccoo:ATE51_01054
ko:K02557	ccoo:ATE51_01058
ko:K01104	ccoo:ATE51_01062
ko:K01821	ccoo:ATE51_01068
ko:K00962	ccoo:ATE51_01074
ko:K12056	ccoo:ATE51_02622
ko:K04763	ccoo:ATE51_02626
ko:K19157	ccoo:ATE51_02638
ko:K03502	ccoo:ATE51_02660
ko:K19157	ccoo:ATE51_02678
ko:K12056	ccoo:ATE51_02682
ko:K00075	ccoo:ATE51_04298
ko:K01082	ccoo:ATE51_04304
ko:K01647	ccoo:ATE51_04306
ko:K01012	ccoo:ATE51_04310
ko:K03168	ccoo:ATE51_04312
ko:K03076	ccoo:ATE51_04316
ko:K02876	ccoo:ATE51_04318
ko:K02988	ccoo:ATE51_04320
ko:K02881	ccoo:ATE51_04322
ko:K02933	ccoo:ATE51_04324
ko:K02994	ccoo:ATE51_04326
ko:K02954	ccoo:ATE51_04328
ko:K02931	ccoo:ATE51_04330
ko:K02895	ccoo:ATE51_04332
ko:K02874	ccoo:ATE51_04334
ko:K02961	ccoo:ATE51_04336
ko:K02904	ccoo:ATE51_04338
ko:K02878	ccoo:ATE51_04340
ko:K02982	ccoo:ATE51_04342
ko:K02890	ccoo:ATE51_04344
ko:K02965	ccoo:ATE51_04346
ko:K02886	ccoo:ATE51_04348
ko:K02892	ccoo:ATE51_04350
ko:K02926	ccoo:ATE51_04352
ko:K02906	ccoo:ATE51_04354
ko:K02946	ccoo:ATE51_04356
ko:K06178	ccoo:ATE51_04358
ko:K12574	ccoo:ATE51_04360
ko:K02528	ccoo:ATE51_04362
ko:K06941	ccoo:ATE51_04366
ko:K01704	ccoo:ATE51_04384
ko:K01703	ccoo:ATE51_04386
ko:K00052	ccoo:ATE51_04388
ko:K01649	ccoo:ATE51_04390
ko:K09457	ccoo:ATE51_04398
ko:K04744	ccoo:ATE51_01076
ko:K01945	ccoo:ATE51_01080
ko:K01951	ccoo:ATE51_01088
ko:K03703	ccoo:ATE51_01092
ko:K01599	ccoo:ATE51_01098
ko:K00097	ccoo:ATE51_01104
ko:K03474	ccoo:ATE51_01106
ko:K01524	ccoo:ATE51_01108
ko:K01879	ccoo:ATE51_01118
ko:K01091	ccoo:ATE51_01120
ko:K03455	ccoo:ATE51_01124
ko:K13640	ccoo:ATE51_01126
ko:K05516	ccoo:ATE51_01128
ko:K04771	ccoo:ATE51_01130
ko:K02484	ccoo:ATE51_01134
ko:K07216	ccoo:ATE51_01152
ko:K02484	ccoo:ATE51_01156
ko:K04077	ccoo:ATE51_01160
ko:K04078	ccoo:ATE51_01162
ko:K00793	ccoo:ATE51_01166
ko:K05810	ccoo:ATE51_01168
ko:K00104	ccoo:ATE51_01176
ko:K07058	ccoo:ATE51_01178
ko:K02238	ccoo:ATE51_01180
ko:K11891	ccoo:ATE51_02740
ko:K11903	ccoo:ATE51_02742
ko:K11892	ccoo:ATE51_02744
ko:K11893	ccoo:ATE51_02746
ko:K11906	ccoo:ATE51_02748
ko:K11901	ccoo:ATE51_02752
ko:K11900	ccoo:ATE51_02754
ko:K11905	ccoo:ATE51_02756
ko:K11896	ccoo:ATE51_02758
ko:K11895	ccoo:ATE51_02760
ko:K00651	ccoo:ATE51_04402
ko:K07112	ccoo:ATE51_04406
ko:K01740	ccoo:ATE51_04408
ko:K02390	ccoo:ATE51_04410
ko:K01159	ccoo:ATE51_04412
ko:K03203	ccoo:ATE51_05001
ko:K03204	ccoo:ATE51_05002
ko:K03195	ccoo:ATE51_05003
ko:K03196	ccoo:ATE51_05006
ko:K03205	ccoo:ATE51_05008
ko:K03168	ccoo:ATE51_05013
ko:K03111	ccoo:ATE51_05015
ko:K03496	ccoo:ATE51_05030
ko:K19157	ccoo:ATE51_05047
ko:K03628	ccoo:ATE51_01284
ko:K17686	ccoo:ATE51_01286
ko:K08738	ccoo:ATE51_01290
ko:K03273	ccoo:ATE51_01292
ko:K03274	ccoo:ATE51_01294
ko:K03272	ccoo:ATE51_01296
ko:K03271	ccoo:ATE51_01298
ko:K02843	ccoo:ATE51_01300
ko:K00973	ccoo:ATE51_01304
ko:K01710	ccoo:ATE51_01306
ko:K02517	ccoo:ATE51_01336
ko:K02841	ccoo:ATE51_01338
ko:K07501	ccoo:ATE51_01340
ko:K01784	ccoo:ATE51_01342
ko:K17249	ccoo:ATE51_01346
ko:K17250	ccoo:ATE51_01348
ko:K17248	ccoo:ATE51_01350
ko:K17251	ccoo:ATE51_01352
ko:K15914	ccoo:ATE51_01354
ko:K15915	ccoo:ATE51_01356
ko:K18682	ccoo:ATE51_01184
ko:K03110	ccoo:ATE51_01188
ko:K04485	ccoo:ATE51_01198
ko:K02108	ccoo:ATE51_01200
ko:K00297	ccoo:ATE51_01202
ko:K00549	ccoo:ATE51_01204
ko:K02073	ccoo:ATE51_01206
ko:K07173	ccoo:ATE51_01210
ko:K02434	ccoo:ATE51_01212
ko:K00057	ccoo:ATE51_01214
ko:K01465	ccoo:ATE51_01216
ko:K03306	ccoo:ATE51_01218
ko:K11103	ccoo:ATE51_01222
ko:K03495	ccoo:ATE51_01230
ko:K03893	ccoo:ATE51_01232
ko:K00411	ccoo:ATE51_01234
ko:K00412	ccoo:ATE51_01236
ko:K00413	ccoo:ATE51_01238
ko:K00574	ccoo:ATE51_01240
ko:K02967	ccoo:ATE51_01242
ko:K02357	ccoo:ATE51_01244
ko:K02003	ccoo:ATE51_01246
ko:K02421	ccoo:ATE51_01248
ko:K00942	ccoo:ATE51_01252
ko:K03116	ccoo:ATE51_01254
ko:K01887	ccoo:ATE51_01256
ko:K11742	ccoo:ATE51_01258
