ko:K01992	ply:C530_055
ko:K14220	ply:C530_312
ko:K14231	ply:C530_315
ko:K14223	ply:C530_316
ko:K14230	ply:C530_282
ko:K14230	ply:C530_301
ko:K14230	ply:C530_313
ko:K14219	ply:C530_283
ko:K14219	ply:C530_298
ko:K14233	ply:C530_306
ko:K14233	ply:C530_307
ko:K14234	ply:C530_288
ko:K14234	ply:C530_317
ko:K14234	ply:C530_314
ko:K14235	ply:C530_289
ko:K14227	ply:C530_291
ko:K01985	ply:C530_293
ko:K14236	ply:C530_294
ko:K14228	ply:C530_300
ko:K14228	ply:C530_309
ko:K14221	ply:C530_296
ko:K14237	ply:C530_297
ko:K14237	ply:C530_310
ko:K14218	ply:C530_299
ko:K08316	ply:C530_105
ko:K01977	ply:C530_290
ko:K01980	ply:C530_292
ko:K10027	ply:C530_253
ko:K01990	ply:C530_054
ko:K01658	ply:C530_245
ko:K02990	ply:C530_117
ko:K02970	ply:C530_122
ko:K03640	ply:C530_220
ko:K01866	ply:C530_174
ko:K03544	ply:C530_214
ko:K00335	ply:C530_011
ko:K00336	ply:C530_010
ko:K00821	ply:C530_233
ko:K02314	ply:C530_120
ko:K02257	ply:C530_128
