ko:K18929	ccy:YSS_00385
ko:K01091	ccy:YSS_06655
ko:K01879	ccy:YSS_06660
ko:K01524	ccy:YSS_06685
ko:K03474	ccy:YSS_06690
ko:K00097	ccy:YSS_06695
ko:K01599	ccy:YSS_06710
ko:K03561	ccy:YSS_09120
ko:K03559	ccy:YSS_09125
ko:K03832	ccy:YSS_09130
ko:K17938	ccy:YSS_09135
ko:K08224	ccy:YSS_09140
ko:K06193	ccy:YSS_09155
ko:K11175	ccy:YSS_09165
ko:K07391	ccy:YSS_09180
ko:K01462	ccy:YSS_09185
ko:K01358	ccy:YSS_09190
ko:K03545	ccy:YSS_09195
ko:K01495	ccy:YSS_09200
ko:K02412	ccy:YSS_09205
ko:K09815	ccy:YSS_09215
ko:K09817	ccy:YSS_09220
ko:K09816	ccy:YSS_09225
ko:K09748	ccy:YSS_09240
ko:K02834	ccy:YSS_09245
ko:K02519	ccy:YSS_09250
ko:K00872	ccy:YSS_09260
ko:K02535	ccy:YSS_09270
ko:K04517	ccy:YSS_09280
ko:K07277	ccy:YSS_09285
ko:K01092	ccy:YSS_09290
ko:K01963	ccy:YSS_09295
ko:K00783	ccy:YSS_09300
ko:K06204	ccy:YSS_09305
ko:K05540	ccy:YSS_09315
ko:K07042	ccy:YSS_09330
ko:K18284	ccy:YSS_09350
ko:K00645	ccy:YSS_09355
ko:K03775	ccy:YSS_09360
ko:K03640	ccy:YSS_09370
ko:K03641	ccy:YSS_09375
ko:K03832	ccy:YSS_09380
ko:K03703	ccy:YSS_06725
ko:K01951	ccy:YSS_06735
ko:K01945	ccy:YSS_06755
ko:K04744	ccy:YSS_06765
ko:K00962	ccy:YSS_06770
ko:K01821	ccy:YSS_06785
ko:K01104	ccy:YSS_06800
ko:K02557	ccy:YSS_06810
ko:K01624	ccy:YSS_06820
ko:K10773	ccy:YSS_06830
ko:K01173	ccy:YSS_06835
ko:K15256	ccy:YSS_06850
ko:K06442	ccy:YSS_06860
ko:K01972	ccy:YSS_06870
ko:K00796	ccy:YSS_06885
ko:K02341	ccy:YSS_06890
ko:K00928	ccy:YSS_06900
ko:K08311	ccy:YSS_06905
ko:K03117	ccy:YSS_06915
ko:K03118	ccy:YSS_06920
ko:K07568	ccy:YSS_06925
ko:K02536	ccy:YSS_06930
ko:K01653	ccy:YSS_06935
ko:K01652	ccy:YSS_06940
ko:K09117	ccy:YSS_06945
ko:K14652	ccy:YSS_06950
ko:K03498	ccy:YSS_06970
ko:K03499	ccy:YSS_06975
ko:K11782	ccy:YSS_06980
ko:K00761	ccy:YSS_06985
ko:K00029	ccy:YSS_06990
ko:K01885	ccy:YSS_06995
ko:K01961	ccy:YSS_07005
ko:K03559	ccy:YSS_09385
ko:K02114	ccy:YSS_09395
ko:K02112	ccy:YSS_09400
ko:K02115	ccy:YSS_09405
ko:K02111	ccy:YSS_09410
ko:K02113	ccy:YSS_09415
ko:K02109	ccy:YSS_09420
ko:K02109	ccy:YSS_09425
ko:K03524	ccy:YSS_09440
ko:K00604	ccy:YSS_09445
ko:K00931	ccy:YSS_09475
ko:K01689	ccy:YSS_09520
ko:K11785	ccy:YSS_09530
ko:K02420	ccy:YSS_09535
ko:K00075	ccy:YSS_09540
ko:K01082	ccy:YSS_09555
ko:K01647	ccy:YSS_09560
ko:K01012	ccy:YSS_09570
ko:K03168	ccy:YSS_09575
ko:K03076	ccy:YSS_09585
ko:K02876	ccy:YSS_09590
ko:K02988	ccy:YSS_09595
ko:K02881	ccy:YSS_09600
ko:K02933	ccy:YSS_09605
ko:K02994	ccy:YSS_09610
ko:K02954	ccy:YSS_09615
ko:K02931	ccy:YSS_09620
ko:K02895	ccy:YSS_09625
ko:K03575	ccy:YSS_00755
ko:K02016	ccy:YSS_00770
ko:K02013	ccy:YSS_00775
ko:K02015	ccy:YSS_00780
ko:K02014	ccy:YSS_00785
ko:K02835	ccy:YSS_00795
ko:K02968	ccy:YSS_00800
ko:K01095	ccy:YSS_00805
ko:K00958	ccy:YSS_00810
ko:K12506	ccy:YSS_00820
ko:K03593	ccy:YSS_00825
ko:K00674	ccy:YSS_00830
ko:K11755	ccy:YSS_00840
ko:K02500	ccy:YSS_00845
ko:K09805	ccy:YSS_00850
ko:K01814	ccy:YSS_00855
ko:K02501	ccy:YSS_00860
ko:K01089	ccy:YSS_00865
ko:K00013	ccy:YSS_00870
ko:K00765	ccy:YSS_00875
ko:K02879	ccy:YSS_00880
ko:K03040	ccy:YSS_00885
ko:K02986	ccy:YSS_00890
ko:K02948	ccy:YSS_00895
ko:K02952	ccy:YSS_00900
ko:K02919	ccy:YSS_00905
ko:K02518	ccy:YSS_00910
ko:K06159	ccy:YSS_00920
ko:K02035	ccy:YSS_00940
ko:K02033	ccy:YSS_00945
ko:K02034	ccy:YSS_00950
ko:K00330	ccy:YSS_00970
ko:K00331	ccy:YSS_00975
ko:K00332	ccy:YSS_00980
ko:K00333	ccy:YSS_00985
ko:K00334	ccy:YSS_00990
ko:K02040	ccy:YSS_02810
ko:K02037	ccy:YSS_02815
ko:K02038	ccy:YSS_02820
ko:K02036	ccy:YSS_02825
ko:K07043	ccy:YSS_02840
ko:K04656	ccy:YSS_02850
ko:K04652	ccy:YSS_02855
ko:K04653	ccy:YSS_02860
ko:K04654	ccy:YSS_02865
ko:K04655	ccy:YSS_02870
ko:K04651	ccy:YSS_02875
ko:K07504	ccy:YSS_02880
ko:K02874	ccy:YSS_09630
ko:K02961	ccy:YSS_09635
ko:K02904	ccy:YSS_09640
ko:K02878	ccy:YSS_09645
ko:K02982	ccy:YSS_09650
ko:K02890	ccy:YSS_09655
ko:K02965	ccy:YSS_09660
ko:K02886	ccy:YSS_09665
ko:K02340	ccy:YSS_02885
ko:K12573	ccy:YSS_02890
ko:K00053	ccy:YSS_02895
ko:K09798	ccy:YSS_02900
ko:K04096	ccy:YSS_02905
ko:K07447	ccy:YSS_02910
ko:K07304	ccy:YSS_02920
ko:K01507	ccy:YSS_02925
ko:K00939	ccy:YSS_02930
ko:K01876	ccy:YSS_02935
ko:K00858	ccy:YSS_02940
ko:K03631	ccy:YSS_02945
ko:K03424	ccy:YSS_02955
ko:K08307	ccy:YSS_02960
ko:K03642	ccy:YSS_02965
ko:K03270	ccy:YSS_02970
ko:K09774	ccy:YSS_02980
ko:K03978	ccy:YSS_02985
ko:K05515	ccy:YSS_02995
ko:K01262	ccy:YSS_03000
ko:K03667	ccy:YSS_03020
ko:K01419	ccy:YSS_03025
ko:K02939	ccy:YSS_03030
ko:K01940	ccy:YSS_03035
ko:K06925	ccy:YSS_03045
ko:K06861	ccy:YSS_03050
ko:K03092	ccy:YSS_03055
ko:K03702	ccy:YSS_03065
ko:K02456	ccy:YSS_03080
ko:K04066	ccy:YSS_03085
ko:K07010	ccy:YSS_03095
ko:K15257	ccy:YSS_05295
ko:K01270	ccy:YSS_05315
ko:K02030	ccy:YSS_05325
ko:K09861	ccy:YSS_05335
ko:K00611	ccy:YSS_05365
ko:K01698	ccy:YSS_05370
ko:K01497	ccy:YSS_05375
ko:K03501	ccy:YSS_05380
ko:K03086	ccy:YSS_05400
ko:K08296	ccy:YSS_05405
ko:K01735	ccy:YSS_05435
ko:K09944	ccy:YSS_05440
ko:K00773	ccy:YSS_05445
ko:K01996	ccy:YSS_05495
ko:K01995	ccy:YSS_05500
ko:K01998	ccy:YSS_05505
ko:K01997	ccy:YSS_05510
ko:K01999	ccy:YSS_05515
ko:K01999	ccy:YSS_05520
ko:K00133	ccy:YSS_05540
ko:K09860	ccy:YSS_05555
ko:K02469	ccy:YSS_05560
ko:K05801	ccy:YSS_07900
ko:K03582	ccy:YSS_07910
ko:K00406	ccy:YSS_07940
ko:K00407	ccy:YSS_07945
ko:K00405	ccy:YSS_07950
ko:K00404	ccy:YSS_07955
ko:K09792	ccy:YSS_07970
ko:K01956	ccy:YSS_07975
ko:K09804	ccy:YSS_07980
ko:K01939	ccy:YSS_07995
ko:K07112	ccy:YSS_08005
ko:K11928	ccy:YSS_08015
ko:K13821	ccy:YSS_08020
ko:K01008	ccy:YSS_08025
ko:K03406	ccy:YSS_08035
ko:K02379	ccy:YSS_08045
ko:K00127	ccy:YSS_08050
ko:K00124	ccy:YSS_08055
ko:K00123	ccy:YSS_08060
ko:K00123	ccy:YSS_08065
ko:K13747	ccy:YSS_08080
ko:K03636	ccy:YSS_08090
ko:K03635	ccy:YSS_08095
ko:K03750	ccy:YSS_08100
ko:K09952	ccy:YSS_08115
ko:K01933	ccy:YSS_08130
ko:K00859	ccy:YSS_08135
ko:K01778	ccy:YSS_08140
ko:K03796	ccy:YSS_08145
ko:K07133	ccy:YSS_08150
ko:K03585	ccy:YSS_01610
ko:K02970	ccy:YSS_01625
ko:K09767	ccy:YSS_01645
ko:K01591	ccy:YSS_01680
ko:K03625	ccy:YSS_01685
ko:K00794	ccy:YSS_01690
ko:K01627	ccy:YSS_01695
ko:K03977	ccy:YSS_01705
ko:K00891	ccy:YSS_01710
ko:K01867	ccy:YSS_01715
ko:K00873	ccy:YSS_01735
ko:K00116	ccy:YSS_01740
ko:K03525	ccy:YSS_01745
ko:K02435	ccy:YSS_01765
ko:K03558	ccy:YSS_01770
ko:K03711	ccy:YSS_01775
ko:K04567	ccy:YSS_01780
ko:K00600	ccy:YSS_01785
ko:K03749	ccy:YSS_01795
ko:K00014	ccy:YSS_01800
ko:K13292	ccy:YSS_01810
ko:K00246	ccy:YSS_01815
ko:K00244	ccy:YSS_01820
ko:K00245	ccy:YSS_01825
ko:K07126	ccy:YSS_01840
ko:K00812	ccy:YSS_03810
ko:K00640	ccy:YSS_03815
ko:K01585	ccy:YSS_03820
ko:K01892	ccy:YSS_03825
ko:K00943	ccy:YSS_03830
ko:K00954	ccy:YSS_03835
ko:K03186	ccy:YSS_03840
ko:K02073	ccy:YSS_03850
ko:K02073	ccy:YSS_03855
ko:K02073	ccy:YSS_03860
ko:K02072	ccy:YSS_03865
ko:K02071	ccy:YSS_03870
ko:K01873	ccy:YSS_03875
ko:K03657	ccy:YSS_03885
ko:K11065	ccy:YSS_03895
ko:K02567	ccy:YSS_03900
ko:K02573	ccy:YSS_03905
ko:K02574	ccy:YSS_03910
ko:K02568	ccy:YSS_03915
ko:K02570	ccy:YSS_03925
ko:K00974	ccy:YSS_03960
ko:K01433	ccy:YSS_03965
ko:K07088	ccy:YSS_03970
ko:K05939	ccy:YSS_03975
ko:K01929	ccy:YSS_03980
ko:K01921	ccy:YSS_03995
ko:K03550	ccy:YSS_04000
ko:K03980	ccy:YSS_04010
ko:K01883	ccy:YSS_04015
ko:K11085	ccy:YSS_04020
ko:K02841	ccy:YSS_06130
ko:K02517	ccy:YSS_06135
ko:K08068	ccy:YSS_06170
ko:K02843	ccy:YSS_06195
ko:K03271	ccy:YSS_06205
ko:K03272	ccy:YSS_06210
ko:K03274	ccy:YSS_06215
ko:K08738	ccy:YSS_06225
ko:K17686	ccy:YSS_06235
ko:K03628	ccy:YSS_06240
ko:K02343	ccy:YSS_06245
ko:K01533	ccy:YSS_06250
ko:K16264	ccy:YSS_06260
ko:K09981	ccy:YSS_06265
ko:K00016	ccy:YSS_06280
ko:K03768	ccy:YSS_06300
ko:K11743	ccy:YSS_06310
ko:K11742	ccy:YSS_06315
ko:K01887	ccy:YSS_06320
ko:K03116	ccy:YSS_06325
ko:K00942	ccy:YSS_06330
ko:K02421	ccy:YSS_06340
ko:K02003	ccy:YSS_06345
ko:K02357	ccy:YSS_06350
ko:K02967	ccy:YSS_06355
ko:K00574	ccy:YSS_06360
ko:K00413	ccy:YSS_06365
ko:K00412	ccy:YSS_06370
ko:K00411	ccy:YSS_06375
ko:K03893	ccy:YSS_06380
ko:K03495	ccy:YSS_06385
ko:K11103	ccy:YSS_06405
ko:K04564	ccy:YSS_08780
ko:K00290	ccy:YSS_08785
ko:K02010	ccy:YSS_08790
ko:K02011	ccy:YSS_08795
ko:K02012	ccy:YSS_08800
ko:K16087	ccy:YSS_08815
ko:K02892	ccy:YSS_09670
ko:K02926	ccy:YSS_09675
ko:K02906	ccy:YSS_09680
ko:K02946	ccy:YSS_09685
ko:K06178	ccy:YSS_09690
ko:K12574	ccy:YSS_09695
ko:K02528	ccy:YSS_09700
ko:K06941	ccy:YSS_09710
ko:K01704	ccy:YSS_09750
ko:K01703	ccy:YSS_09755
ko:K00052	ccy:YSS_09760
ko:K01649	ccy:YSS_09765
ko:K09457	ccy:YSS_09795
ko:K00651	ccy:YSS_09805
ko:K07112	ccy:YSS_09815
ko:K01740	ccy:YSS_09820
ko:K02390	ccy:YSS_09825
ko:K01159	ccy:YSS_09830
ko:K06078	ccy:YSS_09920
ko:K00337	ccy:YSS_01005
ko:K00338	ccy:YSS_01010
ko:K00339	ccy:YSS_01015
ko:K00340	ccy:YSS_01020
ko:K00341	ccy:YSS_01025
ko:K00342	ccy:YSS_01030
ko:K00343	ccy:YSS_01035
ko:K00826	ccy:YSS_01065
ko:K01821	ccy:YSS_01070
ko:K03564	ccy:YSS_01075
ko:K09765	ccy:YSS_01080
ko:K02372	ccy:YSS_01085
ko:K00677	ccy:YSS_01090
ko:K03544	ccy:YSS_01095
ko:K03569	ccy:YSS_01100
ko:K03570	ccy:YSS_01105
ko:K03417	ccy:YSS_01120
ko:K01659	ccy:YSS_01125
ko:K01720	ccy:YSS_01130
ko:K01955	ccy:YSS_01155
ko:K00616	ccy:YSS_01165
ko:K01079	ccy:YSS_01170
ko:K03408	ccy:YSS_01175
ko:K03407	ccy:YSS_01180
ko:K03415	ccy:YSS_01185
ko:K03269	ccy:YSS_01190
ko:K03624	ccy:YSS_01195
ko:K00748	ccy:YSS_01200
ko:K07238	ccy:YSS_01205
ko:K03787	ccy:YSS_01230
ko:K03830	ccy:YSS_01240
ko:K01579	ccy:YSS_01245
ko:K01918	ccy:YSS_01250
ko:K02017	ccy:YSS_01265
ko:K02018	ccy:YSS_01270
ko:K02020	ccy:YSS_01280
ko:K02169	ccy:YSS_01285
ko:K09789	ccy:YSS_01290
ko:K00652	ccy:YSS_01295
ko:K00860	ccy:YSS_03170
ko:K02393	ccy:YSS_03180
ko:K13788	ccy:YSS_03185
ko:K00925	ccy:YSS_03190
ko:K03438	ccy:YSS_03205
ko:K03770	ccy:YSS_03210
ko:K03590	ccy:YSS_03215
ko:K03531	ccy:YSS_03220
ko:K02392	ccy:YSS_03225
ko:K02392	ccy:YSS_03230
ko:K01915	ccy:YSS_03235
ko:K08303	ccy:YSS_03245
ko:K01588	ccy:YSS_03250
ko:K01878	ccy:YSS_03260
ko:K07164	ccy:YSS_03270
ko:K02527	ccy:YSS_03275
ko:K06180	ccy:YSS_03280
ko:K03106	ccy:YSS_03285
ko:K02959	ccy:YSS_03290
ko:K06960	ccy:YSS_03295
ko:K02860	ccy:YSS_03300
ko:K00554	ccy:YSS_03305
ko:K02884	ccy:YSS_03310
ko:K07127	ccy:YSS_03315
ko:K01626	ccy:YSS_03320
ko:K02337	ccy:YSS_03330
ko:K06997	ccy:YSS_03335
ko:K02406	ccy:YSS_03340
ko:K02493	ccy:YSS_03350
ko:K06013	ccy:YSS_03355
ko:K03831	ccy:YSS_03365
ko:K03284	ccy:YSS_03370
ko:K02055	ccy:YSS_03375
ko:K02054	ccy:YSS_03390
ko:K02053	ccy:YSS_03395
ko:K02052	ccy:YSS_03400
ko:K02242	ccy:YSS_05565
ko:K03596	ccy:YSS_05575
ko:K03686	ccy:YSS_05595
ko:K01959	ccy:YSS_05610
ko:K03588	ccy:YSS_05615
ko:K02563	ccy:YSS_05620
ko:K03449	ccy:YSS_05625
ko:K00788	ccy:YSS_05640
ko:K03150	ccy:YSS_05645
ko:K03149	ccy:YSS_05650
ko:K03148	ccy:YSS_05655
ko:K03154	ccy:YSS_05660
ko:K01439	ccy:YSS_05670
ko:K06895	ccy:YSS_05675
ko:K12410	ccy:YSS_05680
ko:K07456	ccy:YSS_05690
ko:K01924	ccy:YSS_05700
ko:K03602	ccy:YSS_05730
ko:K00088	ccy:YSS_05735
ko:K02433	ccy:YSS_05740
ko:K01870	ccy:YSS_05750
ko:K03743	ccy:YSS_05755
ko:K00995	ccy:YSS_05775
ko:K11749	ccy:YSS_05780
ko:K02990	ccy:YSS_05800
ko:K02963	ccy:YSS_05810
ko:K01338	ccy:YSS_05815
ko:K05807	ccy:YSS_05820
ko:K13626	ccy:YSS_05825
ko:K00286	ccy:YSS_05830
ko:K04047	ccy:YSS_08225
ko:K01810	ccy:YSS_08230
ko:K00963	ccy:YSS_08235
ko:K01895	ccy:YSS_08240
ko:K06857	ccy:YSS_08245
ko:K05773	ccy:YSS_08250
ko:K05772	ccy:YSS_08255
ko:K07160	ccy:YSS_08260
ko:K03923	ccy:YSS_08290
ko:K03098	ccy:YSS_08300
ko:K13979	ccy:YSS_08305
ko:K01153	ccy:YSS_08310
ko:K03427	ccy:YSS_08340
ko:K02846	ccy:YSS_08345
ko:K03781	ccy:YSS_08355
ko:K07089	ccy:YSS_08360
ko:K03406	ccy:YSS_08375
ko:K01465	ccy:YSS_08390
ko:K00901	ccy:YSS_08400
ko:K03760	ccy:YSS_08405
ko:K01142	ccy:YSS_08410
ko:K03637	ccy:YSS_08425
ko:K02887	ccy:YSS_08450
ko:K02916	ccy:YSS_08455
ko:K04487	ccy:YSS_08465
ko:K13819	ccy:YSS_08470
ko:K16052	ccy:YSS_08475
ko:K01673	ccy:YSS_08480
ko:K07126	ccy:YSS_01300
ko:K00833	ccy:YSS_01305
ko:K01935	ccy:YSS_01310
ko:K02897	ccy:YSS_01325
ko:K01056	ccy:YSS_01330
ko:K11720	ccy:YSS_01335
ko:K01586	ccy:YSS_01340
ko:K02566	ccy:YSS_01345
ko:K14170	ccy:YSS_01350
ko:K00817	ccy:YSS_01355
ko:K02409	ccy:YSS_01360
ko:K02410	ccy:YSS_01365
ko:K02411	ccy:YSS_01370
ko:K01662	ccy:YSS_01375
ko:K09825	ccy:YSS_01380
ko:K03183	ccy:YSS_01390
ko:K07793	ccy:YSS_01395
ko:K07795	ccy:YSS_01405
ko:K03601	ccy:YSS_01410
ko:K00831	ccy:YSS_01415
ko:K00648	ccy:YSS_01420
ko:K03621	ccy:YSS_01425
ko:K02911	ccy:YSS_01430
ko:K00940	ccy:YSS_01440
ko:K03386	ccy:YSS_01450
ko:K02401	ccy:YSS_01455
ko:K02557	ccy:YSS_01460
ko:K02556	ccy:YSS_01465
ko:K03701	ccy:YSS_01495
ko:K07090	ccy:YSS_01500
ko:K01657	ccy:YSS_01505
ko:K13497	ccy:YSS_01510
ko:K01817	ccy:YSS_01515
ko:K01696	ccy:YSS_01520
ko:K01695	ccy:YSS_01525
ko:K02417	ccy:YSS_01535
ko:K01524	ccy:YSS_01545
ko:K01633	ccy:YSS_01560
ko:K08591	ccy:YSS_01565
ko:K00428	ccy:YSS_01570
ko:K03431	ccy:YSS_01575
ko:K03101	ccy:YSS_01580
ko:K08973	ccy:YSS_01585
ko:K02030	ccy:YSS_03410
ko:K03832	ccy:YSS_03455
ko:K16089	ccy:YSS_03460
ko:K03705	ccy:YSS_03465
ko:K03687	ccy:YSS_03470
ko:K04043	ccy:YSS_03475
ko:K03427	ccy:YSS_03480
ko:K01154	ccy:YSS_03485
ko:K01153	ccy:YSS_03495
ko:K01719	ccy:YSS_05850
ko:K00788	ccy:YSS_05855
ko:K00941	ccy:YSS_05860
ko:K07457	ccy:YSS_05865
ko:K06923	ccy:YSS_05870
ko:K03723	ccy:YSS_05875
ko:K11754	ccy:YSS_05890
ko:K01869	ccy:YSS_05905
ko:K03074	ccy:YSS_05910
ko:K03072	ccy:YSS_05915
ko:K03210	ccy:YSS_05920
ko:K03820	ccy:YSS_05925
ko:K00789	ccy:YSS_05955
ko:K07862	ccy:YSS_05960
ko:K00609	ccy:YSS_05965
ko:K08602	ccy:YSS_05970
ko:K03657	ccy:YSS_05980
ko:K03177	ccy:YSS_05985
ko:K03563	ccy:YSS_05990
ko:K00919	ccy:YSS_05995
ko:K03664	ccy:YSS_06000
ko:K06891	ccy:YSS_06010
ko:K03694	ccy:YSS_06015
ko:K00684	ccy:YSS_06020
ko:K03406	ccy:YSS_06025
ko:K05595	ccy:YSS_06030
ko:K07305	ccy:YSS_06035
ko:K17103	ccy:YSS_06045
ko:K01613	ccy:YSS_06050
ko:K03798	ccy:YSS_06055
ko:K02687	ccy:YSS_06060
ko:K03413	ccy:YSS_06065
ko:K01784	ccy:YSS_06120
ko:K07501	ccy:YSS_06125
ko:K03075	ccy:YSS_08490
ko:K02838	ccy:YSS_08495
ko:K00762	ccy:YSS_08500
ko:K00763	ccy:YSS_08515
ko:K00573	ccy:YSS_08525
ko:K00930	ccy:YSS_08535
ko:K00145	ccy:YSS_08545
ko:K07318	ccy:YSS_08550
ko:K02520	ccy:YSS_08555
ko:K01868	ccy:YSS_08560
ko:K06153	ccy:YSS_08565
ko:K07478	ccy:YSS_08600
ko:K00215	ccy:YSS_08605
ko:K00764	ccy:YSS_08610
ko:K07052	ccy:YSS_08615
ko:K07093	ccy:YSS_08640
ko:K00384	ccy:YSS_08645
ko:K03671	ccy:YSS_08650
ko:K07460	ccy:YSS_08655
ko:K00003	ccy:YSS_08660
ko:K14261	ccy:YSS_08665
ko:K03218	ccy:YSS_08680
ko:K02909	ccy:YSS_08690
ko:K09761	ccy:YSS_08695
ko:K01737	ccy:YSS_08710
ko:K03639	ccy:YSS_08720
ko:K03179	ccy:YSS_08735
ko:K00791	ccy:YSS_08745
ko:K01779	ccy:YSS_00420
ko:K03648	ccy:YSS_00425
ko:K01744	ccy:YSS_00430
ko:K07791	ccy:YSS_00435
ko:K09859	ccy:YSS_00440
ko:K07337	ccy:YSS_00445
ko:K02888	ccy:YSS_00455
ko:K02899	ccy:YSS_00460
ko:K03979	ccy:YSS_00465
ko:K02003	ccy:YSS_00480
ko:K02004	ccy:YSS_00485
ko:K02004	ccy:YSS_00490
ko:K07230	ccy:YSS_00500
ko:K07243	ccy:YSS_00505
ko:K03313	ccy:YSS_00515
ko:K03313	ccy:YSS_00520
ko:K01776	ccy:YSS_00530
ko:K01265	ccy:YSS_00535
ko:K18480	ccy:YSS_00545
ko:K02067	ccy:YSS_00550
ko:K02065	ccy:YSS_00555
ko:K02066	ccy:YSS_00560
ko:K00615	ccy:YSS_00565
ko:K00795	ccy:YSS_00570
ko:K09747	ccy:YSS_00580
ko:K01928	ccy:YSS_00585
ko:K03469	ccy:YSS_00610
ko:K03685	ccy:YSS_00615
ko:K01736	ccy:YSS_00620
ko:K00566	ccy:YSS_00655
ko:K03559	ccy:YSS_00670
ko:K03561	ccy:YSS_00675
ko:K03837	ccy:YSS_00690
ko:K01752	ccy:YSS_00695
ko:K11752	ccy:YSS_00705
ko:K02492	ccy:YSS_02510
ko:K01881	ccy:YSS_02515
ko:K01649	ccy:YSS_02520
ko:K01749	ccy:YSS_02525
ko:K03182	ccy:YSS_02530
ko:K06603	ccy:YSS_02535
ko:K02407	ccy:YSS_02540
ko:K02422	ccy:YSS_02545
ko:K02356	ccy:YSS_02560
ko:K00147	ccy:YSS_02595
ko:K00384	ccy:YSS_02600
ko:K05837	ccy:YSS_02635
ko:K06180	ccy:YSS_02640
ko:K03439	ccy:YSS_02650
ko:K09812	ccy:YSS_02655
ko:K09811	ccy:YSS_02660
ko:K09903	ccy:YSS_02670
ko:K03060	ccy:YSS_02675
ko:K01866	ccy:YSS_02685
ko:K00459	ccy:YSS_02690
ko:K01448	ccy:YSS_02695
ko:K05927	ccy:YSS_02705
ko:K05922	ccy:YSS_02710
ko:K03620	ccy:YSS_02715
ko:K03605	ccy:YSS_02720
ko:K06187	ccy:YSS_02725
ko:K02484	ccy:YSS_02730
ko:K03686	ccy:YSS_02740
ko:K03308	ccy:YSS_02750
ko:K04084	ccy:YSS_02760
ko:K13888	ccy:YSS_02775
ko:K05685	ccy:YSS_02780
ko:K09795	ccy:YSS_02795
ko:K02217	ccy:YSS_02805
ko:K02110	ccy:YSS_04945
ko:K07265	ccy:YSS_07610
ko:K07266	ccy:YSS_07615
ko:K08068	ccy:YSS_07640
ko:K00860	ccy:YSS_07670
ko:K00956	ccy:YSS_07680
ko:K00957	ccy:YSS_07685
ko:K01082	ccy:YSS_07690
ko:K06041	ccy:YSS_07720
ko:K10107	ccy:YSS_07730
ko:K09689	ccy:YSS_07735
ko:K09688	ccy:YSS_07740
ko:K09979	ccy:YSS_07745
ko:K04075	ccy:YSS_07765
ko:K02836	ccy:YSS_07775
ko:K06176	ccy:YSS_07785
ko:K02394	ccy:YSS_07810
ko:K02396	ccy:YSS_07830
ko:K07090	ccy:YSS_07840
ko:K02455	ccy:YSS_07845
ko:K02454	ccy:YSS_07850
ko:K01714	ccy:YSS_07860
ko:K02453	ccy:YSS_07865
ko:K03737	ccy:YSS_07875
ko:K01091	ccy:YSS_07880
ko:K03286	ccy:YSS_07885
ko:K02996	ccy:YSS_07890
ko:K02871	ccy:YSS_07895
ko:K02313	ccy:YSS_00005
ko:K02338	ccy:YSS_00010
ko:K02470	ccy:YSS_00015
ko:K14393	ccy:YSS_00045
