ko:K18929	hpyo:HPOK113_0146
ko:K01889	hpyo:HPOK113_1012
ko:K01890	hpyo:HPOK113_1013
ko:K00800	hpyo:HPOK113_1014
ko:K03527	hpyo:HPOK113_1015
ko:K02945	hpyo:HPOK113_1016
ko:K00058	hpyo:HPOK113_1018
ko:K03182	hpyo:HPOK113_1019
ko:K06997	hpyo:HPOK113_1020
ko:K03269	hpyo:HPOK113_1021
ko:K03415	hpyo:HPOK113_1022
ko:K02238	hpyo:HPOK113_0037
ko:K09859	hpyo:HPOK113_0016
ko:K03415	hpyo:HPOK113_0017
ko:K13747	hpyo:HPOK113_0018
ko:K12977	hpyo:HPOK113_0019
ko:K03760	hpyo:HPOK113_0020
ko:K01173	hpyo:HPOK113_0022
ko:K04517	hpyo:HPOK113_0023
ko:K01338	hpyo:HPOK113_0024
ko:K05807	hpyo:HPOK113_0025
ko:K13626	hpyo:HPOK113_0026
ko:K02372	hpyo:HPOK113_0027
ko:K00677	hpyo:HPOK113_0028
ko:K03544	hpyo:HPOK113_0029
ko:K03569	hpyo:HPOK113_0030
ko:K03570	hpyo:HPOK113_0031
ko:K02028	hpyo:HPOK113_1131
ko:K03797	hpyo:HPOK113_0048
ko:K00655	hpyo:HPOK113_0050
ko:K03648	hpyo:HPOK113_0051
ko:K03179	hpyo:HPOK113_0038
ko:K00134	hpyo:HPOK113_0052
ko:K00927	hpyo:HPOK113_0053
ko:K03284	hpyo:HPOK113_0054
ko:K13821	hpyo:HPOK113_0063
ko:K03624	hpyo:HPOK113_0875
ko:K00748	hpyo:HPOK113_0876
ko:K04651	hpyo:HPOK113_0878
ko:K01613	hpyo:HPOK113_0041
ko:K03517	hpyo:HPOK113_0042
ko:K00767	hpyo:HPOK113_0043
ko:K02390	hpyo:HPOK113_0879
ko:K01521	hpyo:HPOK113_0880
ko:K06193	hpyo:HPOK113_0881
ko:K03781	hpyo:HPOK113_0884
ko:K02014	hpyo:HPOK113_0885
ko:K01159	hpyo:HPOK113_0886
ko:K03550	hpyo:HPOK113_0890
ko:K03980	hpyo:HPOK113_0892
ko:K01883	hpyo:HPOK113_0893
ko:K02013	hpyo:HPOK113_0896
ko:K02015	hpyo:HPOK113_0897
ko:K15847	hpyo:HPOK113_0902
ko:K04654	hpyo:HPOK113_0904
ko:K04653	hpyo:HPOK113_0905
ko:K04652	hpyo:HPOK113_0906
ko:K00925	hpyo:HPOK113_0910
ko:K00625	hpyo:HPOK113_0911
ko:K13788	hpyo:HPOK113_0912
ko:K02389	hpyo:HPOK113_0916
ko:K02390	hpyo:HPOK113_0917
ko:K03657	hpyo:HPOK113_0920
ko:K15843	hpyo:HPOK113_0921
ko:K15844	hpyo:HPOK113_0922
ko:K02014	hpyo:HPOK113_0924
ko:K12101	hpyo:HPOK113_0555
ko:K12102	hpyo:HPOK113_0556
ko:K12103	hpyo:HPOK113_0557
ko:K12104	hpyo:HPOK113_0558
ko:K12105	hpyo:HPOK113_0559
ko:K12107	hpyo:HPOK113_0561
ko:K12108	hpyo:HPOK113_0562
ko:K12109	hpyo:HPOK113_0563
ko:K12110	hpyo:HPOK113_0564
ko:K15842	hpyo:HPOK113_0565
ko:K01776	hpyo:HPOK113_0567
ko:K03628	hpyo:HPOK113_0568
ko:K02909	hpyo:HPOK113_0569
ko:K07056	hpyo:HPOK113_0570
ko:K03218	hpyo:HPOK113_0571
ko:K01962	hpyo:HPOK113_0574
ko:K09458	hpyo:HPOK113_0575
ko:K02078	hpyo:HPOK113_0576
ko:K00059	hpyo:HPOK113_0577
ko:K02970	hpyo:HPOK113_0578
ko:K01778	hpyo:HPOK113_0582
ko:K06942	hpyo:HPOK113_0585
ko:K01255	hpyo:HPOK113_0586
ko:K00759	hpyo:HPOK113_0588
ko:K01808	hpyo:HPOK113_0590
ko:K03100	hpyo:HPOK113_0592
ko:K01491	hpyo:HPOK113_0593
ko:K01465	hpyo:HPOK113_0597
ko:K03438	hpyo:HPOK113_0717
ko:K07023	hpyo:HPOK113_0720
ko:K03092	hpyo:HPOK113_0722
ko:K06861	hpyo:HPOK113_0723
ko:K06925	hpyo:HPOK113_0724
ko:K02343	hpyo:HPOK113_0725
ko:K01990	hpyo:HPOK113_1176
ko:K03427	hpyo:HPOK113_0446
ko:K01153	hpyo:HPOK113_0447
ko:K01154	hpyo:HPOK113_0445
ko:K10773	hpyo:HPOK113_0601
ko:K07082	hpyo:HPOK113_0604
ko:K00176	hpyo:HPOK113_0605
ko:K00174	hpyo:HPOK113_0606
ko:K02067	hpyo:HPOK113_1377
ko:K02065	hpyo:HPOK113_1378
ko:K02066	hpyo:HPOK113_1379
ko:K00826	hpyo:HPOK113_1381
ko:K02242	hpyo:HPOK113_1386
ko:K00943	hpyo:HPOK113_1387
ko:K00954	hpyo:HPOK113_1388
ko:K03186	hpyo:HPOK113_1389
ko:K02417	hpyo:HPOK113_0600
ko:K02386	hpyo:HPOK113_1390
ko:K03657	hpyo:HPOK113_1391
ko:K01875	hpyo:HPOK113_1393
ko:K03602	hpyo:HPOK113_1395
ko:K03183	hpyo:HPOK113_1396
ko:K08973	hpyo:HPOK113_1397
ko:K01993	hpyo:HPOK113_1401
ko:K03306	hpyo:HPOK113_1404
ko:K01928	hpyo:HPOK113_1407
ko:K00616	hpyo:HPOK113_1408
ko:K02897	hpyo:HPOK113_1409
ko:K01056	hpyo:HPOK113_1410
ko:K11720	hpyo:HPOK113_1411
ko:K09943	hpyo:HPOK113_1416
ko:K11752	hpyo:HPOK113_1419
ko:K03312	hpyo:HPOK113_1420
ko:K08591	hpyo:HPOK113_1423
ko:K01633	hpyo:HPOK113_1424
ko:K02014	hpyo:HPOK113_1426
ko:K01042	hpyo:HPOK113_1427
ko:K02600	hpyo:HPOK113_1428
ko:K06895	hpyo:HPOK113_0726
ko:K01424	hpyo:HPOK113_0729
ko:K07791	hpyo:HPOK113_0730
ko:K15848	hpyo:HPOK113_0731
ko:K04075	hpyo:HPOK113_0734
ko:K00769	hpyo:HPOK113_0743
ko:K01095	hpyo:HPOK113_0745
ko:K01921	hpyo:HPOK113_0746
ko:K01929	hpyo:HPOK113_0748
ko:K00948	hpyo:HPOK113_0750
ko:K05837	hpyo:HPOK113_0751
ko:K06180	hpyo:HPOK113_0755
ko:K03439	hpyo:HPOK113_0757
ko:K09812	hpyo:HPOK113_0758
ko:K09811	hpyo:HPOK113_0759
ko:K06603	hpyo:HPOK113_0761
ko:K02407	hpyo:HPOK113_0762
ko:K02422	hpyo:HPOK113_0763
ko:K12251	hpyo:HPOK113_0767
ko:K07084	hpyo:HPOK113_0768
ko:K03609	hpyo:HPOK113_0339
ko:K03608	hpyo:HPOK113_0340
ko:K04096	hpyo:HPOK113_0341
ko:K07447	hpyo:HPOK113_0342
ko:K06180	hpyo:HPOK113_0351
ko:K07462	hpyo:HPOK113_0352
ko:K01937	hpyo:HPOK113_0353
ko:K02409	hpyo:HPOK113_0355
ko:K02410	hpyo:HPOK113_0356
ko:K02411	hpyo:HPOK113_0357
ko:K01662	hpyo:HPOK113_0358
ko:K03596	hpyo:HPOK113_0359
ko:K02392	hpyo:HPOK113_0363
ko:K03466	hpyo:HPOK113_0365
ko:K00615	hpyo:HPOK113_0367
ko:K11753	hpyo:HPOK113_0368
ko:K06442	hpyo:HPOK113_0369
ko:K00609	hpyo:HPOK113_0371
ko:K11085	hpyo:HPOK113_0373
ko:K07241	hpyo:HPOK113_0378
ko:K03798	hpyo:HPOK113_0385
ko:K02687	hpyo:HPOK113_0386
ko:K03413	hpyo:HPOK113_0387
ko:K06950	hpyo:HPOK113_0390
ko:K03501	hpyo:HPOK113_0391
ko:K07568	hpyo:HPOK113_0392
ko:K02110	hpyo:HPOK113_1169
ko:K00962	hpyo:HPOK113_1170
ko:K04744	hpyo:HPOK113_1172
ko:K01945	hpyo:HPOK113_1174
ko:K00806	hpyo:HPOK113_1177
ko:K01719	hpyo:HPOK113_1180
ko:K06199	hpyo:HPOK113_1181
ko:K08311	hpyo:HPOK113_1184
ko:K00928	hpyo:HPOK113_1185
ko:K02341	hpyo:HPOK113_1187
ko:K00796	hpyo:HPOK113_1188
ko:K09804	hpyo:HPOK113_1192
ko:K01956	hpyo:HPOK113_1193
ko:K01455	hpyo:HPOK113_1194
ko:K06287	hpyo:HPOK113_1195
ko:K01872	hpyo:HPOK113_1196
ko:K09794	hpyo:HPOK113_1197
ko:K02963	hpyo:HPOK113_1199
ko:K02990	hpyo:HPOK113_1201
ko:K02340	hpyo:HPOK113_1202
ko:K12573	hpyo:HPOK113_1203
ko:K01153	hpyo:HPOK113_0448
ko:K08602	hpyo:HPOK113_0454
ko:K03455	hpyo:HPOK113_0455
ko:K02020	hpyo:HPOK113_0457
ko:K02018	hpyo:HPOK113_0458
ko:K02017	hpyo:HPOK113_0460
ko:K01885	hpyo:HPOK113_0461
ko:K06207	hpyo:HPOK113_0465
ko:K03781	hpyo:HPOK113_0469
ko:K10716	hpyo:HPOK113_0474
ko:K02902	hpyo:HPOK113_0475
ko:K15846	hpyo:HPOK113_0476
ko:K01000	hpyo:HPOK113_0477
ko:K01925	hpyo:HPOK113_0478
ko:K07107	hpyo:HPOK113_0480
ko:K03308	hpyo:HPOK113_0481
ko:K03308	hpyo:HPOK113_0482
ko:K01058	hpyo:HPOK113_0483
ko:K02338	hpyo:HPOK113_0484
ko:K02470	hpyo:HPOK113_0485
ko:K08077	hpyo:HPOK113_0489
ko:K00215	hpyo:HPOK113_0492
ko:K01915	hpyo:HPOK113_0494
ko:K03470	hpyo:HPOK113_1273
ko:K01679	hpyo:HPOK113_1275
ko:K07787	hpyo:HPOK113_1279
ko:K03686	hpyo:HPOK113_1282
ko:K00566	hpyo:HPOK113_1285
ko:K00969	hpyo:HPOK113_1287
ko:K07722	hpyo:HPOK113_1288
ko:K03561	hpyo:HPOK113_1289
ko:K03832	hpyo:HPOK113_1291
ko:K04656	hpyo:HPOK113_1295
ko:K04655	hpyo:HPOK113_1296
ko:K02377	hpyo:HPOK113_1297
ko:K01711	hpyo:HPOK113_1298
ko:K12048	hpyo:HPOK113_1300
ko:K12049	hpyo:HPOK113_1301
ko:K12050	hpyo:HPOK113_1302
ko:K09747	hpyo:HPOK113_1305
ko:K01579	hpyo:HPOK113_1306
ko:K03694	hpyo:HPOK113_1307
ko:K06891	hpyo:HPOK113_1308
ko:K01935	hpyo:HPOK113_1311
ko:K00031	hpyo:HPOK113_1313
ko:K01647	hpyo:HPOK113_1314
ko:K01012	hpyo:HPOK113_1320
ko:K07058	hpyo:HPOK113_1321
ko:K00014	hpyo:HPOK113_1204
ko:K13894	hpyo:HPOK113_1206
ko:K13893	hpyo:HPOK113_1207
ko:K01867	hpyo:HPOK113_1208
ko:K02169	hpyo:HPOK113_1209
ko:K03075	hpyo:HPOK113_1210
ko:K02838	hpyo:HPOK113_1211
ko:K00762	hpyo:HPOK113_1212
ko:K12410	hpyo:HPOK113_1214
ko:K00330	hpyo:HPOK113_1215
ko:K00331	hpyo:HPOK113_1216
ko:K00332	hpyo:HPOK113_1217
ko:K00333	hpyo:HPOK113_1218
ko:K00334	hpyo:HPOK113_1219
ko:K00790	hpyo:HPOK113_0662
ko:K01744	hpyo:HPOK113_0663
ko:K01079	hpyo:HPOK113_0666
ko:K02217	hpyo:HPOK113_0667
ko:K07277	hpyo:HPOK113_0669
ko:K02434	hpyo:HPOK113_0672
ko:K03469	hpyo:HPOK113_0675
ko:K03685	hpyo:HPOK113_0676
ko:K01736	hpyo:HPOK113_0677
ko:K11473	hpyo:HPOK113_0680
ko:K00812	hpyo:HPOK113_0685
ko:K01934	hpyo:HPOK113_0771
ko:K03110	hpyo:HPOK113_0773
ko:K03639	hpyo:HPOK113_0779
ko:K03639	hpyo:HPOK113_0782
ko:K03752	hpyo:HPOK113_0783
ko:K02401	hpyo:HPOK113_0784
ko:K01448	hpyo:HPOK113_0786
ko:K00459	hpyo:HPOK113_0787
ko:K01866	hpyo:HPOK113_0788
ko:K03060	hpyo:HPOK113_0790
ko:K09903	hpyo:HPOK113_0791
ko:K01682	hpyo:HPOK113_0793
ko:K03750	hpyo:HPOK113_0180
ko:K02421	hpyo:HPOK113_0181
ko:K01624	hpyo:HPOK113_0184
ko:K02356	hpyo:HPOK113_0185
ko:K15898	hpyo:HPOK113_0186
ko:K02003	hpyo:HPOK113_0187
ko:K03820	hpyo:HPOK113_0188
ko:K03558	hpyo:HPOK113_0189
ko:K04567	hpyo:HPOK113_0190
ko:K00600	hpyo:HPOK113_0191
ko:K00245	hpyo:HPOK113_0199
ko:K00244	hpyo:HPOK113_0200
ko:K00246	hpyo:HPOK113_0201
ko:K01803	hpyo:HPOK113_0202
ko:K00208	hpyo:HPOK113_0203
ko:K02536	hpyo:HPOK113_0204
ko:K00789	hpyo:HPOK113_0205
ko:K00940	hpyo:HPOK113_0206
ko:K02911	hpyo:HPOK113_0208
ko:K03621	hpyo:HPOK113_0209
ko:K00648	hpyo:HPOK113_0210
ko:K03593	hpyo:HPOK113_0216
ko:K04079	hpyo:HPOK113_0221
ko:K07126	hpyo:HPOK113_0222
ko:K01439	hpyo:HPOK113_0223
ko:K03495	hpyo:HPOK113_0224
ko:K14445	hpyo:HPOK113_0225
ko:K00981	hpyo:HPOK113_0226
ko:K00099	hpyo:HPOK113_0227
ko:K06910	hpyo:HPOK113_0228
ko:K04487	hpyo:HPOK113_0230
ko:K13819	hpyo:HPOK113_0231
ko:K03407	hpyo:HPOK113_1023
ko:K03408	hpyo:HPOK113_1024
ko:K11065	hpyo:HPOK113_1025
ko:K04564	hpyo:HPOK113_1026
ko:K15256	hpyo:HPOK113_1027
ko:K04066	hpyo:HPOK113_1028
ko:K06013	hpyo:HPOK113_1033
ko:K02493	hpyo:HPOK113_1034
ko:K00262	hpyo:HPOK113_1035
ko:K01772	hpyo:HPOK113_1039
ko:K09761	hpyo:HPOK113_1041
ko:K01494	hpyo:HPOK113_1043
ko:K02160	hpyo:HPOK113_1044
ko:K01961	hpyo:HPOK113_1045
ko:K15895	hpyo:HPOK113_1050
ko:K00573	hpyo:HPOK113_1052
ko:K07091	hpyo:HPOK113_1053
ko:K06173	hpyo:HPOK113_1054
ko:K03634	hpyo:HPOK113_0798
ko:K03070	hpyo:HPOK113_0799
ko:K02004	hpyo:HPOK113_0800
ko:K01154	hpyo:HPOK113_0802
ko:K01534	hpyo:HPOK113_0803
ko:K07391	hpyo:HPOK113_0804
ko:K01462	hpyo:HPOK113_0805
ko:K01358	hpyo:HPOK113_0806
ko:K03545	hpyo:HPOK113_0807
ko:K15846	hpyo:HPOK113_0809
ko:K03637	hpyo:HPOK113_0810
ko:K03831	hpyo:HPOK113_0811
ko:K03635	hpyo:HPOK113_0812
ko:K03636	hpyo:HPOK113_0813
ko:K14652	hpyo:HPOK113_0816
ko:K07270	hpyo:HPOK113_0818
ko:K07043	hpyo:HPOK113_0819
ko:K16091	hpyo:HPOK113_0820
ko:K00057	hpyo:HPOK113_0968
ko:K03190	hpyo:HPOK113_0077
ko:K03189	hpyo:HPOK113_0078
ko:K03188	hpyo:HPOK113_0079
ko:K03187	hpyo:HPOK113_0080
ko:K03191	hpyo:HPOK113_0081
ko:K01428	hpyo:HPOK113_0082
ko:K14048	hpyo:HPOK113_0083
ko:K03101	hpyo:HPOK113_0084
ko:K03431	hpyo:HPOK113_0085
ko:K02968	hpyo:HPOK113_0086
ko:K02835	hpyo:HPOK113_0087
ko:K03406	hpyo:HPOK113_0094
ko:K02996	hpyo:HPOK113_0095
ko:K02871	hpyo:HPOK113_0096
ko:K00116	hpyo:HPOK113_0098
ko:K03086	hpyo:HPOK113_0100
ko:K00645	hpyo:HPOK113_0102
ko:K01733	hpyo:HPOK113_0110
ko:K03406	hpyo:HPOK113_0111
ko:K09765	hpyo:HPOK113_0112
ko:K03406	hpyo:HPOK113_0115
ko:K01119	hpyo:HPOK113_0116
ko:K07173	hpyo:HPOK113_0117
ko:K04043	hpyo:HPOK113_0121
ko:K03687	hpyo:HPOK113_0122
ko:K03705	hpyo:HPOK113_0123
ko:K01628	hpyo:HPOK113_0124
ko:K01955	hpyo:HPOK113_0926
ko:K00134	hpyo:HPOK113_0928
ko:K01821	hpyo:HPOK113_0931
ko:K06187	hpyo:HPOK113_0932
ko:K06176	hpyo:HPOK113_0933
ko:K03799	hpyo:HPOK113_0934
ko:K01495	hpyo:HPOK113_0935
ko:K00795	hpyo:HPOK113_0936
ko:K03787	hpyo:HPOK113_0937
ko:K01737	hpyo:HPOK113_0939
ko:K10009	hpyo:HPOK113_0946
ko:K02424	hpyo:HPOK113_0947
ko:K01775	hpyo:HPOK113_0948
ko:K03310	hpyo:HPOK113_0949
ko:K00285	hpyo:HPOK113_0950
ko:K00783	hpyo:HPOK113_0956
ko:K01963	hpyo:HPOK113_0957
ko:K03743	hpyo:HPOK113_0959
ko:K13292	hpyo:HPOK113_0962
ko:K06179	hpyo:HPOK113_0963
ko:K02527	hpyo:HPOK113_0964
ko:K07164	hpyo:HPOK113_0965
ko:K01878	hpyo:HPOK113_0967
ko:K07126	hpyo:HPOK113_1058
ko:K01625	hpyo:HPOK113_1059
ko:K01690	hpyo:HPOK113_1060
ko:K00036	hpyo:HPOK113_1061
ko:K01057	hpyo:HPOK113_1062
ko:K00845	hpyo:HPOK113_1063
ko:K13979	hpyo:HPOK113_1064
ko:K00172	hpyo:HPOK113_1069
ko:K00171	hpyo:HPOK113_1070
ko:K00169	hpyo:HPOK113_1071
ko:K00170	hpyo:HPOK113_1072
ko:K01784	hpyo:HPOK113_1055
ko:K03118	hpyo:HPOK113_0393
ko:K03117	hpyo:HPOK113_0394
ko:K03551	hpyo:HPOK113_0395
ko:K00606	hpyo:HPOK113_0396
ko:K03610	hpyo:HPOK113_0401
ko:K02535	hpyo:HPOK113_0402
ko:K00872	hpyo:HPOK113_0404
ko:K02519	hpyo:HPOK113_0406
ko:K02834	hpyo:HPOK113_0407
ko:K09748	hpyo:HPOK113_0408
ko:K01895	hpyo:HPOK113_0409
ko:K04763	hpyo:HPOK113_0686
ko:K00567	hpyo:HPOK113_0687
ko:K07090	hpyo:HPOK113_0688
ko:K13016	hpyo:HPOK113_0689
ko:K04042	hpyo:HPOK113_0694
ko:K02419	hpyo:HPOK113_0695
ko:K16091	hpyo:HPOK113_0696
ko:K04759	hpyo:HPOK113_0697
ko:K07501	hpyo:HPOK113_0698
ko:K00626	hpyo:HPOK113_0702
ko:K01028	hpyo:HPOK113_0703
ko:K01029	hpyo:HPOK113_0704
ko:K02106	hpyo:HPOK113_0705
ko:K10856	hpyo:HPOK113_0709
ko:K00901	hpyo:HPOK113_0711
ko:K02469	hpyo:HPOK113_0712
ko:K03701	hpyo:HPOK113_0715
ko:K11754	hpyo:HPOK113_1483
ko:K03723	hpyo:HPOK113_1487
ko:K00411	hpyo:HPOK113_1488
ko:K00412	hpyo:HPOK113_1489
ko:K00413	hpyo:HPOK113_1490
ko:K03587	hpyo:HPOK113_1492
ko:K02408	hpyo:HPOK113_1493
ko:K02388	hpyo:HPOK113_1494
ko:K02387	hpyo:HPOK113_1495
ko:K03588	hpyo:HPOK113_1496
ko:K02016	hpyo:HPOK113_1497
ko:K03386	hpyo:HPOK113_1498
ko:K02073	hpyo:HPOK113_1499
ko:K05515	hpyo:HPOK113_1500
ko:K03978	hpyo:HPOK113_1502
ko:K09774	hpyo:HPOK113_1503
ko:K03270	hpyo:HPOK113_1505
ko:K03642	hpyo:HPOK113_1506
ko:K08307	hpyo:HPOK113_1507
ko:K03424	hpyo:HPOK113_1508
ko:K00793	hpyo:HPOK113_1509
ko:K04061	hpyo:HPOK113_1510
ko:K02071	hpyo:HPOK113_1511
ko:K07098	hpyo:HPOK113_0410
ko:K02400	hpyo:HPOK113_0413
ko:K02956	hpyo:HPOK113_0414
ko:K03786	hpyo:HPOK113_0416
ko:K01262	hpyo:HPOK113_0417
ko:K00950	hpyo:HPOK113_0418
ko:K02404	hpyo:HPOK113_0419
ko:K04562	hpyo:HPOK113_0421
ko:K02405	hpyo:HPOK113_0423
ko:K02416	hpyo:HPOK113_0424
ko:K02417	hpyo:HPOK113_0425
ko:K03711	hpyo:HPOK113_0428
ko:K07478	hpyo:HPOK113_0429
ko:K13640	hpyo:HPOK113_0430
ko:K05516	hpyo:HPOK113_0431
ko:K12506	hpyo:HPOK113_0435
ko:K00995	hpyo:HPOK113_0438
ko:K00076	hpyo:HPOK113_0440
ko:K01714	hpyo:HPOK113_0441
ko:K00937	hpyo:HPOK113_0444
ko:K00337	hpyo:HPOK113_1222
ko:K00338	hpyo:HPOK113_1223
ko:K00339	hpyo:HPOK113_1224
ko:K00340	hpyo:HPOK113_1225
ko:K00341	hpyo:HPOK113_1226
ko:K00342	hpyo:HPOK113_1227
ko:K00343	hpyo:HPOK113_1228
ko:K15778	hpyo:HPOK113_1230
ko:K01695	hpyo:HPOK113_1232
ko:K01696	hpyo:HPOK113_1233
ko:K13498	hpyo:HPOK113_1234
ko:K00766	hpyo:HPOK113_1235
ko:K01657	hpyo:HPOK113_1237
ko:K03707	hpyo:HPOK113_1241
ko:K03811	hpyo:HPOK113_1242
ko:K00949	hpyo:HPOK113_1243
ko:K02879	hpyo:HPOK113_1244
ko:K03040	hpyo:HPOK113_1245
ko:K02986	hpyo:HPOK113_1246
ko:K02948	hpyo:HPOK113_1247
ko:K02952	hpyo:HPOK113_1248
ko:K02518	hpyo:HPOK113_1249
ko:K01265	hpyo:HPOK113_1250
ko:K03076	hpyo:HPOK113_1251
ko:K00791	hpyo:HPOK113_1330
ko:K03279	hpyo:HPOK113_1331
ko:K12049	hpyo:HPOK113_0519
ko:K12048	hpyo:HPOK113_0520
ko:K02939	hpyo:HPOK113_0536
ko:K01419	hpyo:HPOK113_0537
ko:K03667	hpyo:HPOK113_0538
ko:K07126	hpyo:HPOK113_0541
ko:K12086	hpyo:HPOK113_0542
ko:K12088	hpyo:HPOK113_0543
ko:K12090	hpyo:HPOK113_0545
ko:K12091	hpyo:HPOK113_0547
ko:K12092	hpyo:HPOK113_0548
ko:K12093	hpyo:HPOK113_0549
ko:K12094	hpyo:HPOK113_0550
ko:K12095	hpyo:HPOK113_0551
ko:K12097	hpyo:HPOK113_0552
ko:K12098	hpyo:HPOK113_0553
ko:K09457	hpyo:HPOK113_1328
ko:K09710	hpyo:HPOK113_1329
ko:K03625	hpyo:HPOK113_0001
ko:K00794	hpyo:HPOK113_0002
ko:K01627	hpyo:HPOK113_0003
ko:K01673	hpyo:HPOK113_0004
ko:K01591	hpyo:HPOK113_0005
ko:K01918	hpyo:HPOK113_0006
ko:K15845	hpyo:HPOK113_0007
ko:K04077	hpyo:HPOK113_0008
ko:K04078	hpyo:HPOK113_0009
ko:K04485	hpyo:HPOK113_0233
ko:K12267	hpyo:HPOK113_0234
ko:K07090	hpyo:HPOK113_0235
ko:K03321	hpyo:HPOK113_0237
ko:K00979	hpyo:HPOK113_0239
ko:K03981	hpyo:HPOK113_0240
ko:K07126	hpyo:HPOK113_0245
ko:K01749	hpyo:HPOK113_0247
ko:K01881	hpyo:HPOK113_0248
ko:K02492	hpyo:HPOK113_0249
ko:K02523	hpyo:HPOK113_0250
ko:K04047	hpyo:HPOK113_0253
ko:K07710	hpyo:HPOK113_0254
ko:K02394	hpyo:HPOK113_0256
ko:K05592	hpyo:HPOK113_0257
ko:K13896	hpyo:HPOK113_0260
ko:K13895	hpyo:HPOK113_0261
ko:K12370	hpyo:HPOK113_0309
ko:K12371	hpyo:HPOK113_0310
ko:K12372	hpyo:HPOK113_0311
ko:K03979	hpyo:HPOK113_0312
ko:K01845	hpyo:HPOK113_0315
ko:K07226	hpyo:HPOK113_0325
ko:K01887	hpyo:HPOK113_0326
ko:K03116	hpyo:HPOK113_0327
ko:K00942	hpyo:HPOK113_0328
