ko:K01006	pav:TIA2EST22_10015
ko:K04077	pav:TIA2EST22_02240
ko:K03338	pav:TIA2EST22_02255
ko:K03337	pav:TIA2EST22_02265
ko:K03336	pav:TIA2EST22_02270
ko:K00963	pav:TIA2EST22_02435
ko:K03282	pav:TIA2EST22_02445
ko:K03750	pav:TIA2EST22_02465
ko:K03790	pav:TIA2EST22_02470
ko:K03637	pav:TIA2EST22_02485
ko:K03750	pav:TIA2EST22_02490
ko:K03639	pav:TIA2EST22_02505
ko:K02020	pav:TIA2EST22_02515
ko:K04042	pav:TIA2EST22_02650
ko:K00948	pav:TIA2EST22_02655
ko:K02897	pav:TIA2EST22_02675
ko:K01056	pav:TIA2EST22_02680
ko:K03723	pav:TIA2EST22_02710
ko:K01689	pav:TIA2EST22_02730
ko:K01524	pav:TIA2EST22_02745
ko:K03758	pav:TIA2EST22_02920
ko:K00611	pav:TIA2EST22_02930
ko:K00926	pav:TIA2EST22_02935
ko:K11065	pav:TIA2EST22_02960
ko:K00012	pav:TIA2EST22_02975
ko:K14645	pav:TIA2EST22_03015
ko:K00613	pav:TIA2EST22_03190
ko:K03762	pav:TIA2EST22_03200
ko:K00975	pav:TIA2EST22_03230
ko:K01714	pav:TIA2EST22_03240
ko:K03117	pav:TIA2EST22_03245
ko:K02259	pav:TIA2EST22_03280
ko:K03290	pav:TIA2EST22_03470
ko:K03644	pav:TIA2EST22_03485
ko:K03801	pav:TIA2EST22_03500
ko:K00658	pav:TIA2EST22_03505
ko:K01255	pav:TIA2EST22_03510
ko:K03969	pav:TIA2EST22_03530
ko:K02275	pav:TIA2EST22_03545
ko:K13993	pav:TIA2EST22_03735
ko:K00281	pav:TIA2EST22_03755
ko:K02437	pav:TIA2EST22_03760
ko:K00605	pav:TIA2EST22_03765
ko:K03924	pav:TIA2EST22_03785
ko:K03925	pav:TIA2EST22_03790
ko:K02230	pav:TIA2EST22_03995
ko:K02013	pav:TIA2EST22_04000
ko:K02015	pav:TIA2EST22_04005
ko:K02016	pav:TIA2EST22_04010
ko:K02313	pav:TIA2EST22_00005
ko:K02338	pav:TIA2EST22_00010
ko:K03629	pav:TIA2EST22_00020
ko:K01809	pav:TIA2EST22_00050
ko:K02470	pav:TIA2EST22_00055
ko:K02469	pav:TIA2EST22_00060
ko:K02529	pav:TIA2EST22_00075
ko:K10441	pav:TIA2EST22_00080
ko:K06726	pav:TIA2EST22_00100
ko:K02773	pav:TIA2EST22_00105
ko:K02774	pav:TIA2EST22_00115
ko:K00817	pav:TIA2EST22_00160
ko:K03705	pav:TIA2EST22_04555
ko:K03686	pav:TIA2EST22_04560
ko:K09761	pav:TIA2EST22_04565
ko:K03654	pav:TIA2EST22_04585
ko:K11939	pav:TIA2EST22_04595
ko:K00773	pav:TIA2EST22_04600
ko:K09125	pav:TIA2EST22_04625
ko:K07042	pav:TIA2EST22_04650
ko:K00806	pav:TIA2EST22_04680
ko:K03584	pav:TIA2EST22_04690
ko:K01880	pav:TIA2EST22_04715
ko:K00239	pav:TIA2EST22_04730
ko:K00240	pav:TIA2EST22_04735
ko:K01129	pav:TIA2EST22_04750
ko:K02069	pav:TIA2EST22_04755
ko:K00697	pav:TIA2EST22_04780
ko:K00368	pav:TIA2EST22_00450
ko:K04485	pav:TIA2EST22_01575
ko:K00318	pav:TIA2EST22_01595
ko:K00133	pav:TIA2EST22_01605
ko:K00286	pav:TIA2EST22_01610
ko:K13542	pav:TIA2EST22_01625
ko:K02435	pav:TIA2EST22_05575
ko:K02434	pav:TIA2EST22_05585
ko:K01609	pav:TIA2EST22_05615
ko:K01696	pav:TIA2EST22_05620
ko:K01695	pav:TIA2EST22_05625
ko:K00266	pav:TIA2EST22_05640
ko:K07106	pav:TIA2EST22_05665
ko:K01223	pav:TIA2EST22_05690
ko:K02760	pav:TIA2EST22_05695
ko:K02761	pav:TIA2EST22_05700
ko:K02759	pav:TIA2EST22_05705
ko:K02337	pav:TIA2EST22_05710
ko:K01087	pav:TIA2EST22_04785
ko:K01738	pav:TIA2EST22_04790
ko:K01902	pav:TIA2EST22_08615
ko:K00375	pav:TIA2EST22_04795
ko:K06215	pav:TIA2EST22_04800
ko:K08681	pav:TIA2EST22_04805
ko:K00833	pav:TIA2EST22_04810
ko:K01935	pav:TIA2EST22_04815
ko:K03924	pav:TIA2EST22_04850
ko:K06997	pav:TIA2EST22_04870
ko:K09458	pav:TIA2EST22_04880
ko:K02078	pav:TIA2EST22_04885
ko:K00648	pav:TIA2EST22_04890
ko:K00645	pav:TIA2EST22_04895
ko:K00077	pav:TIA2EST22_04900
ko:K00163	pav:TIA2EST22_04920
ko:K08281	pav:TIA2EST22_04940
ko:K02825	pav:TIA2EST22_04950
ko:K00609	pav:TIA2EST22_04955
ko:K01465	pav:TIA2EST22_04960
ko:K01956	pav:TIA2EST22_04965
ko:K01955	pav:TIA2EST22_04970
ko:K01591	pav:TIA2EST22_04985
ko:K00762	pav:TIA2EST22_04990
ko:K00013	pav:TIA2EST22_05720
ko:K00817	pav:TIA2EST22_05725
ko:K01693	pav:TIA2EST22_05730
ko:K02501	pav:TIA2EST22_05735
ko:K01159	pav:TIA2EST22_05750
ko:K02039	pav:TIA2EST22_01815
ko:K02773	pav:TIA2EST22_01835
ko:K02774	pav:TIA2EST22_01840
ko:K11738	pav:TIA2EST22_01850
ko:K00600	pav:TIA2EST22_01855
ko:K00874	pav:TIA2EST22_01860
ko:K01625	pav:TIA2EST22_01865
ko:K01876	pav:TIA2EST22_05840
ko:K07478	pav:TIA2EST22_05845
ko:K01872	pav:TIA2EST22_05855
ko:K07447	pav:TIA2EST22_05860
ko:K07082	pav:TIA2EST22_05865
ko:K00014	pav:TIA2EST22_05870
ko:K01736	pav:TIA2EST22_05875
ko:K00891	pav:TIA2EST22_05880
ko:K01735	pav:TIA2EST22_05885
ko:K07282	pav:TIA2EST22_05890
ko:K02356	pav:TIA2EST22_05905
ko:K03625	pav:TIA2EST22_05910
ko:K00942	pav:TIA2EST22_05920
ko:K03060	pav:TIA2EST22_05925
ko:K13038	pav:TIA2EST22_05930
ko:K00789	pav:TIA2EST22_05935
ko:K04066	pav:TIA2EST22_05940
ko:K00604	pav:TIA2EST22_05945
ko:K03500	pav:TIA2EST22_05950
ko:K01783	pav:TIA2EST22_05965
ko:K01421	pav:TIA2EST22_05985
ko:K03433	pav:TIA2EST22_06000
ko:K03432	pav:TIA2EST22_06005
ko:K07693	pav:TIA2EST22_02050
ko:K02227	pav:TIA2EST22_02060
ko:K02232	pav:TIA2EST22_02065
ko:K03394	pav:TIA2EST22_02070
ko:K00995	pav:TIA2EST22_05005
ko:K03565	pav:TIA2EST22_05035
ko:K04762	pav:TIA2EST22_01035
ko:K02343	pav:TIA2EST22_01045
ko:K09747	pav:TIA2EST22_01050
ko:K06168	pav:TIA2EST22_05055
ko:K00791	pav:TIA2EST22_05065
ko:K01778	pav:TIA2EST22_05070
ko:K03665	pav:TIA2EST22_05075
ko:K01356	pav:TIA2EST22_05085
ko:K07738	pav:TIA2EST22_05095
ko:K03578	pav:TIA2EST22_05115
ko:K10805	pav:TIA2EST22_05120
ko:K03086	pav:TIA2EST22_05130
ko:K02470	pav:TIA2EST22_05185
ko:K07791	pav:TIA2EST22_05190
ko:K02469	pav:TIA2EST22_05200
ko:K01681	pav:TIA2EST22_05280
ko:K01662	pav:TIA2EST22_05285
ko:K03684	pav:TIA2EST22_05290
ko:K07259	pav:TIA2EST22_01320
ko:K04075	pav:TIA2EST22_01325
ko:K00760	pav:TIA2EST22_01330
ko:K03798	pav:TIA2EST22_01335
ko:K05936	pav:TIA2EST22_02075
ko:K02015	pav:TIA2EST22_02100
ko:K02013	pav:TIA2EST22_02105
ko:K02016	pav:TIA2EST22_02110
ko:K07133	pav:TIA2EST22_02115
ko:K06042	pav:TIA2EST22_02120
ko:K02007	pav:TIA2EST22_02125
ko:K00868	pav:TIA2EST22_06095
ko:K00790	pav:TIA2EST22_06100
ko:K00382	pav:TIA2EST22_06105
ko:K15034	pav:TIA2EST22_06130
ko:K02114	pav:TIA2EST22_06165
ko:K02112	pav:TIA2EST22_06170
ko:K02115	pav:TIA2EST22_06175
ko:K02111	pav:TIA2EST22_06180
ko:K02113	pav:TIA2EST22_06185
ko:K02109	pav:TIA2EST22_06190
ko:K02110	pav:TIA2EST22_06195
ko:K02108	pav:TIA2EST22_06200
ko:K02493	pav:TIA2EST22_06225
ko:K02835	pav:TIA2EST22_06230
ko:K02909	pav:TIA2EST22_06235
ko:K00140	pav:TIA2EST22_02280
ko:K06605	pav:TIA2EST22_02305
ko:K03335	pav:TIA2EST22_02330
ko:K03704	pav:TIA2EST22_02375
ko:K06901	pav:TIA2EST22_02390
ko:K00831	pav:TIA2EST22_02405
ko:K01443	pav:TIA2EST22_02410
ko:K02034	pav:TIA2EST22_06345
ko:K06133	pav:TIA2EST22_06435
ko:K01495	pav:TIA2EST22_01340
ko:K13979	pav:TIA2EST22_05330
ko:K01868	pav:TIA2EST22_05345
ko:K00995	pav:TIA2EST22_05355
ko:K02437	pav:TIA2EST22_05380
ko:K08999	pav:TIA2EST22_05395
ko:K07058	pav:TIA2EST22_05405
ko:K05606	pav:TIA2EST22_05485
ko:K05838	pav:TIA2EST22_05495
ko:K00554	pav:TIA2EST22_07175
ko:K02860	pav:TIA2EST22_07180
ko:K06960	pav:TIA2EST22_07185
ko:K07164	pav:TIA2EST22_03295
ko:K02016	pav:TIA2EST22_03310
ko:K02015	pav:TIA2EST22_03315
ko:K02013	pav:TIA2EST22_03320
ko:K01265	pav:TIA2EST22_03350
ko:K01915	pav:TIA2EST22_03360
ko:K00982	pav:TIA2EST22_03370
ko:K01915	pav:TIA2EST22_03395
ko:K03710	pav:TIA2EST22_03420
ko:K08996	pav:TIA2EST22_03440
ko:K03655	pav:TIA2EST22_07355
ko:K02902	pav:TIA2EST22_07360
ko:K00156	pav:TIA2EST22_07370
ko:K00215	pav:TIA2EST22_07380
ko:K00962	pav:TIA2EST22_07385
ko:K02956	pav:TIA2EST22_07390
ko:K11753	pav:TIA2EST22_07395
ko:K02002	pav:TIA2EST22_07400
ko:K02001	pav:TIA2EST22_07405
ko:K02000	pav:TIA2EST22_07410
ko:K02003	pav:TIA2EST22_03565
ko:K02276	pav:TIA2EST22_03610
ko:K00373	pav:TIA2EST22_02535
ko:K00371	pav:TIA2EST22_02540
ko:K00370	pav:TIA2EST22_02545
ko:K02575	pav:TIA2EST22_02550
ko:K07306	pav:TIA2EST22_02580
ko:K03149	pav:TIA2EST22_02590
ko:K03154	pav:TIA2EST22_02595
ko:K07056	pav:TIA2EST22_02620
ko:K03424	pav:TIA2EST22_02625
ko:K02528	pav:TIA2EST22_02630
ko:K00919	pav:TIA2EST22_02635
ko:K11738	pav:TIA2EST22_06605
ko:K01867	pav:TIA2EST22_06610
ko:K07053	pav:TIA2EST22_06615
ko:K15371	pav:TIA2EST22_06620
ko:K03070	pav:TIA2EST22_06640
ko:K07735	pav:TIA2EST22_06670
ko:K01755	pav:TIA2EST22_06715
ko:K00930	pav:TIA2EST22_06725
ko:K00620	pav:TIA2EST22_06730
ko:K03308	pav:TIA2EST22_02795
ko:K03648	pav:TIA2EST22_02800
ko:K03624	pav:TIA2EST22_02815
ko:K06888	pav:TIA2EST22_02830
ko:K11068	pav:TIA2EST22_02840
ko:K07175	pav:TIA2EST22_02845
ko:K03602	pav:TIA2EST22_02855
ko:K03601	pav:TIA2EST22_02860
ko:K03527	pav:TIA2EST22_02870
ko:K09760	pav:TIA2EST22_02875
ko:K06942	pav:TIA2EST22_02885
ko:K00655	pav:TIA2EST22_03670
ko:K01626	pav:TIA2EST22_03680
ko:K00297	pav:TIA2EST22_03715
ko:K00262	pav:TIA2EST22_07590
ko:K06941	pav:TIA2EST22_07595
ko:K00981	pav:TIA2EST22_07610
ko:K02838	pav:TIA2EST22_07615
ko:K09903	pav:TIA2EST22_07620
ko:K02357	pav:TIA2EST22_07625
ko:K02967	pav:TIA2EST22_07630
ko:K03733	pav:TIA2EST22_07635
ko:K01462	pav:TIA2EST22_07650
ko:K14347	pav:TIA2EST22_07660
ko:K03438	pav:TIA2EST22_03795
ko:K03587	pav:TIA2EST22_03805
ko:K01928	pav:TIA2EST22_03810
ko:K01929	pav:TIA2EST22_03815
ko:K01000	pav:TIA2EST22_03820
ko:K01925	pav:TIA2EST22_03825
ko:K03588	pav:TIA2EST22_03830
ko:K02563	pav:TIA2EST22_03835
ko:K01924	pav:TIA2EST22_03840
ko:K03589	pav:TIA2EST22_03845
ko:K03531	pav:TIA2EST22_03850
ko:K05810	pav:TIA2EST22_03855
ko:K09772	pav:TIA2EST22_03860
ko:K02221	pav:TIA2EST22_03865
ko:K06204	pav:TIA2EST22_03875
ko:K03101	pav:TIA2EST22_03880
ko:K06180	pav:TIA2EST22_03885
ko:K00873	pav:TIA2EST22_03890
ko:K06199	pav:TIA2EST22_03895
ko:K06199	pav:TIA2EST22_03900
ko:K02945	pav:TIA2EST22_03935
ko:K02016	pav:TIA2EST22_03945
ko:K02015	pav:TIA2EST22_03950
ko:K02013	pav:TIA2EST22_03955
ko:K00859	pav:TIA2EST22_03970
ko:K01653	pav:TIA2EST22_06855
ko:K02503	pav:TIA2EST22_06865
ko:K02500	pav:TIA2EST22_06870
ko:K03118	pav:TIA2EST22_06880
ko:K03116	pav:TIA2EST22_06885
ko:K06178	pav:TIA2EST22_06915
ko:K01937	pav:TIA2EST22_06940
ko:K03631	pav:TIA2EST22_06950
ko:K00858	pav:TIA2EST22_06955
ko:K06442	pav:TIA2EST22_06960
ko:K02029	pav:TIA2EST22_03030
ko:K01818	pav:TIA2EST22_03070
ko:K01818	pav:TIA2EST22_03075
ko:K02003	pav:TIA2EST22_03090
ko:K13821	pav:TIA2EST22_03135
ko:K07101	pav:TIA2EST22_03150
ko:K03823	pav:TIA2EST22_03155
ko:K03544	pav:TIA2EST22_07875
ko:K01358	pav:TIA2EST22_07880
ko:K01358	pav:TIA2EST22_07885
ko:K03545	pav:TIA2EST22_07895
ko:K03702	pav:TIA2EST22_04045
ko:K03701	pav:TIA2EST22_04065
ko:K03703	pav:TIA2EST22_04085
ko:K06958	pav:TIA2EST22_04090
ko:K00134	pav:TIA2EST22_04105
ko:K00927	pav:TIA2EST22_04110
ko:K01803	pav:TIA2EST22_04115
ko:K03075	pav:TIA2EST22_04120
ko:K11754	pav:TIA2EST22_04130
ko:K00940	pav:TIA2EST22_04140
ko:K02888	pav:TIA2EST22_04160
ko:K02899	pav:TIA2EST22_04165
ko:K03979	pav:TIA2EST22_04185
ko:K00931	pav:TIA2EST22_04190
ko:K00147	pav:TIA2EST22_04195
ko:K00969	pav:TIA2EST22_04205
ko:K09710	pav:TIA2EST22_04210
ko:K14161	pav:TIA2EST22_08100
ko:K02003	pav:TIA2EST22_04300
ko:K03078	pav:TIA2EST22_04385
ko:K00874	pav:TIA2EST22_04400
ko:K08369	pav:TIA2EST22_04405
ko:K00878	pav:TIA2EST22_04410
ko:K00788	pav:TIA2EST22_04415
ko:K01869	pav:TIA2EST22_04445
ko:K02237	pav:TIA2EST22_04450
ko:K02340	pav:TIA2EST22_04465
ko:K00324	pav:TIA2EST22_03160
ko:K00325	pav:TIA2EST22_03165
ko:K04096	pav:TIA2EST22_07120
ko:K07391	pav:TIA2EST22_07125
ko:K07460	pav:TIA2EST22_07130
ko:K03470	pav:TIA2EST22_07140
ko:K03100	pav:TIA2EST22_07145
ko:K02884	pav:TIA2EST22_07150
ko:K00240	pav:TIA2EST22_07160
ko:K00239	pav:TIA2EST22_07165
ko:K02968	pav:TIA2EST22_04470
ko:K03596	pav:TIA2EST22_04480
ko:K02551	pav:TIA2EST22_04490
ko:K01911	pav:TIA2EST22_04505
ko:K01661	pav:TIA2EST22_04510
ko:K01589	pav:TIA2EST22_08360
ko:K03524	pav:TIA2EST22_08375
ko:K01903	pav:TIA2EST22_08620
ko:K03657	pav:TIA2EST22_08625
ko:K02073	pav:TIA2EST22_08630
ko:K02071	pav:TIA2EST22_08635
ko:K02072	pav:TIA2EST22_08640
ko:K06131	pav:TIA2EST22_08645
ko:K01951	pav:TIA2EST22_08660
ko:K00640	pav:TIA2EST22_08665
ko:K04092	pav:TIA2EST22_08670
ko:K03310	pav:TIA2EST22_08690
ko:K04077	pav:TIA2EST22_08700
ko:K04078	pav:TIA2EST22_08705
ko:K02013	pav:TIA2EST22_08730
ko:K02015	pav:TIA2EST22_08735
ko:K02016	pav:TIA2EST22_08740
ko:K03789	pav:TIA2EST22_08755
ko:K06925	pav:TIA2EST22_08765
ko:K02003	pav:TIA2EST22_08785
ko:K00997	pav:TIA2EST22_08800
ko:K00820	pav:TIA2EST22_08805
ko:K03431	pav:TIA2EST22_08835
ko:K02996	pav:TIA2EST22_08840
ko:K02871	pav:TIA2EST22_08845
ko:K03439	pav:TIA2EST22_08870
ko:K06173	pav:TIA2EST22_08875
ko:K04564	pav:TIA2EST22_08915
ko:K08368	pav:TIA2EST22_08935
ko:K02879	pav:TIA2EST22_08950
ko:K03040	pav:TIA2EST22_08955
ko:K02986	pav:TIA2EST22_08960
ko:K02948	pav:TIA2EST22_08965
ko:K02952	pav:TIA2EST22_08970
ko:K02919	pav:TIA2EST22_08980
ko:K02518	pav:TIA2EST22_08985
ko:K01265	pav:TIA2EST22_08990
ko:K03076	pav:TIA2EST22_09000
ko:K01126	pav:TIA2EST22_09015
ko:K02876	pav:TIA2EST22_09030
ko:K02907	pav:TIA2EST22_09035
ko:K02988	pav:TIA2EST22_09040
ko:K01933	pav:TIA2EST22_09640
ko:K00764	pav:TIA2EST22_09645
ko:K04561	pav:TIA2EST22_09670
ko:K13950	pav:TIA2EST22_09675
ko:K01952	pav:TIA2EST22_09680
ko:K02881	pav:TIA2EST22_09045
ko:K01256	pav:TIA2EST22_09690
ko:K01952	pav:TIA2EST22_09725
ko:K01923	pav:TIA2EST22_09730
ko:K03387	pav:TIA2EST22_09740
ko:K04761	pav:TIA2EST22_09745
ko:K01756	pav:TIA2EST22_09750
ko:K01945	pav:TIA2EST22_09755
ko:K01939	pav:TIA2EST22_09760
ko:K01714	pav:TIA2EST22_09780
ko:K03290	pav:TIA2EST22_09790
ko:K00945	pav:TIA2EST22_06015
ko:K03977	pav:TIA2EST22_06020
ko:K02429	pav:TIA2EST22_06035
ko:K03820	pav:TIA2EST22_06075
ko:K01126	pav:TIA2EST22_06090
ko:K09858	pav:TIA2EST22_09875
ko:K03695	pav:TIA2EST22_09890
ko:K02933	pav:TIA2EST22_09050
ko:K02994	pav:TIA2EST22_09055
ko:K02954	pav:TIA2EST22_09060
ko:K02931	pav:TIA2EST22_09065
ko:K02895	pav:TIA2EST22_09070
ko:K02874	pav:TIA2EST22_09075
ko:K02961	pav:TIA2EST22_09080
ko:K02904	pav:TIA2EST22_09085
ko:K02878	pav:TIA2EST22_09090
ko:K02982	pav:TIA2EST22_09095
ko:K02890	pav:TIA2EST22_09100
ko:K02965	pav:TIA2EST22_09105
ko:K02886	pav:TIA2EST22_09110
ko:K02892	pav:TIA2EST22_09115
ko:K01667	pav:TIA2EST22_05315
ko:K02906	pav:TIA2EST22_09125
ko:K02946	pav:TIA2EST22_09130
ko:K01886	pav:TIA2EST22_09150
ko:K02358	pav:TIA2EST22_09170
ko:K02355	pav:TIA2EST22_09185
ko:K02992	pav:TIA2EST22_09190
ko:K02950	pav:TIA2EST22_09195
ko:K03046	pav:TIA2EST22_09215
ko:K03043	pav:TIA2EST22_09220
ko:K03311	pav:TIA2EST22_09895
ko:K01623	pav:TIA2EST22_09905
ko:K03322	pav:TIA2EST22_09915
ko:K02003	pav:TIA2EST22_09930
ko:K07085	pav:TIA2EST22_09950
ko:K03686	pav:TIA2EST22_09970
ko:K03687	pav:TIA2EST22_09975
ko:K04043	pav:TIA2EST22_09980
ko:K03306	pav:TIA2EST22_09990
ko:K09773	pav:TIA2EST22_10020
ko:K01079	pav:TIA2EST22_10030
ko:K01792	pav:TIA2EST22_10035
ko:K03628	pav:TIA2EST22_06240
ko:K00872	pav:TIA2EST22_06245
ko:K02935	pav:TIA2EST22_09225
ko:K01733	pav:TIA2EST22_06250
ko:K00003	pav:TIA2EST22_06255
ko:K01586	pav:TIA2EST22_06260
ko:K00164	pav:TIA2EST22_06270
ko:K03088	pav:TIA2EST22_06300
ko:K00800	pav:TIA2EST22_06310
ko:K06949	pav:TIA2EST22_06315
ko:K02864	pav:TIA2EST22_09230
ko:K02863	pav:TIA2EST22_09235
ko:K02867	pav:TIA2EST22_09240
ko:K02601	pav:TIA2EST22_09245
ko:K00075	pav:TIA2EST22_09260
ko:K02913	pav:TIA2EST22_09275
ko:K01142	pav:TIA2EST22_09280
ko:K00338	pav:TIA2EST22_09295
ko:K00332	pav:TIA2EST22_09300
ko:K00174	pav:TIA2EST22_09310
ko:K00175	pav:TIA2EST22_09315
ko:K05343	pav:TIA2EST22_05530
ko:K04487	pav:TIA2EST22_05545
ko:K00566	pav:TIA2EST22_05550
ko:K01644	pav:TIA2EST22_09385
ko:K00343	pav:TIA2EST22_09400
ko:K00342	pav:TIA2EST22_09405
ko:K00341	pav:TIA2EST22_09410
ko:K00340	pav:TIA2EST22_09415
ko:K00339	pav:TIA2EST22_09420
ko:K00338	pav:TIA2EST22_09425
ko:K00337	pav:TIA2EST22_09430
ko:K00334	pav:TIA2EST22_09445
ko:K00333	pav:TIA2EST22_09450
ko:K00332	pav:TIA2EST22_09455
ko:K00331	pav:TIA2EST22_09460
ko:K00330	pav:TIA2EST22_09465
ko:K03183	pav:TIA2EST22_09495
ko:K02548	pav:TIA2EST22_09525
ko:K05878	pav:TIA2EST22_09535
ko:K05879	pav:TIA2EST22_09540
ko:K05881	pav:TIA2EST22_09545
ko:K03550	pav:TIA2EST22_05755
ko:K03551	pav:TIA2EST22_05760
ko:K03210	pav:TIA2EST22_05765
ko:K03072	pav:TIA2EST22_05770
ko:K03074	pav:TIA2EST22_05775
ko:K00759	pav:TIA2EST22_05780
ko:K01892	pav:TIA2EST22_05810
ko:K00627	pav:TIA2EST22_10155
ko:K00162	pav:TIA2EST22_10160
ko:K00161	pav:TIA2EST22_10165
ko:K00231	pav:TIA2EST22_10170
ko:K13051	pav:TIA2EST22_10290
ko:K13051	pav:TIA2EST22_10295
ko:K09780	pav:TIA2EST22_10310
ko:K07043	pav:TIA2EST22_06530
ko:K03657	pav:TIA2EST22_06545
ko:K03583	pav:TIA2EST22_06550
ko:K03582	pav:TIA2EST22_06555
ko:K03581	pav:TIA2EST22_06560
ko:K03426	pav:TIA2EST22_06565
ko:K03657	pav:TIA2EST22_06570
ko:K07089	pav:TIA2EST22_10475
ko:K03980	pav:TIA2EST22_10485
ko:K00928	pav:TIA2EST22_10490
ko:K05520	pav:TIA2EST22_10505
ko:K02909	pav:TIA2EST22_10535
ko:K02902	pav:TIA2EST22_10540
ko:K02913	pav:TIA2EST22_10545
ko:K02954	pav:TIA2EST22_10550
ko:K02911	pav:TIA2EST22_10555
ko:K00145	pav:TIA2EST22_06735
