ko:K01985	smup:SMPSPU_094
ko:K09792	smup:SMPSPU_161
ko:K00406	smup:SMPSPU_162
ko:K15862	smup:SMPSPU_163
ko:K17686	smup:SMPSPU_164
ko:K03977	smup:SMPSPU_165
ko:K03644	smup:SMPSPU_166
ko:K02914	smup:SMPSPU_167
ko:K02356	smup:SMPSPU_168
ko:K01902	smup:SMPSPU_169
ko:K00812	smup:SMPSPU_226
ko:K01265	smup:SMPSPU_227
ko:K02911	smup:SMPSPU_228
ko:K00162	smup:SMPSPU_229
ko:K01624	smup:SMPSPU_230
ko:K03086	smup:SMPSPU_232
ko:K00962	smup:SMPSPU_233
ko:K02956	smup:SMPSPU_234
ko:K03183	smup:SMPSPU_235
ko:K02909	smup:SMPSPU_236
ko:K02950	smup:SMPSPU_237
ko:K02992	smup:SMPSPU_238
ko:K02355	smup:SMPSPU_239
ko:K02946	smup:SMPSPU_240
ko:K02906	smup:SMPSPU_241
ko:K02926	smup:SMPSPU_242
ko:K02892	smup:SMPSPU_243
ko:K02886	smup:SMPSPU_244
ko:K02965	smup:SMPSPU_245
ko:K02890	smup:SMPSPU_246
ko:K02982	smup:SMPSPU_247
ko:K02878	smup:SMPSPU_248
ko:K02961	smup:SMPSPU_249
ko:K02874	smup:SMPSPU_250
ko:K02895	smup:SMPSPU_251
ko:K02931	smup:SMPSPU_252
ko:K02954	smup:SMPSPU_253
ko:K02994	smup:SMPSPU_254
ko:K02933	smup:SMPSPU_255
ko:K02881	smup:SMPSPU_256
ko:K02988	smup:SMPSPU_257
ko:K02876	smup:SMPSPU_258
ko:K03076	smup:SMPSPU_259
ko:K02518	smup:SMPSPU_260
ko:K02919	smup:SMPSPU_261
ko:K02952	smup:SMPSPU_262
ko:K02948	smup:SMPSPU_263
ko:K02986	smup:SMPSPU_264
ko:K03040	smup:SMPSPU_265
ko:K02879	smup:SMPSPU_266
ko:K01778	smup:SMPSPU_267
ko:K03438	smup:SMPSPU_268
ko:K00294	smup:SMPSPU_269
ko:K03572	smup:SMPSPU_270
ko:K01755	smup:SMPSPU_271
ko:K04567	smup:SMPSPU_272
ko:K00161	smup:SMPSPU_274
ko:K00627	smup:SMPSPU_275
ko:K00850	smup:SMPSPU_277
ko:K00134	smup:SMPSPU_278
ko:K02340	smup:SMPSPU_280
ko:K00384	smup:SMPSPU_281
ko:K14224	smup:SMPSPU_219
ko:K14223	smup:SMPSPU_222
ko:K01980	smup:SMPSPU_093
ko:K01977	smup:SMPSPU_090
ko:K14220	smup:SMPSPU_023
ko:K14237	smup:SMPSPU_127
ko:K00821	smup:SMPSPU_131
ko:K02316	smup:SMPSPU_044
ko:K02314	smup:SMPSPU_121
ko:K14229	smup:SMPSPU_138
ko:K14232	smup:SMPSPU_158
ko:K14230	smup:SMPSPU_020
ko:K14219	smup:SMPSPU_157
ko:K03595	smup:SMPSPU_054
