ko:K06001	deg:DehalGT_0871
ko:K02952	deg:DehalGT_0439
ko:K02948	deg:DehalGT_0440
ko:K02986	deg:DehalGT_0441
ko:K03040	deg:DehalGT_0442
ko:K02879	deg:DehalGT_0443
ko:K06173	deg:DehalGT_0444
ko:K02871	deg:DehalGT_0445
ko:K02996	deg:DehalGT_0446
ko:K00789	deg:DehalGT_0451
ko:K01251	deg:DehalGT_0452
ko:K07028	deg:DehalGT_0453
ko:K00772	deg:DehalGT_0456
ko:K08963	deg:DehalGT_0457
ko:K03592	deg:DehalGT_0465
ko:K03568	deg:DehalGT_0466
ko:K01609	deg:DehalGT_1183
ko:K01817	deg:DehalGT_1184
ko:K03856	deg:DehalGT_1185
ko:K01696	deg:DehalGT_1186
ko:K01695	deg:DehalGT_1187
ko:K02034	deg:DehalGT_1196
ko:K02033	deg:DehalGT_1197
ko:K02035	deg:DehalGT_1198
ko:K06199	deg:DehalGT_1201
ko:K04759	deg:DehalGT_1206
ko:K04758	deg:DehalGT_1207
ko:K03664	deg:DehalGT_1209
ko:K03497	deg:DehalGT_1215
ko:K03497	deg:DehalGT_1230
ko:K03431	deg:DehalGT_0467
ko:K04042	deg:DehalGT_0468
ko:K00973	deg:DehalGT_0469
ko:K00820	deg:DehalGT_0470
ko:K06910	deg:DehalGT_0471
ko:K01586	deg:DehalGT_0473
ko:K02341	deg:DehalGT_0474
ko:K02939	deg:DehalGT_0480
ko:K00384	deg:DehalGT_0481
ko:K03621	deg:DehalGT_0482
ko:K03701	deg:DehalGT_0485
ko:K03086	deg:DehalGT_0489
ko:K01129	deg:DehalGT_0491
ko:K08999	deg:DehalGT_0493
ko:K02108	deg:DehalGT_0495
ko:K02110	deg:DehalGT_0496
ko:K02109	deg:DehalGT_0497
ko:K02113	deg:DehalGT_0498
ko:K02111	deg:DehalGT_0499
ko:K02115	deg:DehalGT_0500
ko:K02112	deg:DehalGT_0501
ko:K02114	deg:DehalGT_0502
ko:K02860	deg:DehalGT_0503
ko:K06960	deg:DehalGT_0504
ko:K02959	deg:DehalGT_0505
ko:K05982	deg:DehalGT_0506
ko:K02836	deg:DehalGT_0507
ko:K03630	deg:DehalGT_0509
ko:K01875	deg:DehalGT_0513
ko:K04567	deg:DehalGT_0514
ko:K03584	deg:DehalGT_0516
ko:K03284	deg:DehalGT_0518
ko:K06187	deg:DehalGT_0519
ko:K09747	deg:DehalGT_0520
ko:K03497	deg:DehalGT_1243
ko:K02343	deg:DehalGT_0521
ko:K00134	deg:DehalGT_0527
ko:K01689	deg:DehalGT_0530
ko:K06966	deg:DehalGT_0531
ko:K01056	deg:DehalGT_0532
ko:K01972	deg:DehalGT_0533
ko:K08681	deg:DehalGT_0535
ko:K00058	deg:DehalGT_0536
ko:K01866	deg:DehalGT_0538
ko:K11753	deg:DehalGT_0539
ko:K03043	deg:DehalGT_0540
ko:K03046	deg:DehalGT_0541
ko:K03551	deg:DehalGT_0542
ko:K09765	deg:DehalGT_0543
ko:K03789	deg:DehalGT_0544
ko:K07739	deg:DehalGT_0548
ko:K00442	deg:DehalGT_0551
ko:K06196	deg:DehalGT_0554
ko:K01921	deg:DehalGT_0564
ko:K03711	deg:DehalGT_0565
ko:K09815	deg:DehalGT_0566
ko:K09817	deg:DehalGT_0567
ko:K09816	deg:DehalGT_0568
ko:K03531	deg:DehalGT_0570
ko:K03590	deg:DehalGT_0571
ko:K01915	deg:DehalGT_1293
ko:K07814	deg:DehalGT_1324
ko:K07034	deg:DehalGT_1328
ko:K14234	deg:DehalGT_R0030
ko:K14221	deg:DehalGT_R0035
ko:K08591	deg:DehalGT_0008
ko:K14233	deg:DehalGT_R0009
ko:K02013	deg:DehalGT_0698
ko:K14225	deg:DehalGT_R0024
ko:K14219	deg:DehalGT_R0026
ko:K14233	deg:DehalGT_R0011
ko:K07045	deg:DehalGT_1165
ko:K14228	deg:DehalGT_R0044
ko:K14219	deg:DehalGT_R0045
ko:K14237	deg:DehalGT_R0036
ko:K14232	deg:DehalGT_R0051
ko:K14232	deg:DehalGT_R0013
ko:K14236	deg:DehalGT_R0029
ko:K02614	deg:DehalGT_0782
ko:K14224	deg:DehalGT_R0050
ko:K10907	deg:DehalGT_1078
ko:K01843	deg:DehalGT_0563
ko:K01980	deg:DehalGT_R0001
ko:K03183	deg:DehalGT_1386
ko:K14225	deg:DehalGT_R0014
ko:K14223	deg:DehalGT_R0021
ko:K14228	deg:DehalGT_R0017
ko:K14222	deg:DehalGT_R0042
ko:K14228	deg:DehalGT_R0040
ko:K14230	deg:DehalGT_R0008
ko:K14237	deg:DehalGT_R0004
ko:K14219	deg:DehalGT_R0049
ko:K00065	deg:DehalGT_0627
ko:K05576	deg:DehalGT_0775
ko:K14231	deg:DehalGT_R0019
ko:K14218	deg:DehalGT_R0048
ko:K14234	deg:DehalGT_R0007
ko:K14652	deg:DehalGT_0930
ko:K14086	deg:DehalGT_0739
ko:K14091	deg:DehalGT_0747
ko:K04518	deg:DehalGT_1354
ko:K06147	deg:DehalGT_1333
ko:K01802	deg:DehalGT_0979
ko:K01978	deg:DehalGT_R0006
ko:K14227	deg:DehalGT_R0031
ko:K14219	deg:DehalGT_R0012
ko:K14218	deg:DehalGT_R0005
ko:K14237	deg:DehalGT_R0046
ko:K14230	deg:DehalGT_R0037
ko:K14230	deg:DehalGT_R0015
ko:K01977	deg:DehalGT_R0032
ko:K04517	deg:DehalGT_0401
ko:K14233	deg:DehalGT_R0038
ko:K14223	deg:DehalGT_R0034
ko:K14226	deg:DehalGT_R0027
ko:K14170	deg:DehalGT_0402
ko:K01985	deg:DehalGT_R0002
ko:K14475	deg:DehalGT_1171
ko:K15521	deg:DehalGT_0843
ko:K15635	deg:DehalGT_0634
ko:K02226	deg:DehalGT_0590
ko:K15635	deg:DehalGT_1428
ko:K14415	deg:DehalGT_0703
ko:K15916	deg:DehalGT_0448
ko:K02428	deg:DehalGT_0966
ko:K02594	deg:DehalGT_1408
ko:K15342	deg:DehalGT_1250
ko:K07130	deg:DehalGT_0575
ko:K02032	deg:DehalGT_0893
ko:K15987	deg:DehalGT_0653
ko:K10716	deg:DehalGT_0351
ko:K15987	deg:DehalGT_0671
ko:K02032	deg:DehalGT_1194
ko:K02031	deg:DehalGT_1195
ko:K07343	deg:DehalGT_0984
ko:K13638	deg:DehalGT_1332
ko:K07159	deg:DehalGT_0464
ko:K07159	deg:DehalGT_0761
ko:K07667	deg:DehalGT_0238
ko:K14138	deg:DehalGT_0597
ko:K19124	deg:DehalGT_1253
ko:K02483	deg:DehalGT_0164
ko:K08591	deg:DehalGT_0809
ko:K00974	deg:DehalGT_0352
ko:K07730	deg:DehalGT_1202
ko:K07502	deg:DehalGT_1122
ko:K06384	deg:DehalGT_0954
ko:K15581	deg:DehalGT_0896
ko:K15582	deg:DehalGT_0895
ko:K14229	deg:DehalGT_R0023
ko:K02031	deg:DehalGT_0894
ko:K15580	deg:DehalGT_0897
ko:K07012	deg:DehalGT_1256
ko:K17828	deg:DehalGT_1090
ko:K01992	deg:DehalGT_1076
ko:K00196	deg:DehalGT_0916
ko:K00184	deg:DehalGT_0134
ko:K02028	deg:DehalGT_0360
ko:K02029	deg:DehalGT_0361
ko:K00336	deg:DehalGT_0175
ko:K15035	deg:DehalGT_R0047
ko:K00185	deg:DehalGT_0133
ko:K02030	deg:DehalGT_0362
ko:K14088	deg:DehalGT_0741
ko:K15580	deg:DehalGT_0510
ko:K01704	deg:DehalGT_0390
ko:K01703	deg:DehalGT_0389
ko:K01992	deg:DehalGT_0144
ko:K01990	deg:DehalGT_0146
