ko:K07050	bsw:IY71_05230
ko:K00978	bsw:IY71_13280
ko:K00864	bsw:IY71_13300
ko:K08224	bsw:IY71_13305
ko:K07305	bsw:IY71_13315
ko:K00626	bsw:IY71_13325
ko:K01895	bsw:IY71_13335
ko:K00058	bsw:IY71_13350
ko:K01462	bsw:IY71_13355
ko:K09781	bsw:IY71_13365
ko:K07112	bsw:IY71_13375
ko:K07112	bsw:IY71_13380
ko:K01993	bsw:IY71_13400
ko:K01990	bsw:IY71_13410
ko:K02050	bsw:IY71_13425
ko:K02049	bsw:IY71_13430
ko:K02433	bsw:IY71_14040
ko:K02435	bsw:IY71_14045
ko:K07447	bsw:IY71_14060
ko:K09456	bsw:IY71_14065
ko:K00609	bsw:IY71_14070
ko:K01465	bsw:IY71_14075
ko:K08591	bsw:IY71_14080
ko:K04096	bsw:IY71_14085
ko:K03168	bsw:IY71_14095
ko:K12573	bsw:IY71_14100
ko:K02913	bsw:IY71_14120
ko:K02488	bsw:IY71_14125
ko:K11443	bsw:IY71_14130
ko:K06140	bsw:IY71_14140
ko:K02346	bsw:IY71_14145
ko:K02342	bsw:IY71_14185
ko:K00285	bsw:IY71_14205
ko:K02030	bsw:IY71_14210
ko:K02030	bsw:IY71_14215
ko:K01032	bsw:IY71_14240
ko:K01031	bsw:IY71_14245
ko:K02624	bsw:IY71_14250
ko:K00481	bsw:IY71_14260
ko:K02623	bsw:IY71_14265
ko:K01055	bsw:IY71_14270
ko:K01607	bsw:IY71_14275
ko:K00449	bsw:IY71_14280
ko:K00448	bsw:IY71_14285
ko:K01857	bsw:IY71_14290
ko:K01999	bsw:IY71_14295
ko:K01997	bsw:IY71_14300
ko:K01998	bsw:IY71_14305
ko:K01995	bsw:IY71_14310
ko:K01486	bsw:IY71_14320
ko:K01273	bsw:IY71_14325
ko:K05813	bsw:IY71_14330
ko:K13821	bsw:IY71_14635
ko:K03719	bsw:IY71_14640
ko:K00281	bsw:IY71_14645
ko:K02437	bsw:IY71_14650
ko:K00605	bsw:IY71_14655
ko:K01915	bsw:IY71_14680
ko:K02002	bsw:IY71_14705
ko:K02001	bsw:IY71_14710
ko:K02000	bsw:IY71_14715
ko:K10112	bsw:IY71_14740
ko:K02027	bsw:IY71_14750
ko:K02025	bsw:IY71_14755
ko:K02026	bsw:IY71_14760
ko:K02013	bsw:IY71_14775
ko:K02015	bsw:IY71_14780
ko:K02016	bsw:IY71_14785
ko:K06075	bsw:IY71_14805
ko:K09761	bsw:IY71_14810
ko:K01919	bsw:IY71_14815
ko:K03601	bsw:IY71_14820
ko:K01915	bsw:IY71_14840
ko:K09471	bsw:IY71_14850
ko:K00059	bsw:IY71_14890
ko:K00036	bsw:IY71_14895
ko:K01057	bsw:IY71_14900
ko:K01491	bsw:IY71_14910
ko:K00286	bsw:IY71_14915
ko:K01977	bsw:IY71_09140
ko:K01977	bsw:IY71_16610
ko:K01980	bsw:IY71_09125
ko:K17202	bsw:IY71_15295
ko:K17203	bsw:IY71_15300
ko:K17204	bsw:IY71_15305
ko:K00862	bsw:IY71_15315
ko:K01624	bsw:IY71_15350
ko:K03841	bsw:IY71_15355
ko:K06207	bsw:IY71_15370
ko:K06213	bsw:IY71_15375
ko:K01284	bsw:IY71_15380
ko:K01704	bsw:IY71_15400
ko:K00133	bsw:IY71_15420
ko:K10778	bsw:IY71_15435
ko:K00052	bsw:IY71_15440
ko:K09791	bsw:IY71_15445
ko:K07157	bsw:IY71_15450
ko:K05838	bsw:IY71_15455
ko:K06886	bsw:IY71_15475
ko:K01476	bsw:IY71_15485
ko:K10680	bsw:IY71_15495
ko:K06959	bsw:IY71_15505
ko:K00128	bsw:IY71_15525
ko:K01433	bsw:IY71_15530
ko:K01687	bsw:IY71_15695
ko:K01652	bsw:IY71_15725
ko:K01266	bsw:IY71_15735
ko:K09969	bsw:IY71_15740
ko:K01999	bsw:IY71_15765
ko:K01995	bsw:IY71_15770
ko:K01996	bsw:IY71_15775
ko:K01997	bsw:IY71_15780
ko:K01998	bsw:IY71_15785
ko:K02073	bsw:IY71_15800
ko:K02071	bsw:IY71_15805
ko:K02072	bsw:IY71_15810
ko:K02970	bsw:IY71_15825
ko:K01439	bsw:IY71_16145
ko:K06173	bsw:IY71_16155
ko:K00604	bsw:IY71_16160
ko:K01462	bsw:IY71_16165
ko:K09760	bsw:IY71_16170
ko:K07401	bsw:IY71_16175
ko:K07461	bsw:IY71_16180
ko:K03596	bsw:IY71_16190
ko:K00329	bsw:IY71_16195
ko:K00356	bsw:IY71_16195
ko:K06153	bsw:IY71_16200
ko:K00799	bsw:IY71_16205
ko:K07261	bsw:IY71_16220
ko:K01734	bsw:IY71_16225
ko:K00845	bsw:IY71_16230
ko:K06147	bsw:IY71_16235
ko:K00215	bsw:IY71_16240
ko:K01834	bsw:IY71_16245
ko:K04719	bsw:IY71_16260
ko:K00154	bsw:IY71_16280
ko:K06131	bsw:IY71_16290
ko:K01845	bsw:IY71_16525
ko:K09815	bsw:IY71_16630
ko:K09817	bsw:IY71_16635
ko:K09816	bsw:IY71_16640
ko:K09823	bsw:IY71_16645
ko:K02421	bsw:IY71_16675
ko:K02400	bsw:IY71_16680
ko:K02420	bsw:IY71_16685
ko:K02389	bsw:IY71_16690
ko:K06601	bsw:IY71_16695
ko:K06602	bsw:IY71_16700
ko:K02397	bsw:IY71_16705
ko:K02396	bsw:IY71_16710
ko:K02390	bsw:IY71_16715
ko:K10565	bsw:IY71_16730
ko:K10564	bsw:IY71_16740
ko:K02557	bsw:IY71_16745
ko:K02409	bsw:IY71_16755
ko:K01996	bsw:IY71_16895
ko:K07090	bsw:IY71_16905
ko:K03710	bsw:IY71_16910
ko:K02027	bsw:IY71_16915
ko:K02026	bsw:IY71_16920
ko:K02025	bsw:IY71_16925
ko:K10112	bsw:IY71_16930
ko:K02051	bsw:IY71_16945
ko:K02049	bsw:IY71_16950
ko:K02050	bsw:IY71_16955
ko:K16087	bsw:IY71_16965
ko:K01999	bsw:IY71_16975
ko:K01997	bsw:IY71_16980
ko:K01995	bsw:IY71_16990
ko:K01996	bsw:IY71_16995
ko:K05800	bsw:IY71_08265
ko:K01939	bsw:IY71_08300
ko:K00058	bsw:IY71_08310
ko:K00831	bsw:IY71_08320
ko:K03453	bsw:IY71_08325
ko:K03431	bsw:IY71_08335
ko:K03798	bsw:IY71_08340
ko:K04075	bsw:IY71_08345
ko:K03640	bsw:IY71_08360
ko:K03641	bsw:IY71_08365
ko:K03560	bsw:IY71_08375
ko:K03562	bsw:IY71_08380
ko:K03551	bsw:IY71_08390
ko:K03550	bsw:IY71_08395
ko:K01159	bsw:IY71_08400
ko:K13592	bsw:IY71_08405
ko:K00788	bsw:IY71_08415
ko:K07126	bsw:IY71_08420
ko:K02356	bsw:IY71_08425
ko:K01092	bsw:IY71_08430
ko:K02557	bsw:IY71_08445
ko:K06147	bsw:IY71_08450
ko:K02909	bsw:IY71_08455
ko:K03523	bsw:IY71_08470
ko:K09706	bsw:IY71_08475
ko:K09769	bsw:IY71_08485
ko:K01934	bsw:IY71_08490
ko:K09888	bsw:IY71_08495
ko:K00615	bsw:IY71_08505
ko:K00134	bsw:IY71_08510
ko:K00927	bsw:IY71_08515
ko:K01908	bsw:IY71_08525
ko:K09987	bsw:IY71_08550
ko:K02493	bsw:IY71_09170
ko:K02835	bsw:IY71_09175
ko:K08484	bsw:IY71_09180
ko:K00928	bsw:IY71_09185
ko:K00568	bsw:IY71_09190
ko:K02498	bsw:IY71_09240
ko:K01719	bsw:IY71_09250
ko:K01749	bsw:IY71_09255
ko:K01409	bsw:IY71_09260
ko:K00057	bsw:IY71_09265
ko:K09780	bsw:IY71_09270
ko:K03466	bsw:IY71_09295
ko:K03320	bsw:IY71_09300
ko:K10805	bsw:IY71_09305
ko:K03185	bsw:IY71_09315
ko:K00240	bsw:IY71_09325
ko:K00239	bsw:IY71_09330
ko:K00242	bsw:IY71_09335
ko:K00241	bsw:IY71_09340
ko:K01703	bsw:IY71_09350
ko:K02884	bsw:IY71_09360
ko:K03457	bsw:IY71_09365
ko:K07090	bsw:IY71_09370
ko:K00554	bsw:IY71_09395
ko:K02860	bsw:IY71_09400
ko:K03733	bsw:IY71_09405
ko:K09973	bsw:IY71_09410
ko:K00382	bsw:IY71_09415
ko:K00658	bsw:IY71_09435
ko:K00164	bsw:IY71_09440
ko:K01902	bsw:IY71_09445
ko:K01903	bsw:IY71_09450
ko:K00024	bsw:IY71_09455
ko:K06916	bsw:IY71_09460
ko:K12262	bsw:IY71_10100
ko:K06178	bsw:IY71_10110
ko:K08316	bsw:IY71_10115
ko:K07263	bsw:IY71_10125
ko:K07263	bsw:IY71_10130
ko:K07001	bsw:IY71_10135
ko:K03455	bsw:IY71_10140
ko:K03592	bsw:IY71_10145
ko:K01092	bsw:IY71_10150
ko:K09778	bsw:IY71_10160
ko:K02527	bsw:IY71_10165
ko:K00912	bsw:IY71_10170
ko:K03572	bsw:IY71_10180
ko:K08196	bsw:IY71_10185
ko:K06446	bsw:IY71_10190
ko:K00074	bsw:IY71_10205
ko:K09883	bsw:IY71_10220
ko:K05527	bsw:IY71_10240
ko:K01735	bsw:IY71_10250
ko:K00891	bsw:IY71_10255
ko:K04763	bsw:IY71_10265
ko:K01962	bsw:IY71_10270
ko:K04085	bsw:IY71_10280
ko:K00059	bsw:IY71_10305
ko:K02529	bsw:IY71_10355
ko:K01989	bsw:IY71_10370
ko:K05832	bsw:IY71_10375
ko:K05833	bsw:IY71_10380
ko:K02340	bsw:IY71_10385
ko:K02520	bsw:IY71_10690
ko:K02916	bsw:IY71_10700
ko:K02887	bsw:IY71_10705
ko:K01889	bsw:IY71_10715
ko:K01890	bsw:IY71_10720
ko:K04043	bsw:IY71_10730
ko:K03686	bsw:IY71_10740
ko:K00570	bsw:IY71_10745
ko:K01591	bsw:IY71_10750
ko:K01920	bsw:IY71_10765
ko:K07391	bsw:IY71_10770
ko:K03642	bsw:IY71_10780
ko:K09790	bsw:IY71_10785
ko:K02040	bsw:IY71_10790
ko:K02037	bsw:IY71_10795
ko:K02038	bsw:IY71_10800
ko:K02036	bsw:IY71_10805
ko:K02039	bsw:IY71_10810
ko:K07657	bsw:IY71_10815
ko:K04047	bsw:IY71_10835
ko:K03789	bsw:IY71_10845
ko:K06168	bsw:IY71_10855
ko:K07042	bsw:IY71_10865
ko:K03820	bsw:IY71_10875
ko:K00789	bsw:IY71_10885
ko:K03439	bsw:IY71_10890
ko:K09748	bsw:IY71_10895
ko:K02600	bsw:IY71_10900
ko:K07742	bsw:IY71_10905
ko:K02519	bsw:IY71_10910
ko:K02834	bsw:IY71_10915
ko:K03177	bsw:IY71_10920
ko:K02956	bsw:IY71_10925
ko:K00962	bsw:IY71_10930
ko:K00564	bsw:IY71_10935
ko:K00208	bsw:IY71_10940
ko:K00647	bsw:IY71_10945
ko:K01716	bsw:IY71_10950
ko:K09826	bsw:IY71_10955
ko:K02073	bsw:IY71_10960
ko:K11381	bsw:IY71_11280
ko:K00627	bsw:IY71_11285
ko:K00014	bsw:IY71_11290
ko:K01531	bsw:IY71_11300
ko:K07507	bsw:IY71_11310
ko:K13589	bsw:IY71_11330
ko:K01048	bsw:IY71_11345
ko:K04080	bsw:IY71_11360
ko:K01620	bsw:IY71_11365
ko:K00265	bsw:IY71_11370
ko:K00266	bsw:IY71_11375
ko:K11737	bsw:IY71_11380
ko:K09795	bsw:IY71_11385
ko:K08305	bsw:IY71_11455
ko:K00963	bsw:IY71_11460
ko:K07340	bsw:IY71_11475
ko:K01772	bsw:IY71_11485
ko:K00808	bsw:IY71_11495
ko:K02619	bsw:IY71_11500
ko:K01665	bsw:IY71_11505
ko:K08602	bsw:IY71_11510
ko:K01625	bsw:IY71_11525
ko:K07146	bsw:IY71_11540
ko:K02020	bsw:IY71_11545
ko:K02018	bsw:IY71_11550
ko:K02017	bsw:IY71_11555
ko:K02419	bsw:IY71_11875
ko:K09709	bsw:IY71_11905
ko:K01644	bsw:IY71_11910
ko:K08738	bsw:IY71_11935
ko:K09794	bsw:IY71_11940
ko:K00104	bsw:IY71_11970
ko:K11472	bsw:IY71_11975
ko:K11473	bsw:IY71_11980
ko:K06221	bsw:IY71_11985
ko:K01246	bsw:IY71_12000
ko:K01892	bsw:IY71_12010
ko:K02502	bsw:IY71_12015
ko:K00765	bsw:IY71_12020
ko:K15977	bsw:IY71_12035
ko:K01679	bsw:IY71_12040
ko:K04077	bsw:IY71_12050
ko:K04078	bsw:IY71_12055
ko:K11753	bsw:IY71_12065
ko:K01870	bsw:IY71_12070
ko:K12262	bsw:IY71_12080
ko:K06178	bsw:IY71_12090
ko:K08316	bsw:IY71_12095
ko:K07263	bsw:IY71_12105
ko:K07263	bsw:IY71_12110
ko:K07001	bsw:IY71_12115
ko:K03455	bsw:IY71_12120
ko:K03592	bsw:IY71_12125
ko:K01092	bsw:IY71_12130
ko:K09778	bsw:IY71_12140
ko:K02527	bsw:IY71_12145
ko:K00912	bsw:IY71_12150
ko:K03572	bsw:IY71_12160
ko:K08196	bsw:IY71_12165
ko:K06446	bsw:IY71_12170
ko:K00074	bsw:IY71_12185
ko:K04761	bsw:IY71_12830
ko:K03781	bsw:IY71_12835
ko:K03500	bsw:IY71_12850
ko:K01243	bsw:IY71_12860
ko:K01951	bsw:IY71_12865
ko:K07733	bsw:IY71_12875
ko:K07230	bsw:IY71_12975
ko:K07243	bsw:IY71_12985
ko:K00925	bsw:IY71_13000
ko:K01999	bsw:IY71_13025
ko:K01997	bsw:IY71_13030
ko:K01995	bsw:IY71_13040
ko:K01998	bsw:IY71_13040
ko:K01996	bsw:IY71_13045
ko:K00059	bsw:IY71_13050
ko:K00014	bsw:IY71_13055
ko:K00135	bsw:IY71_13065
ko:K01999	bsw:IY71_13070
ko:K01714	bsw:IY71_13100
ko:K02034	bsw:IY71_13105
ko:K02033	bsw:IY71_13110
ko:K02035	bsw:IY71_13115
ko:K17948	bsw:IY71_13135
ko:K15581	bsw:IY71_13725
ko:K15580	bsw:IY71_13730
ko:K15580	bsw:IY71_13735
ko:K00012	bsw:IY71_13770
ko:K07039	bsw:IY71_13835
ko:K13772	bsw:IY71_13875
ko:K03594	bsw:IY71_13890
ko:K14441	bsw:IY71_13895
ko:K02058	bsw:IY71_13905
ko:K02057	bsw:IY71_13910
ko:K02057	bsw:IY71_13915
ko:K02056	bsw:IY71_13920
ko:K01004	bsw:IY71_13930
ko:K03185	bsw:IY71_13935
ko:K11940	bsw:IY71_13940
ko:K02035	bsw:IY71_13950
ko:K03723	bsw:IY71_13965
ko:K09159	bsw:IY71_13970
ko:K03655	bsw:IY71_13975
ko:K00820	bsw:IY71_13980
ko:K04042	bsw:IY71_13985
ko:K06196	bsw:IY71_13990
ko:K14205	bsw:IY71_13995
ko:K03801	bsw:IY71_14020
ko:K02622	bsw:IY71_14030
ko:K05814	bsw:IY71_14335
ko:K05815	bsw:IY71_14340
ko:K05816	bsw:IY71_14345
ko:K06901	bsw:IY71_14360
ko:K07090	bsw:IY71_14390
ko:K07077	bsw:IY71_14395
ko:K00128	bsw:IY71_14405
ko:K02016	bsw:IY71_14415
ko:K02015	bsw:IY71_14420
ko:K02015	bsw:IY71_14425
ko:K02013	bsw:IY71_14430
ko:K01469	bsw:IY71_14440
ko:K02424	bsw:IY71_14445
ko:K10009	bsw:IY71_14450
ko:K10010	bsw:IY71_14455
ko:K01524	bsw:IY71_14460
ko:K02427	bsw:IY71_14465
ko:K17317	bsw:IY71_14485
ko:K17316	bsw:IY71_14490
ko:K17315	bsw:IY71_14495
ko:K00794	bsw:IY71_14500
ko:K02379	bsw:IY71_14505
ko:K02379	bsw:IY71_14510
ko:K02011	bsw:IY71_14525
ko:K02012	bsw:IY71_14530
ko:K02010	bsw:IY71_14535
ko:K14588	bsw:IY71_14550
ko:K04756	bsw:IY71_14565
ko:K03386	bsw:IY71_14570
ko:K04761	bsw:IY71_14575
ko:K00010	bsw:IY71_14585
ko:K03336	bsw:IY71_14600
ko:K03335	bsw:IY71_14605
ko:K01092	bsw:IY71_14615
ko:K02010	bsw:IY71_14620
ko:K02011	bsw:IY71_14625
ko:K02012	bsw:IY71_14630
ko:K02034	bsw:IY71_14930
ko:K02033	bsw:IY71_14935
ko:K02035	bsw:IY71_14940
ko:K01673	bsw:IY71_14950
ko:K04566	bsw:IY71_14960
ko:K01782	bsw:IY71_14975
ko:K00626	bsw:IY71_14980
ko:K10824	bsw:IY71_15010
ko:K15587	bsw:IY71_15015
ko:K15586	bsw:IY71_15020
ko:K15585	bsw:IY71_15025
ko:K15584	bsw:IY71_15030
ko:K07722	bsw:IY71_15035
ko:K01708	bsw:IY71_15040
ko:K02053	bsw:IY71_15045
ko:K02054	bsw:IY71_15050
ko:K02052	bsw:IY71_15055
ko:K02055	bsw:IY71_15060
ko:K00040	bsw:IY71_15065
ko:K00040	bsw:IY71_15070
ko:K01812	bsw:IY71_15075
ko:K01686	bsw:IY71_15085
ko:K06199	bsw:IY71_15100
ko:K06199	bsw:IY71_15105
ko:K09137	bsw:IY71_15110
ko:K13582	bsw:IY71_15120
ko:K07090	bsw:IY71_15125
ko:K06953	bsw:IY71_15135
ko:K03724	bsw:IY71_15140
ko:K00459	bsw:IY71_15155
ko:K03427	bsw:IY71_15210
ko:K01154	bsw:IY71_15215
ko:K01153	bsw:IY71_15220
ko:K07043	bsw:IY71_15225
ko:K01443	bsw:IY71_15540
ko:K00820	bsw:IY71_15545
ko:K03710	bsw:IY71_15550
ko:K00101	bsw:IY71_15585
ko:K01775	bsw:IY71_15600
ko:K00285	bsw:IY71_15605
ko:K00822	bsw:IY71_15615
ko:K05836	bsw:IY71_15620
ko:K01468	bsw:IY71_15635
ko:K01745	bsw:IY71_15640
ko:K01479	bsw:IY71_15645
ko:K01712	bsw:IY71_15650
ko:K09975	bsw:IY71_15655
ko:K00824	bsw:IY71_15660
ko:K10547	bsw:IY71_15665
ko:K10548	bsw:IY71_15670
ko:K10546	bsw:IY71_15680
ko:K01631	bsw:IY71_15685
ko:K00883	bsw:IY71_15690
ko:K02014	bsw:IY71_15985
ko:K00799	bsw:IY71_16005
ko:K15736	bsw:IY71_16020
ko:K02342	bsw:IY71_16025
ko:K02433	bsw:IY71_16030
ko:K02034	bsw:IY71_16050
ko:K02033	bsw:IY71_16055
ko:K02035	bsw:IY71_16060
ko:K00059	bsw:IY71_16065
ko:K00128	bsw:IY71_16070
ko:K08169	bsw:IY71_16080
ko:K02914	bsw:IY71_16100
ko:K03536	bsw:IY71_16105
ko:K03217	bsw:IY71_16110
ko:K03978	bsw:IY71_16115
ko:K00930	bsw:IY71_16120
ko:K07025	bsw:IY71_16125
ko:K06966	bsw:IY71_16130
ko:K00674	bsw:IY71_16135
ko:K02035	bsw:IY71_16455
ko:K02033	bsw:IY71_16460
ko:K02034	bsw:IY71_16465
ko:K01426	bsw:IY71_16490
ko:K11078	bsw:IY71_16505
ko:K01628	bsw:IY71_16535
ko:K03777	bsw:IY71_16555
ko:K02189	bsw:IY71_06440
ko:K07090	bsw:IY71_06450
ko:K02006	bsw:IY71_06750
ko:K06199	bsw:IY71_06760
ko:K06998	bsw:IY71_06775
ko:K00053	bsw:IY71_06810
ko:K03549	bsw:IY71_06825
ko:K03474	bsw:IY71_06830
ko:K01653	bsw:IY71_06850
ko:K01652	bsw:IY71_06855
ko:K00791	bsw:IY71_06860
ko:K01079	bsw:IY71_06865
ko:K07007	bsw:IY71_06870
ko:K09937	bsw:IY71_06880
ko:K04087	bsw:IY71_06885
ko:K04088	bsw:IY71_06890
ko:K07552	bsw:IY71_06910
ko:K09985	bsw:IY71_06920
ko:K03657	bsw:IY71_06965
ko:K05805	bsw:IY71_06970
ko:K07152	bsw:IY71_06980
ko:K02687	bsw:IY71_06985
ko:K01262	bsw:IY71_06990
ko:K01972	bsw:IY71_07000
ko:K03631	bsw:IY71_07005
ko:K05807	bsw:IY71_07010
ko:K02535	bsw:IY71_07015
ko:K03531	bsw:IY71_07020
ko:K03590	bsw:IY71_07025
ko:K03589	bsw:IY71_07030
ko:K01921	bsw:IY71_07035
ko:K00075	bsw:IY71_07040
ko:K01924	bsw:IY71_07045
ko:K03704	bsw:IY71_07330
ko:K00799	bsw:IY71_07335
ko:K00812	bsw:IY71_07345
ko:K00384	bsw:IY71_07360
ko:K03498	bsw:IY71_07365
ko:K12989	bsw:IY71_07375
ko:K03624	bsw:IY71_07380
ko:K09922	bsw:IY71_07400
ko:K10806	bsw:IY71_07410
ko:K03702	bsw:IY71_07420
ko:K03704	bsw:IY71_07430
ko:K07659	bsw:IY71_07465
ko:K07638	bsw:IY71_07470
ko:K06878	bsw:IY71_07480
ko:K13292	bsw:IY71_07495
ko:K05810	bsw:IY71_07505
ko:K00948	bsw:IY71_07520
ko:K06915	bsw:IY71_07525
ko:K02897	bsw:IY71_07530
ko:K01056	bsw:IY71_07535
ko:K06942	bsw:IY71_07540
ko:K00759	bsw:IY71_07555
ko:K00413	bsw:IY71_07560
ko:K00412	bsw:IY71_07565
ko:K00411	bsw:IY71_07570
ko:K03216	bsw:IY71_07585
ko:K00228	bsw:IY71_07600
ko:K03824	bsw:IY71_07605
ko:K00970	bsw:IY71_07620
ko:K09986	bsw:IY71_07630
ko:K01628	bsw:IY71_07945
ko:K03777	bsw:IY71_07965
ko:K00076	bsw:IY71_07985
ko:K16079	bsw:IY71_08005
ko:K05879	bsw:IY71_08025
ko:K05878	bsw:IY71_08030
ko:K05879	bsw:IY71_08040
ko:K05878	bsw:IY71_08045
ko:K17205	bsw:IY71_08055
ko:K17206	bsw:IY71_08060
ko:K17207	bsw:IY71_08065
ko:K00135	bsw:IY71_08100
ko:K01247	bsw:IY71_08125
ko:K01894	bsw:IY71_08130
ko:K01638	bsw:IY71_08135
ko:K03823	bsw:IY71_08140
ko:K03089	bsw:IY71_08145
ko:K06180	bsw:IY71_08150
ko:K03711	bsw:IY71_08165
ko:K03088	bsw:IY71_08190
ko:K03561	bsw:IY71_08225
ko:K03559	bsw:IY71_08230
ko:K03832	bsw:IY71_08235
ko:K05685	bsw:IY71_08250
ko:K13888	bsw:IY71_08255
ko:K06997	bsw:IY71_08860
ko:K01895	bsw:IY71_08875
ko:K03799	bsw:IY71_08890
ko:K03500	bsw:IY71_08895
ko:K00602	bsw:IY71_08905
ko:K06902	bsw:IY71_08910
ko:K15371	bsw:IY71_08915
ko:K08988	bsw:IY71_08920
ko:K03744	bsw:IY71_08930
ko:K02959	bsw:IY71_08935
ko:K04092	bsw:IY71_08940
ko:K03106	bsw:IY71_08945
ko:K01673	bsw:IY71_08960
ko:K00868	bsw:IY71_08965
ko:K00140	bsw:IY71_08980
ko:K08311	bsw:IY71_09000
ko:K03797	bsw:IY71_09005
ko:K00783	bsw:IY71_09020
ko:K09710	bsw:IY71_09025
ko:K00969	bsw:IY71_09030
ko:K00147	bsw:IY71_09035
ko:K00931	bsw:IY71_09040
ko:K03979	bsw:IY71_09045
ko:K02899	bsw:IY71_09070
ko:K02888	bsw:IY71_09075
ko:K03695	bsw:IY71_09160
ko:K01507	bsw:IY71_09780
ko:K00655	bsw:IY71_09785
ko:K09811	bsw:IY71_09795
